#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yhjX//osmY//
Fur	acrZ//oppB//malE//potF//ydbK//recX//guaA//ccmD//tauB//cheA//ybhG//yhiD//phnE_1//rprA//ccmC//ymiA//yqhD//cysI//hyfI//nrdD//ssrS//yhjX//torR//wecB//yeiL//hyfJ//fabH//ulaF//puuE//waaH//casE//rhaA//lon//betI//phnH//cas2//phnE_2//paaH//tdcA//ydbK//fecA//feoB//aroM//fecD//ecpA//moaB//hybB//cysA//malM//gspK//rbsD//yidQ//dhaM//ebgC//ybjN//rbsR//ynbD//frdB//gadC//yhhY//eda//mraY//yjhB//mtlA//flgJ//allE//wzb//relE//mgrB//mhpD//malY//hyfH//gloA//argE//rhaB//artJ//fhlA//nuoG//aroM//idnD//ftsK//cueO//gcvH//tfaQ//garL//nrdA//lysO//uxaC//dsdA//dinG//glmS//yjiY//psd//adiA//cysP//sufD//recN//fldB//pdeH//uidA//cvpA//yiaL//tdcB//yiaJ//metI//casA//allC//sufS//tonB//fixC//hyfB//gdhA//nac//gcl//ydcS//ssb//yhbS//moaA//gntP//cysH//mgrB//isrC//ybbW//rutF//gutM//gntP//uxuR//modA//sufA//betA//
GadE	potF//rimP//yhjC//lldD//rdoA//yafP//ttdR//yidQ//paaJ//betI//yjeV//sufC//nuoF//astE//pncB//feoC//srlA//glcC//folA//ygiB//aspC//seqA//glnA//mtlR//cpxR//nemR//idnD//mraY//idnT//
GadE-RcsB	ybfE//grxD//srlE//tpiA//modB//norR//gspH//metK//ecnB//
GadW	xylB//add//nuoC//fliG//malY//cspI//mhpE//csiD//ssuE//uxaC//flgL//cbl//tdcC//malM//metB//
GadX	yoaG//hyaA//decR//uxaB//alkA//mngB//mazE//pspB//araA//malK//pgpC//fepC//cynS//tsgA//hypD//purC//fecB//entC//cysW//sucD//bacA//dacC//casA//nupC//gadA//cysJ//grxA//cusB//acrA//
GalR	fdnG//flgH//hyfF//alkA//fepD//cyoC//citG//rhaS//ybfN//hybD//
GalS	kbaY//caiT//ftsW//bluF//purF//higA//sgbE//malP//cysB//mdh//
GatR	cysC//tdcG//gfcA//nfsA//frdA//ebgC//
GcvA	gltD//puuC//lysA//csrC//ldtB//
GlcC	malF//carB//ppiA//tdcF//rbsC//katE//sufE//
GlpR	mglA//metR//feaB//dinJ//acrA//hyfA//mhpB//moaA//phnC//
GlrR	galE//waaY//tauA//cysB//sbmC//
GntR	ccmD//mntP//hybC//pykF//yedX//omrB//csrB//atoB//csgC//pgaD//fliS//ompN//
GutM	yncE//ubiA//murI//nagB//sgbE//araB//phnP//
GutR	pagP//napC//uvrY//fabA//folE//lyxK//cysI//
HU	yhbE//ybfN//yqjH//sgbU//yibQ//gadA//dhaL//rutB//glpB//
HcaR	atoA//paaA//purM//murD//aldA//frdC//
HdfR	yhjA//lacZ//slt//torR//csgE//
HigA	cpxR//tpiA//
HigB-HigA	cusC//gabT//
HipAB	mepH//tnaC//slyB//napD//hypD//
HipB	wecC//purD//dgcZ//inaA//grxD//agaS//
HyfR	sgbE//pspB//tdcA//hybB//hyaA//rprA//narI//fhuB//metN//ruvB//talA//kdpF//
HypT	agaR//glyA//spy//mngR//yqhG//nrfF//sgbH//yhbE//hisM//tauA//malK//pspB//ebgA//
IclR	acrD//chbC//mazF//ydcV//
IdnR	malQ//sroC//xylR//ccmD//yfiB//agaD//truB//
IlvY	ydfX//ssuD//
IscR	phoQ//ybhG//nupC//ldtD//citE//infC//fliE//gntP//narX//crr//rffG//wza//frdC//pnp//nirD//crp//leuD//fbaA//paaH//srlA//glcC//dhaM//cydD//ldtC//oppB//hycC//hemL//yegZ//flhC//frdB//ilvY//hcaD//
KdgR	nmpC//iscU//
KdpE	uxuR//dcuB//garL//ybhG//
LacI	ompF//aceE//sroA//
LeuO	dsrA//yeaD//sbcD//dapB//bolA//ynfF//sdhD//ugpQ//pqiA//amtB//puuR//flgA//glnA//ynfF//argF//fbaA//oppD//tam//sucB//citC//
LexA	ftsK//lysC//carA//phnP//hydN//ibaG//napD//srlD//ung//fpr//nuoB//ubiC//mntH//nrfC//hycF//betT//cas1//gltJ//argR//xylF//rcsA//glnH//rcnA//rybB//malP//ydcU//glgB//gabT//deoC//waaH//gspM//fixB//ttdT//hyi//bioA//agaV//sucD//argD//nuoI//ydhX//betA//entF//ddpX//cysH//bhsA//fliI//betA//nadB//skp//cysI//dtpA//ygaC//idnT//hycF//glpK//yibQ//citC//lhgO//aceA//
LldR	micF//kdpC//phoA//
LrhA	ychF//dpiB//fliD//nuoF//
LsrR	caiC//codB//nadB//glnG//ubiX//agaS//mhpT//fur//lolA//
LysR	fliQ//purN//
MalI	narJ//ddpD//sdhB//
MalT	allE//yccT//ugpQ//phnL//efeU_2//hyfE//nrfF//ascB//dsdX//umpH//
MarA	glpQ//gudD//aroM//ecnB//guaA//nrdA//wzyE//araD//gntK//uspE//sucC//lsrC//frdA//nrfC//glpF//nac//yqjA//trpE//hyfI//rutF//rstA//accD//appA//flhD//tsgA//lsrK//ydjM//rdoA//cecR//recC//ydfH//hypB//rpiB//hyfB//caiF//fliG//acrD//yecR//
MarR	nuoM//fbaA//zwf//
MatA	galP//chbB//ydhT//purM//gnd//narG//ydeP//rybB//
MazE	umpH//yjhB//flhA//
MazE-MazF	cynS//gspF//napC//
McbR	uvrA//tnaA//csgG//cas1//
MelR	glnD//ydcV//yagK//
MetJ	pspB//srlE//ddpC//yafO//znuC//malY//sbmA//metI//purB//uvrD//add//deoD//adhE//lysC//relA//
MetR	umuD//add//hemL//rcnB//nfo//
MhpR	rybB//hcaR//sucC//allB//sufC//fhuA//
Mlc	ftnB//nrfG//pgaB//ccmF//sdhC//dmsA//araC//efeU_1//ydeM//aceF//
MlrA	cydB//mglC//gltJ//htpG//manY//glgB//rutR//hycG//araC//yecT//
MngR	kbaY//cysP//rffM//
MntR	gabD//murC//serA//nagB//nagA//
ModE	frdA//purR//sutR//frdA//fliJ//modB//rpiB//asnC//allE//rimK//yegZ//metI//ubiC//tdcG//glnK//dcuB//srlD//ppdB//ssuE//uidB//ygbA//tehB//fabG//phnK//cysU//melB//adiA//argB//dkgB//cusF//fecR//ecnB//yfiR//betB//paaZ//caiT//insD//isrC//agaC//argA//ycjF//yjjZ//yfdX//argB//dgcZ//lpd//
MprA	yafO//ttdR//polB//appA//argF//ppdA//
MqsA	katG//sdhC//putA//feaR//fabD//mgtA//dacC//mcbA//
MraZ	pflB//kbp//tdcD//lrhA//yfdE//nac//yqhD//ygbK//hyaD//ccmG//pheT//gcvP//fadH//caiC//rcnR//wzb//dinF//
MtlR	uspA//tisB//psiE//
MurR	tyrA//fadL//gabP//
Nac	efeU_1//csiD//chbR//gntP//yhcH//pstA//torD//nadA//ugpB//pgaB//gloA//metR//rffM//metF//ynjI//flgM//nrdF//dinQ//cysG//ydfX//gspK//
NadR	flgD//trpR//lyxK//moeB//
NagC	lamB//frdB//fabD//cbl//gltK//ycjY//ddpB//fepE//grxD//nuoB//mlc//acnB//hybC//agaA//aroM//gyrA//phnM//nuoE//metI//pflB//hcaB//araH//accD//wzyE//napC//wecB//hydN//erpA//gspK//rpmA//safA//gspK//accA//entS//murE//murR//idnK//
NanR	rstB//hycG//mglA//allE//allS//lsrK//mpaA//hns//ycjG//emrY//fadD//
NarL	ybhF//dnaG//purC//kdpA//cysH//pck//glpC//insK//sucC//fixC//fiu//tpiA//metH//rffH//chbR//gspC//nrdB//tsr//yeaH//dinD//pyrD//focA//bglF//hha//gutM//kdpC//pgpC//puuA//yfaE//fhuF//caiT//patD//ssuC//yeaR//puuD//mhpF//feoA//csgA//pqiB//allC//dinQ//pdeR//bacA//sra//rpsO//mtlA//ydeM//hybD//srlA//yibQ//ddpB//rutD//nirD//exbB//marB//uxuA//mgtL//yiaJ//ydcT//cysG//cusC//dgcZ//pstA//sufE//bglF//nagC//gltL//uidC//ygiA//ugpC//fabA//emrY//fliI//dhaM//yjhC//lsrK//add//ymgC//phnP//artJ//yidL//yfaE//citF//flhC//mntH//ryhB//flgC//ydbK//uvrY//ymjD//btuB//dinJ//phnF//nuoE//nrdB//phoA//nuoA//hybO//hdeD//ppiA//acrB//gadA//ftsL//pck//galP//flgA//yfiR//deoC//yciX//recX//yibQ//moaB//cra//ulaA//glpC//dcuS//ccmE//sucC//mngA//hcr//rffC//ybhF//lolA//
NarP	dinJ//argT//hybA//ynfG//oppB//tdcD//ycjX//fbaA//hipA//fldA//yiaN//malX//chbB//hns//hisJ//nrdD//ppiA//crl//mqsR//narJ//slt//yfiB//flhC//ymgA//psiE//napD//fliE//fucO//ccmE//mipA//tomB//srlB//ugpB//cho//malQ//mprA//uspA//ytfE//glpC//rplT//relB//dmsA//mhpF//ynfG//ulaF//fbaA//cas2//poxB//mdtC//pncB//
NemR	nikA//flgM//manZ//
NhaR	allD//ccmC//hyaF//hyfH//frdD//dtpA//hybO//
NikR	xylR//aroP//srlE//allS//dnaA//fixX//
NimR	slp//casD//
NorR	gadE//folE//caiC//
NrdR	yfiR//astC//csiD//lsrK//betI//inaA//torA//purR//srlE//
NsrR	ydfN//entH//fiu//mdh//ccmD//glgX//yhdX//pstB//cra//dgkA//mprA//chbA//rnlB//ftsZ//flhA//chiP//hokD//tdcF//fecD//ugpQ//rpoE//frdD//gntP//galT//malI//mntP//dsbG//flhC//hypA//glnK//rhaB//hdeB//cyoA//cusC//aroG//ddpC//micF//leuA//fhuE//lhgO//dtpA//csgE//gatC//tyrA//iscU//dapB//hslJ//fabZ//fadA//rutB//araF//yjbF//sroC//gntP//ftsI//phnH//fhuA//gatC//pstA//yciX//waaZ//mzrA//aroG//alsB//skp//fadH//sucD//ydeM//omrB//nanS//malS//obgE//hcp//tdcC//fabZ//ecpA//polB//entD//gpmM//phoQ//lsrF//csgE//xapB//
NtrC	ydfX//fliA//alsC//oppC//htpG//tdcB//ugpQ//caiE//ybhS//fliZ//asnB//edd//purN//rimP//mazF//cysM//fliK//dmsC//dapB//aroG//higB//edd//betA//gltD//higB//patA//galE//yhbS//yjbG//ybjC//yfdV//cas2//ecpR//gutM//gntP//appY//dmsA//kdpF//yeaR//ydhY//tdcG//zinT//idnO//envC//ahpC//puuD//ygiZ//exuR//entH//
OmpR	uvrB//kdpA//gspK//gspO//fecB//puuC//purC//cydA//nagC//dcuB//yqjI//mntH//ccmG//nadB//fadA//ydcV//casD//mhpD//fhuF//hdeA//appA//
OxyR	uxuB//yeaH//slp//norW//ulaG//ccmD//kbaY//ssuC//murD//iscR//gadW//rffG//rhaB//trpE//dinI//pepD//cysD//betT//malF//glnP//infB//fes//sufE//crp//narH//appB//bluF//fucO//citG//bolA//fucK//lsrK//wzyE//ydcV//
PaaX	yjbG//melA//atoB//nuoB//sufS//ybbY//add//nikC//puuE//yebE//gltF//astD//fliP//qseC//
PdeL	hyi//
PdhR	symE//norV//gltF//napD//hyaC//dsdC//paaK//amn//ydcU//garP//erpA//narL//gdhA//ydeI//ppdA//ugpQ//ccmH//argP//uidR//fucA//relE//phnM//flgN//ybjC//rutA//cspI//cyoD//ftsL//ompW//tauC//cheA//nfsA//tdcF//sutR//ybbY//ydbD//yiaO//ybbW//kbaY//fliL//glnL//
PepA	mlc//gloA//uvrB//
PgrR	rimK//mprA//bioB//cpxR//yhjA//ppsA//isrC//hycA//
PhoB	flhA//appY//dnaA//rnpB//gabP//yiiS//puuB//glpF//rybB//dinJ//cdd//tehA//yqjH//pnp//fadE//spy//yiaK//flgB//galS//glcC//baeS//znuC//paaE//sroC//nuoB//cysC//glpD//hyaD//glpX//erpA//ppiA//cas1//xylA//iraP//phoQ//bacA//sutR//gutQ//glyA//hcaE//lexA//flgI//nhaR//modB//ptsI//mntP//mdtF//araA//acrD//leuB//ibaG//tynA//hyfC//casE//sra//amn//fruB//artQ//hisJ//pheT//
PhoP	pqiB//nanK//cspE//fdhF//glmU//allS//chbA//ubiX//citG//recB//nlpA//uxaA//purR//oppA//caiD//prs//napD//nrfF//nanC//yiaN//hypF//ubiC//rbsA//gntX//cysB//mdtF//hdeB//nanA//ycgZ//idnT//wzb//relA//ulaE//ssuA//tnaC//frc//glpT//fliR//phoB//cspD//gspD//fadD//fliT//moeA//marA//zraR//malM//fes//rnlB//umpH//hlyE//mtlD//ybhG//dctR//katG//cysC//
PrpR	htpG//nrdI//gabP//hyfJ//sroD//
PspF	pgpC//recB//ppdA//nuoI//speB//sdhB//artP//
PurR	cysW//gspO//ybhS//nohA//cra//phnK//aroL//edd//nuoC//dsbG//csgG//paaX//aspC//yqjI//glcC//zwf//recX//fliA//ebgA//serA//citF//ymgC//yhdW//ftsA//wza//pspC//acnA//rbsD//ecnB//dmsA//gcvB//
PutA	nanS//malE//
PuuR	mscM//dicB//ulaC//spy//ybjN//mglB//ygiC//
QseB	ybhF//dcuR//caiC//ulaA//
RbsR	ddpA//entH//ddpA//nikB//sdhD//malE//hycH//sucC//psiE//
RcdA	ybhR//metC//spy//glpF//serA//entE//metI//aceK//paaK//
RclR	fepD//cyoB//phnH//
RcnR	rob//rutG//ybfN//
RcsAB	cysN//nanT//ynfE//bdm//ynjI//icd//phnE_2//ycjY//tpiA//rffC//trpC//fliQ//tpiA//hybA//spy//ychF//
RcsB	rimK//zraR//flgA//speB//garL//nfsA//murC//wecE//pnuC//csgC//crl//alkB//napC//pck//ychF//mtlD//envC//lsrC//agaR//yeiL//nuoH//cysE//nlpA//fhlA//xylF//
RcsB-BglJ	zinT//chiP//bioB//fdnH//pck//rffG//pspB//dctR//cheW//nlpA//yqhD//umuC//mpl//dkgB//metK//ydhT//
RelB	mtr//galK//glcF//
RelB-RelE	erpA//ulaG//rpoH//
RhaR	caiT//asnB//
RhaS	recF//allB//phnF//sbmC//aceF//yhbS//
Rob	mtlA//aspA//ybhG//sgrT//argA//uvrA//rpoD//entB//pgi//metA//waaY//crr//appB//dsrA//phnE_1//yjhB//mgrR//garK//ttdT//fliT//aceF//yjhC//bioD//dinI//gcvB//napH//
RstA	add//wzyE//ecpA//lsrR//rhaB//hybE//aroF//grxD//norR//ecpA//
RtcR	ccmG//pgi//
RutR	hcaR//sroA//nirC//mgtL//yciW//ydhV//mglA//ydjM//fliT//metN//phoU//ampC//oppB//malS//caiC//polB//cdaR//
SdiA	ftsI//fliZ//cra//ydjM//gabD//
SgrR	mngR//yhdW//envC//yafQ//ykgM//gltL//lysO//cyoC//bamE//
SlyA	qseB//
SoxR	yrbL//adiC//osmY//
SoxS	mprA//fucA//nanM//galS//yhjC//ccmD//nanM//omrB//xylR//nrfB//cho//glnH//ulaA//putP//ascF//hcaC//glcC//lysC//molR_1//cyoD//ykgM//yhiM//gadC//puuD//icd//ftsW//seqA//cysH//aceB//fliN//fimB//kdpA//fliE//yciX//nuoJ//mraY//nikB//tonB//mngR//casC//
StpA	phnL//glpD//fucR//yjhB//rstA//flgK//tbpA//
SutR	iraP//dsbA//deoD//napH//nfsB//
TdcA	yebG//mdtA//recX//pstS//fliJ//ybhL//poxB//
TdcR	rcnB//yegZ//trpC//rutB//ybiT//argT//kbaZ//
TorR	crl//gatC//rpmI//yhbT//malE//polA//eda//pgaD//gadX//recD//glpC//betT//
TreR	manZ//rpmA//
TrpR	adhE//srlE//cusC//ugpB//hybO//sufE//fhuE//cyoB//yiaO//gspJ//glgA//lrhA//
TyrR	yciX//ycjX//ftsQ//pspA//bioA//exbB//kdpA//hipA//rplT//manX//trpC//gcvP//
UhpA	yeaH//
UidR	artJ//hemH//treB//tktB//
UlaR	galM//xapB//exbB//atoE//yoaG//guaB//yidQ//
UvrY	dctR//hybA//idnK//galK//idnR//
UxuR	csgC//infC//artP//mtlR//malZ//tauD//casE//pstB//ycjG//
XapR	ydhX//glpK//
XylR	talA//ynfG//nanM//hdeA//mdtA//modB//manZ//
YdeO	hflD//yeaH//araH//hdeB//nfo//rcsA//nlpA//glgA//tdcC//metB//yqaE//dcuR//nrfD//omrA//malF//rutC//uxuA//ygeH//alsB//galT//phoR//
YedW	ybhS//mraY//flhA//yjbG//argG//uvrA//fadR//ybbW//fixB//fliC//phnE_1//dmsB//
YefM	icd//napA//
YefM-YoeB	lsrA//efeU_1//
YehT	btuB//
YeiL	norW//
YiaJ	ycjX//csgE//ybiT//glpK//csgD//uhpT//fabI//appX//rhaD//mglC//
YjjQ	htpG//higB//nanC//cynT//puuP//fepD//glgP//ycjX//dctR//rhaA//
YpdB	nikR//
YqhC	frdA//rhaA//
YqjI	ygdB//ybaS//
ZntR	glpQ//
ZraR	rutR//eno//ynfE//
Zur	rnpB//rseB//phoB//mhpA//mgrB//rutA//
