#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fruA//gadA//
Cra	pgaC//feoA//ecpA//tdcA//entS//emrA//ugpC//mdtB//nirB//glpD//argF//ybhL//dctA//hycD//ttdT//ftsQ//rhaA//glnQ//fadE//purM//hyaF//appY//citX//sroA//yjjZ//bdm//pflB//cecR//cdaR//omrB//cysE//bioC//ydhX//dcuA//argH//rutA//atoE//tsr//csrB//fepE//alsE//gspI//evgA//casE//tehA//hyfR//dapD//yhcH//tdcB//napG//prpE//rffT//emrK//speB//ybiT//ygiA//pheT//hyfJ//pgaC//hyfE//bioA//sroC//ttdR//hcr//yeaH//fbaB//chbG//argI//ulaD//sgbU//umuD//ybdZ//ydcV//fepC//speA//fliC//psd//flhA//feoB//
CreB	ssuC//mngR//narH//caiC//ddpX//
CsgD	tauD//nfsA//flgD//chbG//pdeL//cusC//tnaA//pyrD//gabP//asnC//flgE//hokE//agaC//gspH//agaW//mgrR//nac//norR//ynjI//rbsR//gatY//napH//galR//artI//mdh//ecnB//ruvB//feoB//
CsiR	ybjG//acrD//oppB//cysA//rseA//
CspA	trpE//fabD//
CueR	ccmC//nanC//fdnH//galE//thiP//uxuB//norW//
CusR	norW//tdcB//yafP//ssb//bglF//dgcC//cas2//murE//inaA//ldtB//lolA//yneM//
CynR	fliT//fdnI//ybhL//oppD//
CysB	dctR//narJ//ybbW//hdeA//norW//lrhA//manZ//sdhB//cyoC//sgbE//recN//kbp//flu//casE//ccmA//entE//napD//caiE//pyrD//ydeP//ydfW//dps//leuC//pdeL//allB//dicC//cyoE//sodB//lsrG//ychF//nanE//xapB//
CytR	pgi//bioA//casC//alkA//hha//glgA//modC//ulaD//metF//nadB//fumC//decR//ppsA//
Dan	rfe//yhbT//cspI//yrbL//
DcuR	frc//ugpQ//gspO//accB//udp//exbD//tyrA//yfdX//uspA//
DeoR	ymgC//purC//trpL//pdhR//tdcC//csgG//
DhaR	gspD//nemR//cysH//ygbK//
DicA	ftnA//csiD//metY//nrdD//phnH//hisJ//modC//csgG//
DinJ-YafQ	hyaC//pepA//nhaA//
DnaA	fepG//rfe//dmsD//rffH//erpA//pepA//zraP//fadE//recC//iclR//hyaF//ydjM//
DpiA	flu//accD//tnaB//sgbU//flgN//hybD//fliZ//mhpC//tauD//araD//dnaA//
DsdC	murC//ebgA//gntX//
EbgR	phnM//bhsA//
EnvR	uxaB//prpD//
EnvY	edd//ykgO//
EvgA	ycdZ//nemA//dinQ//pspG//ttdT//ssuD//iscS//malI//wecB//gspG//sucB//tyrP//ascF//marB//lsrB//zinT//putP//sodB//uxaA//
ExuR	phnH//nadB//araD//yfdV//nac//kdpC//gadW//galM//waaH//
FabR	hdeB//galM//
FadR	aceB//napG//wcaB//osmY//tsr//dinB//fdhF//pstS//rcnA//purD//grxA//ybdN//pspG//ssuC//garK//uxaC//gabP//metJ//argO//codA//pdeL//fliT//nrfD//
FeaR	murD//mprA//
FhlA	copA//uspA//sra//gcvP//lyxK//yeaH//araA//argG//recB//malG//ppiA//alsE//metA//dinI//phnN//patD//nuoM//ymiA//lrp//feoB//srlB//ynbD//soxS//gcvP//glcF//lgoR//norW//narX//yibQ//lrp//
FlhDC	pck//iscA//fadH//entA//gadW//dnaA//exbB//agaW//ryhB//fliN//fabH//ccmB//trpR//lsrA//ydcT//serA//dinD//narL//ftsW//infC//stpA//phnE_2//agaS//wza//fhuC//fdhF//entB//nrdE//phnH//uvrD//cpxR//pnuC//tolC//torR//fucO//rnlB//adiC//flgK//yciW//tolC//yeiB//ssb//gapA//glpQ//fepG//glcB//ubiX//glcF//flgM//nadA//fadR//aroP//metL//fliQ//ftsI//qseC//gudD//nimT//nagB//purL//relA//mtlA//nfsB//feoB//nrdI//yciG//dnaG//ygiA//dcuR//znuA//nrdG//hyfC//glgA//nupG//ariR//flgK//tdcC//murR//frdC//glcA//pstA//yhdZ//
FliZ	nrfE//osmB//purE//fadE//flgJ//oppC//torC//hyfH//yncE//nrfF//entB//yfdE//bamE//agaW//hslJ//lrhA//acrD//gudX//nusA//ybiT//uidB//
FucR	mraY//purA//gatY//fadE//metN//ftsK//nikB//
Fur	glcA//ydcV//mpl//fabI//wza//pepD//yfdE//galS//nuoG//umuD//glgP//emrK//nrdE//xylG//cysC//ccmD//ptsG//metJ//cysW//pepA//dgcN//dapD//hflD//yhiD//narL//mraZ//fldA//yjbF//rhaR//mdtA//dinD//lolA//ydbK//erpA//rpsO//ftsL//ppc//sbmC//cydD//metK//moeB//intQ//rnlB//tynA//cyoC//nrdI//srlR//gspD//mcbA//yebG//gnd//hyaB//dctA//fimE//accA//ydbD//hybD//frdA//emrY//wrbA//leuC//chbG//hycA//insD//murF//frc//nrdE//ccmH//rnlA//pgk//acnB//cyoA//ybhS//psiF//asnC//dinD//araF//sufB//pnuC//cydC//kdpB//caiT//ndh//galS//ynbC//hycB//ptsH//speB//ompC//phnC//ydhV//sulA//manX//ssuA//evgA//ybhG//napB//phr//mpl//glpK//gspO//ugpB//ydhX//eno//ftsZ//ccmG//phnD//cysW//ycgR//purD//recD//paaF//glpQ//rhaA//ugpE//ydfW//nrfD//hybD//ugpA//bhsA//cydC//cho//rutR//dps//aceB//tdcD//phoB//cecR//nagA//gor//
GadE	srlR//fadA//nrfB//galR//araA//nanM//lsrK//gspK//allD//sroA//hycA//decR//icd//prpE//fhuD//accA//ttdA//bglG//ugpQ//gntU//pnuC//rsmH//ygiZ//yjbF//nemA//setA//eda//zraR//phnM//
GadE-RcsB	yebG//luxS//fumB//degP//yccJ//deoB//cysJ//serA//adiA//
GadW	creD//xapA//nrdA//btuB//lacZ//feoC//umuD//alsB//sucA//paaB//nirC//murI//ykiA//zraP//modC//
GadX	pgm//cpxP//narX//edd//casB//iclR//rcnA//mazE//napA//asnA//lgoR//cynS//nrdF//rpiB//ygbA//pgaA//ssuC//flgM//cysB//accD//ybjG//mqsR//puuD//ptsG//recB//gadX//purR//fhuD//eno//
GalR	dcuS//idnD//nuoI//dpiA//chbC//sodB//csgC//dacC//fiu//trxC//
GalS	gltB//wecE//frdB//narK//hycH//malZ//pstB//ydfD//metB//casE//
GatR	seqA//skp//agaC//galK//iscR//rseB//
GcvA	iscS//add//trpE//lsrG//nanK//
GlcC	rseB//speB//acrB//artI//cpxA//recN//dhaR//
GlpR	waaZ//fliN//ariR//dsbC//yfiR//fau//gadB//hokE//dnaG//
GlrR	patA//prs//glgB//csrB//tyrP//
GntR	phnF//metH//slyB//cirA//fliP//fbaB//dhaM//nfsB//fadR//cydD//moeB//tyrR//
GutM	rpoD//erpA//argC//phnM//yfiR//puuD//xylR//
GutR	lsrR//astC//adiA//hyfI//agaV//ydcV//exuR//
HU	bglF//patA//nagA//fliF//sutR//mngA//nikR//evgA//ssb//
HcaR	arsC//ykgO//yfdE//metE//hisP//bluF//
HdfR	yccT//cyoB//csgB//csrB//focB//
HigA	crp//malZ//
HigB-HigA	nfuA//entH//
HipAB	cas2//grxA//rbsC//ydbD//fecA//
HipB	glgA//btuB//ulaA//mntH//flgA//cusF//
HyfR	rutR//napF//cusS//nusA//yjiY//gcvT//ugpB//hflD//yiaM//fadL//hycF//relE//
HypT	chbB//nohA//fabH//metC//gcvT//uidC//nirC//nohA//entE//gatC//mazF//mqsA//glpX//
IclR	yrbL//astB//entB//gudX//
IdnR	pfkA//leuD//yciW//appC//hyaD//yhjC//seqA//
IlvY	cpxA//iscS//
IscR	ilvY//glpA//purA//flhC//gadB//tonB//tktB//fiu//marB//lysP//mlc//csgA//icd//ddpX//ydfN//pflB//kbaY//torR//gcvP//trpE//hokE//lamB//fepG//hyfI//mntH//evgS//sdhD//ulaF//lacY//lolA//gspJ//yqhG//
KdgR	mpl//yrbL//
KdpE	hisQ//ydfW//ccmA//moaA//
LacI	acnB//sfsB//ulaB//
LeuO	garD//nanA//carA//mgtL//sucC//hycF//rbsR//ppdA//btuB//hyfF//bacA//lyxK//pgk//codA//argP//hypA//molR_1//nupC//caiA//hemL//
LexA	lexA//zwf//rutR//hypF//trpB//arsB//hyfE//hyfG//zraR//yjbG//pqiA//higB//lgoR//ssuE//metB//wzb//fadL//sgbH//nirB//waaY//mraZ//acrR//yhbT//wecB//entB//speA//hcaB//rob//rnpB//iraM//seqA//frdD//borD//hyaC//yegR//ccmG//fliI//dtpA//dgcZ//rprA//yqjH//glk//hisM//hmp//amtB//psiE//lexA//ynbD//wcaA//potG//ddpB//hdeD//cyoE//hyfG//recF//fes//dnaN//hipA//allA//
LldR	hyi//cysI//nuoG//
LrhA	rcsA//lyxK//chbG//fliP//
LsrR	ldtB//potG//hyfH//eno//tdcF//katG//fliZ//yeiB//dpiB//
LysR	ptsH//yiaM//
MalI	ybhF//ung//agaC//
MalT	folE//mtlA//grcA//yiaM//yciX//hypC//aceA//rclA//ydiU//add//
MarA	nrfB//lsrA//modA//cysU//gatB//fliG//yeaR//mtlR//rpoD//nrdE//fecD//garD//ndh//argO//melA//hns//csiD//hlyE//ftsW//guaB//rybA//frdA//fabB//fadR//ynbA//cirA//hypF//tnaA//ftsA//argA//hcaD//argT//tehB//fadH//ubiA//hybD//ycjF//ccmB//
MarR	csgD//baeS//yiaM//
MatA	hycE//glmY//fliQ//manY//ygdB//gltD//fhuD//dnaN//
MazE	tauA//gspM//glmS//
MazE-MazF	hcaD//acnA//deoD//
McbR	yqjH//araA//rutD//yedX//
MelR	gspJ//psiE//ygiA//
MetJ	yagK//rpiR//phnC//crl//lacZ//allD//nfo//gatD//ftsI//cyoC//slyB//nuoB//rbsC//gadB//csgD//
MetR	rbsC//fepD//ubiX//cpxR//ychF//
MhpR	mhpD//tdcB//rpoS//sucC//hipB//ydeP//
Mlc	flgC//acrZ//sufS//ygiZ//alaC//norR//xylF//ydfN//ompW//mltF//
MlrA	dkgA//glpD//hypC//fepB//cytR//rpsO//evgS//tdcC//cydA//phnE_1//
MngR	fhuA//rutF//focA//
MntR	bamE//osmB//nhaR//hcr//cpxP//
ModE	agaB//entF//sgbU//potI//aroM//aslB//yeiL//nikR//dhaM//allD//hyfH//malF//rtcA//nikA//gltK//yneM//tyrA//fliP//lsrR//dcuD//fliG//atoB//paaH//obgE//yafN//flgC//paaI//rcnB//yciX//bamE//treR//argO//efeU_1//nrfC//bioB//yiiS//yhdW//cyoD//oppC//ldtD//pstC//fruK//fabH//focA//glpD//caiT//
MprA	tcyJ//ddpC//puuP//cpxP//fixB//phnL//
MqsA	inaA//puuR//fliI//nrfB//fruB//hflD//rbsK//wecE//
MraZ	hdeA//caiC//ccmB//purE//yeiB//cysC//cysH//dinF//rpsO//dcuD//lysO//cysB//sufC//aceK//gadB//ynbB//rbsK//
MtlR	hisM//yjjZ//slyB//
MurR	lsrF//tyrA//metC//
Nac	fau//nrdI//icd//ynbA//tyrR//srlE//accC//yebE//ybbY//allS//lrp//fecB//fliG//talA//sbcC//ybfE//ynfF//sgbH//pqiB//qseB//fecI//
NadR	ydeP//flgH//metK//aceB//
NagC	citD//folA//rarA//dinI//ndh//lon//tynA//astA//sgbH//pflB//araH//yhhY//fadE//cusB//yhdY//garP//nirD//higA//bolA//ftsZ//intQ//uvrA//yhjA//ddpC//ygaC//cysC//lldR//gatY//fimE//nuoK//uspD//phnL//fepC//phnN//kbaY//baeS//metA//
NanR	narX//gspI//araA//yegH//garK//agaW//ugpE//csgB//pepA//qseC//xylB//
NarL	yiiS//dhaM//alkB//tyrB//flgD//htpG//yoeB//nfsA//serA//prpC//leuD//fadA//ung//ycjG//rarA//ybdN//yhjA//cra//ybhL//leuC//lpxA//sdhC//hypB//ydeM//iraP//malP//alkA//yjbF//ybdN//polA//nikB//manY//ftsZ//bioC//wzxE//cyoD//gcvA//codA//rfe//nanA//rcnB//fabZ//murI//lldD//fepD//glgA//yegR//betA//hyfJ//dinJ//flgL//cra//araJ//flhE//gltK//dsdA//molR_1//ppdC//paaC//dgcC//yfaE//paaZ//rutD//narI//ychF//napG//mgtL//tehA//napD//bolA//citG//tonB//glgX//hycE//ugpE//speA//thrS//rpoS//pspD//rbsD//nrdE//csrB//mdtC//metI//yjbH//pdhR//motA//ompF//paaZ//nupG//rybB//wzc//ulaF//marB//leuO//ptsI//flgK//nanA//rpiB//patA//omrB//hcaC//carB//yecR//cusF//srlD//cusC//hybG//umpH//malZ//borD//nrdG//nfsA//casD//yhbE//hyaD//lolA//cysE//yhjA//yjhB//nrfA//fumB//yjhB//
NarP	ygiB//csgB//yneM//gnd//trpA//nikR//glnP//dsdC//ftsI//flgC//rffG//idnT//oxyR//ttdA//nrdA//mraZ//trpA//dhaL//galK//glgC//insK//ttdR//gyrA//xylF//xylR//nlpA//nrfF//prpB//leuC//psiF//nrdI//lpxC//fecE//prs//cusR//garD//xylR//casE//ldtB//accB//hyi//fliD//codB//glnL//caiC//rutG//norV//rhaA//chbG//yegZ//
NemR	ybhG//cusS//gntT//
NhaR	cadB//aroL//marA//idnK//nrdE//astB//fadJ//
NikR	purH//tynA//ybiT//cysN//agaB//aroG//
NimR	hipA//hisJ//
NorR	dinF//fucR//glk//
NrdR	amn//pheT//moaE//iscR//nfo//yciW//ilvY//trpL//hemL//
NsrR	rbsK//rhaT//ydcT//acnA//gatC//serA//rbsA//tyrP//folA//ydfW//fecA//moaC//recB//hyfI//hcaR//hokD//argA//glpA//ybbY//wzxE//hyaB//pgk//ychF//hyaB//bioA//malQ//ybiT//ulaC//fabA//ymjD//bdcA//ugpQ//speB//acrA//znuA//nupG//gspO//lgoR//insK//ugpC//dhaK//hycB//serA//exbB//hflD//frdB//ompF//purR//flgK//ydhU//hyfC//sdhA//gatY//phoQ//glnB//iraM//fepD//cysN//sufA//ydcV//malQ//yhbE//betB//lsrK//fruA//lpxC//mnmG//fruB//kdpF//gcvT//nirB//cspI//hydN//fucK//tehB//ynbC//entA//lamB//sdhC//mdtE//cyaR//fliC//flgL//
NtrC	ttdR//mepH//pykF//yqjA//tnaC//cho//ptrA//acrR//modA//yfdX//hyfD//speA//yhjX//malZ//efeU_2//narL//moaA//dmsA//nfsA//gudP//yfaE//fepA//yeiB//mhpA//pgpC//glnL//katG//glcG//dcuS//fhuC//phoE//ygiB//gspC//slt//srlE//glgX//sfsB//yjbH//add//lyxK//ompW//purM//kbp//tdcD//entH//mgtA//fruA//tcyJ//artP//
OmpR	cydB//yhjA//nrfE//relA//tehA//caiE//ygiB//tnaB//alkB//recD//fadE//agaB//purD//rbsA//galT//gdhA//hybC//yiaL//sufD//gadX//hyfD//
OxyR	lrp//rhaT//phnJ//fliL//rpsO//srlR//garP//ynfK//murC//fadE//yegZ//katE//ppiD//malZ//lrp//glnG//gspI//gabD//ascF//fecA//rpmI//gspD//uvrC//yibQ//ydbD//hyfB//rseA//prpR//tyrR//tdcG//gcvT//dnaA//rnlA//aceB//
PaaX	ilvY//lpxD//lhgO//uspD//arsB//rbsA//gatZ//hybD//sroD//envC//pdhR//ydiU//nikD//paaX//
PdeL	recF//
PdhR	phoH//ydeP//ompT//fimB//yecT//fucP//gntT//folA//ybjC//rffG//nrfB//gdhA//yqhG//casD//ptsH//yrbL//nikR//ascB//fpr//srlE//caiB//hycI//phoE//appA//katE//ydhW//nusA//ybhL//purK//slp//oppA//puuD//glcE//insD//ynfK//lamB//gspG//lpd//ompW//wzzE//mtlA//
PepA	caiB//paaX//csgF//
PgrR	feaB//xapA//mdtD//gdhA//paaA//nuoM//nuoJ//malT//
PhoB	ynfH//nac//pheM//astB//citD//murP//yfdX//deoA//pgpC//ybhG//ychF//glcF//ydjM//slyB//ecpR//lolA//rpmA//cpxP//manZ//borD//emrA//cra//dpiA//araJ//phnF//pspC//relE//flgG//ybjC//hypE//agaW//ldtD//dcuS//chbR//fliH//rutD//tadA//aceF//xapA//leuC//sulA//accB//argI//tadA//pheT//srlB//fliP//sroD//cpxQ//ymjD//nanS//argA//fdnH//wecB//cysC//dps//bamE//ydfX//cadC//gabP//
PhoP	thrS//nanA//rpoD//spy//glpQ//rpoH//ybaT//mcbA//slt//nagE//fabB//galT//yeiL//mdh//aslB//ssrS//rutF//rutA//cspE//adiC//fecA//napF//degP//gor//psd//ascF//allS//wecE//hcaB//fhuF//mraZ//nanE//fldB//lldR//gntX//malI//glnG//alaS//ynbD//nirB//uxaB//leuB//rseA//yefM//nrfE//ruvB//relB//ynfG//malX//gudP//znuC//gadA//agaS//pflB//wecE//yjbE//
PrpR	efeU_2//fucP//ribA//nupC//hdeA//
PspF	iscU//recD//sucA//ppiA//add//rhaA//ytfE//
PurR	phnC//paaA//ybaS//nfsB//grxA//fadI//mnmG//dcuB//rhaR//phnK//arsC//nanM//hipB//moeB//ynfH//trxC//iraP//baeS//caiF//mtlD//ykgO//tdcC//gadC//astE//rpoE//chbB//hyfF//ubiX//yhiM//ruvB//galK//
PutA	bdm//napF//
PuuR	bdm//iraP//pgaB//hcaB//fabH//deoC//rpoE//
QseB	cyoC//potH//oppD//tnaB//
RbsR	phoP//mepH//rclA//bioB//recA//cas1//hyfH//adiA//rpsO//
RcdA	malX//phnF//yiaL//carB//speA//lacA//ptsH//ccmB//tisB//
RclR	yciF//cspI//uhpT//
RcnR	glk//ulaG//hokE//
RcsAB	fadM//yoeB//fruA//torA//phr//ykiA//garR//yccT//gspO//srlR//treB//iclR//csgC//glmS//rpsO//csgG//
RcsB	dmsC//prpC//ydfH//gspG//srlD//csrB//puuP//adiA//yeaG//folA//tehB//ompC//polB//lysR//trpD//lrp//ydeO//hns//metF//rbfA//ada//exuT//chbG//kbaY//gatC//
RcsB-BglJ	ynbA//entS//flhB//frdB//hemH//yhjC//purR//uvrA//casD//nmpC//uidB//nagE//nanC//yebE//metL//dnaA//
RelB	yjbG//hypF//gadA//
RelB-RelE	feaR//creA//purE//
RhaR	mdtE//qseC//
RhaS	manY//glmY//frdD//psiE//glgB//yfiR//
Rob	mhpT//agaB//phnM//dcuR//fadL//tam//argI//rstA//osmB//oxyS//citC//nanM//csgC//nfsB//phnP//xylR//phoU//fucU//flgM//hcaE//cysC//yidQ//pspB//nupG//spy//hycB//
RstA	ydbD//gabT//csgF//hycF//focA//cydA//creA//yaiW//tomB//emrY//
RtcR	ychF//gspD//
RutR	ccmH//yaiA//ygdB//yaiW//trpE//mngB//ahpC//psd//glpK//feaR//gltK//rhaT//fucP//ahpC//creC//glnP//yeaD//
SdiA	ldtB//sdhD//ccmG//dkgA//malK//
SgrR	cynS//fruA//wzc//yaiW//bolA//yebG//cysI//murQ//sra//
SlyA	appY//
SoxR	lysA//galK//katG//
SoxS	uspE//yhjA//znuC//yjbH//hdeA//ynfF//argD//sodA//paaX//casA//nanE//atoA//fabZ//csgC//pgk//phnN//glpB//citG//fecR//nadB//paaG//lsrG//creC//allE//mtr//paaI//rffM//fixB//nimR//fecA//tnaC//hycA//yafN//wecE//flgG//rutB//pqiB//rutD//melR//glcG//
StpA	pitB//frdC//hybE//norV//casC//cpxR//fliO//
SutR	btuB//pspA//yegH//ppc//ptsG//
TdcA	paaJ//rsmH//nemR//phnI//ybbY//hyfR//gcvH//
TdcR	wecB//fur//rutG//glyA//srlA//phnM//agaC//
TorR	relA//ynfF//ydhV//moaE//copA//gspC//uxuB//ldtC//ygeA//tdcB//lon//nuoJ//
TreR	dnaG//crl//
TrpR	ulaA//erpA//paaI//nemR//patA//nanA//ydhT//aroG//znuA//hypE//crl//tyrB//
TyrR	bdcA//mdtB//frc//sgrR//zraR//yqjI//yeaD//ynfF//lysP//waaH//chbF//phnK//
UhpA	norW//
UidR	dhaR//caiA//gapA//gabT//
UlaR	hlyE//katG//phnK//dinG//hyfA//glcC//csiD//
UvrY	rffC//patD//uxuA//potI//recA//
UxuR	torC//wcaB//umuD//mhpE//fabI//rclA//flhD//fepE//fecB//
XapR	hcaR//motB//
XylR	flhB//gatZ//yebE//recX//uvrD//metQ//yfaE//
YdeO	rpoH//cynS//fliI//recB//araA//accD//asnC//ecpA//gloA//hyfI//degP//hcp//hcaE//hycC//flgE//fimE//qseC//murF//fliO//sroC//glpQ//
YedW	cysJ//glcD//cpxA//caiF//yhiD//fabH//inaA//yfdE//malM//speB//yhdW//trpR//
YefM	nrdG//lrhA//
YefM-YoeB	cusB//yeaD//
YehT	dinB//
YeiL	guaB//
YiaJ	gcvB//ydiU//lgoR//mnmG//yfiB//ccmC//gntT//tcyP//ssuD//yafN//
YjjQ	galM//yqaE//agaW//fhuB//micF//hdeB//flgE//paaX//efeU_2//seqA//
YpdB	ascB//
YqhC	tcyJ//znuC//
YqjI	wecB//dcuB//
ZntR	casC//
ZraR	prs//hyfC//nikC//
Zur	seqA//yhbE//leuD//melB//ybjN//agaC//
