#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	napF//gspJ//
LrhA	phnI//wzxE//rbsR//sra//
LsrR	sroA//hyfC//purL//ydhW//csgC//gudX//phoQ//xapA//fucA//
LysR	ygiA//fliE//
MalI	cvpA//nohA//yegR//
MalT	ycjF//hybE//ulaD//efeU_2//nrfC//dcuA//bdcA//aceE//fumB//fecC//
MarA	aroP//katG//tauB//iraP//oxyS//pheT//ribA//purL//nanE//fecC//allB//nrdG//csgG//glpT//marA//fixX//oppF//trpE//mdtE//chiP//marA//yfiR//znuC//gntP//alaS//rnlA//ygdB//argF//ycjG//agaA//dcuB//frdD//glnH//cspD//hdeA//yfdV//nuoJ//fixA//
MarR	hcaB//mgrB//serA//
MatA	serA//rhaB//speB//guaB//bdcA//wzzE//rprA//argA//
MazE	xylF//ydcS//ttdT//
MazE-MazF	puuR//fecB//rhaB//
McbR	hyi//allB//gatY//nirD//
MelR	phoA//gatA//rutD//
MetJ	rcsA//fimE//lacY//trpL//dsdX//dpiA//ydhV//gadE//dcuB//cysJ//citC//casE//nuoN//yciX//idnO//
MetR	glnH//bolA//phoE//wrbA//fhuD//
MhpR	kdpA//fadM//agaA//rpoS//ynjI//ycjY//
Mlc	ahpC//nikE//bglJ//nuoB//eda//glpA//rbsR//fdnH//kdpF//ptsI//
MlrA	ybhL//cydA//ybbW//yciE//pnuC//araF//galR//gcvP//agaI//dinB//
MngR	cadB//rutE//zraR//
MntR	yhcH//sroA//phnE_1//yhbE//ilvC//
ModE	glgB//aroG//glpT//glpT//dmsC//murD//fdnG//murR//oppF//glpF//fabI//fldB//glnL//glmY//yhdX//sodB//rplU//yecR//uxaB//uidA//gspI//waaZ//zraP//argT//mglB//folE//purA//lacY//garD//ycjY//yeiL//hdeB//mgrB//argE//argE//atoA//ubiX//rhaS//folA//glnQ//soxS//oppC//fepE//hcp//hycA//pspF//
MprA	cysM//hha//hyfD//pnp//yoaG//ebgA//
MqsA	yncE//baeR//ccmF//mgrR//yhjC//uxaA//gatZ//cspE//
MraZ	caiA//glnB//dacC//fadH//ugpA//yeaD//appY//yfdE//rseB//dhaM//pstA//phnL//fliK//lexA//mntH//zwf//umuD//
MtlR	osmC//spy//hyaA//
MurR	mntP//ytfE//zraP//
Nac	oxyS//ycdZ//ugpC//lsrA//dctR//cyoD//chbB//cheW//micF//dnaG//phnK//pdhR//chbF//rbfA//iscR//oppF//adhE//yccT//yhiD//yhdZ//yebG//
NadR	astC//manX//mipA//znuC//
NagC	lsrC//purF//asr//astA//dapD//yibQ//modB//yqjI//recC//dapD//fiu//hycF//hcp//aroH//hemL//phoQ//ascF//citE//ilvC//fes//acrB//ydiV//hycB//mlc//ybhS//nuoI//fliL//rsmH//ydiU//phoB//ychF//hyfC//tcyP//araG//yccA//chbF//dmsC//
NanR	cra//argB//uidR//uvrA//yeiB//hipA//pqiA//cpxP//citD//gdhA//ttdT//
NarL	rcnR//guaA//mntP//gspJ//yiaK//nuoJ//isrC//ynbB//hlyE//ddpB//bioC//ulaF//ompC//mntP//pyrD//hypA//leuL//mglB//glgA//dacC//ftsZ//paaI//gdhA//pheS//frc//phnH//pepD//hycG//hdeA//sucA//gltK//thiP//araA//cynX//dgkA//yfiB//evgA//yciF//recD//murP//tehA//ilvY//csgA//csgE//decR//frdC//flhD//phnL//rnlB//lsrA//potI//hyfG//lsrB//lacA//rpoD//nanT//araG//metA//nikB//ibaG//feoA//fpr//lpd//gspK//phoA//carB//flgA//yiaM//trpL//uxaA//entF//fadL//pspB//yegZ//cydC//gabD//yefM//frdC//gabD//cas2//cysD//cusB//ybhR//cdd//feoB//narL//tdcC//ydhX//fabI//pgm//agaI//mhpF//ompN//mglC//polA//gltF//yqhG//purD//treB//dacC//ygiB//csgF//artJ//ydcS//hyaE//copA//purR//lldP//ssuD//sfsB//entD//ssb//ulaA//fnr//fhlA//cynT//cas2//cecR//malK//patA//mngA//pgaA//purB//
NarP	tdcC//sdhC//yhjC//mdtE//agaS//ubiX//uvrY//hybF//ydbD//dnaG//yqhD//sucC//pstA//hydN//yeaE//yhiM//tolC//mdtB//ybaT//lhgO//ftsQ//torC//ruvA//lsrR//leuO//htpG//ycgZ//tdcA//pdeR//fliM//tsgA//asnB//glpA//hybE//nirB//yjeV//yrbL//bioF//malK//cyaR//glk//yiaO//gabP//mlrA//ydiV//mscM//hybD//flhB//paaX//luxS//
NemR	fimB//deoB//sufD//
NhaR	csiD//znuA//ybhS//cbl//lsrC//dctR//fadR//
NikR	fruA//garK//flgD//mzrA//pgm//tolC//
NimR	ulaE//oxyS//
NorR	dhaM//glpX//frdA//
NrdR	sufE//glpB//glmY//murF//yfdV//agaC//hipA//cra//sufC//
NsrR	tomB//copA//rseA//phnF//yjbF//metY//lrhA//glpQ//ftsL//cpxR//bglG//fabZ//yoaG//fur//lysP//fiu//znuC//rstA//hypD//puuR//glnK//yoeB//uxuA//paaH//srlE//hyfH//yjeV//rffC//yhdY//hypF//chbR//rprA//glyA//fixA//phnO//paaI//flu//cysJ//fixA//yiiS//yegZ//csgA//hypF//hyfI//gatY//cecR//paaX//fliO//puuR//appC//ibaG//yhjA//fucK//xylH//crl//eno//wza//torA//hisP//ddpX//metE//hyaE//ecnB//gor//rplU//cysW//betI//yhjA//gatB//nemA//entC//sdhB//mazE//gutM//ppiD//tdcD//mazG//phnM//hypB//rcnB//oxc//gadB//rpsU//
NtrC	ynbB//hycA//gnd//hypE//ydfX//metY//yciX//ynjI//srlB//yhjC//fhuA//entB//rutG//gcvH//iscU//astC//ndh//lysP//hypA//tam//lysC//glmU//aroM//citD//metF//argD//cbl//hmp//nfsA//infC//purL//motA//flgN//yjbH//kdpB//umpH//srlB//sufE//treC//fadB//glgA//tyrB//rbsA//nrfC//tktB//pqiB//tdcF//gspG//rseC//
OmpR	mcbA//metH//hyaF//fliP//hyfI//gatC//lyxK//ycjG//fbaB//dcuS//gatA//higA//entS//fepC//ompF//focA//sgbH//astE//yoaG//ygbK//xylF//
OxyR	yhiD//modA//mzrA//pyrD//fau//ascF//glcD//aldA//ftsL//entA//modC//gspC//wzb//yaiW//mdtE//phnF//ydcT//ddpB//ybjN//agaW//grxA//agaD//gadF//yhjX//hyi//cpxR//zwf//oxyR//bacA//flgJ//flhA//ybhR//purN//ynfE//
PaaX	flhD//pstC//yjbG//puuR//znuB//malI//ybdZ//ppsA//ddpC//argB//patD//csgF//deoC//araG//
PdeL	flgF//
PdhR	hypC//emrA//dinQ//gadA//gdhA//ttdT//ppiD//ynfH//cysN//nuoL//rffG//hypF//garP//malQ//feaB//citC//ccmA//uidC//marA//ulaD//arsB//araD//dinF//fbaB//ccmG//fruB//glcG//fur//lysO//yegR//yhdY//gfcA//yhdY//uhpT//polB//phoA//chiP//cbl//ygiC//nuoM//pstS//
PepA	hcaF//sutR//ttdR//
PgrR	flgF//lexA//iscU//lsrD//rbsA//caiF//ddpB//csgE//
PhoB	ppdB//hypA//caiF//aceK//cadA//fadR//glyA//recB//rffM//idnD//appX//wecB//lysR//cysI//chbA//bglG//ulaG//tehA//tnaC//norV//yfdX//ygbA//ppdA//napG//purD//nrfA//atoD//fucA//yagK//mpaA//leuC//fliS//glpK//rclA//slt//tsx//purC//cysW//mscM//fabB//caiC//fliD//hypF//fhuD//nikD//rnlA//glgA//alaS//glcA//zraR//ldtD//speA//fepA//obgE//pspA//chbB//allS//xylA//aceB//phnI//
PhoP	pqiA//lrp//chbG//dgcC//fixB//yafO//lpxD//rarA//oxc//ttdT//rsmH//gltF//pgm//cysU//malT//pgpC//rffM//yfdE//dmsD//yafP//allA//tam//cysJ//fadR//acrA//hisP//dmsA//trpC//decR//yoeB//astC//rhaT//mtr//yaiW//gatY//yfbR//malY//rnlA//cdd//dcuR//pflB//glpK//ybhL//rcnA//entE//waaZ//mglC//nemR//citD//phnK//ybaS//cysN//fepD//bacA//glgX//ampC//
PrpR	ptsI//hycE//flu//yqhD//asnC//
PspF	tdcG//ybhL//fldA//chbR//betB//pspF//sdhA//
PurR	argC//dgcN//treR//agaS//paaZ//hyi//lrhA//lpd//glmU//moaB//ydiU//dnaA//mhpC//flu//cpxR//kdpB//phnF//fdhF//tcyJ//allD//rob//fadM//uvrD//ascF//dkgB//yjhB//evgS//nirB//uspD//purR//pstA//
PutA	ccmB//idnO//
PuuR	caiC//tolC//ydfD//yccT//citC//fldB//murE//
QseB	mnmG//ccmE//nfsB//pepD//
RbsR	obgE//gutM//metQ//rpoE//osmY//ftsZ//uxaB//allD//sulA//
RcdA	higA//cspI//lon//gutQ//codA//pspD//cysN//patD//chbC//
RclR	ebgC//ulaA//rclB//
RcnR	agaB//glxK//ybaT//
RcsAB	fimE//argO//tdcD//bglB//rpoE//entA//pspE//aceB//putP//glnD//phoB//kbp//patA//cadA//puuE//yiaM//
RcsB	hcaR//nanA//uspE//mpaA//nuoL//napH//safA//rpoH//csiD//yhhY//glpD//ybfN//osmY//fliI//lsrC//dgcC//gcvA//ydeO//gntU//puuC//sgbE//phnE_1//dcuA//norR//mtr//
RcsB-BglJ	yjbF//ugpE//gatA//nuoJ//rffM//chbA//tsr//gltL//amn//ugpA//ynbC//aspA//nirC//wcaB//mqsR//acrD//
RelB	yjbG//ygiA//eda//
RelB-RelE	ydfW//sucA//sucC//
RhaR	ftsK//rarA//
RhaS	gabP//feaR//ebgA//ybbY//hyfI//cspD//
Rob	mntS//ecpA//fadM//nfsA//murP//psiF//ssuD//rpsO//purA//nlpA//puuE//flgI//glk//pqiB//yqaE//hyfG//mhpC//mntH//argC//dsbC//aidB//spy//hcaR//ybdZ//tfaQ//ampC//
RstA	psiF//rplT//lexA//cysW//cydD//fabB//fepC//ftsK//putP//mlrA//
RtcR	dnaA//hybG//
RutR	pgaB//fiu//trpC//dkgB//sroA//dctR//nadB//nanM//sroC//gspH//lolA//fliG//fecI//rhaS//ydeP//metQ//feaR//
SdiA	ubiC//glnA//speB//metR//hokD//
SgrR	hisP//phnP//ybjN//fabZ//glpK//gudX//cpxQ//gcvB//fhuE//
SlyA	lsrD//
SoxR	wecB//fnr//chiP//
SoxS	iclR//gadF//pyrD//gspD//dctR//fixB//bdcA//poxB//appB//gspM//glnP//torA//mdtA//folA//fliR//rpmA//agaB//gpmM//phnM//metQ//yiaO//araF//yjbE//tnaB//nikE//trpB//rcsA//pdeR//ybjC//ssuB//fruK//edd//prpR//tonB//sucC//sufS//yeaD//glnL//recX//paaX//
StpA	entB//ulaG//hybG//trpB//yhjA//mipA//bglG//
SutR	atoB//emrK//obgE//ddpF//lon//
TdcA	yciF//glcA//oppD//nfsB//oppD//pheM//srlB//
TdcR	dinD//ynbC//cusB//hypE//ymiA//ynbA//relE//
TorR	cusB//hdeB//potF//mpaA//cas2//lysA//fdnH//gcvT//betT//fliA//zinT//csgC//
TreR	crl//phr//
TrpR	ompF//tsr//pgm//trpE//gspH//gatA//iscU//dhaM//flgH//fruA//mraY//prpE//
TyrR	xylH//nadA//cysG//mepH//idnD//rstB//mglA//yiaJ//cysC//nuoH//yiaK//rbsB//
UhpA	lysR//
UidR	potF//glnP//nrdD//yiaO//
UlaR	ydjM//fabI//purD//fadM//oxyS//nlpA//tyrA//
UvrY	rutA//gspM//hisM//rbsA//yhhY//
UxuR	relA//argI//gntT//ldtB//uxuA//ttdR//metI//fau//srlB//
XapR	torD//nrfE//
XylR	metC//cysN//hcaE//trpC//modC//fucR//marR//
YdeO	cysG//rpiB//fabG//accA//yoaC//dpiB//cas1//lysO//motA//deoC//cadA//oxc//uidR//cysU//gadW//fadH//ynfH//efeU_1//paaG//malY//potI//
YedW	edd//moaE//rcsA//gadB//yiiS//citC//alsA//pspB//arsR//trxC//mazG//pepA//
YefM	fecB//hyaC//
YefM-YoeB	ydhW//rseB//
YehT	dicC//
YeiL	glk//
YiaJ	ydhX//pdeR//yiiS//trxC//ycjG//nanC//leuD//znuB//gatB//osmC//
YjjQ	rpoH//ruvB//rbsD//argI//norV//ycjX//gspK//ompW//pyrD//ydiU//
YpdB	fliQ//
YqhC	modB//bglB//
YqjI	nanA//thrS//
ZntR	nimT//
ZraR	ddpC//metR//purK//
Zur	tnaC//ydcU//sodA//argC//ygiC//phnN//
