#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	gspC//nanS//
DpiA	agaI//ccmF//arsB//fliH//phnC//ydhY//dpiA//hflD//gspE//glxR//fdnH//
DsdC	fliP//recC//marA//
EbgR	fruK//bglG//
EnvR	puuP//gcl//
EnvY	mpaA//paaK//
EvgA	tdcA//hipA//lysC//bolA//rbsD//fecE//cynS//fliZ//nikA//pheM//sgrS//alkA//pck//ydhU//adiC//ycjG//mtlD//ygiC//nrfE//
ExuR	rbsR//chbF//yeaG//trpL//phoU//malE//tnaB//rhaB//ddpB//
FabR	flgG//yegH//
FadR	napC//ybdN//yedX//metK//hcaB//cysC//yidQ//zinT//ddpC//phnI//galR//gntT//allE//lysR//dsdA//lysC//phnN//nanS//modA//cusB//dicC//nrfB//asnB//
FeaR	ycjX//sdhD//
FhlA	fadD//aceA//gudP//trpB//hlyE//rutG//rimP//mhpT//yebE//hcp//fruB//rdoA//paaG//paaK//fadD//yibQ//fepC//sufB//fecI//malP//glnL//bhsA//mdtC//fadE//hcaR//insK//glpK//sgrS//psd//borD//
FlhDC	speB//argO//purK//dhaR//bglG//yhcH//chbG//purH//ydbK//gloA//mgtL//fadM//rplU//glpX//fadI//yebE//agaA//ybhF//accA//fnr//ydeP//mhpD//fecC//metJ//hyaF//ynfE//lldD//rseC//modB//carB//flhE//hdeA//metB//gloA//xylB//yqaE//yncE//isrC//nuoB//idnK//feaR//setA//oppB//obgE//hokE//recC//rbsA//ykiA//ftsQ//pstA//mazG//mlrA//paaE//dps//htpG//yccT//deoB//exuR//hyfR//wza//mpl//nimT//frdC//uxuR//gyrA//xylH//csgB//dmsC//prs//gabD//fadA//pqiB//lldP//murG//aspA//xylR//tcyJ//bacA//purL//mipA//dcuR//ydeM//
FliZ	bioC//umuD//ssuD//srlE//sgbH//hlyE//gatA//yoaC//gadW//ynjI//lacA//nuoJ//fnr//mgtA//cysP//gntK//garD//mhpB//hipB//betI//glxR//
FucR	dkgA//wzb//yeiL//uhpT//yafN//lpxD//mazE//
Fur	ompN//dgcN//fliH//yedX//accA//fhuF//mipA//rutD//rpsU//entA//bioA//chbR//ftsL//xylB//dgcZ//flgN//sroD//gor//atoA//adiC//tisB//hcp//hdeD//cysA//folA//ugpB//fiu//pheM//yoaC//fadR//paaF//nanC//frdD//uspA//sbcD//rseC//rffH//fixX//phnJ//kdpA//tdcG//rplU//recN//ahpC//aceB//frdD//ugpA//rffG//ymgA//araD//tauA//gpmM//mntP//sroD//dkgA//hyaA//moaC//hycH//hisP//ycdZ//puuB//tolC//hyfC//pstA//asr//gltD//phoU//agaC//ftsA//malT//obgE//ymjD//cusC//ydeP//dgcZ//rstA//mtr//cas2//lgoR//tcyP//ppdB//casC//paaY//amn//fumC//paaI//lacY//trpC//rpoS//murF//yhiD//nuoI//carA//xapB//hisJ//narI//sucD//uspD//lpxA//yfbR//gntT//idnT//metA//appB//nimR//ycjY//fecC//tolC//pspB//nupC//kbp//purH//patD//fepD//gudP//argE//citF//yafO//potG//yciE//fecD//pnuC//csiD//pspD//flgM//fucP//betB//pqiB//glcB//ynbC//
GadE	gntP//lacY//folA//dpiB//cydD//yoeB//hybD//paaD//fliP//aslB//hycG//purB//accA//mprA//ppiD//ogt//caiC//sufC//prpE//soxR//inaA//acrB//rbsK//thiP//dnaG//lsrF//dgkA//pck//ydfN//
GadE-RcsB	chbG//ychF//citX//hyfD//dmsA//galR//ynbB//mhpE//dapB//
GadW	ynfF//infC//serA//paaC//uof//ebgA//trpA//fucP//idnO//sra//fliZ//xylH//argF//uspE//ung//
GadX	artJ//slyB//nanM//ldtD//patD//paaH//tehA//casC//murC//moaA//allS//lpxC//fumC//moaD//cdaR//glmU//rimP//entE//fucK//fixX//yhdY//ccmA//nanC//gadC//fadB//nuoG//rseA//accA//iclR//
GalR	tnaA//yqhG//pepD//yidQ//infB//talA//hemH//znuC//gspI//rpiR//
GalS	fliA//sbmC//hcaE//malQ//yegH//lsrC//hybB//creD//ynbD//yfdV//
GatR	nuoB//aidB//garL//bglB//wzyE//aslB//
GcvA	nagA//nohA//metB//yhdX//phoA//
GlcC	hcr//ymjD//glxR//ftnB//hypC//glnG//yhdX//
GlpR	ymiA//flhD//ccmA//carA//metI//lacZ//gltK//ydeN//phoA//
GlrR	csgB//nikE//cspD//evgA//ftnA//
GntR	metN//ydeN//hyi//efeU_2//trpB//yfdX//putA//rarA//fabD//aslB//csgF//feaR//
GutM	galT//ydhY//emrB//aroG//cysW//aspC//narH//
GutR	rffG//flhE//yjjZ//stpA//rob//cynR//flgG//
HU	oppD//yhbE//ihfA//yhiD//thiQ//betA//ecpR//ynbD//eno//
HcaR	fliP//rob//fixC//purE//betA//cra//
HdfR	mzrA//ttdB//glgA//yiaJ//yhjA//
HigA	tnaB//micF//
HigB-HigA	ompN//caiA//
HipAB	ycdZ//entS//oppA//araA//yidQ//
HipB	oppC//gatC//pstS//fimB//uidA//flhE//
HyfR	fabH//rpmI//lsrF//glnQ//ppiD//astB//pdhR//pspG//mgtL//adhE//narJ//fabD//
HypT	modA//gltD//modB//ldtC//rtcA//mazF//glgP//fdnI//mglC//tauD//oppF//zntA//gatC//
IclR	uxaB//gadF//ycjX//bamE//
IdnR	ydfH//yccJ//ftsA//torC//tauD//fdnI//pflB//
IlvY	yegH//fes//
IscR	wcaA//moaD//ldtD//fadI//allS//csgE//amtB//yeaE//entA//acrR//yafQ//alaS//recF//dtpA//fhuE//allA//citX//idnD//evgS//sbcD//ycjX//ppdA//ldtB//osmB//ccmB//ftsI//srlA//crl//rimP//betI//bamE//purF//
KdgR	fucR//mazE//
KdpE	accC//frdB//yiaN//nuoJ//
LacI	rclA//hyfD//infC//
LeuO	degP//flgL//fliP//tolC//fucI//wzc//fhuF//iscA//sroD//ymgA//ahpF//ttdR//hyfJ//yccT//hisM//yfiB//ydhT//ydbK//glcG//deoA//
LexA	ubiC//nikA//metR//gatA//rpmA//oppB//recA//infB//casA//iscA//flhE//argO//mntP//hisJ//agaD//fur//seqA//mqsR//dinI//aroH//betA//nuoB//cysD//seqA//cydC//tauC//pgk//motB//aceK//nrdI//napC//ldtD//yeaD//malE//flgC//insD//hybC//lldP//tdcE//flgN//yecR//fliG//dicC//zraP//fdnI//ftnB//cspE//rbsR//gapA//cusC//tnaA//uvrY//cirA//ubiC//ppdA//ttdT//gltL//napG//mtlA//
LldR	kbaY//rbsA//mntH//
LrhA	napF//gntT//guaB//fhuA//
LsrR	ymiA//sbmC//ybjG//paaG//trpB//phnH//fadL//hyfD//rcnA//
LysR	rpoD//ymjD//
MalI	lpxC//dhaR//hyfF//
MalT	nrdH//citE//ibaG//htpG//dctA//torR//gatZ//gabD//araA//motA//
MarA	glnK//gpmM//ymiA//ttdA//narH//dpiA//nlpA//acnB//yciX//ssrS//pepA//zraS//sgrR//cysC//rffM//glnQ//ecnB//recA//lgoR//hyfB//csgC//hyfJ//pck//sucA//asnA//umuD//nrdA//rffT//nikE//pflB//zntA//hyaD//mhpB//rcnB//caiC//rnlA//puuR//bioD//
MarR	lsrC//ryhB//dhaR//
MatA	yciW//ygbK//gadY//gdhA//fliP//dmsA//puuD//nanK//
MazE	ddlB//mscM//ppdA//
MazE-MazF	iscR//nfuA//phnE_1//
McbR	ykgO//flgG//agaI//osmB//
MelR	hycE//rfe//bioF//
MetJ	cyoB//cheA//uxaB//norR//pstB//ompF//ydfE//ydcU//puuR//yfbR//rcsA//fliC//trpL//pstS//oppA//
MetR	uvrB//treC//gltD//sroA//cysE//
MhpR	lgoR//mdtE//ebgC//torR//leuO//lacY//
Mlc	hha//sodA//cydC//rpoE//nrfA//prpE//ddpA//ptsG//ygeA//rffM//
MlrA	pstC//argD//metN//recF//fecD//astE//ydhW//gspD//ydhT//yciG//
MngR	tolC//mazE//rpoS//
MntR	fliQ//fimE//caiB//hyaA//bioC//
ModE	hypE//argE//nrdG//flgC//frdA//pncB//mraY//galM//moaA//ascF//yhjA//phnF//dkgA//cynX//hcaF//hokD//tdcB//glnL//bglJ//yjbG//gcvA//trpL//hcaF//moaA//ftsI//citG//yafP//gspI//ung//gadC//cho//dgkA//ydeN//yiaJ//dpiB//xylR//flgK//ptsG//dmsC//citD//acrA//oppA//iscR//nuoN//cysW//yhjX//
MprA	lolA//thrS//feoB//phnK//puuA//xylH//
MqsA	lysC//fdnH//allB//fimB//cra//mioC//phnI//sucA//
MraZ	xapB//zraP//cydB//rhaB//torR//nuoG//phnD//napH//moaD//nrfE//ytfE//pdhR//cadC//hcp//narG//grxA//leuO//
MtlR	dgcC//agaA//hcaR//
MurR	ychF//casA//mazE//
Nac	gadX//tnaC//crr//ddpD//dps//srlD//ygiB//umuC//gfcA//dps//gspK//flgD//phr//accB//malT//dhaK//lon//dcuR//nupC//araJ//fliP//
NadR	murF//ydhT//rhaB//ygeA//
NagC	cusC//glxR//flgN//csrC//gspI//gspD//tadA//agaB//purC//cysJ//phnP//nagA//hcaD//rstA//yqjI//sucD//cydD//polB//hcaC//ulaD//tauC//ddpX//glgC//rimK//fepB//ygbK//rnpB//yedX//rstB//csrB//ubiA//bglJ//paaB//murD//hycD//yiaO//ydfH//
NanR	fecE//galT//mhpT//rpoD//lsrD//csgD//nrfE//phnH//pstS//wecE//fes//
NarL	fadE//pheM//nuoI//garP//potF//nusA//caiT//artM//cysU//insD//mgrB//ydcV//rutG//motA//wecC//yhdZ//fadA//mepH//erpA//hyfF//glgA//fabZ//phnC//cysD//aspC//agaI//pnuC//nrfE//ssuA//araF//yhdY//pflB//appA//chbC//hyi//rcnB//glmS//dmsD//sdhC//yjiY//paaA//rhaD//tadA//nuoL//kdpC//pstB//polA//csgF//dsdC//thiP//gspJ//hybF//acnB//fecR//entA//asnA//ldtD//gudP//idnT//acnA//torC//ariR//dicC//fadI//caiC//recA//mhpF//pspF//purB//uxaA//pgm//aceK//hokE//cynT//hipB//entA//entB//cysK//uidB//casE//micF//sufE//umpH//dsbG//caiF//nikB//cysC//mdtE//adiA//hcr//araF//lacZ//pepA//ahpF//yccJ//mhpF//carA//trpD//galT//mdtA//ycjG//nuoH//fixC//flgA//phnN//phnL//iscU//flgA//glyA//fliI//artP//yqhG//polA//dkgA//cyoE//fecE//tdcD//cusC//deoB//creA//cyoA//adiA//acrR//
NarP	appB//glcD//feaR//cydC//mngR//cysM//lpd//micF//ung//hyaC//znuB//fruK//idnD//hycI//gudD//tnaB//fliS//crr//cadB//agaD//dapD//mntP//cadC//napF//dctR//flgG//iscU//dinQ//dgcZ//flgE//sufC//pheT//creB//hcaR//codB//galR//atoE//citX//yhjX//citF//agaS//pflB//gcvT//sroD//betT//ynfH//sgbU//tnaA//sgbU//metE//
NemR	flhE//leuD//lsrD//
NhaR	znuB//citX//sbcC//lysA//ttdT//nlpA//cpxP//
NikR	gadF//mazG//emrA//glnH//uxuB//aroM//
NimR	fecI//katE//
NorR	leuB//agaC//sdhD//
NrdR	nrdI//fadA//yjiY//flhE//skp//nuoI//grcA//setA//phoU//
NsrR	aceF//mqsA//phnO//dpiB//dcuD//wzxE//hdeA//nikD//chbG//putP//mlrA//rtcB//fdnG//cysK//cysB//phnM//ygeH//nfuA//yeiL//fepG//sufS//ulaF//astA//tehB//cysU//speB//recB//mtlR//aceA//rutB//galM//amn//gpmM//cyoD//cho//ahpC//acrA//rutA//melR//cho//exbB//cho//eno//hyaC//ynbC//poxB//nrdD//leuB//chbC//ydfX//hcaB//yoeB//agaI//hipB//murC//fliJ//ung//gcvH//mdtD//degP//puuD//accD//mnmG//xylH//ftnB//ryhB//yiaM//yhbT//lhgO//recX//nfsB//potF//murR//accA//metN//gcvB//ybbY//recD//fliI//nanK//nupC//katG//ynbD//
NtrC	citF//ppiD//higB//ubiX//iclR//deoA//aroH//zwf//hyaB//glmY//cysD//iscU//cusC//ruvA//grxA//truB//chiP//ftnB//sodB//rffH//rybB//hybB//sufA//melA//ccmC//murQ//nrfG//dinG//umuD//malE//fucA//evgS//gadA//pgk//fliI//ttdR//ydeP//dsdX//ynbB//ygeA//wecE//pspC//malM//fliF//iscR//lyxK//napG//ampC//yefM//
OmpR	treB//cpxP//rutA//flgI//pspG//srlE//gyrA//hemH//dhaM//ulaE//casE//argR//ugpA//alsE//ldtB//dmsD//nfuA//gutQ//glnP//lacA//tyrR//
OxyR	umuD//tyrP//thiP//fliO//ecpR//ulaF//iscS//rhaA//hyfG//prs//gadC//lamB//metL//ftnB//murI//ruvA//ssuC//rffG//dcuS//flhC//hycH//entE//ulaD//ssuB//yaiW//pspB//glxR//modB//lysR//napC//acrA//rprA//tdcE//glpT//
PaaX	dctA//paaY//tyrR//glpK//tehB//yhiD//lolA//grxA//ftsW//gutQ//ugpQ//gspI//hyfH//wcaB//
PdeL	caiE//
PdhR	gcvT//kbaY//yeaG//gltB//pqiA//purE//fucA//truB//rybB//ariR//ebgC//yfiR//rsmH//hybC//fecC//ppiA//tdcF//moeB//hcr//purM//mdtB//rfe//ompW//gspH//agaD//idnK//narJ//ugpA//ccmG//narK//purF//fepG//motA//baeS//deoC//sucC//trpB//hybC//gltI//fhuE//deoC//
PepA	pspG//ascB//nuoA//
PgrR	ulaB//cvpA//purN//aldA//yaiW//glcE//yhbE//nuoH//
PhoB	ompN//folA//adiC//mtlA//oppF//cusB//gdhA//ebgA//araG//hipB//fliD//melR//cynX//sbcD//mhpT//tynA//ydhU//rprA//nrdI//btuB//ynbD//slt//citD//zwf//yafQ//gltB//tbpA//ttdR//cysB//ydeP//dhaM//yibQ//alaC//yqhD//cynT//nfsB//casC//fumB//tauD//cynX//araG//ptsI//kbaY//leuB//lpxD//hyfI//alsC//araE//murG//hcp//acnB//paaC//mlc//fepB//fepA//ssuD//argO//nanC//dmsC//marB//
PhoP	cysJ//caiA//psiE//sdhB//tauB//bglJ//trpR//relB//potI//nhaA//hypE//mlc//ydfX//hybO//astB//fabD//glnP//nimR//thiQ//flgK//ydcU//melB//soxR//flgM//hyfG//ykgM//nrdE//rseB//dctR//sra//rpsU//casC//bhsA//gdhA//rffG//yqjA//tomB//malE//tehA//glmU//degP//tsgA//ptsI//gltJ//ftsL//yfdV//creA//narK//dsbC//cdaR//ygeH//dnaN//ycjX//ynbD//seqA//higA//
PrpR	torA//ybdN//rpoS//cyaR//nrdE//
PspF	dsdA//zraS//hyfE//gspF//crp//xylR//alsB//
PurR	yecT//oppD//nrdG//malK//glcB//citG//mdtB//gadX//patA//idnO//yidQ//hcr//ycjY//ccmD//fliF//nanM//csgD//exuT//modB//gltL//hypD//purH//creC//manY//hha//tcyP//mngB//tnaB//ugpQ//mgtL//yaiW//
PutA	manY//znuA//
PuuR	ubiC//ppdA//betB//yciG//creD//oxc//phnM//
QseB	recX//nrfE//nikC//citG//
RbsR	aidB//araA//phoB//acrZ//sroD//purK//ddpD//rseA//gltL//
RcdA	cheW//fecE//agaR//ppdC//relA//ycjG//argE//hlyE//yneM//
RclR	nadA//nfsA//hypB//
RcnR	metQ//glnG//cysC//
RcsAB	fliA//rprA//hydN//cho//puuC//sgrT//relA//argC//sbcC//hyfR//hycC//gpmM//molR_1//hipB//leuD//fixX//
RcsB	rclA//mdtD//cyoE//ecnB//ldtD//ompW//ompF//yafO//ompF//ilvC//gspL//caiB//atoB//gloA//iscS//nagE//dmsC//phnE_2//nuoM//kdpC//yciG//ppsA//mntP//codB//ugpE//
RcsB-BglJ	fepB//acrA//sufE//tauA//entS//phoU//rclC//nuoN//lpxA//ydeP//asnC//idnD//purM//eno//rffC//araJ//
RelB	talA//artQ//btuB//
RelB-RelE	nusA//glgA//mngB//
RhaR	phnO//fhuC//
RhaS	puuA//cyoB//fliE//ybjG//pdeH//yhbT//
Rob	grcA//iscS//nrfF//eno//araF//yciF//mhpE//flgC//nemR//feaR//pyrD//flhA//fecR//accA//gspH//marB//yaiW//recN//ssb//ariR//fadI//ulaD//uidB//ascF//argF//pstC//
RstA	deoC//sra//trpL//leuD//rplT//fepB//lpxA//fldA//fliK//cydC//
RtcR	purA//tdcF//
RutR	rcsA//csrB//gltJ//gapA//paaA//gltJ//cydC//hypD//gltJ//metJ//recX//gadA//efeU_1//gspI//nuoI//glnH//yhbT//
SdiA	betA//iclR//rcsA//rpoH//ulaB//
SgrR	hycC//rpmI//paaZ//argA//fucA//malM//betA//tolC//agaD//
SlyA	argD//
SoxR	argC//adiC//rplU//
SoxS	sra//grxA//frc//pgaC//ydfD//agaD//sucC//potF//malT//lyxK//feoC//ihfA//pqiB//osmY//trpA//paaG//rimP//nuoL//fes//rbsK//hisJ//wecE//gntU//torD//cspD//ygiC//phnE_1//cbl//yhjA//hflD//fliH//caiA//rstB//rcnA//ygiA//lacA//murC//malE//cdaR//ruvB//
StpA	ytfE//mraY//rcnB//fliJ//hisQ//prpC//uspD//
SutR	flhA//argG//hycB//sufS//malZ//
TdcA	fadI//hcaR//hlyE//pheT//hyaC//adhE//exbB//
TdcR	kdpF//acrA//phoQ//pagP//speA//garR//alkB//
TorR	gntP//fliK//nanT//yegR//mdh//araH//ascF//flgK//cynT//fliD//ccmH//phoA//
TreR	astB//glcF//
TrpR	metY//mzrA//fdnI//yciF//dinD//kdpA//tolC//ygeH//fnr//glcC//cpxP//fadD//
TyrR	fepC//caiD//narJ//fnr//puuC//mntH//cynR//modC//alsC//erpA//uspA//nadB//
UhpA	pstC//
UidR	tauA//fliR//grxD//yhiD//
UlaR	ybfN//yeaE//ybdN//aceF//yqjI//kbaY//phnJ//
UvrY	ilvY//yciG//cysH//hyaC//agaW//
UxuR	pheS//rnlA//nikB//lpxA//recC//glmS//tehA//aceB//cirA//
XapR	ybfE//ftnB//
XylR	fliP//entA//grcA//ftsA//rhaB//oppB//fecC//
YdeO	ogt//yoaG//casB//wzzE//trpB//metC//dsdA//bdcA//potH//ycjY//rseA//ulaC//ahpF//yqhG//aroL//araC//cas1//fixC//gspC//slt//gspE//
YedW	gpmA//phnG//flgM//ttdT//phnG//psd//ppdC//glgC//yhiM//fumC//edd//chbF//
YefM	fdnI//truB//
YefM-YoeB	ppiA//entE//
YehT	qseC//
YeiL	seqA//
YiaJ	dtpA//ybiT//kdpB//ttdA//eno//nemA//lpxD//casE//gcvA//lsrK//
YjjQ	ccmB//leuA//ulaC//uof//asr//ynbD//ymgA//moaB//crr//ygiC//
YpdB	oxyS//
YqhC	hyaB//trpC//
YqjI	kdpF//aidB//
ZntR	argT//
ZraR	fldB//truB//ompT//
Zur	moaC//cysN//alsA//pykF//allD//patD//
