#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	galS//purD//
LexA	aroF//nuoF//yncE//chbF//citD//zntA//casE//araH//glnK//gabT//fliE//pgaD//dkgA//cheA//nrdA//talA//glnQ//fepA//flgB//pdhR//pstS//ptrA//garL//folE//glcG//grxA//murF//fecI//sgrT//dtpA//frdB//uvrC//fixB//gntU//lgoR//yrbL//mngA//gudP//araC//yiaM//ulaB//relE//rob//cas2//psd//insK//cspI//puuB//ykiA//wecC//xylH//yjbG//pspA//fadH//slt//cysC//yaiW//dsbC//yfiR//
LldR	casB//entE//rbfA//
LrhA	tauC//glmU//cyoE//pnuC//
LsrR	yeaG//ydeI//yhbT//yhhY//pgi//dmsA//nuoB//cydA//ytfE//
LysR	feoC//dsdX//
MalI	ybjN//btuB//cysI//
MalT	gspC//osmY//argH//osmY//yiaL//uxuB//slt//mprA//crl//kbaZ//
MarA	ssuE//ydfE//ccmB//ecpA//hycC//pagP//prpC//ecnB//pspD//pdeR//glcA//tfaQ//garR//astD//yeaH//dacC//tnaC//wzyE//hypF//astB//accD//glpA//hyaC//lpxA//zinT//ydfH//narH//ymjD//flgF//dnaN//nrfC//glcA//dpiA//fhuA//phnI//lhgO//cysH//umuC//
MarR	puuA//fucP//norV//
MatA	fliO//psiE//fucI//ecnB//murE//rbsD//cysU//frdA//
MazE	ygiC//rsmH//ariR//
MazE-MazF	glpC//glpD//kdpA//
McbR	mngA//hypB//ttdA//yrbL//
MelR	umuD//ruvA//alaS//
MetJ	fecB//aroL//cbl//lysA//hyaA//mglA//fliF//iraP//xylH//hycI//lldP//phnE_1//recA//fimE//motA//
MetR	ccmC//uof//uxuR//psd//ynfH//
MhpR	hokD//fadL//lysP//rhaT//flhC//nimT//
Mlc	sodB//yjiY//mepH//fepA//pgaB//argF//ada//cspD//carB//galE//
MlrA	yjbE//moaB//aceA//chbF//lldP//hybE//mioC//waaH//flu//ymjC//
MngR	paaJ//fabB//araA//
MntR	entS//argR//xylF//moaC//allE//
ModE	glpD//tbpA//infB//garD//nrfE//astE//lsrK//ycjF//hemH//hcp//fepC//pspD//ugpC//ryhB//bamE//gcvA//rpsU//agaB//crl//allC//iscS//sufC//dicB//rob//rhaR//sbmC//umuD//dmsC//exuR//fecA//bolA//tauD//lamB//paaK//deoC//ygiC//flgM//dsdA//yidL//uxaC//umuC//galR//insD//rob//yaiW//dmsC//
MprA	yccA//glpA//sgrR//hyfF//hns//rplU//
MqsA	trpR//folE//yhiM//yfbR//nrdI//yafN//rseB//fpr//
MraZ	wzc//tomB//uvrC//adiA//appA//hybC//ybdN//fliR//spy//ybbW//cytR//uidR//paaD//aroM//ugpQ//gadW//wcaA//
MtlR	ugpA//gntP//ydhW//
MurR	hycB//ybjC//uvrY//
Nac	galM//codA//yafO//pgpC//arsR//qseB//sgrR//nfsA//pnuC//tyrP//uspD//pdhR//trpB//aroM//ugpE//fixC//sodB//cpxP//hemH//cyaR//artP//
NadR	caiA//gltL//hycI//ilvC//
NagC	yiaL//gatB//creC//ompF//yhjC//narX//hyaE//flhB//nupG//gadX//dgcC//rtcA//uvrC//appB//pdeR//hypC//dhaK//mazF//nirB//ddpB//btuB//potF//dgcZ//garK//ybaT//gspD//pgaA//melR//flgN//obgE//potF//feoA//nikR//glmS//citC//fruK//yqhD//
NanR	nanT//patD//hybF//yagK//fucI//bglJ//glyA//nrdI//torA//gntX//sulA//
NarL	lldP//yhdY//yeaD//glcD//phnD//fepA//napH//glk//fliE//hdeB//fixX//carA//mpaA//hyaC//ssuB//casD//rffH//rpoH//artQ//ybhF//ygiA//ulaD//ssrS//ymgC//rutF//malX//cydA//uxaC//yibQ//modA//fepD//yhhY//dapB//spy//tyrA//phoU//ygeA//nagB//ftsL//entS//nac//fliI//recD//appA//fabB//gntK//flgA//psiF//pspG//murQ//mgrR//hyfB//patA//gadX//serA//glpF//ptsG//ynfF//csgC//grcA//fecD//hyaF//relE//entH//mioC//hybC//gcvH//rcsA//copA//btuB//hycD//cyoA//potG//entH//phoH//flgH//napC//cspE//paaA//yhdW//hybA//dsbC//potF//metN//caiT//uidR//gcvB//hypA//nagA//metB//rpiR//murC//bglG//glnD//agaA//creC//hycA//pepD//codB//malZ//cynR//yebG//paaB//hybG//ecnB//araE//ndh//ydcU//fliP//qseB//tpiA//hyfB//rpsU//kdpC//hha//tam//acrZ//ynfF//fliI//malX//fecR//cysE//spy//
NarP	accC//ynbD//ddpB//fliG//dsdA//flgG//bglG//atoE//acnA//lacA//nanA//rpsU//polB//moaB//arsR//nrdF//ynbD//gadC//atoA//citE//mhpF//murD//sroD//rtcA//uxaB//relE//argC//codA//hyaB//mhpF//ygiC//dinI//yegR//appB//rob//pykF//nimT//hflD//cusS//rutR//rffM//evgS//tomB//fecI//rutF//ompF//uspD//ycjY//gatZ//zwf//
NemR	gadA//cdaR//crp//
NhaR	hflD//lsrF//nanK//caiB//fliR//nupG//degP//
NikR	nagB//rimK//glk//degP//ykgO//garD//
NimR	mqsR//nuoM//
NorR	hisP//garP//uxuA//
NrdR	safA//sgbU//rsmH//lacA//tnaA//dsrA//yafO//hycE//nirB//
NsrR	fixX//hyaA//rnlA//relE//fhuE//seqA//bioB//ftnA//tadA//ynbB//malE//fecC//hycG//sdhC//ybhR//cadC//yeaE//acrZ//sgrT//argE//idnR//fixC//ssuA//yhjA//hipB//folA//alsE//zraR//nuoI//dctA//tsx//iscU//atoB//nlpA//rffT//alkA//ibaG//cadC//trpR//glnA//paaD//carB//nimR//wecE//dsbA//ytfE//caiB//torC//fucI//citE//yqjI//dps//ppiD//mglC//rffT//patD//idnR//ykiA//erpA//fnr//dgcC//ydcS//yciX//acrB//yciF//dsbA//thiP//nuoL//folA//sodB//carA//rimP//rybA//ynbC//yiaJ//fhuD//ygeA//gfcA//mhpD//ugpQ//yegZ//yeaR//ycgR//
NtrC	cdd//ygbK//osmC//paaG//deoD//uxaC//astC//nemA//fabG//nupC//gpmM//cynT//recX//nac//metQ//glxR//araB//relB//uidA//symE//phnJ//malQ//betT//ppsA//dgkA//rsmH//nikC//baeS//glmS//omrB//ompC//trpL//hybO//pykF//araJ//gyrA//nirB//lrhA//csgD//mpl//dicC//hyfC//yiiS//grxA//glgC//ybjN//mtr//cysN//rutG//
OmpR	ssuA//dsdA//ydhY//hyaC//fucK//glpX//sra//hcaD//phnK//dhaK//norV//araB//nikR//fliO//frdD//phnK//yeaE//bioB//astB//tsx//ubiC//
OxyR	ybhG//leuL//ybaT//cysB//trpE//entB//gspG//cdd//ybhF//nuoF//cusR//iraP//hypC//fdnG//pgm//mdtC//rffG//xylA//metB//fdnG//hycA//aspC//setA//glpF//aslB//gpmA//cysK//hdeB//citG//ssb//yidQ//ybaS//hyfD//ulaB//
PaaX	fdnI//yccT//norR//sodA//murQ//leuB//lsrC//fecI//pyrD//ydcV//accA//mdtB//nanK//ygiA//
PdeL	hyfJ//
PdhR	ubiC//moaD//cpxA//oxyS//relB//mcbA//malM//yhjC//treB//frc//fecA//cyoC//araD//ecnB//hipA//exuT//fadH//flhB//recB//fliM//tsr//rcnA//garK//argP//gcvT//skp//ebgA//tpiA//yfdX//casD//psiE//nanC//trpL//waaZ//nuoG//ydjM//ybfE//yfbR//ccmF//rimP//ydhT//
PepA	fau//relB//ptrA//
PgrR	tsgA//csrB//glcF//acnB//yeaG//rcnR//glxK//yhdX//
PhoB	cusB//pspA//fumB//gltI//gpmM//araD//galR//ada//ybaS//argR//nrdD//gspG//fepD//tisB//pgk//flgA//cheW//lldR//ptrA//rbsK//dkgA//mazF//cyoC//asr//cysE//ccmA//entF//mhpE//gabT//araD//seqA//glmS//appA//lpxC//araA//lpxD//glnL//leuL//ulaG//oppA//recA//cysK//molR_1//alkA//galM//araC//decR//phr//malP//rseA//efeU_2//tauB//aroM//sbcC//gadY//yfaE//ygbA//ppc//dkgA//cysI//
PhoP	exbD//agaB//sgbH//hisP//fepB//fucR//ppsA//uidB//arsB//qseC//ddpX//hybC//eno//phnK//pnuC//ymjD//prpC//gcvB//asnA//fimE//hns//fabB//pqiA//rutC//nuoF//katE//puuE//ydfH//metR//moeB//yeaG//recF//rbsA//qseB//srlD//rutR//gspO//znuC//slt//glgB//cysH//cysJ//umuC//hns//bioC//rpsO//glmY//paaJ//lysA//fixB//gspH//ydcV//gabT//paaG//ulaA//dcuD//
PrpR	yjiY//nrdF//hycI//dinG//ruvA//
PspF	inaA//appA//metY//phoH//nfsA//leuO//cyoE//
PurR	malK//purK//ydeP//rffG//aspC//napB//hyfJ//tyrA//dcuD//asnA//hcaR//hybA//speB//metJ//citF//yjbG//nuoN//hmp//nagC//oppF//srlE//sroC//ppiD//ptrA//hokE//lpxD//hypF//yeaG//accD//rclA//aceA//
PutA	nrfD//lpxA//
PuuR	gcl//fliH//cysW//cysD//yoeB//xapB//gpmM//
QseB	ydfX//pgk//sroA//lon//
RbsR	hisM//uvrY//mhpB//crl//fau//hypF//ulaD//fumC//fliJ//
RcdA	xylF//allA//astB//moaA//ecpR//ydfE//ygiC//yccT//yccT//
RclR	dicB//hyfG//rplT//
RcnR	yhjX//csrC//nuoM//
RcsAB	ulaF//ybbY//polB//isrC//purB//leuB//murG//fadA//potI//yiaL//potG//dapD//amn//tfaQ//trpA//umuC//
RcsB	tonB//glpT//dtpA//kdpB//marR//glcE//mntP//ttdT//ynjI//tdcA//ebgC//hyfB//lsrA//ybdN//ppsA//flgC//csrC//slt//stpA//mscM//ung//betB//dgkA//cdaR//ahpC//
RcsB-BglJ	pepD//oxyR//gloA//motA//eda//tfaQ//tehA//malZ//cpxR//ptrA//rhaR//prpE//paaY//yciX//phoR//rfe//
RelB	ygeA//astE//nanA//
RelB-RelE	efeU_1//puuD//betA//
RhaR	rutB//cydD//
RhaS	metJ//agaS//sdhC//nagA//hyaC//fldB//
Rob	metA//hha//dsdA//sgrR//phoE//fixX//bioC//ubiC//trpA//cyoA//ulaF//nupG//sdhA//narG//fhlA//fhuC//ada//dctA//fliK//galR//purK//hycG//glyA//znuA//tauD//yneM//
RstA	araH//rhaR//ydbD//fbaA//bioA//gor//pheS//cysW//ttdT//pgm//
RtcR	pck//higB//
RutR	flgI//glxK//cydA//ybjN//cysI//acnB//pspD//putA//chbA//malS//allS//malQ//glgB//malY//gspH//mazG//hlyE//
SdiA	ryhB//sbcC//speB//sfsB//fadE//
SgrR	rbsC//dcuD//ulaB//sbcC//xylF//gudP//ybdN//ascB//bdcA//
SlyA	yhdW//
SoxR	cueO//glpX//ulaB//
SoxS	yqjI//cvpA//aroL//feaR//nanK//yrbL//yeaR//puuB//alaC//mgtL//gntP//ccmB//yciX//yiaN//symE//fucI//ppiD//thiP//ftsL//pncB//lysC//znuC//flgC//aroP//mgtA//nemR//dsbA//yebE//ddpF//yjhC//csgB//gltJ//rclC//ydhW//mlrA//bglJ//hcaC//metQ//sgbH//gspF//
StpA	fimB//ydfE//nrfA//metH//rybB//dicB//dpiB//
SutR	ptsG//wzyE//gutQ//glnK//alaC//
TdcA	flgA//nupG//torA//cas2//fadI//malT//moaD//
TdcR	iscR//ccmD//amn//csiD//hcaC//kbaZ//ptsH//
TorR	cirA//feaB//rffH//uvrC//glpQ//mntH//ariR//atoA//tehA//gcl//eno//glxR//
TreR	agaD//glgX//
TrpR	sucC//treB//gatC//marB//ynbB//mazE//osmB//kbaY//galT//cho//fecE//nanS//
TyrR	ecpA//phnC//phoU//infB//nikD//ptrA//fliE//recC//purM//hha//glcA//glmY//
UhpA	cspD//
UidR	fumC//ptsI//ydhV//garR//
UlaR	puuB//cysM//yfdE//paaB//yfiB//hdeD//zraP//
UvrY	tcyP//mraZ//csgF//aldA//cdd//
UxuR	tadA//slp//gspJ//dcuB//ppsA//yaiA//rtcA//yjiY//gcvP//
XapR	paaY//nrdG//
XylR	uvrB//kdpA//alsA//xapA//fdnH//alsB//ybhS//
YdeO	poxB//kbaY//grcA//zinT//psd//sufD//fixX//argB//cysU//artM//glxR//gabT//yhdZ//arsR//tdcA//insK//putP//caiA//gadX//rpoE//lysO//
YedW	yjjQ//mgrR//fabA//mglA//nrfC//purL//ascF//ssuC//dacC//cysK//ccmD//glcG//
YefM	rpiB//nrdH//
YefM-YoeB	mdtD//aldA//
YehT	entC//
YeiL	hycB//
YiaJ	alsC//waaH//feoA//adiA//araD//gloA//dsbC//alsB//moaD//infC//
YjjQ	ahpF//garD//tsgA//aroL//dsdX//murR//borD//melB//prpB//deoB//
YpdB	acrZ//
YqhC	fabZ//umuD//
YqjI	mdtA//cysG//
ZntR	nfsB//
ZraR	gor//allE//waaY//
Zur	purE//yhjA//sgrR//edd//oppD//glnB//
