#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	oppC//cysG//
CecR	focB//ecpR//narG//ccmB//rpoH//
ChbR	nrfG//ascB//fhuF//zntA//fadD//idnO//
ComR	pck//
CpxR	entF//melB//gatB//fliZ//purA//glpK//ulaF//hyfE//yjhC//phnM//yfiR//flgD//ycgZ//envC//waaH//trpE//betI//degP//baeR//baeS//araD//metL//gcvT//flgJ//dhaM//yneM//ccmD//metL//ydhY//gntT//mpl//rbsR//fimB//glnG//kdpA//mglC//skp//ogt//dacC//glpK//mngA//yciG//bioC//hdeA//casB//kbaY//manX//recA//ulaF//ssuD//mgtL//ugpE//frdB//ulaG//fumC//glnB//carA//agaW//glcG//uspE//yhdX//dsdX//fliE//hydN//gpmA//lacA//fur//ydfW//moeA//paaB//
Cra	fliC//mglA//ttdT//uidR//dcuB//sufB//cpxR//purB//oppD//fruA//nuoJ//emrB//amn//flgB//yfaE//aceA//cyoD//rplU//fadR//mlc//tauD//yegR//entC//caiT//alaS//crp//stpA//gpmA//creD//glpD//ttdB//hyfB//amtB//adhE//yhiD//baeS//gcvH//mtr//cynR//gspM//ybbW//hha//yciX//pheS//sdhA//fepB//putA//hslJ//manZ//entE//ihfA//gspC//aspC//ppdA//wecC//pspF//yaiA//nirB//gspL//sbmC//flgF//galT//adiC//argC//napH//edd//sdhA//fepD//ilvC//lpxA//ybhG//allD//tdcC//phnD//cdd//cysU//flu//ycgR//yeiB//
CreB	fecR//creB//mdtD//ttdA//lrhA//
CsgD	hybO//thiP//accB//ydbD//ebgC//phnE_1//betT//gspD//uvrA//patA//dhaM//ddpC//nagC//mgtL//frdC//gatB//paaH//fruB//norW//tehB//exuT//accB//ampC//gltD//ydhT//cspD//creC//nagE//
CsiR	cpxP//fecC//ftsQ//nrdB//uof//
CspA	fhuE//yiiS//
CueR	ssuD//mdh//fhuA//pnuC//gcl//melA//puuP//
CusR	lacZ//ompT//glgB//purN//emrB//yqjI//rutA//stpA//accA//cynR//araA//omrB//
CynR	fiu//gabT//csrC//allE//
CysB	rutF//fixX//ybjC//nuoF//lsrA//ybjC//argB//ydeP//argR//nagB//casB//waaH//iscA//rseC//atoB//alsA//phnD//yfbR//caiC//sufS//entH//hypB//mprA//nanC//umuC//yedX//lysP//nuoN//znuA//accB//ilvC//pdeR//
CytR	srlD//ydiV//creC//purD//sdhA//murF//waaY//argA//trpE//tehB//sbmC//agaW//hybE//
Dan	nagA//cysK//melA//glcC//
DcuR	argA//gntK//hybD//ppdA//xylH//rnpB//narX//nrfD//amtB//
DeoR	cusR//ydfX//tauA//hyaE//ulaC//metH//
DhaR	fliL//napC//ilvY//gspL//
DicA	ftsA//sucD//paaY//asnA//tauA//paaH//argG//nfsA//
DinJ-YafQ	xapB//yjeV//tdcD//
DnaA	yfiR//tauB//iscS//nanA//pyrD//gcl//gltJ//pstC//manZ//mgtA//yciX//csgF//
DpiA	ascB//ybbY//ymgA//oppB//fabI//allB//entA//mscM//ddpD//xapA//ulaA//
DsdC	dcuB//hyaF//fliS//
EbgR	hha//gntK//
EnvR	infB//fliC//
EnvY	rclC//hdeB//
EvgA	bacA//hybF//trpR//yjeV//fhuD//moeA//pck//iscS//gspD//ssuE//garP//phnO//cysI//ldtB//aceK//pqiB//yeiL//cysJ//cydC//
ExuR	ydcV//hypC//allE//paaK//glmY//nadB//caiA//sgbE//accD//
FabR	hdeA//hycA//
FadR	umuD//potF//purN//ydfN//ulaA//hypE//ptsI//rbsD//gadF//adiA//mpl//phnD//nrdD//hybG//ydcV//artP//paaX//sbmC//glpK//metY//gntU//frc//fliL//
FeaR	hyaE//malZ//
FhlA	higA//ydhY//acrD//mpl//xylG//baeS//thrS//casB//tdcB//ssrS//ydfN//rtcB//gntP//srlR//trxC//envC//znuA//sra//higA//ugpB//hycC//garK//fliT//fixA//iscA//chbB//srlA//pstA//rcnR//metY//
FlhDC	agaB//trxC//ebgC//srlE//mhpA//casB//nuoE//ccmC//casD//argR//mgrR//ccmG//wza//hyaF//mdtB//soxR//gspC//acrA//cysE//garD//fliE//mtr//bacA//hybB//ymgC//ilvY//uidR//sodA//uvrB//aroL//nuoE//yhdZ//bioD//cas1//hyfA//rybA//uvrD//fucR//nrdG//poxB//mhpD//caiT//ugpB//idnD//mhpF//tauB//ascB//purE//rplT//guaB//kdpB//yidQ//glpX//nadA//ascB//pgi//fliL//artJ//pheT//yibQ//xylR//mlc//thiQ//cydC//ccmH//hybD//gspI//tyrB//mntP//rbsK//yjhB//pgaB//pspE//nuoA//ybhG//nuoJ//gspI//cysA//ydcV//ygeA//glnB//gadY//
FliZ	torD//torC//cysA//nanK//cusS//rhaR//chbG//yeaG//metI//metI//allB//yeaH//rhaT//acnB//purD//pstS//omrB//rstB//hlyE//argB//oxyS//
FucR	narG//ybaS//prpR//mraY//sufD//leuA//hyaE//
Fur	phnH//yagK//tdcE//nanM//araA//dcuB//hokD//chbA//cvpA//artM//tnaB//insK//pqiB//ddpA//rseC//omrA//baeR//fadA//fnr//ybaS//ydiU//entD//pheM//rbsK//ccmD//paaF//paaD//oppC//ydfN//soxR//araC//galK//metI//hypD//glcF//hisM//paaC//citD//rpoS//gadF//acrR//ymjD//glnK//narG//glxR//btuB//rutC//rpsO//recC//gspF//fliA//dinG//tdcG//sgbU//purH//rhaA//mhpE//sufC//fliK//ttdT//argA//ydhT//flgE//gcvP//rclA//hybO//acrZ//yafN//tadA//ubiC//narI//cusS//glcB//yoaC//rstB//ptsI//zinT//serA//nrdG//ynbA//ydcV//nikB//metJ//cheA//guaA//gltJ//napH//pstB//hycA//tonB//fhuB//gadF//metB//mioC//caiC//glcA//xylF//lamB//rfe//exbB//bglG//uxaB//ydhW//truB//ruvB//gcvH//ymgC//rhaT//fhlA//tdcD//degP//cdd//gpmM//gabP//ssuB//zntA//oppF//ftsZ//yoaG//focA//yjhB//caiA//citG//iscS//lsrC//yaiW//deoA//feoA//phnL//treB//
GadE	cyoA//zraS//murQ//nanS//infB//phoQ//wzc//hyaD//flgK//baeS//fumC//nuoH//gadB//tyrP//flhA//rutB//puuP//tauC//appY//katG//fhuF//bioD//tcyJ//rplU//ybhF//bioC//iraM//yecT//aroH//
GadE-RcsB	rnlB//pagP//tolC//hcp//prpE//argT//cysP//fecB//yjhB//
GadW	ynfH//rutF//mraY//oppD//yhdZ//gltB//moeB//yiiS//folE//argB//agaR//lldD//cysA//cueO//mraY//
GadX	efeU_2//dinI//dgcC//manY//aceF//thiQ//rbsR//mglC//rffH//aroP//nupG//entF//rclC//luxS//lhgO//rutC//yiiS//tauB//dapD//purK//mgtL//mdtD//moaB//hycH//modC//glxR//nrfD//rob//yeaD//
GalR	gapA//hyfJ//yjbG//iscS//glnK//rhaT//yefM//yafO//puuE//mlc//
GalS	fdhF//tolC//hyaF//uidC//chbF//ccmE//arsR//ssrS//glpF//mtlR//
GatR	yfaE//ydiV//gspD//ychF//mtlR//aroG//
GcvA	fumC//cusS//flgB//puuP//lysR//
GlcC	degP//mscM//allD//flhA//flgC//alsB//rbsA//
GlpR	araJ//glnK//hokD//araA//pgaA//lysO//nuoL//yjhC//feoC//
GlrR	yecT//idnD//yaiA//hycG//mlrA//
GntR	gadB//rutE//napC//tsx//csgC//rffT//metE//ilvY//cusF//znuA//rimP//hcaC//
GutM	focB//alkA//osmB//yiaK//ydeN//kdpA//pgaD//
GutR	hyfJ//ruvA//gnd//trpB//rutE//cynX//fbaA//
HU	trpR//yfdX//cadB//mtlA//manX//tyrA//frdC//hycE//yeiL//
HcaR	treB//mdtE//dpiB//guaA//nhaA//galT//
HdfR	hha//yjbH//sulA//ahpC//omrA//
HigA	ygeA//pspD//
HigB-HigA	glpD//fepE//
HipAB	fhuC//pyrC//sutR//cysG//pdeL//
HipB	puuP//nuoA//grxD//nuoF//ascB//lpxC//
HyfR	hycC//nimR//norR//thiQ//nrfC//mscM//recN//fixX//inaA//iraP//yneM//yjjQ//
HypT	ybjN//cas1//sgrR//xapB//melB//oppD//cadA//garR//tdcD//fiu//ulaF//ydeI//fabH//
IclR	symE//cynT//yciF//umuD//
IdnR	gltI//ydeN//nagC//mazE//fliH//hokD//tdcA//
IlvY	ftsQ//speB//
IscR	araH//glpK//oxyS//fecB//mlrA//kdpA//yoaG//yagK//marA//motA//rutC//nuoG//yeiB//ulaF//glcG//phnM//yjjQ//leuO//rpmI//rbsC//bhsA//manX//yhcH//hdeA//betA//araJ//mprA//yjhB//ssuD//ygeA//bluF//uvrY//
KdgR	paaD//mngB//
KdpE	purM//ssb//ydeO//caiC//
LacI	zwf//xylA//sdhB//
LeuO	creC//hemH//acrR//yqhD//napA//mepH//ykgO//yeiL//rbsD//puuC//murQ//hcaB//yqjI//ebgC//araG//marR//galE//cusR//pfkA//ecnB//
LexA	ydhX//malY//glpF//cysP//caiC//lldD//lsrC//hyaA//glcG//recB//rutB//yciW//glcF//gabP//glk//nupC//paaA//malQ//hns//osmY//spy//yafN//acnA//gspC//mscM//sroC//nanE//ybhF//wecB//pspF//ppdA//yibQ//mglC//tnaC//hypE//ftsW//dpiB//yfbR//fruA//yjbE//cynX//murG//metF//nirC//yjhC//napF//omrA//betT//hipA//argF//rutG//fadL//ybfE//ampC//hybD//folA//fdhF//rdoA//yeiL//
LldR	uvrY//higA//eno//
LrhA	ybfE//gfcA//gspK//pepD//
LsrR	ynfH//yafP//phoA//ddpA//prpB//ttdA//ddpC//sodA//uxuA//
LysR	adiC//chbC//
MalI	ulaF//ccmG//appX//
MalT	ubiX//gfcA//dgcC//cysK//phnC//nrdB//putA//degP//napD//rclB//
MarA	yjhC//mgtA//dsdC//ydiU//argA//crp//dctR//bioB//hdeB//fucA//pfkA//pspD//uvrB//hypD//rbsR//gpmA//agaV//uvrB//mgtA//grxD//tam//srlD//fes//dmsD//sodA//hybG//dgkA//sufB//metQ//idnD//yebG//feoA//rcnB//creA//mhpB//bdm//adiC//yeaG//
MarR	chbR//fliG//udp//
MatA	atoA//mazF//ygiA//oxc//ung//rpmI//ulaB//alsC//
MazE	frdA//gltJ//glyA//
MazE-MazF	nfsA//yhdX//lysO//
McbR	aroG//ahpF//sufD//dgkA//
MelR	ssuA//wzyE//hdeD//
MetJ	cspI//mglA//creA//mdtE//ulaG//metL//aceA//alsE//bioD//malI//gatB//znuC//fliP//wzyE//pspG//
MetR	cynX//nrdD//garL//sdhB//trpC//
MhpR	lysR//mraZ//yhbT//cysB//nagA//mlc//
Mlc	trpA//paaG//metE//flgA//ykgM//acnA//aroP//moaA//dgcN//yjjZ//
MlrA	murI//sufB//tdcD//puuA//ynbB//rpoE//betI//ebgC//molR_1//norR//
MngR	ptsI//dgcC//araE//
MntR	phr//srlD//micF//ftsK//mtr//
ModE	fruB//gdhA//pgpC//sulA//glcG//galS//gadX//ydeN//waaH//serA//ygeA//yfiB//gatA//murQ//recC//cydA//dcuA//ynfH//mgrB//ydhY//nuoH//glpA//nupC//gudD//fliD//fhuF//pstB//hypA//allA//yciF//ahpC//zraR//nuoM//ygiC//wzyE//yciF//lhgO//zraP//ftsA//fruA//stpA//hha//bglB//leuB//ydeP//paaY//
MprA	garP//araC//puuB//yhiM//paaA//dhaL//
MqsA	oppB//patD//sgbE//ppiD//mntP//dkgA//lldR//hokE//
MraZ	ykgO//leuL//nuoG//gltI//glpA//serA//tdcE//phnJ//ydcU//nikD//dsrA//putP//araD//cydD//oxc//phoU//mpl//
MtlR	trpB//katG//mhpF//
MurR	phnE_1//gltJ//tehA//
Nac	xylF//bglJ//citD//ydcT//gcvH//tdcB//wecC//arsC//acrR//rutA//ppiA//yeiL//puuR//polA//icd//lysR//argD//pck//sucA//rcsA//cusF//
NadR	fruK//iraP//crp//iclR//
NagC	ftsL//narL//cysU//yqhG//waaY//fldA//gfcA//rutE//rutF//chbF//ymjD//dpiB//hisP//citX//fecA//gntT//ychF//ybaS//accB//fdhF//rimK//rybA//allS//isrC//fliL//sucB//gor//hlyE//gdhA//hisJ//gnd//cysN//uxuA//hcaC//mntP//tynA//gntU//
NanR	tcyP//bglG//ulaG//tauC//tyrP//flgD//rbsC//lysP//paaZ//nupC//pdhR//
NarL	rbsA//wcaB//argR//pepA//casD//potF//marR//astE//yfdE//paaY//ccmC//nirC//glcE//ddpB//fdnH//rhaB//yjeV//rclA//tdcD//ychF//edd//lysO//iscR//pspE//nuoH//glmY//ydbD//ftsK//yciE//caiD//eno//napF//tdcE//flgD//sucC//fimE//bglF//nikA//allA//oppC//glnK//argP//ygiB//narL//gcvT//murP//murD//trpB//sbmA//borD//kdpA//rybA//trpA//rtcB//caiC//cyoB//nemR//alsE//treC//hyfC//dgcC//chbA//glcA//tadA//katE//tsgA//aslB//mzrA//argP//cdaR//mdtA//lrhA//ftsK//fecR//yhbT//acnB//mazE//lsrK//pdeL//fhuA//gltL//tdcF//dkgA//metB//nupG//emrA//flu//mgrB//rbsR//fhlA//nemR//mgtA//cas2//hypD//nadB//ribA//lpd//agaC//leuO//dtpA//ddpA//rffG//rpoS//puuR//potI//narJ//gntK//tktB//ydiU//gudP//hcaB//alkA//cecR//yjbG//ycjG//aceK//rffG//aroL//tyrR//hslJ//srlB//lysA//alaS//
NarP	ascB//hybB//hflD//pnp//murE//galR//hisM//gltK//ccmF//patD//purB//wzyE//fliZ//hflD//hyaB//bglB//ycgZ//mltF//yafQ//cysE//caiF//paaA//ybhR//paaX//sodB//yeiB//lsrD//dicC//zwf//pflB//grcA//gpmA//glcE//relA//galE//paaG//murI//atoA//purN//aceA//ygeH//paaX//fabD//frdD//melR//dsdX//fur//casC//dinI//emrB//
NemR	fbaB//mipA//ftsI//
NhaR	ddlB//recN//phnN//fhuB//accB//glpX//yfiB//
NikR	nhaR//yrbL//flgI//umuD//rutF//gspD//
NimR	moaC//casD//
NorR	fliS//aroG//fpr//
NrdR	ppdC//tsr//yjbF//aslB//cecR//cysE//waaY//frdC//atoD//
NsrR	potG//yafP//rutC//flgN//cysC//yfdV//ttdB//phnE_2//glcE//rseA//deoD//paaH//ppiA//dsrA//pnuC//nhaA//gltD//idnK//rutA//yjjQ//idnD//cspD//sdhD//rdoA//ymiA//wzyE//fliD//phnI//thiQ//bamE//ssb//ulaC//folA//yjjZ//flgH//yebG//nirB//cdaR//chbG//trpC//appY//paaD//hycD//nimT//talA//mgtA//hyaC//gatZ//fadL//ydhT//prs//znuA//nagE//glgX//add//hyfJ//norR//ecpR//ytfE//narH//hycB//guaA//csgE//prpE//rffH//ddpF//paaH//fimB//xapB//slt//nikC//aceK//nikB//lldD//puuD//yqjI//wcaA//thiP//yjiY//hydN//nikC//metK//phnN//
NtrC	sucB//dnaA//malT//paaD//fliL//oxyS//fadJ//fliL//glnL//csgA//tehB//yhdZ//recA//ydeI//ddpD//dicC//purH//flhB//cydA//rpoE//cvpA//speA//fliJ//tyrA//nrdH//fliI//yjiY//potF//baeR//purR//ydfH//narX//agaC//iscR//serA//accA//trpA//nhaR//ygdB//hyfD//murG//mhpE//galP//tynA//ynbA//csiD//ftnB//ycgR//nrfF//
OmpR	gspK//gntT//uvrY//tisB//cueO//osmY//caiT//yiiS//pspB//mqsR//adhE//nrfD//fliD//yoaG//kdpB//ribA//gspL//cadA//tolC//thrS//chbF//
OxyR	gltI//fes//paaC//hyaA//oppA//asnA//flgN//pstS//aldA//uidR//focB//fruK//flhB//mglA//yeaR//narL//decR//dgcZ//yaiA//pflB//ydhY//cusR//hyfA//gatA//yeaG//tdcF//pheT//pyrC//nuoK//flu//waaZ//ccmH//pqiB//uspA//
PaaX	rstA//lysA//udp//yhbT//yhdY//artP//ftsW//tauA//lsrA//tdcA//xylB//rfe//leuO//fruB//
PdeL	feoA//
PdhR	gudP//serA//lrp//fucR//ariR//chbF//ptsG//rstB//hemH//gspJ//ychF//fhuB//ygiA//cadB//idnT//cusB//ynfG//araB//rybB//yoaC//ompN//aldA//sucC//dsrA//cysJ//fecD//ecnB//ppiA//cirA//iraP//pheS//cheA//katG//yjbF//fecD//hyaF//fepD//hns//paaD//yiaK//yfdE//
PepA	mazE//casE//sgrS//
PgrR	ygdB//cydA//nac//yjhB//hcaR//rfe//atoE//entA//
PhoB	moaB//lolA//hyi//fdnH//argB//metL//phnH//yqjA//yiaL//ftsA//cas2//rfe//ulaG//zraS//nanT//flgC//qseC//fixX//rffT//nrdF//yiaL//folE//dkgA//fixC//murE//yciX//mhpE//folA//exuR//dnaN//rpsU//rtcA//bdcA//hyfR//tadA//ldtB//ssrS//cusA//xylR//csgE//fliG//ecpA//evgA//gadF//nupG//glcE//cdaR//idnD//yhiD//pspC//epd//ynjI//leuB//nuoM//ldtD//dhaM//dgkA//malI//appB//moaC//
PhoP	gspE//puuA//hyfJ//alsE//exbB//aroP//yebG//fepE//fucI//rbfA//hslJ//lacZ//creC//kdpC//yeaG//ampC//agaA//ydhV//mprA//phoE//tolC//hybG//garK//osmB//ogt//napH//nuoN//ymiA//fadD//higA//ydiU//osmY//puuP//aroP//malT//carB//fumB//prpC//argT//codA//fdnH//yidQ//glxR//puuD//ulaA//sucD//frdA//ycdZ//soxR//flgM//fadM//entH//nimR//dmsD//leuO//atoA//
PrpR	yhjX//nrfB//ssuC//pgm//fbaA//
PspF	malY//phnL//ydhV//tehB//yhdZ//oppB//rclA//
PurR	rffG//napA//ymgA//yqhD//trpL//csgA//soxS//galT//metA//ymgC//efeU_1//rhaD//sroC//argA//nirB//nikB//ynfF//seqA//nanA//ymgC//rutD//pdeR//ada//hybG//dgcZ//kdpC//yaiW//ada//polB//yhbE//ftsZ//
PutA	fadB//nrfG//
PuuR	bdm//hdeD//creB//ttdT//yebE//hyaB//aroL//
QseB	omrB//trpR//nimT//hcaB//
RbsR	cyoD//zntA//rbsB//ybjC//nuoK//ccmC//nuoB//acrD//malQ//
RcdA	creA//oppF//rbsD//ynfH//yoaG//infB//hns//yhiM//dsbA//
RclR	ybhS//ddpB//tsr//
RcnR	efeU_2//mtlA//trpL//
RcsAB	pheS//adiC//ddpX//sufA//deoB//dgcN//chbC//ybjN//dinD//argT//yciF//hcaE//lamB//paaB//lsrK//yidL//
RcsB	creD//pspB//rpiB//nrfB//rseB//araF//sroC//citD//dnaN//oxyR//oxc//nimR//melB//wcaA//phnM//creC//ycgZ//fruA//cheA//yhdY//pstC//purL//gatD//phoE//fecD//
RcsB-BglJ	phoB//hmp//polA//nirB//phoA//zraR//crr//entC//qseC//fadI//ssuE//lysO//wzc//mngB//gudD//hybC//
RelB	galT//gadE//ascF//
RelB-RelE	acrR//betI//rbsC//
RhaR	ybhS//ycjX//
RhaS	speB//xylH//ymgC//pncB//yeaH//uxuA//
Rob	fimE//gudD//pncB//asnB//yidQ//entA//moaD//malK//hyfH//yjjZ//murP//arsC//gyrA//flhD//nemA//manX//nrfB//folA//fliZ//rpoS//fepA//yiaM//gor//psiF//mpl//fbaB//
RstA	ddpX//bhsA//cyoB//dicC//acrD//nanT//edd//focB//glcB//fucO//
RtcR	ssb//tdcD//
RutR	waaY//csrC//tdcD//osmY//galE//lpd//molR_1//yeaE//araF//nanA//malZ//fucI//galM//accD//argC//ecpA//znuB//
SdiA	napF//ygeA//glpB//obgE//acrD//
SgrR	slyB//gntT//tdcF//hycC//yneM//iraP//nuoG//nuoE//fadD//
SlyA	dcuD//
SoxR	ydfH//cysK//metI//
SoxS	ahpC//ynfE//malI//recX//hisJ//gadY//puuP//emrA//fadH//ssuC//aspA//oxyR//leuL//ebgA//ssuD//tdcF//purA//sodB//acnB//glcF//galR//flgD//metC//yoaC//sgbH//mhpA//manX//uidC//rseB//xapB//gltJ//cyoA//gdhA//ybjC//yjhC//pyrC//cysN//dsdC//araD//aldA//
StpA	feaB//hcaR//ssuD//ynbA//fliM//fdnG//caiF//
SutR	hcr//agaV//dinD//waaH//nirC//
TdcA	dmsB//hycH//ydhY//polB//hydN//mdh//argG//
TdcR	ydfN//paaX//gspL//rutC//sucD//fiu//ulaE//
TorR	nhaA//ccmG//flgJ//nfuA//glpF//nupC//baeS//phnP//dcuS//ynbC//ulaB//ydjM//
TreR	dsdC//dsdA//
TrpR	dsbG//ynbD//glgB//fixB//tdcB//glpT//fdnG//dsdC//agaC//nanS//nadB//torR//
TyrR	lysP//acrB//fliK//leuO//argC//dmsD//fhuB//ulaG//glpX//garD//mqsA//fucR//
UhpA	agaD//
UidR	ompN//rtcB//hdeB//setA//
UlaR	tonB//appY//fhuD//rfe//glcA//fepE//lexA//
UvrY	uidR//cecR//appY//omrB//garL//
UxuR	hyfI//yjeV//pagP//ascF//ycdZ//nrdB//yhbT//sodB//dsbA//
XapR	gudP//mtlA//
XylR	ddpX//ygeA//glcB//zraS//argI//yebG//cysN//
YdeO	wza//purF//caiD//recB//entE//sodA//ompN//asnA//yjbE//dsrA//phnG//pstB//dgcC//setA//ynjI//phnN//emrY//tnaA//mngR//relA//efeU_1//
YedW	entS//astE//exbB//gadC//fadD//truB//mnmG//cysE//mprA//ynbD//mglC//malF//
YefM	moaC//fes//
YefM-YoeB	mscM//safA//
YehT	nrfA//
YeiL	cytR//
YiaJ	ccmC//uhpT//phnO//allC//rnlB//pstA//ompF//cheA//sdhD//gadB//
YjjQ	norR//cas1//nuoK//fadM//rnlB//pepA//fucU//nhaR//uof//rutR//
YpdB	ycgZ//
YqhC	frdD//glmY//
YqjI	glpT//relB//
ZntR	nac//
ZraR	recF//fecI//cysA//
Zur	gspO//nikA//moaD//leuD//srlD//hycH//
