#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	glpK//ruvA//
DpiA	cyoB//dsdC//acnB//yhcH//torD//omrA//araJ//hybC//araC//mscM//dsbA//
DsdC	citF//molR_1//higB//
EbgR	tsr//pspF//
EnvR	pdhR//lsrA//
EnvY	gadB//zraS//
EvgA	psiF//yeiL//pqiA//pdhR//yiaN//ybfN//dsbC//fliE//nimR//nrdD//csrB//ada//uxaB//uvrC//astE//fixA//pyrD//ada//ftnB//
ExuR	ubiX//ymjD//bglB//hycE//infB//poxB//mepH//recX//mraY//
FabR	xapB//pdhR//
FadR	hypE//tdcG//feaR//oxyS//motB//uvrD//fliL//nrfF//wrbA//napG//gltJ//rplT//hybO//gcvP//ybjN//ydcU//galM//murG//nanA//phoR//glpT//lon//tehA//
FeaR	ebgC//yecT//
FhlA	flgC//nfo//pdeR//glxK//pnp//gpmA//fepA//mdtA//rffH//cysI//mhpA//dmsC//gadX//leuB//dsdX//bdm//stpA//dnaN//nuoK//ydhY//wcaA//ulaF//tktB//purM//tyrR//recX//purK//pyrD//yiaN//nrdI//
FlhDC	metK//gudX//nikR//fadD//hydN//ygaC//glgP//fixC//tnaA//dgcN//hyfR//lysA//yhcH//potI//yjjQ//gor//metN//sdhB//rffH//uidB//folE//trpB//frdD//nuoF//pheT//agaS//ariR//ycjG//garP//metI//mdtB//phnI//cpxP//dacC//mglB//hemH//ecnB//deoB//cra//nanC//hyfE//csgF//leuO//recA//metR//hyfJ//iraP//pyrC//dtpA//sdhB//galR//lolA//galE//accC//entB//nemR//frdC//pgaA//yciG//phnE_2//rffT//tonB//ldtB//lysR//hyfI//argB//yeaR//metA//fhuE//trpA//paaD//seqA//glgA//fliG//tehA//cysD//tadA//mdtF//cytR//cysH//dsdC//yjeV//
FliZ	yiaM//flgD//prpE//moaB//hydN//ddpX//artP//yjbE//rhaR//ada//kdpC//pqiA//ddpF//sodA//agaI//glyA//insK//ynfK//gspL//arsB//fucK//
FucR	cynR//patD//feaB//zraR//asnC//ydeO//relA//
Fur	ddpF//norR//eno//ydhW//tdcC//aceF//ccmC//accC//rbsB//nagE//nuoJ//ydeO//agaA//glcC//nemR//ynfH//rseC//wza//hyi//ydhV//pdhR//phnD//nohA//metL//yebE//nikD//nuoJ//bioB//ulaF//ybhR//edd//serA//motA//mnmG//glmU//ymiA//glgP//trpC//sufA//nikA//exuT//xylB//nrdF//galR//pgk//mhpB//csgG//flhC//phnO//flgH//yciE//oppF//hcaD//pgi//sdhD//aceA//csiD//sgrT//treB//hisQ//dsdX//rbsD//murI//pgi//iscR//ybbY//metH//metC//argG//rutF//artM//frdC//asnC//umpH//rpmA//gspC//entA//flu//ryhB//hcaB//puuE//betT//feoB//rcnB//glxK//kdpA//gcvB//cas1//iscS//rbsR//hipA//cysH//oppC//flgG//glnQ//flgL//add//znuB//nrdD//pyrD//putA//artP//pflB//nagB//phoE//grcA//ulaF//gspK//efeU_2//ddpB//hycA//hisP//glcG//mngR//aidB//btuB//hycG//fliG//cadB//dcuB//phnH//phnI//pqiA//ybiT//exbD//uvrB//ftsK//yhdX//yhbT//cysA//
GadE	gadA//malI//nuoC//wecB//glpD//nuoH//nrdD//araJ//yrbL//deoD//pheM//tyrR//araA//hdeB//narG//yqaE//fliI//cydD//yciG//paaC//ycdZ//lysC//argE//cvpA//ygiB//fliK//ppsA//narG//yccA//
GadE-RcsB	rbsR//nanM//mngB//ynfK//lsrA//fecB//ugpC//rtcB//dgkA//
GadW	aspC//hybF//fadR//creC//glgP//fabG//purC//paaF//ugpA//pgm//ubiA//mgtL//cadA//uvrA//ecpR//
GadX	glnK//recD//metF//gatD//mgtL//inaA//hcaB//insK//trxC//pdeL//hyfR//yedX//lsrD//fepB//purM//lolA//yhdW//aroM//rseC//exbD//flhC//aroL//cyaR//appA//ybjC//appY//phoA//ldtD//tyrB//
GalR	serA//gpmA//ydfE//fliP//hisM//murG//rpsO//fliA//cpxQ//ykgM//
GalS	spy//malX//rseB//chbC//fliM//manX//fabH//rstA//yjbG//cynT//
GatR	cdd//yhjA//yjbF//iraM//fadE//yfaE//
GcvA	cpxR//fadH//yjjZ//prpR//nimR//
GlcC	ymiA//tehA//casA//lysC//murE//xylG//lpxC//
GlpR	ttdB//glcG//metR//gltD//rhaA//degP//gutM//potF//glpC//
GlrR	yoaC//caiB//gcvP//wcaB//hycI//
GntR	cysC//yhdX//yjhB//yfaE//glpB//rdoA//inaA//accB//dnaG//crr//phnC//astB//
GutM	dcuR//tpiA//higA//hypA//creA//motB//intQ//
GutR	nikC//acrA//insK//nuoM//leuD//yiaM//psiF//
HU	copA//gor//uxuA//rcnR//polA//fbaB//malY//astB//higB//
HcaR	araH//gspK//iclR//gltK//ecnB//acrD//
HdfR	mqsA//fliJ//nanA//glnB//prs//
HigA	trpE//yhjX//
HigB-HigA	osmC//metI//
HipAB	lpxC//nrfD//napC//iclR//ompT//
HipB	ynbD//flhD//allB//spy//nuoF//oxyR//
HyfR	fucO//purE//eda//rimP//potG//pdeR//nuoC//appB//astB//flgJ//fdhF//znuA//
HypT	mdtA//napG//uxaC//cadA//sdhD//lolA//ibaG//aidB//yciF//melB//caiB//hybO//nuoG//
IclR	napC//ruvA//deoC//ycdZ//
IdnR	hlyE//purD//hcaC//fabD//carA//napG//fecE//
IlvY	yqhD//pgi//
IscR	ruvA//nanM//fliG//fucU//mngB//purL//ccmD//hyi//fecA//luxS//fimE//malT//amn//ybbW//xylR//rcsA//fbaB//gdhA//hipA//accC//cydA//dhaM//tauD//metJ//csiD//bioB//fabD//glcC//ygiB//metR//grxA//ydhT//
KdgR	mhpB//trpD//
KdpE	ecpR//lsrK//rutE//gcvH//
LacI	uxuA//gnd//mdtB//
LeuO	phoP//lpd//ftsL//fadR//nmpC//dsbG//patD//lsrR//aceF//pstA//metL//hybB//nrfE//fes//nagC//lysA//hisQ//gpmA//rstA//aroG//
LexA	psd//hyaA//ppiA//alaS//pdeL//dnaG//sgbU//puuE//dicC//malF//gadY//lsrK//fucA//nrdD//cbl//znuA//ycjF//phnM//ydcU//ccmE//mhpT//ydeI//tdcD//malG//tdcB//slyB//sgrT//narJ//omrA//lexA//pspF//ccmF//amtB//rbsA//yfiB//glgP//ymiA//cysJ//gltB//nuoM//cdd//patD//gspI//ydeI//lpxA//fhuD//ymgC//ychF//ecpR//nagC//murF//ydbK//ulaG//ribA//yrbL//malF//dsdA//phnN//nuoC//
LldR	paaC//argC//fabB//
LrhA	allB//narL//nuoC//thrS//
LsrR	hycB//fecD//malS//modC//napB//ulaA//tcyJ//waaZ//molR_1//
LysR	yfdE//lsrF//
MalI	mltF//purD//fabI//
MalT	yfiR//fabG//yagK//kdpC//gloA//manX//gspI//mlrA//murD//flhA//
MarA	flgH//alaC//acnA//lgoR//gntU//lhgO//hycC//accA//dapD//hcaC//ycdZ//nikE//mtlR//galS//osmY//mngA//modB//feoC//yhhY//malE//trpE//ccmA//higA//ttdB//rhaR//ddpA//phoH//bglF//malM//gspO//glpK//fliG//cecR//skp//fdnG//wza//mraY//uidB//
MarR	gspC//ydcU//bioF//
MatA	oxyS//trpL//ydhV//nuoG//sdhB//wzc//bhsA//pheM//
MazE	pspB//pgk//yegR//
MazE-MazF	rbsB//narG//ycgR//
McbR	nanC//gadF//yaiA//paaD//
MelR	malK//hycE//araC//
MetJ	astC//evgA//ygaC//metQ//hcaB//yciF//rpoD//pheM//pck//dpiB//gcvA//tktB//ahpC//ygdB//ydhY//
MetR	argG//xylG//entC//gabT//fepD//
MhpR	mglA//lpxA//qseC//puuC//fruB//manY//
Mlc	aslB//lacA//glpT//rpiR//gltI//ubiX//hlyE//ybjG//ybjC//ssuA//
MlrA	baeR//astC//ubiA//katG//hcr//tnaB//rutA//yoaG//htpG//galM//
MngR	entA//ynbA//dinG//
MntR	sdhA//astC//prpR//torA//hisM//
ModE	tauC//ryhB//iscS//cyoD//ynbD//zntA//hyfI//phoQ//nupG//ygdB//amtB//fadM//paaZ//modC//polA//pgm//rutA//uxuA//dnaA//dpiB//moaB//ydhW//hcaB//mlc//rprA//modB//sgrR//mlc//rffG//truB//acrR//cysN//gpmM//fimB//acrZ//modA//tonB//cdd//cusF//gspE//pheT//lgoR//rffM//dcuS//allS//cysJ//
MprA	hyfA//ssuC//agaW//hycE//flgE//ccmE//
MqsA	phoE//ppiD//cusR//idnT//glcD//nrfC//puuB//nuoB//
MraZ	murQ//mqsA//fixC//hyfD//paaD//leuB//agaD//nrfF//aroP//rbsA//ppdB//lsrD//nagE//atoE//ahpF//ydhX//mhpB//
MtlR	ecpR//mlrA//rpoH//
MurR	fur//malI//fucK//
Nac	emrY//nfsB//ynfG//cho//allE//yiaN//fucA//nuoJ//rbfA//nikD//dsdC//fliA//gcvA//flgA//cysC//sodA//uidB//ynfF//mntH//ybjN//fhuD//
NadR	fadH//cydA//metL//hcaD//
NagC	fhuF//rhaS//fecI//rtcB//cysM//cydB//sucA//carB//allS//rcnR//torR//gspL//garK//chbA//rnpB//znuA//cadC//hycA//glnK//fabB//hipB//argT//hyfJ//pitB//dmsA//dps//entA//deoB//argI//idnK//rutD//mzrA//efeU_1//recA//yecR//xylA//hslJ//
NanR	xylB//puuD//cho//lon//appA//hycD//rybA//polA//fliP//csgA//cpxQ//
NarL	iraP//ygiB//tnaA//hycG//sgbE//gloA//mhpF//sroD//nmpC//dsdX//ykiA//murG//rhaA//alkA//sgrR//ldtD//sucB//caiA//lgoR//citE//napF//ymjC//kdpB//ccmD//rffC//gutM//phnC//zraP//artP//asnA//sgrR//tam//artJ//araG//uhpT//hypF//dmsA//insK//cheA//asnA//ldtB//yjbE//mdtA//csiD//gspI//cheA//araH//fecE//alsE//paaK//puuP//fliQ//pepA//metK//lrhA//ccmA//marB//yjeV//lysR//bioB//fliO//metA//mgrR//fixX//tdcB//ybfE//lsrG//feaR//ybdN//umpH//artP//creD//gudD//argI//dsbA//yfdE//ybhF//dgkA//nanK//lolA//zinT//pdeH//hyfH//phnG//wcaA//ydfX//dmsC//sbcC//fadH//fabG//yqjH//mlrA//phr//feoC//ydhV//hypC//fabD//argR//gyrA//ldtC//fadL//dcuS//hycD//rhaS//acrR//rstB//chbG//betB//marA//ssrS//grxD//mazF//glnQ//yeiB//fucI//rstA//aroP//cysJ//yidQ//hyaD//nfuA//ppdC//prpD//
NarP	tadA//atoD//uxuB//tdcF//bluF//dinD//nrdG//pspF//aroM//ldtB//rbfA//phnK//astB//aroG//puuD//fabB//udp//rcnR//phoB//cysB//ydjM//hyaD//dsdC//ybfN//leuA//caiA//ccmA//rclC//tdcD//ygiC//folA//caiT//hyaB//narG//ddpB//csrC//carA//pykF//rob//gcvA//pykF//osmC//fliN//glcF//rybA//uvrD//nfo//dinF//kdpC//stpA//
NemR	mltF//uxuR//ccmC//
NhaR	lpxA//ssuE//treC//mntH//feaB//fabD//tdcG//
NikR	moeB//dgcC//paaB//fumB//trpL//yjeV//
NimR	argC//bioD//
NorR	sfsB//gudD//efeU_1//
NrdR	putP//ygiC//grxD//yqjA//polA//ccmH//bglG//dnaG//rstB//
NsrR	dhaM//ilvC//znuB//exbD//fes//soxR//nupC//yiaL//yebG//sucC//betI//lon//recN//yeiB//yjiY//xylH//fecI//ydfD//fbaA//lldR//fliN//argI//ada//araF//uvrD//putP//hipA//ulaG//araE//hybB//tynA//yccJ//sdhA//pck//malI//yidL//yhdZ//dsdC//cirA//paaF//ampC//ddpX//ttdA//alsA//fdnI//napC//nfo//torR//cysM//yaiW//qseB//fhuC//dnaA//phoU//paaD//rclC//tsx//ygbK//agaA//cusS//hypF//ulaC//glgX//csgC//ynfE//amn//hcaE//cspI//ugpA//gntT//oppA//potF//astA//dhaK//gntU//mngR//fhuD//lolA//mqsR//glyA//mglB//oppA//mepH//
NtrC	grxA//sgrR//hemL//yjeV//nrfC//yoaC//aceK//entA//yaiA//phoP//decR//yecR//purB//borD//agaR//ascF//cysU//xapB//potF//patD//gcvB//fliH//ynfE//phnG//metE//moeB//ftnB//fucO//mraZ//dcuR//galE//tdcA//mpl//malZ//yiaO//oppC//cysM//yhcH//motB//carB//cusR//malK//hybG//ttdT//argC//gltB//malT//seqA//mntP//
OmpR	molR_1//sgbE//phnN//leuL//idnD//ygeA//rbsC//glcA//nrdG//fhuA//yjhC//arsR//bioD//moaB//nfsA//metI//narI//metE//murP//phoQ//fliK//
OxyR	purN//fimE//ybjC//cho//fhuB//gutM//uvrD//aceE//ydfD//yiaK//ddpB//csgA//uspD//folA//moeA//ugpC//pepD//yrbL//fur//lsrK//ulaA//csgE//bioD//cysG//murR//umpH//nuoJ//entB//dnaN//glmS//yeaG//symE//aceA//intQ//
PaaX	dapB//argA//potG//yqjI//ymgC//wecB//moaD//gadW//fucU//gapA//fdnH//flgF//wzc//puuA//
PdeL	napD//
PdhR	acrD//sgrS//mdtE//tdcG//znuC//accC//yebG//rutF//guaB//yeaG//ssuE//citX//idnO//nanK//nikD//chbB//aroG//cysJ//fruK//infC//ygbK//glnD//folE//fabA//ybhL//gor//nohA//xylF//flgJ//rseB//lacY//ftsZ//hipB//dgcN//hisP//mntP//yecR//lhgO//nirD//fliH//paaZ//
PepA	ulaF//phnH//dhaK//
PgrR	allD//nrdG//katG//bolA//citG//dpiB//hyaF//astE//
PhoB	rutC//betI//alsA//nuoA//exbD//tyrP//hcaR//dsbA//fliT//agaC//ftsW//fepA//ppiD//moaE//artQ//tdcE//phoA//fadD//wecB//phoH//rseB//zraP//narX//yagK//glnD//aceF//citX//yiaL//yhjC//lsrK//symE//aceB//phoQ//phnG//phnE_2//manY//bamE//fecI//glnH//rpsU//gspM//hdeA//ddlB//uxuA//pgi//yccJ//chbR//ogt//fucU//ybfN//mpl//thrS//argF//hyfA//talA//hisP//fadH//phoA//aroF//napH//
PhoP	puuB//waaY//yccJ//pspE//aceA//fliJ//hypA//seqA//rpsU//yoaG//pdhR//exuR//sroD//oppF//agaV//mltF//ndh//garK//uvrC//wzb//mazE//relE//tyrR//bamE//mgtA//dpiB//hyfA//purC//rarA//efeU_1//nemR//asnB//lamB//metB//oppA//paaF//lysR//ygiB//xylA//marB//sroA//molR_1//yhhY//yoeB//omrA//yneM//nrdB//icd//phoU//argA//ftsL//chbC//napC//glcC//rffG//lacZ//
PrpR	moaC//pspC//sufA//hcaF//ybiT//
PspF	uidC//qseC//chiP//ulaE//prpD//obgE//murI//
PurR	cdaR//lsrD//mqsA//ccmE//idnK//gspO//feaR//sucC//caiB//yeaH//hyfI//malE//caiB//cheW//gcvB//eda//sdhA//phnK//motA//uxuB//aceF//lysA//lacA//emrK//trpB//cpxQ//yhjA//waaH//fadR//cirA//mcbA//
PutA	pgaD//waaY//
PuuR	ssb//gor//yjbF//fliF//ydeM//yncE//oppD//
QseB	phoA//ppdB//znuB//hyfF//
RbsR	pyrC//ascB//accA//hyaA//cysN//ydiU//cusB//fadE//casD//
RcdA	gadE//gapA//edd//gatB//csrC//katG//srlD//astA//uvrY//
RclR	ydeN//ulaC//appB//
RcnR	tsx//glpA//yciF//
RcsAB	gudX//uidC//ahpC//pqiA//ldtB//tauA//yjhB//flgA//nuoI//tonB//ydfN//sufA//gntP//relE//ccmB//fecC//
RcsB	hyaA//exuT//sroD//dgkA//tadA//rbsD//grxA//folE//chbA//gadB//chbA//fabA//casB//mlc//mlrA//gltL//bolA//cusB//ynfE//cadB//mhpB//rcnR//argR//acrR//yfdX//
RcsB-BglJ	ddpD//flhD//cynX//ydfX//osmC//fliC//hyfG//lacY//mscM//dctR//fadH//fadJ//hlyE//rbsR//arsR//lsrK//
RelB	nagE//creD//casE//
RelB-RelE	slp//ahpF//gutQ//
RhaR	hns//hemH//
RhaS	hmp//fecB//uidC//ccmH//paaK//casB//
Rob	nanT//ydhT//ecpR//flgF//nuoM//ompT//agaI//betI//lsrF//uvrC//uxaA//dsdA//rhaD//gntU//patA//xylH//nikD//mraZ//flgJ//potI//sdhA//rplU//cbl//rbsK//yhcH//uxaB//
RstA	nikE//pspA//pstC//ybbW//nohA//ribA//cysI//acrB//fhlA//glmY//
RtcR	gatD//glgA//
RutR	narX//dsdC//nuoM//mtlR//cysU//phnF//rclA//trpB//fixA//fliK//paaK//mhpE//fecC//allA//hyfH//nagB//mglC//
SdiA	yiaJ//rutE//lldD//fucO//sutR//
SgrR	acrD//phnI//fadB//phoR//cdaR//ubiC//cpxP//tam//fpr//
SlyA	nadB//
SoxR	amn//uidR//dsdC//
SoxS	caiB//omrB//cspE//fliH//nrdE//deoB//hdeD//ugpA//gudD//ttdB//csgA//cvpA//dpiB//polB//nuoJ//nikD//fliC//emrY//hybF//cyoC//efeU_1//ppiD//gltK//cysH//asnA//purM//casD//fabA//pdhR//kbaZ//gatY//ppdB//ydbD//hybF//glgC//aroL//phoH//ybjN//phoA//ftsA//
StpA	uxaC//nusA//dkgB//manY//tomB//decR//hcr//
SutR	hyfE//ppc//dnaA//rimK//fliL//
TdcA	wzc//cas2//tolC//glmY//galR//atoB//hycG//
TdcR	ftsZ//hyaD//entF//glpQ//glpQ//glcF//hyaD//
TorR	ybaT//argT//csgF//purR//ilvY//phoP//norR//rnlB//yjjQ//feoC//yhhY//yfdE//
TreR	flu//fliG//
TrpR	ynbD//pgpC//tnaA//phoA//ppdA//rbsK//artJ//ahpF//adiA//nrfE//nagA//fliG//
TyrR	fliI//trpR//hyfI//yegH//ascF//asnA//trpR//prpC//nanE//fumB//rpoD//yhdZ//
UhpA	hisQ//
UidR	tdcF//hcp//hemL//yecR//
UlaR	ymgC//ydjM//lysP//nrfB//hisM//narL//casB//
UvrY	rdoA//pgpC//spy//fecI//metL//
UxuR	gcvT//leuD//kbaY//torC//paaZ//yiaJ//hypD//astE//rpsU//
XapR	slp//ydfX//
XylR	pqiA//flgH//kdpC//cdaR//metA//tyrB//nemR//
YdeO	hybG//narH//rpmI//bglG//hyi//rcnR//iclR//dsdC//rcnR//gspI//emrY//sbcC//dnaG//glxR//ruvB//ssuA//inaA//glgC//phr//puuB//cysC//
YedW	phnE_2//malK//rutF//napD//ydfW//gdhA//rplU//mtlD//ydhV//sufD//ddpA//oppF//
YefM	tauC//agaB//
YefM-YoeB	fliO//agaI//
YehT	ynfG//
YeiL	dgkA//
YiaJ	ygdB//rimK//ruvA//setA//aceA//pfkA//entC//glnD//gatC//aidB//
YjjQ	nrdF//alsA//hyfD//lexA//frc//ulaA//hypA//idnD//mhpT//sulA//
YpdB	purK//
YqhC	astD//recC//
YqjI	glgC//recX//
ZntR	fepD//
ZraR	ydiV//flgC//glnA//
Zur	caiT//ompC//nrdE//dcuR//hyfR//gltF//
