#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	luxS//alkA//
GadW	cyoC//glnB//dhaK//ppdC//pnuC//rbsC//mdh//omrB//argE//accA//pheT//pdhR//tauC//nagB//mpl//
GadX	lldR//puuD//tcyP//dpiA//ddlB//gpmA//ykgM//seqA//zraR//omrA//lpxA//gudD//yaiW//skp//hypA//malY//ssuE//feoA//cydB//hybG//narJ//malE//tyrB//lrp//hdeB//ldtD//yegH//srlE//uxaB//
GalR	ycdZ//feoB//bluF//glgB//gltK//paaG//narI//ptsG//oppD//oxc//
GalS	ahpF//sodA//zraS//hmp//hycG//accB//carA//lamB//nanE//phoA//
GatR	ubiA//gadC//ydcS//fabB//puuA//argG//
GcvA	fur//prpD//manZ//hyaA//pncB//
GlcC	nrfG//putA//casE//ycjG//gadX//ybjG//codA//
GlpR	phnO//nanS//tnaA//bhsA//rffG//napG//ybfN//mglC//eda//
GlrR	hycI//gltI//glcD//modB//purH//
GntR	znuA//grxD//yaiW//osmY//cysI//caiC//pyrD//ccmA//aspC//oxc//dsbC//fliJ//
GutM	fdnI//uhpT//hycE//ycgR//pheS//citC//entF//
GutR	ykgO//galP//mtlD//hemH//ibaG//nuoL//trpC//
HU	nanC//tpiA//iraM//yeaH//casC//galM//fliE//flgJ//lysC//
HcaR	cydB//metL//manZ//dinF//glnG//marB//
HdfR	ydeI//zraS//ddpD//allS//tpiA//
HigA	argR//cynR//
HigB-HigA	tdcF//fur//
HipAB	rplU//allB//sgbU//hypD//fepG//
HipB	fadR//tisB//entD//lgoR//ycgZ//napC//
HyfR	casB//fiu//appY//uxuA//murC//safA//dkgA//ulaF//acrD//gyrA//tauD//rarA//
HypT	cynX//paaY//cadB//gadW//hycF//leuA//argT//caiF//cusB//garP//entF//paaG//glnK//
IclR	ydcU//ubiX//molR_1//caiA//
IdnR	sroD//deoA//mdtE//cdaR//lsrA//argE//phnC//
IlvY	metR//yiaM//
IscR	ugpQ//bioC//atoA//agaS//qseB//sbcD//tpiA//oxyR//yjbH//ynbC//tyrR//rpiR//mhpF//fadR//cyoE//rpiR//mlrA//hlyE//dacC//bamE//oppA//sufS//yhdX//fliG//iraP//trpB//slt//asnA//yagK//ygaC//hokD//ubiA//
KdgR	yeaG//truB//
KdpE	nemA//yeiB//wrbA//tyrA//
LacI	gltL//kdpB//rtcA//
LeuO	aldA//hycA//agaC//yoaC//fucK//iscU//nagC//nrfA//hyfJ//hyfC//pnuC//phnE_2//tadA//dhaM//nanK//sulA//puuA//btuB//hycD//lexA//
LexA	ydbD//katG//chbA//gspC//argD//crp//napH//fliA//mazF//cysU//yjjZ//mnmG//fhuE//slp//wecB//pheM//dinB//ydhW//aroM//glpF//gcvB//nrdA//cydD//citF//yjbF//flgI//hypB//fliZ//yhbE//garP//slt//pepD//ygbA//ptrA//pnuC//nrdI//tnaA//ssuE//napB//sgbH//hipB//idnK//thiP//pitB//wecB//higA//yagK//bglJ//murD//cysN//citG//tdcB//dhaR//rstA//baeS//uvrB//ttdB//dctA//entF//
LldR	kbaY//erpA//ydfH//
LrhA	rseA//fhlA//metA//ygiA//
LsrR	udp//argB//pnp//glnD//yhbT//dcuB//csgB//nrdI//pgaD//
LysR	yhbE//ydbD//
MalI	oxyR//feaB//fhuB//
MalT	dctR//kdpC//lysA//yccT//rbsB//fhuA//trpD//trxC//evgA//bioD//
MarA	dicB//eda//flgD//umuC//atoA//gltK//fixB//modA//artJ//yqjH//ugpE//ugpQ//ycjX//mntS//baeS//trpC//xylG//grxD//yeaD//yciX//sroD//gadY//gadB//ynfF//glcB//thiQ//araB//casD//stpA//hyfH//nikC//ugpQ//omrA//phnJ//xylB//dapD//ybfN//cynT//
MarR	sbmC//cysH//paaF//
MatA	mglB//waaZ//oppB//ynfH//mglC//yccA//znuB//trpL//
MazE	yccJ//moeA//lpd//
MazE-MazF	exuR//hycB//ftsZ//
McbR	araE//kdpA//phnP//rpoE//
MelR	ybaS//dsdX//gadW//
MetJ	ygbA//mazG//lldD//hycB//ygeH//uof//tnaA//lacA//casE//kbp//allS//ulaG//lsrC//rutR//yfiR//
MetR	purK//betI//wecC//ssb//ynfH//
MhpR	hypC//cysP//phoB//ilvY//gntK//napG//
Mlc	glgB//flhE//qseC//yneM//rstA//sbcC//astE//nuoL//wza//nuoN//
MlrA	mhpE//dinJ//gatC//malT//sbcD//tdcG//asnB//ccmG//nac//yhjC//
MngR	garD//mhpF//yegR//
MntR	fldA//pyrD//fadE//exbB//gfcA//
ModE	gltJ//flgE//puuP//glnA//mazG//yiaL//mhpB//ccmB//pnp//pspB//hemH//gatC//phnO//narL//fucA//cysN//appB//cadB//pyrD//flhB//fabI//ftsZ//narJ//potG//cheA//flhC//lexA//rbsA//carA//feoB//chbR//fumC//fliR//yidQ//yhbE//yqhG//bhsA//potH//dapD//dicC//glpK//ssrS//luxS//fucK//hybE//ndh//
MprA	mdtB//paaX//gatZ//putP//fecE//epd//
MqsA	leuO//ydcS//ugpC//moaB//fdhF//nrfF//ycjG//glpK//
MraZ	prpC//nuoN//frdA//gapA//cynS//mepH//mtlR//trpR//dinG//hycI//argC//napB//ftsL//ftsA//ppsA//narK//yiaM//
MtlR	gyrA//gcl//wrbA//
MurR	amtB//phnE_1//yfiB//
Nac	flgE//eda//melA//rybA//lpxA//xapB//hyfJ//gatY//recX//psiE//glnQ//gapA//argH//murG//yqhG//pheM//uhpT//pflB//psiE//purC//gcvA//
NadR	lysP//yhiM//nanT//hslJ//
NagC	dcuA//puuP//argB//chbR//ygbA//tsx//pdeL//pgaB//yagK//argR//prpE//rbsD//fliS//glnB//qseB//rpiB//phoB//cyoA//aceF//treC//motB//appC//hycH//purF//yjbH//prpD//dinI//dhaL//dpiB//zwf//puuC//qseB//ycgZ//ybdZ//add//hcr//paaG//
NanR	cynT//paaZ//mdh//ydcV//ydcS//araA//gntK//dps//ytfE//rpoH//yccA//
NarL	garK//hyaB//mgtA//mraZ//cusS//hycA//aceE//crr//uvrB//fecE//dtpA//hybE//purA//emrB//cas1//rutD//murQ//dcuR//ddpC//ahpC//cysE//pgk//zraP//uvrD//ptsG//aroG//cpxA//lsrF//yiaM//glmU//glmS//cheA//osmY//flgF//ttdR//bamE//hyfJ//nuoN//entD//citF//leuD//mglB//ycjX//tdcB//malP//hyfG//ybbW//yhbS//cadC//yhbE//ycjG//oxyR//hokE//fliZ//exbD//trxC//tdcA//kdpA//udp//rutE//rclC//bioF//entB//glcF//malX//glnH//efeU_1//fldB//rdoA//torR//ebgA//iscS//narL//trpE//guaA//ssuC//mglB//nuoC//ppsA//fhuF//gpmA//malE//glcC//ydfE//nrfD//mioC//fucA//gadY//pnp//pheT//accA//ccmF//fadI//purL//mhpT//bioC//metY//mhpC//arsR//gatY//nuoN//seqA//mngB//dctA//cyoB//fadE//aroM//tadA//hisP//ugpA//dgkA//rybB//dinJ//rnpB//ybfN//ppiD//ygiB//xylG//sroA//cydD//garP//entB//malX//
NarP	rseC//purD//ccmC//ulaF//dcuS//truB//pspF//aroM//garK//fliT//ykiA//bolA//lon//nirB//puuE//yegR//mzrA//mqsA//gatZ//csiD//mdtD//paaX//fumB//glgB//nrdD//trpE//ompC//yccT//nuoE//eno//ppdC//metE//murP//rutR//gspD//ppdB//hisQ//manX//argT//idnT//flgI//ccmF//relB//moeA//rseC//flgN//leuB//wcaA//tsx//moaA//
NemR	ftsL//flhB//rffM//
NhaR	pgm//marB//artP//murC//mraY//galE//gabT//
NikR	fabA//gnd//dgcZ//ccmH//xapA//hyfE//
NimR	slyB//dicB//
NorR	grxA//ldtC//fucI//
NrdR	betT//cusC//ssb//fixC//ybhS//dsbC//fliH//glnP//creC//
NsrR	entE//flgG//bioB//ymiA//gcvB//yagK//acrA//gltI//acrD//ung//qseC//nanE//pdeR//mglC//phnH//ybhL//ydhU//wecB//lamB//nac//ynbB//znuB//yafO//nikC//casD//nuoN//tcyJ//ycjF//cadC//ydeI//garL//ydeP//flhB//rpoD//narG//nupC//mpaA//pfkA//lysP//moaC//dnaG//pnuC//phnK//lpxC//astB//astD//fixC//manZ//aslB//nuoH//fabZ//feaB//dctA//ydiU//fliE//serA//glgA//sodB//dsdA//fliC//metK//nuoA//lysA//ugpE//yciE//lysP//yeiL//hokE//ssuC//ubiC//hypB//fecR//ybjC//sucB//gltB//uof//gadF//pnp//purR//iraP//nanK//pgi//fadH//
NtrC	entA//gspE//melA//iraM//cysH//hycG//ompF//chbB//fecC//arsB//fliG//dinD//rhaB//pgaD//hycF//nikE//fadR//cysP//yafN//mgtL//nikD//srlE//cysB//astD//nfo//accB//gspF//sgrT//potF//speB//umpH//intQ//pheS//gpmA//frc//cdaR//rutR//alaS//appX//hybA//hybE//yhbE//nuoK//dcuD//nadB//rutA//dhaM//pepA//ydeM//
OmpR	phoE//aroG//sucC//trpE//appB//tomB//ynjI//gcl//nrfC//emrK//treR//gspF//agaI//sgbE//rdoA//ydiU//rcnB//ddpD//cas1//ygiB//yafN//
OxyR	hyi//gadW//fumB//ybhG//ynfF//modC//cbl//yciW//ftnB//dgcZ//lsrK//hyfA//tktB//cysW//tdcG//rffG//glcA//gfcA//ydcS//ampC//mlc//allD//molR_1//rpoD//citC//gltB//pgi//napA//trpL//chbG//malT//murQ//murI//hybA//
PaaX	ldtB//yqjI//pspB//flhA//fadH//cusC//iclR//recN//deoC//agaS//dicB//insK//folA//modA//
PdeL	entF//
PdhR	setA//tktB//rtcA//acnA//cynR//metJ//ddpA//iclR//cspE//uvrA//sgrS//cusF//pepA//ydjM//yegH//ugpC//frdA//galT//yqjI//hyfR//ybiT//tdcB//glnP//thiP//flgC//fabA//osmY//sucA//pheM//nanM//glgB//cas2//fucA//araC//cysD//gnd//cytR//higA//xylA//marB//marA//
PepA	hha//luxS//xylA//
PgrR	uspD//argT//udp//metC//caiA//dgkA//agaB//xapA//
PhoB	mglB//casA//tynA//frdB//alsB//glpK//yjhB//hyfF//nirB//sdhD//yhdX//lrhA//ftsZ//phnC//entE//potG//psiE//patA//cas2//lysC//narK//hdeB//lsrK//nanA//agaB//yebE//sgbH//pspD//purH//marA//ybaT//uxaA//prpB//ppdB//dsbA//gltB//mhpT//gdhA//rbsD//mglB//feoA//ilvC//phoE//glcC//gadY//ykiA//lamB//add//potG//poxB//mdtB//flhB//glpF//garD//phnI//metH//marR//potF//ynfG//deoC//
PhoP	waaY//uidC//yeiB//acnB//fnr//fadA//gspD//flgF//gltB//sroD//ebgA//insD//fecB//nuoI//rnpB//rbsK//ydeN//stpA//nlpA//fadM//fliG//yeaG//ydfD//napC//ydhT//pspG//nrdF//fabZ//marB//pspC//gspI//fliP//eno//dcuD//agaA//ygbA//ftsA//hycE//yhiM//tnaC//accA//ybjG//nikD//fecR//ubiA//fhuA//cadC//pdhR//gcvH//mdtD//yqjH//purM//tsx//ddpA//ydcS//nrdF//
PrpR	ymjC//malE//aceB//erpA//sgbH//
PspF	potF//rtcB//gltL//gntP//manX//fpr//galM//
PurR	cydC//galE//frdC//mdtB//phnC//motA//lacZ//ynfH//yqhD//ycdZ//napH//glcG//idnO//flhC//argO//yhdW//asnA//glnP//napG//fpr//ydhV//pspD//ykgO//fruA//sgrR//ppdB//cho//fruA//ybhR//yneM//alsE//
PutA	napH//purF//
PuuR	fucK//fliR//ygeH//fadI//ubiX//norR//caiD//
QseB	napB//entA//lexA//hyaE//
RbsR	sufS//ygiA//murF//malI//rplU//fucR//lsrR//ytfE//oxyS//
RcdA	psd//hisP//rseB//paaD//nuoH//argC//glnH//rhaR//rnlA//
RclR	nupC//asnA//citX//
RcnR	frdD//pyrC//gadB//
RcsAB	hybF//ulaA//ssuD//hybO//dcuD//glcE//gpmA//uxaA//ecpA//gspK//pgaD//nuoC//fumB//pgaD//glnA//phnK//
RcsB	relA//asr//entB//purR//rcnR//exbD//hcaB//csiD//metB//acrD//hisQ//gatZ//cpxR//thrS//rfe//murE//sbmA//murP//rpoS//metL//yjbH//cirA//appC//csiD//phnI//
RcsB-BglJ	rutR//casE//hyfC//rutG//kdpF//cyoA//alsE//rbsA//murC//infC//phnN//malG//tsx//gatD//galK//adiA//
RelB	ccmF//cusC//tonB//
RelB-RelE	arsB//insD//hypC//
RhaR	pheS//lsrF//
RhaS	flhB//wzb//mngB//lldP//manX//hyaE//
Rob	ldtB//ubiX//gudD//crl//pqiB//arsR//tnaC//talA//yncE//chbF//tehB//wzxE//hmp//paaJ//uspE//allA//crr//rutD//mdtD//hlyE//hycC//yjbF//yeiB//sdhB//ddpB//metA//
RstA	ptsG//argE//fabH//spy//lsrG//cysC//ugpA//argO//nrfD//nuoK//
RtcR	uidB//sdhB//
RutR	phnL//rseB//caiD//napG//tnaA//garP//artP//paaJ//lysA//fruA//glnK//gadF//dinD//norR//yegZ//purN//rnlB//
SdiA	aspC//ftnB//sbcC//cho//ptsI//
SgrR	caiC//recD//hisQ//gatB//uidR//nupG//tsr//recB//waaH//
SlyA	phoA//
SoxR	tdcB//chiP//ruvA//
SoxS	gadY//gutQ//cas1//exbB//ycgR//torD//dkgB//ppiA//malE//putA//wecC//treB//nrfG//osmC//dsdC//moaB//ybhL//hcaB//argE//ybbW//ykgO//gatY//appA//cydD//idnT//emrK//manY//yfiR//soxR//srlA//ybdN//glgA//yidL//malM//fliN//phoU//edd//acnB//yafQ//alaC//
StpA	sgrR//mraZ//fecB//fliR//agaS//csgD//htpG//
SutR	crr//gspI//dctA//sucA//iscU//
TdcA	mgtA//paaE//yecT//nikD//lysC//lysR//hybF//
TdcR	phnM//chbR//rutE//ynbD//cyoE//recN//ebgA//
TorR	ybhL//pepA//hokE//ttdB//mntH//yeiB//folA//hyfC//gspC//idnO//psiF//fadB//
TreR	pgaA//pspE//
TrpR	alkB//glgB//ycdZ//tam//nrfA//hycG//lyxK//yjeV//rcnA//wecC//paaB//hybB//
TyrR	fadR//ynjI//glmS//rhaD//uxaA//hyaD//fadH//glcE//nupC//rprA//nikA//acrD//
UhpA	cbl//
UidR	trpA//phoH//yhdZ//uxuB//
UlaR	ybfE//cyoC//malI//narK//srlB//gspO//hypB//
UvrY	ttdT//nanC//fadM//rprA//lamB//
UxuR	ilvC//gspG//ahpF//rbsK//artJ//fadL//ytfE//hipB//dmsC//
XapR	mazG//ppc//
XylR	pflB//envC//uxaC//glnP//ttdT//pheM//rcnR//
YdeO	gcvH//mglC//dhaR//ubiA//lysC//pspE//flgL//mraZ//ygeA//sbcD//yhbT//fimE//wzzE//glnL//wcaB//hypF//cysE//purA//malQ//mhpD//flhA//
YedW	melA//pqiA//cusB//mgtA//rpoS//gntU//pncB//paaI//ppc//wecE//nagE//phoP//
YefM	glnG//ppiD//
YefM-YoeB	nanT//yegR//
YehT	fliA//
YeiL	fecA//
YiaJ	glpC//waaH//ldtD//uidR//hdeB//galM//hyaA//oppF//sroC//rsmH//
YjjQ	guaB//leuO//cpxP//rplU//glcA//ybhL//soxS//fhuC//asnC//ybhF//
YpdB	asnA//
YqhC	ulaA//accA//
YqjI	sulA//agaI//
ZntR	citC//
ZraR	dinF//cheW//yhdW//
Zur	paaZ//fruA//phnC//yecT//puuP//entH//
