#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	torR//ybhF//
CusR	lpxD//rybB//frdA//nemA//citC//chbG//nfo//rclA//thrS//cydC//melB//hyfA//
CynR	oxyS//moaB//phnH//galS//
CysB	cysU//lpxD//nuoH//srlD//hemH//glmS//trxC//glmS//sufD//ftsW//flhC//yqhG//hycA//guaB//katE//flgE//citC//flgD//recD//tynA//omrB//gntT//nac//mntS//gltD//luxS//ftsQ//paaX//galM//murF//nikD//gatA//
CytR	gloA//yhbT//aceA//prpC//chbC//ycjF//ldtB//sodA//nuoN//gntK//fucI//malG//dmsD//
Dan	glpT//pgaA//recF//dgcZ//
DcuR	cysD//fabH//rnlA//fadJ//murI//hlyE//dinF//feaR//osmB//
DeoR	gutQ//relE//ebgA//rcsA//ssb//glnL//
DhaR	argO//lsrG//hisQ//trpB//
DicA	cyoA//yjbE//argT//rseC//argO//fadH//paaA//frdA//
DinJ-YafQ	rdoA//melR//csgF//
DnaA	rnlB//chbA//cyoB//sgbU//glpB//molR_1//sufA//tdcE//ynjI//dsbA//casA//csgA//
DpiA	fliC//dcuS//fhuC//hyfC//hycA//hcaR//rcnB//nadA//yqhG//exuT//osmY//
DsdC	hycG//pspC//fadL//
EbgR	flhD//fliP//
EnvR	mhpC//gntP//
EnvY	fadM//murD//
EvgA	bdcA//fpr//ybjC//rplT//pspD//fepG//trxC//trpB//narI//csgF//manZ//appY//rnlA//grxA//yeaE//ulaC//slyB//cysE//nuoC//
ExuR	dicC//fliT//relE//napB//ptsI//ulaA//glcB//glxR//metB//
FabR	hipB//alkB//
FadR	glk//sufB//cysW//add//srlR//gadA//idnR//hflD//uidA//tehB//aslB//tsx//ydhV//mazG//glgC//artQ//moaE//hyaF//glnG//deoA//fecI//rbsB//inaA//
FeaR	dsbG//alsB//
FhlA	dinB//fliJ//chbR//melB//paaZ//narH//lldD//fdnG//casD//pqiB//mngA//galE//rdoA//potG//atoB//nrdA//yibQ//aspC//cusF//araC//ldtB//pheS//motA//glpK//cpxQ//hyfF//malF//gspO//potG//sdhB//
FlhDC	ydeO//phoE//astD//aspC//lsrG//rpsU//patA//hyaD//tehB//adhE//norR//frdA//nac//argC//phr//gapA//tyrA//cecR//serA//psiF//molR_1//hybC//fau//hyfE//dinG//glgA//entC//dnaN//caiA//fabH//narH//cysC//iraP//polB//narI//rpmA//ydcV//pncB//fliJ//rclA//ykgO//yeaD//acnA//napH//ymiA//ftsI//yecT//rpmA//phnF//cydB//bluF//tpiA//aidB//flhB//aceA//nrfG//fabD//sbmC//dkgA//ssb//nikD//ecpA//kdpB//kdpA//yegH//ybdN//dhaM//hycF//recF//uxaC//entA//mdtE//rclC//malY//cirA//hyfE//phnM//phnN//nuoN//ftsQ//rseC//nfsB//
FliZ	gltI//malE//thiQ//phnK//metN//sgrS//nuoN//glxR//entC//rtcA//nac//uvrY//bioB//ftsQ//tdcG//tehA//mazG//ygiA//gudP//malM//pepD//
FucR	pqiB//murI//rutC//dcuR//hypC//mtlA//nanT//
Fur	ycgR//glpQ//aroM//flgM//ndh//dgcC//rseC//cyoE//araE//aceF//dcuD//nrdB//fadH//yhiD//hycE//galR//ygdB//yqjA//ahpF//uxaB//hcaC//ruvB//purM//kbaY//lysC//asnC//tauB//dmsA//moaB//fabH//fhuE//argE//iclR//paaD//bglJ//araG//bdm//fhuA//focA//dacC//trpL//wecE//ybbW//nikR//serA//gspM//yfbR//ompF//safA//cyoE//nirD//agaA//nrfE//idnR//ygiA//trpR//wzzE//dmsC//yjbE//melR//flgD//trpD//srlR//appY//skp//sufE//metF//hypE//ahpF//iscU//dcuR//ydcU//yhdY//csrB//guaB//ribA//purA//nrfA//rpoS//pheS//ycjG//uof//cytR//infB//gspF//rcnR//gcvP//serA//zinT//sdhC//tynA//ascB//glxR//yiaJ//gadX//allC//metE//glpB//phoR//moeB//lpd//gutQ//sufD//deoB//sgbE//dhaM//dsbC//rcnR//add//bioC//lldR//qseB//agaI//fixX//ecpR//arsC//xapA//nupC//gudX//gspK//mscM//fepE//gltD//narK//pncB//eno//ompW//ycgR//bdcA//hemH//
GadE	spy//wza//flhC//cyoD//efeU_1//yrbL//csgE//nrdF//ascF//modA//fadA//fadI//deoB//manY//pnuC//ygeH//mnmG//gspI//pqiB//aceA//hypF//cydB//truB//malX//prpD//guaA//potI//rhaB//fruA//
GadE-RcsB	dcuB//sufA//cbl//fadD//yrbL//yebE//torC//galE//flgM//
GadW	yhdX//ulaB//fhuB//ftsL//galE//ssuE//mepH//gltK//htpG//wecC//gpmM//ygiA//sra//fliO//rarA//
GadX	lldD//alsA//slp//hydN//sra//dctR//ftsA//fliC//chiP//relE//mngR//flgN//fucA//fecI//pnp//dhaK//ybjC//ubiA//guaA//ugpA//hypC//aceE//cadC//aidB//ebgC//hybC//cbl//melB//tsx//
GalR	osmB//pflB//dicB//alkA//waaZ//rcnB//bglJ//chbC//narK//nadB//
GalS	narL//pheT//malI//fadM//emrK//sulA//aldA//mngA//wcaB//dicC//
GatR	sbcC//yqhG//higA//casB//hypE//hybF//
GcvA	gudX//mdtD//gabP//cydD//yfdX//
GlcC	cas2//glcE//recB//nagC//nlpA//astC//metH//
GlpR	fepA//yfiR//hyaA//ddpB//wzzE//xylB//ymjC//atoA//sutR//
GlrR	ppsA//poxB//dsrA//entA//chbA//
GntR	yiaL//glk//fruA//gspD//dsdC//nadA//iscS//fepA//murD//bhsA//yhdW//ycjY//
GutM	fliZ//araF//bioA//flhA//dcuS//fecD//sbcC//
GutR	cueO//lsrR//ugpQ//paaY//gadA//fruA//fadE//
HU	ddpD//ccmF//phnM//alsC//mglB//treR//glnH//trxC//sdhD//
HcaR	ynbA//metJ//gfcA//malX//tonB//cspI//
HdfR	folA//grxD//mdtF//accA//phoA//
HigA	mnmG//gltB//
HigB-HigA	ymgA//cytR//
HipAB	fabD//yfaE//feaB//hybO//rffC//
HipB	puuC//hcp//araF//glnA//omrA//prpR//
HyfR	ynbB//phnN//ulaB//sdhA//treB//skp//soxS//argP//hybD//rpoS//feaB//lsrG//
HypT	rimP//psiF//purL//yibQ//phnN//gltB//ugpC//acrD//hisJ//mpl//cdaR//glnH//sufD//
IclR	mgtA//amn//pstC//ygiA//
IdnR	cyoE//casD//appY//entB//hcr//dcuS//agaS//
IlvY	fepC//csrC//
IscR	ydhU//garP//rseC//nanM//slt//adiA//glxR//entS//puuB//tdcC//fliP//cpxP//hycB//glpA//rseC//fliR//fucA//wcaB//torC//sucD//mhpC//dsdX//adiA//ydhW//puuP//ccmC//wcaB//nrdF//yjbH//wzxE//glnG//sbmC//
KdgR	gltF//speA//
KdpE	mtlD//appX//narL//argI//
LacI	sra//lyxK//metJ//
LeuO	sgrS//dmsA//kbaY//leuO//ecpR//cyoE//dcuR//mnmG//bioB//csgC//puuR//phnF//pdeR//agaB//ynbB//mgrB//yaiA//argE//recC//yhcH//
LexA	rimP//gspI//rybA//napH//ulaA//fau//murI//uxaA//oxc//uxaC//potI//fruB//putA//lexA//cho//soxR//garD//prpC//pgaA//aslB//mqsA//accC//adiA//micF//mdtB//nrdE//yjhB//polB//hemL//dapB//gabT//ybjN//glnA//metL//mgrB//yiaK//ada//moaC//ybhS//agaW//hyfH//nrfA//nrfG//frdD//flgA//dcuA//mepH//rpoH//fhuD//cyoC//ygbA//rpiR//paaD//hycC//gspG//hyfH//glnH//envC//rclB//
LldR	isrC//recD//mtlA//
LrhA	bioC//phnK//araJ//gpmA//
LsrR	thiP//asnC//carA//trpC//rtcA//mdh//yfbR//metJ//ybbY//
LysR	ynfH//ssuB//
MalI	ulaE//rnlA//galS//
MalT	phnI//mraZ//crr//bioB//metI//gspJ//yrbL//rplT//nrfD//casA//
MarA	ogt//ulaC//chbB//mcbA//norV//metL//phnI//mraY//aroP//gspK//caiE//glgC//ynfF//dhaR//emrA//ribA//ddpC//araJ//ydjM//dgcC//rpoD//fepG//glnL//nrfF//ugpA//fadD//nuoG//cysE//phoU//yaiA//hcaD//fliT//murC//hns//mhpF//ccmB//ynfG//glcF//
MarR	psd//fiu//lldD//
MatA	ahpC//crr//fhuC//cpxR//csiD//iraM//casB//dgkA//
MazE	mprA//csrC//allB//
MazE-MazF	malM//ydeN//rhaR//
McbR	flgD//tauB//yhcH//crr//
MelR	yoeB//casA//moaE//
MetJ	fucA//malS//ilvC//gntP//mcbA//phnF//ddpA//iscS//ybjN//cysJ//exbB//ybjG//gltL//inaA//cecR//
MetR	paaF//agaW//tdcC//fixA//rbsR//
MhpR	pgaB//gspJ//moaD//moaA//pyrD//sgbE//
Mlc	epd//tcyP//cspE//bacA//ppdA//ptsI//yiaK//pdeL//metL//dnaA//
MlrA	mngA//fadM//appX//inaA//hyfD//hyaE//ubiC//rstA//yoaC//yefM//
MngR	slt//purA//pyrD//
MntR	csgB//murC//nirB//ariR//mepH//
ModE	uvrB//fhuC//srlD//astD//appC//lysP//csgG//yecR//ompT//aroL//glxR//rclB//rtcA//nuoH//leuL//sgrT//nuoF//zwf//frdB//cusC//pqiB//aceA//fbaA//cheW//yecR//tauD//lexA//yqhD//flgB//ydbD//yrbL//flhE//rclB//dnaA//kbaY//cusF//tnaC//znuC//uxuA//hyfG//nanE//rcnA//skp//oppC//mntS//gadE//
MprA	cyoE//hybE//nuoG//dsbG//mazE//atoE//
MqsA	rclA//putA//glnQ//yafP//pnuC//yjbG//uvrA//moaC//
MraZ	tdcC//fucK//flgJ//glnP//murQ//narI//oppA//manZ//cusF//gcvT//fimE//qseB//yhbT//rutB//tam//efeU_1//rcnB//
MtlR	ynfE//rutD//wecE//
MurR	ynbC//metI//dctR//
Nac	ugpB//gltI//ttdB//pdeL//dhaR//ugpC//hcaB//purD//phoA//ecpR//murE//torC//sra//mpl//fbaB//agaI//aceE//iraM//paaF//mntH//dctR//
NadR	relE//napH//spy//nmpC//
NagC	nadB//hyaF//nfuA//wcaB//malP//glpB//fabH//ddpX//paaB//entH//insK//ynjI//sbcC//rybB//gyrA//carB//dnaN//waaZ//ybiT//sodB//ybfE//yciX//pepA//yafO//rbsA//infC//wecE//leuO//hyfI//paaI//gcvB//tdcC//frdC//aidB//fliM//edd//rseA//
NanR	nhaR//prpR//entS//argH//psiF//argH//purK//flgD//caiE//fabB//yneM//
NarL	sfsB//lrp//lolA//mqsA//glnL//kbp//uvrC//napB//entS//idnO//argR//tpiA//garK//nrdD//sdhB//malK//casE//phnN//nuoL//malK//baeR//cspE//ydhV//hemH//allC//uxuA//ydhY//emrK//pncB//rpoS//tauC//yiaK//aceK//fepD//argO//phnM//tktB//hybE//kdpF//sodA//ascF//fdnI//rutF//sucC//araE//csrB//lsrR//sfsB//gspL//patD//paaK//leuA//acrZ//dinQ//glnG//ompW//flgH//yhjX//ykgO//fecA//glpF//ybhF//gcvB//aldA//gltK//znuB//hyfE//hcaB//xylB//ybiT//creC//yefM//cysU//lpxD//focB//kbaZ//nrdA//ybhR//fdhF//metI//intQ//epd//metF//uxaB//ydhY//malK//aceA//skp//cusR//entD//pyrD//cadA//nanT//ibaG//fucK//ydbK//ttdA//allS//garK//gadW//phnH//citE//casB//paaY//zinT//rutG//tyrB//uvrB//sodB//yiaN//ybaS//ycjY//cusB//ascB//gspL//cspI//fepG//tauA//rffH//manZ//ulaB//hyfE//fabG//
NarP	hcaF//ybjG//xylG//ugpE//moeB//rhaA//thiP//wrbA//pstC//gabT//ygbA//lysP//paaB//ftsA//gadB//oppB//nac//yedX//paaX//ycjX//ddpD//hcaB//araA//nrfF//fliA//glgB//codB//mraZ//mprA//micF//rpiB//ada//ydjM//dkgB//omrB//fbaB//fecD//ydcS//asnA//phoP//uidR//sgbH//uxaB//artI//gspI//napA//gutM//ydfE//yecT//potG//
NemR	yfbR//yeaD//entD//
NhaR	ydeM//infB//idnR//alkB//entA//sbmA//glgX//
NikR	dgcN//ygiC//uvrY//yhjX//hlyE//ymgA//
NimR	agaV//borD//
NorR	soxS//allE//metC//
NrdR	tdcB//ugpQ//pdeR//puuD//amn//nikC//recF//umpH//add//
NsrR	nuoB//fpr//rhaT//metE//fecC//hyfG//lon//fucA//cecR//phnE_1//yeaH//tsx//argF//aroP//rpoE//ycjG//ygdB//araD//rprA//fadB//yegZ//nanK//gspF//bglF//rimK//casD//ydhV//pgpC//nanA//hybC//ftsQ//murQ//nrfA//glgA//fdnG//ynfH//wcaB//ihfA//ynbC//cyoA//ybfE//yjeV//pnp//rseA//fdnH//btuB//nirD//ddpX//lldR//fumB//yafP//dhaR//xapB//torR//fumC//napB//chbC//alaC//aroP//fbaA//hyfJ//caiC//folE//potI//fliJ//dsbA//nrdD//yebE//malQ//uof//fepC//agaA//fabI//csgC//gntT//srlR//tsgA//pyrD//galP//ldtC//nrdB//rybA//yecT//
NtrC	rbsR//ybhG//caiA//paaA//ompC//ompC//rpsU//hyfA//ydfH//rsmH//phnH//bhsA//glpK//rhaD//ompF//bolA//ynfK//ulaA//gatB//uvrD//fbaB//bglG//tsgA//tauC//ftsK//marB//murC//ssrS//bglF//rseB//creC//yegH//cynT//insK//malI//ftsA//rpoS//yegZ//hcaC//ddlB//sucA//hybF//nuoM//dinB//mhpF//iraP//cpxR//ruvB//flhB//
OmpR	bioB//aslB//uxuR//idnD//csgD//phnL//isrC//hyaC//phoU//fliQ//hycG//feoC//artJ//yjiY//talA//rclA//yeaE//uspA//argP//flgC//recD//
OxyR	relB//iraP//nrfD//fecE//sgrR//norW//narK//purM//hybB//hcaR//garK//rarA//dctR//slyB//fdnI//fldB//tsr//yeaR//tynA//rseB//ecpR//paaG//gfcA//fdhF//sbcC//pepA//metN//nagC//infC//xylB//purM//nuoN//rseB//uvrC//
PaaX	obgE//ptsG//cdaR//fumB//fucR//recX//ybjN//ybiT//oppF//luxS//evgA//tam//moaD//srlR//
PdeL	dmsA//
PdhR	mqsA//mdtD//cydD//hypD//ung//purC//hokE//rbsC//malF//gadA//chiP//sgrS//gatD//araH//purD//rprA//ccmH//nrdG//hyfG//yhdY//agaD//gabD//ydeN//ybiT//glgP//cysM//fhuB//tomB//yiaK//ydeP//mdtA//casA//paaE//mioC//gadF//lamB//phoR//yhbE//ddpC//gltD//gatB//
PepA	gspK//araB//asnA//
PgrR	ymgA//prpR//mdh//galK//gutQ//nikC//gcvB//ariR//
PhoB	bglB//tadA//nrdD//yqhG//tauD//hcaF//uvrY//sra//ribA//yhdZ//glmS//mhpD//fliK//oxyS//ddpA//phnP//flgM//narH//creD//pheS//mtr//gatC//nimR//flhE//hybG//paaK//prpB//gltJ//accB//tdcG//uhpT//oxc//kdpB//cysE//sbmA//aceF//prpB//fnr//nuoA//manZ//yegR//rbfA//glxK//hycC//dsbG//hybB//tolC//dinG//yhdZ//hcaE//artJ//artQ//nfsB//garP//agaC//lsrF//leuD//hycG//fhuF//patD//
PhoP	leuO//talA//tsgA//gltB//entB//fldB//fixX//ulaF//qseB//higB//purK//xylB//hycI//argD//fdnH//ftsW//trpB//ompN//mtlR//garK//idnD//nupC//sufB//ihfA//sgbU//gcl//thiQ//pncB//trpL//chiP//recB//fhuB//fabG//flgC//yciW//cho//hokD//nrdG//caiB//ccmF//carB//argP//ynbC//slyB//tynA//malF//baeR//ychF//ibaG//ppiD//mdtC//gcvP//nrdI//omrB//fucO//lysA//
PrpR	fucK//ygiZ//glcF//leuB//focA//
PspF	sdhB//ttdB//bamE//garK//trpE//fliA//gatZ//
PurR	katG//mdtC//zraR//rfe//fliI//lon//nohA//idnD//umuD//phnF//argI//lyxK//feoB//trxC//waaZ//pyrC//nimR//chbB//ydhY//dicB//aidB//gltD//fadM//potH//hydN//iraM//deoA//rcnA//murG//murP//prpB//
PutA	ydeM//pstB//
PuuR	bglB//ydfD//nuoL//putP//rbfA//rutC//ymgA//
QseB	appX//mtlD//cra//cbl//
RbsR	tyrP//infC//metE//zwf//dinF//manX//guaB//casB//nupC//
RcdA	tyrP//pspD//xylA//emrY//kbaZ//marA//entS//isrC//ttdT//
RclR	purL//caiT//fepE//
RcnR	rhaS//recA//mpaA//
RcsAB	srlB//frdD//nadA//umuC//yrbL//fecR//yhjA//oppF//glnG//wzzE//astD//paaB//hybA//nagE//umpH//gltD//
RcsB	metQ//mdtE//dpiB//yfiR//hypB//yiaM//fadI//zwf//uxuB//malP//rutC//recB//omrB//yiaJ//bioB//ybdN//acrB//htpG//srlR//glmS//malM//ygiB//sbcD//ugpQ//zwf//
RcsB-BglJ	glcB//cpxP//gltD//ulaB//purL//alkB//folA//mtlR//focB//fliI//symE//kdpC//gspM//paaJ//sdhC//fliG//
RelB	gatZ//nrdD//argP//
RelB-RelE	moaB//lldP//fliT//
RhaR	narJ//feoA//
RhaS	hyfI//fabI//ompN//cysD//yidL//tonB//
Rob	trpD//umuC//chbA//nrdB//iscA//ydiV//garL//mngA//hybF//srlD//yagK//cdd//gdhA//argA//nrdH//cheW//mhpF//nrfE//modB//sdhB//dapD//rbsD//yrbL//caiC//rutC//araG//
RstA	lon//mgtA//fdnG//tyrP//casA//yqhG//cyoA//hisQ//murI//dinB//
RtcR	fecD//mglC//
RutR	rutG//nagA//yeaH//torD//entC//allE//oppA//ugpB//moaA//ilvY//yccA//yagK//zinT//intQ//mcbA//mhpD//treB//
SdiA	ynbB//ldtC//chbF//rclC//hcaR//
SgrR	gutM//rutD//hypE//gabT//uidC//nlpA//fucR//mdh//htpG//
SlyA	cpxR//
SoxR	garL//ybhS//ynfK//
SoxS	eno//potI//appY//mcbA//napF//mioC//ddpF//dinG//yjbE//trxC//frdD//bioF//ydhX//crl//dmsB//garP//dicC//mdtC//glpX//mdh//argG//hycE//yefM//nrdI//pspC//chbC//yhhY//sroD//pflB//nuoA//epd//trpR//dmsC//ulaD//cvpA//fecA//ftsI//znuC//prpE//fucR//
StpA	fliE//ygdB//hycG//pykF//decR//glgC//erpA//
SutR	mhpF//ung//fruA//wzzE//sroA//
TdcA	fucU//ftsK//fliO//xapB//idnO//flhA//hycB//
TdcR	potI//hyfH//hypA//cydA//gspM//nadB//sodA//
TorR	puuE//phnD//phoP//iscR//dhaL//ampC//icd//pspC//mhpC//ecnB//astC//recC//
TreR	phnG//aceF//
TrpR	feoA//rdoA//baeR//yciW//moeB//pspG//glk//galS//paaH//dhaL//paaI//entD//
TyrR	relA//yfiR//waaH//gspG//argD//treB//gadW//mscM//araD//fliN//cusB//artM//
UhpA	murI//
UidR	moaA//argR//ppdB//sufD//
UlaR	nac//erpA//fecI//nadB//uidB//kdpF//cysC//
UvrY	mtlA//entC//ftsW//napG//gabD//
UxuR	oxc//xylR//glnD//gltL//dcuD//mngA//kbaZ//dcuB//mdtA//
XapR	phoQ//fliL//
XylR	atoD//pdeL//napG//rbsA//norW//casB//rbsC//
YdeO	trpA//gadC//fabZ//rpmI//yncE//hycA//flgF//malP//cysA//idnK//paaB//treB//hybF//csgE//fixB//ddpA//napH//uxuA//flgN//ulaE//flgJ//
YedW	ykgM//fepE//puuC//fhuB//aldA//yciF//idnR//modC//mepH//ygiC//rclB//allB//
YefM	yeaG//ulaE//
YefM-YoeB	gadE//dkgA//
YehT	caiC//
YeiL	bolA//
YiaJ	yeaH//csgE//treB//uspD//pdeH//cpxA//alaS//hypD//soxS//pstC//
YjjQ	mntS//gntX//carA//bioF//mhpB//mioC//hypC//yfiB//phnE_2//nagE//
YpdB	glnG//
YqhC	fliI//cueO//
YqjI	mhpE//garK//
ZntR	lpxD//
ZraR	lpxC//napB//cynX//
Zur	yhbS//cdaR//fdhF//mlc//treR//rhaD//
