#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ykgM//yjbE//
DeoR	hybO//gadY//trpC//pgpC//ppdB//ubiA//
DhaR	rdoA//deoA//fbaA//entA//
DicA	ydiV//yecT//murE//paaJ//seqA//hyfD//melR//dkgA//
DinJ-YafQ	acrB//gadX//fiu//
DnaA	mntH//sgrR//ynbB//recN//ycjG//idnO//cbl//rarA//ydbD//psd//fucI//astB//
DpiA	mntP//phnP//fucR//kdpF//purE//glyA//hcp//glpQ//hcaC//sroC//glnG//
DsdC	btuB//cysK//fepE//
EbgR	argF//lpxA//
EnvR	fliP//nadB//
EnvY	kbaZ//uxuA//
EvgA	hlyE//mglB//yjeV//bluF//tnaA//gadB//poxB//eda//nhaR//amtB//aroH//glxR//hybE//tnaA//symE//fliA//pspB//fucI//guaB//
ExuR	gdhA//phoU//rffC//feoB//dicB//garD//accD//fliD//gcvT//
FabR	mdtC//ugpE//
FadR	ompF//mglA//murE//cecR//nikD//uof//glmY//hyfE//entH//rseC//csgE//norW//mdtA//sufE//dinD//malI//qseC//gudX//trpC//rhaA//mntP//glpK//uhpT//
FeaR	ydeP//cysJ//
FhlA	pspD//lsrK//metH//yfdX//gadA//ulaF//lexA//dmsD//ddpX//paaK//phr//bioD//nfsA//rstB//ynjI//fepD//pncB//dgcZ//astB//ppiD//ulaD//artP//hypF//pspB//tyrP//gntK//fadI//tynA//gatC//murG//
FlhDC	lexA//ddpC//yjjQ//fadL//hybF//ubiC//hycD//yjjQ//tktB//sucA//dmsA//phnG//cysN//malT//cspE//mhpE//sgbE//appC//mgtL//phnE_2//puuE//hyfI//yaiA//intQ//mraY//phnE_2//pepA//yeaH//nikD//lpxC//glgA//patD//folE//gor//exbD//deoD//lpxD//entE//glpC//entD//pagP//pagP//rcnR//hycG//ybjG//ulaD//iraM//fabH//atoB//dcuR//xylR//yhjC//dacC//baeS//leuA//uvrB//lysC//fixA//csiD//cysN//sutR//omrA//paaG//metR//lsrR//deoB//bamE//yegH//fepA//wzxE//rutD//dcuS//srlR//hokD//yeaD//ssb//gatC//lyxK//mdh//xylA//dpiB//tauC//
FliZ	nirB//tnaC//cysE//metN//crp//rclA//tisB//yhbT//nagE//bioC//slp//phnG//tehB//mgrB//yoaG//lsrB//ccmA//slyB//crl//metJ//ydfN//
FucR	entB//inaA//ynjI//nanC//mngR//ykiA//oppB//
Fur	glnD//waaH//tyrB//psd//cusB//nhaA//nuoL//ulaC//cysJ//pgpC//treC//cysI//yneM//phnE_1//yegH//metN//nikD//hyfB//talA//gyrA//tauB//bamE//chbA//fabI//gadX//paaC//flgL//mprA//umuD//rseB//rutF//baeS//yfiB//recB//yjjQ//gadB//paaA//fliF//lysR//ugpA//astD//rybA//yeaR//yaiA//mipA//paaF//sodA//yegZ//fucU//tauD//paaB//yiaO//tauC//trpR//dsrA//patA//sucA//argA//ccmD//pnuC//exbB//add//pgi//ydiU//asnA//rbsR//nanT//cpxR//glpX//wzb//moaA//dcuD//fecC//kbaZ//narJ//nanA//ydeP//phnC//ppdB//cpxR//asr//pgaD//rplU//gltL//citD//glpD//wzzE//uidB//cysI//entE//rybB//ynfF//csgC//bioB//rstB//zwf//hcaR//hyfH//oppC//hybD//oppA//yqaE//ccmG//metI//acrD//norV//aidB//pdeL//napD//hycH//feoA//chbR//fixX//fbaA//dsrA//prs//flhA//tomB//cytR//ydeN//ttdA//hcaF//gfcA//hycC//frdA//ygdB//napF//tdcC//ynbB//degP//
GadE	argT//paaA//fimB//rcnR//omrB//ygdB//fnr//creC//purN//nrfG//hycE//deoD//tdcC//tcyJ//ddpD//yidQ//recB//tdcA//hokD//fadM//nuoN//uidC//puuD//fimE//uof//gadA//motA//trpD//metK//
GadE-RcsB	modA//fnr//fliP//flgB//ybhF//dmsD//paaK//rcnR//caiE//
GadW	phoR//nac//cyaR//narI//rimK//yciF//fliA//xylG//metL//uxaB//paaH//hyfI//aidB//gadY//tyrP//
GadX	cusR//tnaA//infB//yidQ//cysJ//ppdA//hipA//caiT//lldD//flhE//bglG//tauB//ddpB//recB//asr//znuB//lacA//galR//caiA//chbG//yfaE//dmsA//flgK//argO//yjhB//rpmI//hybG//frdB//ada//
GalR	znuC//argD//umuC//ynbD//slp//ynbC//hns//ubiA//aroG//fabB//
GalS	cusC//ruvA//pgaD//narL//mgtL//waaY//araH//ybaT//nuoN//moaB//
GatR	glpT//lpxA//glnP//prpR//phnF//hcaC//
GcvA	paaA//oppC//gabD//qseC//nagC//
GlcC	lysP//glcB//csiD//pfkA//hycI//tauA//ccmB//
GlpR	allE//agaV//srlA//ykiA//uxaC//fau//rbsR//oppD//ybfE//
GlrR	accD//pqiB//speA//ogt//cpxR//
GntR	casE//yfdV//rcnR//fepD//fliP//waaZ//ryhB//gntP//ppiD//cyoC//ubiA//moaC//
GutM	hcaC//cysG//arsC//yiaL//pagP//purF//ydeO//
GutR	alaC//ydiV//hokD//flhB//mscM//crl//hypB//
HU	fliR//ibaG//ydcS//hyfC//gspL//glnA//pgaB//rhaA//ldtB//
HcaR	mqsA//uidC//artI//ssuA//citG//tyrP//
HdfR	glcC//fabD//hcaR//rutA//pitB//
HigA	purN//phnN//
HigB-HigA	ygbA//lsrD//
HipAB	nrfC//ydfH//metE//flgI//iraM//
HipB	baeS//nusA//idnO//zraR//appX//rffH//
HyfR	prpR//ddpF//fabH//guaB//ygeA//purD//glxR//tauB//cadC//gcl//sra//rfe//
HypT	cysA//hokE//hypB//nrdB//mtr//argB//moeB//gloA//pstB//gdhA//ftsA//fixA//yhdX//
IclR	mdtC//hcaB//napA//fepB//
IdnR	hcaC//sgbE//garP//feoC//rhaT//ecnB//napF//
IlvY	cysU//fliZ//
IscR	purM//flgM//ugpB//ttdA//xylF//manX//gntU//gadE//idnR//ndh//ydhY//betT//cusS//cysC//moaA//hybO//phnC//bolA//dnaN//rtcB//dsbC//cysD//fes//dinJ//dnaG//hyfA//lsrD//ftnB//phnP//tyrB//cysC//cysD//
KdgR	accA//fiu//
KdpE	yciE//mdh//ynfF//fliM//
LacI	nrfD//glgB//ttdB//
LeuO	uspA//sgrR//ttdA//araA//gadE//dmsB//wzb//fecI//yafN//yaiA//prpE//csgA//rimK//cheA//ssb//wza//slt//fbaB//ccmA//sdhB//
LexA	chiP//argO//nuoL//hns//yhdZ//relE//purD//phnM//pflB//iscU//ybfN//lsrC//yaiW//frdB//glnQ//araJ//chiP//ssrS//nimT//creB//creB//rpsO//umuD//gadC//flgN//ymjD//phr//lysC//treB//mhpB//ydfH//ubiA//ycjG//moaC//patD//torR//ynbB//cueO//oppC//rpiB//hycI//rutD//uspA//ftnA//yeiL//phnI//sgbE//purR//frdD//flgH//cas1//entA//symE//rhaR//yqaE//lysA//tfaQ//cysU//aceK//
LldR	mazF//caiB//zraR//
LrhA	lsrA//nuoK//ycgZ//rffH//
LsrR	ygeH//safA//ykgM//yhbS//fimB//fepB//aroM//xylG//yiaN//
LysR	alsA//ruvA//
MalI	uxuB//flgA//fliO//
MalT	ogt//creC//mntH//puuE//zntA//astE//lysR//trpD//moaC//artI//
MarA	pqiA//ecnB//uvrC//ampC//frdC//ybjG//accC//lpd//recN//ydhU//argP//ydfE//hybB//motB//lysO//ulaC//norV//lyxK//tisB//hdeA//malE//deoA//iscA//rimK//nuoJ//betI//leuL//nrfD//fdhF//glcF//cirA//rsmH//cspI//relB//rtcB//entD//glcB//ydbK//
MarR	puuB//nuoL//uvrC//
MatA	fliJ//ydeM//uxaA//yagK//ccmA//yiaK//hyfA//cspE//
MazE	fliT//bacA//efeU_2//
MazE-MazF	pspD//phnM//thiQ//
McbR	gadF//mpl//paaD//pgk//
MelR	yhbE//cbl//phnL//
MetJ	entS//rprA//pck//wzyE//dmsA//rhaA//cadC//carB//ydiU//ecpR//umpH//paaA//pspC//frdC//ymjC//
MetR	glgP//insK//emrA//fumB//mhpA//
MhpR	yjjQ//fliF//yegR//recC//hcaF//tsr//
Mlc	phnD//deoA//sufB//ldtD//ynbB//chbF//gcvT//nuoE//betA//insK//
MlrA	galK//oppC//ydhY//emrA//yccA//iscS//infB//tauC//purL//puuC//
MngR	ygiA//speA//gor//
MntR	csgE//malM//murE//carB//yebE//
ModE	purM//cusR//dsbC//fliD//zinT//lgoR//ccmC//nikC//yfaE//rutC//cyoC//nuoJ//uidC//pncB//dctR//citG//ecpR//ynfG//bglJ//ygbA//ampC//ubiX//nagA//murE//murQ//hybE//ynbC//cdd//purK//omrB//psiF//truB//seqA//cysW//nuoM//setA//qseC//argC//ydhY//ompN//manY//gdhA//phoB//glgC//moaB//purB//
MprA	pyrC//iscA//ydfN//aidB//yfdX//kdpB//
MqsA	yciE//caiA//fruK//leuB//adiA//iraM//cusR//cusA//
MraZ	fliJ//wecE//uhpT//hybB//fecD//sfsB//polA//wecE//ybjC//potI//mnmG//psd//cysW//gfcA//feoA//mgtL//caiC//
MtlR	fliH//rcsA//agaW//
MurR	recA//ccmC//nikA//
Nac	sbcC//recX//nrdF//paaK//mdtB//ygiA//modC//tcyJ//yccA//aspC//wecB//araF//argE//tsgA//lolA//ybbY//ulaE//rpoS//rhaA//argA//lyxK//
NadR	sufE//uxuB//gadC//allD//
NagC	frdC//ompN//mglC//glpX//gadE//ybiT//rsmH//truB//argB//psiE//cheW//phoA//flgK//moeB//aldA//tnaC//ydiV//pgaB//mpl//gloA//fecD//ygiB//lsrR//fepD//cytR//pgi//phoB//entB//yiaK//dctA//glnB//obgE//nrfC//fbaB//yecT//pyrD//metK//
NanR	dicC//fldA//ssuC//rcnR//hypB//mtlD//malZ//cytR//hypE//aceF//yeaR//
NarL	dmsD//ftsW//aceB//fhuB//rybB//mhpF//appY//nuoJ//yciF//mhpA//fldB//araD//phnF//yoaG//flgB//artI//phnJ//alsA//chbC//frdC//ddpX//katE//rpoH//rnlA//yeaE//glyA//yhjX//pdeH//lolA//gabP//ccmH//cysP//dhaR//hyfB//sdhB//nrfC//spy//yfbR//cyoA//gudP//lacY//malT//ftsQ//yhdW//nac//fepE//hdeD//motA//nhaA//phoU//rutG//thiP//gspE//potG//yjhC//ampC//cynT//tyrP//hisM//ybbW//glmU//nrdG//ydbK//recB//gloA//mhpE//ulaE//sgrR//gltB//phnG//ugpC//ahpF//manZ//phnI//rpsU//glmS//purB//nikE//fumC//nrfG//hypE//nanE//glpD//rbsC//zwf//ycjF//tolC//spy//efeU_1//malP//yhiM//aidB//crr//murC//ybhL//fliF//gatB//isrC//mtlR//metJ//cadA//copA//yfdV//yneM//lpd//ftnB//mcbA//fiu//tsgA//pepD//nac//chbA//efeU_1//yhiD//rimP//mtlR//dcuD//rsmH//glnP//arsC//uhpT//mdtD//fliF//
NarP	moaC//cpxA//yfiB//ymjD//gabP//focB//fau//yafP//gspC//garD//fabB//wecE//yeaE//flgD//wecE//rtcA//ycjY//pstC//phnG//melR//lsrG//hokD//add//hyfF//ibaG//yhdY//psd//ssuD//xylB//tonB//gntU//yjbF//nupG//nanK//gabP//bglJ//hokD//metF//manZ//nanM//accC//ybdN//araE//tauC//flgA//dicC//tisB//rbsB//cyoB//malE//
NemR	cvpA//ogt//carA//
NhaR	ndh//uidC//tehB//murC//fecI//dnaN//nhaR//
NikR	rpsO//crr//yfaE//potI//glgB//trpC//
NimR	phnM//metA//
NorR	ada//fruB//arsR//
NrdR	tcyP//arsB//pstC//glmU//dcuR//yafN//stpA//hisQ//modA//
NsrR	phnJ//dinB//hcaB//cadB//mntH//lsrA//yciE//ybhG//sodA//hisJ//bdm//fhuD//nikD//fliS//uidA//flgG//phnH//qseB//acnA//hlyE//purL//ugpQ//dinD//zraS//trxC//alkA//bioD//nuoI//fumB//ycjF//gcvP//umuC//ydiV//phoR//iraP//flhD//fucK//phnP//uspA//zraS//ulaC//phoR//qseB//fhuB//envC//yhiM//metC//ulaG//narK//glpK//yegZ//lpxC//puuD//galT//ldtC//leuL//rbsK//dicB//gudX//pspA//pstB//lldR//fliM//ftsK//ompW//paaG//hycF//ecnB//nimR//gltD//omrB//gdhA//lyxK//ccmB//moeB//mdh//nanA//phnM//ddpD//pqiB//gapA//gcvH//crp//
NtrC	citD//hyfI//moaA//lsrK//tcyP//pdeL//yegZ//gutM//cysK//mglB//dsdX//ydcS//yegR//yecT//puuC//iraM//motA//manZ//ppsA//metE//creC//paaH//yeaG//csgE//torA//nagA//fruK//lpxC//cysE//osmC//fhuD//phoE//fliZ//nadA//gutM//ycgZ//relB//bdm//ycgR//mdtB//gadA//hypC//glcA//yjjQ//mlrA//cynT//ccmF//emrK//bacA//
OmpR	fabD//acnA//uhpT//casB//atoA//csiD//araG//hha//ygeA//rdoA//sucD//rffT//nrfA//metE//cysP//oppF//hlyE//ydeI//gspJ//paaG//fruB//
OxyR	fur//rnlB//metB//wzb//potG//gabP//fabH//ndh//aroH//yeaR//flhC//fabA//aceF//mnmG//nrdG//xapB//cydD//sgbE//entS//entC//melA//fecA//glgX//cyaR//ybfE//yjbH//yqhG//cyoB//purH//entC//aroP//tyrA//dpiA//gloA//
PaaX	ulaB//ftnA//hybA//cadB//phnG//rarA//yncE//fepA//nanK//yjbG//hisM//tomB//ybjC//ymgC//
PdeL	murE//
PdhR	gltL//artQ//frdC//ydhW//glcD//fliM//sucA//appX//rpoH//fhuF//lexA//ruvB//ybdZ//ydhY//rffH//murG//ldtC//gspC//glnK//murF//rpoH//nuoK//guaB//osmB//fucI//pgaB//efeU_1//glpB//uidC//thiQ//gudD//rhaD//mglA//rnlB//fucU//rpsU//moaE//kdpA//lysP//phoQ//ydhW//
PepA	sfsB//phnJ//rpoH//
PgrR	dsrA//gatB//napC//aroH//dicC//cas1//setA//tauB//
PhoB	fliJ//adiA//metB//cynR//puuC//envC//pepD//udp//glnK//iscR//pdeH//moaB//hypC//fruB//fhuA//pspB//gltK//cysN//paaK//phnD//yjbF//yeaG//ulaA//ssuC//ydeI//mngR//uvrC//ykgM//iraP//acrD//dtpA//argP//cspD//srlB//codB//paaG//dinB//yhjC//allD//wza//phnG//yhdX//garK//yqhG//zntA//ynfG//ccmA//rtcA//dsbC//ttdB//ydbK//tomB//glnQ//fabB//nhaR//yefM//fucK//sodB//moaA//rutG//
PhoP	chiP//sgbH//gltI//mgrB//sfsB//argD//ssrS//yqhG//pck//gudD//rpiB//qseC//exuT//cpxP//guaB//nmpC//gudX//hyfE//omrA//flgL//ybaT//hyfC//yhdX//cadB//yciW//ychF//rbsK//rpmI//hyfH//bhsA//yjbG//speA//aroL//dsbA//fumB//fhuD//puuE//xylG//napG//hycB//rutE//pgpC//tdcF//sfsB//glnH//pagP//gltD//pflB//mngR//ydeN//tdcC//flgG//psiE//gadB//nadA//fepD//
PrpR	purC//yaiA//moaB//yccJ//metF//
PspF	hcr//nrfA//alaC//acrD//fucO//yfiR//yqjA//
PurR	flgI//ybhS//hydN//flhD//ybdZ//yjhC//phoR//glgB//malS//idnO//fucI//mhpT//ttdB//bioB//fhlA//rpoH//lsrB//gspJ//ftnA//hyfD//hybO//gfcA//purH//feoC//glk//nuoN//iscS//creB//leuO//gadE//gadY//
PutA	fiu//lldD//
PuuR	dcuR//znuC//cusS//creC//cspI//fbaB//hcaB//
QseB	nuoG//malM//ybjN//purB//
RbsR	dhaL//pdeL//leuB//ecpR//lsrF//fucK//ybdN//aceF//glgC//
RcdA	bamE//kdpB//yjeV//astB//ynbC//csgF//galP//pspD//modA//
RclR	ccmD//pepD//glcC//
RcnR	ebgC//serA//rstA//
RcsAB	cyoE//ccmA//leuC//mazG//yqaE//ugpQ//argD//arsR//allB//hyfA//fdnI//gltD//allB//malX//rhaT//fliL//
RcsB	hypE//fabB//glnD//csgD//nrdI//mhpC//metA//polA//yiaJ//yciG//uhpT//rbsR//ulaC//gltB//malE//rclA//sdhA//argE//xylA//flgL//cheW//cydB//uspD//murC//fucA//
RcsB-BglJ	wzyE//yjbE//rutB//pgaD//oxc//gltB//hybF//glyA//soxS//fucI//pfkA//hycA//idnT//ftsK//iscS//mhpF//
RelB	argO//idnK//yecR//
RelB-RelE	ptrA//fliF//idnT//
RhaR	hybC//dkgB//
RhaS	phoP//yoaC//yfdE//gudX//cpxA//aroF//
Rob	chbR//hflD//cpxQ//rpoS//rutA//leuA//alaS//ydeP//phnP//malT//csgA//gntP//alkB//uspE//murD//ydeM//allB//ugpC//rhaR//mdtD//truB//lamB//entD//rplT//prpC//isrC//
RstA	fliT//fixA//fdhF//yoaG//napG//mhpB//slyB//wza//katE//mdtB//
RtcR	yjjQ//deoA//
RutR	ybhG//fliR//hydN//ruvB//ydhY//nrdI//dsrA//zraS//gudP//kdpB//hisQ//caiB//csiD//glgB//fdnI//zinT//yafN//
SdiA	hyaA//moaB//rffC//ygbA//allD//
SgrR	aceE//ybiT//aceK//yjbE//sroC//flgA//yibQ//tyrA//mazG//
SlyA	glmS//
SoxR	folA//yebG//xylH//
SoxS	crp//mgtL//ecnB//tdcD//pstA//ubiC//metI//glnQ//ulaA//yhiD//ydfE//argH//garR//tauD//cecR//tsr//citF//yhjC//dctR//hyaB//araB//yeaG//pqiB//emrK//fldB//caiA//paaY//sufA//metA//murR//hyfG//gutQ//ftsA//fecI//ygeA//sbcD//mdtE//fucO//glgB//hipB//
StpA	bioC//pdeL//flhE//hycH//mntS//lacA//ompW//
SutR	emrY//glmY//sgbH//cas1//phnI//
TdcA	ykgO//paaX//chiP//mglC//emrY//motB//entC//
TdcR	cydD//appB//gatY//umuD//hcaB//hslJ//paaX//
TorR	astD//ccmF//uxuA//fliK//mgtA//mazE//fucI//prpD//nadB//polA//fliE//narX//
TreR	dcuS//hcaD//
TrpR	grxD//chiP//citD//nrfA//fur//glcC//entS//setA//fnr//uvrA//insD//ttdB//
TyrR	mntS//nagA//aslB//yqjI//asnA//leuL//nuoG//argE//higA//fecC//fabB//entH//
UhpA	gspM//
UidR	lysR//galK//cynS//malX//
UlaR	folE//dcuB//malE//lpd//ymjC//osmY//astB//
UvrY	gadF//fliD//emrK//hyfD//nrfC//
UxuR	melA//torA//fliA//purC//ymiA//cas2//hyaA//metC//fliR//
XapR	adiA//mazG//
XylR	paaG//pgpC//iscU//gspM//yjbF//grxD//oppD//
YdeO	glcF//nrdD//yciW//betB//sgbH//gspH//aroG//uvrC//flhD//fucU//feoA//yhdY//yiaK//malI//mgtA//ybhF//ebgA//artQ//araH//umuD//narX//
YedW	gadB//mgtA//nagA//ccmC//araD//yafN//yeaH//flgB//ycgR//oppC//relB//safA//
YefM	caiD//ydiU//
YefM-YoeB	emrB//phnO//
YehT	flgN//
YeiL	ugpE//
YiaJ	ddpF//gor//pyrC//ssuC//fepG//tcyJ//yhjA//pck//agaR//rutD//
YjjQ	stpA//fixB//rffH//iraP//gltF//rseA//gcvP//cyoB//dmsC//mltF//
YpdB	flgF//
YqhC	astD//deoB//
YqjI	rutB//entB//
ZntR	leuL//
ZraR	ubiC//ppdA//infB//
Zur	ydeI//ybaT//glnH//garP//metA//yedX//
