# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	nfsB//xdhC//
FNR_neg	nanE//sdhC//dgcN//rtcB//ttdA//entH//hchA//uvrA//leuB//folE//pnp//glpE//bcsB//ung//yeaG//frdB//sdaA//wecE//nanE//lsrK//fabH//paaE//lacA//xdhA//glpA//dinB//cyoE//malP//fabZ//guaB//fdhF//metE//purA//rsmH//ilvB//adiA//fadA//pgk//atoD//talA//citD//malQ//idnO//tyrA//
FNR_pos	bioD//murD//purF//sdhA//glpD//mngB//fadD//nrdF//hemF//pyrD//fumB//argH//asnA//garK//avtA//bcsB//gcl//hemL//recF//purF//lsrF//paaB//metH//yiaK//nadB//uxuB//pgaB//cueO//dhaL//waaH//moeB//gnd//narH//zwf//fadB//kbaZ//ydcS//glk//sgbH//metH//pgaC//argA//aceB//fruK//galM//idnD//mngB//galM//narG//accA//nemA//wrbA//ogt//dinB//tdcG//trpA//eno//folE//hyi//aceE//rutE//lysC//galM//hycG//grxA//relA//acnB//gpsA//gdhA//aldA//chbG//ldtD//umuD//moeB//ndh//gapA//trpE//nfsA//dgcC//amiA//pgpC//ulaD//ppiA//pncB//caiA//galM//entB//glpB//prpE//tdcD//ydcS//glcB//carB//tdh//ddlB//argF//
FabR_neg	pfkA//galM//ssuD//
FadR_neg	cysN//phr//pepD//mhpE//ybjG//pgk//metC//mhpF//fucO//
FadR_pos	nirB//hemA//paaI//rsmA//hycG//puuA//dkgA//serA//fucK//add//
FeaR_pos	waaH//dusB//
FhlA_pos	fadA//grxA//wecC//rtcB//aceE//lyxK//gltX//ssuD//
Fis_neg	malS//ilvE//pyrC//hcaC//phnM//ubiG//mdh//fadI//katG//glmS//pykF//pagP//cysH//pgk//nrdE//purM//mhpD//garD//glmU//hyaC//mdh//araD//ycjG//metB//cheB//pncB//xdhB//gabT//paaA//idnO//ubiX//psd//argI//idnD//patD//fes//sodB//malQ//citD//ttdB//betB//rhaA//tadA//cysE//lpxC//allC//
Fis_pos	phnH//rutA//katE//ftnA//sufS//gor//murE//phnG//prpD//upp//glpC//fbaB//pagP//srlD//ilvG_1//ygeA//gltD//nanM//fabB//lldD//katG//metL//ybjG//lhgO//metC//betB//pdeH//pnp//argG//garK//dinB//galM//phr//hemH//bcsZ//aceE//srkA//
FlhDC_neg	malY//garK//
FlhDC_pos	chiA//tpiA//argF//wecC//aldB//dapB//ubiC//ulaE//umuC//ynfH//allB//rffG//
FliZ_neg	caiD//hcaC//alsE//galM//ccp//
FucR_pos	frdD//garR//ilvC//appA//pepD//mhpF//
Fur_neg	deoD//aceA//nrdF//gltX//lldD//dsdA//argE//leuB//malP//patA//umpH//accA//codA//rtcA//ulaD//purK//fumC//gadB//atoA//tdcG//glpE//serC//mpaA//hypF//hycB//trpE//nagB//waaH//gltD//katE//mhpE//umuD//phnG//hycC//chiA//atoB//ppc//yqjH//lysC//purH//cysE//umuC//pspE//dapD//pheS//alaC//nfsB//waaY//garR//gnd//umuC//pgi//rutC//
Fur_pos	murF//katG//astB//nrdA//trpB//fumC//eno//tauD//moaE//prs//agp//frdA//alaC//uxaB//wecB//galK//
GadE-RcsB_pos	fes//asnA//metA//yfdE//ubiX//
GadE_pos	speB//gpsA//dinB//recF//deoD//wzc//caiD//edd//hycG//argI//
GadW_neg	frdB//tdcG//dinB//
GadW_pos	lysU//glpX//iscS//recB//
GadX_neg	rnpB//nirD//
GadX_pos	pgm//lacA//hyaB//allC//leuC//hyaB//trpD//glmS//ydcS//mngB//ulaF//
GalR_neg	xdhB//mpaA//polB//nanA//recB//garL//
GalR_pos	argG//icd//dhaL//ribA//
GalS_neg	fadI//lldD//sodB//wzc//prpD//mdh//
GalS_pos	leuB//pyrD//ruvA//gloA//
GatR_neg	oxc//betB//metK//
GcvA_neg	gpmM//melA//gabD//
GcvA_pos	pdeL//sucC//agp//
GlcC_neg	
GlcC_pos	psd//aroF//nirD//
GlpR_neg	ada//aceE//galK//adhE//pgaB//gcd//ycjG//
GlrR_pos	
GntR_neg	ansB//nirB//torC//gutQ//rhaD//udp//deoA//hemL//kbaY//
GutM_pos	accD//amn//hcaE//
H-NS_neg	alkB//cysM//caiD//puuA//uxuB//aldB//lsrK//wecC//speC//fadH//ydcS//rtcA//nadB//phnO//adhE//fadI//fbaB//patZ//phnJ//prpB//pheT//gapA//uvrC//ftsI//fabD//rbsK//asnA//kbaY//bacA//frdA//metF//prpD//ychF//hcp//nrdD//guaB//allD//hycG//ada//yeaG//leuA//cysI//cyoE//rutB//rfe//trpE//guaB//bioA//pgaD//talA//ynfH//
H-NS_pos	ccp//garR//ilvE//cdd//ubiX//asnB//prpD//pgaD//hemA//paaY//atoB//folA//puuC//tam//fumC//
HU_neg	tdcD//bioB//allA//phnN//bioF//ruvB//uxuB//
HU_pos	
HcaR_neg	
HcaR_pos	glyA//ansB//
HdfR_neg	
HdfR_pos	
HigA_neg	allC//
HigB-HigA_neg	cysN//
HipAB_neg	sucA//cysN//
HipB_neg	aldB//astC//cysN//
HprR_neg	yqjH//rsmA//
HprR_pos	xapA//fbaB//
HyfR_pos	mhpF//
HypT_neg	mltF//ulaF//
HypT_pos	xdhC//mpaA//uvrB//mhpD//ubiX//
IHF_neg	aspA//rutB//fabH//trpA//galT//aceF//pagP//purM//purD//amn//glcE//dhaL//gabD//recF//gatY//hcaD//dapB//pdxA//prpE//poxB//dapD//kbl//uvrB//garK//lysA//speC//cysH//dmsA//entB//astB//argF//tnaA//ilvA//purE//queA//dadA//udp//tyrA//pgm//moaD//acs//hycD//leuD//
IHF_pos	gpmM//queA//deoC//ansB//yeaG//ttdB//gadB//pncB//pgi//nagA//guaB//uxuB//astE//bioC//nrdA//chiA//purC//pgi//pgaD//phnP//melA//pheS//tdcB//ampC//hemF//ldtD//hflX//dmsC//pgaD//guaA//lysU//rffH//frc//grxA//bglB//gabD//lysC//kbaY//hycC//manA//lpxC//fucO//speC//purE//lacZ//kbl//cheB//galT//cdd//queA//ulaF//aroG//ampD//umuC//nadC//lysU//galM//nanA//atoB//iscS//phnN//fadH//umuD//ttdA//cadA//acnB//thrS//patZ//fabA//wecC//gltB//
IclR_neg	ada//cpdB//ilvM//
IdnR_neg	grxA//aceB//
IdnR_pos	ravA//phnI//carB//fabA//
IlvY_neg	
IlvY_pos	garL//
IscR_neg	entA//argE//pdxA//nrfA//aldB//cysK//
IscR_pos	nirB//kbaZ//
KdgR_neg	bcsZ//nirD//
KdpE_pos	hycD//
LacI_neg	pepD//rtcA//citF//
LeuO_neg	
LeuO_pos	uvrA//tehB//ackA//araB//prpB//prpC//
LexA_neg	kbaY//deoA//hmp//mpl//rutD//cadA//iscS//aroA//hemH//truB//lyxK//rfe//citD//dapD//hmp//wzc//lsrG//hmp//ynfH//ttdA//ilvG_1//malP//asnA//
LldR_neg	phoA//pepD//
LldR_pos	paaH//glgC//
LrhA_neg	
LrhA_pos	
Lrp_neg	glpD//paaJ//hcaC//ugpQ//pheS//argB//rsmA//sdhB//entB//gltX//nrdB//hycG//ubiX//sdhD//dapD//aspC//dgcZ//metE//atoB//nadB//citF//truB//lysU//
Lrp_pos	garR//mhpC//glgA//xdhB//phnL//ynfH//mhpB//relA//moaD//guaB//tdcG//yqjH//glk//mtlD//phnI//trpC//ccp//tadA//adhE//poxB//
LsrR_neg	lyxK//rbsK//prmC//fumB//tdh//
LysR_neg	
LysR_pos	tam//
MalI_neg	gcd//eda//
MalT_pos	hpt//dmsB//mraY//pspE//xdhA//lpd//
MarA_neg	carB//
MarA_pos	sdhD//purE//tdh//argC//argB//leuB//argH//sbcD//tktB//fadE//nrdB//hcaB//uxuA//alaC//dgcN//xdhA//allE//nrfD//lysA//glpK//ygeA//cyoE//nanK//
MarR_neg	
MatA_neg	fdhF//
MatA_pos	
MazE-MazF_neg	fdhF//
MazE_neg	paaF//
McbR_neg	
McbR_pos	
MelR_neg	cheB//pgk//
MelR_pos	pflB//moaC//
MetJ_neg	hcaE//gpmM//glsA//ldtD//gabT//dadA//gatD//puuA//tadA//tdcB//
MetR_neg	yqhD//
MetR_pos	prpD//astA//argE//alaC//
MhpR_pos	pheT//mhpD//allC//allE//dhaM//nanE//
Mlc_neg	gadB//phnH//argD//malS//
MlrA_pos	ubiA//
MngR_neg	add//rtcA//
MntR_neg	pykF//
MntR_pos	tnaA//
ModE_neg	cysG//ung//gcvH//sucA//patA//ppc//gltB//rsmH//
ModE_pos	prpB//rutB//queA//ybjG//gnd//ilvE//mraY//dhaK//luxS//
MprA_neg	fau//leuD//ugpQ//
MqsA_neg	nrdE//wrbA//
MraZ_neg	argF//hchA//prpE//metE//dgkA//araD//paaE//astB//hyaB//tktB//
MurR_neg	xdhC//deoD//talA//
MurR_pos	
Nac_neg	fucU//paaH//ilvH//
Nac_pos	sdhA//sdhA//phnH//fadE//fabI//glsA//bcsZ//allA//
NadR_neg	srlD//tpiA//caiB//cynT//
NagC_neg	dgcC//fadJ//murQ//gadB//glpC//fadB//ybjG//tyrA//glxR//gltB//patD//dadA//phnH//guaA//aldB//ppc//rtcA//purE//
NagC_pos	tyrA//cyoE//
NanR_neg	melA//aroG//ndh//xdhC//bglB//patZ//
NanR_pos	
NarL_neg	rbsK//phnG//purB//pgaD//ahpC//fumC//ubiA//fabD//rhaB//aceA//aceB//ppiA//tdcB//bioA//pepD//gltX//gcd//astE//rsmA//cpdB//lacZ//glnA//glpX//bioA//tauD//truB//umpH//tdcG//
NarL_pos	ahpC//umuC//trpE//patZ//fadE//sodB//sdhA//glpK//argG//entE//umpH//cysD//paaZ//fabG//rnpB//
NarP_neg	edd//ansB//idnD//alkA//nirD//
NarP_pos	lacA//sucC//fbaB//murF//dgkA//recD//tyrB//zwf//iscS//nagB//ssuE//prmC//moaD//rsmA//
NemR_neg	cysK//rbsK//
NhaR_pos	gpmA//gltA//cysG//tdcB//moeB//
NikR_neg	dacC//
NimR_neg	sodA//
NorR_neg	
NorR_pos	cysG//
NrdR_neg	ilvG_1//rnpB//alaS//narG//
NsrR_neg	lpxD//tyrA//nanM//purM//rpiB//glpA//amiA//dadX//hypF//mpl//recD//yeaG//putA//dapD//nrfC//aldB//ilvC//aceE//wecC//eno//nemA//poxB//dgkA//fabG//betB//dhaL//tadA//caiA//cheR//aldB//asnA//metC//trpE//metK//metC//alaA//ssuD//mpl//dkgB//glgP//
NtrC_neg	aroH//codA//
NtrC_pos	uxaA//agp//tpiA//moeA//eda//alkA//fucU//rffH//kbl//paaI//glgX//acnB//cmoM//napA//xdhA//aceA//aroA//gatZ//narH//guaA//hcaD//
OmpR_neg	tadA//kbaZ//idnK//prmC//fadB//
OmpR_pos	polB//phnP//argA//sbcC//
OxyR_neg	ynfH//uvrB//deoC//gcd//mhpD//
OxyR_pos	pdxA//ubiA//bioF//pflB//aspA//patD//mltF//purL//eno//ilvM//allE//patA//
PaaX_neg	argD//leuA//cysI//tdh//cysK//rnpB//glgP//aceA//galT//
PdeL_pos	wecE//
PdhR_neg	aroA//phnP//purA//dapB//gpmA//ilvH//metH//nfsA//patD//psd//trmA//accD//paaY//kbaY//rtcB//napG//phnH//malY//idnD//epd//nrdA//speB//purF//
PdhR_pos	hpt//rutB//
PepA_neg	cysJ//accA//
PgrR_neg	recB//pgm//
PhoB_neg	alaC//gcvH//pykF//nrdD//napH//
PhoB_pos	ribA//frdC//aspC//allA//guaB//leuB//ampC//feaB//patD//dadA//relA//wzb//nanK//cheR//kbaY//cysC//relA//
PhoP_neg	dmsB//dgkA//psd//
PhoP_pos	mhpC//hycB//pepD//tdcE//puuC//rbsK//leuD//waaZ//sbcC//aroF//idnO//moaE//glpA//wrbA//carA//pgk//rsmA//deoB//hcaF//bioB//rhaB//pnp//moaA//sodA//rutE//sucB//hypB//aroG//tdh//avtA//caiD//
PrpR_neg	
PrpR_pos	bcsZ//narI//nirD//sucC//
PspF_neg	
PspF_pos	dacC//
PurR_neg	gpmM//dhaL//ulaE//gltD//paaA//dgkA//edd//ftnA//cynT//prmC//napG//moeA//nrdA//luxS//nemA//prs//uxaC//aspA//eda//recB//ppsA//metK//paaH//entH//nrfD//lpxC//
PutA_neg	kbl//dhaK//
PuuR_neg	pdeH//ilvG_1//edd//cmoM//metL//tauD//
QseB_neg	
QseB_pos	
RbsR_neg	pdxA//queA//napA//nagA//eno//
RbsR_pos	hchA//
RcdA_neg	
RcdA_pos	ccp//
RclR_pos	
RcnR_neg	murD//
RcsAB_neg	fadA//
RcsAB_pos	upp//frc//
RcsB-BglJ_pos	hcaE//gltB//
RcsB_neg	polA//
RcsB_pos	fabB//dhaK//appA//
RelB-RelE_neg	ilvA//
RelB_neg	rutA//
RhaR_pos	
RhaS_pos	ynfG//glmU//mnmG//srlD//
Rob_neg	
Rob_pos	ftnA//psd//narH//fabH//puuC//pflB//hyaB//fadA//nadB//talA//adhE//putA//fucO//lysU//phoA//ilvB//leuA//pykF//ruvB//
RstA_neg	pheS//allC//
RstA_pos	argA//
RtcR_pos	rhaD//napB//
RutR_neg	kbl//napB//dgcZ//betA//ssuE//pdeL//puuA//glgX//torC//wzc//
RutR_pos	nfsA//
SdiA_neg	
SdiA_pos	
SgrR_neg	aspC//
SgrR_pos	purB//caiD//
SlyA_neg	
SlyA_pos	guaB//sdaA//bioF//lpxD//xdhB//lpxC//fadA//fau//lysA//
SoxR_neg	
SoxR_pos	aceB//
SoxS_neg	
SoxS_pos	pgk//ahpC//ilvG_1//pgk//glxK//lacZ//prmC//accA//speC//bglB//paaE//moeB//idnK//entB//pepD//gnd//trpC//malZ//gutQ//citG//rffC//murQ//astA//codA//paaZ//icd//
SrlR_neg	sufS//astD//ilvI//
StpA_neg	cysC//araB//speC//
SutR_neg	pgaD//prpC//
SutR_pos	
TdcA_pos	entH//iscS//cysN//glpX//patZ//
TdcR_pos	uxaB//thrS//acnB//tyrA//pgk//
TorR_neg	cysE//
TorR_pos	prs//gabT//leuC//fucK//
TreR_neg	caiA//katE//
TrpR_neg	dmsA//pheT//allD//glpX//ahpC//rffH//rffM//glk//purK//
TtdR_pos	dkgA//ubiG//
TyrR_neg	ychF//serA//umpH//nanK//paaJ//gltA//murG//
TyrR_pos	leuA//ldtB//uxuA//
UhpA_pos	ydcS//
UidR_neg	patZ//metE//
UlaR_neg	frc//prpD//acs//ampC//trpB//
UvrY_pos	moeB//frdB//
UxuR_neg	pdeH//frdC//wecE//moaA//hyaB//
XapR_pos	moaC//malP//
XylR_neg	
XylR_pos	fadB//phnP//trpE//
YdeO_neg	
YdeO_pos	mhpF//fucI//garR//
YefM-YoeB_neg	ulaE//
YefM_neg	caiA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	frdC//patZ//uvrB//nagA//atoA//eno//
YjjQ_neg	aroL//katG//
YpdB_pos	
YqhC_pos	fadB//relA//
YqjI_neg	serC//
ZntR_pos	ampC//
ZraR_pos	
Zur_neg	aceF//
