# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	dinB//acnB//
Fis_neg	entA//metK//leuC//puuA//appA//entB//ilvN//araD//ccp//ssuE//bioC//gltB//narG//dacC//pnp//caiB//aspA//trmA//rsmH//caiD//pheS//gudD//alkB//glpB//preA//rhaB//nirD//gcvP//phnG//tdh//folA//yedX//gabT//paaH//rutE//murQ//uxuB//cysI//ynfH//galE//ilvM//metE//dinB//luxS//mpl//glpK//
Fis_pos	tdcD//aroH//glmS//fadJ//arsC//pyrC//hcp//idnK//tpiA//uxuA//fabI//alsE//ruvA//dhaM//glcD//moeA//pepD//entD//hemA//speC//rutB//astD//gltD//caiA//carB//gltD//nemA//fadD//ampC//allE//rutA//araA//paaI//ilvD//yfdE//aceE//katG//
FlhDC_neg	paaH//argA//
FlhDC_pos	tdcD//tyrB//nadC//bioF//accD//galM//araD//murF//fabI//ribA//malY//frdB//
FliZ_neg	fumC//puuD//speC//glgC//astC//
FucR_pos	gltX//cynS//asnA//slt//rhaD//dkgB//
Fur_neg	garL//pdeH//glyA//fau//fabZ//aceA//murI//fdhF//aroA//gcvH//tadA//dsdA//cysH//folE//uxuA//ruvA//araD//hyi//rimK//idnO//hyi//feaB//gudD//chiA//purK//speA//ubiA//idnK//atoA//phnI//pyrD//kbaZ//add//argF//rbsD//sucA//cpdB//leuD//cpdB//gnd//narG//paaY//dhaM//lsrK//ilvH//edd//galM//glnA//phnM//tauD//preT//murC//napA//
Fur_pos	sodB//mtlD//hycB//sdhD//leuC//malS//leuB//dapB//lyxK//glcE//dacC//accD//fadA//phnH//ttdA//paaB//
GadE-RcsB_pos	paaF//sucB//cyaA//pykF//citE//
GadE_pos	bioF//frdD//avtA//lyxK//tadA//pgi//luxS//folA//paaA//nemA//
GadW_neg	cueO//kbl//uxuA//
GadW_pos	speA//hcaE//purM//hcaC//
GadX_neg	sdhC//gcvH//
GadX_pos	nfsB//carA//napH//asnA//sgbH//dmsB//metF//entB//hycF//wecC//wecB//
GalR_neg	speB//lpd//argA//alkB//aldB//dmsA//
GalR_pos	nanK//hpt//accC//rtcA//
GalS_neg	trpB//deoD//sucB//moeB//lysU//cheR//
GalS_pos	garR//glmS//nanK//argA//
GatR_neg	glgC//prpB//ilvE//
GcvA_neg	yqhD//guaB//pflB//
GcvA_pos	aroA//sbcC//dadA//
GlcC_neg	
GlcC_pos	glpK//astD//codA//
GlpR_neg	ilvE//uvrC//pdeL//tktB//murC//metB//xapA//
GlrR_pos	
GntR_neg	ascB//talA//torA//fabA//rffC//puuD//wrbA//dusB//ccp//
GutM_pos	murC//lsrK//metK//
H-NS_neg	alkB//pncB//sgbE//deoB//leuD//frdC//ampD//iscS//cysI//add//frdA//gapA//patA//hyaA//gdhA//lldD//metB//purA//alkB//truB//cynS//alsE//amn//purL//narH//hyi//ttdA//nirD//paaE//adeD//yiaK//purN//dkgB//yiaK//cysC//dapB//ycjG//cysE//prmC//pgm//paaY//srlD//araB//hcaC//murI//allC//manA//hycE//metE//lysU//napB//
H-NS_pos	paaJ//arsC//argI//leuB//pnp//udp//ilvB//mhpF//cysI//nemA//accD//adeD//agp//bioD//dapB//
HU_neg	talA//pfkA//dmsB//gabT//ilvB//lpxC//araD//
HU_pos	
HcaR_neg	
HcaR_pos	purM//cpdB//
HdfR_neg	
HdfR_pos	
HigA_neg	tdcG//
HigB-HigA_neg	add//
HipAB_neg	fabD//idnO//
HipB_neg	bioB//purM//hchA//
HprR_neg	speA//udp//
HprR_pos	glpX//wecE//
HyfR_pos	sucC//
HypT_neg	puuE//manA//
HypT_pos	cyoE//sucA//pdeH//ulaD//ppsA//
IHF_neg	moeB//pnp//accD//murI//chbF//citX//citX//ppiA//metC//citC//ybjG//glpK//fdhF//ynfG//arsC//alaC//fucI//leuB//cpdB//nrdB//glpE//pgk//allE//ravA//ung//metC//argB//ogt//paaI//adiA//glpC//purE//speA//edd//phnJ//ldtB//manA//deoB//astD//ldtD//astD//astA//paaE//
IHF_pos	sdaA//puuC//gabD//napB//uxaC//adeD//lysU//sdhA//wrbA//cysH//napB//deoB//phnH//ampC//trpA//nirD//pgaC//lsrG//frdC//astC//hemF//acnB//nrdE//dapD//napA//rutC//glpQ//gabT//glpE//tdcD//ppiA//waaZ//glyA//uxaA//gadB//dhaM//ybjG//paaB//ubiX//gutQ//xylA//rsmA//hmp//pgi//rutD//hyaC//dsdA//pncB//nadC//hflX//glpB//ilvE//bacA//agp//fumA//metF//bioC//tdcD//paaK//araA//entB//ldtC//galM//sufS//gnd//talA//gltD//gcvH//dgkA//rhaD//nrdA//
IclR_neg	idnK//ldtC//gapA//
IdnR_neg	ruvA//idnK//
IdnR_pos	pdeH//metL//fumA//ccp//
IlvY_neg	
IlvY_pos	dusB//
IscR_neg	dhaM//hemL//idnD//prpE//murE//ndh//
IscR_pos	icd//fabG//
KdgR_neg	ppsA//ribA//
KdpE_pos	uxaA//
LacI_neg	ccp//fabI//epd//
LeuO_neg	
LeuO_pos	preT//nanK//tnaA//prpB//nadC//luxS//
LexA_neg	gltD//paaF//malZ//nagB//asnA//eno//umuC//gatY//uxaB//nrdA//ilvC//eno//malQ//rutE//kbaY//rutC//rtcB//pykF//glk//gabD//xylA//phnH//astB//
LldR_neg	paaK//dinB//
LldR_pos	talA//cmoM//
LrhA_neg	
LrhA_pos	
Lrp_neg	pgaC//cysI//feaB//galK//idnO//dgcZ//xdhA//nrfC//astA//add//pfkA//glmS//gadA//argF//tpiA//katG//paaY//alaA//nanM//dsdA//lpd//ftsI//ubiX//
Lrp_pos	phr//alaC//pspE//fadA//leuC//nanM//xdhC//pyrD//ilvG_1//yeaE//trpB//phnP//sodB//frdD//ampD//lsrK//fbaA//paaA//uvrB//ackA//
LsrR_neg	ldtC//polA//gcvT//gpmA//oxc//
LysR_neg	
LysR_pos	rutA//
MalI_neg	purN//ygeA//
MalT_pos	ftsI//hypB//srlD//paaH//hyaB//alaA//
MarA_neg	pck//
MarA_pos	entC//garD//bioC//hcaF//fucK//trmA//uidA//zwf//rhaB//fumC//fabG//ubiC//pykF//cysE//cysC//mnmG//hcaF//hcaD//caiA//pheS//icd//glgX//tynA//
MarR_neg	
MatA_neg	ahpC//
MatA_pos	
MazE-MazF_neg	trpB//
MazE_neg	idnK//
McbR_neg	
McbR_pos	
MelR_neg	hchA//bioC//
MelR_pos	srkA//purF//
MetJ_neg	paaC//gltB//napG//dadX//leuD//murG//purD//entE//gatY//lpxC//
MetR_neg	mraY//
MetR_pos	glyA//paaF//trmA//rpiB//
MhpR_pos	aspC//lpxA//hycG//tnaA//ybjG//acnA//
Mlc_neg	dapB//sdhB//mdh//glsA//
MlrA_pos	feaB//
MngR_neg	cysN//allC//
MntR_neg	zwf//
MntR_pos	sodA//
ModE_neg	carA//mnmG//rsmA//metE//nirB//alsE//mhpE//uxaB//
ModE_pos	gnd//speB//ilvE//chbG//polB//frdB//rutC//napG//paaJ//
MprA_neg	garL//sucA//dapD//
MqsA_neg	serA//hypF//
MraZ_neg	narH//paaY//waaZ//phoA//nanM//nrdF//dgcZ//aceB//kbl//glxK//
MurR_neg	cysM//tauD//xylB//
MurR_pos	
Nac_neg	upp//hemL//ynfH//
Nac_pos	cynS//lldD//argE//cdd//uxaC//gcd//yeaG//bioC//
NadR_neg	lhgO//gpmA//wecE//nrfC//
NagC_neg	phnO//kbaY//epd//rffG//feaB//accD//nadB//betB//dkgA//gutQ//moaC//apaH//pyrC//nrdB//trmA//wecE//mngB//codA//
NagC_pos	paaZ//hypF//
NanR_neg	nadC//galE//deoD//umpH//yqhD//aspA//
NanR_pos	
NarL_neg	moaD//prpB//dadA//hyi//deoC//yedX//hemF//lsrF//yeaG//mdh//pncB//aroF//dapD//hypF//rfe//ilvE//uxuA//ftnA//lhgO//dusB//citG//sdhB//sucC//gloA//ilvE//recB//ilvD//pnp//
NarL_pos	bacA//xylA//glcB//napB//pdeF//nrdD//glxK//astE//tpiA//cysK//fbaA//garD//moeB//hyaA//patD//
NarP_neg	fadA//nrdB//fdhF//fucA//hycE//
NarP_pos	hycG//nanE//fucI//feaB//cysN//pspE//xylA//ilvE//trpB//ybjG//rbsD//icd//rnpB//rutA//
NemR_neg	ravA//gor//
NhaR_pos	cheB//fucA//waaY//deoC//paaC//
NikR_neg	tdh//
NimR_neg	pdeF//
NorR_neg	
NorR_pos	puuA//
NrdR_neg	fabH//lldD//ynfE//tam//
NsrR_neg	wecE//chiA//moaD//bioC//sdhB//ddlB//zwf//puuE//arsC//nemA//nrdA//ascB//frdA//pgm//accC//garR//fadE//fucK//entE//rsmA//glxK//hchA//fumC//entB//lacA//fabH//purA//yiaK//rhaA//lysU//lpxD//torA//ruvA//rutB//mnmG//narG//pgpC//lsrK//deoD//ilvG_1//
NtrC_neg	umuC//allC//
NtrC_pos	nadC//acs//psd//nrdF//ttdB//nrdB//glgX//gnd//cysK//trpD//gudD//prmC//rffH//garK//sdhA//yeaE//ada//puuD//cysD//yeaG//rhaD//
OmpR_neg	astD//argB//lhgO//argG//preT//
OmpR_pos	metH//kbaZ//ynfE//pagP//
OxyR_neg	allD//ilvD//rutA//gadA//argH//
OxyR_pos	lsrK//hemL//argI//malS//argI//cpdB//yedX//glk//nrfC//purH//frdB//leuC//
PaaX_neg	pepD//fabZ//nrfA//mdh//tadA//puuB//lpxC//waaY//hpt//
PdeL_pos	frdA//
PdhR_neg	rffC//gltD//argA//paaG//patA//alsE//gltA//paaH//gcvH//rffC//deoC//deoC//torA//gpmA//hflX//alaC//frdB//phnM//tktB//glxR//fruK//nanA//accA//
PdhR_pos	aroL//nadC//
PepA_neg	mpaA//paaA//
PgrR_neg	wecC//serA//
PhoB_neg	cysJ//pspE//argI//mnmG//dmsA//
PhoB_pos	moeA//aroG//cysN//yqhD//pheS//nrdB//galM//glpC//astB//tyrB//deoA//tynA//purF//tdcB//ydcS//serC//murD//
PhoP_neg	cueO//metA//adiA//
PhoP_pos	fruK//glpQ//galK//galK//fruK//allB//preT//amiA//alaA//fucU//glnA//fau//patA//fumC//napG//kbl//hcaE//aceF//trmD//rffM//recF//kbl//sdhD//metC//ppiA//tdcE//melA//fadJ//trmA//rutB//tktB//
PrpR_neg	
PrpR_pos	leuC//glgA//sgbH//gpsA//
PspF_neg	
PspF_pos	caiD//
PurR_neg	paaA//lacA//frdB//frdC//fabI//prpD//gloA//sgbH//metL//eno//ilvG_1//argI//recD//hemH//dacC//serA//entB//galM//frdD//fadD//ppsA//rutC//gpmM//preT//gnd//sbcC//
PutA_neg	luxS//caiC//
PuuR_neg	mhpF//napA//paaA//lysU//murF//puuA//
QseB_neg	
QseB_pos	
RbsR_neg	dusB//phoA//fau//nagB//dkgA//
RbsR_pos	gabT//
RcdA_neg	
RcdA_pos	amiA//
RclR_pos	
RcnR_neg	tyrA//
RcsAB_neg	aldB//
RcsAB_pos	tynA//pgi//
RcsB-BglJ_pos	gpmM//fabI//
RcsB_neg	sdhA//
RcsB_pos	fadA//umuC//pgaD//
RelB-RelE_neg	hchA//
RelB_neg	tdcD//
RhaR_pos	
RhaS_pos	aroL//murD//chiA//guaA//
Rob_neg	
Rob_pos	udp//ubiG//ilvI//frdD//luxS//sbcD//cysH//hemH//dmsB//chbG//mhpB//glgB//paaI//murQ//purC//poxB//mazG//dgcN//lpxD//
RstA_neg	entC//tauD//
RstA_pos	sdhA//
RtcR_pos	rffH//rbsK//
RutR_neg	murE//ulaG//pgm//sgbU//psd//slt//codA//nfsB//pagP//murE//
RutR_pos	nrdB//
SdiA_neg	
SdiA_pos	
SgrR_neg	galK//
SgrR_pos	ychF//cysI//
SlyA_neg	
SlyA_pos	tyrB//malZ//rsmH//bioC//udp//murC//paaI//araB//dgcN//
SoxR_neg	
SoxR_pos	alkB//
SoxS_neg	
SoxS_pos	paaG//truB//lhgO//rsmA//torA//ldtB//pagP//paaB//glpB//cheB//fucK//allE//ubiX//lpd//speC//trpB//fucU//ttdA//waaY//prpE//dkgA//metC//sucA//sdhC//allD//umuD//
SrlR_neg	ldtC//lacZ//ampC//
StpA_neg	fadM//tauD//ada//
SutR_neg	ilvB//caiC//
SutR_pos	
TdcA_pos	trpD//hycG//glgX//fumA//ynfH//
TdcR_pos	prpE//paaF//fabH//purA//ilvD//
TorR_neg	sgbE//
TorR_pos	ttdB//gcvP//pgaB//luxS//
TreR_neg	rnpB//ttdA//
TrpR_neg	ubiX//gutQ//gor//sufS//tyrB//fabI//metE//rffM//lsrF//
TtdR_pos	paaC//glmS//
TyrR_neg	uxuB//pdeF//rutD//araD//napB//glmS//fbaB//
TyrR_pos	srlD//thrS//gpmA//
UhpA_pos	dhaK//
UidR_neg	wzc//astA//
UlaR_neg	ubiX//lsrF//umuC//pdeL//dmsB//
UvrY_pos	ilvD//leuB//
UxuR_neg	manA//cynS//glnA//nanM//bcsZ//
XapR_pos	sbcC//metH//
XylR_neg	
XylR_pos	alaC//leuB//metH//
YdeO_neg	
YdeO_pos	cynS//cysD//ansB//
YefM-YoeB_neg	pflB//
YefM_neg	rbsK//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	tam//sbcC//pdxA//nfsB//phnM//entH//
YjjQ_neg	rhaB//rffG//
YpdB_pos	
YqhC_pos	napH//puuD//
YqjI_neg	phnI//
ZntR_pos	ftsI//
ZraR_pos	
Zur_neg	slt//
