# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	aceB//wecC//
NagC_neg	murE//napH//cpdB//mltF//melA//pgm//betB//fucI//ynfE//nrdD//cynT//argD//ubiX//pgm//fes//cynS//atoB//xdhA//
NagC_pos	purF//psd//
NanR_neg	accC//xdhC//sucB//ybjG//phnP//wzb//
NanR_pos	
NarL_neg	chbF//glgB//carB//metB//trpA//phr//paaG//sufS//gntK//ydcS//icd//nirD//entH//paaE//gadB//phnG//ycjG//ulaD//narI//talA//narG//aceF//phr//napG//malQ//ilvD//thrS//fbaB//
NarL_pos	cheR//ynfF//glpA//aceB//hycF//amn//hycG//tdcB//trpA//tdh//tdcG//gntK//gpsA//lsrF//adhE//
NarP_neg	garK//cysG//fumB//ilvG_1//serC//
NarP_pos	rbsD//yfdE//pdeH//fucI//patZ//ada//poxB//feaB//rbsD//fes//sbcC//accC//argF//rpiB//
NemR_neg	entF//nadB//
NhaR_pos	lacZ//garK//astA//argH//garD//
NikR_neg	nadC//
NimR_neg	oxc//
NorR_neg	
NorR_pos	ychF//
NrdR_neg	purC//garR//gudD//gor//
NsrR_neg	pagP//aspC//folA//fau//nanK//dusB//phnN//ribA//yqjH//citE//dinB//phnH//pdxA//polB//prpE//hypB//gadB//gltD//trpD//metB//ynfH//allB//citE//nemA//nrdF//fabH//rffC//ilvB//tnaA//pdeH//lpd//rhaB//asnA//astE//ascB//speB//chbG//ampD//grxA//pgi//
NtrC_neg	cysM//hflX//
NtrC_pos	lpxA//caiA//nfsA//paaI//fumA//hycC//wzb//hycB//rnpB//paaG//glpQ//paaA//adhE//prpB//mhpE//ilvC//rtcA//glpB//nanA//pdxA//atoB//
OmpR_neg	fucA//hypB//tktB//narG//lpd//
OmpR_pos	glk//mhpD//amiA//gatZ//
OxyR_neg	napH//truB//rffM//gpsA//mnmG//
OxyR_pos	prs//yeaE//lldD//uxaC//truB//nagA//tktB//pflB//hemH//ulaD//fadD//frc//
PaaX_neg	queA//aldB//hycE//patD//rffT//pykF//recF//gcvH//garL//
PdeL_pos	relA//
PdhR_neg	glgX//glgP//cysH//codA//idnK//puuE//rtcB//hchA//allD//narI//garK//hemF//dgcN//nrfC//fucU//srlD//frdC//glyA//citF//uxaC//purA//tadA//yfdE//
PdhR_pos	deoD//frdA//
PepA_neg	purK//cysH//
PgrR_neg	hycD//murG//
PhoB_neg	puuD//bioB//entE//mhpD//pdeR//
PhoB_pos	gadB//malY//trpE//rhaA//kbl//cyoE//fbaA//glpB//fucO//glgX//aroA//amn//dadA//purF//napA//murD//aceF//
PhoP_neg	pepD//lpd//patZ//
PhoP_pos	napG//wrbA//xdhA//hchA//nanE//hcaD//alkA//ilvI//prs//glpC//aspC//prpC//rutB//arsC//dapD//recD//serC//pspE//argE//apaH//malY//dgcZ//gatD//fabD//metF//nemA//sbcC//paaI//lpxA//metA//paaB//
PrpR_neg	
PrpR_pos	cysN//pyrC//uxaA//ilvN//
PspF_neg	
PspF_pos	tam//
PurR_neg	glpC//cysD//dhaK//sgbH//hypB//gcvH//sbcD//murF//yiaK//cysI//fucU//sufS//hypF//prpC//mhpF//alkA//galK//fabI//rutD//pgpC//cysK//astC//deoD//torA//pfkA//sdhA//
PutA_neg	rhaB//aceF//
PuuR_neg	glgB//dkgA//fadE//mdh//manA//gatD//
QseB_neg	
QseB_pos	
RbsR_neg	pheS//uvrC//ugpQ//rbsK//dinB//
RbsR_pos	ruvB//
RcdA_neg	
RcdA_pos	paaK//
RclR_pos	
RcnR_neg	uxaB//
RcsAB_neg	ulaG//
RcsAB_pos	sbcD//mhpF//
RcsB-BglJ_pos	ttdB//epd//
RcsB_neg	glpA//
RcsB_pos	mhpA//alaS//purB//
RelB-RelE_neg	gabD//
RelB_neg	astB//
RhaR_pos	
RhaS_pos	yqhD//sdhD//aspC//glgA//
Rob_neg	
Rob_pos	leuC//gntK//ssuD//pagP//wzc//patD//uxaA//phnI//cyaA//gpsA//hypF//deoB//leuB//fadB//xdhA//tdcG//glk//polA//hycD//
RstA_neg	uvrC//narI//
RstA_pos	uxaA//
RtcR_pos	hycD//glpQ//
RutR_neg	rffC//tpiA//ackA//frdD//prpD//glyA//hemL//moeA//paaH//gatY//
RutR_pos	ilvM//
SdiA_neg	
SdiA_pos	
SgrR_neg	fadA//
SgrR_pos	fadJ//dgcZ//
SlyA_neg	
SlyA_pos	ychF//murG//pheS//cysC//mpaA//hyaC//paaK//rpiB//adeD//
SoxR_neg	
SoxR_pos	rutE//
SoxS_neg	
SoxS_pos	ssuE//uxuA//ilvG_1//pflB//purE//dadX//glpE//rnpB//paaC//leuB//hpt//trmA//metL//nadC//atoD//entH//treC//waaH//preA//ynfH//gcl//lpxC//bglB//glpE//argF//paaF//
SrlR_neg	tpiA//asnA//dapB//
StpA_neg	tam//lsrK//hycB//
SutR_neg	guaB//moaE//
SutR_pos	
TdcA_pos	polB//aroL//dmsB//metE//ogt//
TdcR_pos	umpH//narI//leuA//ulaE//prpE//
TorR_neg	ddlB//
TorR_pos	wzb//argA//ychF//fadA//
TreR_neg	ppiA//dgcN//
TrpR_neg	fadE//ruvA//tpiA//sucB//citF//mtlD//rpiB//waaY//glpC//
TtdR_pos	dgcC//lyxK//
TyrR_neg	prs//phnG//ruvB//rffH//cysC//rhaA//hypB//
TyrR_pos	bglB//murG//galM//
UhpA_pos	trmD//
UidR_neg	metB//ddlB//
UlaR_neg	bcsZ//rsmH//glgP//puuD//cysE//
UvrY_pos	alaS//paaE//
UxuR_neg	cpdB//dhaL//bcsZ//citX//fadB//
XapR_pos	puuD//sodA//
XylR_neg	
XylR_pos	ada//entF//allB//
YdeO_neg	
YdeO_pos	cynT//sufS//hyaC//
YefM-YoeB_neg	ftnA//
YefM_neg	carA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	murG//recB//ugpQ//melA//cueO//nadA//
YjjQ_neg	tadA//manA//
YpdB_pos	
YqhC_pos	cadA//hyaB//
YqjI_neg	hcaE//
ZntR_pos	malQ//
ZraR_pos	
Zur_neg	galK//
