# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	frdC//gabT//
CRP_pos	rbsD//tehB//ynfH//deoB//caiD//rtcB//chbF//idnO//fadJ//epd//gdhA//rnpB//purL//uxaB//carA//tauD//paaE//talA//glsA//mltF//serC//ahpF//lysA//fabH//chbG//nfsB//tnaA//xdhB//mhpB//recB//nagB//dgcZ//tnaA//araB//glnA//rhaA//cysJ//kbaY//cysD//garL//lsrF//avtA//aroF//hcaF//nrdB//citG//cysE//ruvB//pfkA//moaA//phnP//deoD//phnM//dapB//waaH//nanA//phnI//dadX//paaI//polA//nadB//gcvP//oxc//allB//metH//fumB//hmp//fruK//ynfH//argD//arsC//alaS//narH//hyaC//frdB//apaH//yiaK//garR//gntK//ada//wzb//katE//nanE//nadA//cysM//fabI//aldB//ycjG//rffH//paaF//yedX//sdhC//cysC//lysC//ccp//preT//mazG//purM//cyaA//nemA//prpE//speB//moeB//mpl//polB//entE//amiA//adeD//ilvG_1//gltD//uvrB//napA//pgm//gltB//aroA//hcaE//mhpE//lsrF//gcl//puuA//mhpD//fabI//gatY//trmD//allD//glpD//ahpF//entA//napA//zwf//arsC//malY//trpC//ldtC//puuB//gadA//garR//citE//recB//udp//cheB//tdcG//alkB//purF//pykF//ampC//gabD//tktB//alaC//ydcS//cysH//wrbA//phr//kbaZ//fucK//nfsB//cysJ//hchA//caiB//pykF//nfsA//xdhC//nanM//zwf//argD//hcaD//glcB//puuD//glgA//metF//xapA//cadA//cysE//hycF//rffG//ilvM//caiD//paaY//deoA//pgi//slt//carB//murF//bioA//dgcC//folA//hyaA//melA//sbcC//pgi//ilvC//serC//gcvT//nrdA//dinB//astA//glxR//pgaB//uidA//astC//tynA//citF//folE//guaB//hyaA//moaA//hemA//mngB//nanK//uxuA//edd//sgbH//puuC//murG//ynfE//cpdB//alsE//bcsB//rhaB//yiaK//aceA//paaH//gudD//idnK//citF//idnD//fucK//waaZ//hcaB//ilvA//dgcC//xylB//pheS//napH//ampD//malZ//frdA//hycE//xdhB//bioD//glpQ//alsE//hypB//glgP//avtA//caiD//cysC//hemH//mhpA//
CadC_pos	pdeH//arsC//wecB//
CaiF_pos	xdhB//citX//moaD//ddlB//glk//
Cbl_pos	ttdA//fumC//prpD//psd//carA//
CdaR_pos	asnA//yiaK//mraY//rffM//polB//glgA//cysG//metH//purA//
CecR_neg	rhaA//
ChbR_neg	phnM//dgcZ//tam//
ChbR_pos	lacA//nanA//gpmM//
ComR_neg	
CpxR_neg	rbsD//ttdB//ampD//
CpxR_pos	ppiA//uxaA//nadA//entE//ttdB//hemF//gatY//ampD//aceE//fadB//pgk//aroL//prs//yeaG//pdxA//paaY//garK//sdhA//
Cra_neg	hcaF//astC//gpmA//hcaB//purK//cysI//uvrA//metC//amn//mnmG//ung//galK//glpD//fabI//argH//rsmH//ychF//fadM//aroL//cmoM//metC//astD//metH//iscS//nagA//edd//gltA//fucA//malP//purB//gatY//glxK//fumB//argA//moaE//mngB//glpB//glk//yedX//moeB//purF//mhpB//phnP//bioB//gudD//
Cra_pos	napA//chbF//ilvN//asnA//nagB//acnA//citE//metA//add//sgbH//ftnA//nrdB//purA//sucA//recB//fucO//phnL//
CreB_neg	lysA//
CreB_pos	pgi//
CsgD_neg	cadA//pgi//
CsgD_pos	polA//waaH//puuA//
CsiR_neg	ilvD//fucI//astE//citX//
CspA_pos	ftsI//
CueR_neg	deoC//araD//ada//
CueR_pos	accD//gapA//
CusR_pos	lsrG//oxc//bioB//deoB//
CynR_neg	
CynR_pos	acnB//fruK//pdeF//
CysB_neg	fucK//entF//bcsZ//
CysB_pos	nrfC//fumA//nrfC//lsrG//puuE//oxc//pgaD//glcB//hpt//alkA//dadX//leuB//fabG//dkgB//
CytR_neg	guaB//nirD//manA//entA//rnpB//rutE//lpxC//pck//yfdE//hcaE//
DcuR_pos	fabD//waaZ//purF//hyaC//
DeoR_neg	cysJ//ilvB//entD//phnH//cysM//leuB//
DhaR_neg	
DhaR_pos	cheR//
DicA_neg	
DinJ-YafQ_neg	narH//
DnaA_neg	mhpD//putA//fabG//malQ//tam//
DnaA_pos	paaY//metK//ahpF//
DpiA_neg	
DpiA_pos	deoD//glgA//yeaE//purH//moeB//
DsdC_neg	
DsdC_pos	atoD//ilvA//
EbgR_neg	
EnvR_neg	melA//gabD//
EnvY_pos	fabH//ilvG_1//
EvgA_pos	pck//queA//allD//leuB//nemA//lsrK//
ExuR_neg	ubiA//cheR//fumA//metB//pdeH//ilvA//
FNR_neg	xdhC//udp//hycC//trpE//yqhD//polB//guaA//gpsA//uxaC//allE//aceE//queA//lldD//glpE//umuD//cysG//cysK//rbsK//citC//uvrB//gudD//sucA//leuB//gor//mhpD//moaE//apaH//hyaA//phnP//iscS//paaA//tam//uxaA//speB//glcD//ampD//ruvA//uvrC//aldB//araB//paaI//phnP//acnB//ubiG//
FNR_pos	bioF//nrdD//sdhD//puuE//speB//tyrA//araA//hyaA//gatY//metB//bcsB//fadH//dmsC//yeaG//hemL//ada//murD//murI//murI//xdhC//glxR//alaS//arsC//speA//trpB//moaD//aroL//tdcG//gatZ//purA//aceB//sgbH//hycF//hemH//gcd//glsA//deoA//nrfA//lsrF//leuD//rbsK//hypB//slt//waaH//rffM//aspA//guaA//ravA//truB//umuC//slt//rbsK//adhE//mhpF//nagB//sodB//nrdE//hemH//gadA//cysH//carB//nrfC//leuD//araB//ung//uvrB//bioF//murQ//ulaE//fadM//moeA//polB//xdhB//dgkA//hyaB//patD//purD//oxc//leuA//fau//cadA//paaF//accD//ahpC//metH//ilvE//aroG//pck//avtA//queA//bioB//cysD//chbG//hypB//dusB//entC//
FabR_neg	trmD//paaE//paaK//
FadR_neg	paaA//moaC//uxuB//ahpF//paaB//murE//malS//dgcC//hmp//
FadR_pos	pheT//lysU//yfdE//ravA//malY//puuA//hycG//entF//cynT//rfe//
FeaR_pos	gabT//sdhA//
FhlA_pos	allE//entC//acnB//malQ//ccp//aroH//fadM//malP//
Fis_neg	dmsB//tadA//waaZ//pck//leuB//betA//argG//accA//ampC//pykF//wecC//metB//speC//paaC//narH//gnd//phnO//amiA//bglB//nirD//hyi//tdh//entD//gadB//katG//glpD//nadC//rhaA//leuA//appA//glpK//gcvT//ilvD//bioF//hcaE//ahpC//hypF//garR//amn//argB//trmA//ndh//ansB//argB//argD//cysI//
Fis_pos	sgbE//sdhD//lysC//hcaF//pdeL//dapB//caiA//paaK//moaA//lysU//gor//adiA//pheT//sucD//gadA//cysI//gcvH//fucI//patZ//caiD//fabZ//ygeA//cysH//mltF//hycB//pgi//hycE//sdhD//purK//nrdA//tyrA//pdeR//araD//psd//gcvP//fruK//astD//
FlhDC_neg	dapD//gabT//
FlhDC_pos	gcl//kbaZ//metH//sucB//galT//glgB//fabI//fadI//hcaE//umuC//glpB//argD//
FliZ_neg	sdhC//talA//allD//alkB//fumC//
FucR_pos	hcaF//aceE//aceE//alaA//alaA//tpiA//
Fur_neg	napB//gabT//sdhC//mhpC//sufS//tynA//dhaK//rbsK//gpmA//gudD//accC//ampC//rffC//rffG//aroL//bioF//hchA//pepD//glxK//trpA//phnG//asnA//murD//lsrK//ftsI//ampD//glcB//carA//betB//gapA//ilvH//rnpB//xapA//glyA//treC//yeaE//sucC//tyrA//glcF//citD//hycD//allC//murQ//garL//asnA//lyxK//cysE//xdhA//aceB//wecB//ydcS//dinB//edd//
Fur_pos	tadA//alaA//folE//alaA//paaK//carB//pyrD//purF//metK//ilvB//waaH//wzc//nrdE//wrbA//fabH//patD//
GadE-RcsB_pos	dapB//citD//ansB//dmsA//dgcZ//
GadE_pos	citD//ftnA//paaZ//aspC//phnJ//nadC//hemH//umuD//frdD//fucI//
GadW_neg	fabA//psd//argF//
GadW_pos	bacA//purD//hcaC//gcvP//
GadX_neg	ddlB//avtA//
GadX_pos	lsrF//ulaE//fbaB//fadA//aldB//add//ruvA//umpH//sodA//lacA//napG//
GalR_neg	tadA//gltD//nrdB//paaH//rutC//gapA//
GalR_pos	rnpB//pagP//trpC//entE//
GalS_neg	narI//gcd//pheT//umpH//malY//pdeL//
GalS_pos	metA//gntK//accA//hypB//
GatR_neg	astC//ascB//malQ//
GcvA_neg	carB//uxaB//cmoM//
GcvA_pos	ssuE//gcl//sdhD//
GlcC_neg	
GlcC_pos	rffC//uxuB//ada//
GlpR_neg	nrfD//fbaA//rutD//gloA//bioD//yiaK//betA//
GlrR_pos	
GntR_neg	umuD//pfkA//rtcA//mhpE//gltX//caiC//murF//astC//accC//
GutM_pos	ugpQ//ulaF//rffC//
H-NS_neg	tdcE//waaZ//hyaC//dhaK//murG//ahpF//pfkA//napG//ilvI//garL//wecE//tdh//glcB//trmD//allD//hcaF//moaC//alaS//preT//dgkA//srlD//tehB//caiB//xdhA//cynS//glpA//tyrA//pgaB//glcB//carA//manA//rtcB//hycC//wzb//wecE//yeaG//nemA//nrdB//puuC//mpaA//tehB//nanK//glgC//hemL//wecC//hchA//araD//lacZ//gcvT//hcaE//waaH//
H-NS_pos	hemL//trmD//argE//uxaB//glnA//ynfE//malP//gloA//upp//caiD//hycE//serC//araA//moeB//hyaB//
HU_neg	grxA//hypB//serC//xapA//lldD//serA//gor//
HU_pos	
HcaR_neg	
HcaR_pos	tauD//araD//
HdfR_neg	
HdfR_pos	
HigA_neg	cyoE//
HigB-HigA_neg	preA//
HipAB_neg	hflX//sodB//
HipB_neg	bioA//ada//purE//
HprR_neg	nadC//xdhA//
HprR_pos	prpC//pgpC//
HyfR_pos	acs//
HypT_neg	paaH//mraY//
HypT_pos	fabI//lpxD//hcaE//moaD//avtA//
IHF_neg	cysM//phnG//pyrD//entB//torC//moaC//fadJ//narH//acnB//dgcN//nanK//murQ//pagP//gntK//fumA//metF//metH//cheR//sgbU//trpB//tpiA//glgX//lsrF//moaE//carB//fau//mpl//gutQ//argG//gcvH//galK//avtA//ppc//lsrK//aceA//lsrF//trmD//dusB//puuC//deoB//murG//pdeR//prpB//
IHF_pos	kbaY//paaC//metC//pncB//xylB//rtcA//ubiA//sdhC//wzc//betA//glgX//dhaL//ynfG//araA//glpE//allE//mhpB//leuA//entD//puuC//alkA//hycE//hemF//galK//apaH//purF//hyaC//glcD//prpC//mhpD//uvrC//cadA//astD//wrbA//yqhD//fadM//bcsB//fucK//phnP//guaB//aroA//deoA//ssuE//citD//xylB//add//hemF//ilvM//ulaD//ldtC//apaH//speA//aroA//luxS//thrS//nagA//cysH//ravA//tyrA//ndh//yfdE//aceE//gnd//uxaA//dgkA//ubiC//ahpC//aroA//glk//relA//cueO//
IclR_neg	aspC//melA//hypB//
IdnR_neg	umuD//ynfF//
IdnR_pos	glmU//astA//rbsD//allB//
IlvY_neg	
IlvY_pos	rutA//
IscR_neg	waaY//hycG//ttdB//atoB//paaB//polB//
IscR_pos	rimK//recF//
KdgR_neg	sdhB//rutD//
KdpE_pos	glxK//
LacI_neg	icd//tauD//carB//
LeuO_neg	
LeuO_pos	nadC//phnH//dapB//ilvI//folA//phnM//
LexA_neg	nanK//fabB//xylA//ampD//ndh//rimK//ahpC//oxc//hycC//phnJ//gltB//paaH//ugpQ//ung//napB//wrbA//ttdB//pdeL//sgbH//katG//ybjG//nanE//polB//
LldR_neg	ilvC//nadC//
LldR_pos	bioA//phnP//
LrhA_neg	
LrhA_pos	
Lrp_neg	ldtD//dhaL//sucA//ssuE//ampC//sdhA//waaY//dsdA//nfsB//ilvC//ygeA//glpA//nrfD//murC//pspE//cysH//lacZ//entE//frdB//fucK//caiC//phnG//phnL//
Lrp_pos	ubiA//nadB//pnp//nadA//gpmM//uvrC//grxA//ycjG//cysI//katG//gadB//grxA//astE//fes//hcaD//hcaB//fumA//bioF//gltA//xylA//
LsrR_neg	fadB//alkA//yedX//nrdB//thrS//
LysR_neg	
LysR_pos	argH//
MalI_neg	fadD//mltF//
MalT_pos	gntK//pgi//gltB//ydcS//napB//acnA//
MarA_neg	ackA//
MarA_pos	queA//napB//phnN//narH//entH//malS//hycC//sucC//folE//accC//tynA//ilvB//lsrK//cysM//rpiB//mhpD//patA//agp//phnI//murG//alsE//wecE//fbaB//
MarR_neg	
MatA_neg	mhpA//
MatA_pos	
MazE-MazF_neg	ampD//
MazE_neg	pck//
McbR_neg	
McbR_pos	
MelR_neg	truB//ascB//
MelR_pos	accC//tdcD//
MetJ_neg	glxK//cysC//recF//lsrF//cysG//folE//mpaA//waaH//fes//garL//
MetR_neg	citF//
MetR_pos	lacA//dapD//glgP//tnaA//
MhpR_pos	ahpC//hycE//ddlB//narI//dgkA//hycB//
Mlc_neg	cynS//lsrK//pgk//fabG//
MlrA_pos	thrS//
MngR_neg	phnO//paaH//
MntR_neg	nfsA//
MntR_pos	nrdF//
ModE_neg	bioC//cadA//idnO//tdh//cynT//carA//dacC//ychF//
ModE_pos	tdcB//nadA//adeD//allD//yeaG//hemA//frc//moaE//phr//
MprA_neg	entB//rsmA//purF//
MqsA_neg	dapD//prpE//
MraZ_neg	hypF//waaZ//entD//paaE//srlD//paaY//ubiX//metK//recB//nrdE//
MurR_neg	rtcB//sdaA//atoB//
MurR_pos	
Nac_neg	ssuD//carA//luxS//
Nac_pos	hcaC//treC//dhaK//hemL//napH//tam//mhpD//fabA//
NadR_neg	codA//cheR//bcsZ//hcaE//
NagC_neg	lsrF//gntK//adeD//gnd//hcaB//wzb//dgcN//ulaF//recD//grxA//gltX//acnA//rpiB//gpmA//tktB//fumC//citF//nrdD//
NagC_pos	arsC//pdxA//
NanR_neg	rbsD//glcF//sgbE//fadJ//rbsK//dhaL//
NanR_pos	
NarL_neg	gpmA//ogt//luxS//katE//rutD//prpE//trpD//sdhB//narH//glpQ//idnO//lsrG//idnO//tauD//cynT//pheS//mpl//pheT//mhpA//torC//pnp//manA//aspA//ydcS//sgbE//purD//aspA//glpD//
NarL_pos	yiaK//alsE//hypF//glcE//pck//astC//pgi//phr//lpxC//hypB//entH//atoB//nrdE//napA//hycD//
NarP_neg	betB//ychF//ilvH//rutB//tadA//
NarP_pos	hycD//frdB//aspC//slt//uidA//lysU//caiC//purA//tktB//gcvT//moaA//paaE//ilvN//dacC//
NemR_neg	glcE//araD//
NhaR_pos	ulaE//glgC//ansB//ilvC//fabH//
NikR_neg	lysA//
NimR_neg	poxB//
NorR_neg	
NorR_pos	patA//
NrdR_neg	pykF//nanA//ravA//argG//
NsrR_neg	agp//fau//purM//rhaB//srkA//gcvP//cheR//glpE//uxuB//glgA//gcvT//pgi//puuA//dusB//ddlB//gcl//patD//guaA//sbcC//gnd//ybjG//pck//pdeF//purL//pheT//icd//rutA//leuB//tpiA//trpD//gapA//ilvI//glpX//citG//wecB//mltF//aceA//glgP//agp//ugpQ//
NtrC_neg	betA//dmsA//
NtrC_pos	cysI//amiA//dsdA//tauD//ulaF//gpmM//mhpC//garR//paaZ//aceB//napA//gntK//acnA//napB//sdhC//glgC//umpH//nrdD//bioB//patD//gltX//
OmpR_neg	phnP//prpE//mpaA//glgP//nadA//
OmpR_pos	hemF//grxA//dgcZ//malP//
OxyR_neg	trpA//betA//ttdB//paaB//murI//
OxyR_pos	tadA//glgP//mhpF//rutB//ilvI//tauD//tdh//garK//galK//paaC//sdaA//nagB//
PaaX_neg	lysC//argA//mazG//sgbH//ccp//aceF//mhpC//uxaB//gnd//
PdeL_pos	hcaE//
PdhR_neg	fabD//recB//ravA//hmp//fadB//garL//ansB//dmsC//malZ//cysI//pspE//entD//idnK//mpl//nadC//gcvP//dinB//nanM//fabH//allB//waaZ//gcl//atoD//
PdhR_pos	ndh//rffM//
PepA_neg	cysJ//entC//
PgrR_neg	pgpC//wecE//
PhoB_neg	phnI//ubiG//ubiA//deoC//moeA//
PhoB_pos	feaB//dacC//nrfD//mhpF//trmA//frc//grxA//mhpC//caiB//murQ//ugpQ//fadB//xdhB//serA//puuA//oxc//cysG//
PhoP_neg	rutA//citC//polB//
PhoP_pos	truB//nemA//tdcD//sdhA//nagA//astD//rhaD//zwf//napB//cdd//cmoM//hcaB//hcaD//mhpF//tdcD//fadJ//prpD//cyaA//fdhF//yedX//leuC//cysD//cysK//rbsD//napG//pgm//nadC//cyoE//pdxA//ynfF//agp//
PrpR_neg	
PrpR_pos	nrdA//paaE//folE//nadC//
PspF_neg	
PspF_pos	carB//
PurR_neg	fadH//tdcG//sodA//uvrC//alaS//pspE//bioF//rnpB//sucC//narG//entA//tdcG//aceE//wrbA//tdcB//betA//glpQ//tdcB//tdcD//murG//prpB//ilvC//deoA//gpsA//fadA//cpdB//
PutA_neg	aroG//gpsA//
PuuR_neg	fbaA//upp//moaD//lyxK//cysK//argF//
QseB_neg	
QseB_pos	
RbsR_neg	hpt//leuC//gcvT//prpE//lsrG//
RbsR_pos	codA//
RcdA_neg	
RcdA_pos	gltX//
RclR_pos	
RcnR_neg	dkgB//
RcsAB_neg	sdhA//
RcsAB_pos	lacZ//mltF//
RcsB-BglJ_pos	gor//folE//
RcsB_neg	sodA//
RcsB_pos	fdhF//feaB//fabB//
RelB-RelE_neg	cmoM//
RelB_neg	allB//
RhaR_pos	
RhaS_pos	glpQ//hemA//carB//araB//
Rob_neg	
Rob_pos	rhaA//gpsA//alaC//garR//fabI//gltA//betB//garD//serC//ftsI//glcD//phr//cpdB//astA//bioD//ychF//wecB//hcaD//rsmA//
RstA_neg	wecB//fadB//
RstA_pos	accD//
RtcR_pos	sdhD//ribA//
RutR_neg	dgkA//ilvG_1//moeA//serA//patD//ilvA//pykF//oxc//putA//psd//
RutR_pos	sdaA//
SdiA_neg	
SdiA_pos	
SgrR_neg	atoA//
SgrR_pos	frdC//dhaK//
SlyA_neg	
SlyA_pos	amiA//allE//atoD//tdcG//ftsI//tktB//tauD//moaC//phnN//
SoxR_neg	
SoxR_pos	aspA//
SoxS_neg	
SoxS_pos	gcl//bioA//eno//gnd//galT//sucB//glpE//hycD//rffH//xdhB//rffH//pdeR//pgm//rutE//dhaM//deoD//gltB//mtlD//phnI//epd//malY//hycE//purA//deoD//rfe//rimK//
SrlR_neg	nirB//rsmA//ada//
StpA_neg	malQ//polA//tpiA//
SutR_neg	purC//metE//
SutR_pos	
TdcA_pos	nanK//hycF//pgaC//bglB//chbF//
TdcR_pos	fbaB//sodB//entA//narI//sgbH//
TorR_neg	gpsA//
TorR_pos	phr//purK//cadA//tdcB//
TreR_neg	rffH//amn//
TrpR_neg	ascB//lsrG//prmC//murD//moaD//adeD//paaA//glgP//melA//
TtdR_pos	citG//ldtB//
TyrR_neg	araB//cynT//moeA//nadB//mhpE//trpC//icd//
TyrR_pos	rbsK//eno//sucC//
UhpA_pos	tadA//
UidR_neg	murI//murF//
UlaR_neg	pgaC//patZ//fbaB//trpE//hcp//
UvrY_pos	gutQ//dkgB//
UxuR_neg	kbaY//astB//chbG//murE//bcsZ//
XapR_pos	trmA//glpC//
XylR_neg	
XylR_pos	glgC//sbcC//dsdA//
YdeO_neg	
YdeO_pos	fbaA//lysC//gcvP//
YefM-YoeB_neg	alaA//
YefM_neg	speA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	yqjH//ldtD//ilvG_1//fadB//ttdB//sodA//
YjjQ_neg	glmU//uvrB//
YpdB_pos	
YqhC_pos	sdhA//appA//
YqjI_neg	ssuD//
ZntR_pos	purL//
ZraR_pos	
Zur_neg	hycB//
