# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	gadB//galK//
CRP_pos	moaE//yfdE//ubiX//lldD//uvrC//dgcC//paaY//adhE//asnA//sucB//hemA//aceE//speA//mhpF//dgcN//rhaA//ribA//paaY//gpmA//sbcD//lldD//mdh//dadX//dgcN//aceE//accC//allA//truB//gadA//wecB//ndh//luxS//nrdE//leuA//yeaE//glyA//pdxA//tyrB//astA//cmoM//ilvH//tadA//cysK//ulaE//feaB//alsE//rutB//aldB//tdh//alkB//prs//ldtD//aceB//ycjG//hyaB//citC//hyaC//ilvE//gloA//alaS//hflX//rnpB//nrfD//rutB//prpB//tyrA//rutB//gatD//fbaA//deoD//bioC//araD//speA//aroF//ribA//trmA//bioD//cysG//glsA//ssuD//fadA//lsrK//metA//allE//glgC//treC//citG//ppiA//fabI//glgB//serA//fucU//argB//murD//wrbA//aroL//slt//uxaB//glk//fumA//edd//ttdA//paaH//purF//tpiA//dkgA//malZ//nrdF//chbF//truB//citG//hemH//rutA//argC//gcvH//gltB//leuA//asnB//rutA//lsrG//aldA//pncB//gatD//yeaE//hyaC//eda//cysG//gapA//ynfE//pykF//paaC//prpE//yfdE//hypF//prs//yeaE//iscS//lsrG//polA//murI//purD//fucI//mngB//ldtC//gatD//paaA//hycD//preA//phoA//nanA//puuB//sdaA//caiD//bioA//pgm//glgA//fabI//xylB//moeA//prs//amiA//pyrC//tdcE//nrdA//bacA//trpA//hycD//umpH//prs//atoD//fadA//paaY//puuD//carB//yedX//pdeH//paaY//argI//arsC//hyaA//nagA//nfsA//ybjG//xdhB//lsrG//adiA//gltB//gcvT//dgcN//murQ//rutA//umuC//tdh//hycD//uidA//rhaD//speA//dkgA//recF//ilvD//tyrA//glcF//uvrB//hcp//dinB//napH//hcaD//ynfG//icd//uvrC//dgcN//glgX//dgcN//melA//paaY//dkgB//rfe//bioC//leuD//sbcC//rbsD//fadA//argI//narG//fabA//mhpD//wecB//chbG//gltX//pdeH//xylB//alaC//dhaM//glgB//entE//napB//hcaC//pgaD//gcvH//ddlB//pflB//nadB//sucA//cysD//chbG//fadD//gadB//amn//gcvT//
CadC_pos	alsE//metC//trpE//
CaiF_pos	narH//ulaF//aceF//moaE//idnK//
Cbl_pos	trmA//puuA//ubiG//hypF//hyaB//
CdaR_pos	chiA//trpB//trmA//glnA//phnL//glpC//glyA//cyaA//fadA//
CecR_neg	paaA//
ChbR_neg	nanE//nanE//fabI//
ChbR_pos	chbG//glmU//purK//
ComR_neg	
CpxR_neg	glyA//glpC//glgB//
CpxR_pos	adeD//lacZ//sgbU//bioA//bioA//atoA//tdcG//narG//lpxA//gatY//hyi//ada//puuA//nanE//nanK//fbaA//ubiA//dapB//
Cra_neg	preA//leuD//malS//bioF//uvrC//ilvE//pgaB//wzc//trpD//xylA//mdh//tpiA//fucO//murD//asnB//cysG//alaA//tdcG//dadX//pgi//umuC//psd//pdeF//entA//mdh//dusB//alaS//ndh//gcvT//ychF//citX//lhgO//hemF//dadX//deoA//ubiA//uxaB//purH//katE//glgB//hcaF//rhaA//metK//kbl//pyrD//
Cra_pos	talA//dadA//srkA//araB//yqjH//glpE//fadM//phnH//kbaZ//rtcA//nrdD//nadA//rffH//dhaL//pflB//lldD//ddlB//
CreB_neg	hycC//
CreB_pos	hyaA//
CsgD_neg	mltF//glnA//
CsgD_pos	garL//dhaK//moeA//
CsiR_neg	pgm//fes//rutC//iscS//
CspA_pos	glgX//
CueR_neg	polB//acnA//ampC//
CueR_pos	cysD//araB//
CusR_pos	rfe//edd//accC//gabT//
CynR_neg	
CynR_pos	nrdB//ssuD//betA//
CysB_neg	alkB//ung//kbaY//
CysB_pos	rutB//guaA//wecE//pdeL//ilvB//patA//edd//gcvT//gntK//codA//yeaG//epd//ybjG//murF//
CytR_neg	mhpB//cpdB//cyoE//ygeA//ogt//garL//dmsA//fdhF//pgaD//ulaG//
DcuR_pos	gntK//bioC//mpl//yqhD//
DeoR_neg	yqjH//nirD//cysK//hycB//gnd//hemA//
DhaR_neg	
DhaR_pos	purE//
DicA_neg	
DinJ-YafQ_neg	lyxK//
DnaA_neg	hcaC//cmoM//aroG//ldtD//nfsB//
DnaA_pos	alaC//rhaD//guaB//
DpiA_neg	
DpiA_pos	bcsB//glpE//pagP//argA//phr//
DsdC_neg	
DsdC_pos	kbaY//aroH//
EbgR_neg	
EnvR_neg	trpB//alaS//
EnvY_pos	ychF//glpQ//
EvgA_pos	srkA//fucU//trpE//bcsB//apaH//trpC//
ExuR_neg	serC//ubiA//pepD//gadA//mpl//prmC//
FNR_neg	speB//napH//thrS//fabD//sdaA//polB//wecC//dhaK//argB//betA//citF//dinB//mhpF//garD//chbF//araD//ilvN//aroH//recB//nadB//waaZ//hflX//napA//tehB//sucC//ldtD//aldA//iscS//fabA//ssuE//torC//purE//polA//cysH//argH//garK//fumC//gltA//umuD//metL//puuC//purL//ynfF//pck//
FNR_pos	phoA//mraY//tdcG//allA//phr//cysG//nanK//pnp//glmU//patA//fadJ//sucC//xylA//ssuE//moaE//araD//gloA//gor//cysC//wrbA//cysJ//gltD//pdeH//metA//trpD//ppc//puuD//mpl//pgi//ilvI//avtA//pdeF//rffM//glgC//katG//narH//glmU//alaC//moaD//moaD//sdhC//argA//cysE//dsdA//rbsD//purN//argD//thrS//tdcD//astE//idnO//gltB//torA//entH//rhaA//sgbE//preT//ychF//allA//fabB//rimK//waaZ//rffM//rbsK//phnO//putA//metE//argA//bioC//chbF//trpD//dhaL//tdcE//ndh//fabB//ygeA//pgpC//apaH//poxB//glpC//citD//dsdA//xdhB//bioC//phnH//hypB//murI//gltX//cysH//pgi//gabD//agp//glpX//eda//srkA//tnaA//
FabR_neg	wecB//purE//bcsB//
FadR_neg	pdeR//ahpF//gltX//pgi//rimK//glpX//allD//dapB//ppc//
FadR_pos	fumC//garR//pyrD//sdhB//mhpD//hmp//dmsA//chiA//fabB//ychF//
FeaR_pos	hypF//iscS//
FhlA_pos	pdeR//hycD//rimK//ubiA//ascB//gapA//yfdE//deoC//
Fis_neg	ascB//araD//aceF//icd//mdh//astE//malZ//leuA//ilvB//prs//sodA//citC//allB//paaZ//sbcC//deoD//prmC//sdhA//bacA//cysK//kbaZ//aldA//aroL//uxaA//phr//serC//prpB//udp//rbsD//bcsB//prmC//rutC//glgC//gcvT//acnB//xapA//aspA//dgcN//entE//bioD//glgX//aroH//mpl//gcl//paaI//astE//
Fis_pos	polA//tyrA//codA//glpQ//ynfE//nagB//dgcC//patD//idnD//lpxC//udp//ulaF//gltD//lpxC//purC//rffT//gnd//ychF//pdxA//appA//cysC//phr//pdxA//ygeA//paaB//ilvA//ynfG//glxK//waaY//glgB//mpl//grxA//narH//ftnA//udp//fdhF//thrS//
FlhDC_neg	ycjG//relA//
FlhDC_pos	xylA//ttdA//sgbH//citF//frdD//trmD//chbF//cmoM//agp//alaA//garL//dhaK//
FliZ_neg	alkB//nrdA//thrS//idnO//gpmM//
FucR_pos	slt//fadM//pdeH//wzc//trpB//waaY//
Fur_neg	pagP//ttdA//gatZ//trmD//sbcD//nadB//lysU//sucC//atoA//glpC//aroH//aroH//aceF//ydcS//argA//ahpC//gltA//mhpB//pyrD//lpd//psd//argD//preT//glpB//caiC//yiaK//ynfF//moaA//gltB//rutC//dgkA//narI//uidA//rtcB//wecE//ygeA//hcaF//ada//ynfF//tauD//araA//uvrA//tnaA//glpB//pgk//murE//citC//murE//gatD//rtcB//add//gloA//tdcD//
Fur_pos	asnA//hemH//mhpA//fadD//metK//asnB//argC//rimK//prpE//atoA//deoD//cysN//atoB//ychF//xylB//tdcG//
GadE-RcsB_pos	folE//cyoE//moaE//putA//aroH//
GadE_pos	hflX//murC//pgk//gnd//lsrK//edd//prpE//atoB//preT//hcaF//
GadW_neg	putA//sgbE//talA//
GadW_pos	dinB//alaS//paaH//ppsA//
GadX_neg	frdA//glgB//
GadX_pos	polB//recD//citE//glxK//glsA//araD//cysM//pdeH//mhpF//ttdB//hpt//
GalR_neg	galT//yedX//garD//hycF//tyrB//treC//
GalR_pos	fes//murC//pgaB//rffM//
GalS_neg	treC//allD//mhpE//glgA//arsC//lpd//
GalS_pos	hyaC//ssuD//fabD//allB//
GatR_neg	rtcB//epd//astB//
GcvA_neg	aspA//yedX//upp//
GcvA_pos	glyA//feaB//rutD//
GlcC_neg	
GlcC_pos	leuB//gpmM//mdh//
GlpR_neg	lacZ//purK//argE//cheB//bioB//hemL//uvrA//
GlrR_pos	
GntR_neg	mhpC//torC//idnD//dusB//murQ//speB//tnaA//paaC//dadX//
GutM_pos	yeaE//pncB//mpl//
H-NS_neg	prpB//glcF//idnD//ahpF//pyrC//paaZ//ppiA//phnH//relA//aceE//sbcD//umuC//cysH//preT//glxR//rutC//astA//acnA//kbaZ//dadA//lsrG//tam//nadA//tnaA//mazG//metC//paaJ//fumC//rbsK//gpmA//acs//cynS//glgX//wrbA//metC//paaZ//ampD//tdh//ruvB//aroA//fadD//deoA//ansB//ycjG//dadX//gatD//rnpB//mngB//metA//leuC//ldtD//
H-NS_pos	folE//rffG//glnA//phnH//rtcA//frdC//phnI//yqhD//deoB//sgbH//napB//aceF//murE//fabG//ugpQ//
HU_neg	gcvT//idnK//add//hemA//glgA//fadA//gcvP//
HU_pos	
HcaR_neg	
HcaR_pos	queA//atoD//
HdfR_neg	
HdfR_pos	
HigA_neg	fdhF//
HigB-HigA_neg	recF//
HipAB_neg	nadB//bacA//
HipB_neg	ribA//xapA//uxuA//
HprR_neg	lpxD//paaI//
HprR_pos	fadJ//atoD//
HyfR_pos	allC//
HypT_neg	fabD//entD//
HypT_pos	phoA//mtlD//umpH//asnB//allA//
IHF_neg	moaE//astA//fdhF//hcaB//nadA//glpQ//mngB//mhpA//hemH//glcD//hypF//tehB//astB//leuB//rutB//idnO//napA//fadJ//aspA//cysI//glgX//glgB//gadA//umpH//araB//murD//dgcN//tadA//glgX//fucU//gltD//fadD//paaC//ampC//phnI//trmD//leuC//purN//gnd//phoA//tpiA//gltA//ycjG//
IHF_pos	glgB//napH//leuA//entB//slt//sufS//icd//argF//uvrB//kbaY//acnB//ruvA//narH//trpA//moaA//fucK//grxA//ravA//entH//ung//fadA//malS//ttdB//fes//citD//fabZ//gcd//glcD//metH//accA//lysA//rtcA//deoA//ung//hemA//prmC//pykF//lpxD//zwf//adiA//aceB//cadA//serC//fabI//ogt//deoC//mhpC//pncB//allC//pyrD//garK//fadJ//astD//srkA//glcE//folA//iscS//glcE//dgcC//nadA//codA//murG//carA//entD//fumB//glgC//ulaD//lyxK//dhaL//argB//ilvG_1//
IclR_neg	glmS//gloA//carB//
IdnR_neg	napB//epd//
IdnR_pos	mazG//adhE//tdcD//purH//
IlvY_neg	
IlvY_pos	ynfG//
IscR_neg	glpC//glpE//cysH//upp//acs//alaA//
IscR_pos	phnM//pykF//
KdgR_neg	purA//sdaA//
KdpE_pos	cyaA//
LacI_neg	hypF//nanM//nrfC//
LeuO_neg	
LeuO_pos	paaA//aldB//sucD//garD//dadA//prmC//
LexA_neg	amn//xylB//entH//ansB//hcaF//allD//gabT//wecE//ddlB//dinB//lldD//ilvB//gatY//gloA//pepD//rimK//nemA//fruK//ddlB//acnA//bioA//sucC//phnN//
LldR_neg	dgkA//caiA//
LldR_pos	ppc//hcaE//
LrhA_neg	
LrhA_pos	
Lrp_neg	rtcB//avtA//phoA//pyrC//moaC//glmU//ilvH//rtcB//cheB//bacA//metF//cyaA//prpC//puuE//glgA//gpmM//purF//dsdA//cysK//bioD//nadC//pgk//hycF//
Lrp_pos	preA//ansB//paaC//preT//idnK//nrfA//glgP//fau//uvrB//purH//pheT//ycjG//hycB//polA//aceF//hycC//xdhC//uidA//purA//xapA//
LsrR_neg	argD//napG//sdhD//glmS//chbF//
LysR_neg	
LysR_pos	allE//
MalI_neg	acnA//fbaA//
MalT_pos	putA//hycD//astA//purK//fucU//pyrD//
MarA_neg	ynfE//
MarA_pos	purF//amn//puuD//glpQ//ldtB//paaJ//galE//sbcC//garD//gudD//rffH//iscS//nadA//bioA//paaJ//tktB//wzb//paaF//ygeA//fadE//bioA//polB//rutD//
MarR_neg	
MatA_neg	nfsB//
MatA_pos	
MazE-MazF_neg	fadE//
MazE_neg	polB//
McbR_neg	
McbR_pos	
MelR_neg	nfsA//hyaA//
MelR_pos	citD//cdd//
MetJ_neg	tam//ilvN//metK//upp//glpK//polA//putA//uxuA//fadB//fucK//
MetR_neg	dapB//
MetR_pos	paaA//cysC//malQ//eno//
MhpR_pos	chbG//rtcB//chbF//lysU//argC//ppsA//
Mlc_neg	ruvB//ttdB//paaY//uvrB//
MlrA_pos	gcvT//
MngR_neg	tynA//fau//
MntR_neg	fucI//
MntR_pos	katE//
ModE_neg	puuC//fau//gapA//tauD//metB//paaJ//gltB//napG//
ModE_pos	sucC//trpB//kbl//purF//pgi//malQ//sgbH//alkB//mhpF//
MprA_neg	phnJ//garD//fbaA//
MqsA_neg	sdhC//garD//
MraZ_neg	gabD//betB//ampD//mraY//lpxC//nemA//narH//frdB//accD//murD//
MurR_neg	paaG//deoA//ulaG//
MurR_pos	
Nac_neg	pgpC//cysG//atoB//
Nac_pos	nfsA//gadA//asnA//adiA//grxA//ubiC//hycG//pdeH//
NadR_neg	nagB//hmp//ada//narH//
NagC_neg	prs//murF//fabG//frdC//ribA//fucK//fadJ//argC//uxuB//moeB//paaZ//nirD//gatY//fabZ//ravA//araA//nagA//caiB//
NagC_pos	bioB//dgcC//
NanR_neg	dusB//ynfE//prpE//nadC//psd//xylA//
NanR_pos	
NarL_neg	katE//fadA//allB//hyaB//dacC//pdeF//moaA//puuE//nadB//tehB//umuD//leuA//yeaE//cueO//phr//rnpB//xylA//ssuE//pspE//cueO//allB//sdhB//hyi//narH//phnH//metE//trpD//recD//
NarL_pos	ybjG//ascB//nadA//uxaA//leuD//mpl//moaE//tauD//citE//phnL//ynfG//glpK//alaC//ydcS//moaC//
NarP_neg	gdhA//arsC//nadB//paaF//garR//
NarP_pos	glpE//glyA//hemH//edd//lsrF//purN//aceA//katE//bioA//preT//add//uxuA//citG//cueO//
NemR_neg	xdhB//glgC//
NhaR_pos	gpsA//gltB//metF//purM//gloA//
NikR_neg	accA//
NimR_neg	napH//
NorR_neg	
NorR_pos	glk//
NrdR_neg	ugpQ//ynfF//fadB//yqhD//
NsrR_neg	leuC//sgbH//treC//mhpA//phnL//ruvB//hemF//speA//pgi//tnaA//gatD//purA//murC//hycE//gadB//astA//ftnA//metB//fau//agp//ulaE//garD//aroF//ilvA//relA//oxc//lpxC//idnD//trpC//fadH//alaS//napA//mngB//edd//sdhC//uxuB//entD//appA//ilvH//hyaC//
NtrC_neg	yfdE//ulaG//
NtrC_pos	adiA//pykF//grxA//murF//ascB//preA//acnB//pflB//lpxD//rfe//aldB//polA//pdeR//pdxA//mhpA//lacA//cysM//sgbU//gnd//pagP//putA//
OmpR_neg	paaJ//metA//nadA//rffH//lysU//
OmpR_pos	torC//nirB//iscS//speA//
OxyR_neg	nadA//lacZ//fabH//astB//fabH//
OxyR_pos	ansB//alkA//uvrC//pgk//citD//mhpE//sodB//dapD//rbsD//bacA//preT//napB//
PaaX_neg	speC//rffM//lpxD//puuB//udp//guaA//metF//prpD//hemF//
PdeL_pos	cpdB//
PdhR_neg	deoC//nfsB//glpK//malP//garL//hycB//ynfF//ttdB//phr//treC//paaY//gapA//codA//fumA//pyrD//fes//lldD//phnN//alaA//paaY//murC//sodB//cysC//
PdhR_pos	gatZ//hcp//
PepA_neg	uxaB//recF//
PgrR_neg	rutA//dmsA//
PhoB_neg	ahpF//slt//rhaA//gadB//prmC//
PhoB_pos	oxc//galK//glpE//deoA//paaI//nrdE//uxaA//napG//glsA//entF//nrdE//gabT//serC//rutE//chbF//phnI//cysK//
PhoP_neg	aceE//pgpC//deoB//
PhoP_pos	sucD//guaA//deoB//napA//aspA//rffG//rutC//rtcB//murI//umuC//chbG//fbaB//dgcN//speA//treC//napH//malY//codA//patD//hcaE//malS//prpB//leuD//cpdB//putA//rbsK//purK//glpQ//metL//rhaD//glpX//
PrpR_neg	
PrpR_pos	lacA//glpC//tdh//recF//
PspF_neg	
PspF_pos	apaH//
PurR_neg	pheS//nrdF//gapA//uxaB//pgi//cysK//leuC//pdeL//rpiB//tdcD//tam//glmU//malQ//bioC//fucK//speB//glpA//torC//ycjG//bglB//ilvN//amiA//glcB//ynfG//ynfE//cadA//
PutA_neg	glcB//agp//
PuuR_neg	astC//murF//paaJ//paaA//sbcD//bioF//
QseB_neg	
QseB_pos	
RbsR_neg	pdeR//fadD//gltD//avtA//accA//
RbsR_pos	xapA//
RcdA_neg	
RcdA_pos	polA//
RclR_pos	
RcnR_neg	katE//
RcsAB_neg	sbcD//
RcsAB_pos	hcaF//argC//
RcsB-BglJ_pos	uxuB//ilvE//
RcsB_neg	malP//
RcsB_pos	pykF//prpD//ulaF//
RelB-RelE_neg	glxK//
RelB_neg	cueO//
RhaR_pos	
RhaS_pos	entA//alsE//idnK//lacZ//
Rob_neg	
Rob_pos	patD//gatD//paaH//pheT//epd//aroH//prs//fumA//lacA//ttdA//phnN//cysN//lpxD//mraY//patZ//pykF//ilvE//pgaC//aceE//
RstA_neg	speC//fadB//
RstA_pos	paaK//
RtcR_pos	entE//purC//
RutR_neg	aroF//phr//fdhF//speB//ttdB//sucC//pgk//glcB//wecB//feaB//
RutR_pos	trpE//
SdiA_neg	
SdiA_pos	
SgrR_neg	purB//
SgrR_pos	mhpA//nagA//
SlyA_neg	
SlyA_pos	betA//ilvI//ftsI//glgC//betB//glpK//bacA//aspA//paaF//
SoxR_neg	
SoxR_pos	icd//
SoxS_neg	
SoxS_pos	gadB//tdcG//gnd//icd//purL//araB//pgaC//argA//rnpB//hcp//ilvG_1//cysJ//aroH//sodA//pgpC//guaA//rhaD//lsrF//nadC//citX//ahpF//aroG//cheB//uvrC//ogt//pflB//
SrlR_neg	glpC//mpl//ubiC//
StpA_neg	ppsA//ubiC//betB//
SutR_neg	prs//rffC//
SutR_pos	
TdcA_pos	nanM//eda//pgm//fadJ//ulaD//
TdcR_pos	bioB//nadB//leuA//lysA//xylB//
TorR_neg	polA//
TorR_pos	uxaC//dsdA//ilvI//pagP//
TreR_neg	fucA//rhaD//
TrpR_neg	bioD//metF//ttdB//wrbA//gpsA//pnp//ssuE//pgi//dhaL//
TtdR_pos	thrS//grxA//
TyrR_neg	ynfE//uvrC//argA//relA//ftsI//paaA//pfkA//
TyrR_pos	ssuE//ascB//glgC//
UhpA_pos	sgbU//
UidR_neg	dhaK//nirB//
UlaR_neg	ackA//argE//rhaD//gutQ//ygeA//
UvrY_pos	glcD//betB//
UxuR_neg	gadA//ilvE//sdhB//argD//pagP//
XapR_pos	dadX//lysU//
XylR_neg	
XylR_pos	tyrB//betB//xdhC//
YdeO_neg	
YdeO_pos	ftnA//amn//nagB//
YefM-YoeB_neg	gcvP//
YefM_neg	paaG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	dmsA//cysD//pgi//hycD//hflX//ppiA//
YjjQ_neg	murI//polB//
YpdB_pos	
YqhC_pos	dacC//accC//
YqjI_neg	moaC//
ZntR_pos	frdD//
ZraR_pos	
Zur_neg	araD//
