# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	truB//lacZ//
CRP_pos	ulaE//psd//puuC//fucI//glcD//hflX//poxB//gapA//gabT//mtlD//cadA//ldtD//dmsA//phnH//purA//poxB//purA//hmp//murQ//gabD//gcl//wecB//hypF//uxuA//bioA//dacC//astE//dgcC//uxaB//fadJ//fabD//fumA//tnaA//uidA//fumB//gudD//astE//hycE//leuA//purE//purH//nagB//yeaE//alkA//ubiX//caiA//nagA//fadJ//purK//moaA//atoD//galT//melA//gcl//murF//pspE//cheR//recB//carB//nrdB//entD//sbcC//ppiA//sbcD//uvrB//ubiC//patZ//napG//preA//napG//allB//argB//dsdA//ilvM//ssuD//nanM//hcaF//lpxA//bcsZ//bioB//paaH//nemA//nrdF//kbaY//glpK//frc//hcaE//aspA//tnaA//guaB//sucA//idnO//hemH//murQ//serC//purF//ung//narH//purE//prpB//pyrC//glpK//phnL//dgcN//frdB//fucO//glxR//rutA//rffM//metK//glgC//acnA//trmD//nemA//aldB//adeD//paaE//glgB//atoB//moaD//carA//hemH//pgaB//rffT//hypB//hcaB//araB//dacC//nadC//aroH//ubiC//cadA//bioD//pgk//glpC//ydcS//patZ//glyA//patA//hyaA//torC//sgbU//alkB//pgaC//tdh//yedX//kbl//alaS//gatD//citD//araB//luxS//gltD//gpmM//dapD//malP//pgaD//paaC//ydcS//tdcE//alaA//glpB//malP//hcaC//puuD//nagA//deoB//carA//pdeF//hcaC//alaS//gapA//lpd//puuD//tauD//waaH//bioC//sgbU//phoA//pykF//rffT//pagP//asnB//lacA//gcvP//citC//ilvI//phnJ//moeB//gatZ//metF//katG//gcd//ilvM//gnd//cysG//alaS//rpiB//fucA//sdhD//araB//mnmG//hcaB//frc//tdh//uvrC//tktB//astD//psd//garK//wecC//metK//sgbH//yqjH//fabD//arsC//dadA//ppiA//umuC//phnI//astE//sgbU//glgX//preA//deoB//mraY//frdB//tehB//astC//tdh//entF//cyaA//nrfD//phnL//galK//dkgA//torC//paaF//deoD//rhaB//manA//purD//cysJ//cysJ//cysG//pfkA//dgcC//ilvA//gadB//
CadC_pos	fabZ//dkgB//yqjH//
CaiF_pos	leuC//mltF//galT//patA//feaB//
Cbl_pos	tehB//aceE//rbsD//purN//moeA//
CdaR_pos	ppsA//sdaA//torA//sbcC//hmp//aspC//yiaK//ppiA//glyA//
CecR_neg	gnd//
ChbR_neg	cysG//cysJ//glpK//
ChbR_pos	rutD//phnI//recB//
ComR_neg	
CpxR_neg	sbcD//uxaC//hemF//
CpxR_pos	fumA//pncB//gnd//tauD//aroL//pncB//fumA//purB//gltX//atoB//cheR//garD//citX//fabH//paaB//garR//ftsI//aroG//
Cra_neg	lyxK//rpiB//glcB//mpaA//entB//tam//gutQ//sodA//gpmM//cysK//nagB//luxS//zwf//rsmA//paaE//glpD//xdhC//fbaB//glsA//pagP//ada//recD//trpA//gcd//pncB//murE//phoA//ttdA//mngB//allC//fadJ//paaC//oxc//tktB//apaH//cueO//napB//dusB//gabD//aceB//ruvA//allD//xdhC//galT//fucK//
Cra_pos	apaH//tam//mhpD//ynfH//waaH//entD//gadA//wzc//sdhA//metB//moaD//phoA//malY//aceE//aceE//ldtC//aceB//
CreB_neg	nadA//
CreB_pos	murD//
CsgD_neg	dgcN//dacC//
CsgD_pos	patZ//sbcC//tyrB//
CsiR_neg	prmC//argD//napA//cadA//
CspA_pos	alaS//
CueR_neg	recD//moaA//ychF//
CueR_pos	zwf//araD//
CusR_pos	cysG//ldtC//paaK//metK//
CynR_neg	
CynR_pos	nrdD//asnA//metE//
CysB_neg	ygeA//umuC//cyaA//
CysB_pos	speC//glyA//nanE//guaB//rsmH//mngB//codA//prpD//ftnA//glpB//dmsB//gabD//mhpA//purK//
CytR_neg	rbsK//rutC//phnM//glgA//gcvT//ynfH//prpB//gdhA//thrS//gcd//
DcuR_pos	rffC//prpE//malZ//hycG//
DeoR_neg	citX//pspE//garR//murD//bcsB//pykF//
DhaR_neg	
DhaR_pos	xdhC//
DicA_neg	
DinJ-YafQ_neg	bglB//
DnaA_neg	malS//acnA//pncB//ahpF//tpiA//
DnaA_pos	nrdF//cysJ//nrfA//
DpiA_neg	
DpiA_pos	cysH//nrdB//acnA//glcD//narG//
DsdC_neg	
DsdC_pos	queA//nanM//
EbgR_neg	
EnvR_neg	chiA//paaJ//
EnvY_pos	sbcD//prpE//
EvgA_pos	ulaE//gcvH//amn//frdC//cheB//mazG//
ExuR_neg	relA//rbsK//yiaK//murF//rffH//katE//
FNR_neg	mhpE//alaS//rpiB//tdh//purD//narI//murF//galE//dmsB//pdeL//tdcD//allC//carB//lpd//hemF//gpmM//fadM//ppiA//ahpF//deoB//ssuD//lsrG//glyA//iscS//phnP//nfsA//patZ//phr//gdhA//wrbA//sucD//prpB//aroL//cysM//slt//fabI//pdeF//lyxK//citF//guaB//dgkA//wzb//rtcB//phnL//
FNR_pos	cyoE//metK//gltA//lysA//rhaA//lyxK//hypB//glpX//sdhD//ydcS//murI//gnd//hflX//xdhB//phnO//caiD//thrS//ftnA//hcaC//frdC//lpxA//dadA//appA//dgkA//mhpF//cysC//ulaG//mpaA//mltF//aroH//ubiG//ada//napH//glcD//murG//acnA//ynfH//pgaC//rffC//caiA//fadB//ulaG//lpd//grxA//phnH//pgi//xdhC//umuD//ilvE//fau//cynT//hcaC//paaB//citF//aceE//bacA//alkB//dgcN//gltX//glpD//fau//malZ//rhaA//paaJ//aroG//phnI//phnG//ahpC//tam//glmU//aceF//ackA//cysN//nemA//tdcG//rutB//paaB//metB//frc//gcvT//rffG//ampD//gabT//tdcB//araB//gpmA//fau//ulaF//hflX//ribA//glgP//atoB//preT//paaH//manA//dkgA//
FabR_neg	ssuE//mraY//gntK//
FadR_neg	phnL//cdd//rbsD//rutD//gapA//pheT//fucK//ilvE//cysK//
FadR_pos	dinB//tynA//fruK//apaH//truB//napA//asnB//fadJ//galT//mhpB//
FeaR_pos	tyrA//pgaC//
FhlA_pos	ubiC//rpiB//murE//ynfF//speB//hyaB//accC//ldtD//
Fis_neg	cheB//tnaA//pgaD//waaZ//phr//ulaG//gatY//hycC//dgkA//citX//rsmH//mtlD//hcaB//dinB//argF//amiA//umuD//hcaD//lhgO//glgP//nrfD//sgbU//phnO//uvrC//rutD//atoB//leuC//narH//yeaE//wzc//murE//napH//putA//ascB//purF//rsmA//uidA//ccp//ulaD//sbcD//dkgB//sdhA//aceF//ilvA//ung//lpxA//
Fis_pos	speB//mtlD//cysI//phnG//citG//atoD//moaC//ulaF//cdd//guaB//ilvE//hycC//rnpB//lysC//dmsB//napH//putA//paaC//gcvP//glpE//leuC//ssuD//garL//dhaM//metH//chbF//gapA//gabT//hyaC//dinB//fabA//hyaB//ogt//moeA//sgbE//gadA//metC//
FlhDC_neg	pgm//fucI//
FlhDC_pos	napH//upp//hemF//purH//ubiA//glnA//ubiG//sbcC//lpd//rtcB//manA//nadC//
FliZ_neg	epd//glpQ//upp//napA//dhaM//
FucR_pos	xapA//recB//fucI//mngB//tadA//fucA//
Fur_neg	aroG//rpiB//serA//ldtD//purD//trmD//phnI//narI//asnB//speB//paaE//fabB//paaC//hyi//guaA//ddlB//galK//paaB//katE//dmsC//narI//pdeR//yfdE//metC//fucU//moaD//paaG//ynfG//dmsA//yfdE//alaS//glcD//aroL//sdhC//cysD//hycG//phnM//tam//napH//alsE//cmoM//adhE//arsC//trpC//srkA//allD//nagB//eda//accD//pdeH//iscS//ychF//cadA//
Fur_pos	fadA//allE//phnN//purL//hflX//dadA//icd//carA//aceB//lldD//yeaG//nrdF//glxR//rpiB//nrfC//mdh//
GadE-RcsB_pos	carA//hchA//rnpB//ppc//rpiB//
GadE_pos	rsmH//xylB//cysE//frc//glmU//gcvH//alaA//araB//lhgO//nemA//
GadW_neg	pyrC//lpxA//puuE//
GadW_pos	ilvG_1//aroH//treC//entA//
GadX_neg	hcp//aceF//
GadX_pos	dacC//deoC//argB//metA//paaI//truB//ubiG//queA//glcD//pagP//pgm//
GalR_neg	ruvA//paaY//gpmM//prpC//gabT//murQ//
GalR_pos	tyrB//malS//phnH//cynS//
GalS_neg	tdcB//dmsC//hpt//pck//patA//lyxK//
GalS_pos	gabT//dusB//gatZ//rsmH//
GatR_neg	prpB//sdaA//gapA//
GcvA_neg	deoD//pflB//asnA//
GcvA_pos	murE//sodA//allC//
GlcC_neg	
GlcC_pos	metH//trmA//apaH//
GlpR_neg	folA//rffC//ftsI//ubiX//gcvP//talA//allA//
GlrR_pos	
GntR_neg	chbG//tdh//paaG//rffM//moeB//xylA//pgpC//alaS//araB//
GutM_pos	nrdF//phnJ//carA//
H-NS_neg	paaB//frdD//yeaE//alaA//epd//nfsB//gapA//moaE//idnK//gloA//fabA//lsrG//paaZ//purC//uxuA//narH//pykF//aroF//ugpQ//phnH//yqjH//bioB//gadB//fbaB//dmsB//ilvD//leuD//fabI//narG//metA//srkA//gltX//phnN//srlD//cysE//xdhA//nrdD//speB//nagA//citG//rffT//rfe//gapA//dmsB//uvrB//chiA//citF//ilvD//purF//yiaK//citE//
H-NS_pos	rsmA//tehB//puuE//mngB//nrfC//speB//aceB//gltX//cyaA//araB//metE//gutQ//frc//pspE//ulaE//
HU_neg	cyoE//mhpA//purA//aldA//sdhD//ubiG//rtcA//
HU_pos	
HcaR_neg	
HcaR_pos	cueO//gnd//
HdfR_neg	
HdfR_pos	
HigA_neg	ldtC//
HigB-HigA_neg	glgA//
HipAB_neg	cueO//malY//
HipB_neg	phnG//mpaA//cynT//
HprR_neg	idnD//glk//
HprR_pos	sufS//tehB//
HyfR_pos	ada//
HypT_neg	idnK//carB//
HypT_pos	dapD//gudD//cueO//ppiA//moaC//
IHF_neg	epd//gltD//ppsA//rffG//hcaF//ulaD//ogt//allB//fes//paaG//serA//purF//fumB//murC//gltD//nrfD//paaH//entH//bcsB//gltD//purM//manA//ttdA//accD//moaD//ppc//uxaA//metL//bglB//yeaE//srlD//srlD//lyxK//idnD//gatZ//prpB//paaY//epd//glnA//uxuA//treC//tdcG//mtlD//
IHF_pos	gdhA//katE//sdaA//cysG//waaY//lsrK//moaE//carB//gabT//udp//fumA//yeaE//glpQ//frdA//caiD//paaY//grxA//napH//lldD//uxaC//serC//pgaD//fumC//argG//ugpQ//lsrG//metE//ssuD//ftsI//glcE//allC//ulaE//xylA//accD//prpB//hcaD//astA//udp//hyaA//pykF//cysE//sucC//idnO//tdcG//ybjG//cdd//srkA//bcsZ//rutD//tadA//umpH//amn//napG//citF//ynfG//pgk//caiD//xdhB//yqhD//hycG//ogt//srkA//mdh//dapD//hcp//wrbA//rbsD//hycB//sgbE//fau//guaB//
IclR_neg	gltA//dgcN//ulaG//
IdnR_neg	nadB//leuD//
IdnR_pos	puuC//argG//purB//rhaB//
IlvY_neg	
IlvY_pos	ahpC//
IscR_neg	frdC//sdhB//gudD//tdcD//ilvA//aspA//
IscR_pos	uxaC//dhaL//
KdgR_neg	ilvG_1//metH//
KdpE_pos	putA//
LacI_neg	sucA//allE//nirB//
LeuO_neg	
LeuO_pos	sucA//cueO//ugpQ//napG//phnM//mpl//
LexA_neg	argH//frc//astC//prs//gltD//pheS//dapD//glpK//cysC//serA//gltA//caiB//dkgA//xdhC//fes//asnA//fruK//napA//ssuE//dinB//napG//aspC//pgaC//
LldR_neg	dadX//pdeH//
LldR_pos	yqhD//ilvG_1//
LrhA_neg	
LrhA_pos	
Lrp_neg	argI//glpE//mazG//ahpC//glpQ//wrbA//yeaG//malY//fadJ//alaS//glsA//paaI//ahpF//ulaD//folA//nfsB//ilvC//hyaB//phnG//acnB//umpH//araD//entH//
Lrp_pos	upp//cyaA//tdh//amn//umpH//hycG//phnH//astC//phr//hycF//aldA//tynA//glcD//gabD//psd//wecE//carA//lyxK//paaY//sufS//
LsrR_neg	trmA//hemA//recD//dadA//hycB//
LysR_neg	
LysR_pos	purK//
MalI_neg	betA//oxc//
MalT_pos	sdhA//appA//argG//aceB//oxc//fadJ//
MarA_neg	phnH//
MarA_pos	waaH//lhgO//allE//aceF//preT//sgbE//moaA//sgbE//fabB//fucO//tauD//ilvE//pheT//fau//rutE//glpD//paaG//phnL//sdhB//uxaA//sbcD//eda//hemH//
MarR_neg	
MatA_neg	pflB//
MatA_pos	
MazE-MazF_neg	waaY//
MazE_neg	ccp//
McbR_neg	
McbR_pos	
MelR_neg	truB//mazG//
MelR_pos	lacZ//dhaL//
MetJ_neg	hycG//codA//uvrB//pdeH//pfkA//mdh//mhpA//ulaD//uxuA//pdxA//
MetR_neg	agp//
MetR_pos	thrS//purK//folE//phnJ//
MhpR_pos	purM//paaA//adeD//ogt//nrdF//lacZ//
Mlc_neg	ung//yqhD//glmS//glpA//
MlrA_pos	ynfE//
MngR_neg	fabD//glmS//
MntR_neg	prpC//
MntR_pos	uxaC//
ModE_neg	ampD//zwf//ada//sdaA//tauD//bacA//glgA//kbaY//
ModE_pos	cysJ//talA//rutD//kbaY//phnN//ynfE//lpxC//tdcD//serC//
MprA_neg	pyrC//dapB//ada//
MqsA_neg	torC//aroH//
MraZ_neg	epd//ruvA//argG//moaC//frdA//metA//sdhD//lsrK//ttdB//dapB//
MurR_neg	murF//cynT//entE//
MurR_pos	
Nac_neg	sdhD//pspE//fabG//
Nac_pos	mhpC//moaA//araB//sucA//pagP//astC//cadA//uxaA//
NadR_neg	fdhF//alkB//mngB//ilvI//
NagC_neg	cysK//rffT//phnO//hycG//phnO//speB//allB//napG//astC//nadA//ppsA//puuA//tdcE//nrfD//fadA//hemL//acnA//hmp//
NagC_pos	cysJ//gpmA//
NanR_neg	idnO//ybjG//srlD//metE//gatY//fadA//
NanR_pos	
NarL_neg	umuC//fumB//lsrF//entB//wzc//purK//glmS//moaC//upp//ydcS//rutC//galK//ilvE//ycjG//ppsA//nrfA//cheR//pdeR//cadA//mazG//pfkA//lsrK//galT//hcp//glxR//fadD//galK//entB//
NarL_pos	leuB//purN//dkgB//waaZ//leuC//fadE//fucO//astE//nanK//glgA//sdhB//folE//phr//umpH//rffH//
NarP_neg	fau//caiD//carB//cueO//dkgB//
NarP_pos	deoA//relA//moaC//dhaL//bioF//gabT//dsdA//cysE//dgkA//fumA//gpsA//hycB//purA//melA//
NemR_neg	wecE//asnB//
NhaR_pos	ruvA//paaY//rbsK//fabG//fabA//
NikR_neg	gcd//
NimR_neg	rsmH//
NorR_neg	
NorR_pos	bcsB//
NrdR_neg	paaG//mhpA//bioF//aspC//
NsrR_neg	purN//sdhB//argI//paaA//rhaD//ilvE//phnH//metB//dgcC//alsE//citD//sbcC//ampD//trpC//allA//sgbE//lsrG//carB//cysH//nrdB//gntK//deoC//caiB//fadA//nagA//gadA//ydcS//ubiX//bcsB//galK//chbF//ybjG//argD//malQ//gabD//yeaE//gpmA//rsmA//serA//fucU//
NtrC_neg	accC//fabI//
NtrC_pos	ftnA//xdhC//sdhA//dmsB//xylB//cysE//pdxA//entB//hcaB//gapA//accC//rtcA//garL//talA//aceF//mhpD//appA//cmoM//phr//rutE//tdcE//
OmpR_neg	galM//psd//malY//codA//argA//
OmpR_pos	gudD//amn//fadH//pgpC//
OxyR_neg	astD//argI//deoD//aceA//ilvG_1//
OxyR_pos	ada//galT//pnp//nadA//katG//paaF//napG//pepD//trmD//cysM//asnB//gntK//
PaaX_neg	purH//fadJ//cdd//trmD//lldD//deoD//uvrC//allD//tdh//
PdeL_pos	purN//
PdhR_neg	aceB//hcaC//malS//fadM//trpB//aldA//garD//trmD//aroF//accA//pheS//purE//zwf//glpQ//citX//pheT//allE//acnB//ulaD//paaG//gatD//mazG//malS//
PdhR_pos	gcvH//glgA//
PepA_neg	garK//yedX//
PgrR_neg	tam//allC//
PhoB_neg	tdcD//acnB//puuB//patD//sodB//
PhoB_pos	phnJ//tdh//narI//phnM//lsrK//ldtC//pgpC//waaY//garK//sdhB//ubiC//aceB//ssuE//moaC//wrbA//purK//pspE//
PhoP_neg	paaB//fabI//sucC//
PhoP_pos	hemA//ldtB//alaC//gloA//puuC//ubiA//hemA//caiB//paaZ//nagA//adhE//argA//gcvP//murF//glcF//sbcD//metA//ugpQ//alsE//luxS//uxaA//dgcN//galK//paaF//xapA//leuC//dinB//sbcD//frdA//dmsA//lysU//
PrpR_neg	
PrpR_pos	pflB//bioD//nanK//fucU//
PspF_neg	
PspF_pos	aroH//
PurR_neg	ndh//ugpQ//hemF//phnG//metK//rutA//glxR//ssuE//ssuD//frdB//citF//mpl//nfsA//hemA//hyaB//srkA//entC//ackA//fumC//trpB//phnH//appA//melA//glsA//nagB//cynT//
PutA_neg	cynT//tehB//
PuuR_neg	ynfH//relA//moaA//yfdE//ppsA//preA//
QseB_neg	
QseB_pos	
RbsR_neg	hyi//mpl//alaA//srlD//gcvT//
RbsR_pos	waaZ//
RcdA_neg	
RcdA_pos	fruK//
RclR_pos	
RcnR_neg	ssuD//
RcsAB_neg	chbG//
RcsAB_pos	cysG//idnO//
RcsB-BglJ_pos	pgpC//truB//
RcsB_neg	gpmA//
RcsB_pos	pncB//gdhA//purA//
RelB-RelE_neg	dacC//
RelB_neg	allE//
RhaR_pos	
RhaS_pos	gor//bacA//bcsB//phnH//
Rob_neg	
Rob_pos	tauD//leuA//tnaA//paaH//paaE//cynS//ppc//nrdB//aceA//moaD//ftsI//aceB//narI//fabZ//entB//chbF//glnA//alsE//malQ//
RstA_neg	gcvH//hcaC//
RstA_pos	murF//
RtcR_pos	carA//mhpA//
RutR_neg	caiD//puuD//sdhD//nirD//fruK//hyaB//fucA//rutD//eda//ynfG//
RutR_pos	allB//
SdiA_neg	
SdiA_pos	
SgrR_neg	fadB//
SgrR_pos	astD//fadE//
SlyA_neg	
SlyA_pos	gutQ//phnM//xapA//aceE//katE//idnD//fumB//napA//phnO//
SoxR_neg	
SoxR_pos	prpC//
SoxS_neg	
SoxS_pos	ulaF//caiA//glsA//rffM//citE//nirD//umuC//tdcG//gloA//ldtD//gpmA//gdhA//lsrK//edd//leuC//ndh//entA//mhpF//aroH//lysA//ansB//fumA//patZ//torC//deoD//speC//
SrlR_neg	hpt//rutE//arsC//
StpA_neg	pck//gatY//dapD//
SutR_neg	bcsB//hcaF//
SutR_pos	
TdcA_pos	ubiA//ubiA//alaS//slt//pgaC//
TdcR_pos	fruK//ilvE//cadA//gapA//fdhF//
TorR_neg	aroH//
TorR_pos	phnL//mhpE//xdhC//nrdB//
TreR_neg	dusB//mhpE//
TrpR_neg	umuD//gpmM//hycC//dapD//mtlD//tam//ilvB//glmS//gloA//
TtdR_pos	gltX//sdhC//
TyrR_neg	aroG//phnI//chbG//rutE//bioA//patD//tktB//
TyrR_pos	waaH//relA//cysK//
UhpA_pos	fumC//
UidR_neg	glcB//murQ//
UlaR_neg	rutB//alkA//moaE//mhpD//nrdF//
UvrY_pos	fumB//cysC//
UxuR_neg	carA//ampC//murF//umuD//dhaM//
XapR_pos	entF//paaZ//
XylR_neg	
XylR_pos	bioC//ppc//ycjG//
YdeO_neg	
YdeO_pos	allB//rffC//paaF//
YefM-YoeB_neg	nanA//
YefM_neg	iscS//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	fabD//lyxK//ynfH//mhpC//gltB//amn//
YjjQ_neg	galT//phnH//
YpdB_pos	
YqhC_pos	fadJ//guaA//
YqjI_neg	dmsA//
ZntR_pos	paaJ//
ZraR_pos	
Zur_neg	ugpQ//
