# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ahpC//sodB//
GlcC_pos	entD//dkgA//ilvH//
GlpR_neg	nanE//pepD//adiA//leuD//ftnA//lsrG//purB//
GlrR_pos	
GntR_neg	polA//metC//grxA//gdhA//paaI//pyrC//purC//gpmA//pncB//
GutM_pos	cysI//garD//acs//
H-NS_neg	serC//rutE//hchA//mhpA//citX//patZ//purK//dsdA//pheT//caiB//acnB//glgP//hypF//ampD//rffM//cysM//glpC//phnP//ppiA//ynfH//glgC//argD//tdcB//lacA//rsmA//gatD//gapA//dhaK//sucA//nagB//cysM//alaA//garR//glcD//citG//aldB//rhaA//napH//cueO//araB//avtA//lpd//pgk//dinB//cueO//ldtD//acnA//murG//malP//gabD//purE//
H-NS_pos	glpK//rutC//tyrB//hcaC//trpA//glgB//xdhB//nfsA//rbsK//patZ//entA//leuA//hcaB//tynA//moeB//
HU_neg	hyaA//lhgO//hycD//ilvM//accA//cysJ//gapA//
HU_pos	
HcaR_neg	
HcaR_pos	cynS//puuD//
HdfR_neg	
HdfR_pos	
HigA_neg	hmp//
HigB-HigA_neg	putA//
HipAB_neg	moeB//dkgA//
HipB_neg	nanE//adhE//allD//
HprR_neg	aceF//galE//
HprR_pos	gpmM//allA//
HyfR_pos	patZ//
HypT_neg	pflB//glcB//
HypT_pos	aceA//edd//fumC//ung//kbaZ//
IHF_neg	sdhC//hemL//glpC//fadI//caiA//galM//uxaC//dgcZ//prpD//moaA//kbaZ//cyoE//gabT//recF//rimK//cysC//dkgB//dapD//moaA//ahpC//sdhB//pncB//fucO//ascB//tadA//lpxA//napB//speA//hyi//trpB//gatZ//sdhC//sucA//murE//fabA//ilvC//pgaD//aspC//fucA//idnD//pdeF//speA//chbG//
IHF_pos	ilvE//hcaB//mhpA//cysE//lpxC//add//hcaD//avtA//allB//moeB//allE//gntK//prpB//fau//gapA//xylB//trpB//purL//udp//pgm//leuA//ulaE//gadA//ascB//ynfH//nrdB//fucU//rbsK//metF//cmoM//feaB//waaZ//aceB//pgaC//prpB//appA//fadB//nagB//glcE//galE//xdhA//gatY//phnG//trpC//metH//dmsC//recF//purA//tdcG//prpE//trpB//rffM//hycB//napH//eno//fabI//araD//uidA//nrfC//lacA//kbl//citX//ulaE//lyxK//umuC//allD//xylA//bioD//caiC//atoB//allC//
IclR_neg	alsE//dhaM//fadJ//
IdnR_neg	accA//hflX//
IdnR_pos	hycE//sdhB//bioB//lldD//
IlvY_neg	
IlvY_pos	dmsB//
IscR_neg	fruK//preT//gadB//paaZ//gltA//cysC//
IscR_pos	gcvH//ychF//
KdgR_neg	garD//nadC//
KdpE_pos	acnA//
LacI_neg	fadJ//avtA//citD//
LeuO_neg	
LeuO_pos	yeaG//puuD//dhaK//fabZ//ulaG//deoB//
LexA_neg	prmC//aspA//chiA//caiC//allB//paaB//sodB//avtA//uxuA//cysJ//uxuB//cheR//nanM//glsA//glpX//fadI//sucB//gudD//pyrD//hemA//uxuA//dadA//mhpC//
LldR_neg	ulaD//alsE//
LldR_pos	purE//avtA//
LrhA_neg	
LrhA_pos	
Lrp_neg	katE//dadX//ilvI//dusB//ulaG//patA//ubiG//polB//wrbA//ppc//citX//cysJ//gadB//rtcB//garR//icd//recD//acnA//iscS//pdeF//murF//alkA//nagB//
Lrp_pos	hypB//queA//nanA//pck//argE//codA//entA//lsrF//aldB//hcaB//ilvG_1//adeD//fumC//uxuA//cheB//aceA//tdcD//malY//folE//phnO//
LsrR_neg	idnD//fadM//ubiA//tnaA//hycB//
LysR_neg	
LysR_pos	dapD//
MalI_neg	murD//entB//
MalT_pos	gcl//yqhD//yiaK//pgm//metL//gatD//
MarA_neg	nrfC//
MarA_pos	dhaK//speC//nagB//paaE//hcaB//argC//nadB//accD//tdcG//fabB//puuD//fabA//glpD//betA//pyrD//napB//aceF//serA//fadI//purL//fabB//gnd//pgaC//
MarR_neg	
MatA_neg	melA//
MatA_pos	
MazE-MazF_neg	alkA//
MazE_neg	metF//
McbR_neg	
McbR_pos	
MelR_neg	glxK//paaB//
MelR_pos	chbF//ulaF//
MetJ_neg	paaY//hycD//accC//paaA//entA//purF//hflX//sbcC//apaH//queA//
MetR_neg	eno//
MetR_pos	ahpF//waaH//edd//paaG//
MhpR_pos	hyaB//lysA//sdhD//nrdE//phnP//glpD//
Mlc_neg	hmp//sucB//cysM//fabI//
MlrA_pos	entH//
MngR_neg	idnD//cheR//
MntR_neg	aroH//
MntR_pos	pgaD//
ModE_neg	lysU//lysU//nadC//ubiX//gltX//lsrK//hypB//argD//
ModE_pos	murD//trpD//gltB//grxA//accC//putA//ogt//patD//nirB//
MprA_neg	aspC//rutB//ada//
MqsA_neg	acs//rtcA//
MraZ_neg	cysH//avtA//aceE//gnd//fadA//gpmM//asnA//hcaB//gudD//feaB//
MurR_neg	frdC//araA//gadA//
MurR_pos	
Nac_neg	cheB//napA//prpD//
Nac_pos	moeA//nanK//dkgA//sbcD//deoA//fucU//ung//caiB//
NadR_neg	dadA//garD//aroG//moeA//
NagC_neg	pdeR//araA//mhpE//rutA//entE//aceE//treC//atoB//leuA//guaB//wzc//pdeH//nrdA//rhaA//fucK//dadX//fadI//gudD//
NagC_pos	frdB//epd//
NanR_neg	purN//cysN//gabT//lpxD//purM//allC//
NanR_pos	
NarL_neg	serC//hcaC//hcaF//gcvT//hypB//fabB//fadH//chbF//uxuA//treC//murI//rhaB//murI//cadA//rutC//tadA//rbsK//tdcG//rhaD//dgcZ//leuC//gudD//nrdE//uxaC//garK//idnD//pgaC//glcF//
NarL_pos	allA//mpl//deoD//sgbE//xdhC//hcaF//ada//cysD//prpC//entF//argE//pepD//carB//gor//fabH//
NarP_neg	nrfA//pncB//ilvG_1//leuA//gpmA//
NarP_pos	murC//dgcZ//fdhF//nagA//cynT//rffM//nfsB//wecE//ynfG//torC//fadM//asnA//astB//fruK//
NemR_neg	hycC//caiB//
NhaR_pos	manA//astE//hemH//hyaC//astB//
NikR_neg	pgm//
NimR_neg	moeA//
NorR_neg	
NorR_pos	bglB//
NrdR_neg	paaE//lysA//deoC//fadH//
NsrR_neg	gabT//lhgO//ydcS//citX//rtcA//umpH//mraY//pyrC//speB//edd//fucI//gltA//narI//metF//gcvP//mhpB//uidA//sdhC//metK//tadA//cynT//pheS//rutD//ilvG_1//trmA//glpQ//aroL//citE//dusB//gpmA//tdcB//bacA//fadA//entF//metF//araA//deoD//mhpA//sdhA//katE//
NtrC_neg	adhE//caiB//
NtrC_pos	mhpD//ttdA//tauD//ung//mraY//accA//dkgA//paaF//epd//alaS//ogt//tdcB//psd//acnA//narH//glgC//pdeR//caiD//mhpF//ulaD//yedX//
OmpR_neg	entH//sucB//gatY//hflX//lsrF//
OmpR_pos	ssuE//kbl//gcvH//aspA//
OxyR_neg	citD//sbcC//gcvH//puuC//mhpD//
OxyR_pos	nrfD//codA//sgbE//metE//astE//galM//trpA//cysJ//leuC//nanM//ugpQ//torC//
PaaX_neg	aroA//purA//mhpF//tdcG//rimK//fabD//thrS//cysC//phr//
PdeL_pos	acnA//
PdhR_neg	paaJ//deoC//glgX//adiA//gatD//folA//citD//nagB//pncB//treC//mngB//fucK//bioA//aceE//ubiA//lysC//fabH//recB//idnO//hypF//treC//nanA//srlD//
PdhR_pos	paaC//glpK//
PepA_neg	icd//ilvD//
PgrR_neg	waaY//dhaK//
PhoB_neg	yiaK//paaY//hemF//luxS//gatZ//
PhoB_pos	paaC//alkB//bcsB//gcl//sgbH//fumC//tktB//ilvE//pfkA//gcvT//idnO//ilvB//aroG//hycB//caiB//pgaB//mngB//
PhoP_neg	poxB//epd//hcp//
PhoP_pos	fadD//napA//guaB//agp//sucC//puuD//rutD//cysD//yqjH//nagA//xylB//dmsB//rffG//serC//pgpC//prpC//ulaF//betA//mhpD//rhaB//narG//malZ//mhpF//lysA//paaI//truB//ubiX//recD//gloA//purM//polB//
PrpR_neg	
PrpR_pos	hchA//gadA//pagP//nrdA//
PspF_neg	
PspF_pos	melA//
PurR_neg	gor//sgbE//codA//ruvB//nadA//sdhB//pfkA//rsmA//udp//ada//aroG//cysM//uvrA//accA//mnmG//yeaG//nagA//gatD//tdh//polA//recD//paaE//gnd//slt//torA//gadA//
PutA_neg	cysE//hcaC//
PuuR_neg	rhaA//phnN//umuD//hypB//ada//cysC//
QseB_neg	
QseB_pos	
RbsR_neg	rpiB//pdeF//aceE//ygeA//cmoM//
RbsR_pos	betB//
RcdA_neg	
RcdA_pos	sucC//
RclR_pos	
RcnR_neg	ahpC//
RcsAB_neg	alaC//
RcsAB_pos	phoA//ilvG_1//
RcsB-BglJ_pos	atoB//hpt//
RcsB_neg	appA//
RcsB_pos	garL//fadM//fucI//
RelB-RelE_neg	ulaE//
RelB_neg	entF//
RhaR_pos	
RhaS_pos	mhpC//dusB//ubiG//argD//
Rob_neg	
Rob_pos	pgi//gutQ//gnd//hpt//accA//malY//umuD//glpX//lpxD//puuA//ftsI//astA//fabB//ubiA//purM//ynfE//bioA//astC//nanA//
RstA_neg	gutQ//fadD//
RstA_pos	mngB//
RtcR_pos	yfdE//napG//
RutR_neg	garK//rtcA//recB//fruK//ugpQ//citF//fumB//ampD//lsrK//purA//
RutR_pos	sucC//
SdiA_neg	
SdiA_pos	
SgrR_neg	dmsC//
SgrR_pos	frc//astC//
SlyA_neg	
SlyA_pos	torC//bioD//moaE//gcvP//ftnA//purN//rutD//glyA//glsA//
SoxR_neg	
SoxR_pos	tdcB//
SoxS_neg	
SoxS_pos	murI//moaC//katE//fau//gltA//moeA//ycjG//phnI//pck//carB//glxK//alsE//ulaG//metE//glpD//ndh//lysC//accC//prmC//malZ//astE//fbaB//putA//trmD//fumB//umuC//
SrlR_neg	araB//rbsK//fdhF//
StpA_neg	ulaF//talA//wecC//
SutR_neg	entA//ogt//
SutR_pos	
TdcA_pos	ccp//glk//accA//chbF//cheB//
TdcR_pos	lsrG//fadH//frc//sucB//chbF//
TorR_neg	cysC//
TorR_pos	yiaK//paaB//gabD//ulaD//
TreR_neg	serA//dapD//
TrpR_neg	paaG//frdD//glk//glcE//preT//cheR//phnL//allA//fucI//
TtdR_pos	yfdE//ugpQ//
TyrR_neg	pgaC//purN//sdaA//wecC//bacA//sufS//ldtD//
TyrR_pos	adhE//fruK//astC//
UhpA_pos	phoA//
UidR_neg	queA//oxc//
UlaR_neg	purM//murD//paaC//wecB//xdhC//
UvrY_pos	paaB//purN//
UxuR_neg	paaK//hmp//gcl//uidA//wzc//
XapR_pos	adiA//aceB//
XylR_neg	
XylR_pos	trpD//yeaG//moaA//
YdeO_neg	
YdeO_pos	allE//atoD//hycD//
YefM-YoeB_neg	frdC//
YefM_neg	sbcC//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	serA//codA//polA//phoA//pagP//deoA//
YjjQ_neg	sgbE//rffH//
YpdB_pos	
YqhC_pos	tdcB//sgbE//
YqjI_neg	ansB//
ZntR_pos	fumB//
ZraR_pos	
Zur_neg	phr//
