# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	mhpA//hycF//
CRP_pos	fau//entB//ynfG//glk//uvrC//nrdB//pgk//ulaE//uxaC//napH//fabA//rutC//ccp//rffG//fabA//idnK//napA//rutB//sucB//nadC//glyA//nadB//puuA//pyrC//ycjG//sufS//citF//sucC//glpE//ychF//rhaB//leuB//fabZ//glcE//dmsB//araB//allA//alsE//rhaD//dkgA//pdeR//ubiC//araA//mngB//cyaA//avtA//rutD//nanA//fdhF//uxuB//rffG//sodA//fadM//hycD//hemF//malQ//fbaB//chbG//fes//wrbA//rbsK//nrdF//napH//serC//hypB//cysG//metL//galT//rutD//narG//glsA//aceE//trpD//fadJ//aroL//dmsC//dadX//ilvG_1//frdC//paaJ//metL//fucK//malY//gapA//malQ//ruvA//aroH//eda//bioC//nadC//deoA//napB//tdcD//ung//gltX//entF//prpC//phnO//ppsA//recD//yqhD//xylB//iscS//dmsB//rnpB//gadA//ygeA//ldtC//ada//add//pgm//sdhA//aroF//glxK//bioB//citG//hcaB//phnI//pdxA//yeaE//fucA//phnL//bacA//entH//apaH//nrdA//rbsD//purN//ppiA//speC//allA//nirD//polA//paaI//uxuA//ynfH//ruvB//ppiA//ubiC//katG//moeA//metA//paaY//tynA//nrfC//entF//mhpA//ung//pncB//cyaA//leuB//ansB//putA//citX//fadI//arsC//recD//cysJ//ilvA//dsdA//speC//paaE//dhaL//ppsA//chiA//hmp//mraY//rffM//yqjH//murC//recD//purK//purC//fadM//fabH//phnN//glcB//cysJ//rffG//gltD//hycD//ppiA//phr//cysD//lacZ//glpE//puuD//pgpC//gnd//gnd//deoB//fabH//truB//allD//ilvG_1//deoD//allC//srlD//cpdB//glk//pdeH//glpX//phnM//garR//aroF//glpA//paaY//ulaG//hcaE//malZ//hycB//chbG//pnp//atoA//astD//entA//truB//hycF//araB//ycjG//trpA//idnO//patZ//udp//astE//pgm//ilvG_1//ldtB//idnD//hypB//aceF//cysI//ahpF//ruvA//phnO//thrS//nemA//dgcZ//leuB//uidA//paaB//preA//purK//dacC//paaB//recB//uxuA//gatY//entF//
CadC_pos	galK//cheB//rsmA//
CaiF_pos	ulaD//aroF//rffT//ravA//accD//
Cbl_pos	glgX//cynT//treC//dusB//cyaA//
CdaR_pos	napG//hyaA//dapD//fucO//polB//hyi//trpC//rffH//mhpD//
CecR_neg	sdhB//
ChbR_neg	amn//rtcA//truB//
ChbR_pos	fabB//ahpC//tdcG//
ComR_neg	
CpxR_neg	gapA//dinB//pdeL//
CpxR_pos	cheB//uvrC//hemA//rffG//yfdE//wecB//hcaF//talA//ilvG_1//gadB//gpmA//tnaA//fucA//entD//patD//ackA//uxuB//rffH//
Cra_neg	gdhA//ygeA//katG//paaF//lysA//murC//chbF//tdh//hycG//sgbH//pncB//pdeL//phr//astD//rnpB//rhaB//hemA//aspC//acnA//hcaC//deoC//glmU//glmS//lldD//pgaC//gadB//allE//phnM//fucU//dgcZ//astC//paaJ//tyrA//bglB//sucB//murI//phnO//guaA//tdh//carB//moeB//argI//guaA//murC//gntK//
Cra_pos	trpA//treC//mnmG//recD//speA//hcp//fadI//gloA//acs//glxR//moaA//pdeH//puuD//nrdB//uvrB//rutB//patZ//
CreB_neg	ubiG//
CreB_pos	rutA//
CsgD_neg	murD//cdd//
CsgD_pos	nadB//paaH//speC//
CsiR_neg	serC//entA//aroA//torA//
CspA_pos	ynfG//
CueR_neg	waaH//putA//gnd//
CueR_pos	hycF//katG//
CusR_pos	ppc//mpl//hcp//sufS//
CynR_neg	
CynR_pos	uvrC//citC//cyaA//
CysB_neg	dgcN//astE//atoD//
CysB_pos	fadI//atoB//wzb//rutA//pyrD//accA//ulaD//dsdA//ftsI//alaS//putA//malY//paaB//chbF//
CytR_neg	xylB//argC//recB//lhgO//paaY//caiA//fucU//paaJ//rutC//cysK//
DcuR_pos	dgcN//nfsA//ilvA//uxaB//
DeoR_neg	pdxA//waaY//allA//ulaD//citG//fabZ//
DhaR_neg	
DhaR_pos	ppsA//
DicA_neg	
DinJ-YafQ_neg	ilvM//
DnaA_neg	dmsB//uxuA//entF//trmD//tam//
DnaA_pos	leuB//ygeA//ansB//
DpiA_neg	
DpiA_pos	ybjG//ahpC//citD//nrdD//patZ//
DsdC_neg	
DsdC_pos	katE//dhaM//
EbgR_neg	
EnvR_neg	glcB//gcvP//
EnvY_pos	hcaE//cheR//
EvgA_pos	dadA//sucB//lsrF//lacA//prs//astD//
ExuR_neg	bioD//tpiA//speA//ansB//nrdF//bcsB//
FNR_neg	lsrF//gcvT//paaA//leuC//alaC//patZ//waaZ//napB//cmoM//dmsA//napA//ilvG_1//phnP//argE//puuA//deoC//argH//phnN//malZ//hmp//mhpE//phnM//leuA//moeA//paaZ//torA//recD//fdhF//lpd//paaY//narH//ychF//recB//nrdB//citG//glpA//ada//dhaL//gltD//betA//mazG//fucI//moaD//metF//
FNR_pos	patD//lpxD//fadD//pagP//garR//tyrB//speA//aroG//rhaA//glgC//prpC//waaH//ilvA//entC//purL//pykF//cysM//lpd//hcaD//ada//narH//aldA//rfe//allC//accA//relA//astC//ttdB//ilvG_1//eno//prpB//nrdE//rbsD//nagA//rsmA//pheT//gnd//bioB//lacA//mhpC//citG//cynS//phnL//sucB//nemA//mnmG//malP//rutA//fabG//purN//moaC//gltX//bioF//slt//alaC//pgm//paaJ//glmU//purA//nadB//treC//puuE//chbF//fabG//sdaA//preT//moeB//napH//argG//cysE//eno//nagA//bacA//rutB//kbaZ//hcaE//alkB//rutA//citX//aceB//rfe//nrdD//ulaE//cysD//ilvD//allD//bacA//hcaC//wecB//alaC//phr//cmoM//patD//ppc//pyrC//paaZ//
FabR_neg	aceA//dapB//puuB//
FadR_neg	nagA//rffG//ahpC//glpK//glyA//lysC//purD//frc//bcsZ//
FadR_pos	tadA//ilvE//tdcG//fabZ//tdh//cdd//deoC//puuE//wecC//carA//
FeaR_pos	glpB//poxB//
FhlA_pos	paaC//dhaM//cysK//murF//glpD//leuC//fbaA//pepD//
Fis_neg	murI//malS//malZ//fadA//allD//phnH//deoB//frdD//sgbU//purF//dhaK//nanA//alaA//slt//galK//pepD//purB//pdxA//nagA//fucI//fucA//mpaA//pyrD//purL//accA//idnD//glsA//patA//codA//melA//purA//atoD//torA//pdeL//murC//moaC//hyaB//dadA//eno//tdcB//cynS//ubiX//amiA//wzb//galM//bcsZ//
Fis_pos	rtcB//argC//dusB//lpd//pepD//hycG//mhpF//pdeR//ravA//queA//hemF//prpB//ppc//hypF//rhaD//add//sdhA//tnaA//ilvE//pdxA//rtcB//tauD//entF//moaA//phnL//ubiG//pepD//nfsA//preT//rutC//sdhB//rbsK//gltX//tam//preT//purC//pfkA//
FlhDC_neg	hflX//dapD//
FlhDC_pos	bioB//mtlD//yedX//cpdB//cysG//wecC//puuB//umuD//wecC//aceF//glxK//ubiA//
FliZ_neg	amiA//guaA//ribA//manA//aspC//
FucR_pos	bcsB//tadA//aspA//mpaA//purH//xdhB//
Fur_neg	ilvD//paaZ//preA//queA//pyrC//icd//fruK//rhaD//carB//hycB//purM//deoC//glyA//alkA//idnO//napG//sucB//idnO//uvrC//hemH//uxuA//leuC//amn//rhaD//hyi//hycF//wecC//gpmM//sdhB//hycG//hycE//garL//ahpC//umuD//apaH//dmsC//mraY//yiaK//alaA//frc//mpaA//citX//accA//codA//ndh//cysJ//pspE//bglB//dusB//aspC//upp//garL//tauD//
Fur_pos	phnM//trpB//sodA//nadA//metE//deoD//cysE//purA//ynfG//astA//nirD//gabD//fucO//gabT//sucD//srlD//
GadE-RcsB_pos	cysJ//speB//caiC//allE//speC//
GadE_pos	dusB//glmS//fucA//puuD//ubiC//ugpQ//putA//truB//hcaE//argF//
GadW_neg	bcsZ//sufS//udp//
GadW_pos	nanM//nanA//uidA//pheS//
GadX_neg	slt//hycB//
GadX_pos	tadA//purM//ndh//cheB//xapA//glpX//add//cynT//galT//glmS//aroF//
GalR_neg	truB//tehB//gcvT//recB//trpB//ulaF//
GalR_pos	cysK//asnB//uxaC//xdhB//
GalS_neg	amiA//glcF//kbaZ//hcaE//bioF//treC//
GalS_pos	gnd//bioA//serA//gatY//
GatR_neg	idnK//fabI//citX//
GcvA_neg	idnO//purE//pgm//
GcvA_pos	sodB//amiA//rbsK//
GlcC_neg	
GlcC_pos	purL//phnN//purH//
GlpR_neg	tdcE//ubiC//hyaA//hyaB//gatD//tam//tam//
GlrR_pos	
GntR_neg	epd//allE//pykF//cueO//icd//rbsD//rbsD//umuC//gpmA//
GutM_pos	ugpQ//eno//gpmM//
H-NS_neg	mngB//lpd//ada//glgB//phnG//mngB//glcD//ttdB//aceE//prpD//citG//tdh//allE//lsrG//paaF//mdh//relA//lsrG//patD//ung//dhaM//acs//ahpF//entB//nrdB//malP//purM//cyoE//narI//astB//trmA//recB//amn//lldD//fabB//nanM//nadC//allB//glnA//ccp//epd//glcF//dmsC//gabT//rffM//pdeL//atoD//malY//ychF//rfe//purN//
H-NS_pos	sdhD//glnA//aceF//prpD//ynfG//gpmA//dgcN//trmD//zwf//phr//psd//alkB//polB//mhpC//murG//
HU_neg	dkgB//dinB//pflB//glcD//glxK//idnK//deoD//
HU_pos	
HcaR_neg	
HcaR_pos	cysC//pdeR//
HdfR_neg	
HdfR_pos	
HigA_neg	gabT//
HigB-HigA_neg	ansB//
HipAB_neg	pyrC//glgA//
HipB_neg	fdhF//xylB//lacZ//
HprR_neg	cpdB//hemF//
HprR_pos	chbF//hemL//
HyfR_pos	paaJ//
HypT_neg	prpD//mhpA//
HypT_pos	paaA//fucK//pheT//ilvD//lpxA//
IHF_neg	rutA//gadB//tnaA//cpdB//garK//prs//ldtB//pepD//paaE//fabB//manA//accC//kbaZ//glnA//glgA//fadI//gdhA//glpD//guaA//phnG//fumB//dgkA//ruvA//waaY//srlD//nrfA//nadB//lacA//tktB//lsrG//serC//ttdB//edd//chbF//ilvM//aldB//gadA//argE//folE//fabI//paaG//dadA//hcaF//
IHF_pos	prpC//ulaG//narI//fadD//argB//umuC//argA//entB//uxaB//ravA//xylA//hpt//deoD//puuA//gntK//waaH//purF//garR//mraY//queA//trpE//gcvP//ravA//dadA//phnJ//entD//kbaZ//paaZ//murF//gpmM//ynfG//pgi//lpxC//pyrC//paaC//cyoE//nrdE//napH//hcaF//prpB//alaC//pepD//accC//nrdB//rffT//pgaD//lpxA//glpE//paaK//psd//cadA//gatY//paaY//nrdA//nfsA//hycF//paaH//folA//lldD//yedX//cadA//wrbA//aroG//umuD//lsrF//fau//putA//rutA//garL//mpaA//mngB//
IclR_neg	glpK//pncB//nrfA//
IdnR_neg	fadB//pyrC//
IdnR_pos	sbcD//fabG//chiA//phnH//
IlvY_neg	
IlvY_pos	paaC//
IscR_neg	mhpC//puuB//allB//fabA//ftsI//nrfD//
IscR_pos	phnL//dhaK//
KdgR_neg	dhaL//acnB//
KdpE_pos	bioA//
LacI_neg	paaA//dkgA//mhpC//
LeuO_neg	
LeuO_pos	gloA//uvrC//xapA//paaG//pgaB//yfdE//
LexA_neg	accD//cpdB//uidA//ilvB//hcaB//fadJ//mhpC//mdh//cysI//pdeL//aldA//argC//ung//astD//dgcZ//adhE//gcvP//aldA//gntK//xdhC//gltA//hycE//puuB//
LldR_neg	hchA//fdhF//
LldR_pos	paaI//argC//
LrhA_neg	
LrhA_pos	
Lrp_neg	aldA//ppc//cyoE//hyaA//glgA//thrS//pdeF//leuA//dapD//tdcE//prpE//kbl//polB//ilvD//accC//rsmA//galM//glpK//uxuA//phoA//aspA//murC//allD//
Lrp_pos	talA//rimK//wzb//ampD//napG//pykF//upp//cadA//avtA//garD//pyrD//frdD//paaF//moaA//purB//hycG//dacC//puuC//uxuA//pgk//
LsrR_neg	fau//gadB//sucD//manA//alaS//
LysR_neg	
LysR_pos	entD//
MalI_neg	epd//torC//
MalT_pos	paaK//moaA//ynfF//pheS//glcB//gcvH//
MarA_neg	purK//
MarA_pos	ackA//metA//ung//lyxK//mraY//uxuB//asnA//nemA//fucA//puuC//mhpB//gcvT//gloA//bcsZ//guaB//malZ//murF//xdhA//poxB//galK//ssuE//glcF//ubiA//
MarR_neg	
MatA_neg	dadA//
MatA_pos	
MazE-MazF_neg	garK//
MazE_neg	murE//
McbR_neg	
McbR_pos	
MelR_neg	ygeA//epd//
MelR_pos	ldtC//bcsB//
MetJ_neg	hyaA//katE//betA//sgbE//fucO//aceF//avtA//pepD//sufS//frdA//
MetR_neg	preT//
MetR_pos	aspC//moeB//epd//eno//
MhpR_pos	caiC//dmsC//leuA//ssuD//cysC//leuA//
Mlc_neg	glpK//rutD//nrdB//aroG//
MlrA_pos	murF//
MngR_neg	pheT//arsC//
MntR_neg	nanE//
MntR_pos	dgcZ//
ModE_neg	recF//aroG//wecE//katG//ruvA//bioD//uxuB//tdcE//
ModE_pos	mpl//cysC//asnB//entD//gpsA//prpC//lsrG//purH//dapD//
MprA_neg	gltD//trmA//phoA//
MqsA_neg	sdhA//patD//
MraZ_neg	ccp//deoC//entA//murI//dapB//ygeA//fau//rffM//murC//truB//
MurR_neg	gapA//rffG//gatZ//
MurR_pos	
Nac_neg	fabD//nagA//ung//
Nac_pos	ppsA//acs//phnN//cyoE//cpdB//sucB//araB//hcaB//
NadR_neg	napG//sodB//uxaA//puuE//
NagC_neg	paaY//fdhF//pdeH//pgk//bioF//pgaB//cysN//gltB//napH//pheT//accC//ttdA//glcF//psd//tdcG//gor//trmA//glpQ//
NagC_pos	manA//hmp//
NanR_neg	putA//arsC//pagP//glgA//waaZ//apaH//
NanR_pos	
NarL_neg	purL//leuD//ftsI//rtcA//accD//mhpE//mhpF//fadM//paaA//nagA//astA//nanK//mdh//leuB//torA//torA//cysG//frdC//lysU//aldB//cysH//kbaZ//glcF//aroA//entD//purK//asnB//kbl//
NarL_pos	accA//gapA//tynA//atoD//cpdB//araA//glsA//murE//recD//rpiB//truB//napG//yedX//mhpF//pflB//
NarP_neg	purA//hycE//allD//ldtB//ampC//
NarP_pos	melA//moaC//pnp//frdA//ilvA//rffC//rutA//paaC//nagB//uvrB//ldtB//lyxK//astB//fes//
NemR_neg	dinB//glpK//
NhaR_pos	dhaL//carA//glgP//gltX//lsrF//
NikR_neg	acnA//
NimR_neg	glgX//
NorR_neg	
NorR_pos	glgC//
NrdR_neg	aroG//aroH//gcvT//malY//
NsrR_neg	gdhA//tynA//dapD//paaI//argA//caiD//ogt//paaI//rutE//srlD//glgX//ddlB//ilvB//ldtB//argG//mhpF//prs//cdd//gltB//acnB//ynfF//nrdD//cyaA//polA//glcB//melA//speC//murE//mhpC//aceA//ravA//umuC//rhaB//entH//murI//alkA//gdhA//paaY//folE//cyoE//
NtrC_neg	rtcA//argC//
NtrC_pos	speB//entA//glk//prs//ugpQ//murE//entC//paaZ//phnH//mhpC//argI//dmsB//ilvG_1//moaD//ilvC//pdeH//fadH//sgbU//garD//yeaE//hyaB//
OmpR_neg	yqhD//umuC//hmp//ldtB//edd//
OmpR_pos	tnaA//slt//rimK//hpt//
OxyR_neg	puuB//uidA//dgcZ//astC//wzc//
OxyR_pos	sodB//prs//preT//ldtD//murE//wzb//nadA//glcD//pck//glpK//tynA//fucO//
PaaX_neg	phnN//sbcC//cynT//trpB//trmD//fadA//fabZ//ilvB//hyaC//
PdeL_pos	glnA//
PdhR_neg	hcaB//fumA//fadH//argE//nanA//araA//fes//bioB//ilvM//moaD//hycC//lysU//purB//bioA//wecB//yedX//nadB//nemA//purE//fabD//frdB//zwf//argI//
PdhR_pos	umuC//aldA//
PepA_neg	lsrF//deoB//
PgrR_neg	pheS//metF//
PhoB_neg	ubiX//malQ//dgcZ//nfsA//atoB//
PhoB_pos	alaA//metF//glgX//chiA//lsrK//cynS//lpxC//ubiC//sdhC//murQ//betB//ubiC//pgaB//dgcC//moaA//ftsI//prmC//
PhoP_neg	nanM//guaA//wecB//
PhoP_pos	yqhD//glcF//paaE//allC//ilvB//allA//prpE//aroA//adeD//ilvN//rutB//wecC//alaS//bioD//uvrA//torA//deoC//ilvN//pdeH//uxaA//paaH//cysH//gcl//galT//atoA//hyi//cueO//sucA//umuC//add//hypB//
PrpR_neg	
PrpR_pos	serA//fau//rffC//mnmG//
PspF_neg	
PspF_pos	serA//
PurR_neg	cyaA//prpC//sdaA//fadH//paaE//pgaD//hchA//gdhA//cysE//cynS//murG//paaG//murD//ynfH//rffG//oxc//dgcC//pdeL//rsmH//puuA//napG//sucB//nanE//gdhA//uvrC//argF//
PutA_neg	purD//talA//
PuuR_neg	rbsD//tdcB//hemA//purK//glyA//bacA//
QseB_neg	
QseB_pos	
RbsR_neg	dmsB//hcaE//aldA//cysH//pspE//
RbsR_pos	caiD//
RcdA_neg	
RcdA_pos	purM//
RclR_pos	
RcnR_neg	lysA//
RcsAB_neg	caiD//
RcsAB_pos	rnpB//hcp//
RcsB-BglJ_pos	tdh//astC//
RcsB_neg	folA//
RcsB_pos	hemA//carB//patD//
RelB-RelE_neg	glpC//
RelB_neg	garK//
RhaR_pos	
RhaS_pos	torA//ilvE//puuB//phnM//
Rob_neg	
Rob_pos	phnH//mraY//asnA//astA//murC//aroA//relA//asnB//sucB//phnH//fes//hycB//rffH//hemH//ydcS//hycF//fruK//asnB//astD//
RstA_neg	pfkA//mdh//
RstA_pos	lysU//
RtcR_pos	ycjG//moeB//
RutR_neg	pyrC//cysE//alkB//araD//ssuE//tdcB//nrdA//nirD//fucO//acnA//
RutR_pos	ubiG//
SdiA_neg	
SdiA_pos	
SgrR_neg	xdhC//
SgrR_pos	cysK//glnA//
SlyA_neg	
SlyA_pos	sodA//atoA//aroL//metL//psd//idnK//ychF//glmU//iscS//
SoxR_neg	
SoxR_pos	alsE//
SoxS_neg	
SoxS_pos	ilvM//trpD//nanE//aldA//nirB//aroA//mltF//ilvE//aceF//allC//fabH//malS//bioA//xapA//eno//torC//ndh//sbcD//nrfC//fabB//paaC//ampD//fruK//cysI//ddlB//lhgO//
SrlR_neg	slt//purM//eda//
StpA_neg	uxuA//dacC//glnA//
SutR_neg	folE//phnO//
SutR_pos	
TdcA_pos	fadH//citE//sucA//lysC//astE//
TdcR_pos	mraY//rutD//nfsA//fumC//torA//
TorR_neg	ppc//
TorR_pos	ddlB//puuB//ampC//wzb//
TreR_neg	dgcN//tadA//
TrpR_neg	murC//sucB//murF//uvrA//allB//lysA//queA//asnB//metB//
TtdR_pos	poxB//fadJ//
TyrR_neg	ubiX//edd//tktB//paaY//deoB//tdcB//icd//
TyrR_pos	puuC//prpB//idnK//
UhpA_pos	nrdA//
UidR_neg	cynS//guaB//
UlaR_neg	rffG//fabG//pgi//gatD//uidA//
UvrY_pos	aspA//hyaC//
UxuR_neg	nadB//ycjG//alaA//ychF//argB//
XapR_pos	guaB//glgC//
XylR_neg	
XylR_pos	asnB//grxA//folE//
YdeO_neg	
YdeO_pos	paaI//glpC//sodA//
YefM-YoeB_neg	paaI//
YefM_neg	hemF//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	amn//fucU//rffT//napG//mdh//bcsZ//
YjjQ_neg	rhaA//hchA//
YpdB_pos	
YqhC_pos	nirD//dkgA//
YqjI_neg	sodB//
ZntR_pos	acnB//
ZraR_pos	
Zur_neg	napB//
