# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	dkgA//tyrB//
CspA_pos	bcsB//
CueR_neg	glpX//dsdA//prpD//
CueR_pos	bacA//dapB//
CusR_pos	trmA//pgaD//ydcS//ansB//
CynR_neg	
CynR_pos	cysK//entB//allE//
CysB_neg	purA//ppiA//dapB//
CysB_pos	gatZ//glpX//gdhA//astB//uvrB//sucC//glgP//glpA//yedX//gabD//gapA//argI//phnM//rbsD//
CytR_neg	tyrA//nrdE//leuA//ilvC//ynfF//rbsK//gcvH//lsrF//hemH//mpl//
DcuR_pos	glpA//rffM//preT//pgaB//
DeoR_neg	pgi//preA//hpt//patA//astE//speB//
DhaR_neg	
DhaR_pos	pdeF//
DicA_neg	
DinJ-YafQ_neg	nrdF//
DnaA_neg	fucA//hpt//atoD//murQ//accC//
DnaA_pos	sgbU//ilvB//uxuB//
DpiA_neg	
DpiA_pos	galT//nrdD//ilvI//pyrC//ychF//
DsdC_neg	
DsdC_pos	pflB//prpD//
EbgR_neg	
EnvR_neg	dadX//patA//
EnvY_pos	glpA//cysD//
EvgA_pos	luxS//trmD//guaA//upp//aceF//aspC//
ExuR_neg	glgB//nanA//chbG//idnO//guaB//cysD//
FNR_neg	malP//argI//xapA//hypB//ilvM//rnpB//deoA//aroA//glcD//cmoM//fucO//prpD//cynT//dgcN//mnmG//fumB//pdeR//mdh//pgaB//trpA//wzc//katE//feaB//gabT//galM//paaZ//lysA//cyoE//trpC//napH//lhgO//mazG//gadA//hcaF//purH//pgaB//aceE//yeaE//citF//entE//gltB//pncB//queA//ackA//
FNR_pos	tdcD//gltX//dacC//nrdF//dkgA//lsrF//umpH//cheR//sgbU//asnB//citF//bglB//iscS//paaH//aroG//tam//entA//nfsB//alsE//pgaC//udp//xdhA//dapB//metF//gpmA//gutQ//tyrA//allA//fabD//gcvP//puuC//hpt//aceE//ydcS//luxS//uxaA//lsrK//lpxA//ppiA//rhaA//cysG//bcsZ//mnmG//ynfH//yedX//murI//mnmG//cadA//hcaD//relA//pdxA//upp//alkA//purD//recF//argB//uxuA//yiaK//arsC//puuE//cysC//nanE//rpiB//entB//ubiA//mpl//metK//tyrB//caiA//fabB//fadI//lpxC//idnD//phnM//bioC//gor//malZ//mpl//sgbU//glpB//napB//phnP//ttdB//speA//argG//glpQ//puuC//metB//rffT//fucI//ampD//ugpQ//acs//hypF//upp//hcaB//
FabR_neg	waaH//fabG//fucO//
FadR_neg	mhpE//xapA//napH//hmp//sgbU//putA//glgB//pck//nanA//
FadR_pos	cmoM//caiD//waaH//accD//frdD//wecE//rutC//gpsA//cyaA//hchA//
FeaR_pos	glgA//xapA//
FhlA_pos	slt//rutD//lldD//ulaG//lacZ//aldB//srkA//argB//
Fis_neg	dapB//ttdB//serC//recD//dmsA//bcsB//hycE//dmsA//uvrB//hyaB//kbaZ//rfe//fadA//srlD//sdhB//fruK//garL//sdhB//citF//cysE//uvrB//srkA//lpxA//moaE//acs//sgbU//glcF//nagB//upp//aroG//malZ//leuD//fadM//eno//mhpF//mhpE//wrbA//glgP//dgcC//entD//hchA//torA//glgC//lacA//yeaG//uxaB//
Fis_pos	hyi//gltA//purM//trpB//tpiA//patZ//deoB//pykF//rsmH//nrfD//accD//mazG//cysG//icd//bioD//srkA//slt//tdcE//nagB//lpxA//ssuE//cheB//prpC//sucB//paaB//glpA//metC//ccp//hemL//glgX//srlD//ilvN//hcp//nanA//pheT//lsrG//ftsI//
FlhDC_neg	upp//cadA//
FlhDC_pos	cysN//lysA//fbaB//glpB//cysC//galK//cysH//alsE//bcsZ//sbcD//speC//idnD//
FliZ_neg	glgC//glpK//moaC//aroF//paaB//
FucR_pos	tdcB//ahpF//aroL//nrfD//nadA//mhpB//
Fur_neg	metE//lpxD//bioA//nrdF//fadH//lysC//upp//chiA//moaD//cysJ//fucU//nanK//metF//mhpA//tdcB//ilvC//avtA//pck//wecC//lhgO//cueO//napA//argF//frc//wrbA//ychF//lysU//gcl//metK//add//hcaD//mhpF//kbl//lsrG//manA//folE//fabD//dkgB//purK//bcsZ//garK//sucB//rffG//nfsB//idnK//gcd//pflB//kbaY//gudD//lacA//asnA//gutQ//glpX//
Fur_pos	gatY//entE//fabB//astD//ychF//yfdE//ilvN//gcd//ygeA//murF//dmsA//garD//fabI//malS//glmU//aroH//
GadE-RcsB_pos	zwf//tdcD//fadH//sucA//fruK//
GadE_pos	glgB//fes//ravA//pyrD//paaA//fabA//tnaA//avtA//fadM//ppiA//
GadW_neg	trmA//purN//manA//
GadW_pos	idnD//fabA//metB//lysA//
GadX_neg	araD//ldtD//
GadX_pos	deoD//frdD//eno//ruvB//ubiC//iscS//sdhA//aspA//paaA//moaC//paaK//
GalR_neg	metF//uvrA//pdeF//phnN//citG//ydcS//
GalR_pos	pyrC//argF//uidA//fabH//
GalS_neg	ilvH//metF//ilvD//treC//glgB//gatZ//
GalS_pos	prpE//polB//wzc//hycE//
GatR_neg	kbaZ//ilvG_1//xdhB//
GcvA_neg	xdhB//murQ//pgi//
GcvA_pos	citE//pck//glcF//
GlcC_neg	
GlcC_pos	mhpC//moeA//moaC//
GlpR_neg	citE//aceB//lacZ//ilvA//ldtB//purB//deoC//
GlrR_pos	
GntR_neg	umuD//wecE//cmoM//sbcC//acnA//tpiA//rpiB//astC//deoA//
GutM_pos	sgbU//hycE//puuD//
H-NS_neg	atoB//hycE//patA//malP//yqjH//sodA//ahpC//glpX//asnB//kbaY//arsC//nanM//entD//dadX//lpxC//adiA//metL//paaH//gntK//dmsB//gabT//murI//ppsA//ubiC//gnd//cysH//eno//glpQ//pepD//sdhB//purF//umuD//ilvI//ugpQ//nrfA//idnD//paaK//chbF//glcB//entH//umuC//hchA//aroH//alaS//gnd//murF//mhpF//aroH//bioC//rffH//codA//
H-NS_pos	frdD//puuA//rffH//atoB//nagB//phnJ//sucD//tdcB//gapA//trpE//cynT//pncB//citD//cysJ//sbcD//
HU_neg	glpB//folE//uxuB//tehB//torA//nfsB//glgP//
HU_pos	
HcaR_neg	
HcaR_pos	alaA//fadH//
HdfR_neg	
HdfR_pos	
HigA_neg	polA//
HigB-HigA_neg	nrdA//
HipAB_neg	sgbU//lpd//
HipB_neg	rhaD//phnM//paaB//
HprR_neg	uxaC//hcaC//
HprR_pos	hchA//ogt//
HyfR_pos	pgm//
HypT_neg	aspA//glpK//
HypT_pos	yiaK//cysM//citD//tktB//uidA//
IHF_neg	frdB//rutD//glgA//uidA//tktB//alaA//lsrK//xdhA//ugpQ//srkA//glmU//upp//leuA//gdhA//nadC//nemA//dapB//argH//luxS//iscS//fumB//lhgO//cysC//murG//ruvB//gpsA//hcaB//citF//ynfE//argC//dusB//gcvT//ppc//aroH//purF//yedX//nfsB//zwf//ttdA//torC//lpxD//pgi//hycE//
IHF_pos	dhaM//pfkA//prpD//phr//fucK//poxB//hyaA//deoB//lacZ//slt//pepD//gntK//ssuE//glk//aceE//pgaC//ugpQ//psd//slt//mdh//hcaB//adeD//nadC//dusB//pck//patA//ttdA//xdhC//mdh//nadC//galM//hyaB//fumA//mhpD//cysI//allA//xdhC//lacZ//sufS//waaH//acnB//torA//eno//wzc//citX//pdeR//polB//glgC//apaH//carB//mhpA//waaZ//accA//caiC//purH//ilvC//sufS//gnd//fadM//purB//astA//nanK//preT//relA//cysI//paaG//ydcS//polA//preT//dgkA//polB//
IclR_neg	fadI//upp//ampD//
IdnR_neg	deoB//ilvH//
IdnR_pos	rutD//kbl//nirD//waaH//
IlvY_neg	
IlvY_pos	aroH//
IscR_neg	pfkA//uxaB//udp//lsrK//eda//phnI//
IscR_pos	ydcS//argA//
KdgR_neg	galM//pdeF//
KdpE_pos	alaC//
LacI_neg	polA//bioF//ydcS//
LeuO_neg	
LeuO_pos	bioC//phnL//kbl//argF//ygeA//ung//
LexA_neg	nadA//gapA//citX//hypB//entE//katE//hypF//purH//metF//paaZ//cysD//paaH//hycC//umuD//rffC//accA//pyrD//yqhD//garK//trpA//purN//lysA//gatZ//
LldR_neg	fadJ//guaA//
LldR_pos	recD//poxB//
LrhA_neg	
LrhA_pos	
Lrp_neg	dapB//ppsA//chbG//ilvC//metB//gntK//fabD//accA//garL//queA//wecC//gloA//nrdB//ribA//argG//fadA//hycC//bioA//rfe//garK//fabZ//chbG//napA//
Lrp_pos	hycF//carA//deoC//metL//dmsA//xapA//yeaG//dgcC//purF//chiA//glk//cysD//deoA//galT//prs//alsE//trmA//gadA//glxK//hyaB//
LsrR_neg	malP//gloA//gudD//truB//cysI//
LysR_neg	
LysR_pos	paaZ//
MalI_neg	hchA//rsmH//
MalT_pos	galE//puuB//ung//argC//lsrK//malY//
MarA_neg	entA//
MarA_pos	xylB//ilvM//mpl//yfdE//yfdE//hypB//cysK//dkgB//fadI//hypB//ppc//phnH//yedX//pfkA//mazG//fadE//xapA//preT//sodB//ygeA//entB//nrfC//metC//
MarR_neg	
MatA_neg	hmp//
MatA_pos	
MazE-MazF_neg	fadJ//
MazE_neg	amiA//
McbR_neg	
McbR_pos	
MelR_neg	ldtB//lysU//
MelR_pos	wecE//hemA//
MetJ_neg	trpE//pdeF//glpB//prpC//puuE//argC//lpxD//katE//glsA//cysM//
MetR_neg	ogt//
MetR_pos	accC//puuB//fabD//fabI//
MhpR_pos	gcvH//fadB//pyrC//trmD//cysC//fabA//
Mlc_neg	dadX//nrfA//cysJ//paaI//
MlrA_pos	betB//
MngR_neg	dadA//frdA//
MntR_neg	hycB//
MntR_pos	fes//
ModE_neg	phnG//gpmA//cheB//tktB//dgcZ//hchA//uxaA//nrfA//
ModE_pos	murI//accA//patD//entF//paaB//betA//nfsB//tnaA//lldD//
MprA_neg	gabD//fes//xdhB//
MqsA_neg	torC//trpE//
MraZ_neg	uxaA//metH//puuB//rsmA//tauD//citC//talA//aroH//gatZ//prpE//
MurR_neg	accC//hycC//rimK//
MurR_pos	
Nac_neg	srlD//citX//deoD//
Nac_pos	cyoE//argF//tdcD//eda//mpaA//purM//malQ//ulaF//
NadR_neg	rsmH//yedX//ldtB//kbl//
NagC_neg	dapB//sbcC//ndh//gloA//dkgB//betA//udp//aroH//purD//trpA//nrfC//lysC//malY//sucC//carA//ilvC//ada//pdxA//
NagC_pos	melA//sdaA//
NanR_neg	tdcE//cynS//ravA//murG//lsrG//rutE//
NanR_pos	
NarL_neg	gabD//alaA//ansB//glpK//hemH//psd//bioC//truB//dhaM//pck//ynfF//moaA//asnB//murE//hycF//metC//dgcN//waaY//dkgB//nanE//pflB//pdeH//metL//araD//citC//pgaD//rffH//sbcC//
NarL_pos	deoB//uvrA//lacA//uxuB//glgA//fau//rnpB//bcsZ//phnI//wecE//relA//gcvT//aspA//glgB//recB//
NarP_neg	aroL//udp//sucA//alaS//iscS//
NarP_pos	hcaE//hemF//nirD//phnP//ccp//ulaG//rfe//aspA//ilvM//araA//adhE//srlD//astA//xdhA//
NemR_neg	pspE//glcB//
NhaR_pos	garR//ygeA//rhaA//phnI//epd//
NikR_neg	nrdA//
NimR_neg	fes//
NorR_neg	
NorR_pos	hycE//
NrdR_neg	mhpA//aceE//glpD//rfe//
NsrR_neg	mhpB//murF//sgbH//wecC//gcvT//nrdE//alkA//pagP//queA//paaF//bioF//allA//xdhB//cynT//ydcS//gatD//metL//fau//bglB//nrdA//prs//ppc//ftnA//ulaD//dsdA//fadM//sodB//pgm//nrdA//allA//nanE//lhgO//pheS//thrS//glmS//atoB//psd//ilvB//alkA//manA//
NtrC_neg	ilvG_1//tam//
NtrC_pos	serC//leuA//purK//argI//phr//trpD//guaA//paaF//speB//tynA//waaH//carB//gcd//deoC//ldtD//fucK//polA//prmC//rtcB//cueO//gadB//
OmpR_neg	dhaK//hypB//bioB//aceB//mngB//
OmpR_pos	bioD//argE//entB//argA//
OxyR_neg	moeA//nemA//nanM//nirB//cueO//
OxyR_pos	cysD//pdeL//purE//arsC//nrfD//fes//ahpC//grxA//eno//allE//pfkA//tpiA//
PaaX_neg	cysD//paaK//citX//paaY//trpB//glcF//allD//caiB//cysI//
PdeL_pos	acnB//
PdhR_neg	rtcB//dgkA//folA//puuA//relA//rutB//tehB//accD//eno//purE//idnD//tktB//malP//udp//umuD//bcsB//entF//ygeA//waaH//gntK//purC//ulaG//fadB//
PdhR_pos	fabD//patD//
PepA_neg	alsE//caiA//
PgrR_neg	dmsB//hflX//
PhoB_neg	ilvM//gatZ//purK//frc//wzb//
PhoB_pos	murC//dsdA//hycB//oxc//yqjH//allB//hycF//rutC//paaH//sufS//tadA//lpxA//sbcD//pspE//adhE//bglB//hycE//
PhoP_neg	argG//ppsA//wecB//
PhoP_pos	gpmA//hemL//atoA//glk//bioB//tdcG//ddlB//ravA//prmC//rffM//phnP//malS//tyrB//fadD//lysA//manA//metF//ilvI//garL//prpD//glgX//gadB//yfdE//aroG//rffG//glpA//metK//citE//phoA//aspA//fadD//
PrpR_neg	
PrpR_pos	rffH//glpX//glyA//carA//
PspF_neg	
PspF_pos	paaB//
PurR_neg	cysD//torA//cysI//dusB//argG//gnd//xdhA//tpiA//phnL//gpsA//nrdD//serC//tynA//alsE//rfe//gltX//glnA//dacC//glpD//fadJ//aceF//moaE//glpK//trmA//phnI//mhpD//
PutA_neg	cysM//glsA//
PuuR_neg	glyA//cpdB//pgk//yedX//allA//gcd//
QseB_neg	
QseB_pos	
RbsR_neg	wzc//betB//alaS//pyrD//gpmA//
RbsR_pos	glyA//
RcdA_neg	
RcdA_pos	dgcC//
RclR_pos	
RcnR_neg	yqjH//
RcsAB_neg	tdcD//
RcsAB_pos	fadB//gatY//
RcsB-BglJ_pos	ldtD//glpA//
RcsB_neg	mhpD//
RcsB_pos	srkA//bioD//ynfE//
RelB-RelE_neg	manA//
RelB_neg	mngB//
RhaR_pos	
RhaS_pos	fadB//garL//trpB//cheB//
Rob_neg	
Rob_pos	ynfE//lacA//xylA//sdhD//glgA//cysG//ruvA//alkA//purN//cmoM//ilvM//amiA//phnI//murD//dusB//atoD//fabA//alkB//agp//
RstA_neg	nadB//gabT//
RstA_pos	rhaA//
RtcR_pos	sufS//mazG//
RutR_neg	wecE//purM//wzb//dsdA//aceE//purA//pykF//pdxA//malY//sodB//
RutR_pos	yqjH//
SdiA_neg	
SdiA_pos	
SgrR_neg	moeA//
SgrR_pos	preA//mhpE//
SlyA_neg	
SlyA_pos	idnK//lysA//ccp//malS//hpt//ilvC//patZ//glk//dhaM//
SoxR_neg	
SoxR_pos	ulaG//
SoxS_neg	
SoxS_pos	pdxA//frdA//thrS//sbcD//leuB//cyoE//argC//ulaD//ackA//gpmM//ilvG_1//sodA//rnpB//gcvP//aroA//puuC//cysD//dgcZ//ttdB//mnmG//fucO//katG//nrfD//trpA//codA//ung//
SrlR_neg	hycE//apaH//galM//
StpA_neg	trpB//patD//narG//
SutR_neg	mhpD//umuC//
SutR_pos	
TdcA_pos	galM//deoD//entH//kbl//trmD//
TdcR_pos	rffG//rnpB//epd//wecB//bioD//
TorR_neg	araB//
TorR_pos	mhpA//sbcC//idnD//ascB//
TreR_neg	metC//ssuD//
TrpR_neg	pgaC//yeaG//adeD//xdhA//bioD//glxR//argG//tyrB//mnmG//
TtdR_pos	gcvH//murE//
TyrR_neg	purD//ynfH//narH//araA//pck//gltX//metK//
TyrR_pos	dmsC//cynT//mhpF//
UhpA_pos	polA//
UidR_neg	malY//gatZ//
UlaR_neg	fabG//ttdB//araB//leuD//chiA//
UvrY_pos	sbcC//cysG//
UxuR_neg	cynS//nrdB//argD//wzb//gcd//
XapR_pos	nagA//fabB//
XylR_neg	
XylR_pos	araD//xylA//ung//
YdeO_neg	
YdeO_pos	fucO//hemH//garR//
YefM-YoeB_neg	paaA//
YefM_neg	wrbA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ftnA//fabA//narG//tdcG//grxA//glpK//
YjjQ_neg	hemF//purN//
YpdB_pos	
YqhC_pos	argE//ldtB//
YqjI_neg	yqhD//
ZntR_pos	lsrF//
ZraR_pos	
Zur_neg	sgbU//
