# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fumC//wecE//
H-NS_pos	gpmM//leuA//icd//nrfA//gabT//fumC//tynA//ttdB//frdD//glgB//prpD//purM//fabA//tdcG//alaC//
HU_neg	mpl//tauD//phnO//metH//purK//entF//glxR//
HU_pos	
HcaR_neg	
HcaR_pos	bioB//ndh//
HdfR_neg	
HdfR_pos	
HigA_neg	torC//
HigB-HigA_neg	atoA//
HipAB_neg	mdh//purM//
HipB_neg	nrdF//nanE//mazG//
HprR_neg	moaC//hycD//
HprR_pos	rbsD//citF//
HyfR_pos	xapA//
HypT_neg	rhaB//tnaA//
HypT_pos	psd//ilvG_1//aroF//gltX//murF//
IHF_neg	paaE//aroH//frdA//purK//lhgO//waaZ//galE//guaB//ilvM//uxuB//dgkA//sodB//wrbA//napB//accD//entF//aroG//ccp//ynfH//ribA//fumB//dgcC//ribA//dhaK//wecB//argE//fumC//tnaA//paaE//phnL//phnJ//rpiB//malY//acs//dgkA//hcaE//glgA//lsrG//uxuB//pgk//sodA//phnI//hcp//
IHF_pos	purN//uidA//araB//nfsB//ilvA//ldtB//leuD//agp//hycD//cyoE//serA//aroG//rffH//cysJ//ppiA//dmsA//pflB//uxaB//allC//deoB//malP//rutA//recB//glgP//ilvM//mazG//dinB//cysD//dmsA//leuA//hycF//treC//betA//fadE//guaB//pepD//allA//mhpB//allE//fucU//ttdA//fucU//yiaK//prs//mhpA//glpA//nanE//apaH//tdcB//deoD//citF//appA//manA//rtcB//puuC//astD//serC//ttdA//bioC//fumB//purL//srlD//ilvA//garR//phnJ//cheB//gcvH//phr//lldD//yeaG//lysU//
IclR_neg	citC//phr//glsA//
IdnR_neg	amiA//adhE//
IdnR_pos	leuD//yfdE//lpxD//zwf//
IlvY_neg	
IlvY_pos	hycE//
IscR_neg	fadA//pdxA//bioD//puuD//ribA//truB//
IscR_pos	sdhA//dinB//
KdgR_neg	paaH//pheS//
KdpE_pos	napB//
LacI_neg	ulaG//tdcB//caiC//
LeuO_neg	
LeuO_pos	glcD//aceF//ilvM//lyxK//sgbU//mnmG//
LexA_neg	nirB//lysC//frdB//cysG//napG//betB//glgP//slt//ansB//hyaC//waaY//xylA//psd//lacZ//fabG//pdeR//puuE//deoC//ilvH//sucA//polA//aceA//narG//
LldR_neg	murC//puuD//
LldR_pos	ldtD//paaE//
LrhA_neg	
LrhA_pos	
Lrp_neg	uvrA//cysK//uxaB//patD//gadA//serC//fabH//tnaA//paaZ//chiA//glxR//rtcB//phnN//caiC//pspE//patA//rtcB//fau//ampD//folA//citF//deoA//murE//
Lrp_pos	trpD//metB//moeA//fadM//wecB//nrdA//cheB//pyrD//nanM//lsrK//ilvA//glxR//hyaA//treC//pyrD//lhgO//paaC//lsrG//chbG//rtcA//
LsrR_neg	cyaA//phnH//rpiB//gatZ//malP//
LysR_neg	
LysR_pos	prmC//
MalI_neg	wecC//paaH//
MalT_pos	araD//purF//ung//ilvB//cmoM//pagP//
MarA_neg	leuB//
MarA_pos	gpmA//hemL//cysJ//pyrC//ribA//paaK//allD//ybjG//hcaD//sdhB//napG//yedX//psd//ulaF//gntK//accD//yeaG//eda//adhE//psd//ssuD//metF//nemA//
MarR_neg	
MatA_neg	pdeH//
MatA_pos	
MazE-MazF_neg	glmU//
MazE_neg	fabD//
McbR_neg	
McbR_pos	
MelR_neg	lacA//pyrD//
MelR_pos	xylB//bcsB//
MetJ_neg	gutQ//ulaF//fucI//mhpF//nrdB//lpxA//ampC//argD//speA//entH//
MetR_neg	fdhF//
MetR_pos	fabD//nanA//rsmA//ulaG//
MhpR_pos	gatZ//phnM//nrfD//melA//alaA//ycjG//
Mlc_neg	ung//tyrA//sucC//cysG//
MlrA_pos	citG//
MngR_neg	yfdE//allB//
MntR_neg	metK//
MntR_pos	folE//
ModE_neg	wecC//allE//ampD//ynfF//rutA//pspE//cyaA//cpdB//
ModE_pos	umpH//nanK//hycG//patZ//cheB//queA//wecC//pgi//ascB//
MprA_neg	metL//nrfA//gcvT//
MqsA_neg	ribA//gabT//
MraZ_neg	ndh//phnM//phnP//frc//narG//hcaD//hycE//mpaA//hycG//sgbH//
MurR_neg	cynS//allC//wrbA//
MurR_pos	
Nac_neg	pykF//fadH//ssuE//
Nac_pos	deoC//puuC//paaK//hyaB//paaE//wecE//mpl//gutQ//
NadR_neg	phnH//ndh//metC//hycD//
NagC_neg	aroA//malY//nanE//murC//leuD//lsrK//pncB//lsrK//leuC//xapA//gapA//xdhA//ilvH//uvrC//ccp//paaK//fadE//adeD//
NagC_pos	entA//trmD//
NanR_neg	cheB//ssuD//murC//acnA//rhaA//glsA//
NanR_pos	
NarL_neg	puuB//glmS//hyi//pck//dapB//glgP//ynfF//ampD//astC//ahpF//paaH//cysG//argB//adhE//caiD//moaD//acnA//murD//aspC//asnB//fucO//wrbA//bioA//purE//trpE//ribA//avtA//purC//
NarL_pos	fbaA//ygeA//glgX//fucO//garR//folE//rhaA//nrdA//citG//purF//eno//tauD//ilvI//aroF//fucA//
NarP_neg	lacZ//udp//queA//patZ//nrfA//
NarP_pos	deoA//paaJ//leuD//napH//entA//pspE//metH//alkB//citF//preA//bcsB//ahpF//puuD//cadA//
NemR_neg	puuE//dhaL//
NhaR_pos	wecC//alkB//gltA//dusB//sucB//
NikR_neg	tdcB//
NimR_neg	patZ//
NorR_neg	
NorR_pos	murE//
NrdR_neg	glcF//napH//nadC//hcaD//
NsrR_neg	tdcE//uvrB//eda//kbl//ubiA//ruvB//nanA//ynfE//purH//recB//ppsA//epd//gadB//pdeF//atoA//narI//metC//glpX//speC//purA//gltD//ruvB//adiA//wzc//purC//ubiG//fucO//astE//metK//dapB//gcvH//nfsA//uvrA//nadB//sucC//cysM//fumB//bcsZ//metK//frdC//
NtrC_neg	lhgO//umuD//
NtrC_pos	metK//nrdF//fabD//leuD//paaJ//mhpD//nadC//hcp//murQ//glcD//metK//yqjH//paaH//polB//tauD//dusB//metB//astC//cueO//polB//ssuD//
OmpR_neg	dinB//umuC//gltD//phnJ//ahpC//
OmpR_pos	dmsC//wecB//pyrC//ribA//
OxyR_neg	entE//wecB//rhaD//phnH//rbsK//
OxyR_pos	ahpC//ppc//cheB//araA//argC//queA//nanM//yfdE//ilvE//tktB//nanE//gcvH//
PaaX_neg	pyrD//fadE//aceB//gabT//ulaE//lyxK//gapA//ccp//uxaC//
PdeL_pos	gabD//
PdhR_neg	lysA//asnA//paaA//yqhD//bioB//entD//glxR//ampD//argH//mpaA//udp//pdeH//fadE//yeaE//argD//avtA//rtcA//ilvM//astD//glpE//tadA//hycF//aldB//
PdhR_pos	sucD//ubiX//
PepA_neg	sucC//betB//
PgrR_neg	lsrK//glcB//
PhoB_neg	mltF//citE//metH//glpX//murE//
PhoB_pos	ruvA//rimK//dgcZ//nadA//icd//glgP//phnM//entB//argF//glgB//treC//nirD//talA//mpaA//ttdB//mngB//sucA//
PhoP_neg	fadI//ssuE//glpB//
PhoP_pos	accD//galM//lsrK//pgaB//edd//dacC//citD//rffM//icd//astE//preT//preT//rpiB//paaC//gadB//glpX//dapB//rtcA//talA//frdA//malQ//ddlB//metF//tdcB//uxaA//wrbA//acnA//udp//hcaF//metL//rsmA//
PrpR_neg	
PrpR_pos	rffT//srkA//gcl//pyrC//
PspF_neg	
PspF_pos	ygeA//
PurR_neg	edd//ssuE//fucK//alkB//lpd//serA//serC//fabB//gnd//ychF//murQ//glpX//ilvC//bioA//idnD//nagB//upp//cynS//tehB//melA//sodA//ahpC//hycC//pheS//sucB//serA//
PutA_neg	katE//speA//
PuuR_neg	moaA//glcB//pgi//sucC//ogt//hcaF//
QseB_neg	
QseB_pos	
RbsR_neg	speA//lpxC//phr//tyrA//paaI//
RbsR_pos	citC//
RcdA_neg	
RcdA_pos	purK//
RclR_pos	
RcnR_neg	dgcZ//
RcsAB_neg	hcaB//
RcsAB_pos	phnL//paaA//
RcsB-BglJ_pos	tdh//torA//
RcsB_neg	dmsA//
RcsB_pos	uidA//hcp//paaF//
RelB-RelE_neg	nagB//
RelB_neg	purF//
RhaR_pos	
RhaS_pos	speA//ftnA//pgi//bioF//
Rob_neg	
Rob_pos	polB//fucI//purC//pykF//tehB//idnK//carB//queA//sdhA//fabI//napA//amiA//gcd//rtcB//allE//grxA//nagA//betA//xapA//
RstA_neg	pfkA//gcd//
RstA_pos	uxaB//
RtcR_pos	purE//gdhA//
RutR_neg	puuB//hypF//galE//serC//cpdB//rbsK//mraY//rbsD//lyxK//dhaL//
RutR_pos	nadB//
SdiA_neg	
SdiA_pos	
SgrR_neg	galK//
SgrR_pos	nrfA//pgaC//
SlyA_neg	
SlyA_pos	udp//ampD//gudD//pyrD//dadX//gltD//paaA//frdB//truB//
SoxR_neg	
SoxR_pos	trpA//
SoxS_neg	
SoxS_pos	atoB//phnI//nrfA//ilvH//lhgO//carA//nfsB//ilvM//purC//argG//betB//argA//gcvH//dgcC//sucB//glyA//napH//cynS//glgC//fumA//rpiB//paaB//allA//dsdA//tam//pdeL//
SrlR_neg	lsrF//nrdE//rpiB//
StpA_neg	lysU//gltX//glpX//
SutR_neg	pgm//napH//
SutR_pos	
TdcA_pos	amiA//citG//pdeF//chiA//rutE//
TdcR_pos	dgcN//cysM//rsmA//nfsA//accA//
TorR_neg	yedX//
TorR_pos	xdhC//agp//acs//purD//
TreR_neg	gabT//bioA//
TrpR_neg	uvrA//argA//caiA//yiaK//garK//gpmA//entF//ccp//fabA//
TtdR_pos	bcsZ//caiA//
TyrR_neg	sgbE//dgkA//trmA//ilvB//moeA//paaC//purF//
TyrR_pos	fabD//kbl//aspA//
UhpA_pos	phnI//
UidR_neg	napG//tdcE//
UlaR_neg	lysC//torC//ynfE//ynfH//agp//
UvrY_pos	tdh//argH//
UxuR_neg	agp//phnM//gntK//hemF//metF//
XapR_pos	melA//eda//
XylR_neg	
XylR_pos	murI//pgaB//pspE//
YdeO_neg	
YdeO_pos	cheB//paaZ//hflX//
YefM-YoeB_neg	paaZ//
YefM_neg	ygeA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	phnN//lysA//uxaA//gcvT//purF//narG//
YjjQ_neg	malS//pnp//
YpdB_pos	
YqhC_pos	rffH//nirB//
YqjI_neg	paaY//
ZntR_pos	rhaB//
ZraR_pos	
Zur_neg	ybjG//
