# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	oxc//alaA//
CRP_neg	ttdB//ahpC//slt//recB//yiaK//sodA//argF//trpE//wzb//dhaL//ogt//gltD//ahpF//hcp//patD//prpD//pykF//nanK//ada//aspC//kbaZ//narG//fumB//lyxK//rhaD//fucI//ldtD//nagA//glgB//mpaA//ulaF//frdC//glgX//moeB//glxR//malP//gabT//grxA//feaB//slt//pck//gpmA//tauD//entB//gltD//nemA//hycF//malY//alkA//recB//queA//uvrB//moaE//adhE//wecC//ldtD//cysD//rsmH//dapD//accA//pfkA//mhpF//icd//tyrA//ygeA//bioD//hemL//rffH//nagB//dacC//ribA//
CRP_pos	dusB//gltX//zwf//ynfH//pepD//paaE//mraY//queA//ilvI//hyi//glnA//gloA//glmU//glgB//tdh//mhpE//nrdF//lsrF//lpd//pnp//mhpE//cysJ//fadD//dusB//glgP//hycG//uxuA//purH//aceA//moeB//gcvH//sodB//lpxD//gpmM//ynfF//pspE//torC//sucB//mtlD//rnpB//murI//sdhB//sdhD//hcaE//metL//glpD//fadI//bioD//entA//uvrB//metL//hchA//speC//xdhC//lacZ//serC//relA//uxaB//allC//umpH//ruvB//oxc//ampD//pflB//deoD//pspE//glpQ//ldtD//purB//kbl//purL//rimK//malS//waaY//guaA//garR//rsmH//lysC//glxK//rimK//metC//rimK//ppsA//narG//uvrA//add//gabT//sodA//sodB//patA//trpA//frdC//malY//pgaB//gpmM//ttdB//fabG//moeA//aldB//murI//ravA//mhpA//guaA//gpsA//nemA//ppc//asnA//trpB//accD//gcl//zwf//aceB//gatY//argC//pdeR//murG//rffG//ssuD//ubiG//hcaC//betB//metL//purM//argH//udp//fadB//rpiB//nfsA//fabH//xylA//mnmG//dapB//pgaD//paaI//ubiA//fabH//malZ//fadM//xapA//phnL//astB//cysM//idnD//metB//allC//gpmM//frc//astB//ascB//tdcE//wecE//prs//ilvN//sdhB//oxc//nagB//uvrC//fadD//napG//ada//malS//ruvA//poxB//ugpQ//hcaC//psd//rutB//glxR//pgi//ampD//cysN//moaA//argI//hcp//eda//sbcC//cyaA//ugpQ//phnM//nrdB//lysA//oxc//patA//waaZ//aldB//hemH//hcaC//wecC//talA//asnB//cysD//wecC//moeB//glpC//hmp//malQ//gpmA//ilvD//tdcG//carB//pfkA//uvrB//purF//lysA//ftnA//astD//murQ//gpsA//ansB//glpB//rutD//citE//ubiG//entC//fbaB//folA//citC//pagP//pagP//rutA//leuD//ubiX//astC//treC//tdcD//nadC//paaG//nrdE//alaS//deoC//cynS//aroF//frdD//glpB//nrdF//phnG//ulaG//cysJ//ilvN//ansB//phnP//preT//metK//paaE//rhaB//asnA//wecB//lsrF//pspE//
CadC_pos	nirB//fabD//paaK//
CaiF_pos	ttdA//ruvA//puuD//pfkA//nfsA//
Cbl_pos	dhaK//idnD//purK//hchA//xylA//
CdaR_pos	argE//mazG//aldB//entD//lysA//aroA//metE//entC//cyaA//
CecR_neg	eno//
ChbR_neg	phnO//atoD//napH//
ChbR_pos	frdA//tyrB//glpD//
ComR_neg	
CpxR_neg	paaG//alsE//fadD//
CpxR_pos	astB//galM//truB//pdeF//metB//fadD//mpaA//adhE//dmsA//sdhD//purH//lacZ//ilvE//glgP//deoD//trpC//murC//lysA//
Cra_neg	paaB//dgcC//hcp//aldA//rffG//alaS//ung//mazG//napB//tyrB//phnP//gcd//asnA//dsdA//gloA//paaG//rffT//chbG//galT//gltD//aldA//alkB//metB//aceF//gpsA//tauD//alaA//wzc//leuD//citX//rutA//fadD//ubiG//gabT//wecC//phnP//moaC//hmp//bglB//accD//prpD//rbsD//alaC//gatZ//dgcZ//
Cra_pos	adeD//pagP//ydcS//appA//argI//pdeH//ldtC//glnA//prpC//dmsC//hmp//accA//purD//ynfH//nrdD//polB//aspC//
CreB_neg	alkA//
CreB_pos	rutA//
CsgD_neg	sbcC//pyrD//
CsgD_pos	aceB//hemH//pyrC//
CsiR_neg	rsmA//fabA//pgm//nrdE//
CspA_pos	fucU//
CueR_neg	gltD//carA//katG//
CueR_pos	entA//glgP//
CusR_pos	pflB//hycG//ribA//xdhC//
CynR_neg	
CynR_pos	argC//hyi//xylB//
CysB_neg	ilvH//hflX//garK//
CysB_pos	pgk//dhaM//udp//glxR//fau//asnA//waaH//mhpF//ccp//ssuD//lysU//pgk//ttdB//fabH//
CytR_neg	appA//nirB//yeaG//aroF//pncB//hyaA//bioA//napA//rffT//nanM//
DcuR_pos	hemL//gor//cysJ//nadC//
DeoR_neg	fes//ilvN//hemL//moaA//cysG//entD//
DhaR_neg	
DhaR_pos	fbaA//
DicA_neg	
DinJ-YafQ_neg	rffC//
DnaA_neg	pgk//epd//grxA//murE//ilvE//
DnaA_pos	agp//mhpD//pheS//
DpiA_neg	
DpiA_pos	prpC//ulaD//citF//gpsA//sdhC//
DsdC_neg	
DsdC_pos	puuC//rutB//
EbgR_neg	
EnvR_neg	narG//pgaB//
EnvY_pos	malY//pncB//
EvgA_pos	preA//mdh//wzc//paaF//betB//mhpB//
ExuR_neg	nrdB//glpA//astA//malS//galK//aldB//
FNR_neg	pgaB//tyrA//glsA//eda//hemA//nirB//fabA//ldtB//glpE//sucD//patA//gutQ//fabA//garR//fabG//pagP//lsrG//manA//fadE//dhaL//dinB//speC//adeD//gnd//glcD//gcvT//gadB//pspE//acnA//asnB//deoA//acnB//murG//zwf//adhE//katG//puuA//pdeF//ulaE//sucD//glyA//glgP//phoA//wecB//
FNR_pos	sgbH//fabG//ampC//prmC//araA//ascB//thrS//preT//fucO//ilvE//pheT//cynT//caiA//prs//phoA//gpsA//rhaD//allB//rimK//polB//betB//caiD//gpmA//entD//edd//lsrF//dapD//deoB//aceE//melA//mazG//dmsA//purA//prpE//trpD//ilvD//glcE//glcD//iscS//gpmA//pnp//glpK//avtA//alaC//chiA//wrbA//speC//lysU//dapB//mdh//uvrA//uvrB//ackA//lsrG//murD//nemA//purH//murF//leuB//aceF//epd//sucD//ung//hyaC//rfe//dsdA//hmp//pdeL//puuA//manA//trpE//cheR//napB//pnp//nfsB//pgi//ldtC//ldtC//garD//hflX//moaD//recD//yqhD//citD//sodB//ruvA//glcB//glpX//pgaC//cysE//polB//fadD//lyxK//paaZ//wecC//cysN//
FabR_neg	ilvD//rffM//citF//
FadR_neg	ackA//nirB//metK//uxuB//ilvE//paaA//pdeL//tnaA//yfdE//
FadR_pos	xapA//ilvN//yeaE//metC//recD//metE//glpD//fucU//tam//nanK//
FeaR_pos	cyoE//ycjG//
FhlA_pos	uvrC//xdhC//ampC//cysN//metC//pyrD//adiA//ldtB//
Fis_neg	trmD//rffH//garD//mazG//ppiA//leuD//wrbA//fucA//udp//ilvE//aspC//lldD//wecC//ldtC//nagB//rhaA//waaZ//phnO//fbaA//slt//gatD//hyaC//ulaE//sdhB//katE//dmsA//citX//accA//trmD//gntK//purA//hyaB//pgk//dhaL//hypB//gabT//rutB//entA//sgbU//caiC//tadA//xdhA//umuC//tehB//malS//tpiA//
Fis_pos	kbaZ//treC//hypF//yeaG//srkA//trmA//purD//moaD//murI//ycjG//gcvT//nrfC//guaA//putA//aroG//adiA//trpB//glmU//pagP//puuB//yeaG//narH//glpQ//bcsZ//ftsI//yedX//betA//gapA//rpiB//accD//phnO//accD//sdhD//mazG//puuE//ubiG//metL//
FlhDC_neg	malS//gadB//
FlhDC_pos	pspE//umuC//glmS//argI//sodA//yeaE//citE//frdB//rhaA//ydcS//leuC//amiA//
FliZ_neg	tdcE//tauD//rffH//lpd//ahpF//
FucR_pos	napH//cpdB//folA//amiA//phnN//wzb//
Fur_neg	ogt//acnA//fabA//hcp//napB//ppc//pgaB//sucA//phr//glyA//fucU//narG//metE//dhaL//yfdE//trpA//alaS//cadA//dmsB//ilvD//slt//bcsB//astA//entA//trpE//idnD//narG//dmsB//puuB//mhpD//prpD//aceE//mhpE//bioA//fumC//ychF//garL//sufS//hcaD//udp//mhpE//ynfG//pflB//cueO//cysN//cysH//glcB//acs//entC//katE//dgcC//aspA//aceA//
Fur_pos	thrS//dkgB//dacC//uxuA//phnN//garL//bioC//lpxD//gltD//rbsD//gltD//cmoM//poxB//ilvE//eda//lpxC//
GadE-RcsB_pos	ynfH//ynfE//purL//rfe//xylB//
GadE_pos	hemH//nrdB//aroA//hycG//pnp//tadA//alaC//purM//codA//yiaK//
GadW_neg	uxuA//gatZ//sgbE//
GadW_pos	nrfC//polA//paaA//tyrA//
GadX_neg	gatZ//serA//
GadX_pos	entB//yedX//wecE//tdcB//argD//gcvT//paaI//mtlD//frdA//rffM//sbcC//
GalR_neg	gltB//napG//lpd//murQ//trmD//srlD//
GalR_pos	nadB//folE//cyoE//melA//
GalS_neg	entH//avtA//ilvM//srlD//paaY//frdC//
GalS_pos	add//atoA//argC//phnI//
GatR_neg	aroH//gor//purE//
GcvA_neg	ascB//paaA//sdhA//
GcvA_pos	puuB//cpdB//atoD//
GlcC_neg	
GlcC_pos	pflB//fbaA//trpC//
GlpR_neg	gudD//melA//oxc//paaY//amn//pspE//alaC//
GlrR_pos	
GntR_neg	dhaM//dacC//gapA//dgcC//amiA//prpD//ldtC//ilvN//metA//
GutM_pos	garL//atoB//ilvC//
H-NS_neg	prpE//gatY//iscS//folA//fucO//gor//gcvH//accD//nrdB//dapD//glxR//aspA//gntK//citE//bcsB//hflX//fabH//aroL//lyxK//dgcC//alkB//deoC//ahpF//hypF//bacA//leuB//fucK//sodB//glk//sdhB//icd//tyrB//aceF//pdeR//alaA//paaK//paaY//nanK//ilvE//arsC//glk//pncB//fumA//serC//amn//malY//xylA//talA//pgpC//hemA//edd//
H-NS_pos	treC//aceB//caiD//hpt//lysU//aspA//deoC//ldtD//gltB//trpA//paaK//cynT//idnK//glpB//paaY//
HU_neg	ssuD//gadB//alkA//glsA//garR//waaZ//fabG//
HU_pos	
HcaR_neg	
HcaR_pos	gatZ//tdh//
HdfR_neg	
HdfR_pos	
HigA_neg	lacZ//
HigB-HigA_neg	nanM//
HipAB_neg	atoD//gapA//
HipB_neg	cmoM//caiC//metE//
HprR_neg	paaZ//cysD//
HprR_pos	betB//frdB//
HyfR_pos	frdC//
HypT_neg	garL//puuE//
HypT_pos	bcsB//rimK//gor//murF//leuA//
IHF_neg	patD//frc//sufS//adiA//rffG//metL//aldA//gcvH//ulaD//glgC//gcl//murQ//argI//hyaB//alaC//gatZ//rutC//purN//tauD//ung//gcvH//alkA//wzc//yqhD//aceA//rimK//atoA//accC//glnA//uvrB//luxS//preA//caiB//speC//rffH//xapA//dgcC//malY//ruvA//argE//puuB//moaA//galK//
IHF_pos	dgcC//argE//pck//caiB//upp//fadH//glpQ//dadX//wecB//nanA//sgbH//paaA//murG//glcE//bglB//galM//prmC//nrdA//hemL//hemH//caiA//fabD//garK//mhpA//caiA//moeB//glxK//rtcA//nadB//patD//ttdA//cysG//bioB//glgA//cyaA//deoA//ilvH//ung//bioC//nemA//xdhA//rffT//gapA//uvrA//yqhD//glcB//hypB//paaZ//tnaA//pheT//pdeL//bglB//ugpQ//fau//trpD//bcsB//sodA//garD//nrdE//rffG//bioC//speA//alkB//argC//purN//fadM//glk//speB//accD//astD//lyxK//
IclR_neg	argE//yiaK//phnM//
IdnR_neg	gapA//ulaD//
IdnR_pos	ampC//cysK//betA//queA//
IlvY_neg	
IlvY_pos	acnB//
IscR_neg	glgC//araA//rhaD//idnK//serC//waaZ//
IscR_pos	mpaA//hycF//
KdgR_neg	glpB//alkB//
KdpE_pos	truB//
LacI_neg	xapA//nfsA//tktB//
LeuO_neg	
LeuO_pos	xdhA//hcaD//ilvH//gltX//idnK//prmC//
LexA_neg	zwf//metL//sdhC//polA//ampC//gltD//slt//nadB//pgaD//uidA//aspC//recF//tdh//ldtB//nagB//murI//alaA//manA//ttdB//bglB//dmsC//mhpA//recB//
LldR_neg	tdcD//cysK//
LldR_pos	gltA//lpxD//
LrhA_neg	
LrhA_pos	
Lrp_neg	xylA//glpK//ackA//phnP//astD//fadE//garK//glgA//sdhD//ttdA//ansB//codA//nrfA//metE//pyrC//torC//rutB//lsrF//moaE//talA//argI//slt//aldA//
Lrp_pos	wzc//hycG//pykF//bacA//katG//argF//fadA//guaA//melA//nanK//gatZ//xylB//sodA//glcD//ilvD//lacA//garK//hchA//dgcZ//sodA//
LsrR_neg	trpE//entE//pyrC//yiaK//mazG//
LysR_neg	
LysR_pos	fadB//
MalI_neg	cheB//ddlB//
MalT_pos	rffC//fau//fadH//narG//gcd//yqhD//
MarA_neg	hycE//
MarA_pos	tam//tdcD//dmsA//ruvA//sucD//argE//nfsB//tdh//rffG//sdaA//frdD//wecE//pheS//patD//citC//argE//mpaA//hypF//allD//xapA//hflX//yiaK//paaE//
MarR_neg	
MatA_neg	cysG//
MatA_pos	
MazE-MazF_neg	prpC//
MazE_neg	xdhA//
McbR_neg	
McbR_pos	
MelR_neg	ubiG//deoA//
MelR_pos	hcaF//dsdA//
MetJ_neg	caiB//cysI//xdhB//alaS//wrbA//rtcB//apaH//sdhA//ahpC//fucI//
MetR_neg	lldD//
MetR_pos	patA//aroH//paaG//ilvH//
MhpR_pos	wecB//pgaC//gnd//nfsA//mazG//relA//
Mlc_neg	sdhC//dmsA//napB//puuC//
MlrA_pos	metA//
MngR_neg	ilvE//ubiG//
MntR_neg	asnB//
MntR_pos	recF//
ModE_neg	metB//lsrK//xdhB//lpxC//entB//aceE//yqhD//bioD//
ModE_pos	paaJ//yfdE//asnA//ilvG_1//glgA//ampC//ulaD//amn//asnA//
MprA_neg	ttdB//narG//nrdE//
MqsA_neg	alsE//fes//
MraZ_neg	codA//napH//apaH//fumB//nrdB//fabD//gntK//aspC//dsdA//glnA//
MurR_neg	puuB//deoB//nrdB//
MurR_pos	
Nac_neg	argG//dgcZ//fbaA//
Nac_pos	purE//malS//ravA//ulaD//glpA//hmp//ascB//murQ//
NadR_neg	mpl//glcB//bcsZ//xdhC//
NagC_neg	amn//lyxK//moaA//dadX//dapB//ada//sucD//allE//nagA//cysJ//entC//glyA//fau//cysI//cheR//tdcB//wecC//glgX//
NagC_pos	fadI//pdeH//
NanR_neg	asnA//murF//lhgO//lpxC//polA//tauD//
NanR_pos	
NarL_neg	aldA//glgC//paaI//kbaY//recF//malP//tadA//hemH//fabD//aceF//recB//ynfH//bcsB//glpB//xylA//hcaB//nrdF//argG//bioA//frdC//treC//ddlB//fabG//hcaC//fadD//glcE//citG//murD//
NarL_pos	hypB//allC//rtcA//fadE//metE//mhpD//glgA//pgm//tam//alaC//ilvD//cadA//nrfA//fabG//gatZ//
NarP_neg	fadJ//pgpC//fbaB//adeD//hycF//
NarP_pos	tyrB//mnmG//aceF//prmC//ldtD//uidA//ampD//ilvI//fabH//cmoM//paaC//fucO//bioA//caiC//
NemR_neg	entE//murF//
NhaR_pos	rffT//pdeR//kbaZ//rhaD//cysN//
NikR_neg	fabB//
NimR_neg	fadI//
NorR_neg	
NorR_pos	ascB//
NrdR_neg	fadA//carA//gabT//ruvB//
NsrR_neg	rtcA//pnp//fruK//xylA//fbaB//pgpC//paaZ//ilvC//fadM//cheB//aroL//astD//pheS//appA//citX//aroH//purH//atoB//guaA//phoA//mnmG//ftsI//arsC//fumB//ubiG//gapA//fucO//cysN//gor//fadJ//tehB//paaB//arsC//yfdE//murI//agp//ilvD//ada//gcl//glxR//
NtrC_neg	hcaB//cpdB//
NtrC_pos	amn//pgi//ydcS//tam//pflB//cynT//rffG//fabH//phnM//caiD//citG//allA//cyoE//ulaF//tdh//frdA//murF//trpC//adhE//adiA//glcD//
OmpR_neg	malQ//glpX//yfdE//pgm//appA//
OmpR_pos	lhgO//dmsC//cheB//pnp//
OxyR_neg	purA//astE//citE//idnD//argA//
OxyR_pos	napA//astE//prpE//paaC//ilvM//dmsB//mpaA//gutQ//serA//garR//fabH//ribA//
PaaX_neg	trpB//bcsZ//fadM//ubiX//glcE//metA//wzc//ilvB//ubiC//
PdeL_pos	fucK//
PdhR_neg	waaY//fadB//wecB//hycG//narG//ilvD//yqjH//phnM//amn//nrfC//pgi//guaA//cysE//yeaE//metK//carA//napG//murD//fabH//glgA//nrdD//sgbH//gabT//
PdhR_pos	nanE//ppiA//
PepA_neg	dapB//atoA//
PgrR_neg	purE//alkB//
PhoB_neg	cheB//nrdA//cysJ//lsrG//nemA//
PhoB_pos	argB//napG//cheB//grxA//ada//pyrC//paaK//entC//glpK//lysA//fucU//glyA//pgaC//serA//ynfG//lpxC//alaS//
PhoP_neg	tdcE//guaA//gltD//
PhoP_pos	ldtB//citF//tdcB//frdC//bioF//sgbE//astA//fumA//gntK//malY//rsmH//hemH//ulaF//purD//purE//garK//ttdA//araB//prmC//ppiA//idnD//rutC//lysA//aroH//ychF//nemA//wecC//edd//lyxK//garR//gntK//
PrpR_neg	
PrpR_pos	wecC//bioB//rutB//pnp//
PspF_neg	
PspF_pos	appA//
PurR_neg	cynT//lpxD//rbsK//sodA//xylA//fabI//zwf//rffG//ilvM//dadA//ilvH//dgcZ//citF//ndh//rsmH//moeB//tdcD//paaK//fabD//nadC//ftnA//avtA//glcB//cysE//pgaD//murG//
PutA_neg	ydcS//trpA//
PuuR_neg	yedX//trpD//metE//fadI//aspC//nadA//
QseB_neg	
QseB_pos	
RbsR_neg	pgaD//wzb//ahpC//tktB//xylA//
RbsR_pos	purA//
RcdA_neg	
RcdA_pos	grxA//
RclR_pos	
RcnR_neg	polB//
RcsAB_neg	paaZ//
RcsAB_pos	phnJ//srlD//
RcsB-BglJ_pos	mpaA//rffH//
RcsB_neg	phnL//
RcsB_pos	hcaD//argB//treC//
RelB-RelE_neg	cmoM//
RelB_neg	prmC//
RhaR_pos	
RhaS_pos	puuE//rffM//waaZ//cpdB//
Rob_neg	
Rob_pos	dgcZ//pdxA//wecB//edd//ravA//caiD//sgbU//lacZ//hypB//dmsA//pncB//murQ//purH//melA//glmS//leuA//ampD//fabA//gcvT//
RstA_neg	nrdA//dapB//
RstA_pos	ahpF//
RtcR_pos	narI//phnN//
RutR_neg	dgcN//polA//accA//napB//waaH//argI//allD//glcF//moeB//argH//
RutR_pos	cheR//
SdiA_neg	
SdiA_pos	
SgrR_neg	gcvP//
SgrR_pos	purK//ilvI//
SlyA_neg	
SlyA_pos	ycjG//trpD//purA//malP//ung//rutB//nirD//tadA//aroF//
SoxR_neg	
SoxR_pos	aroL//
SoxS_neg	
SoxS_pos	deoB//phnG//citC//polB//luxS//mhpE//argH//phnG//ascB//aldB//ldtC//malP//glpB//cheR//kbaZ//lysU//rtcB//uxuA//putA//pncB//nagA//cysE//nrdF//dapB//umuC//preA//
SrlR_neg	uvrA//rbsK//pheT//
StpA_neg	pgaB//phnH//wzc//
SutR_neg	gpsA//prpB//
SutR_pos	
TdcA_pos	ulaD//glgC//aroF//tdh//ilvA//
TdcR_pos	napB//ribA//glpA//ldtC//tynA//
TorR_neg	leuC//
TorR_pos	xapA//leuC//ppsA//wecC//
TreR_neg	talA//lysC//
TrpR_neg	caiA//avtA//mpl//mnmG//frc//relA//cyoE//patA//bacA//
TtdR_pos	nagA//nanA//
TyrR_neg	astB//preT//sucD//waaY//mdh//glpX//hycG//
TyrR_pos	acnA//nanA//glpC//
UhpA_pos	fabI//
UidR_neg	cysE//allC//
UlaR_neg	cueO//fadH//gltA//paaH//ulaG//
UvrY_pos	dsdA//cheB//
UxuR_neg	murQ//caiA//astE//accA//slt//
XapR_pos	argC//gloA//
XylR_neg	
XylR_pos	ulaG//nagA//hycC//
YdeO_neg	
YdeO_pos	fabZ//rffC//nirD//
YefM-YoeB_neg	folE//
YefM_neg	astC//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	yqhD//lyxK//nanK//hyi//ccp//kbaZ//
YjjQ_neg	pgpC//mhpF//
YpdB_pos	
YqhC_pos	sbcD//fdhF//
YqjI_neg	yiaK//
ZntR_pos	nagA//
ZraR_pos	
Zur_neg	umuD//
