# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	paaJ//citX//
CRP_pos	amn//lpxC//argF//bcsB//entH//nfsA//gpmA//yedX//hmp//nfsA//citD//wecC//phr//ygeA//glpD//nrfD//dhaL//tyrA//alkA//ada//uxaC//hpt//fabD//pdeH//purL//nrfD//gabD//serC//lysA//nadC//caiB//fucI//dhaK//paaE//kbl//galK//amn//ravA//purL//trpE//fadE//murF//entC//leuA//chbF//galM//pdeR//mraY//fadJ//glgB//edd//dgkA//nrdE//murE//fucU//fau//uxaB//lpxD//ilvM//prmC//yeaG//kbl//lpxD//prpC//lysU//hcaE//idnD//ilvG_1//folE//polA//araD//cmoM//fadB//purL//fadA//nagB//rfe//patZ//hmp//hemA//paaY//kbl//ugpQ//mpl//ychF//hcaF//ulaG//sdhD//mngB//alsE//galT//lldD//yedX//hycC//gapA//frdB//tam//srlD//manA//xdhA//melA//pgi//luxS//fabH//galM//ribA//gltX//leuA//ilvH//arsC//nagB//rffG//torC//iscS//cysN//cheB//purE//ampC//wecE//garR//hemL//gloA//ascB//yiaK//mtlD//ada//glpA//mhpE//dhaL//astE//treC//trpC//pgk//murQ//iscS//nrdE//dmsC//nadA//nrdF//ldtB//tam//uxaB//moaA//lysU//alaS//fes//pagP//lsrK//dkgA//rnpB//accA//moeA//glk//caiB//hyaA//ubiC//deoD//dapD//glpX//bioA//deoD//tam//cheR//glxK//hemA//aspA//hflX//luxS//yeaG//eno//ppc//ahpF//ulaD//ruvA//ubiC//speC//ynfH//allA//nrfD//guaB//purM//paaC//rffM//folA//ampD//glxR//sucC//glgA//purE//mpaA//yqjH//fabZ//pgaC//avtA//purN//ldtD//betA//ttdB//accC//cheR//arsC//ilvE//pncB//lpxC//rffM//phnH//asnB//allD//phnN//deoA//dadA//glxR//aceB//nrfD//asnA//hycE//mhpE//bcsZ//paaY//hcaE//cysJ//fucI//truB//lpxA//ynfG//nagA//lpxC//bioF//ilvM//dkgB//puuD//prpD//fumB//alaC//ubiC//mltF//paaH//allD//aldA//dadA//paaH//puuD//argB//caiA//pgk//entC//murE//mngB//rutD//
CadC_pos	purA//murC//ccp//
CaiF_pos	wzb//fdhF//uxaB//gdhA//atoB//
Cbl_pos	metB//paaA//dacC//fadM//ynfE//
CdaR_pos	pdxA//rtcA//ravA//pepD//phoA//nrdB//rsmH//patA//galT//
CecR_neg	avtA//
ChbR_neg	ulaG//psd//entD//
ChbR_pos	alkA//cueO//dmsA//
ComR_neg	
CpxR_neg	bioC//torA//citC//
CpxR_pos	deoB//patD//gutQ//ilvA//glyA//pfkA//dhaK//glyA//trpE//hflX//relA//dkgB//apaH//moaA//cysD//ilvN//codA//wecC//
Cra_neg	ung//tehB//rhaD//moaD//xapA//uxaC//ssuD//hypF//hyi//malZ//dkgB//fbaB//nirD//amiA//cysE//speB//gntK//speC//moaE//preT//pyrC//ycjG//gatY//torC//glpK//hflX//hycF//mhpD//waaZ//tyrB//wecC//sdhC//galT//citC//malQ//sucA//phnG//tdcE//dhaK//trpC//fucU//deoA//nrdF//caiB//dapB//
Cra_pos	glcF//astA//ulaE//cadA//sucD//dgcC//phnN//paaA//cysG//ulaF//mhpC//nrdA//cyoE//tyrB//alkB//codA//hycG//
CreB_neg	gcvP//
CreB_pos	sucD//
CsgD_neg	fucO//rhaB//
CsgD_pos	torA//glpK//cyaA//
CsiR_neg	ynfF//ppiA//ogt//rutE//
CspA_pos	yeaE//
CueR_neg	acs//cysG//ndh//
CueR_pos	wzc//murG//
CusR_pos	ribA//fadI//hemH//dkgB//
CynR_neg	
CynR_pos	fadD//dadA//ascB//
CysB_neg	murE//alaS//yqhD//
CysB_pos	hflX//nrfD//cysG//mltF//nrdE//cheB//rffH//lsrF//lpxD//ascB//atoD//purC//bcsZ//purH//
CytR_neg	fabD//murD//chbG//hycB//phnH//murQ//napG//gatD//glcD//alaA//
DcuR_pos	nanM//tynA//aspA//argI//
DeoR_neg	trmD//pdeF//gcvP//glpC//ppsA//purB//
DhaR_neg	
DhaR_pos	ygeA//
DicA_neg	
DinJ-YafQ_neg	treC//
DnaA_neg	mhpD//mpl//folE//napH//allE//
DnaA_pos	pck//nagB//feaB//
DpiA_neg	
DpiA_pos	idnO//ubiX//treC//murC//cysI//
DsdC_neg	
DsdC_pos	pgpC//rutA//
EbgR_neg	
EnvR_neg	atoD//ackA//
EnvY_pos	phnI//hemA//
EvgA_pos	araB//dhaK//lsrK//moaE//purD//dusB//
ExuR_neg	rffC//ruvA//umuC//cysE//gor//paaB//
FNR_neg	glgA//asnB//metB//ugpQ//bioD//entA//chbG//ubiG//hchA//lpxC//allA//tnaA//gapA//allD//adhE//gatZ//napA//nfsB//puuE//ygeA//glcD//gatZ//gcvH//tnaA//polB//purE//aroH//mazG//entC//rhaB//glxK//bcsB//frdA//yeaG//glgB//ygeA//cysC//fabD//hflX//recD//galM//mhpF//adiA//sbcC//
FNR_pos	ilvG_1//allC//hycF//araB//glpE//entD//pnp//betA//deoD//ansB//glpK//rbsK//gcvT//gatD//trpA//betB//ulaG//pncB//purL//ynfE//hpt//accC//purN//phnL//entE//uvrC//hycD//pck//fabI//bioC//deoC//gutQ//uidA//fruK//ychF//ynfF//glxR//mhpC//argD//dgcC//rbsD//nagB//ilvI//ldtC//metL//murD//hemH//ssuE//chbG//adhE//rsmA//accC//phnP//entF//araB//pspE//ugpQ//xylA//pykF//gcd//bacA//phnM//cysK//murG//uxaC//sucD//wrbA//murC//phr//waaY//grxA//ilvN//alaC//wrbA//alaA//dinB//ychF//metK//ygeA//sgbE//metB//prs//rbsK//pflB//nrdF//asnA//wecE//purB//pyrC//bioC//ttdA//fabB//cyaA//glsA//gcvH//pgk//
FabR_neg	xapA//gpmA//entB//
FadR_neg	citE//avtA//chbG//lldD//nrdE//ssuD//cysN//gpmA//queA//
FadR_pos	mhpF//purE//ynfE//dhaM//sucB//glpC//paaG//gapA//gltX//chbG//
FeaR_pos	gor//moaC//
FhlA_pos	pdeF//astC//garK//deoC//glgP//ilvM//hcp//metF//
Fis_neg	pykF//hycB//napB//uxaA//caiB//atoB//gltD//glnA//glgC//idnK//garL//aspC//gdhA//mraY//rffM//metB//paaI//rtcA//nfsB//metH//yedX//ssuD//patA//aceA//sbcC//glyA//uvrA//narH//cyaA//paaJ//sdaA//sbcC//fucU//nirD//grxA//paaH//ilvH//pgi//codA//nadB//gpmA//argI//pflB//waaZ//xylB//nirD//
Fis_pos	ccp//tadA//frdC//dgkA//lsrF//gabT//yedX//sgbU//lyxK//metH//accD//arsC//glsA//ftsI//glk//leuB//nadB//alkA//bioA//cysJ//dkgA//hycE//rffT//napB//ulaD//paaG//xdhC//garR//argB//argE//dhaK//trpD//metH//deoB//fadH//gltX//ahpC//
FlhDC_neg	hycC//ilvG_1//
FlhDC_pos	phnL//folA//purA//galK//pgaB//glgX//ldtB//appA//trmA//pspE//gcvP//aroG//
FliZ_neg	fadA//purF//patA//gabT//cysJ//
FucR_pos	rffM//paaB//luxS//astA//sucC//glpQ//
Fur_neg	wrbA//alaA//cysD//dgcC//polA//adiA//allB//nanE//fadE//fucO//ccp//relA//kbaZ//yiaK//citX//ruvB//umuC//ygeA//wecC//hemL//dmsC//adhE//citF//gcvP//dusB//dhaL//lacA//purM//tdcD//nrfA//lpxC//rnpB//eda//lysU//glcD//zwf//ybjG//hycC//ubiX//eda//tynA//rffH//wzb//murG//gpsA//malS//murQ//pgaB//tktB//hypB//nirD//nrfA//nrfA//
Fur_pos	cysJ//purH//nrdF//glgA//treC//purF//lpxA//gnd//uxaA//fumA//argG//oxc//allB//aceF//cysI//aroF//
GadE-RcsB_pos	lsrG//glpE//pgm//dinB//alaC//
GadE_pos	gcvH//cyaA//recD//hcp//nirB//ssuD//pdeR//gcvP//pspE//tdcE//
GadW_neg	ppc//moaA//cdd//
GadW_pos	deoC//umpH//chbF//ssuD//
GadX_neg	leuC//nadB//
GadX_pos	nadC//rimK//gcd//garK//entB//ilvE//malQ//aceA//idnK//ravA//murI//
GalR_neg	argF//glcB//lysA//paaF//nrfA//gatZ//
GalR_pos	fbaA//hcaE//xdhB//tdcE//
GalS_neg	asnA//mhpA//aceB//srlD//fadE//dinB//
GalS_pos	fumC//pdeR//gltX//ulaE//
GatR_neg	metH//glk//tyrA//
GcvA_neg	chbG//srkA//rimK//
GcvA_pos	ackA//mltF//wzc//
GlcC_neg	
GlcC_pos	rffG//mhpC//ppiA//
GlpR_neg	amn//iscS//mdh//sbcD//dmsA//prmC//sbcC//
GlrR_pos	
GntR_neg	rsmH//preA//bcsB//bcsZ//ulaG//wecE//dacC//yqjH//atoA//
GutM_pos	feaB//glpB//purN//
H-NS_neg	sufS//fadI//katE//pgpC//lhgO//dapD//metE//xdhB//gcvP//astE//tyrB//leuA//tktB//manA//aldB//sdhB//purE//alaC//ahpF//folA//moeA//nrfC//paaC//alkB//rsmH//purM//gltD//tdh//pncB//nirD//rnpB//mpaA//ubiG//ahpC//betA//glgC//dgkA//pgpC//dmsC//allA//nrdF//adeD//trmD//trpB//eda//ynfF//citD//fabB//yfdE//rhaB//purD//
H-NS_pos	aroA//pepD//tadA//chbG//tdcG//cheB//hypB//asnB//ulaD//moeB//araA//poxB//pepD//paaZ//dhaM//
HU_neg	rtcA//murD//aldA//luxS//gatY//astB//lpxD//
HU_pos	
HcaR_neg	
HcaR_pos	aroG//sucD//
HdfR_neg	
HdfR_pos	
HigA_neg	araA//
HigB-HigA_neg	hchA//
HipAB_neg	paaE//cadA//
HipB_neg	nanM//ruvB//ilvH//
HprR_neg	mhpE//nanE//
HprR_pos	hemF//xdhA//
HyfR_pos	garR//
HypT_neg	cysI//ttdB//
HypT_pos	leuA//citG//mngB//dgcN//murQ//
IHF_neg	prpD//glcB//yeaE//alkB//wecB//dmsA//pdeL//fabH//nirB//mpl//wecC//tdcG//torC//ldtB//galE//aroG//fadB//asnA//lacZ//pepD//allA//bioF//torC//glpA//galK//sodB//wzc//pyrD//polB//aroG//gcvT//ilvB//paaH//allD//serC//dhaK//prpC//prpD//bioD//relA//acs//bioA//fadB//
IHF_pos	aroG//lysC//cysK//serA//gltB//bacA//mraY//gutQ//pdeH//rutB//dmsC//ddlB//metE//pfkA//cmoM//napG//entE//paaB//sgbU//astA//ydcS//nagA//puuA//gltB//sgbH//aroL//ugpQ//ynfG//epd//bglB//cpdB//caiD//cueO//mazG//gpmA//rhaB//murD//uvrB//appA//ddlB//dsdA//paaY//fadM//purB//waaY//bioC//wecE//dadX//nrfD//glcD//wecC//ulaD//yfdE//dapD//pdeR//chbG//rtcA//entC//cynT//cheB//atoD//bioA//cueO//bcsZ//purC//garL//rutD//wecC//murG//wzb//hmp//
IclR_neg	rsmH//uxaA//rsmA//
IdnR_neg	phnN//serC//
IdnR_pos	nemA//deoC//accC//rhaB//
IlvY_neg	
IlvY_pos	fabB//
IscR_neg	betB//mdh//pdeH//allB//phnI//ldtB//
IscR_pos	cysE//lysU//
KdgR_neg	atoB//paaF//
KdpE_pos	ansB//
LacI_neg	rimK//purM//appA//
LeuO_neg	
LeuO_pos	patZ//slt//waaH//glxK//yfdE//entH//
LexA_neg	lysA//leuC//narI//fadA//galE//idnD//kbl//speA//metF//sbcC//sodA//prpB//hcaB//yeaG//cheR//bioF//ulaE//ruvA//ppiA//gltX//ogt//dmsC//pck//
LldR_neg	gltA//ilvM//
LldR_pos	sbcC//pdeL//
LrhA_neg	
LrhA_pos	
Lrp_neg	ndh//frdB//moaA//prpE//pdeF//xdhC//speC//mhpB//araA//patD//dadA//adeD//ilvN//argD//paaF//frdB//treC//speA//fadI//glpX//nagA//sucB//astB//
Lrp_pos	rutD//sodA//wrbA//allA//ppiA//metC//cysN//idnK//rffG//aldB//yeaE//rffG//dmsA//hemA//ccp//carB//argH//fadD//lacA//gnd//
LsrR_neg	frdD//nrdE//ugpQ//bcsZ//glk//
LysR_neg	
LysR_pos	mdh//
MalI_neg	leuB//lldD//
MalT_pos	alaA//gabT//xdhA//luxS//ilvH//melA//
MarA_neg	pck//
MarA_pos	ychF//murG//slt//leuB//queA//ung//ddlB//fucI//ubiA//gpmM//aspC//pncB//metK//chbG//nemA//nrdA//bacA//gltA//galT//fumB//dinB//phnI//fabG//
MarR_neg	
MatA_neg	serA//
MatA_pos	
MazE-MazF_neg	mngB//
MazE_neg	frc//
McbR_neg	
McbR_pos	
MelR_neg	trpD//lacZ//
MelR_pos	aldB//frc//
MetJ_neg	pheT//mhpB//bioA//argF//ddlB//mazG//pdeR//cysN//alsE//murE//
MetR_neg	mhpF//
MetR_pos	ackA//idnD//uvrC//dgcZ//
MhpR_pos	metE//narG//argI//yedX//narH//aroH//
Mlc_neg	rutE//alaC//lsrK//hmp//
MlrA_pos	pspE//
MngR_neg	araA//bcsZ//
MntR_neg	sodA//
MntR_pos	cheR//
ModE_neg	astB//avtA//araD//katG//rffC//fadI//glpE//ynfG//
ModE_pos	mltF//gdhA//tdcB//upp//ilvA//icd//narH//ftsI//gadB//
MprA_neg	metB//avtA//rutD//
MqsA_neg	cysH//gudD//
MraZ_neg	ulaE//luxS//pgm//mpl//nagB//gltD//astB//cysJ//aldA//lacZ//
MurR_neg	phnH//paaJ//hmp//
MurR_pos	
Nac_neg	ribA//purF//hycG//
Nac_pos	mazG//leuA//arsC//pck//kbaZ//aroL//fabB//aroG//
NadR_neg	uidA//ugpQ//pck//purB//
NagC_neg	entH//dacC//fadE//ldtB//cysM//bioC//mltF//mnmG//cysI//hchA//xdhC//caiC//nrfA//cysD//ilvN//sucA//uxuA//entA//
NagC_pos	moeA//psd//
NanR_neg	ynfH//hyi//wrbA//uvrA//ogt//leuA//
NanR_pos	
NarL_neg	mhpE//sgbE//uvrC//cysC//paaK//aceF//rffM//accC//narH//murC//fucK//garR//murD//waaH//trpC//cysK//gcvH//fadH//nrdF//argB//lysA//ilvI//glgB//treC//pyrC//grxA//lysC//prpD//
NarL_pos	hcaF//yfdE//hflX//fumC//uxaB//aldA//allB//moeB//aspC//ilvI//cynT//gcvP//entH//deoB//bioA//
NarP_neg	alkA//sucC//gabT//sufS//tehB//
NarP_pos	moeB//cynS//fucA//nanA//iscS//aldA//accC//glgX//purA//wecC//dgcZ//pdeL//nemA//caiB//
NemR_neg	nanK//rutA//
NhaR_pos	metE//hcaB//fucU//nfsB//dkgB//
NikR_neg	preA//
NimR_neg	hcaC//
NorR_neg	
NorR_pos	agp//
NrdR_neg	amiA//gor//ftsI//uxaB//
NsrR_neg	dadX//phnP//ddlB//pyrD//rutB//metK//ssuE//pck//hycC//eda//fucA//paaI//dsdA//citE//hemA//bcsZ//speB//mhpE//purF//gntK//murG//pgaB//fadB//lyxK//ilvB//bcsB//idnD//citD//serC//betB//xdhC//mhpA//rffM//rbsK//phnJ//glxR//allD//ynfE//argE//metK//
NtrC_neg	sbcC//recD//
NtrC_pos	rffC//moaC//rhaD//hycF//dhaM//waaZ//edd//mazG//dusB//frc//katG//rfe//dacC//gnd//hycF//wecE//aroA//slt//purM//glgA//tam//
OmpR_neg	dapD//putA//gutQ//ogt//mtlD//
OmpR_pos	ada//edd//pdxA//icd//
OxyR_neg	uvrB//melA//leuB//phnG//rutD//
OxyR_pos	xapA//nfsB//tdcE//icd//gcvP//leuA//mngB//frdD//pgk//hycF//ravA//argG//
PaaX_neg	narG//gltD//leuA//nagA//purD//hemL//patZ//paaY//murD//
PdeL_pos	ansB//
PdhR_neg	uxaB//dadA//fucI//ftsI//nirD//gatY//cdd//galM//fumB//nanA//rimK//rffT//murC//sdhA//glgP//ilvD//ubiC//gatD//sdhC//ogt//hcaD//atoA//lpxA//
PdhR_pos	metE//aroG//
PepA_neg	astE//rfe//
PgrR_neg	astD//ssuD//
PhoB_neg	bioC//waaY//argF//xdhA//purN//
PhoB_pos	nadB//carB//alaS//moaA//yqjH//gudD//nadC//trmD//ahpC//phnO//caiC//betB//aroF//glgA//ada//wzb//pagP//
PhoP_neg	phr//aroF//tdcE//
PhoP_pos	trpB//citX//hcaF//wecE//rffC//citC//preA//betA//garR//mtlD//feaB//argH//bioB//fes//purF//waaH//gadA//glmU//atoB//trpC//hcaE//frdD//moaD//gpmA//murG//aroL//nagB//pnp//dmsC//gadA//nanE//
PrpR_neg	
PrpR_pos	cysH//nrdF//nrfA//ogt//
PspF_neg	
PspF_pos	ldtB//
PurR_neg	paaY//add//ndh//nrdD//hyaB//tadA//nrfC//upp//pck//fumB//mpl//paaG//alkA//ttdA//mazG//sucD//acs//cysC//deoC//murE//mngB//glyA//gcvT//sbcC//gnd//bioF//
PutA_neg	yeaE//amiA//
PuuR_neg	moeA//nrdD//tyrB//dmsA//glnA//trpE//
QseB_neg	
QseB_pos	
RbsR_neg	araB//acnA//cyoE//lacZ//lpxD//
RbsR_pos	dkgA//
RcdA_neg	
RcdA_pos	murF//
RclR_pos	
RcnR_neg	atoA//
RcsAB_neg	gutQ//
RcsAB_pos	astD//mtlD//
RcsB-BglJ_pos	hcaE//gadB//
RcsB_neg	udp//
RcsB_pos	alaS//hcaB//gpmA//
RelB-RelE_neg	ynfF//
RelB_neg	umuD//
RhaR_pos	
RhaS_pos	fruK//ychF//sgbU//nanA//
Rob_neg	
Rob_pos	cysM//paaB//dmsC//paaZ//glcE//sdhB//lacA//carA//deoA//eda//dhaM//aroG//aceB//atoA//fabD//prmC//ynfH//alaC//fumA//
RstA_neg	fes//citF//
RstA_pos	metB//
RtcR_pos	adhE//lyxK//
RutR_neg	mdh//glnA//adeD//metC//cynS//aldB//garK//glcD//wecC//gltX//
RutR_pos	mngB//
SdiA_neg	
SdiA_pos	
SgrR_neg	mtlD//
SgrR_pos	pflB//astA//
SlyA_neg	
SlyA_pos	dhaK//mhpC//yeaE//ilvB//sucB//kbl//sucC//leuA//sgbE//
SoxR_neg	
SoxR_pos	umpH//
SoxS_neg	
SoxS_pos	ulaE//ulaD//serA//fadA//nrdD//garK//umpH//ldtC//glpX//lpd//gabT//astB//yeaG//ogt//nagB//hemL//glcB//rutA//gloA//nrfC//alaS//serC//preT//bacA//pnp//rffT//
SrlR_neg	trmA//atoB//pgk//
StpA_neg	pdeL//uidA//nirD//
SutR_neg	lpd//phoA//
SutR_pos	
TdcA_pos	truB//cysC//pdeH//dkgB//entD//
TdcR_pos	ppsA//dinB//yeaG//caiB//ilvD//
TorR_neg	ada//
TorR_pos	phoA//allE//pdeL//ilvE//
TreR_neg	icd//metL//
TrpR_neg	ansB//glpB//nrdA//nadA//pyrC//bacA//bglB//carB//moaC//
TtdR_pos	xylA//wecE//
TyrR_neg	dmsC//add//glxK//fau//acnB//oxc//hpt//
TyrR_pos	atoA//paaC//glpB//
UhpA_pos	ilvM//
UidR_neg	citD//ppsA//
UlaR_neg	trpD//purN//ppc//hycC//tdcB//
UvrY_pos	tadA//hycD//
UxuR_neg	lsrF//rbsD//frdA//rhaA//acs//
XapR_pos	rsmH//nirB//
XylR_neg	
XylR_pos	prmC//preT//fumB//
YdeO_neg	
YdeO_pos	nrfA//ahpF//ackA//
YefM-YoeB_neg	deoC//
YefM_neg	metE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	lyxK//lldD//cysC//nrfD//purE//uvrB//
YjjQ_neg	mhpF//ilvE//
YpdB_pos	
YqhC_pos	ybjG//narG//
YqjI_neg	rfe//
ZntR_pos	pepD//
ZraR_pos	
Zur_neg	kbaZ//
