# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	wecC//nrdD//
CueR_neg	ssuD//nagB//glnA//
CueR_pos	fadJ//accC//
CusR_pos	cyaA//rutD//entF//gnd//
CynR_neg	
CynR_pos	fabD//sdhB//rutB//
CysB_neg	queA//wzb//dadA//
CysB_pos	hyaA//hyaB//ubiA//mhpD//nanE//rutC//ppiA//ribA//pnp//ybjG//gpsA//yfdE//ubiA//pncB//
CytR_neg	atoD//murG//bglB//hemF//puuE//pdxA//hcaD//hemL//citF//rimK//
DcuR_pos	hycD//allC//mhpD//pfkA//
DeoR_neg	pdeH//lysA//rutC//nemA//gcvH//poxB//
DhaR_neg	
DhaR_pos	ldtB//
DicA_neg	
DinJ-YafQ_neg	paaZ//
DnaA_neg	murC//gnd//bioA//trpB//ynfE//
DnaA_pos	aroL//ampC//sucA//
DpiA_neg	
DpiA_pos	yeaG//ldtB//narH//purL//caiA//
DsdC_neg	
DsdC_pos	trpA//bioC//
EbgR_neg	
EnvR_neg	rsmA//aceF//
EnvY_pos	deoA//pgaC//
EvgA_pos	add//rbsD//metF//gloA//purE//pykF//
ExuR_neg	gudD//bioF//nagB//ygeA//ansB//codA//
FNR_neg	cpdB//prs//aceB//ilvM//pncB//yiaK//ahpC//sufS//fadI//bioF//citC//fadJ//pdeH//uxuA//leuD//fes//purC//aceB//amn//iscS//mpl//fucO//fumA//add//ftsI//entF//gutQ//cysH//frdA//murQ//appA//hycD//add//citX//phnM//phnM//hemF//yedX//hyaB//arsC//malS//pgm//fadE//metK//
FNR_pos	araB//entA//cysE//serA//sdhA//nadA//glgA//ascB//glpK//murQ//caiA//sodA//pdeF//aroL//aspC//poxB//tehB//idnD//prpD//dgcC//torA//argB//ilvC//bglB//grxA//upp//gpmA//metE//wecC//wzc//ahpF//ulaE//atoD//carB//moeB//mhpE//eno//argH//entC//moaA//chbF//oxc//purH//purB//rutD//fucA//garL//phnO//gloA//glpX//rsmH//ynfE//ynfF//aceA//ynfG//phr//aceA//luxS//galE//uidA//bacA//mhpE//alaS//lacA//gadB//icd//lpd//entA//astD//phnG//murE//nanA//hycG//ynfH//uvrC//leuB//amn//ubiG//entB//glpX//gdhA//sodA//garL//narH//pdeL//ampD//ogt//fucA//murC//pheS//mnmG//pdeL//uxaC//gadB//napB//pgaD//
FabR_neg	araD//sdhB//ynfG//
FadR_neg	wecE//fabD//argG//poxB//napG//mhpE//gltX//purK//nrdA//
FadR_pos	rffM//fadJ//pgm//nrfA//acnA//gabT//cysH//sodB//ldtB//garR//
FeaR_pos	lysA//serA//
FhlA_pos	rsmH//uxaB//purE//mhpE//moeA//cyoE//glk//leuD//
Fis_neg	rutA//fau//phnG//dhaK//alkB//sodA//ilvN//cadA//pepD//caiC//purM//citE//glgX//pagP//uxuB//glyA//pgk//icd//acnB//argG//rffM//astC//fabG//umuD//wecC//gudD//waaH//purK//glxR//gudD//mhpA//alsE//bioA//rnpB//fabI//ilvC//nanK//aroG//glgP//moaD//narG//agp//puuE//ftnA//prpD//garR//
Fis_pos	purF//hypF//kbaZ//galM//metF//speB//frdC//metK//purC//rffT//nanE//recF//garL//gabT//rhaD//prpC//xapA//nanK//dusB//guaA//ilvC//trmD//oxc//betA//caiA//dmsB//nirB//bcsZ//accA//lpxD//lpd//ilvC//paaY//eno//gcvP//ubiC//mhpC//
FlhDC_neg	argA//paaH//
FlhDC_pos	ubiX//hycC//appA//putA//purF//gatD//ldtC//ilvC//purH//ycjG//fucO//dgcN//
FliZ_neg	dacC//trmA//nrdF//carA//fbaA//
FucR_pos	relA//galE//rsmA//sdhA//yedX//citD//
Fur_neg	cysE//purL//mhpE//ssuE//araD//phnG//fumA//frdA//rfe//nemA//nanM//zwf//ilvM//lpd//glpX//xylB//fucO//citD//fadA//galE//wzc//rhaB//fucA//glgP//argG//citD//entA//sgbH//fucO//aspC//mhpD//epd//hypF//ssuE//paaK//phr//ilvH//serC//citD//betA//aldA//ftsI//pykF//allE//rffT//gcl//citF//lysC//ygeA//garD//puuB//glyA//astB//
Fur_pos	hcaE//tdcD//yqjH//gcvP//wecC//purL//xapA//fumC//ycjG//dhaM//pdxA//lsrG//fbaA//garL//cueO//bacA//
GadE-RcsB_pos	hchA//purF//citE//ilvM//phnH//
GadE_pos	fucA//glpX//glgP//uvrB//chbF//speA//polA//ydcS//bacA//glxK//
GadW_neg	yqjH//dinB//ccp//
GadW_pos	allC//glgB//torC//galM//
GadX_neg	fumA//puuE//
GadX_pos	glpD//rhaD//fadD//ssuE//yfdE//pepD//ttdB//rtcB//dadA//luxS//uvrB//
GalR_neg	hflX//oxc//pdxA//ulaG//paaJ//malZ//
GalR_pos	glpD//napH//speA//astE//
GalS_neg	deoD//ackA//rimK//ribA//ahpC//bcsZ//
GalS_pos	prpC//dapB//ilvG_1//glpD//
GatR_neg	amn//ygeA//ilvI//
GcvA_neg	xdhC//paaH//apaH//
GcvA_pos	purN//ndh//hyaA//
GlcC_neg	
GlcC_pos	mngB//atoD//recD//
GlpR_neg	tyrA//puuE//talA//umuD//ruvA//nrdB//phnG//
GlrR_pos	
GntR_neg	lpxC//glcB//leuB//pfkA//patA//trpD//ahpC//argF//serC//
GutM_pos	deoA//glgX//aspC//
H-NS_neg	deoB//ruvB//sgbE//gnd//asnA//hflX//lhgO//lsrF//malY//phoA//nirD//garK//glcD//cynS//lysC//nadB//ycjG//hyaA//gatY//narI//aceA//dusB//glpE//nanK//glpE//mtlD//gcvP//fes//astA//argC//rutD//preA//pyrD//paaE//fadM//tpiA//tyrB//ilvG_1//purB//uidA//metB//ulaF//eda//ygeA//gpmA//pgaB//mhpB//ddlB//galT//chiA//ssuD//
H-NS_pos	allE//alaS//atoA//trpC//ilvA//argE//hcaD//araD//manA//atoA//metL//atoD//hpt//cysH//nrdE//
HU_neg	lacA//argB//glpX//rffH//iscS//gadB//rsmH//
HU_pos	
HcaR_neg	
HcaR_pos	prmC//metE//
HdfR_neg	
HdfR_pos	
HigA_neg	hyaB//
HigB-HigA_neg	cysE//
HipAB_neg	ada//nanK//
HipB_neg	dsdA//metF//garL//
HprR_neg	trpE//entB//
HprR_pos	ahpF//rffH//
HyfR_pos	katE//
HypT_neg	hycB//rffC//
HypT_pos	gcl//dgkA//ilvD//nrdF//waaH//
IHF_neg	napH//mngB//gltA//purD//fabI//frc//tktB//entH//hemA//uxuA//rbsD//aldB//phnN//hemH//cysD//sgbH//nirD//gatZ//moaA//cynS//fbaB//narG//purF//deoB//nadC//nemA//ndh//ruvA//sgbU//glcF//hcaC//recD//moeB//uvrA//gcl//grxA//ilvG_1//trpC//pyrC//phoA//sucA//cmoM//yeaE//
IHF_pos	sbcC//ampC//xylB//ilvH//xapA//araD//malQ//allC//hcaD//mazG//uxuA//napG//oxc//guaA//acnB//puuD//pdeR//idnK//gor//dinB//caiC//yeaE//trpC//purC//gloA//pykF//apaH//fabH//preA//pdeR//araD//bioA//uxuB//atoA//fabD//eno//dinB//sdhC//glcB//alsE//ldtD//glxK//hemA//frdA//waaY//fruK//uxaA//sgbU//leuB//alaC//ppiA//aldA//mpl//astC//uvrA//aspA//acs//citC//hcaE//ahpF//leuD//nrdA//atoB//murG//manA//hcaD//pncB//astB//fabA//sbcC//speB//
IclR_neg	uvrC//pheT//pykF//
IdnR_neg	paaE//cadA//
IdnR_pos	citG//betB//leuB//yiaK//
IlvY_neg	
IlvY_pos	add//
IscR_neg	umuD//kbaY//astA//murC//ilvD//phnM//
IscR_pos	guaA//ilvG_1//
KdgR_neg	ynfG//mtlD//
KdpE_pos	yqhD//
LacI_neg	ulaD//speA//pflB//
LeuO_neg	
LeuO_pos	gabD//pgpC//ssuD//galT//mltF//moaA//
LexA_neg	serA//puuA//glmS//puuE//fabI//uvrA//sdhD//paaG//gltD//tdcD//pgaD//hchA//lysA//xdhA//sdaA//argA//fau//gabD//alaA//nadB//fadE//nadA//glgP//
LldR_neg	astD//asnB//
LldR_pos	gapA//uvrA//
LrhA_neg	
LrhA_pos	
Lrp_neg	glgB//metF//paaE//glyA//ilvG_1//fabZ//caiC//ccp//cheB//caiB//hycC//purL//frdD//glgX//fucO//trpA//mhpA//prpC//umpH//dadA//xylA//sgbH//feaB//
Lrp_pos	cheR//hycG//hycG//puuB//aldA//fruK//nadB//pdxA//glnA//aceE//puuC//fabH//argE//acnB//ravA//paaA//tynA//frdD//ttdB//rfe//
LsrR_neg	cysJ//eno//phnG//garD//purM//
LysR_neg	
LysR_pos	citG//
MalI_neg	pnp//aroF//
MalT_pos	nanA//purM//ilvG_1//hycC//gutQ//malS//
MarA_neg	bioC//
MarA_pos	ssuE//fabB//allD//argB//trpC//uxuB//aldA//wecC//hyaB//gutQ//garL//slt//nadC//nrdE//hyi//murG//lldD//purE//lpd//glxR//gcvT//frdB//pheS//
MarR_neg	
MatA_neg	rutD//
MatA_pos	
MazE-MazF_neg	lysC//
MazE_neg	malZ//
McbR_neg	
McbR_pos	
MelR_neg	astA//alaA//
MelR_pos	dhaK//paaK//
MetJ_neg	add//aceB//frdC//ampC//ttdA//accC//argH//pdeL//galT//idnO//
MetR_neg	sucC//
MetR_pos	yqjH//add//alsE//adeD//
MhpR_pos	glyA//glsA//grxA//patD//waaZ//galK//
Mlc_neg	aldB//hpt//pykF//sufS//
MlrA_pos	allE//
MngR_neg	pyrD//ubiX//
MntR_neg	entE//
MntR_pos	yedX//
ModE_neg	kbl//dacC//acnB//bioB//ynfF//fabD//rnpB//bcsZ//
ModE_pos	bioB//carB//cdd//gdhA//argH//carB//ldtD//alaS//wzc//
MprA_neg	nagA//gntK//malQ//
MqsA_neg	rbsK//alsE//
MraZ_neg	ilvE//murG//sbcD//epd//tktB//caiA//ilvA//pdeR//trpD//chbF//
MurR_neg	murF//uxuA//puuE//
MurR_pos	
Nac_neg	preA//poxB//puuC//
Nac_pos	codA//udp//dusB//sufS//ampC//preA//gpmM//napH//
NadR_neg	hflX//cpdB//sucD//glcF//
NagC_neg	ubiG//phnP//dusB//sdhC//waaH//gdhA//nanA//allA//nrdD//hycD//ttdB//gdhA//pheT//purN//kbaY//aroG//dgcN//mtlD//
NagC_pos	idnD//wrbA//
NanR_neg	fabH//galT//phnP//kbl//hchA//purL//
NanR_pos	
NarL_neg	bioC//truB//fumC//gadA//puuD//pdeL//pflB//argB//gltX//hyaA//murD//gutQ//deoC//puuC//srlD//pgpC//hyaB//folA//hcaE//bcsZ//hcaF//phnG//rfe//patZ//leuC//rbsD//aroF//citG//
NarL_pos	oxc//napG//puuE//fdhF//nanA//ynfE//truB//recD//pgaB//nrfC//cheR//aroA//ychF//cheB//ldtC//
NarP_neg	mtlD//accC//dkgA//frdD//lsrK//
NarP_pos	lsrG//malS//hemL//glcF//asnA//glpQ//argI//glpA//gloA//murC//carA//trpB//idnO//mnmG//
NemR_neg	gpmM//entD//
NhaR_pos	pspE//gloA//ascB//speC//dusB//
NikR_neg	sdhC//
NimR_neg	idnK//
NorR_neg	
NorR_pos	manA//
NrdR_neg	malZ//trpC//sdhD//hycE//
NsrR_neg	lyxK//rtcB//frdC//acnA//lpxD//glxR//moaC//tpiA//idnK//puuA//frdD//lsrK//uvrA//hmp//napG//dadA//lacA//cysD//dhaL//ttdB//fadI//ansB//hycF//icd//udp//argC//mhpB//garD//purF//cysE//napH//prpB//agp//hyaB//patD//pyrD//hcaC//purF//mraY//rffG//
NtrC_neg	glnA//entB//
NtrC_pos	moeA//gutQ//xylA//phnI//citC//ilvI//trpA//aldB//cysD//puuC//malP//puuE//nrdE//carA//fucO//lsrK//sdhD//rffC//xdhC//purF//gabT//
OmpR_neg	trpE//lpxC//tdcD//phnH//fabD//
OmpR_pos	garR//bioD//nrfA//nanM//
OxyR_neg	napH//araD//glpA//dgkA//katG//
OxyR_pos	caiB//pdeH//lysC//xdhC//fucO//apaH//agp//glcB//hycG//glgA//ilvM//glmS//
PaaX_neg	phnJ//rtcB//rtcB//prs//glk//astD//hyaB//mraY//tnaA//
PdeL_pos	epd//
PdhR_neg	fucI//cyoE//leuD//adeD//rffC//hemA//metA//tyrA//carA//citD//gadA//adeD//alaC//tdcE//astD//uvrC//gnd//amn//aceA//puuA//idnO//lpxD//murE//
PdhR_pos	cadA//oxc//
PepA_neg	glsA//mtlD//
PgrR_neg	hyi//ldtD//
PhoB_neg	sdhC//aspC//ttdB//nagA//puuB//
PhoB_pos	fumB//hycB//garK//pflB//nrdA//ndh//ppsA//kbaY//paaF//hemF//rffC//rffT//aroA//metF//pdeH//dapB//uxaC//
PhoP_neg	allD//lpxA//hypB//
PhoP_pos	ung//ubiC//gudD//paaF//fabH//bioC//ynfH//phnL//lysU//ulaG//frdC//glmS//xdhB//dhaK//glgX//nirB//citE//sucD//accD//rbsD//fes//fbaA//sdhA//galK//tehB//aldA//hemH//ubiG//entE//xdhB//xylA//
PrpR_neg	
PrpR_pos	mazG//ddlB//pdeF//hcaD//
PspF_neg	
PspF_pos	pykF//
PurR_neg	hpt//fau//manA//sucD//amiA//gabD//aldA//glpQ//rffT//fadA//metA//paaK//mhpB//phnG//metE//xylB//caiC//grxA//hemA//ampC//fabH//hyaA//sbcC//sdhA//leuA//rtcA//
PutA_neg	mpl//caiB//
PuuR_neg	mtlD//chbF//aceE//nadB//uvrA//glcD//
QseB_neg	
QseB_pos	
RbsR_neg	garK//purF//gpsA//mraY//entD//
RbsR_pos	caiC//
RcdA_neg	
RcdA_pos	galM//
RclR_pos	
RcnR_neg	glk//
RcsAB_neg	hyaA//
RcsAB_pos	mraY//lpd//
RcsB-BglJ_pos	wecB//galE//
RcsB_neg	betA//
RcsB_pos	fabA//yqjH//prpC//
RelB-RelE_neg	hchA//
RelB_neg	mhpC//
RhaR_pos	
RhaS_pos	fadH//acnB//leuA//gcl//
Rob_neg	
Rob_pos	citF//puuC//fadI//glgP//wzc//gloA//malS//hyi//sdhB//yiaK//aroH//accD//hcaF//moeB//aroF//pgk//chbF//gltD//adeD//
RstA_neg	argC//ilvD//
RstA_pos	narH//
RtcR_pos	phnG//prpD//
RutR_neg	murF//entF//galT//mltF//mhpD//ahpC//aroF//glgB//cysG//katG//
RutR_pos	pagP//
SdiA_neg	
SdiA_pos	
SgrR_neg	chbG//
SgrR_pos	fucI//rtcB//
SlyA_neg	
SlyA_pos	mtlD//fabB//nirB//fabI//poxB//phnP//pagP//ldtC//hcaE//
SoxR_neg	
SoxR_pos	aceE//
SoxS_neg	
SoxS_pos	apaH//purF//katG//purH//fucA//citD//phoA//manA//metF//thrS//mhpB//sdhC//phnM//rpiB//citX//gloA//lpxA//galE//sodA//ccp//fabH//agp//purF//uvrB//ynfE//nadC//
SrlR_neg	patA//pykF//pgpC//
StpA_neg	wecE//ynfF//hycD//
SutR_neg	cysI//entC//
SutR_pos	
TdcA_pos	adhE//tdcD//ftsI//murQ//nirB//
TdcR_pos	yfdE//uxaB//phr//udp//purE//
TorR_neg	nanK//
TorR_pos	atoD//paaY//glxR//rutB//
TreR_neg	pheS//rutD//
TrpR_neg	luxS//glpB//hcaB//ldtB//cysI//hycD//paaC//phnL//rutB//
TtdR_pos	uxaC//eno//
TyrR_neg	glpK//hycG//rtcB//lsrG//phnG//entE//uxaB//
TyrR_pos	cysE//hycC//glgC//
UhpA_pos	paaK//
UidR_neg	moaC//galE//
UlaR_neg	melA//tdh//gcvH//frc//metH//
UvrY_pos	dmsB//atoA//
UxuR_neg	cdd//fabA//glk//garL//caiB//
XapR_pos	allA//bioA//
XylR_neg	
XylR_pos	fbaA//bioA//upp//
YdeO_neg	
YdeO_pos	pykF//prpB//moaD//
YefM-YoeB_neg	argB//
YefM_neg	nrdF//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	sdhA//fabB//ulaD//speB//umuD//lyxK//
YjjQ_neg	glnA//pdeH//
YpdB_pos	
YqhC_pos	acnA//pnp//
YqjI_neg	kbl//
ZntR_pos	bcsB//
ZraR_pos	
Zur_neg	bioF//
