# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	mhpA//trpC//
CRP_pos	sgbH//sdhD//rimK//mraY//fadJ//argF//gabD//uidA//atoA//nanK//nrfD//lpd//wecC//dkgB//lacA//paaY//trpC//fabD//acs//treC//citC//slt//bioF//bioC//napB//purL//puuC//dgcC//moeB//feaB//ilvD//ulaD//ttdB//mpaA//nagA//hyaC//rnpB//gatY//codA//mpaA//purA//glcE//purE//cynT//paaF//fau//dgcN//ampC//ravA//tynA//rbsD//preA//trpA//lldD//dgcZ//amiA//gltB//ttdA//ttdA//rsmA//moaD//sodA//garD//phnM//ldtC//ubiG//cmoM//paaC//amiA//fbaB//gapA//sbcD//hyaB//gadB//rbsK//ndh//narH//dinB//ybjG//aroA//argI//paaE//phoA//ilvB//gcl//tdh//sodA//tnaA//cdd//ulaE//puuE//fucO//carA//agp//wecB//citG//ulaG//rimK//entH//betA//queA//rtcA//astD//talA//moeB//kbaY//paaY//pflB//tdcG//purM//entB//gcvT//idnO//cysD//ynfH//ogt//treC//atoD//atoA//gpsA//rutD//mhpE//gutQ//pdeH//puuB//pgk//codA//alaC//pncB//gloA//caiB//pdeH//carA//murF//astE//metE//gudD//lsrF//rtcA//gcvP//gapA//umuD//tnaA//rffC//cysC//glpD//entC//thrS//arsC//uidA//feaB//fadA//cysC//ppiA//ynfG//hypF//prs//uxuA//ppsA//hflX//dhaM//rtcA//ppc//trpD//dgkA//ndh//gnd//argG//torC//wecB//cysJ//puuC//accA//dhaM//lsrK//sdhB//tadA//ribA//wzb//pyrC//nagA//atoB//frdC//napA//iscS//ruvA//yeaG//uvrB//glcF//umuD//entH//uxuA//ddlB//dadA//nirD//pspE//sdhC//argG//glcE//dgcC//galK//pagP//ldtB//aroA//hyaB//pgaC//gcd//patA//bioD//atoB//entE//hcaC//ravA//polA//allE//phnL//ychF//ycjG//ulaE//deoA//purH//rfe//recF//cysH//ubiA//lyxK//talA//ampD//glgA//leuD//moaD//sodB//ftsI//mtlD//dhaK//fbaB//eno//ilvC//nrfD//paaJ//truB//rutC//aldB//dmsC//atoA//pnp//hemF//phnH//galK//
CadC_pos	recB//ldtC//phnL//
CaiF_pos	fumA//yqhD//pgaD//garK//gltX//
Cbl_pos	murQ//entC//ygeA//aroF//add//
CdaR_pos	nirB//caiD//phnN//cysE//sucD//lysU//dusB//hyaB//glxR//
CecR_neg	fau//
ChbR_neg	eda//paaC//fruK//
ChbR_pos	garK//murG//tam//
ComR_neg	
CpxR_neg	torA//gltB//malZ//
CpxR_pos	pheS//entE//bioB//pgk//fruK//uvrB//deoD//ilvM//glpE//dgcC//gatD//rffT//dkgB//purK//srkA//hpt//hycE//hyi//
Cra_neg	gutQ//prpD//frdB//allD//ccp//nirD//cysJ//ampC//sgbH//aroA//xylA//poxB//hyi//uvrC//phnI//rimK//cysJ//fabD//iscS//narG//nrfD//nrdA//kbl//ubiG//speB//hemL//cadA//glxK//idnD//galE//glcF//dgkA//acnB//allD//hycF//glnA//lsrK//fadE//accA//purN//umuD//ulaE//patD//kbl//hchA//
Cra_pos	tauD//fadM//ilvN//accA//ttdB//aceA//aroF//entH//fadD//nirD//argI//pdeH//gudD//polA//ilvC//wecC//nemA//
CreB_neg	zwf//
CreB_pos	aroG//
CsgD_neg	entA//murC//
CsgD_pos	dkgB//hemH//fumB//
CsiR_neg	rutE//prs//waaZ//lacZ//
CspA_pos	murE//
CueR_neg	moaE//prpD//rutE//
CueR_pos	gcvH//rhaD//
CusR_pos	murD//fumC//sucD//cyoE//
CynR_neg	
CynR_pos	murC//amiA//uvrC//
CysB_neg	ulaE//fbaB//puuD//
CysB_pos	nrdB//metB//purM//cysJ//acnA//mltF//oxc//fbaA//caiB//alaA//sucA//cysE//ftsI//phnH//
CytR_neg	yeaG//srlD//puuB//nfsA//gnd//argF//grxA//fumA//cynT//tdcB//
DcuR_pos	paaK//entC//umuC//cysH//
DeoR_neg	purA//glxK//ppiA//lacA//idnO//phnM//
DhaR_neg	
DhaR_pos	gutQ//
DicA_neg	
DinJ-YafQ_neg	metC//
DnaA_neg	rbsD//wrbA//dadX//metF//dapB//
DnaA_pos	deoC//puuC//nrdA//
DpiA_neg	
DpiA_pos	deoA//fruK//leuA//psd//gnd//
DsdC_neg	
DsdC_pos	phnH//astC//
EbgR_neg	
EnvR_neg	fumA//argC//
EnvY_pos	accA//tehB//
EvgA_pos	xdhC//entF//alaS//purN//queA//araD//
ExuR_neg	yqjH//pgm//frdA//argF//argG//moaA//
FNR_neg	cysH//recB//uvrB//puuD//epd//napA//ilvH//rffT//gpsA//serC//ilvA//hycC//trpD//astA//lacA//umuC//alaA//puuB//hcaC//avtA//ansB//gpmM//nrdB//rutD//accA//tpiA//dkgA//purC//malQ//argI//argF//speC//ilvA//frdB//astE//patA//rtcB//paaC//fabG//sgbU//araB//sucB//pgaC//adhE//
FNR_pos	adiA//prs//caiC//tdcB//puuE//prpE//entH//argC//amiA//betA//astD//pgaC//moaA//trpD//rtcA//ssuE//cyaA//wrbA//puuA//cynT//betB//sbcD//dsdA//wecE//folA//deoC//gadB//hycD//nrdB//fucU//gcd//entC//lpxA//ldtD//uxuB//thrS//argH//puuB//ahpF//kbaY//accC//cysH//sdhD//gadA//glgA//prs//bioD//galE//aroL//leuB//pnp//queA//cysI//rffG//gcd//add//purN//katE//bglB//garK//ddlB//cynS//murC//moeA//paaC//yqhD//dgcN//moeA//tdcB//pdeR//phnP//sdhB//rbsK//glgP//recB//ssuE//bcsB//araA//argE//ulaE//tyrA//pgi//galK//gcvT//ftsI//mazG//ampC//rhaD//lpxD//nirD//fabD//sucA//mltF//ilvE//cyoE//citE//
FabR_neg	glpK//fumA//rbsD//
FadR_neg	pdeL//hchA//gabT//mhpD//fucU//citE//metH//aspA//glmS//
FadR_pos	fabG//polA//wzc//dhaL//pheT//sgbH//hyi//pnp//nanM//fabI//
FeaR_pos	manA//glpE//
FhlA_pos	atoA//ilvG_1//mpl//tynA//metA//pgaD//fucK//nagB//
Fis_neg	astD//cysH//glgB//fucA//tehB//lsrG//phnG//garL//napB//tnaA//katE//polB//ackA//bioF//allB//accD//aldA//glpK//allE//nrfC//hemA//oxc//gltA//atoD//dacC//cdd//atoB//purK//metF//kbaZ//entH//hycE//ilvE//hemH//mpaA//garD//deoA//folE//glpE//hycE//ychF//entA//folE//dapB//murG//allD//
Fis_pos	pgk//ttdA//cpdB//rbsD//moeA//ycjG//dhaL//sbcD//nadA//srlD//ftsI//hyaA//ccp//hyaB//sbcC//uxuB//pyrC//pgk//glpQ//codA//pyrC//argA//ulaG//garD//ilvC//hypB//nrfA//hyi//melA//leuD//cueO//nfsB//ttdA//asnB//ccp//paaB//glpQ//
FlhDC_neg	aspA//frdB//
FlhDC_pos	gdhA//sodB//hyaC//mpl//trpA//garR//atoB//araB//glcD//gnd//sucB//uvrC//
FliZ_neg	ulaE//ynfH//purF//puuD//glgA//
FucR_pos	phnM//dhaK//hypB//glpC//ynfH//paaF//
Fur_neg	cynT//fabI//adeD//aceF//queA//tauD//speB//tpiA//fbaB//napB//rffH//puuD//glsA//gpsA//galM//ldtD//relA//entA//wzb//uvrB//carB//malQ//lsrG//mhpF//pck//polB//ilvE//agp//glgA//ravA//leuB//polA//fucU//deoA//torC//garD//xylB//recD//bacA//caiC//sgbH//uvrB//deoD//lpxD//allB//napH//phoA//phnP//fadA//moeB//phnG//puuD//pfkA//
Fur_pos	garR//gnd//ubiX//argB//fruK//deoC//hycB//mhpD//cynT//pspE//paaB//eno//uxaB//ascB//paaE//trmA//
GadE-RcsB_pos	srkA//nrdA//glgB//murQ//pnp//
GadE_pos	mdh//phnM//glgC//fbaB//rffC//napB//nrfA//glpX//iscS//leuB//
GadW_neg	nanE//fabB//glpA//
GadW_pos	sdhD//glpD//fadJ//pdeF//
GadX_neg	pncB//dgkA//
GadX_pos	mhpB//pgk//ynfF//rutC//phoA//nanM//gcl//amiA//yeaG//astD//glpA//
GalR_neg	atoD//ruvA//phr//bioB//trpA//mhpF//
GalR_pos	aldA//cysD//tauD//hyi//
GalS_neg	bioD//uvrA//add//nanK//nrdA//gatD//
GalS_pos	lyxK//recD//glpB//sgbE//
GatR_neg	ubiC//phnH//sdhD//
GcvA_neg	ravA//fau//poxB//
GcvA_pos	preA//icd//speB//
GlcC_neg	
GlcC_pos	uxaB//phnN//nrdF//
GlpR_neg	ribA//aroH//guaB//cueO//metA//pflB//argC//
GlrR_pos	
GntR_neg	sdhB//fabI//trpB//mhpF//gltX//tyrB//rffC//alaA//tdcG//
GutM_pos	sbcC//rsmH//moaC//
H-NS_neg	folA//ahpF//mhpE//narI//tauD//phoA//cueO//kbaY//ahpF//allB//murG//betA//dadA//ftsI//pagP//metK//sgbE//hemA//nemA//fabG//nanE//yeaG//hyaC//atoA//malS//fadH//dmsA//treC//feaB//hypB//napA//rhaA//pncB//aspC//puuC//paaA//purD//tpiA//glsA//pdeR//gatD//sodB//adiA//nrfA//fabB//aroL//hycF//araA//atoB//uvrA//waaH//
H-NS_pos	sdhD//mhpD//katG//hycE//napH//tehB//ilvE//srlD//yqhD//trpE//xdhB//paaZ//paaB//umuC//ruvB//
HU_neg	tdcD//ubiG//purM//ascB//metE//alsE//phnI//
HU_pos	
HcaR_neg	
HcaR_pos	carB//gcvT//
HdfR_neg	
HdfR_pos	
HigA_neg	sucA//
HigB-HigA_neg	purH//
HipAB_neg	ppsA//ribA//
HipB_neg	gapA//napG//moaA//
HprR_neg	dmsC//sdhD//
HprR_pos	puuB//yedX//
HyfR_pos	pepD//
HypT_neg	torC//gadA//
HypT_pos	cysC//murG//asnA//pgaC//paaE//
IHF_neg	amn//purH//pheS//citC//epd//hemH//sdhB//metF//ldtC//alaS//yeaG//narG//putA//sodB//grxA//fadD//pdeF//glxR//rhaA//ilvM//entF//alaC//ilvB//sufS//galE//recD//dacC//dapB//dapB//uvrB//narI//glsA//umuD//tam//hemL//pheT//purF//pspE//sbcC//fadA//sucB//truB//pgaB//
IHF_pos	gadB//ackA//ppc//glgP//glnA//asnA//gloA//fucK//glpA//pdeH//dmsB//wecC//hcaE//metE//rpiB//lsrK//idnO//xdhB//glcE//cueO//dgcC//apaH//tam//aspA//hpt//ascB//dhaK//entF//rhaD//gabD//xdhC//cysM//ribA//gutQ//nanK//relA//pheT//eno//feaB//hypB//serA//cysH//glnA//tam//pgm//waaH//pdxA//ilvD//glpB//uvrA//accC//puuB//ubiA//aspC//rtcB//folE//bioB//nirB//aroF//napH//cmoM//dusB//cueO//fadB//prs//argC//eda//cysM//sdhD//fucI//murI//
IclR_neg	yqhD//talA//phnH//
IdnR_neg	waaY//citC//
IdnR_pos	ddlB//ynfF//uxuB//polA//
IlvY_neg	
IlvY_pos	ddlB//
IscR_neg	nrdB//gdhA//nrfC//hyaA//allC//cysE//
IscR_pos	bglB//ackA//
KdgR_neg	patZ//purB//
KdpE_pos	sufS//
LacI_neg	nanA//tadA//argF//
LeuO_neg	
LeuO_pos	hyi//metH//entD//carA//aceF//nadA//
LexA_neg	fadH//ilvC//fabG//malS//gltD//pflB//ilvB//entH//hycF//slt//ilvD//manA//murF//umpH//wrbA//allD//fadD//gltX//hycB//pagP//adiA//hemF//argI//
LldR_neg	aldB//cysH//
LldR_pos	nrdF//torA//
LrhA_neg	
LrhA_pos	
Lrp_neg	glsA//sdaA//atoB//idnD//ruvA//garL//nrfD//speC//metF//srkA//fucA//adhE//fumB//avtA//fadJ//phnN//srlD//aceA//purE//rutE//hcaD//moeB//malQ//
Lrp_pos	nrfD//idnK//galM//fadA//deoA//cysH//aldA//dgkA//hcaF//hemH//pck//gabT//gcl//cdd//idnD//hycB//fumA//gadA//uxuB//murI//
LsrR_neg	wecC//rtcA//purD//fes//uidA//
LysR_neg	
LysR_pos	pagP//
MalI_neg	dsdA//trpD//
MalT_pos	frc//araA//hmp//lsrF//nfsA//frdD//
MarA_neg	argB//
MarA_pos	srlD//murE//purB//tdcG//galT//fdhF//glxK//puuD//hycG//uxuB//fadM//dhaM//ydcS//gloA//ulaF//appA//purL//asnB//gltA//fdhF//metH//caiD//aroF//
MarR_neg	
MatA_neg	metC//
MatA_pos	
MazE-MazF_neg	carA//
MazE_neg	ftsI//
McbR_neg	
McbR_pos	
MelR_neg	citC//cysC//
MelR_pos	citF//puuC//
MetJ_neg	cysK//pyrD//ubiX//malQ//astE//fadB//aceA//uxuA//iscS//nagA//
MetR_neg	rpiB//
MetR_pos	sgbU//uidA//iscS//hemL//
MhpR_pos	mpaA//aldB//ahpC//trmD//wecB//cynT//
Mlc_neg	garK//treC//moaA//tpiA//
MlrA_pos	cyoE//
MngR_neg	ogt//betB//
MntR_neg	sucA//
MntR_pos	fumA//
ModE_neg	pgpC//hcaF//dgcC//ilvN//lysU//ung//add//waaH//
ModE_pos	sodA//agp//sucA//uvrA//ulaF//prs//fabI//mpaA//lacA//
MprA_neg	ilvC//pagP//yedX//
MqsA_neg	pagP//amn//
MraZ_neg	dapD//sgbH//lacZ//cmoM//idnD//fbaA//glpX//katG//glcE//hcaF//
MurR_neg	waaZ//relA//rffG//
MurR_pos	
Nac_neg	trpA//arsC//hcaF//
Nac_pos	epd//nadC//hcaB//citE//gpsA//malP//epd//bioA//
NadR_neg	glyA//aceF//psd//ahpC//
NagC_neg	moeB//accC//bioF//nirB//lacA//talA//phnH//yeaG//ulaD//rffH//fbaB//patD//fadB//metF//melA//ulaG//trmD//argF//
NagC_pos	hycD//malY//
NanR_neg	nadC//purF//uxuB//malY//malP//xapA//
NanR_pos	
NarL_neg	trpB//pnp//fadH//rnpB//hchA//allB//entD//citC//yeaG//ubiX//fucU//nrdD//pgi//wrbA//fumC//cheB//argE//cadA//fucK//aldB//fucU//purD//phr//pdeL//cheB//hcaE//rhaB//pnp//
NarL_pos	gcl//rtcA//dkgB//frdC//acs//dgcZ//guaA//astB//ssuE//caiA//ilvE//rutC//sgbH//glgC//deoD//
NarP_neg	adeD//garL//wecE//phnM//recD//
NarP_pos	alsE//mltF//ydcS//glcF//gntK//gltB//dmsB//frdA//fabH//waaH//add//srkA//fdhF//yedX//
NemR_neg	tdcB//fucI//
NhaR_pos	napB//fadM//glxK//ackA//sgbU//
NikR_neg	sdhA//
NimR_neg	oxc//
NorR_neg	
NorR_pos	araA//
NrdR_neg	hcaE//tehB//appA//puuA//
NsrR_neg	paaC//arsC//nrfD//lpxD//purF//srlD//argD//eno//aroA//ilvD//fumB//fucK//sdhC//metH//malP//glnA//psd//hcaC//xdhB//guaA//mraY//nfsB//mdh//puuC//dhaL//carB//nagB//paaF//paaC//xylB//napH//ilvA//uxaB//glgX//argC//araD//hemA//caiD//sbcC//gcvP//
NtrC_neg	fadB//grxA//
NtrC_pos	hypB//entB//sgbU//umuD//glgX//dmsB//tdcB//rffM//ynfF//puuA//pyrC//ubiX//dapD//dinB//tam//pagP//add//idnO//chbF//bioB//edd//
OmpR_neg	ppsA//dadA//hycB//pdeR//pspE//
OmpR_pos	idnD//sgbE//patA//hcaC//
OxyR_neg	gcl//mpl//phnM//aceF//ndh//
OxyR_pos	trmD//araA//aceB//glcF//torA//sucD//rfe//lysC//cysM//umuD//gabD//ubiA//
PaaX_neg	betA//alaA//ampC//dmsA//rimK//paaZ//dsdA//fabZ//mtlD//
PdeL_pos	serA//
PdhR_neg	carA//argB//dkgB//aroA//paaJ//sucA//sdhA//waaZ//wrbA//pspE//allB//ribA//ssuD//hflX//nadC//mhpE//mhpE//rutA//lacZ//alaC//manA//napG//malP//
PdhR_pos	astC//argD//
PepA_neg	rnpB//mpaA//
PgrR_neg	glcE//gpmM//
PhoB_neg	metE//garD//phoA//cysM//lysA//
PhoB_pos	gcvT//preT//pflB//mltF//tnaA//fabI//pgaB//ppc//alaC//fadB//lsrG//pgk//frdB//bioC//glsA//wrbA//uidA//
PhoP_neg	gabT//paaG//leuC//
PhoP_pos	tdh//rffH//glsA//sucC//dkgB//wecE//paaH//pfkA//deoD//allB//tehB//leuC//nanM//lpd//aceF//tdcB//queA//nrdA//purH//hemH//murF//argF//lpd//agp//hcaD//lsrF//argA//glxR//gadB//ybjG//glcD//
PrpR_neg	
PrpR_pos	betB//garK//lsrG//yedX//
PspF_neg	
PspF_pos	aspA//
PurR_neg	metB//malQ//astD//pgpC//mngB//bacA//ilvB//nanA//tdcE//astE//cmoM//tdcE//ldtD//purL//argG//rnpB//ttdA//narH//citD//recD//cysN//glgP//wecE//sodB//gapA//nanK//
PutA_neg	frdC//acnB//
PuuR_neg	gutQ//srkA//lpd//rutB//hemH//nemA//
QseB_neg	
QseB_pos	
RbsR_neg	entB//alaA//galE//xdhC//rbsK//
RbsR_pos	ampD//
RcdA_neg	
RcdA_pos	uxuA//
RclR_pos	
RcnR_neg	hemL//
RcsAB_neg	deoD//
RcsAB_pos	cynT//lsrK//
RcsB-BglJ_pos	rhaA//entF//
RcsB_neg	gabT//
RcsB_pos	astC//tyrB//ampD//
RelB-RelE_neg	purK//
RelB_neg	paaJ//
RhaR_pos	
RhaS_pos	bcsB//glsA//murI//relA//
Rob_neg	
Rob_pos	amiA//fbaB//malP//uxaA//waaH//cysN//nfsB//tauD//speB//murE//nirD//ubiG//mhpB//guaA//malY//mdh//moaD//garD//ttdB//
RstA_neg	phoA//gltB//
RstA_pos	allA//
RtcR_pos	rhaD//bioD//
RutR_neg	deoC//sbcD//citE//pheS//hcp//phnL//rsmH//add//hcaE//argD//
RutR_pos	malQ//
SdiA_neg	
SdiA_pos	
SgrR_neg	zwf//
SgrR_pos	entH//astD//
SlyA_neg	
SlyA_pos	ubiX//nrdA//idnO//ldtC//ynfH//katE//phnN//pdeF//paaK//
SoxR_neg	
SoxR_pos	cysJ//
SoxS_neg	
SoxS_pos	chbF//mhpA//citG//dapD//tauD//phnL//nrfA//murC//cysI//frdB//glyA//psd//atoB//rfe//hcaB//chiA//hcaE//recD//tyrB//glcE//lpxC//sbcC//nadC//argA//aceA//trpE//
SrlR_neg	fabB//mnmG//gcd//
StpA_neg	gatY//tpiA//murI//
SutR_neg	speC//gcvT//
SutR_pos	
TdcA_pos	dadA//mhpF//prpC//paaZ//nrdE//
TdcR_pos	pheS//metE//ppsA//aroL//cyoE//
TorR_neg	leuD//
TorR_pos	hycF//nrfC//ynfF//asnB//
TreR_neg	entH//entF//
TrpR_neg	gltA//argA//sucD//umuC//mdh//prpD//paaF//glpQ//trpC//
TtdR_pos	tadA//lpxA//
TyrR_neg	speB//rutB//purK//fucU//galM//sdaA//fabA//
TyrR_pos	yeaE//sgbU//glpC//
UhpA_pos	hypB//
UidR_neg	prpD//citG//
UlaR_neg	pepD//dapD//araB//wrbA//ynfH//
UvrY_pos	appA//fes//
UxuR_neg	xdhC//dkgB//nrfA//talA//frdD//
XapR_pos	citE//luxS//
XylR_neg	
XylR_pos	nanA//recD//ftsI//
YdeO_neg	
YdeO_pos	patA//udp//hycE//
YefM-YoeB_neg	galT//
YefM_neg	fadA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	alaA//wecB//leuC//fadB//moaE//tdcD//
YjjQ_neg	pgaC//idnK//
YpdB_pos	
YqhC_pos	hycC//galT//
YqjI_neg	tktB//
ZntR_pos	ruvA//
ZraR_pos	
Zur_neg	wzb//
