# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ubiG//dgcC//
IHF_pos	cysN//phnJ//bioB//metK//puuB//paaK//udp//dusB//ydcS//xdhC//alaA//pgm//gatY//argH//trpB//lysA//rpiB//dgcC//treC//tdcD//oxc//fadI//atoA//luxS//nrfC//ilvD//waaH//fumC//hyi//kbaZ//ruvB//entA//murD//allA//aroG//ilvC//katE//narH//rsmA//metL//dapD//moeA//betA//pck//fabD//wzb//ilvA//slt//phnM//phoA//pfkA//mnmG//paaB//purF//yeaE//ilvB//paaJ//cysH//amiA//ravA//fabG//feaB//lsrF//malZ//fadD//astC//rutA//purH//sbcC//rtcA//fruK//
IclR_neg	udp//trmA//sucB//
IdnR_neg	melA//fdhF//
IdnR_pos	allC//ada//cysC//caiC//
IlvY_neg	
IlvY_pos	rfe//
IscR_neg	mtlD//cysH//metL//prpC//lpd//ulaF//
IscR_pos	serC//gapA//
KdgR_neg	napB//phnM//
KdpE_pos	nrdA//
LacI_neg	acnA//phr//prmC//
LeuO_neg	
LeuO_pos	purN//iscS//guaA//adeD//tdcG//trpC//
LexA_neg	deoA//nadB//gcl//uvrA//sodB//sbcD//waaH//rsmA//rutA//purH//ravA//gltD//uvrA//avtA//ribA//dsdA//gcd//hpt//metC//malZ//frc//ugpQ//argF//
LldR_neg	entC//purB//
LldR_pos	mhpD//citC//
LrhA_neg	
LrhA_pos	
Lrp_neg	codA//ulaD//glcE//hypB//serC//ilvD//grxA//xdhB//ilvN//citX//cysK//glxK//phnM//dapB//kbaZ//gcd//pdeF//uxaC//rtcB//ilvB//hemL//metF//galM//
Lrp_pos	metA//lhgO//preA//aceA//gltA//fabZ//ogt//arsC//sodA//gnd//kbl//nanK//chbF//napH//gutQ//fucK//glpK//galM//gnd//dmsB//
LsrR_neg	hycC//allE//cdd//puuA//tdcD//
LysR_neg	
LysR_pos	appA//
MalI_neg	purF//mazG//
MalT_pos	puuB//metB//nrdF//mhpF//metC//mhpB//
MarA_neg	gadB//
MarA_pos	gabD//dmsC//dhaL//fabA//lldD//gor//hyaC//xdhB//ilvN//ynfH//dgcC//rbsD//ttdA//rtcB//gltA//aldA//srkA//polA//cysD//ppc//paaK//galK//nrfC//
MarR_neg	
MatA_neg	kbaY//
MatA_pos	
MazE-MazF_neg	deoD//
MazE_neg	tdcD//
McbR_neg	
McbR_pos	
MelR_neg	alaC//tnaA//
MelR_pos	nrdF//argI//
MetJ_neg	uxaB//hycC//serA//fabD//xdhB//zwf//puuA//sgbE//uxuB//napH//
MetR_neg	hycF//
MetR_pos	rffT//napG//prpC//garR//
MhpR_pos	idnO//wecC//pflB//aroH//mhpF//gabD//
Mlc_neg	srlD//aldA//ackA//rimK//
MlrA_pos	recB//
MngR_neg	fadB//aspA//
MntR_neg	phnO//
MntR_pos	gadA//
ModE_neg	carA//gpsA//purB//zwf//tyrB//manA//ttdB//idnK//
ModE_pos	phnP//tdcE//cheB//dadA//aldA//sgbE//pgi//alaS//cmoM//
MprA_neg	phoA//hcaB//umuD//
MqsA_neg	fbaA//ruvA//
MraZ_neg	hemF//ychF//cysH//fabZ//pheS//gltA//glpE//aroG//recB//rbsK//
MurR_neg	sufS//gor//ilvC//
MurR_pos	
Nac_neg	hemF//astB//pepD//
Nac_pos	nagA//purC//mpaA//rbsK//gcvP//adiA//ppiA//fadJ//
NadR_neg	moaE//paaJ//alaA//pdeF//
NagC_neg	hemA//aceF//galK//udp//tyrA//sdhD//sucB//cyaA//tnaA//ampC//alsE//wecC//pheS//glpB//dhaM//astB//folA//hyaA//
NagC_pos	nrdE//astE//
NanR_neg	aspC//nrfD//hyi//phnM//garR//araD//
NanR_pos	
NarL_neg	ilvA//ubiX//murC//leuB//purN//lacZ//queA//gltA//cysC//tauD//rutA//tnaA//rsmA//garD//cysD//nanE//pgaC//phoA//cyaA//phnL//puuE//yeaE//polA//wecE//eda//gcvT//gcd//patD//
NarL_pos	thrS//dkgB//deoC//nagA//dgcZ//dmsB//atoB//sgbE//prs//pgaB//trpB//astD//cadA//yiaK//nadC//
NarP_neg	dkgA//katE//pspE//hemA//allB//
NarP_pos	uidA//gatZ//dapB//ada//cheR//bioF//allC//uxaA//wrbA//argG//dacC//murD//hycC//citD//
NemR_neg	sbcD//wecB//
NhaR_pos	alaA//gloA//phnP//fadI//murF//
NikR_neg	acnB//
NimR_neg	ftnA//
NorR_neg	
NorR_pos	ldtC//
NrdR_neg	hemH//trpC//nrdD//pdxA//
NsrR_neg	entA//ahpF//puuE//glcE//glgB//hpt//ycjG//paaC//melA//ung//aspA//murF//iscS//patZ//astC//fumC//mhpE//nanE//hcaF//rpiB//pykF//polB//glnA//nrfD//cynT//purH//xylA//arsC//paaH//murQ//fadJ//fabD//phnH//ubiA//nrdF//gcl//asnA//malP//paaB//fadE//
NtrC_neg	katE//gabT//
NtrC_pos	lpd//gatZ//pdeF//ynfH//nagB//astA//nfsB//entD//wecE//paaG//malQ//glmS//alaA//ydcS//paaE//dmsC//fabI//astE//prmC//purA//pheT//
OmpR_neg	moaC//trpE//napB//purH//add//
OmpR_pos	hpt//glpK//entC//fbaA//
OxyR_neg	rffG//glgB//dgcC//ddlB//ampC//
OxyR_pos	ubiX//fumC//gltX//umuD//ackA//uxaC//preA//amiA//rutE//luxS//cheR//hycF//
PaaX_neg	hmp//hemF//pheT//argF//thrS//add//nfsB//tehB//fadM//
PdeL_pos	glgX//
PdhR_neg	argF//speC//phnM//metB//gltX//speA//gapA//nemA//rutA//ubiX//tdcG//torC//narG//hemA//glyA//gdhA//uvrC//leuC//garL//hypB//nanE//paaB//rfe//
PdhR_pos	pdeL//napB//
PepA_neg	hycB//glpD//
PgrR_neg	umuD//glgX//
PhoB_neg	aroL//atoD//folE//wecC//hcaF//
PhoB_pos	fucI//grxA//ttdA//bioB//fucO//fumC//rutB//fucO//cadA//caiA//nanA//wzc//acs//cysH//allE//argA//narG//
PhoP_neg	fadA//wzc//caiB//
PhoP_pos	leuD//grxA//malP//ruvA//dadX//gatD//glpQ//ung//rutB//truB//murI//bioC//queA//pspE//agp//chiA//trpC//caiD//putA//pck//caiB//argD//wrbA//nagB//gadA//sdaA//atoA//purE//wzc//glpK//napB//
PrpR_neg	
PrpR_pos	phnO//allE//glgA//ccp//
PspF_neg	
PspF_pos	yiaK//
PurR_neg	rhaA//cadA//ubiX//ilvN//mhpD//gutQ//cysM//ascB//gutQ//malP//thrS//fucA//fadJ//chbG//tdcG//cysK//fabI//sucD//leuD//ilvG_1//pyrD//entE//dmsA//caiA//ravA//hyaA//
PutA_neg	gcvT//fabI//
PuuR_neg	nanA//prmC//arsC//cynS//hycB//aroL//
QseB_neg	
QseB_pos	
RbsR_neg	hpt//rffH//patZ//cmoM//rffC//
RbsR_pos	tdcG//
RcdA_neg	
RcdA_pos	rffC//
RclR_pos	
RcnR_neg	glpX//
RcsAB_neg	iscS//
RcsAB_pos	purL//mhpC//
RcsB-BglJ_pos	paaC//galK//
RcsB_neg	waaZ//
RcsB_pos	ugpQ//kbaZ//galM//
RelB-RelE_neg	epd//
RelB_neg	cysE//
RhaR_pos	
RhaS_pos	tynA//murC//uvrB//hyi//
Rob_neg	
Rob_pos	phnJ//paaY//caiB//truB//ndh//lysU//gltB//argB//frdA//wecC//malZ//glmS//metH//uxuB//putA//fadB//xylA//kbaY//ynfG//
RstA_neg	cysK//phnP//
RstA_pos	ssuD//
RtcR_pos	ttdA//frdD//
RutR_neg	cpdB//lysC//edd//paaC//putA//leuC//aceA//argF//sodA//citF//
RutR_pos	sgbU//
SdiA_neg	
SdiA_pos	
SgrR_neg	wzb//
SgrR_pos	ascB//pgaD//
SlyA_neg	
SlyA_pos	fucI//malP//narH//fbaB//ubiA//relA//ilvH//trpC//tadA//
SoxR_neg	
SoxR_pos	pdeL//
SoxS_neg	
SoxS_pos	hemL//gor//pdxA//gpmM//puuB//sodB//idnD//edd//metE//ilvC//prpC//gltD//araB//sucB//ilvN//aspC//ubiX//dhaK//sodB//gatZ//rtcA//nrfC//hycC//adeD//sucC//waaY//
SrlR_neg	aceB//entC//ddlB//
StpA_neg	garR//malQ//gloA//
SutR_neg	pgk//pdeR//
SutR_pos	
TdcA_pos	hemF//sodB//yeaE//tdcD//pepD//
TdcR_pos	ppc//upp//ssuD//nadC//ubiG//
TorR_neg	mtlD//
TorR_pos	relA//rbsD//ssuD//paaH//
TreR_neg	araA//frdC//
TrpR_neg	gapA//paaA//accA//hcp//hpt//astC//uxaC//ndh//nadC//
TtdR_pos	sdhB//preT//
TyrR_neg	ilvA//paaF//ubiA//uxaA//araB//pgk//atoA//
TyrR_pos	argC//lsrF//alkB//
UhpA_pos	trpD//
UidR_neg	fadE//chbG//
UlaR_neg	cysI//entD//ycjG//mpaA//purH//
UvrY_pos	agp//dapB//
UxuR_neg	rffG//sdhA//sdhD//phr//mtlD//
XapR_pos	treC//ccp//
XylR_neg	
XylR_pos	relA//dsdA//uidA//
YdeO_neg	
YdeO_pos	argA//guaB//gntK//
YefM-YoeB_neg	metC//
YefM_neg	bcsZ//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	purA//ubiA//glk//ascB//uxuA//citD//
YjjQ_neg	astE//paaI//
YpdB_pos	
YqhC_pos	glxK//hcaE//
YqjI_neg	purK//
ZntR_pos	rutA//
ZraR_pos	
Zur_neg	phnM//
