# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/scripts/extend_go_genes.pl on Mon Oct  1 12:06:18 2018
# Input = /Users/Daniela/Documents/CCG/datasets/GOs/gos_complete_table_BPonly.txt
# Filtered with: grep -v "GO:0008150" /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/genes_gos_extended.txt | grep -v "GO:0001906" | grep -v "GO:0002376" | grep -v "GO:0006791"| grep -v "GO:0008152"| grep -v "GO:0009758"| grep -v "GO:0009987"| grep -v "GO:0015976"| grep -v "GO:0019740"| grep -v "GO:0022414"| grep -v "GO:0022610"| grep -v "GO:0023052"| grep -v "GO:0032502"| grep -v "GO:0040011"| grep -v "GO:0050896"| grep -v "GO:0051179"| grep -v "GO:0051704"| grep -v "GO:0065007"| grep -v "GO:0071840"| grep -v "GO:0098754" > /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/genes_gos_extended_no12.txt 
# Genes	GO	GO branch  
cysM	GO:0000096	P
cysZ	GO:0000096	P
dcyD	GO:0000096	P
decR	GO:0000096	P
luxS	GO:0000096	P
metB	GO:0000096	P
metC	GO:0000096	P
metE	GO:0000096	P
metH	GO:0000096	P
metK	GO:0000096	P
mmuP	GO:0000096	P
mtn	GO:0000096	P
mtnN	GO:0000096	P
thrB	GO:0000096	P
wcaB	GO:0000096	P
yhaM	GO:0000096	P
yhaO	GO:0000096	P
yhfS	GO:0000096	P
cysE	GO:0000097	P
cysK	GO:0000097	P
cysM	GO:0000097	P
cysZ	GO:0000097	P
luxS	GO:0000097	P
metB	GO:0000097	P
metE	GO:0000097	P
metH	GO:0000097	P
mmuP	GO:0000097	P
mtn	GO:0000097	P
mtnN	GO:0000097	P
thrB	GO:0000097	P
wcaB	GO:0000097	P
yhfS	GO:0000097	P
dcyD	GO:0000098	P
decR	GO:0000098	P
metC	GO:0000098	P
yhaM	GO:0000098	P
yhaO	GO:0000098	P
cydC	GO:0000101	P
cydD	GO:0000101	P
eamA	GO:0000101	P
eamB	GO:0000101	P
metI	GO:0000101	P
metN	GO:0000101	P
metQ	GO:0000101	P
nlpA	GO:0000101	P
tcyJ	GO:0000101	P
tcyL	GO:0000101	P
tcyN	GO:0000101	P
tcyP	GO:0000101	P
yecS	GO:0000101	P
yijE	GO:0000101	P
yjeH	GO:0000101	P
cysH	GO:0000103	P
cysQ	GO:0000103	P
cysZ	GO:0000103	P
hisA	GO:0000105	P
hisB	GO:0000105	P
hisC	GO:0000105	P
hisD	GO:0000105	P
hisF	GO:0000105	P
hisG	GO:0000105	P
hisH	GO:0000105	P
hisI	GO:0000105	P
rlmA	GO:0000154	P
rlmB	GO:0000154	P
rlmC	GO:0000154	P
rlmD	GO:0000154	P
rlmE	GO:0000154	P
rlmF	GO:0000154	P
rlmG	GO:0000154	P
rlmH	GO:0000154	P
rlmI	GO:0000154	P
rlmJ	GO:0000154	P
rlmL	GO:0000154	P
rlmM	GO:0000154	P
rlmN	GO:0000154	P
rluA	GO:0000154	P
rluB	GO:0000154	P
rluC	GO:0000154	P
rluD	GO:0000154	P
rluE	GO:0000154	P
rluF	GO:0000154	P
rsmA	GO:0000154	P
rsmB	GO:0000154	P
rsmC	GO:0000154	P
rsmD	GO:0000154	P
rsmE	GO:0000154	P
rsmF	GO:0000154	P
rsmG	GO:0000154	P
rsmH	GO:0000154	P
rsmI	GO:0000154	P
rsmJ	GO:0000154	P
rsuA	GO:0000154	P
tmcA	GO:0000154	P
yfiF	GO:0000154	P
arcA	GO:0000160	P
arcB	GO:0000160	P
argK	GO:0000160	P
atoS	GO:0000160	P
baeS	GO:0000160	P
barA	GO:0000160	P
basR	GO:0000160	P
basS	GO:0000160	P
cheA	GO:0000160	P
cheY	GO:0000160	P
cpxA	GO:0000160	P
creC	GO:0000160	P
cusR	GO:0000160	P
cusS	GO:0000160	P
dcuR	GO:0000160	P
dcuS	GO:0000160	P
dpiA	GO:0000160	P
dpiB	GO:0000160	P
envZ	GO:0000160	P
evgS	GO:0000160	P
glnL	GO:0000160	P
glrK	GO:0000160	P
glrR	GO:0000160	P
kdpD	GO:0000160	P
narQ	GO:0000160	P
narX	GO:0000160	P
ompR	GO:0000160	P
phoP	GO:0000160	P
phoQ	GO:0000160	P
phoR	GO:0000160	P
qseC	GO:0000160	P
rcsC	GO:0000160	P
rcsD	GO:0000160	P
rstB	GO:0000160	P
torS	GO:0000160	P
uhpB	GO:0000160	P
uhpC	GO:0000160	P
uvrY	GO:0000160	P
yehT	GO:0000160	P
yehU	GO:0000160	P
ypdA	GO:0000160	P
zraR	GO:0000160	P
zraS	GO:0000160	P
hisA	GO:0000162	P
menF	GO:0000162	P
pabA	GO:0000162	P
trpA	GO:0000162	P
trpB	GO:0000162	P
trpC	GO:0000162	P
trpD	GO:0000162	P
trpE	GO:0000162	P
trpGD	GO:0000162	P
allB	GO:0000255	P
allC	GO:0000255	P
allD	GO:0000255	P
glxR	GO:0000255	P
ybcF	GO:0000255	P
allB	GO:0000256	P
allC	GO:0000256	P
allD	GO:0000256	P
glxR	GO:0000256	P
ybcF	GO:0000256	P
amiD	GO:0000270	P
ampD	GO:0000270	P
ampG	GO:0000270	P
ampH	GO:0000270	P
bacA	GO:0000270	P
dacA	GO:0000270	P
dacB	GO:0000270	P
dacC	GO:0000270	P
dacD	GO:0000270	P
ddlA	GO:0000270	P
ddlB	GO:0000270	P
ddpX	GO:0000270	P
elyC	GO:0000270	P
erfK	GO:0000270	P
ftsI	GO:0000270	P
ftsW	GO:0000270	P
glmM	GO:0000270	P
ispU	GO:0000270	P
ldcA	GO:0000270	P
ldtA	GO:0000270	P
ldtB	GO:0000270	P
ldtC	GO:0000270	P
lpoA	GO:0000270	P
lpoB	GO:0000270	P
mepA	GO:0000270	P
mepH	GO:0000270	P
mepM	GO:0000270	P
mepS	GO:0000270	P
mipA	GO:0000270	P
mltA	GO:0000270	P
mltB	GO:0000270	P
mltC	GO:0000270	P
mltF	GO:0000270	P
mltG	GO:0000270	P
mpaA	GO:0000270	P
mrcA	GO:0000270	P
mrcB	GO:0000270	P
mrdA	GO:0000270	P
mrdB	GO:0000270	P
mtgA	GO:0000270	P
murA	GO:0000270	P
murB	GO:0000270	P
murC	GO:0000270	P
murD	GO:0000270	P
murE	GO:0000270	P
murF	GO:0000270	P
murG	GO:0000270	P
murI	GO:0000270	P
murJ	GO:0000270	P
murQ	GO:0000270	P
nagE	GO:0000270	P
nagK	GO:0000270	P
nagZ	GO:0000270	P
pbpC	GO:0000270	P
pbpG	GO:0000270	P
pgpB	GO:0000270	P
slt	GO:0000270	P
ybiS	GO:0000270	P
ycbB	GO:0000270	P
ycfS	GO:0000270	P
ygeA	GO:0000270	P
yiaT	GO:0000270	P
ynhG	GO:0000270	P
arnB	GO:0000271	P
arnT	GO:0000271	P
bcsA	GO:0000271	P
bcsQ	GO:0000271	P
cpsB	GO:0000271	P
eptA	GO:0000271	P
fepE	GO:0000271	P
galE	GO:0000271	P
galU	GO:0000271	P
glgA	GO:0000271	P
glgB	GO:0000271	P
glgC	GO:0000271	P
kdsC	GO:0000271	P
manA	GO:0000271	P
mcbA	GO:0000271	P
mdoD	GO:0000271	P
mdoG	GO:0000271	P
opgG	GO:0000271	P
opgH	GO:0000271	P
pgm	GO:0000271	P
rcsF	GO:0000271	P
rfaB	GO:0000271	P
rfbB	GO:0000271	P
rfbC	GO:0000271	P
rfbD	GO:0000271	P
rfe	GO:0000271	P
rffC	GO:0000271	P
rffG	GO:0000271	P
rffH	GO:0000271	P
rffM	GO:0000271	P
rffT	GO:0000271	P
ugd	GO:0000271	P
wbbK	GO:0000271	P
wcaC	GO:0000271	P
wcaJ	GO:0000271	P
wecA	GO:0000271	P
wecB	GO:0000271	P
wecC	GO:0000271	P
wecE	GO:0000271	P
wzb	GO:0000271	P
wzc	GO:0000271	P
wzyE	GO:0000271	P
wzzB	GO:0000271	P
wzzE	GO:0000271	P
yhjR	GO:0000271	P
yjbE	GO:0000271	P
yjbF	GO:0000271	P
yjbG	GO:0000271	P
yjbH	GO:0000271	P
ypdI	GO:0000271	P
bglX	GO:0000272	P
glgP	GO:0000272	P
glgX	GO:0000272	P
malP	GO:0000272	P
malS	GO:0000272	P
malZ	GO:0000272	P
ariR	GO:0000302	P
barA	GO:0000302	P
bsmA	GO:0000302	P
fnr	GO:0000302	P
fpr	GO:0000302	P
gstA	GO:0000302	P
hcp	GO:0000302	P
katG	GO:0000302	P
mdtK	GO:0000302	P
msrP	GO:0000302	P
norV	GO:0000302	P
norW	GO:0000302	P
pdeF	GO:0000302	P
rclA	GO:0000302	P
rclB	GO:0000302	P
rclC	GO:0000302	P
rpmF	GO:0000302	P
sodB	GO:0000302	P
tatD	GO:0000302	P
uspE	GO:0000302	P
yajL	GO:0000302	P
ychH	GO:0000302	P
ydeI	GO:0000302	P
yfcF	GO:0000302	P
yggE	GO:0000302	P
ygiW	GO:0000302	P
yhcN	GO:0000302	P
yhjA	GO:0000302	P
yjaA	GO:0000302	P
yodD	GO:0000302	P
yqhD	GO:0000302	P
fpr	GO:0000303	P
sodB	GO:0000303	P
fpr	GO:0000305	P
rclA	GO:0000305	P
sodB	GO:0000305	P
rpsL	GO:0000372	P
rpsL	GO:0000375	P
rpsL	GO:0000376	P
fklB	GO:0000413	P
fkpA	GO:0000413	P
fkpB	GO:0000413	P
ppiC	GO:0000413	P
ppiD	GO:0000413	P
slyD	GO:0000413	P
surA	GO:0000413	P
tig	GO:0000413	P
rlmB	GO:0000451	P
rlmE	GO:0000451	P
rlmM	GO:0000451	P
rsmI	GO:0000451	P
yfiF	GO:0000451	P
rlmB	GO:0000453	P
rlmE	GO:0000453	P
rlmM	GO:0000453	P
rsmI	GO:0000453	P
yfiF	GO:0000453	P
rluA	GO:0000455	P
rluB	GO:0000455	P
rluC	GO:0000455	P
rluD	GO:0000455	P
rluE	GO:0000455	P
rluF	GO:0000455	P
rsuA	GO:0000455	P
rpsI	GO:0000462	P
rpsK	GO:0000462	P
ybeY	GO:0000469	P
rplA	GO:0000470	P
ybeY	GO:0000478	P
mfd	GO:0000715	P
mfd	GO:0000716	P
recN	GO:0000724	P
radA	GO:0000725	P
recN	GO:0000725	P
ruvA	GO:0000725	P
ruvB	GO:0000725	P
ruvC	GO:0000725	P
ssb	GO:0000725	P
nfo	GO:0000726	P
dinB	GO:0000731	P
recF	GO:0000731	P
recR	GO:0000731	P
recT	GO:0000731	P
umuC	GO:0000731	P
umuD	GO:0000731	P
ybjD	GO:0000731	P
cas3	GO:0000737	P
cas3	GO:0000738	P
sbcB	GO:0000738	P
tatD	GO:0000738	P
ompA	GO:0000746	P
glnE	GO:0000820	P
minC	GO:0000902	P
amiA	GO:0000910	P
amiB	GO:0000910	P
amiC	GO:0000910	P
dacB	GO:0000910	P
ftsB	GO:0000910	P
ftsL	GO:0000910	P
ftsP	GO:0000910	P
ftsQ	GO:0000910	P
mreB	GO:0000910	P
pbpG	GO:0000910	P
yabI	GO:0000910	P
yghB	GO:0000910	P
yohD	GO:0000910	P
yqjA	GO:0000910	P
zapA	GO:0000910	P
zapB	GO:0000910	P
zapC	GO:0000910	P
zapD	GO:0000910	P
ftsN	GO:0000917	P
ftsQ	GO:0000917	P
nlpD	GO:0000917	P
zapA	GO:0000917	P
zipA	GO:0000917	P
bcsQ	GO:0000918	P
minD	GO:0000918	P
minE	GO:0000918	P
slmA	GO:0000918	P
envC	GO:0000920	P
ftsK	GO:0000920	P
mepM	GO:0000920	P
nlpD	GO:0000920	P
ygeR	GO:0000920	P
zapA	GO:0000921	P
rne	GO:0000966	P
rnpA	GO:0000966	P
yhbY	GO:0000966	P
yqgF	GO:0000966	P
rne	GO:0000967	P
yhbY	GO:0000967	P
yqgF	GO:0000967	P
asnC	GO:0001101	P
asr	GO:0001101	P
bsmA	GO:0001101	P
dctR	GO:0001101	P
decR	GO:0001101	P
envZ	GO:0001101	P
ibaG	GO:0001101	P
lrp	GO:0001101	P
mrr	GO:0001101	P
msrP	GO:0001101	P
narQ	GO:0001101	P
narX	GO:0001101	P
rclA	GO:0001101	P
rclB	GO:0001101	P
rclC	GO:0001101	P
speF	GO:0001101	P
tsr	GO:0001101	P
ybaO	GO:0001101	P
ybjC	GO:0001101	P
yghW	GO:0001101	P
yhaM	GO:0001101	P
yhaO	GO:0001101	P
yhiM	GO:0001101	P
yibT	GO:0001101	P
yjeH	GO:0001101	P
yobF	GO:0001101	P
rcsB	GO:0001121	P
rpoH	GO:0001121	P
rpoS	GO:0001123	P
rfaH	GO:0001124	P
ugpA	GO:0001407	P
ugpB	GO:0001407	P
ugpC	GO:0001407	P
ugpE	GO:0001407	P
betA	GO:0001505	P
betB	GO:0001505	P
gabD	GO:0001505	P
gabT	GO:0001505	P
gcvH	GO:0001505	P
gcvP	GO:0001505	P
gcvT	GO:0001505	P
glyA	GO:0001505	P
hcp	GO:0001505	P
hmp	GO:0001505	P
lpd	GO:0001505	P
ltaE	GO:0001505	P
norV	GO:0001505	P
norW	GO:0001505	P
puuE	GO:0001505	P
sad	GO:0001505	P
cmoM	GO:0001510	P
lasT	GO:0001510	P
miaB	GO:0001510	P
mnmC	GO:0001510	P
mnmE	GO:0001510	P
mnmG	GO:0001510	P
rlmA	GO:0001510	P
rlmB	GO:0001510	P
rlmC	GO:0001510	P
rlmD	GO:0001510	P
rlmE	GO:0001510	P
rlmF	GO:0001510	P
rlmG	GO:0001510	P
rlmH	GO:0001510	P
rlmI	GO:0001510	P
rlmJ	GO:0001510	P
rlmL	GO:0001510	P
rlmM	GO:0001510	P
rlmN	GO:0001510	P
rsmA	GO:0001510	P
rsmB	GO:0001510	P
rsmC	GO:0001510	P
rsmD	GO:0001510	P
rsmE	GO:0001510	P
rsmF	GO:0001510	P
rsmG	GO:0001510	P
rsmH	GO:0001510	P
rsmI	GO:0001510	P
rsmJ	GO:0001510	P
trmA	GO:0001510	P
trmB	GO:0001510	P
trmD	GO:0001510	P
trmH	GO:0001510	P
trmI	GO:0001510	P
trmJ	GO:0001510	P
trmL	GO:0001510	P
trmO	GO:0001510	P
yfiC	GO:0001510	P
yfiF	GO:0001510	P
yjtD	GO:0001510	P
selB	GO:0001514	P
iscS	GO:0001522	P
psuG	GO:0001522	P
rluA	GO:0001522	P
rluB	GO:0001522	P
rluC	GO:0001522	P
rluD	GO:0001522	P
rluE	GO:0001522	P
rluF	GO:0001522	P
rsuA	GO:0001522	P
truA	GO:0001522	P
truB	GO:0001522	P
truC	GO:0001522	P
truD	GO:0001522	P
chaC	GO:0001539	P
cheY	GO:0001539	P
cheZ	GO:0001539	P
fdrA	GO:0001539	P
flgA	GO:0001539	P
flgB	GO:0001539	P
flgC	GO:0001539	P
flgD	GO:0001539	P
flgE	GO:0001539	P
flgF	GO:0001539	P
flgG	GO:0001539	P
flgI	GO:0001539	P
flgJ	GO:0001539	P
fliD	GO:0001539	P
fliG	GO:0001539	P
fliK	GO:0001539	P
fliL	GO:0001539	P
fliS	GO:0001539	P
fliT	GO:0001539	P
frdA	GO:0001539	P
frdB	GO:0001539	P
frdC	GO:0001539	P
motA	GO:0001539	P
pgrR	GO:0001539	P
uspE	GO:0001539	P
ycdX	GO:0001539	P
ycdY	GO:0001539	P
ycgR	GO:0001539	P
yciG	GO:0001539	P
yfgJ	GO:0001539	P
yfiR	GO:0001539	P
chpB	GO:0001558	P
chpS	GO:0001558	P
mazF	GO:0001558	P
phoU	GO:0001558	P
prlF	GO:0001558	P
ybjN	GO:0001558	P
yhaV	GO:0001558	P
ykfI	GO:0001558	P
oxc	GO:0001561	P
ynhF	GO:0001666	P
accA	GO:0001676	P
accD	GO:0001676	P
fadD	GO:0001676	P
cca	GO:0001680	P
rnpA	GO:0001682	P
yciH	GO:0001731	P
cycA	GO:0001762	P
selD	GO:0001887	P
selU	GO:0001887	P
sufS	GO:0001887	P
envC	GO:0001896	P
mepM	GO:0001896	P
nlpD	GO:0001896	P
ygeR	GO:0001896	P
essD	GO:0001907	P
rrrD	GO:0001907	P
rrrQ	GO:0001907	P
ydfD	GO:0001907	P
mzrA	GO:0001932	P
ptsN	GO:0001932	P
ptsN	GO:0001934	P
entB	GO:0002047	P
trpGD	GO:0002047	P
cmoA	GO:0002097	P
cmoB	GO:0002097	P
cmoM	GO:0002097	P
gluQ	GO:0002097	P
mnmA	GO:0002097	P
mnmC	GO:0002097	P
mnmE	GO:0002097	P
mnmG	GO:0002097	P
queA	GO:0002097	P
selU	GO:0002097	P
tadA	GO:0002097	P
tgt	GO:0002097	P
tilS	GO:0002097	P
tmcA	GO:0002097	P
tusA	GO:0002097	P
tusB	GO:0002097	P
tusC	GO:0002097	P
tusD	GO:0002097	P
tusE	GO:0002097	P
cmoA	GO:0002098	P
cmoB	GO:0002098	P
cmoM	GO:0002098	P
mnmA	GO:0002098	P
mnmC	GO:0002098	P
mnmE	GO:0002098	P
mnmG	GO:0002098	P
selU	GO:0002098	P
tusA	GO:0002098	P
tusB	GO:0002098	P
tusC	GO:0002098	P
tusD	GO:0002098	P
tusE	GO:0002098	P
queA	GO:0002099	P
tgt	GO:0002099	P
tadA	GO:0002100	P
tilS	GO:0002101	P
tmcA	GO:0002101	P
lasT	GO:0002128	P
trmH	GO:0002128	P
trmJ	GO:0002128	P
trmL	GO:0002128	P
trmL	GO:0002130	P
trmL	GO:0002131	P
trmL	GO:0002132	P
tilS	GO:0002136	P
mnmA	GO:0002143	P
tusA	GO:0002143	P
tusB	GO:0002143	P
tusC	GO:0002143	P
tusD	GO:0002143	P
tusE	GO:0002143	P
rplB	GO:0002181	P
rplF	GO:0002181	P
yciH	GO:0002183	P
frr	GO:0002184	P
yciH	GO:0002188	P
yciH	GO:0002190	P
yciH	GO:0002192	P
abpA	GO:0002252	P
abpB	GO:0002252	P
cas1	GO:0002252	P
cas3	GO:0002252	P
casA	GO:0002252	P
casB	GO:0002252	P
casC	GO:0002252	P
casD	GO:0002252	P
casE	GO:0002252	P
cobB	GO:0002252	P
gspE	GO:0002790	P
gspF	GO:0002790	P
gspI	GO:0002790	P
gspJ	GO:0002790	P
hofC	GO:0002790	P
tamA	GO:0002790	P
tamB	GO:0002790	P
thiI	GO:0002937	P
trmH	GO:0002938	P
trmD	GO:0002939	P
dusC	GO:0002943	P
tsaB	GO:0002949	P
tsaC	GO:0002949	P
tsaD	GO:0002949	P
tsaE	GO:0002949	P
adiC	GO:0003333	P
alaE	GO:0003333	P
argO	GO:0003333	P
artJ	GO:0003333	P
artM	GO:0003333	P
artP	GO:0003333	P
artQ	GO:0003333	P
brnQ	GO:0003333	P
cadB	GO:0003333	P
cydC	GO:0003333	P
cydD	GO:0003333	P
dauA	GO:0003333	P
dctA	GO:0003333	P
eamA	GO:0003333	P
eamB	GO:0003333	P
frlA	GO:0003333	P
gadC	GO:0003333	P
glnP	GO:0003333	P
gltI	GO:0003333	P
gltK	GO:0003333	P
gltP	GO:0003333	P
gltS	GO:0003333	P
hisP	GO:0003333	P
hisQ	GO:0003333	P
leuE	GO:0003333	P
livF	GO:0003333	P
livG	GO:0003333	P
livH	GO:0003333	P
livK	GO:0003333	P
livM	GO:0003333	P
lysO	GO:0003333	P
mtr	GO:0003333	P
potE	GO:0003333	P
proV	GO:0003333	P
putP	GO:0003333	P
tcyJ	GO:0003333	P
tcyL	GO:0003333	P
tcyN	GO:0003333	P
tcyP	GO:0003333	P
tdcC	GO:0003333	P
tnaB	GO:0003333	P
yahN	GO:0003333	P
ygaH	GO:0003333	P
ygaZ	GO:0003333	P
yhdZ	GO:0003333	P
yhjV	GO:0003333	P
yijE	GO:0003333	P
yjeH	GO:0003333	P
yqeG	GO:0003333	P
aceA	GO:0005975	P
aceB	GO:0005975	P
aceK	GO:0005975	P
acnA	GO:0005975	P
acnB	GO:0005975	P
acpP	GO:0005975	P
agaA	GO:0005975	P
agp	GO:0005975	P
aldA	GO:0005975	P
alsE	GO:0005975	P
alsK	GO:0005975	P
amyA	GO:0005975	P
appA	GO:0005975	P
araA	GO:0005975	P
araB	GO:0005975	P
araC	GO:0005975	P
araD	GO:0005975	P
arnB	GO:0005975	P
arnT	GO:0005975	P
ascB	GO:0005975	P
bcsA	GO:0005975	P
bcsQ	GO:0005975	P
bglA	GO:0005975	P
bglB	GO:0005975	P
bglX	GO:0005975	P
cpsB	GO:0005975	P
cra	GO:0005975	P
dcuC	GO:0005975	P
deoC	GO:0005975	P
dgoA	GO:0005975	P
dgoD	GO:0005975	P
dgoK	GO:0005975	P
dhaK	GO:0005975	P
dhaL	GO:0005975	P
ebgA	GO:0005975	P
edd	GO:0005975	P
eno	GO:0005975	P
epd	GO:0005975	P
eptA	GO:0005975	P
eptB	GO:0005975	P
eptC	GO:0005975	P
fbaA	GO:0005975	P
fbp	GO:0005975	P
fepE	GO:0005975	P
fpr	GO:0005975	P
fruK	GO:0005975	P
fucA	GO:0005975	P
fucI	GO:0005975	P
fucK	GO:0005975	P
fucO	GO:0005975	P
galE	GO:0005975	P
galK	GO:0005975	P
galM	GO:0005975	P
galT	GO:0005975	P
galU	GO:0005975	P
gapA	GO:0005975	P
gapC	GO:0005975	P
garD	GO:0005975	P
garK	GO:0005975	P
garL	GO:0005975	P
garR	GO:0005975	P
gatD	GO:0005975	P
gatY	GO:0005975	P
gcd	GO:0005975	P
ghrB	GO:0005975	P
gldA	GO:0005975	P
glgA	GO:0005975	P
glgB	GO:0005975	P
glgC	GO:0005975	P
glgP	GO:0005975	P
glgX	GO:0005975	P
glk	GO:0005975	P
glpK	GO:0005975	P
glpX	GO:0005975	P
gmhB	GO:0005975	P
gnd	GO:0005975	P
gntK	GO:0005975	P
gpmA	GO:0005975	P
gudD	GO:0005975	P
gutQ	GO:0005975	P
hexR	GO:0005975	P
hldE	GO:0005975	P
hybA	GO:0005975	P
idnD	GO:0005975	P
idnK	GO:0005975	P
idnO	GO:0005975	P
kdgK	GO:0005975	P
kdsA	GO:0005975	P
kdsB	GO:0005975	P
kdsC	GO:0005975	P
kdsD	GO:0005975	P
kduD	GO:0005975	P
kduI	GO:0005975	P
lacZ	GO:0005975	P
lapA	GO:0005975	P
lapB	GO:0005975	P
ldhA	GO:0005975	P
lgoD	GO:0005975	P
lgoR	GO:0005975	P
lldD	GO:0005975	P
lpcA	GO:0005975	P
lpxB	GO:0005975	P
lpxC	GO:0005975	P
lpxD	GO:0005975	P
lpxH	GO:0005975	P
lpxK	GO:0005975	P
lpxL	GO:0005975	P
lpxM	GO:0005975	P
lpxP	GO:0005975	P
lyxK	GO:0005975	P
maeA	GO:0005975	P
mak	GO:0005975	P
malP	GO:0005975	P
malQ	GO:0005975	P
malS	GO:0005975	P
malZ	GO:0005975	P
manA	GO:0005975	P
mcbA	GO:0005975	P
mdh	GO:0005975	P
mdoD	GO:0005975	P
mdoG	GO:0005975	P
melA	GO:0005975	P
mngB	GO:0005975	P
mtlD	GO:0005975	P
murR	GO:0005975	P
nagK	GO:0005975	P
nanK	GO:0005975	P
opgC	GO:0005975	P
opgE	GO:0005975	P
opgG	GO:0005975	P
opgH	GO:0005975	P
otsA	GO:0005975	P
otsB	GO:0005975	P
pagP	GO:0005975	P
pck	GO:0005975	P
pckA	GO:0005975	P
pfkA	GO:0005975	P
pfkB	GO:0005975	P
pgi	GO:0005975	P
pgk	GO:0005975	P
pgl	GO:0005975	P
pgm	GO:0005975	P
phnN	GO:0005975	P
ppsA	GO:0005975	P
pykA	GO:0005975	P
pykF	GO:0005975	P
rbsD	GO:0005975	P
rbsK	GO:0005975	P
rcsF	GO:0005975	P
rfaB	GO:0005975	P
rfaC	GO:0005975	P
rfaD	GO:0005975	P
rfaE	GO:0005975	P
rfaF	GO:0005975	P
rfaG	GO:0005975	P
rfaQ	GO:0005975	P
rfbB	GO:0005975	P
rfbC	GO:0005975	P
rfbD	GO:0005975	P
rfe	GO:0005975	P
rffC	GO:0005975	P
rffG	GO:0005975	P
rffH	GO:0005975	P
rffM	GO:0005975	P
rffT	GO:0005975	P
rhaA	GO:0005975	P
rhaB	GO:0005975	P
rhaD	GO:0005975	P
rhaM	GO:0005975	P
rpe	GO:0005975	P
rpiA	GO:0005975	P
rpiB	GO:0005975	P
rpiR	GO:0005975	P
sgbE	GO:0005975	P
sgbH	GO:0005975	P
sgbU	GO:0005975	P
sgcE	GO:0005975	P
srlD	GO:0005975	P
suhB	GO:0005975	P
tpiA	GO:0005975	P
treA	GO:0005975	P
treC	GO:0005975	P
treF	GO:0005975	P
ugd	GO:0005975	P
uidA	GO:0005975	P
ulaD	GO:0005975	P
ulaE	GO:0005975	P
ulaF	GO:0005975	P
ulaG	GO:0005975	P
uxaA	GO:0005975	P
uxaB	GO:0005975	P
uxaC	GO:0005975	P
uxuA	GO:0005975	P
uxuB	GO:0005975	P
waaA	GO:0005975	P
