# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	entA//nfsB//
UlaR	gadB//sufS//cdd//speA//paaF//
UvrY	nadA//moaE//
UxuR	rbsK//lacZ//ygeA//sgbE//mnmG//
XapR	murF//putA//
XylR	hcaF//carB//ccp//
YdeO	dhaK//prs//paaA//
YefM	mtlD//
YefM-YoeB	dacC//
YeiL	
YhaJ	
YiaJ	hycD//alaC//puuE//sdaA//uvrA//paaA//
YjjQ	fucA//ppsA//
YpdB	
YqhC	mtlD//betA//
YqjI	oxc//
ZntR	sdaA//
ZraR	
Zur	gadA//
