# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	rbsD//citD//
Fur	narH//aceB//sdhD//wecB//garL//aceF//dkgA//speA//nrdB//moeA//alsE//paaE//murC//glk//tdcD//ahpF//alaS//fabI//mhpC//yeaG//xylA//fumB//dgkA//fadE//fucA//pdeH//dhaL//yqjH//gloA//tyrB//bglB//sucB//uxaC//metE//umuC//frdA//argG//pdeR//xylA//pykF//ilvG_1//glxK//atoA//pdeH//hcp//gpmA//caiB//ftsI//lsrG//mpaA//gnd//ulaG//cysI//ada//ynfH//patD//nanE//gcl//accD//gnd//cysK//glpC//
GadE	aceE//speB//rimK//tdcG//tynA//cynT//bacA//glmS//feaB//trpA//
GadE-RcsB	lldD//eno//ascB//tnaA//sdhB//
GadW	adhE//trpC//alaA//fabG//
GadX	ppiA//frdC//entA//hypB//moaA//rffT//carB//nadB//lpd//tdcD//kbaY//fumB//hyaC//
GalR	cynT//cysN//metL//citX//bacA//mltF//
GalS	ung//yqjH//glk//yedX//pgaD//mpl//
GatR	eno//tdcG//lsrK//
GcvA	nanA//ppc//metK//
GlcC	hycD//murG//gatD//
GlpR	cynS//carB//glpD//lpd//glgA//glcD//hyaC//
GlrR	
GntR	ppc//entC//garR//ahpF//pgi//tyrB//dhaK//astB//fucO//
GutM	entH//guaB//cysK//
HU	tyrA//sdaA//hypB//lpxA//nrdA//galM//hyaC//
HcaR	glcB//accD//
HdfR	
HigA	luxS//
HigB-HigA	polA//
HipAB	fabB//paaY//
HipB	sdhA//entH//mnmG//
HprR	allB//gcvT//murF//hemH//
HyfR	tynA//
HypT	hemH//deoC//purK//astA//cysN//aceF//pncB//
IclR	nrfD//ynfG//nrdE//
IdnR	gudD//prpB//napH//dkgB//recB//polB//
IlvY	sdhC//
IscR	glgC//mdh//katE//hcaB//nrdA//pfkA//hcp//purK//
KdgR	napH//citX//
KdpE	frdB//
LacI	purD//prpB//hcaE//
LeuO	wecB//tnaA//dapD//accC//entD//hcaB//
LexA	ruvB//ahpF//fabA//wzb//xapA//deoB//gntK//metF//aldA//astB//hcaE//trpD//yeaG//gabT//waaZ//lsrF//nrfA//fucU//cysD//frdD//rtcA//rutA//ttdA//
LldR	entF//rfe//
LrhA	
Lrp	adiA//ampC//araD//purB//pykF//cysE//nrfD//umuD//dinB//speA//rnpB//argG//nadB//ung//dmsA//sucC//amn//aspA//yqjH//lysC//puuC//pgpC//ruvB//ldtC//dgcZ//paaJ//nrdF//pncB//gcvP//ssuD//ttdB//aceA//sgbU//sucB//paaH//kbaZ//rbsD//nanM//umuD//paaA//
LsrR	uxuA//yeaG//luxS//hycD//sodA//
LysR	bioA//
MalI	udp//murC//
MalT	glcB//ynfH//fabG//ilvD//argH//araD//
MarA	astD//entF//ftnA//ynfE//phnN//rffG//paaY//pyrD//murD//phnH//purD//lpd//fucK//bioC//oxc//astE//metH//serC//garR//aroF//hycC//atoB//nagA//gpmA//
MarR	
MatA	aroF//
MazE	glcE//
MazE-MazF	garR//
McbR	
MelR	garD//fau//
MetJ	citC//glcB//nanE//hcaC//fabD//srlD//pspE//pncB//aroH//moaA//
MetR	dmsA//murQ//nirB//glk//
MhpR	metE//speA//malZ//phnL//dhaK//fucU//
Mlc	lsrG//glsA//fucU//leuB//
MlrA	gatZ//
MngR	narI//polB//
MntR	mhpB//edd//
ModE	rutA//cysH//aldA//phnM//fucU//tdcD//speA//alaC//carB//garK//puuD//ppc//slt//tam//folA//hycB//nemA//
MprA	lpd//galT//ilvM//
MqsA	dinB//lpd//
MraZ	rffG//ttdB//pgm//tyrB//appA//gntK//gdhA//fruK//pykF//wecE//
MurR	slt//allA//entH//
Nac	grxA//nagA//uxaB//napB//lpd//dhaM//pgpC//puuC//sodB//nirB//purL//
NadR	lysA//hypF//uidA//grxA//
NagC	malY//thrS//puuB//torC//guaB//caiA//rsmH//rffG//nadA//galE//bioF//gloA//phnL//gnd//dmsC//nanA//cysH//hemL//lacA//
NanR	poxB//tdcE//purC//pdeL//tauD//kbaZ//
NarL	xylB//wzc//glgC//hcaB//glgB//dmsB//fucA//gpmA//ssuD//nfsB//lysU//deoA//entC//nrdE//ldtC//paaC//rutD//entB//glcB//malY//frdA//patD//idnO//rtcB//cyoE//dhaM//rsmH//accC//fabI//bioC//entB//dadX//paaE//fadM//bioB//mhpE//frdC//waaH//puuE//gcvH//rutB//
NarP	pgpC//argI//glxR//gatD//ribA//mpl//iscS//tyrB//wrbA//fabB//yiaK//cysE//aceF//cueO//accD//
NemR	leuD//ubiA//
NhaR	ulaD//mpl//wrbA//argD//sucA//
NikR	yiaK//
NimR	pncB//
NorR	lacZ//
NrdR	uxaA//entH//allE//hycC//
NsrR	nrdE//fadJ//cysC//alkA//slt//gabT//yeaE//argI//phnN//bioF//pgi//galM//dgkA//ftnA//purD//yfdE//frc//garK//mdh//argA//frc//rutC//ycjG//ttdB//nrfA//pdeL//dinB//tyrB//cysN//astE//phnI//sgbE//paaZ//frdB//sufS//gudD//sgbE//tam//codA//nanM//
NtrC	wzc//galK//betA//leuB//aroL//appA//dkgA//prs//pgaC//nirD//puuA//hmp//pdeH//gpmM//glpQ//accD//umpH//napA//torC//glpB//prpE//
OmpR	lpxA//argI//nirD//rffM//uvrB//thrS//ascB//ascB//
OxyR	metK//rffC//arsC//atoD//puuA//rbsD//ruvA//cysI//mngB//napH//pgk//mpl//deoB//paaE//patD//guaB//lysU//
PaaX	hycC//astB//nadA//mhpD//rutB//rimK//phnL//lsrG//ilvA//
PdeL	glk//
PdhR	moeA//fucO//ynfH//tktB//tdcB//malY//sdhC//frc//rimK//sgbE//mhpC//paaH//gntK//glpC//puuA//uidA//sodA//rffM//pgm//hypB//argA//carB//appA//mazG//caiA//
PepA	lpxC//citX//
PgrR	lhgO//guaA//
PhoB	trpB//dmsA//narG//napG//rutB//paaH//napG//cueO//cynT//hycD//fadA//phnL//phnM//dadX//rbsD//pfkA//oxc//sgbU//caiB//ilvI//
PhoP	katE//yfdE//feaB//recD//eno//atoD//trpE//mhpF//ttdB//purN//gltD//puuB//ssuD//wzb//prpB//dadX//frdB//murG//rbsD//murC//cdd//yqhD//allB//gcvH//allC//hcaC//glxR//phnM//wecE//metE//yedX//nanE//
PrpR	ulaG//tauD//purD//glnA//
PspF	dhaM//
PurR	citF//umuC//rffT//fadJ//fabD//phr//melA//glcD//gabT//gcl//metH//chbF//araA//gatZ//ogt//metH//arsC//phnP//sodB//lpxA//malS//kbaY//yeaE//fbaB//dadX//deoC//
PutA	adhE//gcvH//
PuuR	metE//glgB//argF//mraY//hypF//sdaA//
QseB	
RbsR	phoA//dgcZ//metK//ppsA//paaH//glmU//
RcdA	ulaE//
RclR	
RcnR	sdhA//
RcsAB	melA//glk//pyrC//
RcsB	pdeH//glpK//lpxA//hycF//
RcsB-BglJ	fadH//gpmA//
RelB	srkA//
RelB-RelE	lysC//
RhaR	
RhaS	alkA//gntK//aroH//nrdB//
Rob	sgbU//frc//rffT//ynfH//allE//gadA//wecE//phoA//ttdA//nfsB//lpd//sgbE//pck//fbaB//tdcG//ahpF//glpK//glgA//moeA//
RstA	fadM//polB//pgm//
RtcR	fdhF//dgkA//
RutR	tdcB//caiC//citG//hcaD//wecB//lacA//dhaM//caiD//fabA//garL//aroG//
SdiA	
SgrR	sodA//alsE//paaA//
SlyA	allE//asnA//polB//atoB//rnpB//garK//fau//accD//aroL//
SoxR	lldD//
SoxS	yqjH//xylB//gcvT//torC//wzc//metA//glmS//asnB//galT//rffH//polB//fumC//hcaB//sufS//entB//ahpF//gadA//uxaA//chbG//murD//wzb//ilvE//aroH//dgcN//trpD//dgcN//
SrlR	mhpA//argA//cysK//
StpA	galT//dinB//kbaY//
SutR	patA//ftnA//
TdcA	phoA//napA//ogt//tnaA//glpB//
TdcR	hcaD//guaB//polB//carA//trpA//
TorR	purD//bioA//mhpD//umuC//fabI//
TreR	aspA//lpxD//
TrpR	sucB//codA//xapA//tehB//cynT//trpB//puuD//argE//purN//
TtdR	ndh//rhaB//
TyrR	ulaE//sdhC//ulaD//nagB//dinB//ilvI//allD//rffC//ddlB//
UhpA	mtlD//
UidR	hyaB//tam//
UlaR	metH//wzc//pheS//pspE//fucK//
UvrY	mngB//poxB//
UxuR	bioD//sdhB//guaB//ribA//murF//
XapR	lyxK//ttdB//
XylR	paaY//ldtC//ldtD//
YdeO	melA//nanA//moeA//
YefM	cysN//
YefM-YoeB	ynfF//
YeiL	
YhaJ	
YiaJ	pgi//phnP//ynfF//paaK//aroH//waaH//
YjjQ	ilvA//murI//
YpdB	
YqhC	gapA//rffT//
YqjI	gdhA//
ZntR	gatZ//
ZraR	
Zur	fabG//
