# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	nanK//ulaG//
FucR	garL//sdhB//ndh//gadA//purC//lpxD//
Fur	pck//paaF//paaZ//bglB//folA//phnH//serC//galM//tdcG//dsdA//ftnA//galT//dhaL//cysN//cysM//nadB//udp//nfsA//adiA//nfsB//fbaB//katG//nfsA//umuD//nrdB//trpA//ribA//aldA//ada//rfe//nanE//wrbA//uidA//ribA//citG//phnO//astE//cysC//mhpD//wzb//cysC//frdD//nadB//pheT//ndh//narH//aldA//araD//putA//ppc//fucK//argA//rsmH//fucO//idnO//nrfA//hycG//tdh//fadE//pncB//murC//hycB//
GadE	recD//cynT//galE//mhpB//mpl//mhpE//uxuB//puuC//caiC//torA//
GadE-RcsB	ynfE//fucO//ugpQ//pgm//mhpB//
GadW	glgA//aroL//lpxA//ogt//
GadX	galE//cysJ//glpD//ynfF//fabB//entC//nrdA//galE//torA//nrdD//rffH//arsC//fucK//
GalR	gcvP//murD//gltD//umuD//gcvT//fadJ//
GalS	astB//sucD//citG//araA//moeB//uxuB//
GatR	glpX//dhaM//eno//
GcvA	serA//napH//acnB//
GlcC	moaE//ttdB//mltF//
GlpR	bioC//galK//pgm//ampC//mngB//bioB//paaE//
GlrR	
GntR	ppc//fabI//glcB//pgaB//dmsC//metH//argE//puuB//nrdD//
GutM	murE//mazG//deoC//
HU	gabD//allA//fadE//astA//sbcC//ribA//idnO//
HcaR	pncB//rsmH//
HdfR	
HigA	serC//
HigB-HigA	tam//
HipAB	purC//ydcS//
HipB	glcF//ftsI//glmS//
HprR	lpxD//araB//zwf//paaY//
HyfR	pgi//
HypT	ulaE//fabG//entF//nirB//glyA//accD//alkA//
IclR	sufS//gudD//waaZ//
IdnR	ilvE//entD//fumC//paaB//ynfE//gcvH//
IlvY	fadJ//
IscR	add//phnM//fadJ//hmp//atoB//sgbE//ybjG//lysU//
KdgR	mhpC//frc//
KdpE	pagP//
LacI	alsE//malY//puuB//
LeuO	glnA//prpD//pgi//entC//gnd//entE//
LexA	appA//dapB//mraY//sdhC//hycE//xylA//hcaE//lpd//ppsA//carB//recD//glpD//mpaA//mtlD//torC//hmp//astA//frdC//fadJ//paaJ//deoD//malP//pdeH//
LldR	pgi//purM//
LrhA	
Lrp	garK//ubiC//pykF//metK//kbaY//caiD//aspC//pgpC//gadA//carA//argG//leuC//tdh//ychF//pgm//bioC//pflB//metF//metF//sodA//moaA//patA//paaF//tktB//ulaE//ynfG//sufS//araD//galK//glpC//ilvI//uvrA//yeaE//gltB//nadB//hycD//napG//ssuD//glxK//mazG//
LsrR	sbcD//melA//kbl//murG//entA//
LysR	phnH//
MalI	ygeA//ilvM//
MalT	mhpA//ascB//nemA//poxB//acnA//ilvD//
MarA	araA//phnL//frdB//rhaA//sgbU//lacA//waaH//ogt//frdC//phnI//cadA//dsdA//nanK//tdh//tynA//uvrA//allD//ftnA//glxR//caiA//ftsI//nrfD//pgaB//gpmA//
MarR	
MatA	mhpC//
MazE	umuC//
MazE-MazF	gatD//
McbR	
MelR	accA//slt//
MetJ	glmU//sucC//gnd//torA//wzc//lacA//lysC//purB//sdhA//rimK//
MetR	gabT//serA//ahpC//nanK//
MhpR	trpA//betB//aspC//folE//nrfD//tktB//
Mlc	tpiA//rbsD//astA//ppsA//
MlrA	alaA//
MngR	ftsI//caiC//
MntR	glxR//fucA//
ModE	avtA//tdh//glcD//moeA//trpA//bioB//gltD//aroF//dacC//uxaA//argF//nanE//nrdB//ppsA//purK//pfkA//ada//
MprA	nagA//iscS//phr//
MqsA	pykF//leuD//
MraZ	napA//gpmA//metB//rffM//phnJ//nagA//fumC//puuB//cynS//ttdB//
MurR	xylB//hcaB//chbF//
Nac	ccp//rbsD//fdhF//puuE//alaC//lacZ//fucK//ilvE//entE//pgaB//gcvP//
NadR	glpD//slt//ilvM//astC//
NagC	pck//srkA//hcaF//ychF//ugpQ//yqhD//araD//mhpD//hcaE//ascB//grxA//bioC//garD//codA//mhpC//dacC//ybjG//prpB//idnK//
NanR	citE//rimK//galE//pgaD//frdA//mnmG//
NarL	purF//pgi//carB//bioD//allD//hycC//hyaC//kbaY//cadA//gor//cyoE//moaC//relA//paaJ//ybjG//pgaB//rffM//rhaA//betA//lpxD//metF//trpE//rimK//pdeL//paaY//hycD//alsE//glyA//ppc//allE//nagA//hyaC//lsrG//gcl//oxc//prpC//galK//phoA//torA//bioF//cysC//
NarP	paaI//mhpF//metE//nfsB//polB//tktB//arsC//nemA//nemA//garD//nrdD//lpxD//pgi//garL//gnd//
NemR	ulaD//pgaD//
NhaR	moeA//feaB//pspE//galM//serA//
NikR	pgaD//
NimR	bioB//
NorR	gcvT//
NrdR	fes//purK//rfe//ychF//
NsrR	dmsC//purE//pck//cynT//dadX//fadI//sgbE//murQ//gcvT//uvrA//nadA//paaH//tdcE//nrfC//patA//astD//phnI//fumC//glpK//puuC//glpQ//puuD//ahpF//gcvT//paaG//cysI//cynT//dapB//ahpF//nfsA//wrbA//ppsA//treC//aspC//nanA//pykF//speB//glmU//fadI//nrfC//
NtrC	araD//moaC//deoA//hcaC//astE//ilvH//rimK//sdhB//lpxC//tyrA//deoD//allD//trpB//aldA//phnP//hycE//umuD//uidA//argF//wecE//sgbU//
OmpR	glgB//fabB//umpH//mnmG//idnO//phnI//yeaG//ubiX//
OxyR	malY//pnp//prpB//ssuD//uxaC//cysD//puuE//dadX//puuE//phnM//entC//aceF//ccp//dapB//ulaF//garR//tdcB//
PaaX	polA//napB//atoA//sodB//bioC//tyrB//ynfF//fucU//dapB//
PdeL	dapD//
PdhR	rnpB//sbcD//galT//cueO//glpB//alkB//pgaB//purH//prpD//ybjG//pykF//waaY//metH//frdD//nrdB//wrbA//moaC//gntK//wecB//polA//lsrK//lsrF//luxS//dapB//lpxC//
PepA	pgpC//fdhF//
PgrR	folA//uxaA//
PhoB	dgkA//purE//mhpA//trpD//carA//tauD//frdD//dsdA//codA//aldA//alkB//pagP//carB//dsdA//mazG//nanA//caiB//alaC//glpD//allE//
PhoP	argI//dadA//gloA//ydcS//chbF//melA//cysE//ppiA//pck//lsrF//gltB//glpD//napB//garR//allC//ynfG//ubiC//phr//ppsA//cueO//purD//idnO//rbsK//nanA//metC//phnJ//fbaB//rhaD//garL//dhaL//phnG//gltD//
PrpR	alsE//srkA//leuC//allB//
PspF	phnN//
PurR	ynfF//paaI//asnB//sdhD//purM//paaA//sgbU//nemA//sdhD//umpH//nrdA//sdhC//pdeL//ugpQ//uxaB//avtA//asnA//aroA//murC//glsA//nanA//prpE//pgpC//talA//bioD//paaH//
PutA	argC//hycC//
PuuR	moaA//frdB//dgcZ//glgX//citC//wecE//
QseB	
RbsR	purD//accC//nanM//tdcE//alsE//deoC//
RcdA	dhaK//
RclR	
RcnR	glgC//
RcsAB	fbaA//tehB//argF//
RcsB	allE//paaY//kbaZ//fabZ//
RcsB-BglJ	dgcZ//polB//
RelB	nadA//
RelB-RelE	malP//
RhaR	
RhaS	argF//nrfD//fadD//ftsI//
Rob	moaA//pdeL//avtA//fumC//hemL//fumB//hyi//fes//argE//garK//galM//recF//argD//recB//mltF//ubiX//nagB//dsdA//argA//
RstA	dapD//bioB//paaZ//
RtcR	metL//paaJ//
RutR	cynT//napH//lpxA//ndh//uxaA//accC//argF//mraY//tnaA//metA//alaA//
SdiA	
SgrR	atoB//yfdE//pagP//
SlyA	ada//hcaF//speA//dacC//sufS//sdhC//dkgA//glcE//pgi//
SoxR	tpiA//
SoxS	purA//aroF//torC//mpaA//glgB//deoD//thrS//dhaM//paaF//pepD//lysA//dgcZ//pspE//ftsI//dhaL//hyaC//umpH//hmp//fadB//rtcB//ssuE//fadB//tauD//ldtD//pck//cadA//
SrlR	lsrK//ugpQ//phnH//
StpA	entD//ruvB//nrdF//
SutR	gatZ//appA//
TdcA	gltD//pfkA//fbaB//nirB//rffM//
TdcR	oxc//yeaG//waaH//prpE//cysC//
TorR	eno//folE//aroG//ahpF//purK//
TreR	ahpC//lsrG//
TrpR	aldA//ftnA//lpxA//oxc//glpC//purE//nrfC//pyrC//uxaB//
TtdR	zwf//bioC//
TyrR	sgbH//pdeH//murG//ubiA//narH//gloA//feaB//aceF//rhaA//
UhpA	gudD//
UidR	hcp//fadJ//
UlaR	caiB//eda//metL//acnB//glcE//
UvrY	uidA//fucI//
UxuR	waaH//mltF//entD//glpQ//rhaD//
XapR	glsA//lysA//
XylR	fucA//phoA//cysE//
YdeO	sodA//lyxK//cynS//
YefM	pflB//
YefM-YoeB	narI//
YeiL	
YhaJ	
YiaJ	sucC//kbl//cynS//rfe//glpQ//amn//
YjjQ	galE//hcaE//
YpdB	
YqhC	sodA//tyrB//
YqjI	pyrC//
ZntR	prpB//
ZraR	
Zur	frdB//
