# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pgm//kbl//
Fur	cyoE//purC//entF//ybjG//purB//ssuE//pncB//pyrC//kbaZ//torC//moaE//talA//sgbU//paaK//ogt//glk//fadD//purM//phnN//bioD//glgB//caiA//citG//ydcS//frdC//ssuE//sdhA//edd//ychF//gatZ//mhpA//phnG//fdhF//sgbE//hcaB//pyrD//sgbH//glgA//ilvA//guaB//paaC//pncB//thrS//yfdE//aspC//glgA//glpX//pgpC//cadA//paaB//aroF//dgcN//dkgB//kbaZ//garL//rffC//dacC//ilvG_1//leuB//pgaB//araD//glnA//
GadE	entE//narG//leuA//aceE//adiA//bioA//fumC//paaI//atoB//wecC//
GadE-RcsB	mpl//wecE//paaG//pagP//ilvA//
GadW	astC//gcvP//pykF//tyrA//
GadX	rutA//allB//ubiC//murC//adhE//moeA//phnO//gcvT//murG//ndh//oxc//idnD//idnD//
GalR	paaY//chbF//astD//asnB//bioA//ftsI//
GalS	frdD//pykF//frdD//deoC//mhpB//atoB//
GatR	murF//dhaL//gpmA//
GcvA	gatD//acnA//ahpC//
GlcC	glmS//codA//yeaE//
GlpR	lldD//moaD//glyA//cyoE//dapD//leuB//ribA//
GlrR	
GntR	mltF//umuD//fucK//pgk//cysM//poxB//glgC//uxaA//hyi//
GutM	fadM//nanM//purA//
HU	napG//phnO//allA//ftsI//kbaY//trpC//grxA//
HcaR	phnP//glgC//
HdfR	
HigA	atoA//
HigB-HigA	garD//
HipAB	ilvE//lsrF//
HipB	allC//dhaM//gltB//
HprR	dkgA//allC//ynfE//glpQ//
HyfR	dmsA//
HypT	ldtC//pdeR//umpH//paaZ//prpB//phnN//allB//
IclR	ampC//phr//patD//
IdnR	rhaB//carB//ilvA//pheS//murE//alaS//
IlvY	alkA//
IscR	uxaB//accD//codA//nrdA//dadA//tktB//malQ//mngB//
KdgR	uvrC//garK//
KdpE	narH//
LacI	narH//aroG//caiA//
LeuO	ssuD//cyoE//gloA//glpC//fabB//phnL//
LexA	alsE//aroG//ynfF//dgcZ//putA//ada//alsE//ttdB//ybjG//ssuD//srlD//dkgA//glcE//metB//entA//srlD//uxaC//melA//kbaZ//hyaA//paaJ//ilvH//alaS//
LldR	citF//araD//
LrhA	
Lrp	ttdA//ilvM//sbcD//waaZ//galK//malS//paaB//paaG//argB//ilvD//cyoE//gltD//sodB//gpmA//nadB//recF//malS//citE//paaA//mdh//gcvT//hcaF//atoB//yeaE//hyi//prpB//melA//frdB//ndh//paaJ//murI//ahpC//tdcD//dhaK//uvrA//hcaF//ccp//adhE//dadX//sdaA//
LsrR	ftsI//carA//carB//argF//alkB//
LysR	fabD//
MalI	lysU//prpB//
MalT	paaH//ttdA//paaF//paaK//dadX//ftsI//
MarA	pck//lsrG//pdeH//ruvA//alaS//ampC//nirB//atoA//tktB//nrdB//sucD//adiA//cadA//feaB//uvrA//sodA//ahpF//pyrC//rutE//rffG//sdhC//ccp//galE//aroL//
MarR	
MatA	betB//
MazE	paaK//
MazE-MazF	tdcD//
McbR	
MelR	nfsB//galK//
MetJ	moeA//mltF//bioD//yqhD//metA//ampC//ulaG//glxK//katE//deoC//
MetR	fadH//gabD//purA//rffC//
MhpR	gntK//idnD//gdhA//fabZ//uvrA//talA//
Mlc	umuC//zwf//pheS//hyaB//
MlrA	gabD//
MngR	metB//fabG//
MntR	phnH//gutQ//
ModE	argI//leuB//malP//murG//aspA//rbsK//aceE//katE//fucA//entD//napA//paaB//paaY//glpC//kbl//umpH//fabD//
MprA	wecE//serC//feaB//
MqsA	puuB//prs//
MraZ	rffC//sdaA//mhpA//lacA//glcF//wecB//ttdB//ssuE//allB//waaY//
MurR	garL//leuD//hypF//
Nac	fadA//lacA//pnp//rffC//serA//glmU//murE//putA//trpC//pgaB//amn//
NadR	lpxA//ribA//paaI//tdh//
NagC	recF//galE//entA//ampC//fumC//phnG//entA//deoB//nrdF//gcvT//gcvT//narI//phr//ttdA//puuB//narG//ychF//phnI//caiC//
NanR	betA//malQ//dapB//rpiB//srkA//prpB//
NarL	sdhA//sbcD//metF//acnA//glxK//ilvC//sgbH//ilvI//idnK//ddlB//glgX//paaC//metB//adhE//fabD//napB//entB//lhgO//dhaM//nfsB//rffG//umuC//serA//pgi//ulaE//dmsA//trpB//allC//ldtD//tyrA//sbcD//aroL//paaH//folE//paaK//murG//leuB//xylB//rhaD//yiaK//fadD//
NarP	gcvT//mhpA//lsrK//hcp//lpd//dkgA//xapA//araA//dgcC//ddlB//accC//dsdA//uvrA//fabZ//araB//
NemR	wzb//mhpC//
NhaR	galK//purF//hcp//gudD//allE//
NikR	argB//
NimR	fau//
NorR	uxuB//
NrdR	murG//glgP//zwf//moeA//
NsrR	metK//ssuD//moeB//uvrC//hyaA//chbG//lpxD//ldtC//sdhD//rfe//paaE//moaE//mhpD//nadB//trpA//ada//betA//hemH//phnP//paaB//paaZ//lacA//entF//hemH//pgaC//pflB//phnG//deoC//moeB//trpE//astA//tdcB//fabI//ydcS//purF//edd//fucU//epd//moeA//frdA//
NtrC	fucK//fucA//uxaC//frc//putA//lysC//lacZ//malQ//ilvC//accC//treC//sucC//puuD//amn//ulaG//yedX//ppsA//murQ//cysM//malP//pgaC//
OmpR	fucO//torA//accA//paaI//lyxK//cadA//lpxC//galK//
OxyR	arsC//pfkA//poxB//yqjH//patD//mltF//fadJ//rsmH//glsA//sgbU//entD//rpiB//hyaA//hycD//leuC//aceA//cueO//
PaaX	cysE//hemL//zwf//psd//atoD//feaB//purH//chbF//lhgO//
PdeL	citX//
PdhR	nanA//accC//alaA//recD//rbsD//slt//ilvA//murQ//xylA//ssuD//fucK//xylB//uxaC//paaA//melA//nfsB//relA//deoD//yiaK//paaJ//fabB//gatZ//moaE//garL//allB//
PepA	gltD//ahpF//
PgrR	fadH//alaA//
PhoB	fadI//accC//ulaG//mdh//napB//gapA//galM//fabZ//sdaA//lpxD//fau//glsA//argD//phnO//bglB//ubiC//deoC//lysU//tpiA//patD//
PhoP	glnA//idnK//fucI//garD//sucD//cysM//lsrK//dmsC//ftnA//astE//hcaD//ruvA//frdB//pagP//avtA//hemH//fabZ//glgP//caiA//purK//araB//cysC//argF//malP//lldD//metB//ruvA//citE//deoC//mltF//argA//fucO//
PrpR	ulaE//uxuB//fadM//hmp//
PspF	rutA//
PurR	entF//bioB//xapA//argE//glcD//ftnA//phnM//rutB//pdeH//aceF//wecC//bacA//phnI//lysC//moaE//rbsD//purE//gapA//gpmM//uxaA//metC//malZ//rtcB//sdhD//uxuB//murC//
PutA	pdeR//hcaF//
PuuR	argF//glcD//yedX//yiaK//ftnA//citF//
QseB	
RbsR	eda//rpiB//xapA//accD//prs//rffT//
RcdA	ubiA//
RclR	
RcnR	dadX//
RcsAB	hycG//ftsI//pgaD//
RcsB	ahpC//lacZ//moeA//pck//
RcsB-BglJ	tynA//gltD//
RelB	paaG//
RelB-RelE	mtlD//
RhaR	
RhaS	pheS//lacZ//citX//dgcZ//
Rob	tdh//aspC//metH//purN//rffM//adiA//wecB//lldD//dhaL//cdd//ychF//mpaA//sucD//fabI//argG//ilvC//murI//guaB//fucU//
RstA	paaI//tehB//phr//
RtcR	cysM//ugpQ//
RutR	citX//glsA//paaB//aceF//nrfC//rsmH//argC//deoC//glyA//fbaA//alsE//
SdiA	
SgrR	murE//moaA//luxS//
SlyA	ydcS//pdeR//cysM//phnP//uxaA//galE//garK//argC//frdA//
SoxR	waaH//
SoxS	mhpF//pncB//ruvA//nrfA//glxR//ynfF//fabZ//aceE//entH//yeaG//rtcB//rtcA//lldD//gcvH//ygeA//mhpC//glpQ//aspA//hycG//mdh//melA//paaK//iscS//serA//hcaB//rutD//
SrlR	wecB//ccp//frdD//
StpA	gloA//folE//uxaA//
SutR	adhE//kbaY//
TdcA	hcaE//folA//glmS//katE//ogt//
TdcR	appA//argG//pck//nanE//mpaA//
TorR	citC//metC//glgA//puuC//metE//
TreR	ynfF//astC//
TrpR	icd//tyrB//adiA//guaA//pheT//trpB//betB//paaE//gatY//
TtdR	ugpQ//aspA//
TyrR	aceF//aceB//sucD//malP//xylB//cysD//gor//idnO//dgcN//
UhpA	garL//
UidR	dapD//idnO//
UlaR	alkB//hyaB//glgC//glgB//uxaA//
UvrY	fucO//ynfH//
UxuR	leuC//ccp//gnd//phnG//sdhA//
XapR	hmp//lpxA//
XylR	ruvB//ycjG//ynfG//
YdeO	fau//phnL//dadX//
YefM	caiD//
YefM-YoeB	ilvA//
YeiL	
YhaJ	
YiaJ	aceE//melA//folE//purK//fruK//adhE//
YjjQ	mpaA//wecB//
YpdB	
YqhC	hycC//prpB//
YqjI	nfsA//
ZntR	polB//
ZraR	
Zur	entE//
