# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	dinB//lpxC//
Cra	accA//cueO//rhaD//srkA//malY//glpQ//gudD//icd//ribA//nagA//fes//hemH//folA//purK//nagB//ychF//gatY//napA//chbG//fabA//mhpB//arsC//betA//uxaA//glgA//deoD//polB//putA//dgcC//gpmA//accD//recF//pyrD//rhaD//allC//tehB//glgB//tehB//bacA//sdhD//rhaA//gcvT//phnH//pfkA//ynfG//wzc//garL//frc//sgbE//hcaE//fadD//relA//hcaD//sucD//dinB//uxuA//paaA//yeaG//caiC//
CreB	tdh//fucK//
CsgD	nrdD//accA//dmsB//tdcD//yfdE//
CsiR	glgP//glxR//gdhA//glpK//
CspA	rimK//
CueR	ccp//paaC//gcvT//uxaA//metB//
CusR	rfe//kbaY//fdhF//fau//
CynR	mtlD//dapD//accA//
CysB	guaA//atoA//nrdD//aroH//waaY//glk//dhaL//pagP//napG//amn//garK//nrdD//folE//hyaC//murD//argF//gltD//
CytR	uxaA//rffH//gloA//paaI//fumB//hemH//sdhA//phnP//sodA//dadX//
DcuR	glpD//tyrA//nadB//uxaC//
DeoR	gatY//tktB//frdD//polB//nrdA//pyrC//
DhaR	kbl//
DicA	
DinJ-YafQ	frc//
DnaA	citF//asnB//appA//astD//gpmA//hyi//
DpiA	argH//astC//hemH//epd//citC//
DsdC	ugpQ//fabD//
EbgR	
EnvR	pheT//phnJ//
EnvY	entH//ilvG_1//
EvgA	rutD//metL//lysA//pgaB//gcvT//purK//
ExuR	glyA//mngB//fadI//ssuD//hycC//codA//
FabR	citF//katG//idnK//
FadR	rffT//metH//argG//rhaB//adiA//glnA//fadM//trpA//glgP//phnI//pflB//paaJ//alsE//pdeH//accA//entB//pck//nanK//fabH//
FeaR	hyaC//ydcS//
FhlA	cysN//metL//argA//rffT//hcaB//ssuE//ulaD//idnK//
FlhDC	wrbA//glpX//ung//purB//acnB//lysA//glgP//speB//gabD//sdaA//trpE//luxS//cyoE//napA//
FliZ	ada//kbaY//trpE//trpD//glxK//
FucR	uxaC//hycF//yedX//betB//purH//dgcZ//
Fur	sodA//ttdA//rimK//pdeR//rffM//ogt//uidA//hypB//yqhD//ilvH//mnmG//dgcC//tktB//glpK//allC//sucD//tyrB//aceB//phnN//paaE//hypF//narI//nanK//wzc//murF//sdhC//purH//ynfE//entB//ogt//accD//patA//idnO//sucC//sdhC//gloA//guaA//lldD//murI//hemL//gnd//malS//slt//rffG//purM//nanA//hyaB//argH//pdeR//fadA//glcF//pgaD//ilvG_1//metH//murF//cysN//gudD//nemA//umuD//aspC//dmsA//wzb//
GadE	hemH//ubiC//ruvA//purA//glcD//ynfE//tehB//ppc//tyrB//metE//
GadE-RcsB	lysA//pheS//ampC//moeB//asnA//
GadW	ulaD//phoA//add//fadA//
GadX	sgbE//nanM//tehB//aroA//sgbH//narH//slt//leuB//polA//ynfF//deoB//pgaD//sgbH//
GalR	purC//avtA//dhaM//puuD//guaA//ilvC//
GalS	ilvA//napH//deoB//slt//glpA//lacZ//
GatR	trpD//purB//xapA//
GcvA	xylA//fadI//cadA//
GlcC	oxc//uvrA//argI//
GlpR	caiB//fes//murC//phnG//gatZ//relA//glpB//
GlrR	
GntR	ssuD//argC//waaH//ulaD//cysG//puuE//ribA//dapD//malS//
GutM	cysN//phnI//glcF//
HU	ftsI//garK//dinB//tdh//lacZ//glpX//tadA//
HcaR	cysC//rutA//
HdfR	
HigA	nfsA//
HigB-HigA	rhaA//
HipAB	citD//codA//
HipB	phnJ//lsrK//cysK//
HprR	ahpC//puuA//nadB//gdhA//
HyfR	tdcD//
HypT	glpA//purH//aceA//purE//citX//galM//rffT//
IclR	ilvI//aspA//deoD//
IdnR	cdd//nanE//nemA//deoA//caiA//waaH//
IlvY	glgA//
IscR	hyaB//nanA//ubiC//caiA//cysK//caiD//ribA//accD//
KdgR	moaC//gloA//
KdpE	sdhC//
LacI	rtcB//entC//bioA//
LeuO	rhaA//torC//gadA//ribA//rutA//frc//
LexA	accC//gatD//ldtB//nfsB//hycB//srkA//aroH//fabD//betA//adhE//hycE//purA//phnL//relA//mhpC//torA//fabA//cysJ//malY//serA//rtcA//yeaE//nanA//
LldR	allD//napH//
LrhA	
Lrp	dgcN//tdcE//rimK//dinB//ilvE//glxR//ynfG//malY//phnI//moeB//tehB//sgbH//allA//slt//pheS//thrS//napH//yedX//hycE//wecC//ada//mhpA//purN//pgpC//gatD//kbaZ//recD//icd//moaC//sodA//pagP//pdeH//pflB//argF//waaH//gatZ//caiD//lysU//uidA//paaE//
LsrR	add//entE//ampC//gnd//umpH//
LysR	fabZ//
MalI	acnA//glpX//
MalT	mhpD//frdC//entH//gnd//torC//hyaA//
MarA	rffG//glcB//murQ//aceB//tam//allD//edd//fdhF//gcvP//nfsA//frdA//umpH//murF//ttdB//feaB//hycF//nirB//gcvT//ulaG//xylB//pspE//moaC//rimK//mhpA//
MarR	
MatA	prpB//
MazE	mazG//
MazE-MazF	purL//
McbR	
MelR	pflB//ssuD//
MetJ	prpB//hcaF//argC//metK//purK//sucD//ruvA//mhpA//ychF//asnB//
MetR	avtA//paaH//ubiC//garD//
MhpR	dgcC//zwf//katE//argD//mhpA//ilvI//
Mlc	ccp//fabD//treC//acnB//
MlrA	sbcD//
MngR	sbcC//aceE//
MntR	asnB//purL//
ModE	rhaB//ilvI//serA//narI//rffT//alkB//rbsD//ilvM//ppsA//nanK//murQ//srlD//sgbE//ftsI//glgP//sucD//hycG//
MprA	lpxD//phoA//gntK//
MqsA	dapD//rhaA//
MraZ	fadD//pepD//betB//astC//frc//lacZ//umpH//speA//gcvH//tpiA//
MurR	fbaA//rbsK//ilvA//
Nac	ung//caiB//tauD//mhpE//garD//allA//purN//oxc//argG//rhaA//cysN//
NadR	tehB//ruvB//zwf//gabT//
NagC	gcvP//rhaA//nemA//ascB//tdcD//fdhF//mhpC//metC//citD//fucU//mdh//nadA//gor//waaZ//fruK//ttdB//kbaY//ilvA//frc//
NanR	atoB//rffH//sdhC//gabD//asnA//waaZ//
NarL	ilvI//puuB//hcp//pflB//phnM//rtcB//fadJ//folA//hycE//hcaE//cynS//nanK//gutQ//rpiB//ogt//idnD//dhaL//ruvA//nirB//dmsB//phnN//uidA//argC//mraY//rffC//purD//mpaA//accD//accC//glpC//cysM//dkgA//hycE//fucO//garR//pheT//argE//eda//serC//polB//citG//
NarP	leuC//nadA//galK//atoA//acnB//carA//phnO//xylA//yeaG//ahpC//dadA//lysU//ilvD//hemH//patD//
NemR	araA//rutD//
NhaR	gdhA//trpB//purC//lacA//lyxK//
NikR	recF//
NimR	ldtD//
NorR	srlD//
NrdR	pykF//fabG//mtlD//pgm//
NsrR	wecE//argE//deoD//narH//murF//rtcB//folA//phnH//rpiB//lsrF//mhpA//glcB//lsrF//aceB//fumC//glpA//hycC//metK//lhgO//ppsA//waaY//dgcN//citF//xapA//dgcN//garK//fadI//lysC//mpaA//malY//nrdE//ynfH//alsE//glcE//nfsA//serA//narH//pncB//rutB//cysH//
NtrC	nemA//lysC//glxK//ilvH//pykF//glpC//edd//allC//mhpB//murE//add//fabZ//pck//uvrA//phnM//hcaD//ydcS//ruvB//argC//rutC//ahpF//
OmpR	aroL//nrfC//glmS//paaB//hcaD//fabD//cysD//aceF//
OxyR	gabD//aceA//malP//yqjH//tdcB//hemL//paaH//leuC//nrfC//phnH//ilvI//hycE//phnH//alaS//pspE//uvrA//malZ//
PaaX	umuD//entH//yeaE//rtcA//malZ//melA//nanE//gltD//leuC//
PdeL	waaH//
PdhR	melA//garK//ychF//moeA//yqjH//argA//purE//pgaD//bioC//murE//srlD//phnJ//ynfH//lpxA//ttdA//rtcA//lyxK//accD//nemA//fadE//paaF//gpmA//rffG//kbl//add//
PepA	recF//lldD//
PgrR	mraY//metH//
PhoB	dapD//icd//slt//trpB//hycE//caiD//lyxK//ubiX//malP//frdB//sdhA//lsrF//lpxA//moaE//frdD//aceA//glpC//purK//feaB//recF//
PhoP	wecE//argA//paaB//fruK//dgcZ//lacA//malZ//citF//purF//pykF//prpE//glcD//fadI//dinB//rbsK//ydcS//murQ//frdB//rhaA//glcD//tdh//frdB//phnM//cysN//ssuD//paaG//fumC//gpmA//mnmG//entC//glpK//gltD//
PrpR	cdd//prpE//mtlD//rutB//
PspF	ygeA//
PurR	sbcD//rbsD//nrdE//paaZ//acnB//purL//murD//folA//yqhD//glk//ulaF//astC//galT//argE//entE//astD//fabI//ftsI//pgm//glpX//malY//mngB//ubiC//nrfA//cadA//bioC//
PutA	puuD//gadB//
PuuR	ssuE//nrfA//purD//betA//dapD//ilvI//
QseB	
RbsR	ynfG//pgaC//kbaZ//moaD//ndh//ssuD//
RcdA	fucO//
RclR	
RcnR	hyaC//
RcsAB	mpl//mazG//dhaL//
RcsB	narH//fbaA//frc//edd//
RcsB-BglJ	kbl//glpK//
RelB	glpC//
RelB-RelE	gabD//
RhaR	
RhaS	lsrF//cysG//betB//pheS//
Rob	metH//araD//dadX//fadE//epd//yeaG//speB//rutD//waaH//deoA//ttdB//argA//astB//hemH//oxc//bioC//glpB//uidA//hcaE//
RstA	citD//garL//rtcB//
RtcR	narH//citE//
RutR	ilvM//fadB//chbF//kbaZ//frdA//acnA//tdcB//sdhC//mltF//aspA//talA//
SdiA	
SgrR	metC//fdhF//ilvG_1//
SlyA	hcaC//nadA//glxR//phnG//dmsA//wecB//lsrG//murQ//phnP//
SoxR	pdeH//
SoxS	dinB//pgk//eda//fdhF//hycB//idnO//galE//hemL//entD//ppiA//paaH//alaA//fabZ//ubiC//cueO//allB//cysH//glgB//malQ//pgk//hycB//glpD//sucD//nadB//kbaY//tehB//
SrlR	phnN//betB//dinB//
StpA	alaC//nrdE//tyrA//
SutR	glpQ//nagA//
TdcA	citC//arsC//hycD//murI//astD//
TdcR	guaB//pyrC//ahpF//ribA//ycjG//
TorR	nanE//mnmG//uxaC//galM//tadA//
TreR	citX//pykF//
TrpR	nanK//sbcD//cysM//cysD//rbsK//malZ//polB//ilvG_1//sdhC//
TtdR	polA//argC//
TyrR	bioC//tynA//pck//phnM//aroG//glmU//purM//puuE//fabZ//
UhpA	appA//
UidR	waaH//ulaG//
UlaR	metL//cysE//rnpB//dapD//nfsB//
UvrY	lsrG//hcaF//
UxuR	puuD//deoB//ychF//murF//sodB//
XapR	araA//metC//
XylR	tktB//glgA//alkA//
YdeO	gudD//phnO//sucB//
YefM	nfsB//
YefM-YoeB	fadE//
YeiL	
YhaJ	
YiaJ	mpaA//entH//folE//waaY//entC//tnaA//
YjjQ	pepD//rtcA//
YpdB	
YqhC	ampC//fadM//
YqjI	fadI//
ZntR	asnA//
ZraR	
Zur	waaZ//
