# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	bioD//murC//
IclR	glcD//dmsC//puuA//
IdnR	hcaE//leuA//dhaL//pdeR//moeA//ulaD//
IlvY	ilvA//
IscR	slt//glcD//trpE//adiA//glmU//gatD//ynfG//fumC//
KdgR	folE//wzc//
KdpE	metB//
LacI	dgcN//nadA//fadE//
LeuO	entE//lldD//frdD//rutA//fadE//aceB//
LexA	fumB//argI//nagB//fucA//bioF//bioF//codA//allB//tauD//sgbU//dadA//mpaA//ilvC//citE//fumC//waaZ//fumB//sgbE//yeaG//fadM//yeaG//uvrA//fucA//
LldR	rbsK//sbcC//
LrhA	
Lrp	caiD//xapA//ilvH//amn//gloA//betB//folE//adiA//glgC//uvrA//fabD//rpiB//pspE//fbaB//astA//malY//ppsA//gatZ//leuD//pnp//ldtB//kbaY//pnp//frc//ribA//ynfE//uvrB//rpiB//aroL//nrfC//guaB//gloA//mngB//hycB//ung//sucA//aroL//tyrA//iscS//aceF//
LsrR	gdhA//tadA//fbaA//fabH//hcaC//
LysR	iscS//
MalI	malQ//allD//
MalT	gcl//lysU//sucC//nirD//purC//add//
MarA	napH//entA//udp//dapD//malP//speA//lsrG//nrdF//cynT//serC//gpmM//idnO//tadA//fbaA//moaE//pgk//yeaE//aroL//aroG//guaB//gudD//pheT//glpA//aspA//
MarR	
MatA	purH//
MazE	argD//
MazE-MazF	fadM//
McbR	
MelR	pdeH//aroH//
MetJ	astB//argH//sbcD//hyaA//ilvM//nadA//leuD//metE//paaH//rtcA//
MetR	zwf//umpH//rutE//gabT//
MhpR	sdaA//hcaC//fadE//cysH//ilvA//caiA//
Mlc	galT//fabB//entF//yqjH//
MlrA	nrdB//
MngR	cueO//glcB//
MntR	murG//rffM//
ModE	adhE//malP//nanA//yeaE//umpH//pykF//glgX//aceB//paaE//paaK//katG//dgkA//tdcB//fdhF//eda//hypB//rffC//
MprA	ynfG//ybjG//napG//
MqsA	pyrD//deoC//
MraZ	alaC//ruvA//sufS//galK//yqhD//ychF//frdC//fdhF//caiC//mazG//
MurR	malY//araD//frdD//
Nac	sucA//nrdF//astC//dapD//mnmG//cysJ//allC//alaC//frdB//aroA//ycjG//
NadR	fadA//glgB//fadA//dhaM//
NagC	malZ//wecC//tdcD//dmsB//acnB//moeB//allD//cysE//mpl//citX//dmsB//dapB//ilvD//pflB//napA//umuD//glsA//dadX//tktB//
NanR	glpB//murF//rsmH//purK//edd//atoD//
NarL	uxuA//rffT//leuD//metF//cysH//murQ//sdhD//bglB//waaY//gor//fadJ//codA//aldA//gudD//lpxA//galE//glsA//allB//yedX//purD//purL//trpE//purC//mhpA//murI//melA//chbG//srlD//ilvH//astC//purH//purN//atoA//melA//nrfA//glxK//phnJ//ugpQ//waaY//nirD//betA//
NarP	argH//metK//dmsC//ychF//caiC//metC//frdA//pncB//pyrC//deoD//ilvG_1//caiC//gpmM//metC//mhpC//
NemR	galK//ynfH//
NhaR	lysC//wecB//argA//sucB//tktB//
NikR	prpD//
NimR	ascB//
NorR	mngB//
NrdR	phnO//ilvE//epd//napB//
NsrR	malZ//mpl//phnL//cysH//aspA//ldtC//dhaM//cdd//napA//sodB//ribA//carA//ahpC//metK//glxR//relA//rutC//argB//rutC//cysG//codA//fucO//ulaD//fau//cysG//rutC//ruvB//ychF//metF//pncB//argG//hmp//lpxC//icd//glxR//dkgA//edd//gor//frdB//uxaC//
NtrC	fucO//pgk//napG//glmS//cysJ//psd//uvrB//slt//hyaC//sdhA//pgaC//hypB//eno//ldtD//adhE//bioD//mdh//putA//hcaF//glnA//dgkA//
OmpR	uxaB//ilvA//aldA//paaA//alkB//murQ//melA//napB//
OxyR	tynA//gcvP//argF//glpD//mhpE//guaB//bioF//iscS//serA//glmS//gatD//ulaE//phnG//putA//hycD//deoC//paaI//
PaaX	accC//ppiA//citD//glk//tktB//rnpB//hypB//pgaD//puuC//
PdeL	leuD//
PdhR	gltD//yfdE//tdh//poxB//napB//oxc//guaA//deoB//glcF//gltB//gcl//trpE//gcvP//hycD//mhpD//kbaZ//hyaA//entC//gudD//moeB//fadJ//napB//rffH//glk//rffC//
PepA	adiA//fabD//
PgrR	trpB//puuB//
PhoB	nfsA//gatZ//sucD//lysA//aroG//mhpA//glsA//moaA//paaY//sgbH//wecE//fumB//mngB//citE//mhpF//citF//lpxC//alaA//argA//ilvD//
PhoP	eno//alaA//paaH//argC//relA//argF//mhpD//astA//rutB//malP//murC//tauD//gatY//tktB//paaY//glpQ//paaG//gabT//pncB//frc//nirB//moaE//carA//cadA//narH//araD//fumC//purE//sdhA//hycD//gapA//rutD//
PrpR	patD//malS//rffG//glcD//
PspF	deoA//
PurR	guaB//cysH//ahpF//aspC//aroA//glyA//gapA//frc//feaB//garD//moaE//lyxK//puuC//alkA//tdcE//ubiC//glmS//glcF//phnM//dhaL//serA//ybjG//lsrK//uxuB//folA//sdhC//
PutA	glpC//galE//
PuuR	fucO//deoB//paaC//leuB//slt//dkgB//
QseB	
RbsR	sufS//napA//ilvI//mpl//mhpA//ftnA//
RcdA	fadB//
RclR	
RcnR	dgcN//
RcsAB	pheT//prpD//eno//
RcsB	entD//aceF//rffC//cysD//
RcsB-BglJ	mdh//gltD//
RelB	nagB//
RelB-RelE	frdB//
RhaR	
RhaS	araA//idnO//folA//nrdE//
Rob	aroG//glgX//dmsB//glpB//gabD//nadA//rutE//purE//fadI//malS//accA//dadA//bioF//bglB//ubiX//ydcS//rutB//pgi//gpmM//
RstA	allD//deoC//bioD//
RtcR	citD//argI//
RutR	ldtD//murF//gor//caiC//mpl//aceB//bioC//pgaC//puuE//ulaD//hycG//
SdiA	
SgrR	icd//lsrF//rutB//
SlyA	murI//fucO//ndh//pflB//sbcD//gntK//argD//glgB//sucC//
SoxR	ribA//
SoxS	tnaA//ttdA//deoD//allA//xylB//hycE//atoA//polB//araD//katE//moaE//hycC//nanM//entD//srkA//entH//aroF//allE//recB//prpD//fbaA//dadX//tdcB//trpD//kbaY//phnP//
SrlR	purC//fadM//ilvG_1//
StpA	ampC//gdhA//ampC//
SutR	pgpC//bacA//
TdcA	ilvC//adhE//fucU//dgcZ//sucC//
TdcR	aspC//sodA//glpA//yqhD//malP//
TorR	fdhF//rtcA//tyrB//gutQ//aroH//
TreR	avtA//lysU//
TrpR	mhpF//fbaB//ppc//uvrA//araD//ugpQ//nrdA//cueO//eda//
TtdR	dhaM//adhE//
TyrR	dmsB//mdh//uvrA//alaC//glxR//ybjG//malP//purE//nagB//
UhpA	glmU//
UidR	fucO//dmsA//
UlaR	acnA//citE//xylA//mhpA//ppc//
UvrY	fucA//edd//
UxuR	add//napG//glk//melA//paaI//
XapR	nanE//glk//
XylR	moeA//rtcA//uxuB//
YdeO	relA//accA//nagA//
YefM	pfkA//
YefM-YoeB	ynfF//
YeiL	
YhaJ	
YiaJ	lpd//carA//tehB//eno//dkgB//yedX//
YjjQ	iscS//fucA//
YpdB	
YqhC	malQ//paaG//
YqjI	citG//
ZntR	uxaB//
ZraR	
Zur	serC//
