# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ddlB//lysA//
FadR	katE//cadA//pck//napG//malP//serC//ilvD//fadA//trpD//ada//trpA//gcvT//psd//aceF//asnA//dsdA//sbcC//bacA//mdh//
FeaR	hcaD//appA//
FhlA	ilvI//srlD//garK//pflB//dgcZ//dapB//bioA//gabT//
FlhDC	sdhC//pgaD//sucD//ftnA//purN//ung//mhpC//truB//paaC//pspE//fumB//glcB//uxaC//poxB//
FliZ	uxaC//pyrD//leuB//betB//metC//
FucR	mnmG//citD//paaE//garR//nirD//aroA//
Fur	astD//prpB//galE//wecB//tktB//cysM//kbaZ//gcl//galE//napG//acnB//nanA//oxc//fadA//nanK//lacZ//amn//wecC//moeB//nrfC//recF//acnA//aspA//purH//glgB//sucB//dkgA//sucD//rtcB//gatZ//astA//ttdA//cueO//fruK//araB//glpX//wzb//lacZ//alaS//paaZ//mpl//lsrF//uxuA//yqjH//rutC//frdD//argC//betB//sodA//wzb//ada//atoB//fabI//galK//purB//mdh//hypB//citD//paaE//rbsK//argA//wecC//
GadE	purD//ychF//alkB//pflB//malP//fadE//rutA//fadB//argF//aroH//
GadE-RcsB	moaC//asnB//cdd//gdhA//tdcG//
GadW	murF//mltF//citX//umpH//
GadX	rffH//tdcG//astC//ppc//yiaK//uvrA//cysJ//uvrA//icd//metF//hycC//caiA//edd//
GalR	purH//guaB//dgcN//uxaC//ruvA//epd//
GalS	ubiC//wecE//fadA//dgcN//pflB//bglB//
GatR	purB//glpQ//uxaB//
GcvA	sodA//glpD//purA//
GlcC	paaJ//rffG//ynfG//
GlpR	ygeA//glpX//ttdB//argH//waaH//tyrB//leuB//
GlrR	
GntR	dmsB//yqjH//paaH//mraY//adiA//entE//purB//pgaC//pgaB//
GutM	nadB//glpQ//fes//
HU	ung//moaC//malY//glpK//frc//lsrG//glk//
HcaR	ulaE//icd//
HdfR	
HigA	fucU//
HigB-HigA	puuA//
HipAB	hyaB//nanM//
HipB	tdh//gabD//paaF//
HprR	glxR//garK//ilvG_1//tehB//
HyfR	fucI//
HypT	hcaD//yedX//hycG//gapA//oxc//glcF//hypB//
IclR	rtcB//puuA//glmS//
IdnR	recF//yqjH//allA//cysK//entH//entB//
IlvY	lacZ//
IscR	lpxC//mhpC//narI//glpQ//glgA//gcvP//gcvH//gapA//
KdgR	ldtD//aroL//
KdpE	cysD//
LacI	ppsA//metB//purH//
LeuO	entH//citF//rhaD//argC//malP//mazG//
LexA	purL//phnO//cynT//murC//moaC//mdh//allE//mhpB//cynT//fabG//hcp//cysD//astE//ada//glcE//araA//glcD//lsrF//dgcC//moaA//ubiC//pspE//astC//
LldR	pdeR//chbF//
LrhA	
Lrp	tdcD//ilvG_1//uxaA//betB//atoD//luxS//gltB//deoD//nirB//mnmG//cynT//pheT//murQ//treC//cysK//moeA//ssuD//aroG//torC//dgkA//leuB//pgaB//polB//glcD//amn//hypF//rutC//waaY//entB//ldtB//serC//citE//purH//pnp//nrfC//ynfF//entA//garR//hcaD//rimK//
LsrR	trpE//pdeL//lysA//glxK//guaA//
LysR	ahpF//
MalI	bglB//gdhA//
MalT	sbcC//cysE//puuE//nrfA//fabB//rutA//
MarA	nrfD//fabA//cdd//glpQ//nadB//ilvH//tdcB//pepD//kbaY//oxc//paaZ//xylA//nrfC//ldtC//hycC//ldtB//mpaA//garD//glpX//pgpC//dacC//fadH//katG//hycD//
MarR	
MatA	yeaG//
MazE	ydcS//
MazE-MazF	udp//
McbR	
MelR	dkgA//hycD//
MetJ	frc//lysA//nadA//torA//entB//ampC//astD//gntK//paaB//gor//
MetR	nfsA//aceF//ppc//acnA//
MhpR	pheS//trpE//gcvH//acnA//sdaA//rffC//
Mlc	hcaC//rffC//leuA//gapA//
MlrA	ilvG_1//
MngR	ilvD//nrdA//
MntR	aroG//eno//
ModE	aspA//recF//fabI//mltF//nirD//ygeA//ascB//citD//prs//fucA//serA//nrdD//paaB//fabG//yqhD//garL//purL//
MprA	glmS//glcB//caiD//
MqsA	gutQ//feaB//
MraZ	amn//katE//torC//fumB//recF//hcaD//eno//hycC//allA//gcvP//
MurR	dgcZ//tdh//nrdD//
Nac	paaH//glgX//astE//polB//pgaD//sbcC//bioA//prpB//glcE//fbaB//leuA//
NadR	tynA//mraY//argH//deoA//
NagC	lpxA//rsmH//nanE//aroL//nrdA//pncB//caiA//astC//betA//wecC//ulaF//ada//gcvH//caiD//nirD//xylB//kbaZ//rffH//add//
NanR	hycG//fucA//phnG//ccp//ascB//glgB//
NarL	fau//carA//puuB//frdB//pheS//tyrB//alkA//mhpA//tnaA//fabH//phoA//moaA//gltD//dgcZ//katG//fadI//sucD//sbcD//leuB//pgk//glsA//dmsC//nirD//argA//purB//prpE//fdhF//serC//tdh//lacA//leuD//dkgB//betB//nanM//metK//cysK//srlD//glmU//astD//fdhF//glxR//
NarP	dgcN//hyi//alaS//melA//argF//nrdE//argH//lsrF//lsrG//sdhD//rffT//metA//gadA//hcaB//pgi//
NemR	frdA//lldD//
NhaR	moaC//rsmH//ssuE//tdcD//rimK//
NikR	citC//
NimR	bioC//
NorR	ilvC//
NrdR	galE//ulaF//moaD//nrdD//
NsrR	avtA//hycD//pgaD//lsrF//ttdB//glk//nfsA//astD//allB//malS//trpA//hcaE//ppsA//sgbE//mhpC//icd//serA//metH//paaI//ulaE//umuC//recF//pgaB//fau//xylA//lsrG//glxK//glnA//fdhF//sdhC//mraY//malQ//allE//leuC//fau//sbcD//phoA//ilvH//sucC//aroH//
NtrC	sucC//dapD//ldtC//allE//ilvD//araA//speB//uvrB//metB//paaB//deoA//argF//pheT//gloA//wzb//folA//pflB//gpmA//cysJ//ribA//trpC//
OmpR	gutQ//dhaM//nanK//sodB//dgcN//nanE//psd//dapD//
OxyR	murE//garL//dmsA//araB//ttdA//phnN//hycD//rffC//mngB//ubiC//uxaB//fbaB//napG//lysC//atoD//glyA//puuC//
PaaX	fadD//narG//leuD//puuB//araD//frc//deoA//sufS//garL//
PdeL	speA//
PdhR	tehB//tktB//narH//sucA//talA//phnJ//lsrF//sucA//prs//gabT//puuB//phnM//argA//nrdA//mhpB//yqjH//phnN//napH//glcE//lsrK//hypF//dgcN//fadI//chbF//waaZ//
PepA	dmsC//puuA//
PgrR	paaK//ynfE//
PhoB	paaG//purB//arsC//trpA//ulaE//nemA//nadB//trpD//paaK//hyi//ribA//fumC//rhaA//phnJ//pagP//polA//argF//glpB//moaE//ttdA//
PhoP	ubiC//fucI//ftnA//dhaL//gcvP//yeaG//purM//pflB//add//add//gadA//pgaB//fbaA//metE//glyA//mhpA//pncB//caiD//ulaG//caiB//kbl//pdeL//aceB//phnH//lsrG//katE//nrdD//trpB//aceF//narI//pgi//talA//
PrpR	metF//dsdA//ldtC//nrfA//
PspF	hcaD//
PurR	galM//wecE//ldtB//caiA//ung//pdeL//paaI//pgaB//metH//lsrG//murF//gudD//ddlB//glcB//grxA//paaJ//grxA//nanA//fadI//ampC//lacA//aceB//nfsB//yedX//hcp//mazG//
PutA	paaH//fbaB//
PuuR	fumB//ruvA//hcaB//glgC//murG//ldtB//
QseB	
RbsR	hypF//fadH//tehB//malS//argD//uxaB//
RcdA	murD//
RclR	
RcnR	fadB//
RcsAB	lpxA//iscS//psd//
RcsB	ppc//uxuA//cysD//ftnA//
RcsB-BglJ	entE//citD//
RelB	carA//
RelB-RelE	ynfG//
RhaR	
RhaS	araD//rsmH//malP//ahpC//
Rob	pagP//tdcD//idnD//ynfH//glyA//ddlB//hcaF//moeA//hcp//alaC//nagB//purL//prpC//lysA//frdD//pheT//aroG//paaJ//tam//
RstA	glpX//uxaB//cysI//
RtcR	wecC//ilvE//
RutR	leuA//prpD//ulaF//paaK//cysM//gcvT//frdB//cysK//cadA//cadA//entB//
SdiA	
SgrR	puuC//ppc//add//
SlyA	nirD//caiD//talA//cynT//malY//mazG//mtlD//puuD//bacA//
SoxR	sdhA//
SoxS	moeB//moeB//alkB//nrfC//uxaA//aceE//ilvC//dmsC//sdhB//glpA//gor//fadI//fbaB//ruvA//argD//aroG//bioF//phnM//pnp//oxc//alkA//slt//fumC//poxB//fadJ//glxK//
SrlR	rimK//frdC//sbcC//
StpA	ccp//bioC//fes//
SutR	narI//allA//
TdcA	phr//glpB//rffC//psd//phnO//
TdcR	ilvE//zwf//rfe//pspE//gutQ//
TorR	glpD//xylA//cynT//paaE//ogt//
TreR	ulaG//sufS//
TrpR	murE//pgaC//puuD//cysG//sucB//argE//aroF//frdA//moaA//
TtdR	phnJ//guaB//
TyrR	hyaA//sucC//entB//waaZ//prpE//pdeL//mpl//murI//sodA//
UhpA	hycE//
UidR	araB//ynfE//
UlaR	phnL//napH//dhaL//argD//asnA//
UvrY	pncB//pyrD//
UxuR	patA//rutD//araD//fucK//polB//
XapR	ahpF//entH//
XylR	phnP//wrbA//oxc//
YdeO	dkgA//purA//recF//
YefM	tyrA//
YefM-YoeB	puuA//
YeiL	
YhaJ	
YiaJ	ldtC//glmU//pgaD//fabH//sdaA//lacA//
YjjQ	araA//glcD//
YpdB	
YqhC	aspA//hycD//
YqjI	fabI//
ZntR	nrdB//
ZraR	
Zur	yfdE//
