# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	mtlD//ogt//
CysB	dgcZ//patA//lysU//glpC//icd//tdh//gapA//ung//sdaA//ruvB//mdh//srlD//dkgA//trpD//citF//moaE//glpD//
CytR	dmsB//lyxK//glpB//ubiC//polB//caiD//mdh//cysJ//hycG//pheS//
DcuR	purA//ynfG//murC//murI//
DeoR	gapA//talA//kbaZ//trpD//paaI//metB//
DhaR	caiB//
DicA	
DinJ-YafQ	galK//
DnaA	uxuB//ulaF//caiB//cueO//garK//paaA//
DpiA	argE//ruvB//fucA//ssuE//atoA//
DsdC	citX//fadE//
EbgR	
EnvR	hycD//paaC//
EnvY	umuC//fes//
EvgA	mngB//purN//ldtD//ulaE//narI//gabT//
ExuR	rhaD//uidA//paaK//xylB//paaZ//glcD//
FabR	sucB//alaA//ilvI//
FadR	nfsA//fucO//pgaC//tdcB//rutA//garL//gcvH//murD//mltF//gcl//tyrA//purN//yedX//paaI//wzc//paaB//hyaC//trpB//lsrG//
FeaR	moaE//hcaE//
FhlA	mhpE//garD//phoA//mpl//araA//atoD//speB//eno//
FlhDC	mraY//mhpD//paaF//srkA//cysG//paaK//betA//dapD//nrdD//cdd//nadA//alsE//ldtD//sdaA//
FliZ	zwf//nagA//phr//polB//deoB//
FucR	leuB//tam//citC//deoA//rutC//mtlD//
Fur	moaC//frdB//yedX//malQ//hcaC//bacA//purL//purM//hmp//fucK//ppc//betB//carB//waaZ//glcF//frdD//nrdB//prpC//phnJ//mdh//dmsA//purK//udp//trpC//argF//citE//deoA//sodB//sdhD//cysJ//ychF//tktB//gloA//ampC//kbaY//dgcC//ampC//hcaE//lysC//betB//dkgB//cysI//speB//narG//cadA//ydcS//ung//purB//purC//dgkA//alaA//nemA//betB//sgbU//sbcC//folE//nanE//murI//yqjH//hycC//ybjG//xylB//
GadE	purN//narH//tdcD//murC//hypF//sdaA//purN//purN//argG//sdhC//
GadE-RcsB	gatY//atoA//rtcB//pgpC//fadE//
GadW	moaE//sodA//nanA//pgpC//
GadX	pspE//phnM//argC//cdd//atoD//cysD//mngB//sucC//nrdE//cynS//pgaC//purL//aroF//
GalR	idnD//deoB//citD//lpxC//uvrA//citG//
GalS	yiaK//slt//ubiC//nanM//luxS//paaA//
GatR	paaZ//ahpC//aroA//
GcvA	eno//galK//phnP//
GlcC	tktB//treC//argG//
GlpR	hcp//nfsB//glpK//ruvB//malS//betA//wzc//
GlrR	
GntR	torC//aroG//fabI//iscS//dhaM//phnL//aroA//ftnA//ogt//
GutM	oxc//paaZ//trpB//
HU	allB//metH//rhaD//moaE//atoA//bioB//uxuA//
HcaR	prpE//malS//
HdfR	
HigA	phnI//
HigB-HigA	murF//
HipAB	leuB//narH//
HipB	icd//sgbE//cysG//
HprR	add//glpC//ung//rutE//
HyfR	fadI//
HypT	ung//ynfF//gnd//kbaZ//allA//nirD//phnG//
IclR	sbcD//citG//dmsA//
IdnR	murG//mpl//fadE//mhpC//pck//puuD//
IlvY	argH//
IscR	mdh//codA//ppsA//glnA//sdhD//napA//glpK//patA//
KdgR	polA//bioF//
KdpE	wrbA//
LacI	fabA//purN//zwf//
LeuO	fucO//gapA//argF//mhpA//sucD//argF//
LexA	aroG//feaB//astB//carA//trpB//udp//dinB//paaG//ubiX//malZ//napH//nemA//rimK//recB//uvrB//ulaF//caiC//gadB//rutA//galK//caiC//kbl//hyaA//
LldR	citF//puuE//
LrhA	
Lrp	phr//wzc//glgX//ssuE//dgkA//luxS//oxc//phnG//nrfD//rffG//metB//codA//sufS//cysI//rutA//purD//fabH//paaJ//edd//yfdE//metE//nrdD//malS//aceF//hypB//mazG//ynfE//fadB//melA//gpmM//glpQ//argA//ftsI//phnL//purN//fau//psd//puuC//moaC//puuA//
LsrR	guaB//phnO//argH//pdeR//ttdA//
LysR	uxuA//
MalI	chbF//glpA//
MalT	sgbH//dgcN//srlD//argF//aroA//truB//
MarA	guaB//paaA//paaE//murD//ulaD//malQ//tpiA//garD//mtlD//fabH//yiaK//recD//puuC//cysI//lysC//edd//ilvM//sucB//phnM//pyrC//deoB//fabA//fucU//sdhB//
MarR	
MatA	fabZ//
MazE	ccp//
MazE-MazF	nrdD//
McbR	
MelR	poxB//deoA//
MetJ	xapA//gcl//uxaC//asnA//ribA//yedX//aceF//uidA//zwf//fucO//
MetR	acnB//ampC//paaK//dgkA//
MhpR	rffM//rhaD//ftnA//dapB//ynfH//aroL//
Mlc	hcaD//paaF//accA//aceF//
MlrA	mtlD//
MngR	narG//lacZ//
MntR	malP//cueO//
ModE	phnN//accD//ung//araD//gcvH//fabA//fadD//epd//ygeA//paaC//dgcC//paaB//glpB//purA//ahpC//sgbU//bglB//
MprA	ttdB//tdcE//nirD//
MqsA	nrdB//paaY//
MraZ	argH//gcl//lsrF//argG//tdcB//wecB//sdhB//deoB//tauD//ribA//
MurR	thrS//gadB//gpmA//
Nac	edd//tyrB//dhaL//uxuA//tdcG//trpA//fadE//entF//grxA//fabA//tam//
NadR	tauD//moaC//rimK//metC//
NagC	poxB//uxaA//paaH//gatY//appA//tynA//speA//pepD//argE//carB//paaJ//ada//mhpD//kbaZ//gatY//gatD//citC//tyrB//folA//
NanR	gabD//cysM//mpaA//katE//atoB//serA//
NarL	nrfD//mtlD//pfkA//prpD//purB//prpC//tauD//speA//frdA//sucA//hcaF//argI//citG//entA//hyaC//fadJ//lysC//purL//paaE//mpl//malQ//hypB//patA//ycjG//idnK//zwf//nanM//leuB//gudD//dhaL//lpxA//katE//sodA//idnK//paaE//dkgB//cysK//fbaA//paaC//icd//ynfH//
NarP	ung//hycB//ppsA//citD//sucC//glcD//pgi//paaH//lyxK//galM//sodA//dapB//glmU//fau//lacZ//
NemR	metA//rutC//
NhaR	tdcG//dkgA//paaK//sufS//nirD//
NikR	phnL//
NimR	purE//
NorR	entB//
NrdR	rfe//rhaD//rutB//wecE//
NsrR	ynfH//nagB//ribA//malY//ugpQ//fabH//ruvB//cysM//fabD//relA//malQ//atoB//hcp//malP//srkA//fabH//rffC//cysE//glcF//garR//fabZ//allD//fucK//dsdA//idnO//idnO//gcvT//mpl//mraY//cueO//argE//puuD//metA//fumB//aspC//purC//alaS//fadD//gabD//rutC//
NtrC	dapB//napB//purK//aceB//glgC//garR//mazG//phnO//phnO//kbl//lpxC//entA//yeaE//lysU//wzb//lhgO//fadD//paaF//kbl//puuD//rpiB//
OmpR	codA//narG//citG//ruvB//nagA//narG//mdh//prpB//
OxyR	acnB//nagB//putA//yqhD//polB//bacA//ruvA//trpD//pheS//cysE//epd//pykF//moaA//uxaA//lsrK//araB//hyaC//
PaaX	atoD//tyrA//tdcG//argB//pagP//acnA//mhpA//nrfA//acnB//
PdeL	accC//
PdhR	oxc//codA//speB//fabB//nrdA//caiC//murC//sodA//luxS//ynfH//mhpD//cysD//hcaF//treC//patD//alaS//cysK//ynfG//lyxK//pspE//metL//ycjG//ilvG_1//yedX//ruvB//
PepA	glpK//phnM//
PgrR	aldA//ttdA//
PhoB	gcvP//cysD//mltF//glsA//aroF//folA//fumB//leuD//sdaA//icd//paaK//argB//fruK//dmsA//fabI//metA//purD//hycE//sdhD//allC//
PhoP	murQ//dapB//cdd//iscS//polB//betB//phnJ//ppc//astE//nemA//lysU//glcB//prpC//allC//dhaK//dgcZ//rutB//paaC//ychF//fbaB//idnK//lyxK//cyoE//udp//truB//rffT//pagP//sdaA//aceF//galE//rffC//cysK//
PrpR	phnI//xapA//treC//rhaA//
PspF	yeaE//
PurR	gabD//glmU//speB//argI//luxS//truB//hcaF//pgi//glgX//malS//purK//fucA//cyoE//mtlD//ilvD//paaF//nfsB//fau//srlD//pgi//moaE//hcaD//gpmM//torC//yqhD//malZ//
PutA	citD//argH//
PuuR	mdh//xapA//gcvP//recD//moaD//garL//
QseB	
RbsR	araD//aceB//lpxA//moaA//yqhD//tdcG//
RcdA	bioB//
RclR	
RcnR	luxS//
RcsAB	atoB//narG//aroA//
RcsB	tdcE//gutQ//ilvH//nrdD//
RcsB-BglJ	metE//uxuB//
RelB	accA//
RelB-RelE	galT//
RhaR	
RhaS	sucB//fucO//fadI//poxB//
Rob	recB//glxR//nrfA//glcB//ilvA//gor//aceE//dkgA//gltD//aroL//nfsA//dgcZ//kbl//citD//pfkA//dgkA//glcF//grxA//nrdF//
RstA	ccp//recD//napB//
RtcR	murI//ynfF//
RutR	metC//lpxA//aroL//wecE//acnB//gatZ//ribA//arsC//fdhF//ilvM//allA//
SdiA	
SgrR	moaE//amn//galE//
SlyA	atoD//poxB//trpD//ahpC//hyaC//dadX//murC//cysM//hcaB//
SoxR	aceE//
SoxS	wzb//uxuA//moeA//tauD//gatD//rfe//murQ//pgm//moaC//argI//yeaG//sodA//folE//astC//pfkA//ttdA//xylB//murF//ubiX//hycC//araA//garD//accC//gor//cysI//glpA//
SrlR	tdcE//glgX//srkA//
StpA	phnL//araA//fucI//
SutR	gpmA//dhaL//
TdcA	hcaE//sdhA//cysN//ulaF//uvrB//
TdcR	caiB//torA//caiA//entC//tyrA//
TorR	ynfG//torA//paaB//dinB//aceB//
TreR	rutE//alaC//
TrpR	fes//caiC//nrdE//dgkA//ldtD//acnB//tdh//paaB//nrdF//
TtdR	speA//alkB//
TyrR	rsmH//alaC//astC//nrdB//sdhB//dgcZ//gnd//patA//deoB//
UhpA	nagB//
UidR	astA//hcaC//
UlaR	nadB//cysI//puuE//sufS//frdB//
UvrY	rsmH//mpl//
UxuR	icd//metH//ilvI//xapA//fucA//
XapR	gabD//glgX//
XylR	prpE//mhpA//narH//
YdeO	aroG//nrfC//pheS//
YefM	uvrC//
YefM-YoeB	argE//
YeiL	
YhaJ	
YiaJ	glgX//wecB//polA//puuE//sbcD//fadD//
YjjQ	dapD//prs//
YpdB	
YqhC	dmsA//gltB//
YqjI	glpX//
ZntR	gntK//
ZraR	
Zur	puuA//
