# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pgpC//dhaL//
MetJ	phnL//lpxC//pyrC//kbaZ//pfkA//ulaD//pgaB//ampC//pdeR//fabG//
MetR	argB//ruvA//rnpB//metH//
MhpR	nirB//glcB//frdD//sgbE//argD//caiC//
Mlc	puuB//argI//deoD//gabD//
MlrA	phnL//
MngR	dkgA//metK//
MntR	dacC//tyrA//
ModE	ada//yedX//argD//malZ//cysN//moaD//garD//rhaB//lacZ//dapB//hyaB//tdh//alaS//gnd//ynfE//purE//nrdD//
MprA	sdhA//ygeA//nagB//
MqsA	mltF//cysM//
MraZ	fes//rffC//ldtD//phnL//glcE//dhaK//uvrB//entB//aroF//waaH//
MurR	metE//zwf//glyA//
Nac	frdB//nrdB//sgbE//rimK//fumB//glnA//phnP//allB//waaH//aroG//caiA//
NadR	sodA//sgbU//purE//polB//
NagC	nrdB//bacA//cysD//phr//rimK//ynfG//ynfG//dacC//argG//glmS//purD//waaZ//atoB//pdeL//fabB//ttdB//dgcC//leuA//hemL//
NanR	puuD//citG//recB//recD//tyrB//cynS//
NarL	bioC//fadD//garD//fucO//hemH//paaA//garK//phnG//hycC//glgB//purC//argI//prpD//rffC//add//uvrA//mpl//gudD//relA//mhpF//waaH//nfsA//idnO//garD//rutA//rhaD//folE//talA//dgkA//paaZ//pagP//mhpD//pgaC//uxaA//ada//ascB//dadX//hycB//gloA//yedX//metH//
NarP	udp//carA//narI//nanM//yeaG//sbcD//tktB//sucA//uvrC//fadA//rbsD//metA//frdC//alaS//umpH//
NemR	napH//cysD//
NhaR	ubiA//carB//nirB//yeaG//allB//
NikR	purB//
NimR	sdhB//
NorR	ahpC//
NrdR	ynfG//putA//caiC//gnd//
NsrR	appA//araD//prpE//lysA//kbaZ//fadJ//deoB//wecC//entH//argF//feaB//galM//cadA//mazG//hycF//trpA//leuA//lsrF//dgcZ//serC//serC//uxaC//fes//arsC//puuE//fucI//psd//dsdA//murF//sdhB//bioF//pgaB//aspC//gntK//ynfH//uxuB//gdhA//dmsA//hemH//glpB//
NtrC	nanE//cdd//glsA//rbsK//mraY//entA//nanE//argF//dkgB//nrdA//glgB//fabH//mhpE//lpxA//pfkA//nrdE//rtcB//puuE//pck//idnK//atoD//
OmpR	murD//puuC//galE//fumC//ahpF//dapB//gntK//dapB//
OxyR	caiA//glxK//xylB//ppiA//hycF//rutE//kbl//sucD//entF//metK//speB//deoB//umpH//ribA//galK//fabI//tdcG//
PaaX	metK//pgi//entB//galM//betA//fau//malZ//malS//ilvA//
PdeL	torC//
PdhR	lpxA//yiaK//glpA//galT//nrfD//bioC//rutC//adiA//hcp//rsmH//nrdA//dapD//nrfA//cysC//tdcB//argA//glsA//recF//sucD//citX//dhaM//glnA//tyrB//sodA//dhaL//
PepA	yedX//ssuD//
PgrR	bioD//fucA//
PhoB	sbcD//ycjG//glcE//cysE//lacZ//cysK//fadM//pheT//glpK//sodB//fadA//srlD//pheT//rffM//pck//fabD//acnA//glpD//deoB//guaB//
PhoP	hycG//gatY//appA//chbG//fadD//patD//moaE//ubiX//tyrA//phoA//gudD//torA//rhaA//pepD//gadB//allC//pheT//astE//rimK//rutD//sufS//prpE//fadH//nirB//paaE//tyrB//paaZ//speA//feaB//treC//fadM//arsC//
PrpR	puuC//bacA//alkB//caiB//
PspF	glgC//
PurR	aroG//pncB//sdhA//nrfC//mhpA//bioD//ulaG//dgkA//citC//purD//frdB//sdaA//betB//garD//sgbU//glpD//astB//idnD//patA//carB//zwf//argI//ttdB//lpxA//luxS//fadH//
PutA	fadB//hycE//
PuuR	lysU//lpxA//fadI//glxR//nrfD//lysA//
QseB	
RbsR	acnB//ugpQ//gnd//dsdA//dinB//dapB//
RcdA	phnI//
RclR	
RcnR	allC//
RcsAB	uidA//leuD//carA//
RcsB	ung//dhaL//kbaZ//pgk//
RcsB-BglJ	fucO//gltD//
RelB	ilvG_1//
RelB-RelE	allC//
RhaR	
RhaS	bglB//ugpQ//prs//rtcB//
Rob	gadA//purM//putA//arsC//puuE//dadX//edd//aroF//puuE//dinB//pheS//sdhD//hcp//fumB//mhpE//prs//phnL//katE//pck//
RstA	serA//recD//chbG//
RtcR	rsmH//lpd//
RutR	uxaB//rffG//slt//patA//ulaE//entB//ychF//purK//araD//glpX//fucA//
SdiA	
SgrR	polB//nrdF//purH//
SlyA	prpE//gcl//pgm//gltB//alaA//frdC//ahpC//adiA//tdh//
SoxR	srlD//
SoxS	tynA//allC//ilvA//hmp//hycF//hyaA//bioA//nfsA//lpxC//epd//idnK//hycC//lsrG//fbaA//alaA//garD//glgC//cysI//glnA//murF//tdh//purF//malQ//ppsA//ndh//mngB//
SrlR	pnp//prpD//pheT//
StpA	fdhF//tyrB//metH//
SutR	nrdA//yedX//
TdcA	fadE//fau//moaD//lldD//prpE//
TdcR	rhaA//phoA//guaA//mdh//dinB//
TorR	add//gatZ//melA//mpl//rbsD//
TreR	lacZ//waaZ//
TrpR	aroG//treC//gdhA//deoC//idnD//hmp//kbaZ//glxK//rffM//
TtdR	ilvA//glgB//
TyrR	fes//bioC//moaE//uvrB//purH//allA//atoB//gadA//nirB//
UhpA	glk//
UidR	fadI//paaC//
UlaR	aroG//allE//add//accC//murQ//
UvrY	lysA//uidA//
UxuR	paaF//leuC//tyrB//pgi//paaG//
XapR	fucK//dgcZ//
XylR	paaC//tdcD//aroL//
YdeO	hycC//fucK//fruK//
YefM	pspE//
YefM-YoeB	gudD//
YeiL	
YhaJ	
YiaJ	wecE//bacA//yqhD//rffH//citX//serA//
YjjQ	paaZ//rffM//
YpdB	
YqhC	ppc//rutC//
YqjI	fadD//
ZntR	ilvG_1//
ZraR	
Zur	argF//
