# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	rutE//fruK//
NanR	rpiB//galM//ynfE//carA//phnJ//ubiX//
NarL	araA//hmp//dmsB//glgB//pspE//umpH//caiC//sdhA//pnp//araB//grxA//wrbA//carB//trpD//argI//fabG//rutB//cysN//cysJ//aspA//ssuD//aceF//luxS//sgbU//metK//ilvD//sdaA//dhaM//tdcG//srlD//waaZ//tyrB//phoA//argI//ftnA//umuD//paaY//uxaB//eda//sbcC//entH//
NarP	cysH//mdh//hypF//fbaA//mngB//ascB//aroH//lpxD//torC//nfsB//hcaE//allD//fucU//polB//rfe//
NemR	ribA//ascB//
NhaR	ogt//paaB//recD//accA//nirD//
NikR	katE//
NimR	caiA//
NorR	citE//
NrdR	pgaC//torA//cdd//rfe//
NsrR	cysJ//caiC//allB//murC//paaC//hycF//accC//ynfG//nanK//allA//ung//pheS//sucD//entC//glmU//citE//fruK//dmsA//wzc//bioF//waaH//gcvH//pdeH//aceE//murI//trpB//gadA//phnO//idnK//rimK//fau//pgk//aspC//malY//wecB//yedX//adiA//kbl//phnI//fabH//
NtrC	nrfC//ubiA//astB//argF//adiA//gatZ//fabD//murQ//fabB//glxR//hcaB//fumC//malS//uxaB//pdeL//asnA//puuE//rutE//cueO//murQ//recB//
OmpR	lacZ//fdhF//murD//sdhC//gutQ//ppiA//pgaC//murI//
OxyR	tnaA//fadA//ldtB//ahpF//pflB//nanA//sgbH//ynfF//puuD//rutE//kbaZ//dapD//bacA//fabI//chbG//ulaE//glgP//
PaaX	paaI//hcaE//torA//rutA//glxR//lpxD//sufS//pykF//phnN//
PdeL	hcaE//
PdhR	gdhA//dgcC//sbcD//gpmM//pgaD//dgkA//wrbA//mtlD//avtA//frdA//accA//fumC//accD//phnL//metA//galM//glsA//cynT//lpxD//patA//gudD//sdaA//paaZ//cysH//mpl//
PepA	wzb//glpC//
PgrR	hemL//ulaD//
PhoB	tdh//dmsC//moaA//ampC//trpC//rffT//nagA//glnA//leuD//fau//dinB//pgaB//sbcC//rhaD//ynfE//sodA//moaE//chbF//glcB//deoA//
PhoP	yfdE//rutA//tdh//gltB//lysA//gapA//fadJ//dgcZ//ahpC//cdd//pgaC//mngB//deoD//glpB//trpE//waaH//paaJ//glmU//sdhA//malS//ftnA//fadH//rsmH//pgi//aspC//gatZ//bglB//aceF//nanE//glmU//ubiA//phnH//
PrpR	citC//mpl//bioD//xylB//
PspF	puuE//
PurR	fadM//ynfE//srkA//paaA//phnJ//tdcD//purL//carB//bioC//uxaC//aroL//nagA//wzb//ilvI//thrS//fabH//mpl//metH//metK//aceF//cysE//fadD//napH//gcvT//phr//eda//
PutA	mhpA//galK//
PuuR	pepD//metK//lpd//ldtC//purA//cyoE//
QseB	
RbsR	rffC//uidA//aroL//rhaA//fadE//pgaB//
RcdA	astC//
RclR	
RcnR	metF//
RcsAB	dhaL//gatD//cysC//
RcsB	fadM//rtcB//tdcD//allE//
RcsB-BglJ	gabT//paaH//
RelB	zwf//
RelB-RelE	alkA//
RhaR	
RhaS	hcaE//rffT//phnO//pykF//
Rob	ynfF//speA//ftnA//fucI//lacA//fadM//glcF//purE//allD//mazG//idnK//fadB//nanM//aceF//glxK//paaJ//iscS//entF//ttdB//
RstA	yfdE//glgX//umuC//
RtcR	cynS//pgpC//
RutR	ruvA//grxA//ogt//allD//pgaC//glnA//rbsK//fabH//edd//metB//gatD//
SdiA	
SgrR	gcvT//wzb//sgbE//
SlyA	bglB//paaC//sbcC//speB//paaH//sodB//pdeL//yeaE//murF//
SoxR	lpxA//
SoxS	ychF//ruvB//sucD//paaG//glnA//psd//phnN//pepD//caiD//rbsD//glpA//recF//wzc//malY//alaS//kbaZ//gadA//aldA//galE//luxS//hcaB//moeA//glpQ//ssuD//gcl//slt//
SrlR	ahpC//sodA//yedX//
StpA	asnA//argB//glgX//
SutR	hycD//aceE//
TdcA	fes//nanA//rpiB//hcaD//narG//
TdcR	purB//dinB//pck//fadJ//asnB//
TorR	lysC//pgk//xapA//mhpA//sucB//
TreR	accD//dhaM//
TrpR	malP//nemA//acnA//ruvA//gutQ//tdcD//arsC//amn//bioD//
TtdR	malZ//ndh//
TyrR	nrdE//alaC//fbaA//cysH//dkgB//mnmG//puuB//nrfD//argB//
UhpA	dgcZ//
UidR	chbF//glcE//
UlaR	dgcC//sodA//metC//hcaB//aroA//
UvrY	yedX//ulaF//
UxuR	dacC//sucA//atoA//ygeA//leuB//
XapR	ndh//tyrA//
XylR	fucA//ssuE//aroF//
YdeO	rpiB//uxaA//chbF//
YefM	narG//
YefM-YoeB	wrbA//
YeiL	
YhaJ	
YiaJ	argF//citX//prpE//purM//accD//avtA//
YjjQ	ilvM//ilvH//
YpdB	
YqhC	lysU//lyxK//
YqjI	fruK//
ZntR	accD//
ZraR	
Zur	icd//
