# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	yeaE//astC//
CueR	caiA//umuC//gdhA//pspE//mhpF//
CusR	metK//ada//gntK//atoA//
CynR	pgpC//melA//lysC//
CysB	fadB//mnmG//allD//rffT//waaZ//rbsK//dapB//tauD//aroG//relA//ulaG//astE//prs//aroG//ubiX//rtcB//mhpE//
CytR	fadJ//rbsK//recF//bioD//astE//puuA//ddlB//truB//add//rpiB//
DcuR	phnN//galE//gpmA//nrdE//
DeoR	pgk//lpxC//fruK//dhaL//nanA//pgm//
DhaR	betA//
DicA	
DinJ-YafQ	araD//
DnaA	glgP//pykF//lacA//sdhA//rbsK//gntK//
DpiA	gutQ//mngB//paaC//pncB//alaC//
DsdC	gadA//rimK//
EbgR	
EnvR	deoD//hyaB//
EnvY	tyrB//narH//
EvgA	hycG//alaS//gatD//gcvP//gcl//gatD//
ExuR	rhaB//psd//lpxC//deoA//ycjG//pyrD//
FabR	ulaD//rtcB//malQ//
FadR	gatZ//moaC//pyrD//glpC//kbaZ//purN//gatZ//torC//fruK//malZ//bacA//tehB//cysC//rffH//hcaB//ynfG//prpC//cdd//pgaD//
FeaR	purL//glyA//
FhlA	moaD//ilvE//cysG//hcaF//ilvA//pspE//mhpF//ulaD//
FlhDC	uvrB//ubiC//lpxD//moaA//ldtB//ilvA//ascB//fucO//yiaK//bioA//mhpD//glk//entA//astD//
FliZ	phnO//deoA//dkgA//phnM//metA//
FucR	wecC//dmsB//cysC//pgaB//leuB//sdaA//
Fur	metH//gatD//yeaG//paaY//entB//sucD//ilvG_1//trpA//aspC//aspC//cysN//yiaK//bioB//dhaL//ahpC//aspA//gcvT//nadB//katG//pncB//udp//purC//ulaG//bioA//xylB//ubiC//fadM//galE//metE//nirB//aroF//garK//prs//torA//polB//caiD//adiA//nanE//fucU//lacA//pyrD//moaA//astE//hyaC//fabH//rnpB//tpiA//iscS//cdd//katE//dhaL//gatZ//deoD//idnD//ppsA//araD//aceF//paaF//carA//mraY//ndh//tam//
GadE	nanE//pfkA//leuD//sbcC//fadJ//ynfE//hcaB//tauD//adiA//ulaE//
GadE-RcsB	cysK//cysD//araD//ahpF//ynfG//
GadW	ilvD//fau//hyi//chbG//
GadX	phnG//alkB//glcD//rpiB//yfdE//murC//tpiA//dhaM//nanA//paaI//puuE//bioC//entD//
GalR	fabI//garL//slt//waaH//uxaA//ftsI//
GalS	ttdA//ldtC//accC//ung//treC//dhaL//
GatR	dacC//puuC//ulaE//
GcvA	alkA//nrfD//hypB//
GlcC	yqjH//paaE//yeaE//
GlpR	fes//folE//allC//ada//fucA//sdhB//accD//
GlrR	
GntR	gcvT//entB//glpA//codA//carB//citC//ppsA//ldtB//uvrB//
GutM	rpiB//phnP//rhaD//
HU	dadX//entH//aspC//tdcE//garD//dkgA//entA//
HcaR	aroF//glk//
HdfR	
HigA	ynfE//
HigB-HigA	paaE//
HipAB	metA//lpxC//
HipB	glcF//cysD//ilvM//
HprR	rtcA//appA//metF//mngB//
HyfR	sdhC//
HypT	lacA//moeA//codA//tktB//carA//xylB//uxaC//
IclR	fabG//tynA//dgcN//
IdnR	aroF//paaG//malY//glgB//deoB//allD//
IlvY	atoB//
IscR	dacC//caiA//katG//hypF//prpD//mazG//ygeA//allB//
KdgR	fucO//yqhD//
KdpE	glcF//
LacI	argB//paaI//wzc//
LeuO	sucD//polA//dmsC//hycF//sodA//cysI//
LexA	lysU//katE//aceB//narI//codA//rfe//murE//mtlD//gloA//tam//frc//thrS//carB//moaE//yeaE//pheS//hyaA//napG//gntK//lpxC//pdeL//nfsB//glnA//
LldR	fucO//carB//
LrhA	
Lrp	fadA//rhaA//ubiX//uvrA//purE//hycC//cysJ//dapB//kbl//ubiX//tdh//hypB//sdaA//umuC//dkgB//bioA//prpD//moeB//lpxD//moeA//fadJ//murD//dhaL//phnL//aldA//nagB//rnpB//tyrA//lldD//pflB//umuC//rhaB//deoA//garK//ampC//galK//accD//fbaB//purK//hcaF//
LsrR	dmsA//ascB//citX//nrfA//ldtD//
LysR	cysC//
MalI	hycB//argB//
MalT	nanK//fabD//purC//lysA//hcaC//caiD//
MarA	aroL//pnp//ulaF//dsdA//guaB//aceA//prpC//ynfG//murQ//murI//ygeA//dhaK//dsdA//pykF//moaD//hyaA//hycC//murI//ubiA//aroL//purD//entE//cysM//tynA//
MarR	
MatA	purD//
MazE	trpC//
MazE-MazF	glnA//
McbR	
MelR	aroF//pck//
MetJ	polA//cysJ//bioC//nrfC//puuD//srkA//uxaB//thrS//metA//glpX//
MetR	katE//waaZ//argC//aroL//
MhpR	sgbH//cysH//asnB//pgm//icd//cysD//
Mlc	rbsD//fabA//cysM//garD//
MlrA	fucA//
MngR	hycE//glsA//
MntR	fes//wecE//
ModE	waaH//rutB//ilvH//puuD//argG//paaZ//citX//araD//chbG//ynfF//sucC//fadH//yiaK//nagB//metA//hcaF//sodB//
MprA	fadB//citC//sgbE//
MqsA	idnO//uxaC//
MraZ	narH//umuC//gatZ//pfkA//phnN//fumB//citX//napG//citC//aroH//
MurR	argB//paaI//pyrC//
Nac	ilvE//hypF//nemA//yqhD//uvrA//paaI//ubiC//glyA//pgaD//gcl//gnd//
NadR	asnA//xylB//deoD//nirD//
NagC	gabD//phnO//entF//pdeR//trpC//argF//fabA//argG//narG//ulaF//ulaD//ulaD//yiaK//tehB//bioB//sodB//cynT//alaS//paaK//
NanR	appA//gapA//metK//phoA//psd//carB//
NarL	cysJ//metK//prpD//phnO//phnJ//hycE//gcvT//sdaA//alkB//prs//rutA//glxK//glnA//fruK//gcvH//nrfD//astE//nadB//lpxD//tktB//fadA//xylB//galK//puuD//rutB//ascB//mhpF//fucI//hemH//fabB//ilvH//glcF//glcF//fadJ//pgpC//lpxA//adhE//polB//entE//paaG//mazG//
NarP	glyA//metE//grxA//narI//hyaA//araD//ttdA//fadM//frdD//phnO//rhaD//leuD//wzb//bioB//astC//
NemR	gnd//mngB//
NhaR	glgA//ynfE//fabB//mpl//ilvH//
NikR	cysM//
NimR	frc//
NorR	metK//
NrdR	paaK//poxB//fabB//accA//
NsrR	purF//fadH//dgcN//ruvB//ung//lysA//tdh//metB//murC//alaS//lysU//murE//gnd//kbaY//ubiX//araB//mazG//murD//ruvB//ftsI//astE//folA//lsrK//purM//glxK//rhaA//rutC//frdC//glgP//frdC//rutC//mnmG//pdeH//metA//tdcD//lysU//betA//tyrB//gudD//aroF//
NtrC	sdhA//bioD//ruvB//mhpD//slt//purK//nagB//yqhD//sucD//galT//ygeA//accA//carA//rsmH//pgaC//glmS//gabD//fabG//edd//phnI//gadB//
OmpR	chbG//metF//nanA//ulaG//paaF//udp//tdcG//fabB//
OxyR	glmS//ilvG_1//hycF//cynS//entB//wecE//lysC//leuD//nanK//frdC//dkgA//leuA//codA//napA//fbaA//ruvB//aspC//
PaaX	purN//argA//metH//trpB//bioB//dkgA//uvrC//metC//cysK//
PdeL	fruK//
PdhR	recD//nrfA//dadX//metF//alaS//fabD//phoA//ubiX//caiD//patA//sdaA//fdhF//gltB//cysE//phnO//dgcZ//wecE//moaD//sucB//cysM//hycG//nrdF//hcaD//leuB//moaC//
PepA	leuA//trpB//
PgrR	aroG//tnaA//
PhoB	lpxA//dapB//glgX//purF//paaK//allA//hmp//mhpB//mdh//ilvE//recD//trpC//tam//frdC//add//lpxC//phr//aroH//speB//gcvT//
PhoP	mngB//astD//trpC//nagB//rbsD//ulaF//entE//nrdA//mazG//guaA//udp//epd//aspC//trpA//serC//dhaM//dhaL//puuA//fucU//tauD//dkgA//wecC//fabH//allB//ulaF//nrdB//puuC//alaC//mngB//gpmM//fadE//cdd//
PrpR	ydcS//citG//aroL//mpaA//
PspF	hypB//
PurR	dmsA//pykF//hycE//lsrF//tktB//fumB//sdaA//ydcS//pgpC//nfsA//ynfE//aceA//ilvM//tdcB//glk//aroL//glcE//citE//ynfG//atoD//fruK//allA//hycG//lpxA//adiA//deoC//
PutA	phnO//atoB//
PuuR	gadA//tdcE//appA//ascB//alaC//hypF//
QseB	
RbsR	nanK//fabB//cynS//fabB//dgcZ//mngB//
RcdA	cysC//
RclR	
RcnR	add//
RcsAB	melA//nanE//gadA//
RcsB	puuC//mazG//nanM//fabH//
RcsB-BglJ	tdh//ldtB//
RelB	frdD//
RelB-RelE	dgkA//
RhaR	
RhaS	alaC//murC//metE//sgbH//
Rob	puuB//lysU//gcvT//gadA//moeB//fadI//sdhB//dhaK//aceA//pflB//nanE//dsdA//nrdB//purB//hcaC//rpiB//nrdE//allE//hycE//
RstA	aroG//truB//caiA//
RtcR	pheT//hcaD//
RutR	fabD//lpxD//metK//chbG//tauD//kbaZ//malS//prpE//aceE//poxB//lacZ//
SdiA	
SgrR	srkA//betA//ahpF//
SlyA	ilvI//rtcA//araA//serC//hypB//purF//recF//yeaG//uxuB//
SoxR	pnp//
SoxS	puuA//udp//argE//gloA//gatD//lpd//araA//cyoE//prpE//glcF//prpC//cadA//ulaE//rfe//galM//rhaA//lpxC//nrdA//phnH//cynT//fruK//ahpF//napA//purF//purE//lpxC//
SrlR	recD//ychF//aceB//
StpA	citD//ilvA//aroH//
SutR	rhaB//fadH//
TdcA	hcaF//argA//cysE//aceF//alaC//
TdcR	ilvD//hyaC//nrdA//gpmA//pspE//
TorR	sdhA//hycC//tpiA//glcD//yqjH//
TreR	nirB//fabB//
TrpR	mraY//glpA//leuA//dmsA//purB//puuD//glpB//tdh//dapD//
TtdR	accA//ilvA//
TyrR	hycB//fadH//mhpD//melA//pykF//paaC//adhE//glgX//rhaA//
UhpA	fadB//
UidR	caiB//paaF//
UlaR	dadX//aroL//torC//astD//phnG//
UvrY	phnM//astC//
UxuR	trpA//frdC//lacZ//argF//entE//
XapR	sucC//hcaD//
XylR	bioD//ilvI//aldA//
YdeO	ynfG//melA//dmsC//
YefM	ribA//
YefM-YoeB	fabZ//
YeiL	
YhaJ	
YiaJ	udp//tdcD//prs//ascB//ruvB//gabD//
YjjQ	dmsB//pdeL//
YpdB	
YqhC	tyrB//adiA//
YqjI	argG//
ZntR	rtcA//
ZraR	
Zur	phnH//
