# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	phnP//yeaG//
GalR	ribA//cysJ//sdhC//add//paaJ//tyrA//
GalS	zwf//ilvM//dgcZ//phnO//leuA//phnL//
GatR	aceF//folE//iscS//
GcvA	dinB//adiA//ilvI//
GlcC	hycD//uvrA//paaI//
GlpR	malQ//fadJ//fucO//phnI//tpiA//rffG//dsdA//
GlrR	
GntR	recF//glcB//rbsK//metL//uxaC//trpE//lsrF//metC//ynfH//
GutM	fucK//ulaD//bioD//
HU	mhpF//gatY//ynfH//cysI//frdC//pagP//uxaB//
HcaR	ulaD//ilvE//
HdfR	
HigA	tam//
HigB-HigA	bacA//
HipAB	yiaK//astD//
HipB	ybjG//pgk//malP//
HprR	dhaM//edd//hypF//frdB//
HyfR	gudD//
HypT	fucA//citG//ogt//phoA//trpC//ascB//gcl//
IclR	nanE//gcvP//torA//
IdnR	mnmG//accA//dsdA//folA//tynA//purC//
IlvY	tdcB//
IscR	prs//melA//rbsK//tynA//gcvH//aspC//lsrF//hyaB//
KdgR	puuB//fucU//
KdpE	sdhD//
LacI	phnJ//phnM//ilvM//
LeuO	phnG//glpD//epd//atoA//alaC//purC//
LexA	prpC//ldtC//rfe//ilvI//murQ//paaI//aroL//pdeL//prpB//murC//lpxC//murG//dkgB//ppiA//entC//gcvH//sbcC//paaZ//hycG//uvrC//ycjG//cysJ//murI//
LldR	melA//moeA//
LrhA	
Lrp	glcD//folA//slt//pdeL//hemL//murD//tynA//phnG//puuB//caiD//nrfA//glgC//dgcN//ascB//pheS//putA//fadE//cysJ//paaB//frc//pgaB//argE//aroF//wecE//wecE//dapD//ycjG//ribA//pfkA//folA//folE//ydcS//ulaG//cysD//serC//nrdA//alaC//puuE//hypB//leuB//
LsrR	garL//cysN//tam//cueO//puuC//
LysR	alkB//
MalI	hcaF//gltD//
MalT	recD//tpiA//truB//fumB//tynA//feaB//
MarA	frdD//mltF//ttdA//ahpC//nanE//gnd//dmsA//sucC//betA//leuD//carB//garK//trpD//kbl//ldtB//moaD//aroF//uvrC//rhaA//arsC//phnM//nanK//hcaF//kbaY//
MarR	
MatA	gutQ//
MazE	rffH//
MazE-MazF	nadB//
McbR	
MelR	atoA//wzb//
MetJ	mltF//iscS//argF//entE//lyxK//purE//glcD//gpmM//rffC//sdhA//
MetR	fabH//pdeH//xapA//glgP//
MhpR	gatY//argG//katG//lacA//caiC//dhaK//
Mlc	hypF//nemA//gdhA//oxc//
MlrA	ydcS//
MngR	fucA//glgP//
MntR	aceF//asnB//
ModE	dgkA//iscS//gdhA//paaC//lhgO//lldD//allE//gcvT//srlD//dhaM//zwf//astC//rbsD//murG//fumC//leuC//ssuD//
MprA	prpE//aceF//ascB//
MqsA	hypB//galE//
MraZ	truB//nrdB//dsdA//ahpF//deoC//wecE//ulaG//talA//rutB//lysU//
MurR	ilvE//trpE//nanM//
Nac	gltB//ynfF//nfsB//pncB//ccp//alaS//moaA//ilvI//serC//phnG//paaK//
NadR	pncB//katE//slt//nagB//
NagC	wecC//moeB//glnA//puuE//rtcA//hcp//dgcC//phnP//tdh//add//metC//xapA//fbaA//rffG//waaH//cysG//cysK//dgkA//murE//
NanR	polA//sucB//fadI//phr//psd//phoA//
NarL	gabT//fumC//nanE//glgX//rtcA//mhpC//aspC//ilvA//argE//tehB//cyoE//gltD//gcvH//cysI//hycF//allA//treC//fadH//yqjH//sodB//glxR//ulaG//ampC//frdD//citF//adiA//paaE//cysM//mazG//citX//uxaB//entC//dkgB//aceF//nrfC//guaB//hypB//yfdE//uvrA//gcvH//purE//
NarP	citG//cysK//gcvP//purH//purB//nirD//accC//argE//entC//tnaA//oxc//purL//hemL//purK//mnmG//
NemR	sdaA//nirB//
NhaR	ahpC//alaA//deoB//gabD//adiA//
NikR	ccp//
NimR	paaA//
NorR	dgkA//
NrdR	hcaD//serC//nirB//fadJ//
NsrR	glsA//gdhA//gadB//pheS//ynfF//phnI//purA//narI//polB//sgbE//dapB//speA//sdhC//glpQ//astC//puuD//tdh//paaH//pagP//ssuD//narG//thrS//glxR//dmsA//polB//wrbA//argB//epd//mhpD//murE//lyxK//folA//malY//lpxC//kbaY//citF//ftsI//lpxA//gloA//sodA//
NtrC	purC//araA//malS//adiA//dsdA//ynfE//entC//astE//talA//gabD//dhaL//pheT//ogt//folE//moaE//nagB//dapD//leuB//amn//entE//pdeL//
OmpR	fadI//ftsI//waaH//pgaD//aceA//umuD//entE//fadB//
OxyR	trpE//ndh//nfsB//glmU//puuE//lpxC//ndh//trpE//tam//sgbH//aroF//nanK//glxR//ascB//fucO//sucB//purM//
PaaX	yqjH//fabI//uxuA//tehB//talA//lpxD//pheT//malQ//glk//
PdeL	purE//
PdhR	gcvT//ubiC//astA//murG//mltF//citD//citF//astE//purD//tauD//napB//fumC//epd//argB//lacZ//ldtB//puuE//nrfD//metC//speB//nrdD//mhpD//dmsA//fadE//tadA//
PepA	waaY//murF//
PgrR	tpiA//nanM//
PhoB	rimK//nrfD//glgP//avtA//rffH//mhpC//dkgB//sucD//dmsA//aroF//dsdA//galE//yqhD//moeA//atoB//ddlB//pheT//dapB//trpD//pnp//
PhoP	paaE//purM//deoC//luxS//katE//katE//astE//eno//pyrD//puuD//garK//aroL//gcvT//gloA//gcvP//ilvM//phnL//nrfD//ftsI//gcvT//ppsA//metF//metC//chbF//glpA//fruK//fadI//pgaC//hyaB//tdcG//glmS//mpl//
PrpR	ndh//rutE//aceA//idnK//
PspF	pfkA//
PurR	ldtB//yeaE//edd//malZ//mraY//lldD//ubiA//mhpC//nrdF//garR//speA//ttdB//pyrD//pgaD//pheS//paaF//pgpC//paaE//nanM//yeaE//ftsI//nagB//entH//dinB//ccp//allC//
PutA	trpB//fabH//
PuuR	hycD//acnB//hcaB//metA//uxuA//entA//
QseB	
RbsR	cysD//fucU//hycG//paaJ//aceF//waaH//
RcdA	fadI//
RclR	
RcnR	argC//
RcsAB	chbF//fadD//epd//
RcsB	cynS//entA//patA//kbl//
RcsB-BglJ	yqhD//ddlB//
RelB	gltD//
RelB-RelE	fbaB//
RhaR	
RhaS	gnd//gltD//hcaD//citF//
Rob	malP//lldD//mhpC//eda//dapD//accA//fucK//cysG//prpE//tdcD//prpD//paaZ//pspE//icd//udp//sdhD//dapB//purK//phnH//
RstA	pheT//dkgB//patA//
RtcR	lysU//appA//
RutR	narG//glpA//gcvP//tynA//cueO//uxaB//mazG//mngB//chbF//leuD//speB//
SdiA	
SgrR	recB//wecB//srkA//
SlyA	xylB//luxS//entC//deoA//ubiA//waaY//mhpC//mnmG//astD//
SoxR	phnN//
SoxS	napG//nrfA//mhpE//yfdE//tadA//galE//psd//gloA//wecB//carB//paaB//lacZ//trpC//asnA//feaB//malZ//rffM//prpE//bioF//gatZ//astE//frdB//malQ//purL//mhpD//mhpF//
SrlR	nanM//astB//feaB//
StpA	aldA//lysU//lacZ//
SutR	gnd//ychF//
TdcA	rffC//phnP//psd//thrS//edd//
TdcR	ygeA//xapA//ilvM//lacA//accC//
TorR	ynfG//epd//allB//metB//dapB//
TreR	entB//garK//
TrpR	gadA//prs//ulaD//rffC//rhaB//ftnA//astA//yfdE//aceF//
TtdR	hcp//aceB//
TyrR	nrfD//wecB//rimK//purH//sucA//lldD//paaC//fucK//fau//
UhpA	wecB//
UidR	tdcG//lpd//
UlaR	galK//mngB//ubiA//dadA//dhaK//
UvrY	lhgO//ldtC//
UxuR	glxK//galT//hcaF//ruvA//mhpE//
XapR	umuC//cdd//
XylR	citD//uvrB//yqhD//
YdeO	cysI//tdcE//paaG//
YefM	chbG//
YefM-YoeB	dacC//
YeiL	
YhaJ	
YiaJ	adhE//dgcC//citX//rtcA//serC//dgkA//
YjjQ	umuD//gpmM//
YpdB	
YqhC	puuE//rhaB//
YqjI	rutA//
ZntR	gabT//
ZraR	
Zur	waaH//
