# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	sucC//fucU//
MhpR	galE//codA//malS//nanE//rutC//lysU//
Mlc	puuE//rhaD//fumC//dacC//
MlrA	alaS//
MngR	sbcD//paaH//
MntR	dgcN//pheT//
ModE	entF//fbaA//chbF//asnA//nrfD//yeaG//citX//chbF//wecE//sucC//idnK//hemL//citG//yqjH//ribA//sufS//rffH//
MprA	tpiA//glnA//umuC//
MqsA	atoD//srkA//
MraZ	phnO//sucB//leuA//paaB//fadM//sucD//glpA//paaC//uidA//aroA//
MurR	allD//ilvM//tauD//
Nac	hcaE//entB//moeA//araA//fabI//paaH//frdB//luxS//adiA//pgaD//nanM//
NadR	accC//hyaC//cysJ//codA//
NagC	ccp//uxaC//puuE//murG//yedX//rffM//rhaA//carB//fucK//citD//metL//slt//gadB//pncB//argF//nrdE//hcaF//murD//eno//
NanR	murD//gatD//moeA//ybjG//napG//tyrB//
NarL	umuD//ldtC//alkB//frdD//carA//rnpB//mraY//argB//ldtC//hcp//poxB//recB//bioA//paaK//sodA//dadX//allD//malZ//glpD//entF//glmU//uxaC//galM//ilvG_1//entD//aroF//argG//paaY//glpQ//murD//thrS//lpxD//paaC//phnH//narI//argF//phnL//tnaA//uvrB//pdeH//melA//
NarP	bioD//puuB//glcB//citC//sgbH//hyi//uvrC//rtcB//sdhA//rsmH//prpC//pncB//gcvH//pncB//malS//
NemR	paaB//napH//
NhaR	glgX//lpd//paaI//nirD//fumC//
NikR	wrbA//
NimR	alkB//
NorR	leuD//
NrdR	polA//gutQ//uxuA//fadI//
NsrR	amn//lacA//iscS//tnaA//ahpC//guaA//rffM//talA//glk//lpxC//cysD//cysN//nanA//purL//ogt//psd//araA//glpB//hypB//xylB//adhE//metB//ynfG//mngB//umuC//slt//hcaF//ybjG//napG//wecB//fadA//paaY//phnJ//fucO//aceA//ugpQ//hcaB//yfdE//puuA//sbcD//
NtrC	pspE//dkgA//entF//hycF//phnH//guaA//hycE//nirB//glpD//prpD//pflB//pheS//rtcB//truB//rffC//pgk//galK//adiA//metH//tdcG//caiD//
OmpR	fadB//hycC//ynfF//xylA//dmsB//uxaA//prpB//gpmA//
OxyR	galM//allD//puuC//patD//nrdE//nrfD//lsrG//bioD//murF//nagB//ulaD//rutE//eno//caiD//carB//aroH//frdD//
PaaX	murD//umuC//trpA//entE//gudD//tadA//argH//tadA//pncB//
PdeL	yfdE//
PdhR	yeaG//rutA//mazG//paaG//cynS//asnB//gcvT//entA//argF//citF//mhpA//ugpQ//gnd//gapA//metC//nrdE//rbsK//cysM//psd//allE//rutB//alsE//deoC//narG//paaB//
PepA	alkA//ubiC//
PgrR	nfsB//prpE//
PhoB	sdhD//gatY//fucU//nagB//hyi//argH//sdhD//tauD//sbcD//fadI//aceB//sdhB//rffG//xylB//rutD//glsA//leuB//rutC//phoA//speB//
PhoP	ybjG//fabZ//citF//ulaD//sdhD//rffM//nfsB//waaZ//cysN//nadA//rimK//glcB//ndh//fdhF//entC//ahpC//hypB//allC//carA//phnM//leuC//citE//phr//aceF//speB//deoA//paaK//metL//umuC//gcl//rbsD//leuD//
PrpR	srkA//hcp//cysE//psd//
PspF	purH//
PurR	nrdD//purC//gloA//mhpD//idnK//caiD//astD//dhaM//pgaB//alaS//ahpF//recF//paaA//murQ//ung//paaH//katE//garL//hyaB//dmsC//accD//gatZ//nrdB//fumB//ppiA//cynT//
PutA	sucD//hcaC//
PuuR	entD//metL//adiA//sucA//nirB//aceF//
QseB	
RbsR	mhpF//gdhA//lpxA//deoA//pncB//melA//
RcdA	malY//
RclR	
RcnR	citG//
RcsAB	ruvB//garR//frdD//
RcsB	torC//murF//kbaZ//ftsI//
RcsB-BglJ	paaF//ogt//
RelB	poxB//
RelB-RelE	citX//
RhaR	
RhaS	rutA//lpxC//glcE//astB//
Rob	fabH//ilvD//xylB//umuC//purH//murI//grxA//purB//aspA//argE//atoA//gcvT//wecB//pncB//nagB//fucU//aceE//katE//metF//
RstA	hyi//napG//purE//
RtcR	nrdF//katE//
RutR	trpC//astA//wzb//citG//pykF//glmS//mhpE//allD//rutC//ilvC//pdeR//
SdiA	
SgrR	waaH//nrfC//glgX//
SlyA	hycG//entH//truB//citD//metK//narG//lpxC//yeaG//uvrA//
SoxR	astC//
SoxS	narI//purM//fabA//aroF//glgC//fucA//pagP//chbF//mhpF//nrdB//nrdE//nagB//leuB//prs//prpD//ahpF//gloA//tadA//yfdE//wecC//uvrC//ttdA//malY//fadA//talA//glpD//
SrlR	lpxA//pck//glcB//
StpA	argF//pgk//argA//
SutR	wecC//rffC//
TdcA	paaC//uxaC//glcE//caiC//nrfC//
TdcR	hemH//araA//paaK//ilvH//malZ//
TorR	nirB//waaZ//ogt//sgbH//waaY//
TreR	puuA//acnA//
TrpR	paaE//fucI//glpC//glpX//hycF//rtcA//fes//patA//rbsD//
TtdR	prpD//fucA//
TyrR	ychF//bioC//ppc//gpmA//malP//glxR//fucA//leuB//napB//
UhpA	purB//
UidR	iscS//ampC//
UlaR	frdD//argB//ruvA//allC//ddlB//
UvrY	aroH//pheT//
UxuR	aceE//kbaY//glgB//pdeR//leuB//
XapR	glmU//glmS//
XylR	dkgA//glmS//napB//
YdeO	ybjG//idnK//gapA//
YefM	glpB//
YefM-YoeB	pncB//
YeiL	
YhaJ	
YiaJ	dmsC//allA//glmS//ldtD//rutA//paaZ//
YjjQ	umpH//yiaK//
YpdB	
YqhC	fadJ//guaB//
YqjI	gntK//
ZntR	acnB//
ZraR	
Zur	gcl//
