# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ilvC//malQ//
MntR	asnB//ilvI//
ModE	aspC//moaD//glcB//nadA//glcF//ppiA//purE//purH//phnJ//argG//cynT//asnB//umpH//argE//cysK//fabG//paaI//
MprA	cysD//uxaB//malP//
MqsA	paaJ//glgP//
MraZ	malQ//fadA//metH//mazG//uxuA//sucC//ilvH//murC//uvrB//uxaC//
MurR	nrdA//nirD//gloA//
Nac	nadA//pykF//tdcG//glcF//eda//purK//fadJ//murF//purC//dgcC//astE//
NadR	rbsK//acnB//ulaD//prpD//
NagC	deoD//dinB//dinB//cyoE//metH//hypB//fadA//malY//murF//argI//bioF//hycC//mhpA//pagP//entE//fdhF//caiD//torC//hcaB//
NanR	glpC//gcvH//uxaA//lacA//purA//entE//
NarL	trpD//rutD//cysM//fadI//ftsI//ldtB//puuA//alsE//cysH//cyoE//pflB//fbaB//cysC//yqhD//epd//glpK//oxc//pgaD//nrfC//pgaB//napA//astC//nanE//gatY//rbsK//nrdA//mhpC//tdcE//fbaA//chbF//nirD//pdeR//dgcC//moaC//ychF//waaZ//ftsI//hycE//rpiB//aceA//pdeH//
NarP	acnA//cdd//fumC//phnJ//alkB//dhaK//ldtC//purN//nemA//narG//cysK//hcaF//cysD//gabD//astE//
NemR	speA//puuE//
NhaR	ulaG//nrdB//caiD//hyaC//fadJ//
NikR	ulaF//
NimR	rutD//
NorR	cysK//
NrdR	glk//aceE//polA//hcaD//
NsrR	tpiA//hyaC//nemA//ung//nanK//lyxK//dgcZ//hcaB//srkA//adiA//paaC//epd//lysU//tyrA//argE//nfsB//gatZ//mraY//glxR//recD//rutA//entE//hemL//purN//galT//sucC//cysJ//lacA//glpX//allA//prpC//murC//purA//ulaG//fadA//rutA//entB//hyi//lyxK//sucB//
NtrC	phnL//cysD//gcvH//sucA//puuE//lpxA//ahpC//glcF//ppsA//dsdA//glk//malZ//aroF//pheS//aroF//accC//cynT//aceB//glxK//paaZ//argF//
OmpR	alaS//fadA//pgaC//garD//uxuB//astB//gatY//purA//
OxyR	argE//hcp//garK//nirB//cysN//sucA//dinB//sucB//mhpA//edd//betA//puuB//lpxA//argD//purE//nfsB//ung//
PaaX	ulaF//fadI//hemH//napB//malP//leuB//dkgA//frdC//putA//
PdeL	fadM//
PdhR	mngB//ppc//mhpB//uxuA//paaC//phnL//ttdB//chbF//fadM//uidA//dadX//napG//uxuB//nfsA//paaI//aroA//ilvM//fucI//srkA//fabH//purD//aceA//sgbE//argG//hcaF//
PepA	ydcS//wzb//
PgrR	hcaC//hcaE//
PhoB	yeaG//alaA//murQ//napB//lhgO//melA//sucD//murG//glcE//moaE//metB//purA//rutB//argG//rutD//ascB//lysU//sdhB//dmsB//metH//
PhoP	pdeL//relA//phnP//ppsA//chbF//narG//fabH//ssuD//gatY//moeA//lysA//purH//murC//purB//dgcZ//rhaA//gatD//nirD//metL//argC//rhaB//astC//paaB//argA//alsE//uvrA//purE//waaH//katG//aroA//arsC//wrbA//
PrpR	feaB//yiaK//hemH//wecE//
PspF	ttdB//
PurR	galE//puuC//aroH//ndh//melA//leuA//fucU//napA//fabZ//hcaE//rfe//nemA//pheS//tauD//fabB//bacA//ynfH//mazG//rffG//rhaA//fucO//cysH//nrdE//lacA//ilvC//asnA//
PutA	alaA//caiD//
PuuR	adiA//dgkA//cysN//nanE//nrfC//tpiA//
QseB	
RbsR	phr//ubiX//pyrD//wecE//dsdA//udp//
RcdA	hemL//
RclR	
RcnR	patA//
RcsAB	tktB//malS//patD//
RcsB	alsE//astE//ulaD//purF//
RcsB-BglJ	moaA//ldtD//
RelB	uxaB//
RelB-RelE	ynfG//
RhaR	
RhaS	aroA//pdeL//rffT//serA//
Rob	rutA//paaE//ppiA//rimK//pgi//lpxC//aceE//mraY//aroF//mpl//tynA//entA//araB//pgaB//rffC//iscS//putA//alkA//uxaB//
RstA	entE//accC//cyoE//
RtcR	mnmG//gatY//
RutR	ldtC//gcvH//deoB//gntK//astE//garR//yqjH//paaK//speA//ilvI//cynT//
SdiA	
SgrR	waaH//mdh//pnp//
SlyA	betA//pyrD//ynfF//waaH//gabD//uidA//cysN//ldtD//ftsI//
SoxR	pnp//
SoxS	acnB//fadI//edd//hycE//pgaD//fucK//glgA//paaE//tdcG//rffT//lldD//zwf//rhaB//hcp//wzc//rutE//recD//mpaA//murE//metC//paaJ//yeaE//metE//entE//tdh//leuD//
SrlR	polB//glpC//bioA//
StpA	cysG//dgcZ//frdA//
SutR	sgbE//dgcC//
TdcA	nirB//ubiX//bioA//uxaB//hypF//
TdcR	aroH//treC//entF//mhpD//dapB//
TorR	sgbU//moaA//mhpA//garL//mhpB//
TreR	tdcG//paaH//
TrpR	sufS//astA//entD//glgP//gdhA//fabI//glxK//chbF//fadI//
TtdR	pgk//moaD//
TyrR	relA//ttdB//cysC//gdhA//chbG//aroH//aroG//galK//nemA//
UhpA	paaI//
UidR	frdB//ilvD//
UlaR	pyrC//dmsA//hyaA//fucI//ulaG//
UvrY	rfe//lldD//
UxuR	recB//yqjH//nirD//malP//glcB//
XapR	nrfA//aspA//
XylR	alaA//lpxD//paaZ//
YdeO	iscS//purC//cysM//
YefM	poxB//
YefM-YoeB	nagB//
YeiL	
YhaJ	
YiaJ	aldA//gatY//uvrB//gatD//galT//kbl//
YjjQ	cysD//lyxK//
YpdB	
YqhC	melA//ftnA//
YqjI	rutC//
ZntR	waaY//
ZraR	
Zur	moaD//
