# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	aroA//phoA//
Fur	pncB//tdcG//hemL//mhpC//asnB//glnA//eno//paaA//astC//hcaE//argG//prpB//metL//alaA//tktB//gcvP//sgbU//cysD//deoA//rffG//dhaM//cysH//ubiX//gpmA//purA//lpd//ilvE//frdB//eda//mhpD//leuB//rtcB//katG//rutC//yeaE//gabD//lldD//galT//lpxC//paaE//gutQ//deoD//uxaA//garL//kbaY//fucK//cysK//glpB//ttdA//pheT//gapA//ilvM//tyrB//bioF//pck//allA//lysC//nanE//glgP//mhpC//ung//accA//
GadE	glpA//aroL//pykF//rffH//moeB//glgX//talA//patA//glgA//atoA//
GadE-RcsB	cysN//gltD//hcaD//glpC//puuA//
GadW	bioD//entB//allA//mltF//
GadX	moaE//fucK//ynfG//ruvB//cysN//argC//allD//ulaE//fabI//alaS//aroL//rtcB//moaA//
GalR	xapA//uidA//trpC//puuE//gatD//araD//
GalS	nirD//patD//sgbU//hcaC//gadA//entA//
GatR	ynfH//pnp//leuB//
GcvA	pck//nfsA//guaB//
GlcC	sucB//relA//moeB//
GlpR	dmsA//mpl//adhE//phnO//allB//gcvT//mhpC//
GlrR	
GntR	phnL//ldtC//frdB//aroG//argH//gltB//cysC//nrfD//dhaM//
GutM	gpmM//sdhD//caiB//
HU	sdhD//tdcD//nagA//alkB//purL//pncB//mtlD//
HcaR	pdeL//cynT//
HdfR	
HigA	phnG//
HigB-HigA	argH//
HipAB	napB//tdcE//
HipB	aldA//folA//treC//
HprR	glcF//nagA//galE//tpiA//
HyfR	napH//
HypT	fes//pheS//nrdE//fadI//trpE//paaH//ubiA//
IclR	mngB//ttdB//narI//
IdnR	galT//glgP//astA//argF//trpA//trpA//
IlvY	ahpC//
IscR	hemH//fucO//nrdD//mhpE//pflB//add//sodB//ycjG//
KdgR	dmsA//glk//
KdpE	murQ//
LacI	sgbE//truB//galK//
LeuO	grxA//fau//wecC//lacZ//ldtD//nrfA//
LexA	malY//lsrK//mngB//moaD//fadM//dinB//dhaK//nanM//leuC//relA//moaD//rnpB//astB//argA//metA//nadB//rffG//oxc//aroH//gor//hycG//ilvG_1//rutB//
LldR	sodB//nfsA//
LrhA	
Lrp	trpD//yfdE//fucI//gatY//nrdB//mhpB//argI//nadA//paaF//serA//aroG//gcvT//ilvG_1//ppsA//aldA//pnp//napG//yfdE//gpmM//ddlB//chbG//wecE//puuC//ogt//araB//deoA//ygeA//dinB//purN//yiaK//allE//napH//dgcN//ybjG//ilvG_1//gcl//uidA//gutQ//paaC//gatZ//
LsrR	caiA//lsrF//ycjG//hcaD//argI//
LysR	rhaD//
MalI	sucB//hyaA//
MalT	garR//tauD//trpC//gltB//mdh//tdcE//
MarA	fumB//fbaB//gapA//bioA//gadA//tauD//aroA//ddlB//dmsB//glxR//wrbA//bioD//moeB//sbcD//entD//phnP//fabZ//tktB//pdeL//moeA//lhgO//astC//eno//phoA//
MarR	
MatA	araA//
MazE	dsdA//
MazE-MazF	astB//
McbR	
MelR	ftnA//hycB//
MetJ	recD//tpiA//yedX//tnaA//tdcB//puuD//sodA//ulaE//atoA//tam//
MetR	dmsB//fadI//nrdE//lysA//
MhpR	carB//moaD//moaA//dapB//purC//alaS//
Mlc	aspA//sgbU//hcaD//rsmH//
MlrA	paaY//
MngR	ilvA//uvrA//
MntR	argA//frdB//
ModE	xylB//lysA//ilvG_1//dhaM//dhaL//ulaG//hcaF//ilvE//citC//argB//dhaK//nadB//katE//appA//phoA//ndh//ynfF//
MprA	slt//fucA//paaI//
MqsA	ruvB//cysC//
MraZ	paaF//deoB//argA//napG//nrdE//frdD//malP//ruvA//deoA//trpC//
MurR	gcvT//fes//cadA//
Nac	recB//allA//mpaA//narG//ppiA//sgbH//acnB//wecB//nanM//aroA//zwf//
NadR	rutC//puuB//malP//metA//
NagC	alaC//glmU//rffM//asnB//paaG//ynfH//dhaL//glxK//ribA//amn//rpiB//pagP//poxB//ubiX//pgm//pykF//metA//glmU//galM//
NanR	trpA//glxK//dmsB//ybjG//prpE//umuC//
NarL	gntK//add//nanM//relA//luxS//wrbA//paaC//alkA//puuA//dapB//relA//ubiA//citC//glgC//gcvH//glpB//torC//fdhF//gpmM//trpE//prpC//prpD//pgk//frc//argD//xapA//cysC//aroA//atoD//uxuB//xylA//paaF//lsrG//patD//prpB//hycE//deoC//dkgA//nanE//fabG//phr//
NarP	gcvP//sufS//glpQ//ycjG//prpE//fumB//uvrB//dmsB//paaH//ogt//entH//mpaA//hyaA//ydcS//yeaE//
NemR	lpxC//gdhA//
NhaR	cueO//malQ//allC//deoC//glsA//
NikR	caiB//
NimR	entH//
NorR	citD//
NrdR	mhpB//murG//nfsA//acnB//
NsrR	pheS//dadX//lhgO//ppsA//leuB//puuC//pdeH//pdeR//amn//bioF//zwf//lpxD//garL//lacA//waaY//alkA//xapA//dmsB//rutA//aroG//pgaC//rutE//ilvG_1//frdC//rhaA//narG//pgaB//trpA//phr//fumC//sdaA//arsC//gabD//glgP//betA//gor//codA//murI//ftnA//glxK//
NtrC	cysD//eda//folA//hycE//glpQ//guaB//nirB//pheT//fabA//tdcG//lpxD//ugpQ//hyaA//hcaE//fadM//gcvP//murC//hcp//galE//bioF//speA//
OmpR	thrS//argF//purK//truB//moeA//pdeH//rffM//dhaK//
OxyR	hypB//lsrF//pheS//fabH//xylA//add//mpaA//purB//wzc//yeaE//sbcC//lsrF//gcl//mhpB//sufS//tauD//aldA//
PaaX	paaF//gutQ//narH//caiC//ulaE//sdhD//ugpQ//cysE//trpD//
PdeL	guaB//
PdhR	ubiA//purC//putA//rutC//gadA//gpmA//leuB//nadA//mhpF//ydcS//napA//treC//fucU//chbG//rutC//rhaD//cysM//nadB//pykF//ampC//moeA//rtcB//polB//slt//garK//
PepA	napA//trpB//
PgrR	tdcE//sdhC//
PhoB	glgC//ynfG//entC//ddlB//leuD//gadB//ilvA//umpH//mtlD//purK//umuC//lhgO//ynfH//phnP//patA//trpB//rutE//cueO//sodB//pgaD//
PhoP	pck//yeaG//malZ//ddlB//lyxK//pheT//uxaA//kbl//alkB//dhaK//dmsC//rffC//sdhD//yeaG//relA//glnA//prpD//fucA//pyrC//phnI//cdd//oxc//udp//aroG//ubiC//umuC//argF//leuD//gntK//glgC//accC//gpmM//
PrpR	astE//nrfD//ssuD//astE//
PspF	paaF//
PurR	glpD//glcB//prpC//cynS//cysI//chbG//paaA//glpX//dhaK//rpiB//rutE//cysC//fbaA//caiD//lysA//pheS//ilvI//pspE//puuE//caiA//umuC//gcl//leuA//yiaK//eda//metK//
PutA	sbcC//cynS//
PuuR	hycC//trpB//kbaZ//ubiX//yqhD//gloA//
QseB	
RbsR	paaI//cysM//pdeL//yiaK//dsdA//gpmA//
RcdA	cdd//
RclR	
RcnR	bioC//
RcsAB	purC//mdh//rtcB//
RcsB	ruvA//umpH//deoC//sdhC//
RcsB-BglJ	phnL//fadM//
RelB	pgk//
RelB-RelE	tam//
RhaR	
RhaS	aceE//nrfD//hyaC//hycB//
Rob	gcvP//uxaC//hycB//fucA//alsE//rffH//ilvC//allA//hypF//waaH//ahpC//yeaG//leuA//gadB//rutB//dgcZ//lhgO//ilvE//xapA//
RstA	torA//cadA//rffT//
RtcR	phnO//prpB//
RutR	gabD//glpB//moaE//leuB//ftnA//moaA//paaK//ynfG//alsE//wzb//glcB//
SdiA	
SgrR	metA//recD//glnA//
SlyA	puuD//uxaC//pdeR//ynfF//yeaE//poxB//gcvP//paaH//galK//
SoxR	bioA//
SoxS	yqhD//rutA//tehB//phnP//narG//ldtB//yeaE//caiD//atoA//glpQ//adhE//paaG//pdeH//pnp//rutB//fadJ//mhpF//lldD//adhE//ribA//prs//rutD//uxaC//uxaA//phnI//eno//
SrlR	gudD//dmsA//lsrK//
StpA	fau//ubiA//metC//
SutR	tnaA//waaY//
TdcA	ldtD//asnB//citX//ppiA//nagA//
TdcR	nrfD//hemL//ubiX//frc//metH//
TorR	glcB//deoD//glgB//gatD//entC//
TreR	prs//gloA//
TrpR	uvrA//waaZ//chbG//asnB//rbsK//pgaC//aroA//sufS//murD//
TtdR	yeaE//mhpB//
TyrR	trpA//katE//phnP//ttdB//atoD//pheT//accD//dgcN//lsrK//
UhpA	kbaZ//
UidR	paaA//phnM//
UlaR	ftsI//paaF//dgkA//lpd//cysJ//
UvrY	gpmA//hycC//
UxuR	sbcD//cynS//gpmM//ygeA//entF//
XapR	leuC//narG//
XylR	napG//leuC//gudD//
YdeO	fabD//glcF//puuE//
YefM	argF//
YefM-YoeB	pheT//
YeiL	
YhaJ	
YiaJ	napG//murG//gcvP//murF//napA//pflB//
YjjQ	paaY//ppsA//
YpdB	
YqhC	udp//hycF//
YqjI	ilvC//
ZntR	glpK//
ZraR	
Zur	dgkA//
