# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	cysG//gloA//
RstA	wzb//entB//cueO//
RtcR	rffM//cysJ//
RutR	allE//ubiA//rutD//prpD//tdcB//aroH//aceA//metA//folA//alaA//puuE//
SdiA	
SgrR	ychF//rffT//hypB//
SlyA	narI//phnM//ttdA//nfsB//pnp//zwf//purE//carB//prs//
SoxR	rffC//
SoxS	leuC//ulaD//caiC//phnP//lldD//fadM//glpQ//nrfD//tpiA//fadD//add//ogt//cdd//glgP//glpK//entE//leuD//waaZ//sgbH//ftsI//fumC//cysC//phnM//malS//puuB//folA//
SrlR	speB//purB//ynfH//
StpA	add//wrbA//icd//
SutR	deoC//gudD//
TdcA	wecC//pyrC//cyoE//tdcD//ilvH//
TdcR	argF//nemA//rutD//rtcB//luxS//
TorR	dacC//cysM//feaB//uvrA//aroG//
TreR	ulaG//dacC//
TrpR	hycB//frdB//alaC//ppc//tdcD//gnd//pgm//pgk//lacA//
TtdR	polA//purA//
TyrR	speB//wrbA//tam//murE//aroG//bioA//pgm//nanK//tdcD//
UhpA	frdA//
UidR	ftnA//paaG//
UlaR	sgbU//paaF//rpiB//metB//narI//
UvrY	add//pck//
UxuR	allD//rhaD//ulaF//idnK//moaC//
XapR	mpaA//waaH//
XylR	prpD//cysG//fadB//
YdeO	rffH//purL//tdcD//
YefM	pck//
YefM-YoeB	sdhA//
YeiL	
YhaJ	
YiaJ	argI//murI//rffH//waaH//feaB//prs//
YjjQ	ftsI//fucK//
YpdB	
YqhC	lpxC//entC//
YqjI	poxB//
ZntR	moaC//
ZraR	
Zur	gcvT//
