# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Sat Nov 24 00:18:01 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10016	garL	KDGALDOL-RXN//
EG10477	hycD	FHLMULTI-RXN//
EG10478	hycE	FHLMULTI-RXN//
EG10479	hycF	FHLMULTI-RXN//
EG10480	hycG	FHLMULTI-RXN//
EG10484	hypB	RXN0-5462//
EG10489	icd	ISOCITDEH-RXN//RXN-9951//RXN-8642//
EG10493	ilvA	RXN-15122//THREDEHYD-RXN//
EG10496	ilvD	DIHYDROXYISOVALDEHYDRAT-RXN//DIHYDROXYMETVALDEHYDRAT-RXN//
EG10497	ilvE	BRANCHED-CHAINAMINOTRANSFERVAL-RXN//BRANCHED-CHAINAMINOTRANSFERLEU-RXN//PHEAMINOTRANS-RXN//BRANCHED-CHAINAMINOTRANSFERILEU-RXN//
EG10499	ilvH	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10500	ilvI	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10501	ilvM	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10509	katE	CATAL-RXN//RXN-8073//
EG10511	katG	CATAL-RXN//RXN-8667//
EG10524	lacA	GALACTOACETYLTRAN-RXN//
EG10527	lacZ	BETAGALACTOSID-RXN//RXN0-5363//RXN-17726//RXN0-7219//
EG10543	lpd	RXN0-1134//RXN0-1147//RXN0-1133//GCVT-RXN//RXN-8629//RXN-8629//RXN0-1132//RXN0-1132//1.8.1.4-RXN//GCVP-RXN//RXN-7716//RXN-7716//2OXOGLUTDECARB-RXN//GCVMULTI-RXN//2OXOGLUTARATEDEH-RXN//PYRUVDEH-RXN//RXN-15119//
EG10545	lpxA	UDPNACETYLGLUCOSAMACYLTRANS-RXN//
EG10549	lysA	DIAMINOPIMDECARB-RXN//
EG10560	malP	RXN-14285//RXN-9025//RXN-14284//RXN0-5184//RXN-14286//RXN0-5182//
EG10561	malQ	RXN-14261//AMYLOMALT-RXN//MALTODEG-RXN//RXN-14260//
EG10564	malY	RXN-15129//CYSTATHIONINE-BETA-LYASE-RXN//LCYSDESULF-RXN//RXN-15131//
EG10572	mazG	RXN0-383//NUCLEOTIDE-PYROPHOSPHATASE-RXN//DCTP-PYROPHOSPHATASE-RXN//RXN-14139//RXN0-385//RXN0-6382//RXN0-1603//RXN0-384//ATP-PYROPHOSPHATASE-RXN//DUTP-PYROP-RXN//RXN0-1602//RXN0-5107//
EG10576	mdh	MALATE-DEH-RXN//
EG10577	melA	ALPHAGALACTOSID-RXN//RXN-17754//
EG10582	metB	METBALT-RXN//O-SUCCHOMOSERLYASE-RXN//RXN-15147//
EG10584	metE	HOMOCYSMET-RXN//
EG10587	metH	HOMOCYSMETB12-RXN//HOMOCYSMET-RXN//
EG10589	metK	S-ADENMETSYN-RXN//
EG10590	metL	HOMOSERDEHYDROG-RXN//ASPARTATEKIN-RXN//
EG10604	mraY	PHOSNACMURPENTATRANS-RXN//
EG10616	mtlD	MANNPDEHYDROG-RXN//
EG10619	murC	UDP-NACMUR-ALA-LIG-RXN//
EG10620	murD	UDP-NACMURALA-GLU-LIG-RXN//
EG10621	murE	UDP-NACMURALGLDAPLIG-RXN//
EG10622	murF	UDP-NACMURALGLDAPAALIG-RXN//
EG10623	murG	NACGLCTRANS-RXN//
EG10632	nagA	NAG6PDEACET-RXN//
EG10633	nagB	GLUCOSAMINE-6-P-DEAMIN-RXN//
EG10634	umpH	RXN-14025//RXN-7609//5-NUCLEOTID-RXN//AMP-DEPHOSPHORYLATION-RXN//RXN-7607//RXN-14026//
EG10637	nanA	RXN-15313//ACNEULY-RXN//
EG10638	narG	RXN-15119//
EG10639	narH	RXN-15119//
EG10640	narI	RXN-15119//
EG10649	ndh	R170-RXN//RXN0-5330//
EG10653	nirB	RXN-13854//
EG10655	nirD	RXN-13854//
EG10660	nrdA	GDPREDUCT-RXN//UDPREDUCT-RXN//CDPREDUCT-RXN//ADPREDUCT-RXN//
EG10661	nrdB	GDPREDUCT-RXN//UDPREDUCT-RXN//CDPREDUCT-RXN//ADPREDUCT-RXN//
EG10668	ogt	RXN-17824//2.1.1.63-RXN//
EG10688	pck	PEPCARBOXYKIN-RXN//
EG10701	pflB	PYRUVFORMLY-RXN//KETOBUTFORMLY-RXN//
EG10703	pgk	PHOSGLYPHOS-RXN//
EG10742	pncB	NICOTINATEPRIBOSYLTRANS-RXN//
EG10743	pnp	RXN0-6479//
EG10754	poxB	RXN0-2022//RXN-11496//
EG10757	ppiA	PEPTIDYLPROLYL-ISOMERASE-RXN//
EG10780	pspE	THIOSULFATE-SULFURTRANSFERASE-RXN//
EG10790	purA	ADENYLOSUCCINATE-SYNTHASE-RXN//
EG10792	purD	GLYRIBONUCSYN-RXN//
EG10795	purH	IMPCYCLOHYDROLASE-RXN//AICARTRANSFORM-RXN//
EG10798	purM	AIRS-RXN//
EG10799	purN	GART-RXN//
EG10801	putA	RXN0-7008//PYRROLINECARBDEHYDROG-RXN//RXN-14116//
EG10806	pyrC	DIHYDROOROT-RXN//
EG10807	pyrD	DIHYDROOROTATE-DEHYDROGENASE-RXN//
EG10817	rbsD	RXN0-5304//
EG10818	rbsK	RIBOKIN-RXN//
EG10828	recF	RXN0-2606//
EG10835	relA	GTPPYPHOSKIN-RXN//GDPPYPHOSKIN-RXN//
EG10852	rimK	RXN0-6726//
EG10921	ftnA	RXN-15294//RXN-15293//RXN-15292//
EG10931	sdhA	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10932	sdhB	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10933	sdhC	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10934	sdhD	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10944	serA	PGLYCDEHYDROG-RXN//RXN-16701//KETOGLUTREDUCT-RXN//
EG10946	serC	SUCCINYLDIAMINOPIMTRANS-RXN//PSERTRANSAMPYR-RXN//PSERTRANSAM-RXN//
EG10953	sodA	SUPEROX-DISMUT-RXN//
EG10954	sodB	SUPEROX-DISMUT-RXN//
EG10971	srlD	SORB6PDEHYDROG-RXN//
EG10973	gutQ	DARAB5PISOM-RXN//
EG10979	sucA	RXN0-1147//RXN-7716//2OXOGLUTDECARB-RXN//2OXOGLUTDECARB-RXN//2OXOGLUTARATEDEH-RXN//
EG10980	sucB	RXN0-1147//RXN0-1147//RXN-7716//2OXOGLUTDECARB-RXN//2OXOGLUTARATEDEH-RXN//
EG10981	sucC	SUCCCOASYN-RXN//
EG10982	sucD	SUCCCOASYN-RXN//
EG10990	tdcB	4.3.1.17-RXN//RXN-15122//RXN-15125//THREDEHYD-RXN//
EG11005	tnaA	RXN-15129//TRYPTOPHAN-RXN//RXN-15578//LCYSDESULF-RXN//
EG11045	udp	URPHOS-RXN//
EG11050	ugpQ	RXN-14160//RXN-14136//GLYCPDIESTER-RXN//RXN-14073//
EG11055	uidA	BETA-GLUCURONID-RXN//
EG11061	uvrA	RXN0-2621//
EG11065	uxaB	ALTRO-OXIDOREDUCT-RXN//
EG11066	uxuA	MANNONDEHYDRAT-RXN//
EG11074	xylA	XYLISOM-RXN//
EG11075	xylB	RXN0-382//XYLULOKIN-RXN//
EG11085	rsmH	RXN-11638//
EG11105	entH	RXN0-7046//
EG11157	ygeA	RXN0-7285//
EG11158	fau	5-FORMYL-THF-CYCLO-LIGASE-RXN//
EG11172	tdcD	PROPKIN-RXN//
EG11175	garK	GKI-RXN//
EG11176	garR	TSA-REDUCT-RXN//RXN0-5289//
EG11177	truB	RXN-11839//
EG11221	zwf	GLU6PDEHYDROG-RXN//
EG11236	pdeL	RXN0-4181//
EG11261	nfsA	R303-RXN//
EG11266	waaH	RXN-14361//
EG11284	fabZ	4.2.1.59-RXN//RXN-11481//RXN-10656//4.2.1.58-RXN//RXN-11477//RXN-9533//RXN-9537//3-HYDROXYDECANOYL-ACP-DEHYDR-RXN//RXN-9520//RXN-9557//RXN-9655//4.2.1.61-RXN//RXN0-2144//RXN-10660//
EG11311	dusB	RXN0-1281//
EG11316	malS	RXN0-5181//
EG11325	acnA	ACONITATEDEHYDR-RXN//RXN-14047//ACONITATEHYDR-RXN//
EG11326	codA	RXN0-6708//CYTDEAM-RXN//
EG11329	gabD	SUCCSEMIALDDEHYDROG-RXN//
EG11369	ubiC	CHORPYRLY-RXN//
EG11370	ubiA	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN//
EG11384	ahpC	R4-RXN//
EG11385	ahpF	R4-RXN//
EG11402	treC	TRE6PHYDRO-RXN//
EG11407	dadA	DALADEHYDROG-RXN//
EG11408	dadX	ALARACECAT-RXN//
EG11417	nrdD	RXN0-724//RXN0-745//RIBONUCLEOSIDE-TRIP-REDUCT-RXN//RXN0-723//RXN0-746//
EG11425	waaY	RXN0-5123//
EG11426	waaZ	RXN-11326//
EG11442	gcvT	GCVT-RXN//GCVT-RXN//RXN-8629//GCVP-RXN//GCVMULTI-RXN//
EG11448	acs	ACETATE--COA-LIGASE-RXN//PROPIONATE--COA-LIGASE-RXN//
EG11490	gadB	GLUTDECARBOX-RXN//
EG11501	adiA	ARGDECARBOX-RXN//
EG11517	glpX	F16BDEPHOS-RXN//
EG11530	fadD	ACYLCOASYN-RXN//
EG11551	hypF	RXN-14552//
EG11557	caiD	CARNDETRU-RXN//
EG11558	caiC	LCARNCOALIG-RXN//
EG11559	caiB	RXN0-3601//
EG11560	caiA	CROBETREDUCT-RXN//
EG11595	moaA	RXN-8340//
EG11597	moaD	RXN-8342//
EG11598	moaE	RXN-8342//
EG11643	dgcZ	RXN0-5359//
EG11666	moaC	RXN-17809//
EG11669	atoD	ACETOACETYL-COA-TRANSFER-RXN//
EG11670	atoA	ACETOACETYL-COA-TRANSFER-RXN//
EG11672	atoB	ACETYL-COA-ACETYLTRANSFER-RXN//
EG11698	galM	ALDOSE1EPIM-RXN//
EG11781	nrfA	RXN-18605//
EG11810	gcvP	GCVT-RXN//RXN-8629//GCVP-RXN//GCVP-RXN//GCVMULTI-RXN//
EG11814	torA	RXN0-5264//
EG11815	torC	RXN0-5264//
EG11822	puuB	RXN0-3921//
EG11866	rhaD	RHAMNULPALDOL-RXN//
EG11867	rhaA	LYXISOM-RXN//RHAMNISOM-RXN//
EG11868	rhaB	RHAMNULOKIN-RXN//
EG11946	nrfC	RXN-18604//
EG11947	nrfD	RXN-18604//
EG11963	lldD	L-LACTDEHYDROGFMN-RXN//
EG12061	napB	NITRATE-REDUCTASE-CYTOCHROME-RXN//
EG12062	napH	RXN-18584//
EG12064	napG	RXN-18584//
EG12067	napA	NITRATE-REDUCTASE-CYTOCHROME-RXN//
EG12152	idnK	GLUCONOKIN-RXN//
EG12198	chbG	RXN-11313//RXN0-7001//
EG12244	ccp	RXN-19020//
EG12279	yiaK	RXN0-703//
EG12284	lyxK	LYXK-RXN//RXN0-704//
EG12285	sgbH	RXN0-705//
EG12286	sgbU	LXULRU5P-RXN//
EG12287	sgbE	RIBULPEPIM-RXN//
EG12292	aldB	RXN0-3962//
EG12316	acnB	ACONITATEDEHYDR-RXN//4.2.1.99-RXN//RXN-14047//ACONITATEHYDR-RXN//
EG12381	nrdF	RXN0-748//RIBONUCLEOSIDE-DIP-REDUCTII-RXN//RXN0-747//RXN0-722//
EG12387	lhgO	RXN0-5364//
EG12417	gatD	1.1.1.251-RXN//
EG12419	gatY	TAGAALDOL-RXN//
EG12423	tauD	RXN0-299//
EG12424	prmC	RXN-14992//
EG12440	mpl	RXN0-7022//RXN0-2361//
EG12629	gntK	GLUCONOKIN-RXN//
EG12734	uxaA	ALTRODEHYDRAT-RXN//
EG20080	glcB	MALSYN-RXN//
EG20098	hpt	GUANPRIBOSYLTRAN-RXN//HYPOXANPRIBOSYLTRAN-RXN//
EG20248	uxuB	MANNONOXIDOREDUCT-RXN//
EG20257	nrdE	RXN0-748//RIBONUCLEOSIDE-DIP-REDUCTII-RXN//RXN0-747//RXN0-722//
EG30069	rnpB	RXN0-6480//3.1.26.5-RXN//
EG50005	nfsB	RXN-13853//1.5.1.34-RXN//
EG50009	gadA	GLUTDECARBOX-RXN//
G0-8601	glcF	GLYCOLATEDEHYDRO-RXN//
G36	fadH	DIENOYLCOAREDUCT-RXN//
G6105	fadE	ACYLCOADEHYDROG-RXN//
G6196	prpB	METHYLISOCITRATE-LYASE-RXN//
G6198	prpC	2-METHYLCITRATE-SYNTHASE-RXN//CITSYN-RXN//
G6199	prpD	2-METHYLCITRATE-DEHYDRATASE-RXN//
G6200	prpE	PROPIONATE--COA-LIGASE-RXN//
G6205	mhpE	MHPELY-RXN//
G6339	citG	2.7.8.25-RXN//
G6340	citX	2.7.7.61-RXN//
G6341	citF	CITRYLY-RXN//CITTRANS-RXN//CITLY-RXN//
G6342	citE	CITRYLY-RXN//CITTRANS-RXN//CITLY-RXN//
G6343	citD	CITRYLY-RXN//CITTRANS-RXN//CITLY-RXN//
G6344	citC	CITC-RXN//
G6422	ldtB	RXN-16665//RXN-16664//
G6457	hcp	HYDROXYLAMINE-REDUCTASE-RXN//
G6477	ssuD	RXN0-280//RXN-15341//RXN0-6973//RXN-13418//
G6479	ssuE	RXN-12444//
G6519	rutE	RXN-8974//
G6520	rutD	RXN0-6452//
G6521	rutC	RXN0-6461//
G6522	rutB	RXN0-6460//RXN-12895//RXN-12894//RXN-12896//RXN0-6451//
G6523	rutA	RXN-12886//RXN0-6444//
G6528	pgaD	RXN0-5413//
G6529	pgaC	RXN0-5413//
G6530	pgaB	RXN0-5414//
G6639	pdeR	RXN0-4181//
G6644	puuA	RXN0-3901//
G6645	puuD	RXN0-3942//
G6646	puuE	GABATRANSAM-RXN//
G6708	paaZ	RXNMETA-12672//RXN0-6511//3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN//RXNMETA-12671//
G6709	paaA	RXN0-2042//
G6710	paaB	RXN0-2042//
G6711	paaC	RXN0-2042//
G6713	paaE	RXN0-2042//
G6714	paaF	RXN-2425//
G6715	paaG	RXN0-6510//
G6716	paaH	RXN0-2044//
G6717	paaI	RXN0-7104//RXN0-5065//
G6718	paaJ	RXN0-6512//RXN-3641//
G6719	paaK	RXN-10819//
G6798	lsrK	RXN0-5461//
G6804	lsrF	RXN-15943//
G6805	lsrG	RXN-15216//RXN0-6720//
G6806	tam	RXN0-2441//
G6845	ynfE	RXN0-2101//
G6846	ynfF	RXN0-2101//
G6847	ynfG	RXN0-2101//
G6848	ynfH	RXN0-2101//
G6890	nemA	RXN0-5101//
G6891	gloA	GLYOXI-RXN//
G6906	sufS	RXN0-308//SELENOCYSTEINE-LYASE-RXN//RXN0-279//
G6940	astE	SUCCGLUDESUCC-RXN//
G6941	astB	SUCCARGDIHYDRO-RXN//
G6942	astD	SUCCGLUALDDEHYD-RXN//
G6943	astA	ARGININE-N-SUCCINYLTRANSFERASE-RXN//
G6944	astC	ACETYLORNTRANSAM-RXN//SUCCORNTRANSAM-RXN//
G7058	yedX	3.5.2.17-RXN//
G7128	gatZ	TAGAALDOL-RXN//
G7212	fadJ	RXN-17776//RXN-17798//RXN-17785//OHBUTYRYL-COA-EPIM-RXN//RXN0-5393//RXN-17794//RXN-17781//RXN-17797//ENOYL-COA-HYDRAT-RXN//RXN-14393//OHACYL-COA-DEHYDROG-RXN//RXN-17790//RXN-17777//RXN-17793//RXN-7931//RXN-17780//ENOYL-COA-DELTA-ISOM-RXN//RXN-17786//RXN-17789//
G7213	fadI	RXN-17795//RXN-17782//RXN-14394//KETOACYLCOATHIOL-RXN//RXN-17791//RXN-17778//RXN-17787//RXN-17799//
G7263	murQ	RXN0-4641//
G7544	glcE	GLYCOLATEDEHYDRO-RXN//
G7545	glcD	GLYCOLATEDEHYDRO-RXN//
G7593	yqjH	RXN0-6555//RXN0-6941//
G7596	patA	PUTTRANSAM-RXN//2.6.1.82-RXN//DIAMTRANSAM-RXN//
G7624	tdcG	4.3.1.17-RXN//RXN-15125//
G7627	tdcE	PYRUVFORMLY-RXN//KETOBUTFORMLY-RXN//
G7631	kbaZ	TAGAALDOL-RXN//
G7676	nanK	NANK-RXN//
G7677	nanE	NANE-RXN//
G7750	rtcA	RXN-17930//RXN0-6556//
G7751	rtcB	RXN-17935//
G7855	ulaG	RXN0-5214//
G7858	ulaD	RXN0-705//
G7859	ulaE	LXULRU5P-RXN//
G7860	ulaF	RIBULPEPIM-RXN//
G7892	idnO	GLUCONATE-5-DEHYDROGENASE-RXN//RXN0-7101//
G7893	idnD	1.1.1.264-RXN//L-IDONATE-2-DEHYDROGENASE-RXN//RXN-12107//
G7920	nanM	RXN0-5329//
G7961	feaB	PHENDEHYD-RXN//
G81	uxaC	GLUCUROISOM-RXN//GALACTUROISOM-RXN//
G8221	ilvG_1	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
M010	mhpA	RXN-10040//MHPHYDROXY-RXN//
M011	mhpB	1.13.11.16-RXN//RXN-12073//
M012	mhpC	MHPCHYDROL-RXN//RXN-12070//
M013	mhpD	2-OXOPENT-4-ENOATE-HYDRATASE-RXN//
M014	mhpF	ACETALD-DEHYDROG-RXN//
