#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	sroA//
asnC	b0598//
asnC-mioC	b3257//b0457//
asnC-mioC-mnmG	b1609//b2866//b3187//
asnS	b1677//
asnT	b3759//
asnU	yifN//
asnV	b4311//
asnW	b3830//
aspA	b2373//
aspA-dcuA	b2453//b1940//
aspC	b1938//
aspS	b1886//
aspT	b1462//
aspU	b1100//
aspV	b0222//
asr	b0829//
astCADBE	b0660//b3867//b1328//b1154//intG//
atl	b1102//
atoDAEB	b2747//b0009//b3207//b4379//
atoSC	b0496//b4603//
atpBEFHAGDC	b3582//b3293//b1010//b1489//b0195//b3966//b3911//b4340//
atpIBEFHAGDC	b0646//yeeL_1//b3198//b3445//b3098//b0515//b1711//b2522//b2203//
avtA	b0738//
azoR	b1615//
azuC	b2326//
bacA	b2524//
baeSR	b1836//b1598//
bamA	b0639//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b0426//b3354//b1883//b1026//b3334//b1120//b3817//b1096//
bamB-der	b0371//b2360//
bamC	b2607//
bamD	b0880//
bamE	b4225//
barA	b2436//
basRS	b0887//b0956//
bax	b4333//
bcp	b0114//
bcr	b1829//
bcsABZC	b4477//b2114//b3660//b1887//
bcsBZ	b0635//b0057//
bcsEFG	b3500//b4349//b2240//
bcsQ	b0490//
bdcA	b0969//
bdcR	b2328//
bdm-sra	b4139//b3541//
bepA-yfgD	b2460//b3729//
betIBA	b1469//b3542//b3969//
betT	b4339//
bfd-bfr	b2193//b2267//
bglA	b4118//
bglG	b3921//
bglGFB	b0168//b3510//b2141//
bglH-yieLK	b3604//b3908//b3132//
bglX	b2292//
bhsA	b1181//
bioA	b1841//
bioBFCD	b4382//b4449//b0328//b4334//
bioH	b3235//
bipA	b2727//
bisC	b3787//
blc	b1813//
blr	b1860//
bluF	b1923//
bluR	b2691//
bolA	b4240//
borD	b3926//
brnQ-proY	b4356//yjgX_2//
bsmA	b3609//
bssR	b3748//
bssS	b2364//
btuB-murI	b0562//b3301//
btuCED	b2951//b0475//b1949//
cadA	b3369//
cadBA	b1365//b3017//
cadC	b1939//
caiCDE	b0003//b1459//b2178//
caiF	b2092//
caiTABCDE	b1083//b1750//b3239//b4005//b2434//b4233//
can	b3991//
carAB	b1716//b3783//
carB	b2804//
cas2	b4329//
cas3	b4474//
casABCDE12	b2736//b0114//b3076//b2795//b1872//b1783//b4257//
casDE12	b1596//b4367//b0843//b4287//
cbl	b0804//
cbpAM	b0434//b1524//
cbrA	b2981//
cbrB	b2135//
cbrBC	b0109//b3403//
cbrC	b0945//
ccmABCDEFGH	b3053//b1775//b3765//b2719//b0553//b0299//b2218//b1740//
cdaR	b2727//
cdd	b2597//
cdgI	b3929//
cdh	b1593//
cdsA	b2432//
cecR-ybhGFSR	b4069//b2789//b1621//b3196//b0585//
cedA	b0205//
cfa	b0127//
chaA	b1647//
chaBC	b3807//b3391//
chaC	b4015//
chbBCARFG	b2886//b1640//b2660//b1112//b1678//b0354//
chiA	b4147//
chiP-ybfN	b3716//b1473//
chiX	b3935//
cho	b1214//
chpSB	b1515//b0545//
cirA	b1116//
citCDEFXG	b3725//b3563//b4318//b0888//b1704//b4245//
citT	b4048//
clcA	b3585//
clcB	b0347//
clpA	rhsE//
clpB	b1463//
clpPX	b0953//b0968//
clpS	b4185//
clpX-lon	b0293//b1960//
clsA-yciU	b0957//b1699//
clsC	b1492//
cmk-rpsA	b0543//b1508//
cmoM-mukFEB	b0577//b1879//b1102//b2971//
cmtBA-yggPFDC	b2869//b0643//b1400//b2339//ilvG_1//b4464//
cnu	b1493//
coaA	b3704//
coaE-zapD-yacG	b1654//b1489//b1868//
cobUST	b0790//rhmD//b2360//
codBA	b2996//b2175//
cof	b1036//
comR	b3171//
copA	b3615//
corA	b1483//
cpdB	b1446//
cpxPQ	b4128//b3683//
cpxRA	b4364//b0200//
cra	b2489//
crcB	b4196//
creABC	b0246//b2046//b2673//
creABCD	b1847//b2186//b4189//b3693//
creD	b2294//
crfC-yjcZ	b1436//b1692//
crl	b2641//
crp	b3951//
crr	ybeM_1//
csdAE	b3531//b4209//
csgBAC	b0206//b1061//b2712//
csgC	b2051//
csgDEFG	b2103//b1674//b0954//b1621//
csiD-lhgO-gabDTP	b0549//b3473//b1801//b0713//b3583//
csiE	b2025//
csiR	b2561//
cspA	b1707//
cspB	b1703//
cspD	ykiB//
cspE	b3622//
cspF	b1084//
cspG	b3205//
cspH	b2185//
cspI	b0573//
csrA	b3988//
csrB	b4426//
csrC	b2296//
csrD	b2680//
cstA	b4063//
cueO	b0153//
cueR	b1669//
curA	b3484//
cusCFBA	b0709//b0530//b0028//b3703//
cusRS	b2343//b1739//
cutA	b2534//
cvpA-purF-ubiX	b0649//b0237//b1435//
cvrA	b3465//
cyaA	insCD-3//
cyaR	b2633//
cyaY	b1380//
cybB	b2874//
cybC	b1886//
cycA	b2099//
cydAB	b2179//b3019//
cydDC	b3341//b4004//
cydX-ybgE	b3260//b0589//
cynR	b3421//
cynTS	b1480//b0434//
cynTSX	b2864//b0643//b4279//
cyoABCDE	yrhC//b0085//b4439//b0259//b0966//
cysB	b3453//
cysDNC	b0967//b4005//b4148//
cysE	b0643//
cysG	b0207//
cysH	b0807//
cysJIH	b3060//b2440//b2177//
cysK	b3587//
cysPUWAM	b0279//b2962//b1820//b3376//b4501//
cysQ	b1588//
cysS	b3582//
cysZ	b1694//
cytR	b3380//
dacA	b4271//
dacB	b1671//
dacC	b2979//
dacD	b4323//
dadAX	b3199//b0952//
dam-rpe-gph-trpS	b0379//b4616//yghE//b4047//
damX-dam-rpe-gph-trpS	b2207//b0118//ysdC//b4345//b0724//
dapA-bamC	b0517//b3308//
dapB	b2149//
dapD	b3576//
dapE-ypfN	b1392//b0436//
dauA	b0874//
dcd	b1107//
dcm-vsr	b0824//b3553//
dcp	b1725//
dcrB	b4422//
dctA	b0110//
dcuA	b3352//
dcuB-fumB	b1142//b0803//
dcuC	b1869//
dcuD	b2135//
dcuR	b2415//
dcuSR	b3971//b3198//
dcyD-tcyLN	b3478//b0527//b4376//
ddlA	b3812//
ddpXABCDF	b0859//b2294//b2468//b0874//b0582//b3765//
deaD	b3184//
decR	b0498//
def-fmt	b2963//b3707//
degP	b3041//
degQ	b4183//
degQS	b1543//b0225//
degS	b3134//
deoABD	b2106//b1029//b0857//
deoBD	b3684//b3938//
deoCABD	b2882//b0655//b3264//b0238//
deoR	b3701//
dfp	b3270//
dgcC	b1078//
dgcE	b1253//
dgcF	b3172//
dgcJ	b4468//
dgcM	b4100//
dgcP	b1297//
dgcQ	b0763//
dgcT	b0492//
dgcZ	b0461//
dgkA	b3677//
dgoRKADT	b3851//b2853//b1915//b3844//b1615//
dgt	b1259//
dhaKLM	b3365//maoP//b1543//
dhaM	b3791//
dhaR	b3782//
diaA	b3081//
dicA	b4479//
dicB-ydfDE-insD-intQ	b3873//b0279//b3367//b2489//b3168//
dicC-ydfXW	b2743//b0666//b0885//
dicF	b4381//
dinB-yafNOP	b1010//b3669//b2194//b1793//
dinD	b3407//
dinG	b1249//
dinI	b3075//
dinJ-yafQ	b1067//b1535//
dinQ	b3359//
djlA	b4331//
dkgA	b1327//
dkgB	b1861//
dksA-gluQ	b3651//b0921//
dld	b1211//
dmlA	b1503//
dmlR	b0733//
dmsABC	b3542//b4142//b0986//
dnaAN-recF	b0678//b0200//b0371//
dnaB	b2257//
dnaK-tpke11-dnaJ	b2254//b2189//b0434//
dnaN-recF	b4195//b3192//
dnaQ	b4302//
dnaTC	b2536//b2299//
dnaTC-yjjA	b0840//b0199//b1038//
dnaX	b0828//
dosCP	b0838//b0976//
dpiBA	b4597//b1988//
dppABCDF	b3860//b2631//b0201//b2230//b2783//
dps	b0621//
dsbA	b0218//
dsbB	b0601//
dsbC	b2050//
dsbC-recJ-prfB	ymdE//b1767//b4480//
dsbD-yjdC	b1760//b3499//
dsbG	b0336//
dsdA	b4539//
dsdC	mltG//
dsdXA	b2223//b1828//
dsrA	b3992//
dsrB	b1433//
dtpA	b1484//
dtpB	b2961//
dtpC	b3283//
dtpD	b2954//
dusA	b2988//
dusB-fis	b0089//b2215//
dusC	b4510//
dut-slmA	b0490//b3974//
dxr	b0234//
eaeH-insEF-1E-1F-1	b3925//ydbA_1//b4292//b2324//
eamA	C0614//
eamB	b2137//
ebgAC	b2870//b4058//
ebgR	b2976//
ecnAB	b4116//b2366//
ecnB	b4317//
eco	b4435//
ecpA	b0089//
ecpBCDE	b2045//b2125//b3807//b0526//
ecpR	b4308//
eda	b4224//
edd-eda	b3938//b3169//
efeOB	b4395//b0971//
efeU_1U_2	b1207//b2406//
efp	b1931//
elaA	b3365//
elaB	b2694//
elaD	b3902//
elbB-mtgA	b1788//b3288//
elfA	b1952//
elfDCG-ycbUVF	b3553//b1656//b3873//b3679//b0945//b0018//
elyC	C0067//
emrD	yifN//
emrE	b1896//
emrKY	b2708//b3565//
emtA	b3683//
endA	b0833//
eno	b3464//
entCEBAH	b3195//b2912//b2569//b1115//b3810//
entH	b1590//
entS	b1446//
envR	b1123//
envY-ompT	b1345//b2630//
epd-pgk	b0080//b3451//
epd-pgk-fbaA	b1455//b1967//b2288//
epmA	b0994//
epmB	b0539//
eptA	b0888//
eptB	b0150//
eptC	b0043//
erpA	b1462//
esrE	b1328//
essD-rrrD-rzpD	b1353//b3547//b3284//
essQ-ydfR-rrrQ-rzpQ	b4154//b3105//b0240//b1570//
ettA	b4288//
eutBCLKR	b3214//b1414//b3292//b0042//b2896//
eutHA	b3332//b3678//
eutNEJG	b4451//b0412//b4469//yghX_2//
eutSPQTDM	b4502//b3960//b2318//b0583//b3480//b0288//
evgAS	b3689//b0078//
exbBD	b3445//b0249//
exbD	b1171//
exuR	b0654//
exuT	b0791//
fabA	b2054//
fabB	b3407//
fabDG-acpP	b4474//b3055//b3685//
fabF	b1849//
fabG-acpP	b1570//b0021//
fabHDG	b1719//b3916//b3330//
fabI	b0557//
fabR-yijD	b0437//b2666//
fabZ	b2792//
fadBA	b0854//b2096//
fadD-sroD	b2726//b4157//
fadE	b1539//
fadH	b0712//
fadIJ	b3923//b1817//
fadL	b4502//
fadM	b4373//
fadR	b2049//
fbaB	b1886//
fbp	b3833//
fdhD	b3980//
fdhF	ybfG//
fdnGHI	b2207//b1164//b1990//
fdoGHI-fdhE	b1815//b0207//b0388//b2246//
fdrA-ylbEF-ybcF	b4371//b2611//b2788//b1884//
feaB	b1530//
feaR	b2200//
fecABCDE	b0225//b3586//b2828//b1219//b4173//
fecIR	b0400//b2287//
feoABC	b4290//b2951//b2197//
feoC	b0739//
fepA-entD	b3415//b0729//
fepB	b3331//
fepDGC	b1151//b0178//b3046//
fes-ybdZ-entF-fepE	ybfH//b1167//b1233//b0604//
fetAB	b3578//b0842//
ffh	b4116//
ffs	b2564//
fhuACDB	b4246//b0525//b2782//rhsE//
fhuE	b0369//
fhuF	b1876//
ficA-fic-pabA	b2097//b4271//b0132//
fieF	b3347//
fimAICDFGH	b0601//b3875//insX//b4124//b4235//b4436//b3598//
fimB	b4423//
fimE	b4179//
fimZ	b2473//
fiu	b4341//
fixABCX	b3788//b1226//b3858//b1589//
fklB	b1644//
fkpA	b1306//
fldA-uof-fur	b2837//b4300//b1955//
fldB	b2739//
flgAMN	b0971//b1861//b2560//
flgBCDEFGHIJ	b3193//b2422//b1876//b1709//b3609//b3242//b4347//b4472//b0436//
flgKL	b4293//b0593//
flgMN	ecpC//b1296//
flhBAE	b2201//b1666//b2177//
flhDC	b3772//b1287//
fliAZ-tcyJ	b0612//b4196//b4054//
fliC	b0244//
fliDST	b2290//b0104//b3454//
fliE	b1826//
fliFGHIJK	b1038//b0255//b2819//b0697//b2280//b1306//
fliLMNOPQR	b2322//b0399//b4331//b0938//b1312//b3478//b0842//
flk	b0713//
flu	b3908//
flxA	b4472//
fnr	b1033//
fnrS	b0260//
focA-pflB	b3043//b3255//
folA	b2483//
folB	b2314//
folC-dedD	b2423//b3862//
folD-ybcJ	b0118//b2722//
folE-yeiB	b3430//b0991//
folP-glmM	b3712//yeeL_2//
folX-yfcH	b3398//b1138//
fpr	b3039//
frc	b3637//
frdABCD	b2376//b3047//b3023//b0767//
fre	b2488//
frlABCDR	b2498//b1166//b3155//b1600//b3820//
frmRAB	b4360//b4190//b3845//
frr	b0466//
frsA	b0394//
fruBKA	b4445//b3568//b0692//
frvABXR	b1521//b2954//b4073//b0094//
frwCB	b0952//b1831//
frwD	b1860//
fryBC-ypdFE-fryA	yghX_1//selU//b2454//b0998//b1012//
fsaA	b0011//
fsr	b2367//
ftnA	b3262//
ftnB	b2659//
ftp	b0712//
ftsAZ	b0770//b3062//
ftsB	b4230//
ftsK	b0137//
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b2681//b3515//b3097//b1681//b1901//b3598//b1404//b2356//b3689//b3486//b0683//b1385//b0346//b3620//
ftsP	b3073//
ftsQ	b3442//
ftsQAZ	b3034//b4192//b1596//
ftsYEX	b0632//b1396//b4611//
ftsZ	b3867//
fucAO	b2077//b4603//
fucPIKUR	b3117//b2190//b2033//b3835//b4386//
fucR	b3865//
fumA	b1035//
fumAC	b3765//b1227//
fumB	b3165//
fumC	b2920//
fur	b1591//
fusA-tufA	b2893//b1435//
fxsA	b1205//
gabDTP	b4067//b3123//b0732//
gadAX	b1287//b3758//
gadBC	b3294//b4548//
gadC	b0293//
gadEF	b1976//b4704//
gadEF-mdtEF	b3900//b3313//b4420//b3446//
gadW	b2528//
gadX	b1280//
gadXW	b2807//b1715//
gadY	b2770//
galE	b2269//
galET	b2489//b3269//
galETK	b3941//b0813//b1887//
galETKM	b1010//b4714//b2729//b0711//
galF	b1751//
galK	b1729//
galP	b0280//
galR	b1013//
galS	b3394//
galU	b3974//
gapA	b4445//
gapA-yeaD	b3578//b1592//
gapC_1C_2	b3432//b2618//
garD	b3270//
garPLRK-rnpB	b1381//b4225//b1803//b0696//b2502//
gatR_1	b0439//
gatR_2	b3261//
gatYZABCD	b1046//b1294//b2328//b3274//b2696//b2667//
gatZABCD	b2863//b3825//b1804//b2425//b1761//
gcd	b1338//
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	b2859//b2526//b1778//b2673//b3515//b1308//b2875//
gcvA	b3863//
gcvB	b3121//
gcvP	b3445//
gcvR	b4172//
gcvTHP	b0598//b2018//b3087//
gdhA	b3439//
gfcA	b0882//
gfcBCD	b3278//b4482//b2189//
gfcE-etp-etk	b1249//b1801//b0167//
ggt	b0896//
ghoST	b2379//b3328//
ghrA	b2819//
ghrB	b4603//
ghxP	b2907//
glcBA	b0171//b2424//
glcC	b2186//
glcDEFGBA	b4085//b1975//b1195//b3676//b0350//b4328//
glf-wbbH	b3327//b2201//
glgAP	b2825//b2760//
glgBXCAP	b3850//b1702//b0025//b0006//b1011//
glgCAP	ykfJ//b1291//b2629//
glgS	b2567//
glk	b1889//
glmUS	b3479//b2106//
glmY	b2915//
glmZ	b2250//
glnA	b1637//
glnALG	b3565//b0582//b3343//
glnB	b1802//
glnD	b3219//
glnHPQ	b3793//b1925//b4328//
glnK-amtB	b3468//b1183//
glnLG	b4150//b2996//
glnQ	b4164//
glnS	b4021//
glnW-metU-glnVX	b3892//b2452//b1227//b1614//
gloA	b2461//
gloB	prfH//
glpABC	b4466//b3729//b2503//
glpD	b1414//
glpEGR	b1294//b2550//b1476//
glpFKX	b2806//b3939//b2463//
glpGR	b4433//b3543//
glpR	b2129//
glpTQ	b0329//b3941//
glrK	yhiK//
glrR	b3081//
glrR-glnB	b2506//b3034//
gltA	b0514//
gltBDF	b3197//b0928//b0545//
gltI-sroC-gltJKL	b1517//b0599//b3311//b0787//b3499//
gltP	b4168//
gltS	b3615//
gltX	b3785//
glvCBG-ysdC	b2210//b1339//b2934//b1230//
glxK	b4203//
glyA	b4219//
glyQS	b3935//b4075//
glyU	b2188//
glyVXY	b4484//b3597//b2989//
glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>	b2784//b2102//b0412//b1127//
gmhB	b1024//
gmk	b2155//
gnd	b2892//
gnsB	b3766//
gntK	b1733//
gntKU	b3396//b0786//
gntP	b3328//
gntR	b1963//
gntRKU	b4546//b4470//b3225//
gntT	b4370//
gntU	b1662//
gntX-nfuA	b1433//b1305//
gor	b3328//
gpmA	b2456//
gpmM-envC-yibQ	b1532//b3598//b2333//
gpp	b4526//
gpr	b0040//
gpt	b3890//
grcA	b2828//
greA	b3312//
greB	b2811//
groL	b4398//
groSL	b0427//b0786//
grpE	b4046//
grxA	b2821//
grxB	b4007//
grxC	b3002//
grxD	b2937//
gshA	b4454//
gsk	b1378//
gspAB	b0630//b3118//
gspCDEFGHIJKLMO	b3044//b0907//b2016//b1160//b1027//b1942//b0928//b2349//b3426//b1747//b2955//b0416//
gss	b2158//
gstA	b4209//
gstB	b2717//
guaBA	yedS_1//b4102//
guaC	b2578//
gudPXD	b2238//b3776//b0773//
gyrA	b1167//
gyrB	b2432//
hcaEFCBD	b3633//b4134//b3875//b0751//b1870//
hcaR	b0445//
hcaT	b0126//
hchA	b1598//
hcp-hcr	b2606//b0491//
hda	b3140//
hdeAB-yhiD	b3265//b4418//b4402//
hdeD	b2139//
hdfR	b2817//
hdhA	b1128//
helD	b1029//
hemA	b3536//
hemA-prfA-prmC	b3335//b2195//b0760//
hemB	b3027//
hemCDXY	b2175//b4208//b3464//b3781//
hemF	b0581//
hemH	b2490//
hemL	b0267//
hemN	b2663//
hflD-purB	b2468//b0025//
hfq-hflXKC	b4330//b1474//b0483//b4297//
hicAB	ecpC//b4518//
higBA	b3974//b4013//
hinT-ycfL-lpoB-thiK-nagZ-ycfP	b2424//b4341//b4387//b2022//C0664//b3079//
hipBA	b2611//ecpE//
hisBHAFI	b1453//b4704//b4016//b0527//b3432//
hisJQMP	b2538//b1563//b2283//b3576//
hisL	b1184//
hisLGDCBHAFI	b3314//b3917//b1492//b4105//wbbL_2//b4067//b1801//b4463//b2079//
hisS	b0649//
hlyE	b1636//
hmp	b1864//
hns	b1380//
hofMNOP	b2669//b3858//b1461//b3628//
hofQ	b2836//
hokA	ycgH_1//
hokB	b3550//
hokD	b0262//
hokE	b3293//
holC	b1569//
holC-valS	b1301//b2898//
holD-rimI-yjjG	b0741//b2787//b3566//
holE	b4433//
hpt	b3741//
hrpA	b3655//
hrpB	b4382//
hscBA-fdx-iscX	b3411//b1682//b0080//b1140//
hscC	b3338//
hsdMS	b2949//b4201//
hsdRMS	b2785//b0515//b1204//
hslJ	b3585//
hslO	b3595//
hslRO	insB-7_2//b0402//
hslVU	b2929//b2819//
hspQ	b3685//
htgA	b4598//
htpG	b2985//
htpX	b3793//
htrL	b1607//
hupA	b2201//
hupB	insB-7_1//
hyaABCDEF	b4510//b4202//b3922//b0499//b0159//b0735//
hybOABCDEFG	b1180//b2911//b1286//b0145//b4302//yjhW//b3700//b2170//
hycABCDEFGHI	b0513//b2889//b2066//b4174//b1913//b2716//b0293//b4461//b4272//
hydN-hypF	b1241//b0787//
hyfABCDEFGHIJR-focB	b0342//b3823//b2058//b3766//b0863//b4392//b2209//b3170//b1797//b0713//b3011//b0927//
hypABCDE	b4596//b4245//b0761//b0091//b0096//
hypABCDE-fhlA	b0945//b1857//b3167//b2961//b3753//b0762//
hypBCDE	b1913//b3704//b3500//b0774//
hypBCDE-fhlA	b2100//b0963//b4310//b3650//b2823//
hypF	b4406//
hypT	b1807//
hyuA	b3290//
iaaA-gsiABCD	b2472//b1090//b1174//insEF-5//b0580//
iap	b3520//
ibaG	b0843//
ibaG-murA	b1634//b0033//
ibpAB	b2790//b2611//
ibpB	b3542//
icd	b0837//
icdC	b4311//
iclR	b1755//
idi	b3696//
idnDOTR	b3993//b0263//b0191//b0377//
idnK	b0279//
idnR	b2139//
ihfA	b2644//
ihfB	b2104//
ileS-lspA-fkpB-ispH	b2674//b2924//b2178//b1904//
ileX	b2238//
ileY	b0468//
ilvA	b0617//
ilvC	b4111//
ilvEDA	b3064//b2745//b0264//
ilvIH	insEF-5//b2597//
ilvL	b2194//
ilvLXG_1G_2MEDA	b0223//yjgX_2//b3910//b1767//b3081//b1335//C0465//b1194//
ilvY	b2849//
inaA	b2442//
infA	b2462//
infC	b4127//
infC-rpmI-rplT	b1726//b2675//b2977//
insA-1AB-1B-1	b3330//b4044//b0898//
insA-2AB-2B-2-afuBC	b3195//b2007//b3177//b3089//b3313//
insA-3AB-3B-3	b1398//b4328//b2704//
insA-4AB-4B-4	b0980//b0630//b4611//
insA-5AB-5B-5	b2260//b3355//b4592//
insA-7	b0491//
insB-7_1B-7_2	b0556//b3666//
insC-1CD-1D-1	b4133//b2669//b4094//
insC-2CD-2D-2	b0378//b4397//b2660//
insC-3CD-3D-3	b4222//b4268//b1544//
insC-4CD-4D-4-ygeONM	b2692//b1293//b3185//b2090//b0447//b4565//
insC-5CD-5D-5-yqiGHI	C0465//b2224//b3172//b3743//b4388//b1955//
insC-6CD-6D-6	C0067//b2216//b0851//
insE-2EF-2F-2	b2358//b0451//b0863//
insE-3EF-3F-3	b2729//b4107//b0146//
insE-4EF-4F-4	b4000//b0337//b2939//
insE-5EF-5F-5	b3992//b2346//b3086//
insG	b0585//
insH-1	b1596//
insH-10	b3428//
insH-11	yedS_2//
insH-2	b4026//
insH-3	b1545//
insH-4	b3991//
insH-5	b2721//
insH-6	b4381//
insH-7	b0429//
insH-8	wbbL_2//
insH-9	b1924//
insI-2	b1577//
insJ	b1991//
insK	b2597//
insL-1	b2221//
insL-2	b4090//
insL-3	b1213//
insMI-3	b2469//b1648//
insN-1I-1O-1	b2294//b2766//b0368//
insN-2	b2976//
insO-2-yjhWV	b1843//b2709//b4114//
intA	b1105//
intB	b4025//
intD	b2169//
intF	b0997//
intG	b2659//
intS	b2842//
intZ	b2684//
iraD	b1300//
iraM	b1431//
iraP	b4393//
iscRSUA	b0808//b3105//sroE//b1134//
ispB	b2304//
ispDF	b0756//insCD-3//
ispG-sroE	b0592//b3569//
ispU	b3811//
isrB	b4319//
isrC	b3102//
isrC-flu	b2460//b0433//
istR-1	b0172//
istR-2	b0997//
ivbL	b4467//
ivbL-ilvBN	b4323//b1472//b3079//
ivbL-ilvBN-uhpABC	b2206//b3524//b2478//b2094//b2967//b0310//
ivy	b1438//
katE	b4060//
katG	b3899//
kbaZ-agaVWA	b2851//yncK_2//b3539//b2562//
kbl-tdh	b1278//b0154//
kbp	b3747//
kch	b1018//
kdgK	b1225//
kdgR	b2184//
kdgT	b1981//
kdpDE	b3171//b0851//
kdpFABC	b1060//b0438//b1611//b1823//
kdsA	b4152//
kdsC-lptCAB	b0218//ycgH_1//b3596//b0431//
kduD	b3624//
kduI	b2035//
kefFC	b0990//b2054//
kefGB-yheV	b0621//b3130//b3987//
kgtP	b2708//
kilR-ydaE	b3526//b2325//
kptA	b1127//
kup	b2908//
lacI	b0463//
lacYA	b1003//b3267//
lacZYA	b2169//b2959//b4428//
lafU	b3852//
lapAB	b0836//b1832//
lapAB-pyrF-yciH	b0612//b2941//b1410//b3721//
ldcA	b1663//
ldcC	b3318//
ldhA	b1123//
ldrA	b0470//
ldrB	b2085//
ldrC	b0946//
ldrD	b1834//
ldtA	b0413//
ldtB	b1844//
ldtC	b0401//
ldtD	b3506//
ldtE	b0635//
lepAB	b1585//b3954//
leuE	b2220//
leuL	b1802//
leuLABCD	b4386//b0093//b1093//b1581//b3243//
leuO	b2109//
leuQPV	b1150//b4513//b3382//
leuS-lptE-holA-nadD-cobC	b4358//b0959//b0061//b0865//b3881//
leuU	b2440//
leuX	b0154//
lexA-dinF	b4392//b4166//
lfhA	b3586//
lgoD	b4184//
lgoR	b2749//
lgoT	b3480//
lgt	b2599//
lgt-thyA	b0251//b2315//
lhr	b2372//
ligA-ypeB	b0698//b1368//
ligB	b2217//
lipA	b2386//
lipB	b1147//
lit	b2757//
