#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	insAB-4//
aroG	b0631//
aroH	b2069//
aroKB-damX-dam-rpe-gph-trpS	b0730//b1708//b1019//b3034//b2489//b1752//b0546//
aroL-yaiA-aroM	b2448//b2678//b1127//
aroP	b2067//
arpA	b4353//
arpB_1B_2	b1419//b0936//
arrS	b0173//
arsRBC	b2405//b3508//b4447//
artJ	b0969//
artPIQM	b3324//b4433//b1635//b4511//
ascB	b0075//
ascFB	b2040//b0520//
ascG	b1242//
asd	b4035//
aslA	b4264//
aslB	b1883//
asmA	b2536//
asnA	b0366//
asnB	b3327//
asnC	b0156//
asnC-mioC	b2922//b3533//
asnC-mioC-mnmG	b3670//b0847//b0154//
asnS	b4353//
asnT	b3949//
asnU	b3607//
asnV	b1693//
asnW	b0183//
aspA	b0599//
aspA-dcuA	b1839//b4076//
aspC	b0948//
aspS	b3743//
aspT	b1961//
aspU	b3484//
aspV	b0026//
asr	b0666//
astCADBE	b3068//b2923//b1875//b0210//b2579//
atl	b3521//
atoDAEB	b3472//b0700//b0142//b1808//
atoSC	b2578//b0374//
atpBEFHAGDC	b2837//b2056//b3783//b3126//b4422//b2431//b0903//b1341//
atpIBEFHAGDC	b4013//b1645//b2621//b4705//b1776//b0970//pbl//b3604//b1560//
avtA	b1249//
azoR	b0978//
azuC	b0804//
bacA	b0107//
baeSR	b2270//b4356//
bamA	b0328//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b0972//b4377//b3479//b1151//b0888//b2091//insB-7_2//b4215//
bamB-der	b4288//b1149//
bamC	b0940//
bamD	b1540//
bamE	b3087//
barA	b2367//
basRS	b0044//b0251//
bax	b3652//
bcp	b2891//
bcr	b1628//
bcsABZC	b1654//b4001//b0182//b4461//
bcsBZ	b3266//b0452//
bcsEFG	b4360//b3697//b1394//
bcsQ	b1383//
bdcA	b1856//
bdcR	b3696//
bdm-sra	b0608//b1371//
bepA-yfgD	b2990//b0338//
betIBA	b1612//b1809//b1194//
betT	b3805//
bfd-bfr	b2910//b3806//
bglA	b3559//
bglG	b1517//
bglGFB	b1741//b3765//b3871//
bglH-yieLK	b1888//b0702//b3712//
bglX	b2769//
bhsA	b4595//
bioA	b3030//
bioBFCD	b2238//b2955//b2825//b0661//
bioH	b1067//
bipA	b1133//
bisC	b3038//
blc	b1374//
blr	b4050//
bluF	b0802//
bluR	b2148//
bolA	b1261//
borD	b4285//
brnQ-proY	b0831//b1727//
bsmA	b1270//
bssR	b4565//
bssS	b4713//
btuB-murI	b2610//b0599//
btuCED	b0576//b3439//b3466//
cadA	rirA//
cadBA	b4022//b3329//
cadC	b2585//
caiCDE	b1310//b2505//b4219//
caiF	b3090//
caiTABCDE	b1096//b2160//b3477//b0618//b2719//b2183//
can	b0963//
carAB	b2447//b2748//
carB	b4028//
cas2	b2641//
cas3	b0384//
casABCDE12	b0518//b1344//b3737//b0182//b0475//b2634//b3965//
casDE12	b3202//b0352//b3774//b1627//
cbl	b3710//
cbpAM	b3998//b3291//
cbrA	b4463//
cbrB	b3303//
cbrBC	b1664//b3306//
cbrC	b0485//
ccmABCDEFGH	b2534//b3037//b3970//b3698//b1302//b3234//b0202//b1906//
cdaR	b1119//
cdd	b1655//
cdgI	b2495//
cdh	ycgH_2//
cdsA	b0185//
cecR-ybhGFSR	b0152//b3214//b1161//b1276//b2591//
cedA	b4301//
cfa	b1199//
chaA	b0414//
chaBC	b0563//b3470//
chaC	b0636//
chbBCARFG	b3087//b3330//b3744//b3532//b2186//b3031//
chiA	b2714//
chiP-ybfN	b0670//b0523//
chiX	b3141//
cho	b3403//
chpSB	b1404//b0231//
cirA	b2403//
citCDEFXG	b4378//b0989//b4283//gapC_2//b1921//b1580//
citT	b1514//
clcA	b0596//
clcB	b0904//
clpA	b2113//
clpB	b1752//
clpPX	b2359//b2482//
clpS	b0030//
clpX-lon	eaeH//b2298//
clsA-yciU	b3765//b4446//
clsC	b0146//
cmk-rpsA	b2532//b3798//
cmoM-mukFEB	b3313//b3491//b3128//b0312//
cmtBA-yggPFDC	b2824//b1138//b1761//b1563//yncK_1//b2137//
cnu	b1109//
coaA	tp2//
coaE-zapD-yacG	b0397//b1410//b1865//
cobUST	b3338//b4216//b4220//
codBA	b0762//b2177//
cof	b3209//
comR	b0682//
copA	b1003//
corA	ilvG_1//
cpdB	b1430//
cpxPQ	b2588//b3002//
cpxRA	b0515//b1420//
cra	b1182//
crcB	b2729//
creABC	b4114//topAI//b3167//
creABCD	b2240//b2707//b0051//b0858//
creD	b1860//
crfC-yjcZ	b3927//b3780//
crl	b3222//
crp	b4227//
crr	b0095//
csdAE	b2380//b4547//
csgBAC	b2837//b0867//b3716//
csgC	b0846//
csgDEFG	b2776//b3221//b0802//b0660//
csiD-lhgO-gabDTP	b3008//b1585//b3140//b0887//b0960//
csiE	b2671//
csiR	b3681//
cspA	yncK_1//
cspB	b3538//
cspD	b3719//
cspE	b0009//
cspF	insEF-4//
cspG	b1129//
cspH	b0013//
cspI	b0894//
csrA	b4419//
csrB	b4256//
csrC	b1539//
csrD	b1532//
cstA	b0568//
cueO	b1731//
cueR	b1679//
curA	b0993//
cusCFBA	b3743//b4487//b4618//b2673//
cusRS	b0870//b1190//
cutA	b0672//
cvpA-purF-ubiX	b1395//b0951//b0046//
cvrA	b0192//
cyaA	b4362//
cyaR	yghX_2//
cyaY	b2086//
cybB	b2496//
cybC	b3869//
cycA	b1466//
cydAB	b3383//b1998//
cydDC	b0116//b1704//
cydX-ybgE	b2268//b1862//
cynR	b0810//
cynTS	b4233//b3773//
cynTSX	b4042//b1223//b0496//
cyoABCDE	b1125//b2707//C0664//b4171//b4003//
cysB	b3454//
cysDNC	b3235//b3308//b3531//
cysE	b2575//
cysG	b1345//
cysH	b2252//
cysJIH	b4357//b1138//b4132//
cysK	b4155//
cysPUWAM	b3386//b1722//b0902//b0191//b2248//
cysQ	b0916//
cysS	b0059//
cysZ	b2680//
cytR	b1173//
dacA	b4121//
dacB	b3085//
dacC	b1034//
dacD	b4125//
dadAX	b2480//b2451//
dam-rpe-gph-trpS	b0127//b0145//b4470//b4510//
damX-dam-rpe-gph-trpS	b2872//b2688//b2921//b1667//b3211//
dapA-bamC	yhiK//b2241//
dapB	b4413//
dapD	b2411//
dapE-ypfN	b4219//b3919//
dauA	b4559//
dcd	b3614//
dcm-vsr	b0365//b0793//
dcp	b0163//
dcrB	b2855//
dctA	b3116//
dcuA	b2971//
dcuB-fumB	b2716//b0594//
dcuC	b2246//
dcuD	b0266//
dcuR	b1310//
dcuSR	b1710//b3220//
dcyD-tcyLN	b3606//b2139//b2461//
ddlA	b1512//
ddpXABCDF	b1860//b2543//b4379//b3211//b0557//b2791//
deaD	b2863//
decR	b3375//
def-fmt	b0834//b1331//
degP	b4474//
degQ	b3836//
degQS	b1356//ychE_1//
degS	b4045//
deoABD	b2138//b3226//b2465//
deoBD	b4226//b3802//
deoCABD	b4000//b0310//b2593//b0178//
deoR	b2137//
dfp	b3438//
dgcC	b4043//
dgcE	b2292//
dgcF	b4238//
dgcJ	b2681//
dgcM	b3555//
dgcP	b1573//
dgcQ	b2393//
dgcT	b0492//
dgcZ	pinH//
dgkA	b2010//
dgoRKADT	b1155//b1869//b0807//b2874//b3039//
dgt	b2801//
dhaKLM	b1751//b0890//b0325//
dhaM	b2103//
dhaR	b4453//
diaA	b2078//
dicA	b0897//
dicB-ydfDE-insD-intQ	b2259//b3012//b3802//b3314//b0754//
dicC-ydfXW	b1694//b2062//b3478//
dicF	b4221//
dinB-yafNOP	b1014//b2204//b0574//b2433//
dinD	b1792//
dinG	b3890//
dinI	b3272//
dinJ-yafQ	b0698//b0215//
dinQ	b0133//
djlA	b0062//
dkgA	b2522//
dkgB	b3615//
dksA-gluQ	b3196//b0710//
dld	b2441//
dmlA	b2905//
dmlR	b0584//
dmsABC	b1920//b0747//b3525//
dnaAN-recF	b4197//b0118//b4464//
dnaB	b4426//
dnaK-tpke11-dnaJ	b3418//b3296//b3426//
dnaN-recF	b4418//b0427//
dnaQ	b3234//
dnaTC	b3149//b1329//
dnaTC-yjjA	b3403//b3147//b4193//
dnaX	b2224//
dosCP	b2616//b1395//
dpiBA	b1986//b0174//
dppABCDF	b2092//b2204//b0041//b2483//b0856//
dps	b3020//
dsbA	b1172//
dsbB	b0958//
dsbC	b0194//
dsbC-recJ-prfB	b3250//b2038//b1617//
dsbD-yjdC	b1618//b0673//
dsbG	b1464//
dsdA	b4249//
dsdC	b2650//
dsdXA	b2493//b0152//
dsrA	b0824//
dsrB	b2106//
dtpA	b3214//
dtpB	b3959//
dtpC	b2061//
dtpD	b2924//
dusA	b3847//
dusB-fis	b3344//b2027//
dusC	b1497//
dut-slmA	b0996//b0355//
dxr	b4080//
eaeH-insEF-1E-1F-1	b1228//b1510//b4110//b3716//
eamA	insEF-5//
eamB	b0639//
ebgAC	b3333//b1141//
ebgR	b4342//
ecnAB	b4030//b2700//
ecnB	b4397//
eco	b4426//
ecpA	b0855//
ecpBCDE	b3773//b3963//b2683//b4159//
ecpR	b2532//
eda	b0320//
edd-eda	b2002//b0452//
efeOB	b1428//b0413//
efeU_1U_2	b4485//b3800//
efp	b4288//
elaA	b1672//
elaB	b4367//
elaD	b3464//
elbB-mtgA	b4241//b1157//
elfA	b3030//
elfDCG-ycbUVF	b1601//b3337//b2433//b0668//b2742//b2566//
elyC	b1286//
emrD	b1308//
emrE	b3057//
emrKY	b3769//b1390//
emtA	b2756//
endA	b3027//
eno	b1663//
entCEBAH	b2933//b1060//b3571//b2397//b0717//
entH	b4328//
entS	b1667//
envR	b0598//
envY-ompT	b2395//b1244//
epd-pgk	b1034//b1946//
epd-pgk-fbaA	b1157//b2109//b0883//
epmA	b2594//
epmB	b2323//
eptA	b0521//
eptB	b3996//
eptC	b4112//
erpA	b4011//
esrE	b1910//
essD-rrrD-rzpD	b1202//b0514//b2471//
essQ-ydfR-rrrQ-rzpQ	ecpB//b1424//b1275//b3179//
ettA	b4144//
eutBCLKR	b0944//b3472//b1061//b1390//b3361//
eutHA	b1112//b0595//
eutNEJG	b4380//b0970//b2225//b3083//
eutSPQTDM	b2809//b2219//b3487//b1020//b2418//b2677//
evgAS	b0568//b0734//
exbBD	b1566//b3097//
exbD	b2695//
exuR	b3062//
exuT	b0974//
fabA	b1462//
fabB	b0415//
fabDG-acpP	b2669//b2237//b3480//
fabF	b4052//
fabG-acpP	b3601//b3352//
fabHDG	b3970//b0845//b2540//
fabI	b1068//
fabR-yijD	b0255//b0107//
fabZ	b1656//
fadBA	b1866//b3518//
fadD-sroD	b4052//b2845//
fadE	b4357//
fadH	b0842//
fadIJ	b0623//b2534//
fadL	b3408//
fadM	b1907//
fadR	b4255//
fbaB	b2325//
fbp	b0768//
fdhD	b2335//
fdhF	b2829//
fdnGHI	b1623//b0234//b4558//
fdoGHI-fdhE	b4133//b4214//b2610//b4705//
fdrA-ylbEF-ybcF	b4337//b0771//b3413//b2423//
feaB	b1294//
feaR	b0830//
fecABCDE	b3142//b3830//b1502//b3353//b3164//
fecIR	b1013//b3277//
feoABC	b1701//b3661//b3786//
feoC	b4527//
fepA-entD	sdsN//b1661//
fepB	b1960//
fepDGC	b1820//b1514//b2294//
fes-ybdZ-entF-fepE	b2599//b3138//b3068//b0513//
fetAB	b0384//b3271//
ffh	b3438//
ffs	b2252//
fhuACDB	b4713//b2430//b0843//b4175//
fhuE	b2220//
fhuF	b1820//
ficA-fic-pabA	b1511//b1442//b2004//
fieF	b2712//
fimAICDFGH	b0738//b3105//b3679//b3784//b0072//b1403//b1833//
fimB	b3844//
fimE	b2027//
fimZ	b3938//
fiu	b3923//
fixABCX	b0608//b3425//b3796//b3207//
fklB	b1257//
fkpA	b0883//
fldA-uof-fur	b4021//b0870//b3096//
fldB	b4568//
flgAMN	b1666//C0719//b1140//
flgBCDEFGHIJ	b3862//b1083//b0793//b1159//b2285//b0203//b1477//b1849//b1069//
flgKL	b0841//b3043//
flgMN	b2950//b2591//
flhBAE	b2357//b2977//b1195//
flhDC	b2775//b2939//
fliAZ-tcyJ	b1780//b2055//b1353//
fliC	b1385//
fliDST	b2090//b0533//b1177//
fliE	b4033//
fliFGHIJK	b1533//b0708//b3524//b2484//b0090//b1184//
fliLMNOPQR	b4141//b0495//b4181//b2220//b2041//b3071//b0359//
flk	msrP//
flu	b2718//
flxA	b0586//
fnr	b1970//
fnrS	b0948//
focA-pflB	b1911//b1285//
folA	b4081//
folB	b1135//
folC-dedD	b3994//b1745//
folD-ybcJ	ybfO//b1976//
folE-yeiB	b1324//b2553//
folP-glmM	b3765//b4001//
folX-yfcH	b1060//b4548//
fpr	b3805//
frc	b0702//
frdABCD	sroA//b3182//b3961//b1604//
fre	b0597//
frlABCDR	b4347//b0242//b1522//b4199//b4121//
frmRAB	b3464//b3226//b0715//
frr	b3630//
frsA	b0560//
fruBKA	b0957//b2824//b0376//
frvABXR	b2442//b0415//b0624//b3854//
frwCB	b2778//b3565//
frwD	b2188//
fryBC-ypdFE-fryA	b1068//b4171//b0369//b2649//b1194//
fsaA	b0909//
fsr	b3232//
ftnA	b2816//
ftnB	b2350//
ftp	b3060//
ftsAZ	b3950//b3654//
ftsB	b2112//
ftsK	b0622//
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0758//b0798//b3893//b0010//b1414//b1015//b4257//b3668//b2124//b1146//b3723//b0739//b3599//b4010//
ftsP	b0180//
ftsQ	b0600//
ftsQAZ	b0176//b4116//b3204//
ftsYEX	b0513//b2029//b3620//
ftsZ	b0840//
fucAO	b4517//b2802//
fucPIKUR	b3594//b1489//b1992//b2056//b4223//
fucR	b3569//
fumA	b2734//
fumAC	b0223//b2709//
fumB	b2699//
fumC	b2403//
fur	b1191//
fusA-tufA	b4097//b0581//
fxsA	b2633//
gabDTP	b0181//b2434//b0706//
gadAX	b3271//b0485//
gadBC	b3428//b4419//
gadC	b0817//
gadEF	b2302//b1291//
gadEF-mdtEF	b4277//b4050//b3956//b3700//
gadW	b1586//
gadX	b2736//
gadXW	b0488//b3780//
gadY	b1597//
galE	b2396//
galET	b0095//b1361//
galETK	b1688//b2108//b2007//
galETKM	b2896//b3802//b1963//b3749//
galF	b3517//
galK	b0367//
galP	b1977//
galR	b0617//
galS	b2329//
galU	b2073//
gapA	insCD-6//
gapA-yeaD	b1359//b0077//
gapC_1C_2	b0584//b0886//
garD	eaeH//
garPLRK-rnpB	b4263//b4535//b0957//b1305//b4357//
gatR_1	b3491//
gatR_2	b0551//
gatYZABCD	b4484//b2686//C0664//b4340//b4243//b4209//
gatZABCD	b2523//b2929//b3950//b0469//b2330//
gcd	b0613//
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	b3588//b4182//b2048//b4465//b1765//b3213//b2919//
gcvA	b2057//
gcvB	b0535//
gcvP	b2179//
gcvR	b3255//
gcvTHP	b3960//b0606//b2298//
gdhA	b2404//
gfcA	b3447//
gfcBCD	b0798//b1174//b0991//
gfcE-etp-etk	b4052//b0518//b1383//
ggt	b1602//
ghoST	b3238//b4074//
ghrA	b3580//
ghrB	b0247//
ghxP	b2580//
glcBA	b3925//b2782//
glcC	b0952//
glcDEFGBA	b4226//b0811//b3605//b2912//b2089//b0715//
glf-wbbH	b4185//b1232//
glgAP	b4547//b4266//
glgBXCAP	b0637//b4118//b3653//b3432//b4260//
glgCAP	b0355//b1688//b1342//
glgS	b2468//
glk	b4026//
glmUS	b0784//b1861//
glmY	b0696//
glmZ	b4353//
glnA	b3741//
glnALG	b3560//b1310//b0373//
glnB	b3942//
glnD	b3325//
glnHPQ	b4111//b3056//b1810//
glnK-amtB	b0994//b1828//
glnLG	b2457//b1178//
glnQ	b3726//
glnS	b2239//
glnW-metU-glnVX	b1696//b0932//b0362//b3592//
gloA	b0459//
gloB	b1283//
glpABC	b3146//b3565//b0956//
glpD	b1322//
glpEGR	b1140//b2662//b0117//
glpFKX	b1219//b2126//b1810//
glpGR	b3703//b0806//
glpR	b3544//
glpTQ	b1719//b0786//
glrK	b1885//
glrR	b1785//
glrR-glnB	b0651//b3946//
gltA	b0905//
gltBDF	b2430//b2568//b1728//
gltI-sroC-gltJKL	C0614//b4463//b3811//b1880//insM//
gltP	b0118//
gltS	b1855//
gltX	b1752//
glvCBG-ysdC	b1931//b3986//b2126//b3079//
glxK	b4418//
glyA	b1700//
glyQS	b3490//b3798//
glyU	b1565//
glyVXY	b3825//b4170//b0457//
glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>	b0247//b3322//b1356//b0850//
gmhB	b0632//
gmk	b3979//
gnd	b4159//
gnsB	b3761//
gntK	b2145//
gntKU	b4577//b4266//
gntP	b0477//
gntR	b3193//
gntRKU	b0451//b0721//b2058//
gntT	b1468//
gntU	b1667//
gntX-nfuA	b0559//b2926//
gor	b1402//
gpmA	b1749//
gpmM-envC-yibQ	b3608//b1220//b0790//
gpp	b0080//
gpr	b0132//
gpt	insB-7_1//
grcA	b0322//
greA	b1571//
greB	b2476//
groL	b1884//
groSL	b1207//b4382//
grpE	b2758//
grxA	b4016//
grxB	b1081//
grxC	b3674//
grxD	b4200//
gshA	b4362//
gsk	b1548//
gspAB	b1397//b2451//
gspCDEFGHIJKLMO	b1426//b0270//b3251//b4413//gpr//b3542//b2639//b3095//b3588//b2959//b2722//b3639//
gss	b1962//
gstA	b1192//
gstB	b0932//
guaBA	b3862//b4373//
guaC	b3628//
gudPXD	b2177//b2273//sroD//
gyrA	b4046//
gyrB	b0940//
hcaEFCBD	b2465//b1706//b0570//b3616//b0032//
hcaR	b1728//
hcaT	b1312//
hchA	ylbE//
hcp-hcr	b0847//b0034//
hda	b1054//
hdeAB-yhiD	b1621//b1885//b1637//
hdeD	b2198//
hdfR	b4056//
hdhA	b4019//
helD	b1019//
hemA	b2102//
hemA-prfA-prmC	b2315//b3662//b4330//
hemB	b4084//
hemCDXY	b1268//b0955//b1350//b3708//
hemF	b3792//
hemH	b2382//
hemL	b2195//
hemN	b1334//
hflD-purB	b2392//b3678//
hfq-hflXKC	b2524//b3379//b0947//b0973//
hicAB	b4221//b3119//
higBA	b2330//b2739//
hinT-ycfL-lpoB-thiK-nagZ-ycfP	b0511//b1967//b2998//b0560//b1039//ecpE//
hipBA	b0975//b4039//
hisBHAFI	wbbL_2//b1976//b2040//b1911//b2680//
hisJQMP	b1322//b2407//b3351//b1729//
hisL	b1896//
hisLGDCBHAFI	b3038//b2324//b2948//b1640//b4008//b0198//b1129//b2749//b0308//
hisS	b0531//
hlyE	b2975//
hmp	b0367//
hns	b2759//
hofMNOP	b1293//b3097//b0166//b0257//
hofQ	b2485//
hokA	b0904//
hokB	b1499//
hokD	b2789//
hokE	b3658//
holC	b4338//
holC-valS	b0071//b2837//
holD-rimI-yjjG	b3811//b2377//b4312//
holE	sraA//
hpt	b2018//
hrpA	b0985//
hrpB	C0664//
hscBA-fdx-iscX	b1497//b0409//b2574//b1832//
hscC	b2794//
hsdMS	ycgH_2//b0925//
hsdRMS	b4177//b0880//b4359//
hslJ	b1204//
hslO	b0822//
hslRO	b1561//b1619//
hslVU	b1083//b4220//
hspQ	b2832//
htgA	b3607//
htpG	b3465//
htpX	gapC_2//
htrL	b1213//
hupA	b1855//
hupB	b2837//
hyaABCDEF	b2270//b3194//b0903//b1876//b4637//b1195//
hybOABCDEFG	b2501//b0147//prfH//b3790//b1889//b1821//b2350//b3863//
hycABCDEFGHI	b3626//b0759//b1044//b0896//b0128//b1893//b2119//b1009//b3903//
hydN-hypF	b0042//b3654//
hyfABCDEFGHIJR-focB	b3558//b4119//b3117//b3520//b1155//b3460//b3176//b1063//b3514//b4141//b0313//b4239//
hypABCDE	b3280//b0865//b0717//b2225//b3661//
hypABCDE-fhlA	b2254//b4313//b0603//b4176//b4475//b2458//
hypBCDE	b2610//b2698//b2316//b4047//
hypBCDE-fhlA	b2660//b2168//b2577//b0902//b3337//
hypF	b0134//
hypT	b2363//
hyuA	b1989//
iaaA-gsiABCD	b3312//b0484//b2381//b0647//b1849//
iap	b2904//
ibaG	b2994//
ibaG-murA	b4407//b1486//
ibpAB	b2041//b4714//
ibpB	b0805//
icd	b3214//
icdC	b3617//
iclR	b0139//
idi	b0607//
idnDOTR	b0485//b2682//b4248//b2282//
idnK	b1627//
idnR	b1841//
ihfA	b4180//
ihfB	b3775//
ileS-lspA-fkpB-ispH	b0909//b1708//yedS_3//b1006//
ileX	b4106//
ileY	b0355//
ilvA	b1379//
ilvC	b1476//
ilvEDA	b4436//b3174//b0778//
ilvIH	b4239//b3754//
ilvL	b2157//
ilvLXG_1G_2MEDA	b0403//b1559//b3473//b3480//b3184//b1193//b3188//b1089//
ilvY	b3290//
inaA	b4287//
infA	b2598//
infC	b0242//
infC-rpmI-rplT	b1244//b4333//b0555//
insA-1AB-1B-1	b3625//b1789//b3895//
insA-2AB-2B-2-afuBC	b2768//b1938//b1708//b3775//b1271//
insA-3AB-3B-3	b3038//b1191//b1055//
insA-4AB-4B-4	b2449//yegZ//b3910//
insA-5AB-5B-5	b1372//b0537//b3607//
insA-7	b3073//
insB-7_1B-7_2	b0215//b0967//
insC-1CD-1D-1	b3539//b2863//b1372//
insC-2CD-2D-2	b1649//b0822//b1812//
insC-3CD-3D-3	b2798//b4308//b1440//
insC-4CD-4D-4-ygeONM	b0633//b3986//b2260//b1544//b0867//b0369//
insC-5CD-5D-5-yqiGHI	b1433//b4148//b3680//b1129//b3456//b1645//
insC-6CD-6D-6	b2611//b1025//b1629//
insE-2EF-2F-2	b0322//b0761//b0219//
insE-3EF-3F-3	b3005//b2394//b3877//
insE-4EF-4F-4	b2908//b0643//b0627//
insE-5EF-5F-5	b2673//b3848//b1901//
insG	b2235//
insH-1	b3266//
insH-10	b3689//
insH-11	b3308//
insH-2	rirA//
insH-3	b4179//
insH-4	b1551//
insH-5	b2732//
insH-6	b3967//
insH-7	b3052//
insH-8	b2642//
insH-9	b2790//
insI-2	b2899//
insJ	b1066//
insK	b3962//
insL-1	b3533//
insL-2	b0061//
insL-3	b1333//
insMI-3	b1366//b1237//
insN-1I-1O-1	b1419//b1726//b0544//
insN-2	b1334//
insO-2-yjhWV	b1247//b1919//b2094//
intA	b4512//
intB	b4414//
intD	b1142//
intF	b2940//
intG	b1260//
intS	b1953//
intZ	b3421//
iraD	b1982//
iraM	b3317//
iraP	b3194//
iscRSUA	b0427//b2543//b3425//b1412//
ispB	b0403//
ispDF	b4504//b3374//
ispG-sroE	b0059//b4230//
ispU	b1234//
isrB	b2816//
isrC	b0992//
isrC-flu	b3152//b4241//
istR-1	b2829//
istR-2	b1342//
ivbL	b2201//
ivbL-ilvBN	b3472//b1767//b4181//
ivbL-ilvBN-uhpABC	b1666//b4100//b0813//b2685//b1895//b3360//
ivy	b3181//
katE	b1858//
katG	b1586//
kbaZ-agaVWA	b0619//b2236//b2544//b1865//
kbl-tdh	b1424//b3576//
kbp	b3136//
kch	b0214//
kdgK	b2356//
kdgR	b0392//
kdgT	b3061//
kdpDE	b1994//b2118//
kdpFABC	b2722//b1590//b4055//b3937//
kdsA	b0975//
kdsC-lptCAB	b0509//b3735//insM//b1755//
kduD	b3151//
kduI	b2246//
kefFC	b4014//b3624//
kefGB-yheV	b2807//b4687//b1010//
kgtP	b2485//
kilR-ydaE	insEF-4//b4545//
kptA	b1083//
kup	b1376//
lacI	b4066//
lacYA	b3637//b4132//
lacZYA	b1676//b1973//b0801//
lafU	b2754//
lapAB	b1847//b0983//
lapAB-pyrF-yciH	b1121//b2986//b1251//b3208//
ldcA	b0748//
ldcC	b0330//
ldhA	b1855//
ldrA	b3218//
ldrB	b2058//
ldrC	b0261//
ldrD	b3822//
ldtA	b1865//
ldtB	b2859//
ldtC	b2149//
ldtD	b4139//
ldtE	b3464//
lepAB	b2067//b0846//
leuE	b4022//
leuL	b0424//
leuLABCD	b3269//ilvG_1//b2598//b2810//b3113//
leuO	b2602//
leuQPV	b2624//b4075//b0003//
leuS-lptE-holA-nadD-cobC	b0117//msrQ//b3147//b0069//b3067//
leuU	b1884//
leuX	b4389//
lexA-dinF	b4030//b2238//
lfhA	b2505//
lgoD	b1279//
lgoR	b0999//
lgoT	b2387//
lgt	b1340//
lgt-thyA	b3294//b4159//
lhr	b2618//
ligA-ypeB	b0522//b3950//
ligB	b0316//
lipA	b0735//
lipB	b2081//
lit	b0056//
livJ	b1646//
