#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	potF//artM//
DsdC_neg	citD//
DsdC_pos	dsrA//yccT//
EbgR_neg	mgtL//ycjG//
EnvR_neg	ygiB//glpF//
EnvY_pos	ascB//lsrK//
EvgA_pos	rutF//treB//gntU//rhaT//fadL//sufS//pgi//metE//degP//bioB//kdpF//cirA//exuR//chbF//gspE//nanA//fabB//murF//psiE//
ExuR_neg	murG//ycjY//sbmA//yneM//ymjD//molR_1//sucD//puuR//nrfE//
FabR_neg	paaK//leuA//
FadR_neg	yhiM//rdoA//pstA//csgF//sgrS//kdpC//ulaA//dcuA//hyfF//fbaA//codB//
FadR_pos	dsrA//ydeO//nuoK//cecR//pheM//ybaT//osmC//agaW//ygbK//alsA//sroA//ulaE//
FeaR_pos	paaB//uspD//
FhlA_pos	tsr//mtlR//lhgO//purB//ibaG//cynX//fecR//aroH//wecE//sufB//ulaF//tdcB//mlc//pepD//fliD//iscA//pqiA//yecR//ddpF//nrfG//fadH//araA//adhE//ccmC//fucO//fliO//grxD//phr//fhuC//ydcV//
FlhDC_neg	ihfA//tyrB//ebgA//gspF//
FlhDC_pos	fliR//ydhX//yfdV//bhsA//ppiD//hdeA//ilvC//narJ//copA//rimP//creB//tolC//pspG//nagE//gor//dpiB//dinD//phnD//ccmC//dnaG//sufS//leuO//tyrB//aroF//frc//lldD//folE//paaA//seqA//cyoB//mtlD//hyfG//gyrA//mlrA//crr//manX//ccmE//dinG//ahpF//gdhA//pepD//isrC//caiT//gutM//ilvY//yjjZ//sufC//hybA//ada//napD//asnB//murG//fhuB//paaG//fhlA//bioF//cydC//dps//yccJ//nikB//xylF//ykgM//accB//nikR//metJ//yjeV//cynX//pfkA//purH//uvrC//ppiA//nanT//ahpF//phoQ//dgcN//purD//entC//glcE//
FliZ_neg	mhpT//gcl//pspD//dctR//prpR//grxD//pspF//glgC//hha//dinG//fnr//hypA//motA//astD//asnB//malZ//gntT//glpQ//dctR//aceB//glcF//
FucR_pos	hcaE//metH//bglG//phoR//feoA//rcnR//fecB//
Fur_neg	gadX//appY//glpA//ugpE//ydfE//ilvY//rstA//cspI//nuoL//dkgB//uxaC//cheW//hcaF//pspG//hycA//nanS//purK//yfdV//xapB//oppC//inaA//chbF//gspF//infB//bioF//tbpA//ruvA//flu//yccA//phoE//sucB//feoB//rhaB//mhpE//rtcA//galT//glpC//ftsW//fabZ//sufD//entF//narG//dinG//cydD//glmU//alsA//umuD//nikR//mraZ//tyrA//ppdA//ndh//glnL//crl//ptsH//phnC//hypC//exuT//degP//csrB//cueO//wzyE//atoA//fucU//lsrA//puuP//atoB//iscS//moeA//flgM//ttdA//ddpD//cysU//bioD//ruvB//trpR//gpmM//puuD//mdtA//fadI//cynT//araJ//nimR//ahpC//cynX//rcnB//ydfD//nuoM//cspD//ynjI//fecR//emrB//metE//fucA//ydbD//gltI//purA//gabT//hcaD//tauB//hyfE//cynR//infB//manZ//pqiA//ybbY//ycjY//tdcE//dkgB//rutA//aceB//lldD//rpmI//ahpC//katG//
Fur_pos	umpH//atoE//pspG//ssrS//hcp//yoeB//yciW//paaY//mazF//nagC//ribA//nagE//yeaH//fldB//pitB//uxuR//gspI//relA//malX//zraR//ydfH//
GadE-RcsB_pos	nikD//tyrB//entB//glgX//ybjN//bolA//dkgB//rbsA//fliS//
GadE_pos	metB//flhC//fliO//tktB//narI//rdoA//cysE//entH//yhiD//purL//fabD//rffG//tam//narL//gntU//yjhC//agaA//hokD//alkA//yaiA//gadF//hslJ//potI//nanT//insD//yhhY//intQ//sgrR//grxA//
GadW_neg	betA//dcuR//nrfD//tam//yhdW//ycjX//ydiU//thiP//wza//agaC//putP//
GadW_pos	katG//ompC//mdtA//exbB//lsrG//ugpB//hypC//higA//ybaT//flgK//ftnA//
GadX_neg	hyaE//puuB//yeaE//tadA//yqaE//guaA//
GadX_pos	yagK//speA//nikR//glcA//rffM//tomB//csgE//psd//yefM//dsbC//pspA//glmS//xapB//yeaG//ftsZ//uvrY//yidL//yeaE//ycjX//tdcE//srlD//ydfD//micF//fruK//ecpR//rutB//wecB//
GalR_neg	ydfH//citE//dsbC//yjeV//malM//evgS//potG//tomB//malG//aroF//
GalR_pos	araA//spy//ebgC//ygbK//
GalS_neg	cusA//mcbA//sgrT//mazG//nuoH//cusF//mraZ//fliT//nohA//cysC//
GalS_pos	dinQ//metF//alsB//dcuD//
GatR_neg	gspI//flgH//kbp//agaA//ybhR//rffT//
GcvA_neg	cynX//galT//ubiC//nrfE//
GcvA_pos	iscU//ppsA//yoaC//relB//
GlcC_neg	ihfA//
GlcC_pos	osmY//baeR//fliD//xylF//cysC//yegR//
GlpR_neg	rstB//ccmD//fadE//dhaM//argC//edd//ulaF//fhuB//hcaE//
GlrR_pos	galM//lpxA//tyrB//argH//ompW//
GntR_neg	pspD//ynbA//mdtC//infB//malY//ugpB//idnK//narH//hisM//sutR//ydeM//iscU//
GutM_pos	glnB//sucC//ppsA//aroL//hipA//fucK//hyi//
GutR_neg	decR//yfiR//garR//idnT//adiA//wecE//efeU_2//
HU_neg	argE//ccmC//xapB//gudD//rstA//nanC//acrZ//gadA//
HU_pos	lsrR//
HcaR_neg	oppF//
HcaR_pos	baeR//ccmB//accD//entE//motB//
HdfR_neg	flgF//ybjN//
HdfR_pos	trpR//napF//fdnH//
HigA_neg	pstC//lsrD//
HigB-HigA_neg	gspM//sucA//
HipAB_neg	hypC//wrbA//amtB//cas2//glxR//
HipB_neg	ugpB//ccmF//dtpA//fabI//gudP//appY//
HyfR_pos	fadE//ssuD//ydfE//uidB//nirC//wrbA//caiD//uspE//lsrR//ulaD//citX//cheW//
HypT_neg	idnK//allB//ahpF//ccmA//znuC//
HypT_pos	fucA//yiaM//cysH//fhuE//ndh//gntK//ydhT//dhaR//
IclR_neg	gspI//evgS//nimR//fimE//
IdnR_neg	osmB//tyrP//
IdnR_pos	pgpC//fixA//argR//norV//tfaQ//
IlvY_neg	lyxK//
IlvY_pos	trpE//
IscR_neg	metC//moaB//citX//allE//dapB//napA//gor//fau//crl//bdcA//rybA//ydfH//sufS//sufD//chbR//nemR//soxR//sutR//yqhD//zraP//purC//
IscR_pos	glcB//hisQ//mraZ//aceA//idnD//cysI//nhaA//ydfE//pnuC//pykF//ybhF//
KdgR_neg	ymgA//betB//
KdpE_pos	citG//mioC//ybaS//bioD//
LacI_neg	argH//paaG//appC//
LeuO_neg	sdhB//mngR//mlc//
LeuO_pos	fdhF//sulA//osmC//uhpT//prpB//add//potI//glnK//rfe//araC//lrhA//yiaO//psiE//tyrP//infB//hemL//mazF//nagB//
LexA_neg	garD//fepB//frdA//citX//dgkA//uidC//zraR//flgI//malP//relA//tdcC//ugpB//chbF//yfdV//rffH//fixX//cspI//pgm//rtcB//galM//hmp//metJ//emrB//gadF//murP//gudD//yhdY//ccmC//yeaH//mhpT//alaC//aroM//rseC//purB//metJ//appC//cusC//phoP//casC//phr//yrbL//fecA//murE//gcvA//dapB//tauB//frdB//lamB//tsgA//rbsD//gspJ//evgS//ftnA//phnH//ccmH//hyfJ//mhpE//ydeN//metR//
LldR_neg	yjjZ//cusA//btuB//
LldR_pos	rutC//lysA//narJ//
LrhA_neg	xylH//phoR//
LrhA_pos	murR//fadM//
LsrR_neg	feaR//manY//tyrB//ydeN//accB//oppF//rhaR//yjbH//pyrC//
LysR_neg	allE//
LysR_pos	ygiC//
MalI_neg	fhuA//malI//psiE//
MalT_pos	garL//csiD//tomB//gcvP//accB//glpX//gfcA//ddlB//aslB//moeB//
MarA_neg	fimE//tbpA//kbp//gspL//cvpA//icd//atoE//
MarA_pos	nupC//rhaR//rclA//epd//rcnR//rtcA//accD//ybjG//gabD//phnM//dhaR//uspA//intQ//ddpX//yqjI//hycI//hha//wzyE//mraY//hokD//aspA//mdtE//yfaE//degP//uvrA//ybiT//ccmB//malM//ydjM//rcsA//trpA//
MarR_neg	glnG//ymjD//mscM//
MatA_neg	yhiD//pfkA//cecR//rbsK//galP//yeiL//
MatA_pos	treC//oppF//
MazE-MazF_neg	fabB//fur//garR//
MazE_neg	tnaC//melB//baeS//
McbR_neg	alaS//
McbR_pos	gadC//hypC//sgrR//
MelR_neg	uvrC//idnK//ydeO//
MelR_pos	degP//isrC//fecR//
MetJ_neg	nuoM//gpmA//ymgA//lrp//yeiB//tdcE//hybA//deoC//fhuD//mazE//narX//gntU//garD//lgoR//ldtD//
MetR_neg	patA//puuA//
MetR_pos	aldA//amn//yfiB//bhsA//
MhpR_pos	rpiB//lldP//hyfD//ftsL//murF//paaY//
Mlc_neg	nrdD//gadY//fimE//napA//pheM//fpr//fliN//kbaY//ppdB//nikE//
MlrA_pos	potI//atoE//rfe//uxuA//fruA//araA//fadB//potG//glpT//ddlB//
MngR_neg	fliC//xapB//rybB//
MntR_neg	glcA//tpiA//purB//lsrA//
MntR_pos	murP//
ModE_neg	lysR//pspF//allD//trxC//ompW//nfo//yidL//cysD//leuA//casB//galK//nrdA//fliR//ybbW//erpA//
ModE_pos	dinG//gudP//oppB//iraP//fepC//glcF//mltF//ruvA//chbA//ccmF//cheW//dinJ//skp//yafP//hycB//mazE//cpxA//rclC//lrhA//argT//mngB//malM//gcvB//mntP//rdoA//rbsA//rhaD//nuoM//nikA//phoU//zntA//
MprA_neg	nagC//lpxC//ybdN//tpiA//tcyJ//hybO//
MqsA_neg	paaF//yjhC//decR//glmY//hipA//gadY//umuD//astB//
MraZ_neg	mntH//norR//cysD//bglJ//fixB//mhpC//chiP//ilvC//trpE//rpmI//ygiC//araE//xapB//mlc//intQ//gor//wzb//
MtlR_neg	chbC//yfdX//yhcH//
MurR_neg	leuD//alkA//gltF//
MurR_pos	rhaT//
Nac_neg	gnd//recN//fepD//tbpA//gntU//nanM//ugpQ//nrdF//nuoH//
Nac_pos	glcC//flgE//tsr//nuoA//ryhB//hybA//rutB//tam//yiaK//mtlR//gntP//ddpC//
NadR_neg	rutE//flgE//fumC//gcl//
NagC_neg	yjjZ//nirB//uhpT//pyrD//metK//garD//mioC//yiaN//iclR//hcr//glxK//yafN//lrhA//agaA//mtr//tdcE//gspC//acrZ//bioA//fumC//emrY//yoaC//argI//atoD//wzxE//ynfK//ascF//pspB//cyaR//nuoB//sdhD//aroP//cydD//
NagC_pos	fucK//argC//flgG//
NanR_neg	degP//yecR//moeA//nuoF//rhaT//rarA//rprA//cyoE//frdD//higB//
NanR_pos	fabG//
NarL_neg	slp//purE//marR//yhiD//speA//znuB//fimB//yhcH//idnR//argO//tauC//wrbA//ebgC//ahpC//hlyE//nirB//ygeA//gltB//gudD//hyfD//argA//hycG//cadC//phnG//nikB//yeaR//yeiB//xapA//ydcV//aceB//aceB//yebE//iscS//fecE//accD//mtlD//metB//arsB//aceF//glmS//bioC//phnN//xylG//alaS//gspM//rpoS//narJ//hyi//yoaG//yqaE//metH//mglC//rpoH//slt//gatB//yccJ//yccJ//yiaJ//fadL//uxuB//rplU//flgB//potH//pnuC//xapB//bolA//rstA//hisJ//dnaN//fliR//astB//pepD//casE//hycD//mraY//entF//rhaD//argB//cysH//iraP//ydfN//deoB//tnaB//dapB//nrdF//uhpT//allC//
NarL_pos	glcB//glgX//csgG//prs//ddpD//tolC//yciF//glxR//glxK//aroL//iraP//mepH//gltI//dapB//rstA//ftsI//flhB//prpE//rplT//tdcC//fabD//hyfH//malP//tomB//hyfR//hycF//zwf//truB//metY//puuE//fliN//araA//gspM//nemA//omrB//pspA//sufA//nfsA//dinJ//gspO//qseC//acrD//hybF//
NarP_neg	nrdA//phnD//ynbC//hokE//dsbA//uxaC//rhaT//nrdD//crl//flgE//phoQ//flgB//fliF//mqsA//fnr//fliR//metL//mglB//ssb//glmU//manZ//ftsQ//exbD//ygiC//cyoD//nagE//fabB//cysH//crr//lysO//uxaB//pspE//phnN//
NarP_pos	bioF//hslJ//ppiA//agaC//hns//gspM//relE//yaiA//nac//nhaR//garR//seqA//trxC//puuP//ppdB//pstS//tdcC//polB//caiF//crl//fabG//hycB//tomB//fdnI//dcuS//nanK//dhaM//idnD//emrK//rhaA//nfuA//wecC//
NemR_neg	fecE//moaA//lysO//
NhaR_pos	cysN//mltF//treC//nikD//hyfC//sufC//lpxC//
NikR_neg	mnmG//recD//yfiR//nuoA//metC//dinQ//
NimR_neg	fucR//gntP//
NorR_neg	fepD//
NorR_pos	galR//polA//
NrdR_neg	recX//yidL//lsrR//waaZ//ogt//dps//manX//ryhB//flhA//
NsrR_neg	glcB//hyi//fliK//phnC//atoB//agaA//rseC//ompC//narK//nikA//setA//cynT//cynT//gloA//glcC//entF//ruvB//nagB//dhaL//mhpT//ppc//recF//pdeR//ydfX//arsR//tadA//ompC//murP//rpiB//rcsA//rutA//hyaE//hyaF//lpxD//dinF//puuR//caiA//zntA//aslB//nuoN//purK//yjbF//csgC//bglB//yqjH//ynbA//leuA//flgK//argP//oxyS//dsbA//tbpA//allA//yhjA//sbcC//cspI//argE//gadY//hybB//gspL//mdtF//pgi//xylR//tnaC//caiA//lhgO//agaB//tdcA//mtlA//cas1//cyaR//gadB//narI//garR//malZ//fldB//mtlA//rffG//astE//aceK//betB//hyaE//ssuC//
NtrC_neg	chbB//rtcB//recN//phoE//feaR//recD//
NtrC_pos	rplT//folA//tktB//metA//alsA//copA//hslJ//rhaR//motA//emrK//lacY//araA//sufB//yeiB//metF//nrdF//yfdX//purB//purA//ascF//astC//ssrS//nagE//aidB//atoA//ulaE//hyaA//phr//paaF//napB//srlD//yhjX//putA//yibQ//grxA//tadA//rimP//sucC//dnaG//carB//oxc//flgA//murC//torD//tyrR//sucC//sufE//pncB//phnM//
OmpR_neg	ilvC//gcvA//yafP//fbaA//caiA//rutR//yedX//narJ//agaD//ymjC//fliI//baeR//
OmpR_pos	fliZ//betT//ppc//fliZ//aroM//flgK//idnT//hycD//ydhW//gspO//
OxyR_neg	narJ//gntK//ulaF//malG//ilvY//ldtD//narH//yjbH//melB//hybB//luxS//hns//
OxyR_pos	rseC//entS//wzxE//hisJ//mhpF//nagB//ugpA//hha//aceF//lsrB//hyfJ//slp//ppdA//dpiB//nadA//nrdE//symE//cysH//ccmB//caiE//appA//fucA//
PaaX_neg	speB//ompW//malT//hcaE//nanA//slp//epd//pepA//lldD//mtlR//zraS//exbD//galR//marB//
PdeL_pos	ydfD//
PdhR_neg	yiaN//ydcT//mhpE//cusS//fliM//xylH//tdcF//paaI//oxyS//feaB//dnaG//yhdY//dhaK//atoE//citG//paaH//hybD//nrfC//rpiR//dsdX//hycC//lrhA//ybiT//nrdG//ptsI//tauA//ynfH//znuA//sgbH//ybdZ//puuB//gatZ//pfkA//phoQ//artJ//feaB//
PdhR_pos	ymgC//cas2//evgA//dnaA//gadB//
PepA_neg	glmS//nuoG//ulaE//
PgrR_neg	dctA//artI//glpC//nuoC//marR//ssuB//sufB//fabZ//
PhoB_neg	yidL//nadB//fliZ//nagC//cydB//nanM//nuoL//hslJ//deoB//chbG//ubiX//pnuC//
PhoB_pos	yeaG//metR//gabD//pnp//crp//glmY//tauB//nagB//phnH//phnD//frdA//iscA//fucP//ppdC//purE//amtB//xapB//phnI//uxuR//adiC//glpX//purE//dnaG//idnD//flgH//lsrF//pnuC//cysP//gspH//gcvB//allA//alsA//tnaC//prs//dmsD//csgC//mpaA//asnB//glpD//moaE//prpE//marR//potF//gadB//mpaA//phoU//araD//ftsL//yqhD//ssuD//fadM//araD//csgD//
PhoP_neg	recC//sroC//puuD//lldD//emrB//norW//nadA//rplT//hyfF//phoH//hypE//
PhoP_pos	pspF//yiaJ//dgcC//ydfE//rplT//rutR//nikC//yjeV//sodB//yaiA//truB//mgrR//yegZ//flgH//yjbE//pitB//ftsA//znuB//galT//mdtA//ydeP//mgrR//torC//gspJ//focB//gatC//alaS//adiA//rimP//nikD//fdhF//paaA//yqhD//ftsK//fau//malQ//modB//nuoN//trpE//yebG//chbF//argF//metB//fucP//ytfE//flgI//ftsW//purH//
PrpR_neg	nmpC//
PrpR_pos	glmS//glpA//purR//pspG//
PspF_neg	relE//
PspF_pos	cynS//oxyR//phoR//appY//asr//tehB//
PurR_neg	dicC//dnaN//ynbC//pdeL//uidB//glcE//aroL//yjhB//cysH//hemL//leuD//znuB//paaX//wecC//speA//ybdZ//glnQ//rhaT//rcsA//aceE//cho//uxuR//rplT//paaC//sucC//pheT//hyfD//baeS//bglB//ybbY//carA//
PutA_neg	fliL//feoB//
PuuR_neg	psd//yoeB//ccmB//katG//hisM//gabP//argD//
QseB_pos	mpaA//ybhS//purK//fliF//
RbsR_neg	appC//ydcS//entA//malP//betA//sdhC//garK//cspD//
RbsR_pos	rseA//
RcdA_neg	nadA//yebE//
RcdA_pos	ydiV//paaD//dcuA//lamB//ecpA//dhaM//hcp//
RclR_pos	leuO//araF//allE//
RcnR_neg	hyaC//pgaC//agaB//
RcsAB_neg	aceK//ampC//atoA//fabG//mpaA//csgG//
RcsAB_pos	gabT//rutR//fadJ//purB//gltB//nuoC//galT//fliQ//allC//mioC//
RcsB-BglJ_pos	umuD//sufB//yciW//wzzE//tyrB//xylG//csgG//cusB//nikE//ssuE//insK//mhpE//efeU_2//cyaR//casC//ada//
RcsB_neg	cysW//fabA//
RcsB_pos	wcaA//leuD//tauA//yqjA//alsC//ompW//ydeO//ynbC//deoC//gutQ//ddpF//yeaE//nanC//aspA//relA//fixB//insK//citG//iscR//leuO//yciE//metH//nhaR//
RelB-RelE_neg	bioA//pgm//bolA//
RelB_neg	sgbE//malP//emrA//
RhaR_pos	ldtB//astA//
RhaS_pos	cadB//ygiB//rimK//glgB//metF//glcE//
Rob_neg	rpoD//
Rob_pos	aceB//fadR//dinJ//rclC//xapB//kdpC//nagA//ddpF//ccmD//potI//nhaR//cynR//hipB//yafN//mnmG//srlR//ugpC//carB//prpE//accD//entA//glcE//katG//mdtF//rplU//
RstA_neg	flgF//nuoL//gcvA//xapA//lexA//
RstA_pos	tktB//ydhX//entH//purM//ptsG//
RtcR_pos	cusB//fucI//
RutR_neg	csgG//yjjQ//metJ//rutF//artI//hyfG//trpD//chbG//garD//ung//ruvA//pheS//yqhD//trpR//glnH//
RutR_pos	fabI//fepA//
SdiA_neg	cspE//hokE//nikA//
SdiA_pos	malK//pgaD//nanC//
SgrR_neg	artM//ybaS//ilvC//aceA//patA//
SgrR_pos	pspE//yfiR//fes//ybjN//
SlyA_pos	btuB//
SoxR_neg	yhbS//
SoxR_pos	rffT//csrB//
SoxS_neg	ssuA//fadL//
SoxS_pos	qseB//mzrA//ftsZ//ydfD//setA//fixB//glcB//rnpB//thiQ//hycA//marB//cydD//ybhF//rybB//rclA//gspL//ugpB//betI//nfsA//phnK//copA//recN//bioA//atoB//cpxP//yafO//gntP//dmsC//ompC//garP//flgK//araH//fliD//uidC//pgaB//caiD//flgL//allD//
StpA_neg	infB//hipA//aceA//nuoE//iscA//yhbS//puuC//
SutR_neg	ubiC//nuoG//asnC//gspD//hyaA//
SutR_pos	tauD//
TdcA_pos	fliF//malT//dcuS//trpC//ycdZ//entS//ybdZ//
TdcR_pos	mtlA//narH//hybE//hisM//rcsA//cvpA//hyi//
TorR_neg	uhpT//ftnA//metA//
TorR_pos	murD//gadE//ugpQ//yeiB//malP//napB//recF//cyoB//nuoL//
TreR_neg	dapB//insD//
TrpR_neg	ydcS//sdhA//ybaT//pspG//phoE//flhC//pheS//cyoE//carA//paaF//tdcB//fucK//
TyrR_neg	hyfC//sodB//leuD//yciG//wcaB//pstA//flhC//tbpA//ftsL//bioB//
TyrR_pos	rhaS//mntH//nagE//
UhpA_pos	araC//
UidR_neg	sulA//glnA//gor//pqiA//
UlaR_neg	rbsD//dcuB//iclR//ogt//wzyE//rhaD//kbp//
UvrY_pos	rclA//nimT//hypC//purN//moaD//
UxuR_neg	gabP//cpxP//glnL//lpxC//yfdE//gyrA//gspJ//bglF//fepB//
XapR_pos	rpiB//ptrA//
XylR_neg	gcvA//
XylR_pos	seqA//mlrA//nrdH//higA//gntK//casA//
YdeO_neg	yaiW//putP//
YdeO_pos	leuB//hypC//prpC//mipA//uof//narG//yaiA//napF//narL//paaI//fecE//hmp//oxyR//ppiD//treC//umpH//fepA//nrdH//nrdD//
YedW_neg	ycjF//crl//gspL//exuT//gltJ//
YedW_pos	hyaA//gadA//puuB//ydhT//glxR//aroP//ybjC//
YefM-YoeB_neg	mraZ//yjhC//
YefM_neg	yiaK//intQ//
YehT_pos	gspH//
YeiL_pos	wzxE//
YiaJ_neg	cheW//ugpE//rnlB//cyoE//molR_1//yciG//baeS//gutM//nfsA//dps//
YjjQ_neg	frdB//dpiA//ftsW//gntX//cynR//garR//katE//fliJ//yoeB//nikC//
YpdB_pos	cysP//
YqhC_pos	ftsL//ynfH//
YqjI_neg	tadA//cpxP//
ZntR_pos	leuO//
ZraR_pos	yqhG//ppdA//ccmC//
Zur_neg	codB//polA//tnaC//csiD//pstS//puuC//
