#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ydbK//rpmA//
EvgA_pos	ynbC//yccA//hyaA//ftsL//uvrA//cadC//cpxP//rpiB//rpoE//ahpC//fruB//ada//lrp//lyxK//narX//yoaC//yhjC//pgpC//cra//
ExuR_neg	argE//poxB//cadC//ruvB//alaS//ymjC//tyrA//mgtL//gntT//
FabR_neg	murC//tyrR//
FadR_neg	paaK//higB//ykgM//tdcD//glmU//ycjX//csgA//rpiR//gloA//trxC//mhpF//
FadR_pos	nagE//csgE//tsr//ascB//fadE//zraP//slyB//hypB//acrB//argO//ihfA//rob//
FeaR_pos	puuR//oxyS//
FhlA_pos	aceE//pspF//wzc//gcvA//hyfG//recB//recD//yneM//malK//kbaY//ccmG//hypC//asnC//rcnR//ppc//gspG//exuR//cysJ//allA//cynT//ebgA//cynR//tktB//recF//nanA//lon//gadB//exbD//metN//fhuD//
FlhDC_neg	ybdZ//nuoL//pspF//rutR//
FlhDC_pos	dsrA//hcaB//acrZ//fadE//cvpA//yccJ//nikD//ydfN//glpC//appB//rnpB//entB//yafO//hcp//tbpA//skp//hypF//idnO//trpC//ybdN//hybO//ftnB//prpD//intQ//fixC//cirA//dsdX//fepG//bacA//tnaB//zraR//yidQ//phoQ//infB//lrp//gntU//ssuB//fadB//higA//hemL//trpB//appA//lysR//efeU_1//mglB//metC//allS//mntP//ydhW//nfsB//murP//ihfA//accA//ybdZ//efeU_2//tehA//phnE_1//yaiA//ydcV//ftsW//ahpC//fliH//wzzE//yeiL//yiaN//gltL//relB//pstA//garK//uof//efeU_1//dgkA//aceE//sgbH//mnmG//zraP//higA//alsE//
FliZ_neg	entA//recD//cysH//fadA//ppdA//mngB//hisP//mhpB//atoA//metL//cirA//ynfK//fimE//casC//idnR//entF//ugpC//iscA//rclB//mlrA//soxS//
FucR_pos	ftnA//ppsA//tdcD//mpaA//leuA//uspE//alsE//
Fur_neg	nuoA//betI//flgE//dkgB//rsmH//iraM//rcnR//manY//rbsC//mhpD//xylG//ugpQ//pgi//dnaG//galP//cyoB//hcr//yafQ//bdm//rarA//ydcU//nuoL//pgm//aceE//sgrR//ulaA//ddpB//ptsH//fhuC//yiaN//pstB//nuoI//oppB//ycgZ//btuB//hyfF//ydeP//lysP//ompN//hycB//rnlA//hybA//rpsU//yccA//yjhC//mhpD//dinG//cysI//atoB//murI//potF//atoA//flhB//gatA//yncE//hybO//nagE//symE//ecpR//lyxK//yjbF//yafQ//gpmM//nikA//trpL//uxuA//appC//napB//nrfB//mhpT//fimE//dhaL//qseB//fldB//moaC//bglF//rseA//yecR//creB//ddpF//uxuB//dps//speA//ldtB//citG//nuoK//fucR//dpiB//feoB//mdtC//flgM//hybO//mtlA//psiE//efeU_1//chbA//rclB//hns//cheW//yciX//mdtE//rcsA//allD//uhpT//hslJ//araB//glxK//crl//sodB//rpoS//sulA//insD//rpoH//lysP//appY//
Fur_pos	glpD//dinJ//rhaD//metJ//higA//ybaS//cas2//hcaB//aidB//isrC//chbA//ydfW//dapB//tyrP//malS//fliO//nrfA//ftsA//phnL//betA//fes//
GadE-RcsB_pos	nanT//amn//treR//dapB//argT//frc//ddpC//yjbF//nrfF//
GadE_pos	phnE_1//hcaC//astC//argH//ptsG//entC//fliF//cysA//sroA//truB//sdhA//slt//bdm//ppiD//hypB//yhdW//nupC//hcaC//artM//patD//glpQ//gspG//xylA//flgF//pheS//allB//appY//yiaK//creD//
GadW_neg	dinI//fucI//glyA//dmsC//fixB//dcuS//betI//chbG//gspG//glpC//osmB//
GadW_pos	ftnB//paaH//ybbY//metJ//mngR//cysG//sutR//malI//fnr//yjeV//entF//
GadX_neg	sufA//tolC//hisM//malE//argI//rpoS//
GadX_pos	accC//uxuB//aceA//dapB//sucC//aceF//ugpB//mprA//rfe//ygaC//nagC//fliE//prs//ompW//hycG//cysD//pitB//malM//mzrA//rclA//sufA//gpmM//glnP//tpiA//rstB//glnD//uxaC//
GalR_neg	astB//cysE//fumC//dinI//agaI//htpG//gltF//cyoB//mdtC//gadA//
GalR_pos	ydeI//fepB//soxS//galP//
GalS_neg	galR//dgcC//metK//fabB//nrdD//caiD//metI//glcE//ahpC//truB//
GalS_pos	fecD//dnaA//phoB//iscR//
GatR_neg	hcaD//dsdX//copA//pgaA//murD//wzb//
GcvA_neg	entE//qseC//nanA//katG//
GcvA_pos	eda//uidB//ycjG//fdhF//
GlcC_neg	mgtA//
GlcC_pos	nadA//accB//betT//asr//gnd//nupC//
GlpR_neg	malS//mlrA//hcaB//ruvA//pyrC//gntK//ribA//slyB//glpD//
GlrR_pos	artP//murI//iclR//nuoK//argH//
GntR_neg	yiaL//obgE//yeaD//ynfK//fadH//wza//prs//tdcA//gltI//dmsC//znuA//nikD//
GutM_pos	potH//phnC//glgA//rpiR//ubiX//dhaM//nac//
GutR_neg	fucR//rffT//cysU//hybD//rpoH//bglG//ynjI//
HU_neg	zraS//tbpA//rpiB//ttdA//ycdZ//bacA//cysH//moaB//
HU_pos	entA//
HcaR_neg	emrY//
HcaR_pos	rutE//dsdX//pstA//agaB//fliK//
HdfR_neg	yjbE//dctR//
HdfR_pos	aroF//uvrC//mhpD//
HigA_neg	pncB//bdcA//
HigB-HigA_neg	ccmF//mzrA//
HipAB_neg	pdhR//ydbD//cysB//argO//hyaE//
HipB_neg	entA//hybD//paaZ//cysG//gabD//feaB//
HyfR_pos	fecR//tauA//rcnB//accA//mioC//glnG//frdA//nuoM//cydC//yhcH//hflD//rtcB//
HypT_neg	yjiY//ribA//prpR//gadB//nuoF//
HypT_pos	ugpE//kbaZ//argD//hybC//nanS//fliK//nhaA//gcvH//
IclR_neg	fliZ//gspK//lsrA//csrB//
IdnR_neg	tyrR//glmY//
IdnR_pos	agaC//ybfN//tyrA//malG//ykiA//
IlvY_neg	dgcC//
IlvY_pos	cspD//
IscR_neg	dnaG//ulaC//serA//omrB//lldR//rclB//tynA//sbmC//metI//flgG//ymiA//ydbD//gntP//rpoD//rimK//xylA//pstA//codA//mdtF//accA//glpT//
IscR_pos	melR//yhbS//uxuB//rpoD//alsE//fadB//ilvC//idnO//ycjX//poxB//relB//
KdgR_neg	fliT//yciF//
KdpE_pos	adhE//mntS//ugpE//fliA//
LacI_neg	ftsI//metA//cysP//
LeuO_neg	metK//fau//rpoH//
LeuO_pos	insK//paaJ//bluF//bioF//ydhT//ydbD//nrfG//pdeR//xapA//focB//mhpE//asnC//uvrB//yeiB//prpC//ptsI//entE//ftsQ//
LexA_neg	sgbH//mqsA//ppdB//allE//hisJ//trpB//flgI//gdhA//cysD//lsrA//adiC//fixA//fumC//hypB//lsrD//puuC//murE//marA//argA//fliF//mglA//iscR//nac//gcvT//nimR//hybA//murC//cysD//yccT//exbD//mazF//argF//fucU//nuoA//recN//fadD//fruA//ftsW//garL//ilvC//yhbS//ybhL//galP//yafO//kdpF//purM//yoeB//nemA//fliL//ydfH//speB//pgaD//nagC//ppdA//ftsK//sucA//gyrA//accB//accA//
LldR_neg	hcaR//puuE//pgm//
LldR_pos	artQ//yedX//hcaE//
LrhA_neg	glpC//ssuD//
LrhA_pos	argT//bglF//
LsrR_neg	malY//trpR//fliC//hyaD//lysP//ompW//dkgA//fdnI//bioA//
LysR_neg	fhuA//
LysR_pos	ddpX//
MalI_neg	yfiB//yefM//rpoE//
MalT_pos	dmsD//degP//creB//ydeN//acrZ//bglB//umpH//bacA//purR//murQ//
MarA_neg	rbsC//fecA//marA//yegZ//citC//pyrC//ydeI//
MarA_pos	narH//gspC//citG//ldtD//modB//rclC//nuoA//argO//malX//hokD//dctR//wcaA//sufB//ygeA//isrC//dapD//cysJ//yjbG//cusC//ymgA//rhaR//ssb//osmC//nrdE//nirD//yhdY//emrA//ryhB//wzxE//arsB//cheA//
MarR_neg	ymjC//garL//nirD//
MatA_neg	ymjD//glnQ//ydhX//yjhB//nirC//wecC//
MatA_pos	ynfK//malS//
MazE-MazF_neg	nrdH//artP//cas2//
MazE_neg	rutB//phoB//edd//
McbR_neg	malQ//
McbR_pos	ppiA//dnaA//pgaB//
MelR_neg	yjhC//sroA//gspD//
MelR_pos	appA//crr//paaD//
MetJ_neg	fepG//mgtL//pqiB//gspJ//ftnA//yeaD//sucC//bglF//purH//rutR//gnd//murR//pgm//yecR//ttdA//
MetR_neg	ygdB//srlA//
MetR_pos	pnuC//gatB//deoD//murP//
MhpR_pos	mzrA//entH//mnmG//nuoN//napF//ynfH//
Mlc_neg	mazE//guaB//umuD//rstB//uidA//gabT//uidB//tsgA//gltI//yciG//
MlrA_pos	lgoR//fabZ//fimB//lamB//leuD//dcuR//argG//pstB//rclA//yjbE//
MngR_neg	feoC//pheM//astD//
MntR_neg	cynR//tnaB//glcB//cysE//
MntR_pos	dctA//
ModE_neg	thiP//hcr//wzc//mdh//yhbT//ydfE//sodA//hyaA//tyrR//wecE//dpiB//pyrD//gpmA//flgK//skp//
ModE_pos	yibQ//hflD//purB//ychF//ryhB//fumC//csrB//uxaC//argT//cydA//caiC//araC//astD//cynS//nadB//garD//cysJ//astB//mhpT//motA//csgA//napB//uxuB//ygaC//srlA//rplT//hcaD//wcaA//yiiS//metQ//torA//
MprA_neg	hyfC//gspC//rimK//dctR//flgM//rpiR//
MqsA_neg	yjhB//xylA//tsx//phoH//fhuD//yneM//rtcB//hybE//
MraZ_neg	mazE//csiD//leuO//yafP//atoE//gltL//purL//yjbE//pgaB//hcaD//cysJ//ulaA//cbl//glnG//phoP//dgcC//hyaB//
MtlR_neg	nikE//allC//glgX//
MurR_neg	tadA//fhuA//hipA//
MurR_pos	entB//
Nac_neg	ydbD//glpC//sucD//tdcE//lrp//lrhA//gcvT//nrfA//dgcZ//
Nac_pos	purA//dapD//rffH//fliM//glgA//glnA//allA//uxuB//fhuC//rpoH//appC//tsr//
NadR_neg	mntH//aceE//cysW//moaC//
NagC_neg	kdpB//astC//gadC//rseB//dacC//ygbA//ssuC//nuoH//moeA//fucK//ynfG//dinG//rclA//mazG//mngB//yecT//paaX//fau//lexA//dinI//yjhC//pnp//uspE//mqsR//umuC//oppF//srlR//flhA//oppD//nanS//ruvB//pstA//glpF//
NagC_pos	argT//erpA//melR//
NanR_neg	rybA//gadA//murF//yiaJ//dsdC//exbB//fliP//yiaO//dacC//ldtC//
NanR_pos	yeaH//
NarL_neg	hcp//evgA//fur//ydfN//pspD//leuC//metY//nuoE//ebgC//feoA//aidB//cyoB//fldA//flhC//fliM//ybhL//cydD//modA//mscM//idnK//murQ//pspA//mdtF//ybhS//chbB//lysC//glpQ//ribA//fimE//uxaC//fhuA//hycI//fucU//narG//fadR//nmpC//trpA//garK//chbC//cysA//yciF//cho//hcr//dsdC//uxuR//bacA//yhjX//hipB//dgcZ//hyaE//sutR//puuC//uvrB//ydcV//phoB//cdaR//glpQ//gspH//napH//fliE//glyA//xylG//tnaC//tehB//yjbF//alkA//phoH//bamE//manZ//rhaS//lysP//idnR//araG//flgD//intQ//yhhY//alkA//rcnB//rhaA//hycF//dinQ//prpC//gabT//dmsD//yhdZ//zinT//puuC//
NarL_pos	oppF//atoD//citG//yhdX//betT//cyoC//purF//phnO//pepA//trxC//oppB//rpoE//wzyE//metN//ycjX//flgK//cusF//yaiA//trpD//baeR//torD//gor//rbsD//hybF//bglJ//fau//ecpA//yfdE//lsrD//hycE//ynfK//glcD//paaB//hyaB//yagK//nusA//icd//glnA//glnH//fliA//rpiR//murE//puuD//
NarP_neg	metK//mhpD//rimP//tsgA//ydcU//nuoI//casE//fadL//purR//xylG//galT//prpD//rnpB//pstS//hycH//omrA//gcvH//citC//fruB//lon//uxuR//ppiA//mipA//fucP//srlB//aroM//caiD//flgH//ygbA//casB//malQ//wza//creD//
NarP_pos	rffC//phoE//grcA//tdcE//uxaC//citD//dpiB//nikD//pnuC//hcr//ecnB//napA//thiP//glcG//leuA//glgX//ttdB//nanE//alsB//phoH//lysP//araD//casB//exuR//ygiC//torD//pgm//focA//araD//aceK//mdtA//ydhT//
NemR_neg	xylF//nrdH//araD//
NhaR_pos	rcnR//dhaM//mioC//baeR//sucD//tonB//murE//
NikR_neg	gspH//citG//napH//micF//ccmE//umpH//
NimR_neg	alsE//fucR//
NorR_neg	umuC//
NorR_pos	yfaE//yjhB//
NrdR_neg	ynbB//pck//fliO//yciF//glcA//chbC//wzyE//nirD//metH//
NsrR_neg	frdA//cspD//omrB//thrS//tyrP//idnR//moaC//uvrB//ompT//hslJ//rutE//pspF//ascB//bhsA//mtr//fadR//intQ//paaY//wrbA//cas1//treC//hypB//ycjG//fecA//gatC//hipA//ulaF//insD//fepD//malX//acrR//lacZ//hdeB//ydcT//malS//hokE//yegH//ldtB//acrA//grcA//tdcA//kbaY//ppdA//intQ//cynX//ugpA//acrZ//pstC//uxaB//yfdE//purK//artJ//lsrK//glnK//trpB//uvrY//metC//grxA//gcvB//phnE_1//ybdN//gcl//yeaD//fucK//nanM//fliQ//tonB//ybhS//phnN//pgaC//lsrD//artP//mcbA//sgbH//malP//betT//sutR//fbaA//napG//gatY//ygaC//oxyR//rbsC//
NtrC_neg	copA//rseC//csgC//accC//glgB//dnaG//
NtrC_pos	fabG//ydcU//hyfF//sufS//sdhC//ldtC//murC//accC//prpD//yfiB//higA//yfdX//gltK//fixB//oxyR//hcaD//mhpA//fliL//hdeA//betI//crl//gudD//lysO//fliO//cynS//sdhA//agaC//paaF//flgC//yqhG//tauB//acnB//ygaC//fabD//emrY//sutR//metL//fucI//hdeA//entS//nrdB//rcnR//waaH//deoB//aroL//yegZ//nuoF//agaI//omrA//
OmpR_neg	katG//cas2//metL//moaE//nadA//dctA//flgA//purC//argG//dapB//pncB//ddpD//
OmpR_pos	ydbD//aroH//cysW//omrA//allC//cspE//dhaM//ftnB//mngR//phnP//
OxyR_neg	cyoA//aceA//kdpF//pqiA//exuT//bluF//nuoF//alkA//torR//accC//nemA//frdC//
OxyR_pos	potF//exuR//fliL//cheA//argI//exuT//hyaE//gltF//flgD//tomB//hybG//gloA//paaK//ariR//gor//ydeI//nrfD//flhD//baeS//ttdT//ddpB//ccmG//
PaaX_neg	yjbE//yjbG//focA//yecT//nuoI//murG//ydfD//rtcB//efeU_2//aidB//gadB//flgB//yhbS//cysE//
PdeL_pos	nanM//
PdhR_neg	hybB//yiaM//nrfA//fhuC//pdhR//atoE//cecR//yoeB//gspE//puuP//rffM//idnT//ogt//wecB//ycjG//dctA//ybiT//adiC//motA//mtr//osmB//nuoA//glk//trpB//flhD//malQ//tdcF//tdcB//mhpC//lpxA//narK//tsgA//ynbA//mglA//mepH//gapA//
PdhR_pos	ddpD//creA//yjhB//lrhA//glcB//
PepA_neg	yedX//umuD//rffT//
PgrR_neg	entE//araG//fabZ//gltI//hcaC//aroH//rclB//oppA//
PhoB_neg	appY//caiA//htpG//glgX//qseC//hcaC//torR//uspD//glcE//dcuS//recX//artP//
PhoB_pos	lysA//ygiA//ompC//hdeD//fhlA//kdpC//molR_1//murQ//yidQ//katE//glcE//napC//adiC//chiP//cyaR//cysN//potI//dcuB//aroG//fliR//slyB//flu//pdeR//ydcS//gltB//glk//fabZ//tsx//ampC//dgkA//hybE//argD//nadA//lrp//ccmC//hyfI//galK//gpmM//motB//fadE//yqjI//nanK//dgcN//carB//yfbR//dnaN//mdtD//ccmG//hisQ//tsx//hycF//baeS//malS//
PhoP_neg	nanT//pgaA//paaZ//murG//flhD//fabH//mepH//gadA//purH//argH//rhaT//
PhoP_pos	cysK//artM//mglB//pdeL//mhpC//mazE//nuoI//artM//paaA//fucU//cusS//purB//tktB//fliO//btuB//moaC//hybF//lsrB//phnL//cvpA//metB//nimR//ariR//cysM//mntS//nanT//feaB//creB//csgE//cysE//ybhS//dsdC//dinD//folA//phnI//degP//xapB//ynfE//yhbT//rutF//gdhA//hycA//norV//infC//fhuA//xylB//luxS//gdhA//
PrpR_neg	dmsD//
PrpR_pos	btuB//yfbR//lexA//gcvB//
PspF_neg	ydcT//
PspF_pos	rstA//pagP//ptsG//nanS//pagP//mtlD//
PurR_neg	hisP//lamB//gfcA//rprA//glnB//qseB//flgG//mdtD//rbsB//fabD//serA//uidA//dinQ//pqiB//hycC//tfaQ//copA//recA//ymjD//narX//dcuD//tisB//wzc//erpA//ariR//feaR//ppdC//dsdC//ydfN//dnaA//rplT//
PutA_neg	napF//csgF//
PuuR_neg	ydhX//garK//mpaA//rstB//mtr//sroA//ahpC//
QseB_pos	feoB//nanK//tehA//gatZ//
RbsR_neg	nikE//pdeH//tcyP//dcuR//metI//nuoN//melB//puuP//
RbsR_pos	bioD//
RcdA_neg	fecA//setA//
RcdA_pos	ybdN//phnD//rimK//tauA//nrdG//xylG//hypE//
RclR_pos	cyaR//wcaB//ycjX//
RcnR_neg	uxaC//ycjX//cdd//
RcsAB_neg	dctA//fliM//phnK//nusA//yiaJ//flgB//
RcsAB_pos	bioD//gor//srlA//rcsA//phnD//exuR//metN//mqsA//uspD//insD//
RcsB-BglJ_pos	astE//cysP//polA//pspD//ymjD//rutD//mhpC//ynjI//ybaT//paaG//gatA//sgrS//dsdA//wza//citG//melR//
RcsB_neg	dacC//hyaE//
RcsB_pos	aceB//ybhR//mhpT//araA//nikA//casA//ldtD//wzxE//gspI//purN//yhbT//yegR//ydeO//lysC//osmC//icd//gudD//modC//glgX//chbA//ykgO//sufS//zraS//
RelB-RelE_neg	galK//fucI//ecpR//
RelB_neg	hha//sufC//uxuA//
RhaR_pos	potH//hcaR//
RhaS_pos	lsrR//cusA//yjbE//glnL//yhdW//paaX//
Rob_neg	ccmA//
Rob_pos	metE//uspD//rdoA//nrdB//yfiB//relB//hcaF//ydcS//fes//fadD//mhpC//fucK//yegR//argO//srlD//uidA//araA//ppc//ybaS//yhdW//murF//ttdB//dgcZ//ybhR//hemL//
RstA_neg	gltF//deoA//pitB//idnD//skp//
RstA_pos	nikD//phnE_1//dapD//argE//patA//
RtcR_pos	melR//fliS//
RutR_neg	kdpF//hipA//yecR//dps//qseC//qseB//wecE//oxyR//rbsK//uxuB//glnQ//hipB//yeiL//paaC//marR//
RutR_pos	purC//mnmG//
SdiA_neg	gspE//zraR//murF//
SdiA_pos	ulaD//trpA//ccmG//
SgrR_neg	moaE//rstB//fliA//cydA//dinJ//
SgrR_pos	entD//pdeL//nagC//cydC//
SlyA_pos	citG//
SoxR_neg	ykgM//
SoxR_pos	uof//csgB//
SoxS_neg	tdcF//agaS//
SoxS_pos	dcuD//metE//umpH//rutG//fucA//glk//ptsH//ompF//creB//gadE//manZ//modA//agaD//soxR//gor//dcuS//poxB//ynfH//argB//fepD//gadY//ygbA//ydhY//speB//murC//yciE//fabI//add//glcC//pitB//wcaB//sucC//hisP//tonB//flhC//hdeA//srlA//allC//
StpA_neg	gspL//sdhA//ygeH//umpH//lsrF//araE//katG//
SutR_neg	mazE//yebG//ruvB//caiF//aroG//
SutR_pos	yafP//
TdcA_pos	uvrB//ssuA//csgF//astC//sgbH//gntX//fhuF//
TdcR_pos	pspF//gatZ//moeA//manX//gspJ//hyfD//ydjM//
TorR_neg	dctA//ada//baeR//
TorR_pos	katE//yfaE//purK//ugpQ//rutF//pdhR//argG//fabA//trpA//
TreR_neg	dpiA//pnuC//
TrpR_neg	ptsI//glmS//pspG//rseA//phnM//moeA//cynS//dhaL//asnB//ugpA//rutB//emrK//
TyrR_neg	frdD//treB//fhuA//malE//higB//ycdZ//ccmD//lrp//metE//argT//
TyrR_pos	zraR//phoE//cpxR//
UhpA_pos	purN//
UidR_neg	focA//araD//rclB//flu//
UlaR_neg	motA//fucI//glpA//paaI//malI//hdeD//ugpQ//
UvrY_pos	gpmM//lsrA//ssrS//ybdN//cyoE//
UxuR_neg	safA//nadA//dctR//iraP//rpiR//chbA//nemA//xylR//rhaT//
XapR_pos	mngA//sucC//
XylR_neg	trpR//
XylR_pos	ynbD//fdnG//nrfD//ydcS//fhuC//ymiA//
YdeO_neg	fliG//ybjC//
YdeO_pos	alsA//caiC//melB//patD//ybhR//appY//wza//atoA//yecR//yhiD//amtB//argH//gudX//malM//sulA//phoH//fpr//grxD//ygeA//
YedW_neg	ynfK//tyrR//gpmM//higA//uidC//
YedW_pos	garL//uspE//symE//fdnG//malE//yeaH//agaC//
YefM-YoeB_neg	casC//hycB//
YefM_neg	paaB//fucK//
YehT_pos	yncE//
YeiL_pos	lrhA//
YiaJ_neg	napF//recF//accD//fruK//ydeI//paaF//nuoK//creA//ydeN//nagE//
YjjQ_neg	fur//pepA//cyoC//glxK//rstB//hyfD//ftsZ//malP//add//ldtC//
YpdB_pos	casC//
YqhC_pos	sgrS//modA//
YqjI_neg	cadC//sgbE//
ZntR_pos	malX//
ZraR_pos	ahpF//insD//napD//
Zur_neg	lacA//metQ//ccmB//mngB//nagA//ybhG//
