#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	dpiA//torD//
ChbR_neg	gspO//puuP//leuC//fliE//flgA//gcvB//
ChbR_pos	ssb//cadC//btuB//nrdI//erpA//cyoD//
ComR_neg	lsrK//
CpxR_neg	spy//metR//phnD//glpK//yciE//lsrR//betA//ecnB//ynfE//gadA//hybE//yfiR//fabH//slyB//purK//cysM//molR_1//copA//slt//purL//leuA//uxuR//aroL//yncE//
CpxR_pos	grcA//nuoA//psiF//yafO//gspE//metN//ynfG//ompT//hycE//nimR//cadA//tisB//ydhU//cysN//ruvA//phnH//pspB//insD//dgkA//ccmG//nupG//sbcD//hyfC//dcuA//spy//ascB//rbsB//glnB//ybfN//ynbA//gatA//phnE_2//hemL//omrB//ebgA//mgtL//bhsA//rutD//yncE//fabH//cydB//fliH//citD//gcvT//yebG//murC//
Cra_neg	cspI//bdm//feoC//dinD//hypA//agaB//phr//recF//uspD//yqjH//ybfN//astD//slt//cpxP//tauD//mtr//ynbB//nemR//thiQ//flhE//treB//mprA//dsbC//tsgA//manY//cadC//oppF//nrdH//yjbF//fur//yiaN//mepH//mtlA//cvpA//glyA//dkgA//symE//gntX//pspG//gudX//allA//mhpB//galS//mdtB//tauA//srlD//fabG//pdeL//ldtC//purE//rob//xylB//tdcF//bioC//galR//ccmH//csgG//yccJ//pspD//
Cra_pos	fbaB//paaB//rpoS//osmB//ycjX//nrdI//agaR//glnH//ppdB//dsbG//rffH//rutD//nanK//ryhB//hypD//aceA//sgbE//dacC//aidB//pdeL//ybdN//degP//ugpB//
CreB_neg	ybiT//ydbK//flgF//
CreB_pos	nrdE//hlyE//
CsgD_neg	qseC//cbl//phoH//setA//ssuC//nuoN//nikE//aspC//yccJ//dicB//waaH//glxK//hycE//aceA//nrfD//
CsgD_pos	dpiB//adiC//murC//fixX//hybE//atoA//hisQ//caiT//talA//tomB//glgC//ccmA//znuB//
CsiR_neg	mgrR//tyrP//ulaC//ccmF//dapB//
CspA_pos	pflB//murE//
CueR_neg	mraZ//poxB//sdhA//oppF//ybdN//
CueR_pos	casC//rprA//
CusR_pos	tdcG//argP//phoH//tktB//ygiB//rutG//dinQ//glcG//trpR//codA//leuC//phnK//
CynR_neg	ymjD//
CynR_pos	dgcZ//puuE//mtr//
CysB_neg	tyrR//ugpA//leuB//fliE//glpF//sufC//rhaT//
CysB_pos	lsrR//nikA//creA//fucI//exuT//yjhB//fdnG//patD//puuA//allD//wzc//glpA//mltF//rstA//intQ//yrbL//glgA//exuT//lysR//acrA//glpD//pdhR//zraS//ldtC//caiA//
CytR_neg	yjbG//yegR//rcnR//caiT//ybhR//citC//sodB//trpL//fliQ//tdcG//marA//carB//ptrA//
Dan_pos	araD//insK//ygiZ//nanS//
DcuR_pos	talA//rbsR//yjbF//fhuE//caiD//tnaB//rclB//baeR//lysA//
DeoR_neg	idnK//sgrS//dcuA//phoU//rutG//fur//
DhaR_neg	rhaB//
DhaR_pos	bacA//cysJ//tauB//
DicA_neg	nhaR//iscU//glcE//creC//gadW//mipA//norV//fucU//
DinJ-YafQ_neg	paaF//yccT//alsB//
DnaA_neg	eda//flhA//nfsA//tcyJ//argA//manY//astE//tisB//frdD//manX//ydeI//
DnaA_pos	caiT//uspE//pspA//xylH//rpmI//hlyE//glnP//
DpiA_neg	exuT//
DpiA_pos	gatA//yegH//lysP//potF//oppA//kbaY//nfo//ccmH//glpT//exuR//
DsdC_neg	pck//
DsdC_pos	ugpC//hybA//
EbgR_neg	ycdZ//ada//
EnvR_neg	flgF//pyrD//
EnvY_pos	dmsA//galM//
EvgA_pos	rnlA//norV//fbaB//hycG//dkgA//hisP//rprA//rsmH//yhbS//cytR//aspA//arsC//hyaD//cheW//puuE//hcaC//ugpC//glnL//hemH//
ExuR_neg	dctR//fiu//sroC//zraS//pspC//htpG//malX//phoB//yafN//
FabR_neg	ydeP//fecD//
FadR_neg	btuB//yhbT//dnaN//rhaA//nrdE//ubiX//dps//entA//fecD//ftnB//ymgA//
FadR_pos	tolC//adiC//iscS//cynR//ycjX//ompF//osmB//napG//wrbA//higA//accB//lsrA//
FeaR_pos	ydhV//gcvB//
FhlA_pos	fucA//nagB//yhbS//fdhF//ybhR//mtr//purK//sgrR//sbcD//chbR//hybA//mepH//nirC//rnpB//cyoA//mioC//aroL//xylA//mtlA//mzrA//nrfC//alsA//ccmD//ugpE//ptsG//udp//mraZ//aspC//argB//nrfB//
FlhDC_neg	dsrA//fadA//mngA//hycF//
FlhDC_pos	evgS//ugpB//pgaC//uof//cydD//fepD//creC//caiC//cydD//emrB//gnd//alkB//nuoK//purC//yedX//ampC//feaR//phnP//garD//hypB//metC//accD//phnM//fhuA//sulA//rstA//cysJ//ydjM//sdhD//ppdA//insK//rbsC//dinF//trpL//potI//nikC//gatC//rcnA//phoH//gspJ//thiQ//dmsA//dnaG//caiB//ssuD//fliO//tyrB//fucI//epd//dgcZ//tehB//malG//bglG//yjeV//pck//folA//rutR//gatZ//uspA//lysO//nuoJ//hypC//oxyR//cynX//rybA//yqjA//wzb//paaX//atoD//uspA//ydjM//galM//csgA//rnlA//mglA//yqhG//recF//ariR//
FliZ_neg	yjhB//ccmG//leuL//nrfB//amtB//fliH//oxyR//malZ//ttdR//grcA//yefM//fepG//ompF//galT//glyA//seqA//ebgA//csgG//yedX//gatY//idnK//
FucR_pos	recF//fliZ//fhuB//murP//fadH//norW//oppA//
Fur_neg	argR//hisM//fepG//ydfX//mgrB//dnaN//dnaN//rpiB//feoA//cysG//fhuA//mhpB//modA//napC//gspH//rhaT//glpQ//cusA//glcE//cecR//relA//cyoD//gabP//ssuE//oxyR//sufB//motB//talA//nrfC//glcB//malP//ybfE//uxuB//aceF//chbA//leuA//ccmH//mnmG//phnN//ykgM//bglB//uof//bioA//ssuC//wzxE//ahpC//pdeR//feoC//ccmF//wecC//allD//cho//aceB//mhpA//lhgO//slt//exbB//napC//uspD//aroH//gcvT//ddpF//paaI//tam//slyB//purD//oxc//rnlA//cusF//rstB//flgF//osmB//wcaB//alsA//hyfC//agaA//nimR//pdeL//degP//hyaD//ppdC//casA//yjbF//dcuD//fucP//tauC//ymjD//molR_1//yeaH//eda//yegZ//hybF//phnG//adhE//aceF//aceF//gutQ//caiA//seqA//nhaR//tpiA//nemR//ubiX//ebgA//fepC//melR//dinB//dgcN//nadB//argH//trpD//pspD//fldA//fdnG//yfiB//
Fur_pos	sucB//cecR//ftsZ//sucB//malY//glnL//kbp//yhjA//gutM//ccmD//artI//recD//glmU//nemR//ppdA//rcnB//fecA//lrhA//pheM//ftsQ//fliG//
GadE-RcsB_pos	phoB//agaB//nimR//paaD//pepA//cynR//ydhY//narK//cadC//
GadE_pos	rclB//gdhA//yafO//recD//yeaE//rhaT//gutM//poxB//znuB//rbsD//malT//ymiA//yhjC//mdtD//yciW//mlc//kdpA//ykgM//adiA//glcF//paaX//rbsB//chiP//ddpC//yccT//dcuB//glmU//hyfH//ydhU//
GadW_neg	flhE//potH//nanC//yjbE//fliF//ppdA//cpxQ//cusC//cusA//flgK//yqhD//
GadW_pos	cysH//lysR//yciX//yqjA//mhpF//hybB//argC//nuoM//phoU//tktB//phnG//
GadX_neg	tdcB//oppD//patA//dmsD//pflB//pdhR//
GadX_pos	ssuC//flgC//umpH//nrfG//yciX//sufA//hcaF//guaA//fepA//sgbH//glnH//fliR//rnlA//malY//metE//higB//fliD//fliS//nadB//yhbT//slp//rcnA//yeaE//cysP//arsR//flgB//allA//
GalR_neg	fliM//ygbA//hybC//ssb//ftsA//mdtF//phnK//phnM//pspE//ccmH//
GalR_pos	cyoC//agaA//ldtB//treC//
GalS_neg	tdcE//ecnB//deoA//gatZ//asnC//fepC//dtpA//exuT//sbcC//caiD//
GalS_pos	motB//araD//rcnA//ndh//
GatR_neg	mdtE//malT//higA//artQ//hypD//dinI//
GcvA_neg	ymjC//ppiA//tyrR//paaH//
GcvA_pos	flhB//amn//mltF//uvrA//
GlcC_neg	emrB//
GlcC_pos	oppA//gntX//hypC//truB//mtlA//tomB//
GlpR_neg	flhE//aslB//lamB//nusA//mcbA//treC//nikE//purC//citC//
GlrR_pos	iscU//cspD//rhaT//yhjX//ung//
GntR_neg	astE//mprA//rseC//ydcU//entH//hemL//gudP//murC//hyaF//ddpF//ymgA//dnaA//
GutM_pos	hisQ//mdh//deoD//seqA//ftsK//casC//mcbA//
GutR_neg	asnA//sgbU//ytfE//ilvY//ybaT//srlR//nuoJ//
HU_neg	tbpA//tdcA//gltD//ydhU//agaD//oxc//speA//cyoE//
HU_pos	cspI//
HcaR_neg	tdcE//
HcaR_pos	cysP//yjbF//asnB//yjjZ//bacA//
HdfR_neg	fliA//ydfD//
HdfR_pos	uvrD//dcuA//sdhD//
HigA_neg	pnuC//murD//
HigB-HigA_neg	yidQ//ynbA//
HipAB_neg	mgtL//hisQ//feoC//fepC//gatA//
HipB_neg	hyfE//gudX//fliC//osmY//aroH//recX//
HyfR_pos	uidB//oxyS//btuB//yfbR//hyfC//rutB//aroF//marR//recD//ftsQ//glnL//cysG//
HypT_neg	pspE//sfsB//phoQ//yciW//murR//
HypT_pos	ddlB//carB//acrZ//alkB//cysU//sufS//paaJ//idnD//
IclR_neg	murR//rbsK//tbpA//lsrD//
IdnR_neg	murR//mioC//
IdnR_pos	allB//yidL//mpl//dsdC//yncE//
IlvY_neg	malZ//
IlvY_pos	mngB//
IscR_neg	crl//metQ//gspH//ccmH//glpD//iscA//ymjD//yibQ//flhB//citG//gatY//oppA//mdtB//nikD//ydbK//uspE//gadX//ynbA//nuoA//gntU//ulaC//
IscR_pos	nfsB//yaiW//caiB//narH//nanS//ykgO//uxuA//wrbA//mglA//nirB//ulaA//
KdgR_neg	hycD//nagB//
KdpE_pos	rpiR//fucI//asnB//lsrB//
LacI_neg	ascF//fhuF//fixC//
LeuO_neg	cdd//soxS//yiaL//
LeuO_pos	ugpC//puuC//iraP//uspE//yciG//rpoE//pgaC//casC//wza//glxR//ydfN//glpF//prpR//chbR//yiaN//sufC//hokE//metA//
LexA_neg	aspC//lysO//ftnA//ccmF//uspE//gltK//fliD//leuL//glcG//hyfA//nanT//gltK//zraP//hcaE//nuoG//isrC//gspH//hybC//arsR//cra//accD//ybhR//pgm//pck//moeA//cysA//osmC//malQ//lsrB//appA//cyoB//ddpC//fbaA//yjbG//uidR//nrfG//yhdZ//astB//ygeA//yafO//hisQ//glmU//uspD//paaE//deoB//acrZ//fadJ//ccmD//gutQ//slp//moaC//phoP//ykgO//gltK//uidC//ariR//ulaE//nrdB//ftsI//
LldR_neg	oppD//metC//glpB//
LldR_pos	yjiY//dcuA//nagC//
LrhA_neg	norR//ynfE//
LrhA_pos	garK//ulaF//
LsrR_neg	recB//tcyP//nrfE//tsx//pdeR//ppdA//glpK//yegZ//ccmH//
LysR_neg	dcuS//
LysR_pos	yeaE//
MalI_neg	hyfB//ascF//epd//
MalT_pos	rcnR//wzc//tadA//fliO//arsR//flgA//manY//yedX//ydcU//rpmA//
MarA_neg	lldD//cydB//fliR//recB//fecI//slyB//uxuA//
MarA_pos	dhaM//ydcS//ldtB//wecB//yaiW//aroH//ydeI//ebgC//csrC//ddlB//dpiB//mntH//cysI//creC//napC//rbsK//casD//yqjI//hycB//gnd//araC//tdcE//norV//dinD//hcaD//guaB//dpiA//araD//rhaB//garD//recC//
MarR_neg	moaB//mtr//fepD//
MatA_neg	gltL//ybaS//tdcB//degP//creD//tpiA//
MatA_pos	puuE//higA//
MazE-MazF_neg	purF//gabT//nuoC//
MazE_neg	hcaB//yrbL//tnaA//
McbR_neg	lldD//
McbR_pos	uvrC//purK//gspO//
MelR_neg	amtB//iraM//pspD//
MelR_pos	phoB//fliL//cysE//
MetJ_neg	cspI//ssuE//kbaZ//psiE//emrB//speA//lacY//glpK//evgA//mdtE//bdm//nuoA//wzb//ssrS//hns//
MetR_neg	rbsB//hcaD//
MetR_pos	thiP//argH//mqsR//fliF//
MhpR_pos	mglB//nrdG//gcvA//motA//glcA//sbcC//
Mlc_neg	chbF//ybhR//ybbW//insD//csiD//cdaR//glnP//nanE//nuoH//paaC//
MlrA_pos	relE//astC//feaR//rbsA//dctR//mhpD//gabP//slt//yeaR//focB//
MngR_neg	nrfB//cspE//astA//
MntR_neg	yhjC//nmpC//gudD//tdcG//
MntR_pos	dcuR//
ModE_neg	rffC//bioD//narX//glgA//yafP//rpmA//phoB//metY//acrD//hyfG//udp//ptsG//rpiB//gltD//yaiW//
ModE_pos	gspF//focA//umuC//mtlD//appY//wcaA//yiaJ//moaB//glpD//efeU_2//ydhT//mlc//yhdW//gspC//sutR//appA//ssuE//dcuR//gadF//hisQ//rbsD//soxS//yhiM//bioC//fixB//ugpE//stpA//yhbE//thiP//araF//gabD//
MprA_neg	lpxC//yfdE//mtlR//gltJ//mdtC//potF//
MqsA_neg	ahpC//rpiB//dgcN//gatY//ssuC//glnQ//gspJ//tdcD//
MraZ_neg	cydA//phnI//fecB//argD//cbl//gntU//hyfI//accC//galS//arsR//araD//leuB//araA//dhaL//malM//carA//fliJ//
MtlR_neg	artP//katE//gadX//
MurR_neg	yqhG//acnA//pgaA//
MurR_pos	allE//
Nac_neg	tauB//purN//ribA//ycgZ//casE//codA//dcuA//yiaJ//csgG//
Nac_pos	ybbW//crr//rbsD//fruB//cecR//feoB//mdtE//insD//glxK//nmpC//hisQ//feoC//
NadR_neg	fhuD//yccA//cusS//pspF//
NagC_neg	asnB//allC//kdpC//mtr//fucA//ptsH//ydcT//caiC//kbaY//nfsB//modA//glnL//tauB//tdcC//araA//narL//ydjM//sfsB//phnF//nemA//ulaE//envC//nanS//fldB//glnP//symE//glcE//focB//rbsA//casA//gdhA//ydjM//yafO//
NagC_pos	dhaL//phnO//ppiA//
NanR_neg	qseB//pgk//grxD//cpxR//ldtB//acnA//ycgZ//ogt//rpsU//zraP//
NanR_pos	pgaB//
NarL_neg	glgC//folA//cusA//dps//exbB//rhaB//yfiR//napG//amn//rtcB//qseC//yebE//sdhC//ygbA//ulaA//ccmH//dps//tcyJ//adiA//gatB//pgi//marB//ilvC//citD//ftsL//hyaD//phoB//ydjM//iscR//fliL//hyaB//cusF//cysH//ahpC//yafP//mdtF//nuoL//ydhT//yegZ//torA//sbmA//gadA//ygaC//dhaK//hcr//uvrY//fliT//hyaF//ccmD//rpmA//fucR//hyfB//cydB//malI//ygaC//alsB//rob//nikE//uspD//eda//xylG//nfo//rybB//phnJ//ccmH//dgkA//yciE//ugpQ//potI//dpiB//yecT//cysJ//prpR//nlpA//yeaG//yeiB//ebgA//ddpA//ftsL//phr//flu//gatZ//aceA//appC//nikR//gdhA//paaJ//
NarL_pos	soxS//glmU//rdoA//rimP//nemA//dapD//ynfE//hybA//ygiA//osmB//sodB//mdtC//rclC//atoA//exuR//seqA//ydhX//araD//kdpC//ydhX//fucU//nagA//iscA//phnC//hemL//hokD//phnG//feoC//glpX//gcvB//ftsI//ftsW//ygdB//nusA//ttdA//tnaC//puuA//hybF//erpA//melB//tyrR//bhsA//mlc//
NarP_neg	hipA//motB//bglF//paaE//ftsK//gabD//acrB//yoaC//wzzE//tnaC//cdaR//chbA//aceK//purC//zntA//ppsA//yiaN//ydeM//yegR//dpiA//trpL//glgA//sfsB//mhpT//sdhB//glxK//ydbD//paaK//purR//glgX//glgB//moaA//feoB//
NarP_pos	gltJ//trpA//mntH//wecE//wzc//glpT//frdA//gspL//ynfG//rhaB//cysI//mngA//sucD//entA//rnpB//chbC//glpX//gcvT//puuB//recD//mioC//idnO//trpL//rutE//mntH//xylR//yjbF//gltI//nrdF//rpiB//xylB//fhuC//
NemR_neg	tehB//rsmH//higB//
NhaR_pos	leuA//paaI//cspI//gcvB//fucP//dnaG//rutF//
NikR_neg	ymiA//wcaB//nanK//fruB//ymjD//ybdN//
NimR_neg	yafP//seqA//
NorR_neg	poxB//
NorR_pos	dacC//phnM//
NrdR_neg	folE//wcaA//malT//dnaN//frdC//phnN//fliG//tdcE//fruA//
NsrR_neg	ymgC//rpsO//dicB//oxyS//murI//psiF//tsr//ccmH//torA//betB//ppsA//ynfG//ubiC//uvrC//metA//ompF//modB//allB//flgB//amn//hcr//yafP//hyfG//fecI//ymgA//ybiT//frdD//pspA//purK//fucR//fabB//nrdA//ftsI//ydcU//glpX//uxaA//glnL//glk//tyrB//garR//ssrS//copA//guaA//dgcN//kbp//slt//rclA//ulaE//bdm//micF//xylA//argD//allA//ugpE//uxuB//hcaR//caiF//marB//hisJ//potF//gatY//purR//prpR//sdhC//acrZ//gntU//murC//glnL//uxuB//ubiA//flgC//malI//chbB//hyi//ybhL//yjbE//norR//phnD//codB//sbcD//uxaB//wrbA//purN//
NtrC_neg	hcaE//paaH//phoP//entH//flgB//yfiB//
NtrC_pos	manX//trpB//cysG//rplU//gudD//micF//metJ//omrA//fliK//yciW//zntA//sodA//iscA//yciG//fecI//fliM//rutR//hcaD//nemR//rarA//ybaT//gutM//glmU//ddpD//sbcD//truB//fabB//ygiC//rpoD//gcvH//cydD//csgE//potG//codB//ugpB//flgM//oxyS//yecT//purL//bluF//yeaG//dapD//trpD//dnaG//gdhA//bluF//fliJ//hdeB//fliP//
OmpR_neg	rbfA//fliC//argH//fecD//leuO//narX//flgC//ldtD//ygiZ//fldA//sgrT//glgB//
OmpR_pos	yfiR//ydfW//appC//aspA//hycA//patD//tyrB//entD//sucD//accD//
OxyR_neg	fecD//rclC//gcl//fabD//arsR//umpH//yafN//malP//citG//xapA//ddpA//hypF//
OxyR_pos	aroH//bglB//tpiA//putP//dcuD//gadE//flgE//mpl//mntP//ccmG//hycF//acnA//ahpC//rybB//wecC//ihfA//araE//gutQ//ftsA//gspD//fruB//rseA//
PaaX_neg	dhaM//argB//ygiA//hslJ//hyfR//ecpR//leuD//fliI//trpR//idnT//micF//ydhX//ydhT//yecT//
PdeL_pos	gntX//
PdhR_neg	rcsA//fecR//caiD//nimR//rbsB//rclB//astC//bioF//ccmE//fixB//deoB//thiP//appX//hemL//nagE//fabI//sgbU//erpA//folA//motA//relB//hyaB//potH//nanS//hybD//skp//puuP//phnM//phnN//paaY//fldA//lexA//flgC//fucA//bglF//cydA//
PdhR_pos	pheT//pstB//alkA//fadI//pstB//
PepA_neg	nuoG//tynA//nhaA//
PgrR_neg	infB//hisQ//bdm//sgrT//sdhB//dsbA//glpT//dinF//
PhoB_neg	bdm//ccmB//nadB//rpoE//gcvT//argA//paaK//putA//fadL//paaE//fliK//fliI//
PhoB_pos	yccT//iraP//glcG//gpmA//ygeA//ccmA//glpX//ygeA//yjbH//envC//tdcC//glnD//galS//wzyE//recX//ygiA//soxS//bluF//ftsW//mtlD//yqhD//flgA//rpmI//rutR//rbfA//tynA//hyaB//nanC//ydfE//rclA//glnD//mngR//srlA//truB//aroH//znuC//araJ//ariR//csgG//motB//yhbE//fhuC//deoC//safA//paaZ//tyrP//csgD//cra//mtlD//uxaC//metF//tnaB//fadA//
PhoP_neg	zraR//dsdX//idnR//ddlB//araF//flgJ//ybhG//casC//pgk//sroD//gabT//
PhoP_pos	aspA//symE//pqiB//hemH//nuoL//lldR//rpiR//gatD//gudX//fiu//chbC//gspI//hlyE//ydhU//ybiT//garD//asr//ldtC//prpD//fliS//ddpA//fur//tcyJ//fliZ//ecpR//ptsI//uspD//rclB//pfkA//hycD//tdcF//gapA//nuoB//yegH//gltJ//fumB//degP//marR//tam//flgB//yjbF//ssb//mngB//nirC//hcaE//mglC//relE//znuB//
PrpR_neg	ariR//
PrpR_pos	rffG//cysW//infB//cyoD//
PspF_neg	dapB//
PspF_pos	glgC//ppc//yiaJ//yjbE//yafN//torA//
PurR_neg	rclC//csgB//flgF//recC//pck//moaE//nagA//ynbA//ddlB//udp//yneM//nfuA//fadM//ulaB//ynjI//iscA//gcvP//lldR//mtlR//nemA//tbpA//ymjC//ydfH//chbG//arsC//ymjC//hdeD//narG//fiu//rclC//fabH//
PutA_neg	add//nemA//
PuuR_neg	ulaE//hokE//ddpF//gntU//paaD//yjbF//cadC//
QseB_pos	glgA//cueO//feoC//gabD//
RbsR_neg	fadA//creB//mhpB//cpxA//atoA//ygiZ//ulaG//argC//
RbsR_pos	pgpC//
RcdA_neg	marR//ygeA//
RcdA_pos	narI//ompN//dinD//gspJ//lacA//gudD//tyrR//
RclR_pos	atoD//iraM//uxaB//
RcnR_neg	uxuB//flgD//lhgO//
RcsAB_neg	glxR//artQ//fpr//agaW//astC//glcF//
RcsAB_pos	leuA//metC//glnG//tktB//yhbT//mhpE//yaiW//gltB//wzxE//relE//
RcsB-BglJ_pos	accC//nmpC//yibQ//ynbB//fhuB//nmpC//nusA//kdpA//oxyS//hcp//cynT//phnJ//hyfA//murG//potG//lhgO//
RcsB_neg	lsrF//glpK//
RcsB_pos	allD//glgA//csrB//torC//ynfH//moaB//hcaD//lsrR//rseA//bamE//flgM//nfsA//cysI//ynfH//cecR//narI//gspG//sufD//hycA//malZ//ycdZ//purL//phnH//
RelB-RelE_neg	fadI//phnI//obgE//
RelB_neg	rbsD//murD//gabP//
RhaR_pos	gatY//oppB//
RhaS_pos	recX//phnK//hycG//dgkA//yaiA//cydB//
Rob_neg	melA//
Rob_pos	yiaK//cueO//carB//csgF//nimT//srlR//gabT//galM//napG//kbp//baeS//nrfE//ydhW//cpxP//lacZ//flhE//mdtE//tdcG//ydbD//malX//bglF//cytR//torD//ybbW//csgG//
RstA_neg	ybhF//efeU_1//dsrA//pyrC//nagA//
RstA_pos	fliI//yefM//cusR//pspF//argP//
RtcR_pos	rbsK//putP//
RutR_neg	gatA//gspL//cyoA//cusR//intQ//iscR//fecR//ybbY//kdpB//feoB//nirD//phnM//aceB//dinG//ubiX//
RutR_pos	yciW//fecC//
SdiA_neg	codB//baeR//xylR//
SdiA_pos	ebgC//deoA//rffH//
SgrR_neg	hyaD//yciG//rpoE//mazF//hcaR//
SgrR_pos	cpxR//fliG//yeaE//acrD//
SlyA_pos	ung//
SoxR_neg	malZ//
SoxR_pos	gltF//flgJ//
SoxS_neg	alsE//mngB//
SoxS_pos	casD//yqjA//poxB//caiF//nanT//cysA//bluF//mtr//tauC//glcC//ydhW//nanM//hybB//citD//alsB//fabB//hybC//fucR//fes//lsrB//hmp//yiaM//argB//rybA//nuoE//paaH//yiaK//sodB//pnuC//ybdZ//paaF//garP//ynbA//allS//hisJ//asnB//araE//cysN//
StpA_neg	lysO//lacA//ryhB//gspH//yiaK//ppdC//rhaR//
SutR_neg	purL//potG//rbsD//evgA//ybfN//
SutR_pos	folE//
TdcA_pos	ydfE//ynfF//glnD//ydfE//folA//melB//rhaD//
TdcR_pos	creC//caiB//fadB//exbD//dsdX//yfaE//malZ//
TorR_neg	alkA//frdD//gnd//
TorR_pos	cydD//aslB//hycI//mtr//paaF//nrdH//yegR//ytfE//rnlA//
TreR_neg	melA//purK//
TrpR_neg	ugpC//dicC//thiP//relE//glnB//glmS//cysU//wzc//garR//copA//leuD//glcA//
TyrR_neg	ydeI//nanS//napA//entC//yncE//hcaB//hyfG//pgpC//purH//argF//
TyrR_pos	glmY//tauB//fadA//
UhpA_pos	ompN//
UidR_neg	casD//grxA//gcvA//flgK//
UlaR_neg	yccA//ydcU//glcA//acrR//sbmA//ydhU//gntU//
UvrY_pos	gspC//tdcG//nhaA//nfsB//aceA//
UxuR_neg	mqsA//asnB//cysG//ptsG//rutA//rpoH//lolA//fhuE//dsdA//
XapR_pos	uidC//agaI//
XylR_neg	fucI//
XylR_pos	fepD//ymgC//manY//caiF//cysB//rutA//
YdeO_neg	ttdB//flgK//
YdeO_pos	mdh//csgA//emrK//osmY//moaC//ccmC//nagB//nagE//ttdB//phnE_2//fecD//fabH//pqiB//lon//yjjQ//glpK//ydcS//lolA//yjhC//
YedW_neg	glgA//glgB//acrD//fliS//mprA//
YedW_pos	tyrB//fecR//ynfH//phoE//fliM//cysW//ynfE//
YefM-YoeB_neg	yfbR//malM//
YefM_neg	nrdD//cpxR//
YehT_pos	fes//
YeiL_pos	rffH//
YiaJ_neg	ptsH//omrA//araF//glpF//metH//hokE//mglC//kbp//wrbA//mglB//
YjjQ_neg	dcuA//ruvB//rclB//katG//ulaB//nmpC//torC//chbC//gabP//fdnI//
YpdB_pos	ibaG//
YqhC_pos	yeaH//ompF//
YqjI_neg	cytR//dmsB//
ZntR_pos	rhaR//
ZraR_pos	cysN//degP//idnK//
Zur_neg	nfo//carB//ydhT//gltF//fadD//qseB//
