#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hycB//glnL//
HigA_neg	dnaA//narL//
HigB-HigA_neg	gatA//hipA//
HipAB_neg	galK//rybA//lsrK//yhdX//idnO//
HipB_neg	fadR//flgK//casA//fabH//rutE//recX//
HyfR_pos	arsC//mgrB//yafO//malX//caiD//flgJ//mraZ//creA//nirD//gltL//rbsB//oxyR//
HypT_neg	ftsL//ftsQ//puuE//fecB//yfiB//
HypT_pos	accB//ssb//tdcG//sdhB//waaH//sgbH//ahpC//mazE//
IclR_neg	pqiA//ygeA//cynS//casA//
IdnR_neg	gspC//hypC//
IdnR_pos	rplU//yedX//entA//dgcC//marR//
IlvY_neg	adiA//
IlvY_pos	znuB//
IscR_neg	nirC//purM//nuoC//yjbF//mtr//fecD//rhaR//fucI//pheT//gdhA//zraP//pgm//uidA//yhiD//glpT//ygeA//nadA//ulaB//cheA//ascB//norW//
IscR_pos	cyoD//nrfC//yeaD//safA//nikD//galE//alsC//hemL//cirA//isrC//rpoD//
KdgR_neg	csrB//gcvT//
KdpE_pos	lldR//pspA//nuoJ//allA//
LacI_neg	lsrF//hycC//yfiR//
LeuO_neg	cysI//mdtB//hyaA//
LeuO_pos	ung//fhuD//uxaB//glnD//phoP//tpiA//ychF//yhbE//marR//flhB//treR//cytR//gspK//tolC//csgB//fepC//ddpB//appA//
LexA_neg	dkgB//cysJ//ydfD//yciF//ftnA//ymiA//hflD//bglG//mazG//pspA//xapB//galE//ynfF//glpD//iscA//glcA//casC//paaE//mntS//rstB//frdD//tdcE//flgE//nagE//sroA//ptsH//puuR//yhiM//yiaJ//rutF//adiC//soxR//sbcC//lolA//glpC//cysC//slt//paaJ//nrdH//ecpR//glnB//rplT//aspC//ygdB//higB//flgJ//pdeH//cysD//xylA//ynfE//rutG//ybhL//phr//rcnA//inaA//purK//cydB//csgD//cyoC//
LldR_neg	cspD//hdeD//umuC//
LldR_pos	nirD//bdcA//arsB//
LrhA_neg	ynjI//rnlA//
LrhA_pos	gatC//fepE//
LsrR_neg	mdtC//entA//nanA//hybE//mdtD//fdnH//pagP//cpxP//tyrB//
LysR_neg	kdpC//
LysR_pos	hha//
MalI_neg	sra//csrB//dmsB//
MalT_pos	mqsA//glxR//emrA//fruK//fepA//ybhS//bluF//qseB//flgL//napA//
MarA_neg	acrB//yoaC//cadA//grcA//fadM//slyB//yfaE//
MarA_pos	dctR//ptrA//astC//ybaT//gntK//pyrD//rhaB//uxaC//phoH//dinI//ynfG//malY//napG//lldD//higA//puuC//hyfF//uxaA//rclC//yhdX//astC//gntX//yjbE//ycjX//ydhY//sbmA//gnd//ftsK//skp//flhC//tsgA//
MarR_neg	sroD//mcbA//hydN//
MatA_neg	flhE//lsrC//marA//nupG//rpiB//rbsA//
MatA_pos	ygdB//yhbS//
MazE-MazF_neg	omrB//paaF//infC//
MazE_neg	tonB//hyfR//phnC//
McbR_neg	gatC//
McbR_pos	cusB//yeaG//fes//
MelR_neg	paaB//rarA//fixA//
MelR_pos	lysR//dinJ//argD//
MetJ_neg	ybdN//xylH//fliT//epd//hyaD//dps//gudP//degP//slp//sdhB//yeiL//accB//gntX//ytfE//hybA//
MetR_neg	hmp//gor//
MetR_pos	fruK//cyoD//yfdV//gyrA//
MhpR_pos	rcsA//fliO//uidA//asnC//ssb//cysA//
Mlc_neg	gudP//glpQ//rhaB//norR//uvrD//recF//psd//hcaR//phnM//seqA//
MlrA_pos	appY//yciE//lpxC//gcvP//infB//dcuA//garR//cdd//ppdC//rimK//
MngR_neg	hslJ//citE//gabP//
MntR_neg	citF//nikA//galE//ydfD//
MntR_pos	dgcN//
ModE_neg	nuoL//phnI//sucC//purN//mngB//yaiA//chbC//cydD//sfsB//malZ//glk//ydfN//nrdF//dicB//cspI//
ModE_pos	yjbG//zraR//uxuR//dpiB//rcsA//garD//yoaC//zraR//fabA//lacY//yhdZ//bioB//trxC//paaJ//pspG//gspL//ssuE//hybF//malX//bhsA//phnP//potH//dmsB//sdhA//bacA//xylF//glxK//hycD//yafQ//motB//nanC//
MprA_neg	kdpA//umuD//cvpA//gltJ//prpD//nrfA//
MqsA_neg	paaZ//sulA//paaG//cynT//mglB//pheM//nrfE//sbmA//
MraZ_neg	nrfD//ldtB//ssrS//nuoN//ttdB//gadC//waaH//gltJ//gabT//srlR//nhaA//yegZ//allA//yidQ//uvrB//dmsD//rbsC//
MtlR_neg	manZ//pnp//melA//
MurR_neg	phnF//glmS//araC//
MurR_pos	xylR//
Nac_neg	tauD//mtlD//rseA//glxK//cysG//slp//tyrP//gatY//cyoC//
Nac_pos	rplT//lsrG//cheA//ydfH//galP//garP//yqjA//ugpC//pagP//yefM//hmp//mpl//
NadR_neg	torC//hybD//lolA//fur//
NagC_neg	caiE//citC//hypD//ompF//fruK//pdhR//modC//mlc//phnN//ymgA//nac//hmp//psiE//yciE//carB//ttdT//ydeI//cusR//napF//hybG//bioD//argR//yeaE//aceF//asnC//appX//ydhX//aroF//cra//tyrP//yqjI//yiaK//agaV//
NagC_pos	puuD//dsdX//murG//
NanR_neg	pspD//hyaE//glcF//ptrA//puuA//allS//lsrA//ycjX//yhjA//ppiD//
NanR_pos	yedX//
NarL_neg	artP//zwf//edd//rpoH//potG//mntS//cheW//recX//gadW//phnD//hisP//kdpB//emrB//phoU//hokE//yjhB//gltJ//ybaS//lsrK//molR_1//trpC//cecR//dcuB//fldA//gcvP//hycD//fadR//fecC//rcsA//efeU_2//fumB//pspF//fabI//hycF//frc//nuoF//isrC//torA//nrdA//murE//gfcA//nikD//narL//bhsA//pgpC//gudD//cusS//hyfG//pepD//fumB//casA//phnG//hycB//glpQ//yecR//dmsA//relE//mngA//safA//creC//kdpC//torR//ftsQ//rffH//yecT//glcA//rffT//hyfF//gltL//dnaN//cydC//sbmC//ccmH//yjiY//wecB//hybO//hcaE//hycE//gltF//pstB//tauA//flgA//flgC//wza//ynbC//mprA//agaS//
NarL_pos	pgpC//pncB//mngA//fecI//bioF//nusA//flgN//cynR//gcvH//polB//rhaR//fhuF//moaD//hybB//fruB//omrA//gudD//srlA//codA//murC//accC//yccT//tadA//rstB//efeU_1//cyoA//metN//isrC//relE//rseC//carB//znuC//glnB//cpxA//ybfE//hflD//flgJ//fadR//ssrS//katE//acrZ//phnN//cynT//
NarP_neg	nrfC//tdcF//mdtB//hipA//ydeO//astC//malZ//ampC//yegZ//pheM//fimE//csiD//bglJ//metB//gcvB//argT//moaB//qseC//yiaM//glnP//evgS//fdnI//gcvH//higB//fruK//sufC//hybA//bamE//fbaA//rhaS//tam//tolC//dgkA//
NarP_pos	exuT//sgbH//argB//fliH//ftnA//ubiA//gabP//argC//nadB//nrfC//alaS//lldP//entD//mhpB//fliP//yegH//fepG//ftsW//melA//gcvP//luxS//gspC//gadY//purD//fadE//mgrR//ynbA//aceE//ompW//gspJ//nrdA//waaY//
NemR_neg	hcaR//dinQ//dsbA//
NhaR_pos	fruK//ryhB//gspF//ssb//yidQ//cynT//mtr//
NikR_neg	nadB//hybB//agaI//glpQ//pepA//pgi//
NimR_neg	ymjD//csgE//
NorR_neg	ddlB//
NorR_pos	ybjN//ppiA//
NrdR_neg	hokE//zraR//cvpA//ssuD//garL//yjbH//mazF//emrK//sbmC//
NsrR_neg	waaH//zraR//ybhG//betA//umuC//potF//nuoM//ddpF//nrdD//mdtA//fecB//lamB//yjbE//purN//agaC//agaV//araC//yccT//ydhY//flgE//ssb//guaB//hyaD//nrdI//galM//slyB//dmsA//hyfF//mhpT//allA//ybhF//frdD//ssb//ftsQ//nupC//cspD//arsB//ycgZ//purF//trpR//dinB//ygaC//yiaL//exbD//rbsA//ssrS//cysI//tyrP//ydbK//glnQ//yhdX//dsbA//rbsB//csrB//emrA//frdA//trpC//kdpF//gntU//glyA//alaC//flgD//mpl//cueO//narK//fimE//metH//fepG//aceF//chiP//casB//arsR//hypA//pheS//fucI//phoP//mgtA//arsB//mdtF//sbmA//hyfG//casC//malZ//
NtrC_neg	znuA//cueO//znuA//tyrP//nuoE//uof//
NtrC_pos	mtlR//ssuD//astE//fucK//ilvC//pheS//glgP//phnE_2//sucA//puuB//nfo//ybaS//glcB//flgJ//malG//hyaF//dcuD//deoD//exbB//sdhB//pflB//psiE//luxS//nupG//rseA//lldD//carB//mazG//ada//hcr//dkgA//deoA//ddlB//baeR//gspD//cas1//mgrR//ryhB//melR//paaH//gyrA//nagA//betA//mdtD//fepG//chbA//yfiR//araE//metF//
OmpR_neg	hisQ//mlc//obgE//rcnR//bioA//rplU//fliP//gcvT//alkB//phoA//torR//paaD//
OmpR_pos	atoA//paaA//csgB//paaA//fliO//deoD//flhB//ygeH//ccmF//yafO//
OxyR_neg	recD//rhaD//gadY//ycjG//zntA//mtlD//fecA//rcnB//fau//ydcU//rclA//ybbY//
OxyR_pos	araF//norV//tauC//treB//artQ//treC//yeaR//creD//nohA//manZ//ascF//bolA//purC//accD//lolA//betA//cyoD//rhaT//idnR//ykgO//hypA//talA//
PaaX_neg	hyfA//sdhC//stpA//ecpR//bamE//dicC//rffG//fepG//mtlD//acnA//trpD//paaI//fes//rstB//
PdeL_pos	hypC//
PdhR_neg	cysN//frc//dgcC//ugpE//uxuA//malX//rybB//yidQ//carA//fliD//yjbH//mraY//nemA//betA//mpaA//dgcC//hycD//yqjA//gspH//rpiB//trpL//relB//uxuR//lpxA//lrhA//ascB//phoU//prpC//treC//hyaE//fliT//osmY//baeS//gatD//sufA//flgJ//
PdhR_pos	srlE//norV//gatA//narG//iraP//
PepA_neg	yecT//potI//astB//
PgrR_neg	rob//fucK//leuO//lsrC//mdtD//hcaR//lpxA//nimT//
PhoB_neg	cbl//gudX//mpl//tyrR//cysP//pheM//ompF//fliZ//arsC//napC//mgrB//lrp//
PhoB_pos	ydeP//metE//glpD//setA//yjbH//cusF//hcaF//glpT//rutR//deoD//nlpA//prpE//soxR//ftsW//fau//agaS//ydfN//gspJ//ymjC//ygaC//aceK//hycB//katG//symE//ynfF//tfaQ//rpsU//citC//nuoL//treR//potH//ymjD//bglB//yeaR//rybA//oppC//cynT//glxK//uhpT//crr//putP//bluF//aceB//nemR//ydfX//ybfN//hcaF//hybA//zinT//mraZ//hdeD//fdhF//ulaC//
PhoP_neg	tdcF//ulaA//ydfW//evgA//bdm//yhdY//aroH//cyoE//uvrY//fliN//glnQ//
PhoP_pos	hcp//malK//srlD//uvrA//tnaA//rpmA//yhjA//agaC//rstA//hypB//ascF//fepE//paaF//ynfG//pncB//galK//nadA//atoE//ascB//cyoA//adhE//higB//nuoL//agaS//idnK//bglJ//fabZ//ygbA//gnd//mlc//glgC//potI//ybhG//yjbG//adhE//oppC//deoA//bamE//yciE//pheM//ccmC//leuC//uxaB//frdC//lgoR//narK//sufS//argT//
PrpR_neg	ykgO//
PrpR_pos	gadE//envC//fucO//dkgB//
PspF_neg	yoaG//
PspF_pos	ccmH//nuoM//kdpF//gabP//hokD//galR//
PurR_neg	tdcF//yiaK//sucB//pitB//phoU//alaS//rseA//umuC//adhE//hycI//flgK//narI//glmS//murF//lysP//nrdA//dps//galR//uxaB//gnd//gspI//entC//ulaC//pyrD//dnaA//yfiB//hycF//hokD//ptsI//nuoM//nemR//
PutA_neg	fabI//cyoD//
PuuR_neg	rplT//hipA//dctR//accD//yegH//chiP//astD//
QseB_pos	dcuA//citD//ybhL//yidL//
RbsR_neg	nanK//accA//fepD//micF//add//ynbA//fliG//hcr//
RbsR_pos	yjiY//
RcdA_neg	fhuE//phnE_2//
RcdA_pos	putP//efeU_1//treR//metR//rtcB//mqsA//asnC//
RclR_pos	fepD//phr//nuoH//
RcnR_neg	dsbG//yrbL//atoA//
RcsAB_neg	speB//gadA//rdoA//umuD//cysU//mhpA//
RcsAB_pos	flgC//argP//marA//fliC//fhlA//flgK//paaZ//aroL//cyoE//sgrR//
RcsB-BglJ_pos	rffT//qseB//ppiD//ccmG//fucI//argC//melB//ftsZ//fixA//fadD//adiA//metF//thiQ//wzyE//fabH//rhaS//
RcsB_neg	mazE//ycgR//
RcsB_pos	uspA//rsmH//yhcH//fruB//ptsH//dgkA//purF//treR//fepB//yjbH//uidC//exuR//dsdA//flhC//fhuE//paaI//sufA//cdd//rob//mdtB//gadE//ppc//yfiB//
RelB-RelE_neg	sufA//yhdZ//mglA//
RelB_neg	yfdE//ilvC//wcaB//
RhaR_pos	casE//aceF//
RhaS_pos	flgM//ycjG//lacY//allC//hybO//ygiB//
Rob_neg	alsA//
Rob_pos	mpaA//yegH//wzxE//molR_1//napA//aldA//cpxR//ftsK//lsrG//gspO//paaB//csgF//flhA//cysG//rutA//acnA//ybiT//deoD//torA//mpl//pgaD//ptsI//sfsB//yqhD//aceF//
RstA_neg	cheW//mglB//ugpA//hycE//osmB//
RstA_pos	fepC//sra//araD//hcaC//motA//
RtcR_pos	sgrS//mcbA//
RutR_neg	efeU_1//fliK//ftsW//betA//moaE//ompT//fadJ//eno//ybhF//ompN//skp//rnlB//hokD//uxuB//murQ//
RutR_pos	puuE//fliJ//
SdiA_neg	sufD//exbB//rutD//
SdiA_pos	cysC//hisQ//purF//
SgrR_neg	hybE//efeU_2//ygiC//mdtA//yhdX//
SgrR_pos	acrZ//ynbD//mcbA//nupG//
SlyA_pos	fecD//
SoxR_neg	glgC//
SoxR_pos	icd//hybA//
SoxS_neg	agaS//moaB//
SoxS_pos	cydC//envC//gltK//hemH//mntS//yiaK//dgkA//hypD//tauA//ompC//flhE//ydiV//ynfE//yncE//caiD//ptsH//puuC//rutC//ymjD//ccmA//ecpR//ynbD//paaZ//flu//dtpA//metA//ybjN//ybdZ//recC//grxD//lon//araG//fliP//ycdZ//ppiA//dnaG//gadW//ychF//
StpA_neg	ppsA//malF//entA//prpC//add//higA//talA//
SutR_neg	gspD//tpiA//sdhC//ftsQ//treR//
SutR_pos	gspM//
TdcA_pos	sufA//intQ//glcC//ybhG//gabT//uidR//cbl//
TdcR_pos	pagP//cysW//cysI//cusC//fliP//fdnI//ariR//
TorR_neg	artQ//ompN//rarA//
TorR_pos	yiaK//eno//oppA//argP//envC//cysC//nagE//manZ//ydiV//
TreR_neg	yeiL//hypE//
TrpR_neg	yidL//accA//norW//glpQ//zraR//asnC//napC//paaA//tnaC//fepE//ttdR//ompF//
TyrR_neg	ycgR//hcaR//flgA//nanC//purL//ybbW//guaB//phoR//ulaE//ykgO//
TyrR_pos	phnO//hycF//csgG//
UhpA_pos	tdcB//
UidR_neg	ynbB//ugpC//ytfE//astA//
UlaR_neg	gadY//waaH//hipB//cysP//ulaA//ykgO//marB//
UvrY_pos	paaF//ftsW//ytfE//ydfW//fruB//
UxuR_neg	mprA//tauA//pyrC//dnaN//flhA//melB//hyi//yedX//umuD//
XapR_pos	rpoE//oppD//
XylR_neg	leuD//
XylR_pos	dsbA//glnH//ychF//dgcN//ykgO//oppF//
YdeO_neg	ydeI//hybF//
YdeO_pos	nrdH//ydhX//nadA//mngR//atoE//speA//dctA//oppC//hybA//feoA//ulaF//copA//flhB//gloA//cysA//psd//entA//rsmH//modA//
YedW_neg	yqjH//ecpA//ubiA//ftsK//galR//
YedW_pos	asnA//cysK//cueO//glcA//fecA//ihfA//ykgO//
YefM-YoeB_neg	gutM//hdeD//
YefM_neg	ptrA//wecE//
YehT_pos	aroH//
YeiL_pos	cpxR//
YiaJ_neg	ada//rutE//ryhB//torD//frdC//idnR//nuoF//fliO//alsB//iscS//
YjjQ_neg	citG//ydeM//yibQ//hyaB//allA//fucA//yfaE//metR//nrdG//arsR//
YpdB_pos	paaG//
YqhC_pos	rarA//mhpT//
YqjI_neg	hyfB//ulaE//
ZntR_pos	mlrA//
ZraR_pos	pgaD//sufS//hyaB//
Zur_neg	entF//mgtA//crp//narJ//soxR//hypA//
