#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	phoH//fliI//
CysB_pos	tyrP//ynfK//crr//aroL//glpD//obgE//tnaA//entC//ydfN//asnC//metB//ydeP//glnH//bglB//tnaB//feoA//srlA//dapD//fliK//fepG//ppsA//fixA//ecpA//pdeR//evgS//
CytR_neg	fhuE//gadC//cpxA//talA//rcnR//ydhX//cydD//phnP//nhaR//prpC//sufE//gspE//uxaC//
Dan_pos	citE//rutD//mdtD//mscM//
DcuR_pos	nrdH//manY//sutR//garP//relE//slp//hmp//ydfE//folE//
DeoR_neg	psiE//lacA//dacC//waaZ//flhD//flgJ//
DhaR_neg	aroL//
DhaR_pos	borD//yjhB//nfsB//
DicA_neg	zraP//baeR//ttdB//flgG//modA//gatD//ygeH//manX//
DinJ-YafQ_neg	trpB//psiF//oxyS//
DnaA_neg	fliZ//hyfD//nimT//hybC//glnK//hisM//csgC//hyfE//ydfW//ftnA//ybhR//
DnaA_pos	yaiA//lysR//fadR//paaF//ydcV//pncB//nrdF//
DpiA_neg	idnT//
DpiA_pos	yfdX//hmp//mdtA//phnN//yciX//narH//lon//hybG//acrA//cspI//
DsdC_neg	uxuA//
DsdC_pos	sgbU//carB//
EbgR_neg	kdpB//cydD//
EnvR_neg	efeU_1//glcG//
EnvY_pos	cecR//rclC//
EvgA_pos	xapA//malS//metC//hyaD//hyaB//tam//yiaN//codA//yhdY//tyrA//yrbL//nfsA//hybC//nuoC//rpoE//qseB//ydiV//fhuE//katG//
ExuR_neg	nirD//rhaA//flgK//hyfJ//tehA//flgD//bluF//ymjD//puuP//
FabR_neg	rhaT//cyoB//
FadR_neg	gspK//appA//ppdC//chbG//focB//hha//cyoA//cusB//cusA//nadA//fepA//
FadR_pos	creB//tonB//frdA//xapB//ubiA//paaF//ymgA//hycB//lsrG//phnG//rclA//acrZ//
FeaR_pos	ryhB//ugpA//
FhlA_pos	cysC//lsrK//murG//ybhF//znuA//mglB//tynA//nagC//cydB//uspD//paaA//dhaR//yqjH//feaB//gcvP//cysC//ycjY//nuoN//fecI//ybbW//degP//leuD//mlrA//ryhB//fepG//sgrT//bioF//mraY//pgaB//lexA//
FlhDC_neg	frdD//adiA//hybO//idnO//
FlhDC_pos	ynbD//yhdW//polB//csgB//accB//torA//phnL//mazE//yjbH//hisQ//ybhS//yqjA//evgA//infB//sucB//sodB//cusS//fixX//lhgO//gyrA//yhdW//ybhR//pdeR//fliK//ydcS//acrB//kdpA//waaZ//potH//entB//flhE//rutB//cusF//argB//araF//fdhF//bioF//oppA//glnH//iclR//recD//moaE//hyfA//yoaG//amtB//norV//flgG//uxuA//csgE//trpE//gyrA//slp//ampC//agaC//gspM//ydhX//narL//hns//gadE//dcuR//fimE//motA//intQ//mntP//zraS//murI//hyaF//gspG//yccT//phnF//pncB//baeS//cusS//ccmC//dinD//fecR//acrR//gfcA//
FliZ_neg	ydcS//hybB//ldtC//phoA//ybfN//puuA//pspC//ptsH//murD//gyrA//malZ//metY//ydbK//ahpC//fdnG//torR//cysW//ssuC//yhhY//phnC//feoB//
FucR_pos	dinB//srlR//chbA//hyfG//baeS//ydhW//fabH//
Fur_neg	csgF//rhaA//glnP//pyrD//gpmM//tyrA//ecpA//hybA//feoC//hha//dmsA//zraS//mdtA//fecR//caiA//pspD//yiaN//acrB//argF//pdeR//pqiB//sucD//ygaC//cecR//rpoS//dinQ//ccmA//mngA//fadM//mqsA//lsrD//rseB//asnB//glnL//cyoD//mglB//mhpD//fepB//cynX//argC//lamB//hybF//pgaB//betB//mhpF//yjjZ//garD//htpG//cysC//mdtD//yafN//agaR//exuR//hemL//ftsZ//fliP//omrB//nrfC//ascB//napC//phnM//fdnI//fucA//yhdW//cpxA//yfaE//yqhD//allC//fixX//wrbA//galE//fliL//sgrR//puuB//ftnB//ydhT//phoU//rcnB//adiA//ppdB//tauC//mdtA//rffH//entS//fepB//yqhD//tcyP//isrC//cspD//ascB//dcuS//gpmM//micF//gabT//slt//fliO//nac//ydiU//feoB//nuoM//ubiX//mhpE//allA//ldtD//purC//rpmI//uxaC//glnL//nlpA//pyrD//acrR//serA//hisM//accB//fldB//
Fur_pos	pnuC//relB//ecpR//cusR//ompC//lsrD//flgA//betB//gatB//ydcU//ybhF//intQ//hcaR//flgA//melR//melA//ymgC//rcnR//cynX//fliD//crr//
GadE-RcsB_pos	murI//leuD//potF//csrB//entA//chbA//glpF//ydeO//sufE//
GadE_pos	ariR//amn//phnE_1//copA//symE//hcaC//xylR//nrfD//aspA//nrdH//alkA//caiC//omrA//araA//moaA//poxB//fliA//glk//gadC//phnG//phnG//hycI//fadB//yjbE//astA//crl//mqsR//ulaD//alkA//
GadW_neg	envC//codB//fhuD//dsbC//agaC//trpB//pgi//ung//idnD//trpD//fliK//
GadW_pos	ahpC//leuL//qseB//recD//fepB//frdA//borD//fabH//nikD//fliM//eda//
GadX_neg	yhhY//xylF//yjbH//purH//mazE//araC//
GadX_pos	feaR//cheW//glpF//alsE//yafQ//sfsB//accB//fabA//napB//dsbG//gudD//bluF//prpR//purK//sutR//csgC//tomB//frc//pitB//ykiA//araE//dcuS//pspB//mdh//flhD//ygeH//putP//
GalR_neg	yncE//norV//ftnB//fbaB//xylB//metJ//aroP//degP//nemA//mtlA//
GalR_pos	idnK//pyrD//gapA//feaB//
GalS_neg	gadC//puuE//gspH//nrfG//fadL//ydhX//betB//rpoD//mhpT//rclB//
GalS_pos	chbB//atoB//chbR//sgrS//
GatR_neg	fes//flgL//asnA//lsrD//rybA//napD//
GcvA_neg	pstC//nuoN//ttdB//mglC//
GcvA_pos	srlD//arsC//mglA//ompF//
GlcC_neg	fepB//
GlcC_pos	psiF//ynbB//glnL//kdpA//trpL//feoA//
GlpR_neg	frdC//yhjA//ssuA//phnJ//slyB//rdoA//sgbU//fadJ//mglB//
GlrR_pos	dapB//ybhL//bamE//wecC//dnaN//
GntR_neg	mqsA//glyA//yccT//glmY//artP//obgE//cvpA//entE//alaS//yccJ//creB//zntA//
GutM_pos	hyfA//artI//cyoC//norV//idnR//phnN//ynfG//
GutR_neg	ddpF//mioC//dnaN//lsrF//yhdX//hisQ//relB//
HU_neg	srlE//moeA//malE//yrbL//fliL//znuA//lrhA//ahpF//
HU_pos	hmp//
HcaR_neg	cheA//
HcaR_pos	hcaE//malK//mcbA//znuA//nirD//
HdfR_neg	purM//purD//
HdfR_pos	yecR//lsrC//galP//
HigA_neg	sbmC//cheW//
HigB-HigA_neg	yecT//crr//
HipAB_neg	rutC//mdtD//mnmG//hyfC//fur//
HipB_neg	tdcF//nrdH//cyoA//gspD//puuA//oppB//
HyfR_pos	fecD//fecI//sucA//asnA//pnp//yagK//yhjC//ydiV//paaK//yafO//yeiL//gltJ//
HypT_neg	fhuD//ydcU//motB//csrC//mhpD//
HypT_pos	pflB//cysJ//waaZ//trxC//nanK//chbA//mhpA//ymjD//
IclR_neg	rffT//cysM//rutG//ppc//
IdnR_neg	cspI//lsrC//
IdnR_pos	ftsI//gutQ//pitB//phnI//metC//
IlvY_neg	pepA//
IlvY_pos	ulaD//
IscR_neg	fdnG//metK//murD//nuoC//ulaA//sdhD//napD//pstA//fldB//malZ//astE//treB//fepC//ydfE//uxaA//cadB//ldtB//recF//yegR//nanM//kdpF//
IscR_pos	uvrA//caiA//pspG//leuL//speA//mazF//mcbA//marR//gcvH//folE//pqiA//
KdgR_neg	uof//uvrD//
KdpE_pos	nagC//lhgO//cadC//wzb//
LacI_neg	nimR//fadJ//garD//
LeuO_neg	gadY//arsC//ynfE//
LeuO_pos	rseA//yhdY//ada//hyaF//pyrD//melB//decR//dsbA//uvrD//malK//yccT//potI//nadB//carA//paaY//glpF//prpE//idnO//
LexA_neg	mepH//gadY//ccmH//aceE//fecA//adiC//uxuA//ddpX//glxK//csrC//rcnR//hemL//ybbW//dsdX//fecR//nuoE//nanA//fepG//flgN//tyrA//fixX//wza//ascF//ddpB//alkB//puuC//mhpD//ybhF//emrA//ddlB//ycjF//paaF//hyfB//cynT//sufC//citG//yeaG//fadH//yecT//ompN//galP//paaJ//aceA//cyaR//paaY//fbaA//lacA//htpG//torC//metL//torA//argO//recC//astA//gpmA//fliZ//ftnA//hdeB//ugpA//
LldR_neg	ugpE//fabG//norR//
LldR_pos	ybdN//uvrY//nrdD//
LrhA_neg	folA//acrA//
LrhA_pos	xylB//nanE//
LsrR_neg	galR//gabT//ygiA//araC//pgi//fliN//rbsA//rutB//napF//
LysR_neg	yiaM//
LysR_pos	sdhB//
MalI_neg	glk//emrK//hyaB//
MalT_pos	hycE//hybO//galT//ftsI//mdtB//idnR//gcvP//cusA//dcuS//flhD//
MarA_neg	cusF//allB//phnH//rcnB//bglF//mdtA//hslJ//
MarA_pos	yefM//mngR//ybjN//prpD//hcaF//dgcZ//dkgA//ydeO//gspD//fruA//fliP//hybO//ilvY//cpxQ//yedX//flhA//gudP//garL//citD//accC//fruB//nrfB//mgtA//pdeR//purM//rhaA//dnaN//lysC//ccmA//yeaG//fdnG//
MarR_neg	rffH//poxB//ribA//
MatA_neg	hyfH//lolA//ddpB//galE//cysB//gntT//
MatA_pos	bioC//sbmA//
MazE-MazF_neg	gabT//hyfG//fliF//
MazE_neg	ruvA//yiaK//zntA//
McbR_neg	cbl//
McbR_pos	acnB//fliI//alkA//
MelR_neg	icd//cyoD//fliC//
MelR_pos	hcaR//cadA//eda//
MetJ_neg	ssuE//ulaC//yhcH//mqsR//nuoI//modC//psiE//soxR//yfdX//lysO//ssuE//fadJ//fdnH//iclR//cusB//
MetR_neg	fliJ//luxS//
MetR_pos	fpr//casB//pspF//dgcN//
MhpR_pos	cheW//tolC//glpQ//ccmD//ddpX//paaX//
Mlc_neg	htpG//sufS//rstB//marR//mhpE//flgB//yhdX//fadD//bioF//sucD//
MlrA_pos	ptsG//cyoB//ydiU//yaiA//phnF//dnaA//phoB//fpr//araG//nohA//
MngR_neg	dctR//fadE//chbC//
MntR_neg	symE//xylB//patD//ydbD//
MntR_pos	ribA//
ModE_neg	rtcA//emrY//astB//nrfD//fimE//cusF//mraY//bioA//accC//phoB//ygeH//folE//garR//sroD//uspE//
ModE_pos	ppc//nuoE//relA//zraS//argA//pstB//alaS//chbC//ynbC//cysD//fliP//fliG//cytR//trpB//hisJ//phoQ//yhiM//ecpA//phoR//recF//tdcF//edd//malF//fliO//dsrA//ydhV//lpd//gadE//metJ//rhaD//cysH//
MprA_neg	wcaA//appX//mqsR//glnB//yefM//agaB//
MqsA_neg	yciX//glgB//malE//treC//deoB//yqhD//yqaE//flgI//
MraZ_neg	grcA//iscR//pnp//fliL//fiu//ftsW//deoA//deoB//phnE_2//pstS//paaG//gadE//dsbG//alkA//napC//gltL//mtlA//
MtlR_neg	dsbC//nirC//accB//
MurR_neg	ydhV//fadB//mazE//
MurR_pos	sbmC//
Nac_neg	yfdE//ydjM//pspA//rbsA//wza//degP//hemH//pspF//glgC//
Nac_pos	modC//ampC//codA//evgS//ddpC//aceK//ydhX//citX//mipA//tsgA//fumC//rstA//
NadR_neg	glcE//zinT//fadH//yjhB//
NagC_neg	fliD//hcp//nanS//uidB//rcnB//rpoS//argR//hyfI//hemH//evgS//leuD//yeiL//aidB//recA//ydeN//lamB//appC//feoC//gntP//rclC//udp//nfo//hcaB//pspB//sgrT//yhdY//hflD//yfaE//ldtB//mdtC//yhbS//ymjC//yedX//
NagC_pos	pgaB//trpB//mgrB//
NanR_neg	ddpB//marB//nikR//rutB//napD//polA//ccmH//gcvH//emrA//tsr//
NanR_pos	gcvT//
NarL_neg	rhaR//ftsQ//astE//hisM//ftsA//yhdZ//rpoS//yfdE//yhiM//glgC//prs//hcaR//fhuC//mngA//lsrC//pnuC//nusA//phnF//cbl//rutB//ddpF//hycF//purN//ykiA//ydhU//leuA//ddlB//ttdB//yafN//ydeO//pdeR//csiD//uxaC//gntP//cyoB//gcvH//mgrR//hybB//ygeA//cynR//gntT//nikA//rnpB//argP//ryhB//moaD//mdh//glnA//melA//cysI//leuO//yegH//malP//paaF//spy//tomB//glyA//ldtB//fumB//atoE//ccmB//metC//cyoE//chbA//zraR//garR//ppdB//rimP//gutM//evgS//glpA//yfdX//rhaR//intQ//kbaZ//rplT//yebE//ycjF//yqaE//mhpD//ddpD//waaY//malY//tyrR//mngR//nrfA//yjjZ//
NarL_pos	infB//nrdB//norV//treB//phnE_1//sucD//iraP//yhbT//fimE//agaV//fabZ//dmsD//glxK//rutB//pgm//argD//chbF//relA//rpiR//nuoN//yafN//metY//yiaN//pqiA//sufD//hyfG//mdtE//uhpT//znuB//phnN//alkB//ndh//ppc//fdnG//yefM//fliS//gatY//nuoB//cysW//hokD//ahpF//pspA//ydhW//
NarP_neg	fecC//yccT//exbB//tbpA//fruK//waaY//glyA//aspC//dinJ//fnr//uxaA//accD//ugpC//hypF//cysW//trpA//fixC//moaB//srlD//gcvT//rffC//ftsL//cydB//moaA//mngA//cysI//metY//tsx//rcnB//nanM//hcp//appA//malY//
NarP_pos	relB//cysE//nhaR//fabZ//artQ//cpxA//nfuA//nupC//nirB//hemH//ybjN//yjeV//yncE//gcl//entC//fldA//modA//gyrA//garP//ynfE//gntX//yjbG//entE//ecpA//rutF//yfiB//flgN//umuD//ssuB//acrA//ompN//tyrB//
NemR_neg	ebgC//zntA//gadE//
NhaR_pos	deoD//wzb//ascF//lacY//hypF//ccmG//borD//
NikR_neg	lamB//rhaT//nanS//yeaH//bioA//ydeO//
NimR_neg	ppsA//murC//
NorR_neg	ydfN//
NorR_pos	nrdE//torA//
NrdR_neg	nusA//cyoC//rob//hybD//rplT//uidC//fucO//waaZ//tcyP//
NsrR_neg	fliG//cspI//gadY//ybaT//ubiX//dkgA//rtcA//hyfJ//exbD//tsx//glk//fadM//yjjQ//fnr//fabZ//sgbH//ftsL//yqjA//phnN//feoC//yhjX//nanT//katG//mhpD//yegH//lacY//hybD//recC//metL//pnuC//ftsK//uvrA//chbF//gatZ//nirC//uspE//rybA//nfuA//aslB//yncE//hycD//safA//rclA//entB//nmpC//amtB//creA//waaZ//cydC//atoA//dmsA//ydhW//betB//cynX//mntP//ybhF//uvrB//yeaR//wzb//yafQ//bioB//dtpA//ydjM//fliA//yiaL//nuoC//yhdY//hyi//obgE//moeB//frdC//yhiD//nirB//flgF//hcaB//chbR//sutR//malE//murC//ynfH//frc//rhaD//mazG//
NtrC_neg	ndh//wecC//waaZ//dnaN//frdC//ttdT//
NtrC_pos	hycC//yafP//dpiB//atoD//ulaC//ygeH//metR//phoE//hemL//cyoE//rhaB//ykiA//ebgA//grxA//flgC//tadA//mdh//yeaE//frdB//rcnR//gntU//nikR//nhaA//chbR//nrdE//fdnH//ahpC//crr//grxD//phnN//lldP//chbC//yiiS//nfuA//mraY//potF//hha//ynbC//mntS//ddpC//ygiA//rtcA//phoE//cydC//grxD//wecB//osmY//mngR//araH//
OmpR_neg	ybaT//rutA//aroH//galK//emrA//gntP//modC//rpiR//fadI//citC//puuR//omrB//
OmpR_pos	mipA//ccmD//allC//dicC//ydhT//hdeA//appC//cysG//garK//fabD//
OxyR_neg	rclA//cynT//phnE_1//micF//garP//ldtD//fucP//hokE//lrp//umuD//prpR//pheS//
OxyR_pos	sucC//phnL//rffH//emrK//ubiC//allS//hyfA//ydeO//phoE//nuoF//nrfB//glgC//rcnA//ybaS//ytfE//bioC//fliE//galT//ycgZ//ugpB//bglG//gatA//
PaaX_neg	aceB//decR//ydfE//zwf//ahpF//araC//wza//phnI//flgB//dapD//psiE//guaA//moeA//yccA//
PdeL_pos	ygbK//
PdhR_neg	borD//rbsA//fucA//glnD//mdtF//hybA//ftsA//atoE//flgD//borD//hybE//prpC//melB//glpQ//yjjQ//crr//hybO//paaE//puuB//pykF//murE//flhA//hycC//lpxA//ygiC//yqjH//folA//nuoE//pheT//argH//pgpC//mglC//cpxR//ydhW//trpB//pyrC//
PdhR_pos	rbsB//nuoI//serA//wecC//ariR//
PepA_neg	cho//ompW//soxR//
PgrR_neg	artI//srlD//chbR//araA//ydiU//marR//rnlB//ygiZ//
PhoB_neg	pgm//ybiT//grxD//ybdZ//phnJ//uspE//ybjG//malP//rpoH//lsrK//pgi//waaY//
PhoB_pos	rpiR//fumB//nuoE//dcuR//fnr//mgrR//araC//rseB//bglJ//narX//araC//rbsC//tauC//sucB//rbsR//citC//erpA//omrB//phnN//astC//ydhW//rbsD//cirA//artI//uvrY//rnlB//yebE//wza//xylB//osmC//dicC//pqiA//polB//patD//hyaF//purC//pstS//gfcA//murE//gapA//napA//yciX//glnB//mntS//purR//dapD//astC//tam//sufS//atoA//malG//tsr//dmsC//
PhoP_neg	ttdR//tdcE//garD//eno//aspA//appB//caiT//glmS//rutR//malG//recN//
PhoP_pos	slt//nfo//wzxE//fdnG//cpxA//ydcS//flgF//ybhF//fliN//htpG//rbsA//flgJ//puuE//lysA//cysC//nikA//ydbK//csgB//higA//mdtC//mnmG//ompN//ydcU//araG//murC//ihfA//torC//aceA//iscR//cdd//tnaA//ugpC//yecT//cspI//fliQ//xapA//aidB//uvrB//citC//crr//ygiZ//fepG//entE//uidR//yciG//flgH//hisP//bglF//
PrpR_neg	icd//
PrpR_pos	safA//marA//rfe//tsgA//
PspF_neg	glxR//
PspF_pos	yjbF//yqjI//accB//phr//tehB//frdB//
PurR_neg	cdd//tynA//yfdV//cysU//dinI//arsB//metJ//yhjA//lpxA//ymgC//phnO//accB//ldtD//phoR//aroH//uxuA//fliS//chbA//fadI//hisQ//rclB//agaA//frdB//glcA//fabG//iclR//ung//nrfD//puuE//puuR//alsB//
PutA_neg	sufA//flgA//
PuuR_neg	yibQ//napH//gltJ//fliG//appC//luxS//tnaC//
QseB_pos	rpiB//dinQ//lon//lldR//
RbsR_neg	guaB//agaC//gcvP//borD//kbaZ//nrdD//pspB//codA//
RbsR_pos	ftsI//
RcdA_neg	yfdX//lpxC//
RcdA_pos	bioD//gcvP//moaC//adiC//hyi//dgcN//lsrB//
RclR_pos	entE//ccmC//ybfE//
RcnR_neg	fimE//dsdX//nemR//
RcsAB_neg	glnA//rpiR//manY//qseB//norV//yefM//
RcsAB_pos	nikR//bdcA//baeS//citG//skp//yrbL//gntU//cpxP//edd//osmB//
RcsB-BglJ_pos	hypB//yfdX//fau//rffG//rffT//talA//hypF//sroC//cyoE//cas1//hisJ//argC//caiA//glnA//tauA//mepH//
RcsB_neg	sufC//malE//
RcsB_pos	cysC//yciG//hybC//mprA//tnaB//uxuB//ygiA//speA//tehB//wzc//rnlB//sutR//appX//galT//fabG//rimK//uxuA//glnK//uvrA//mdtB//borD//gntT//appA//
RelB-RelE_neg	betB//hha//crr//
RelB_neg	mzrA//ydhT//ccmA//
RhaR_pos	mngR//purK//
RhaS_pos	dmsD//glpQ//higA//zraP//iscA//gadW//
Rob_neg	lhgO//
Rob_pos	pyrD//pdeR//motB//mtlD//pheT//ubiX//mazE//mgtA//ompN//flgJ//yoaG//metE//agaB//malQ//slp//leuD//ttdA//yhbT//kbp//ydiU//cyoA//araH//gatD//ymjC//caiF//
RstA_neg	fliH//rffT//prpR//cyoD//pfkA//
RstA_pos	mqsR//fliH//grcA//yjbE//fadM//
RtcR_pos	pgpC//caiD//
RutR_neg	rutE//pqiA//nfsA//pepA//argO//rbsB//gpmM//gntK//ybhF//csrC//uxuB//hybB//xapA//flgH//mtlD//
RutR_pos	prpE//malG//
SdiA_neg	sufD//hyfA//cecR//
SdiA_pos	fadH//hflD//relA//
SgrR_neg	glmY//nanC//ftsI//yccT//dinD//
SgrR_pos	xapA//sufD//lysP//fadI//
SlyA_pos	kdpA//
SoxR_neg	katG//
SoxR_pos	ppiD//glcE//
SoxS_neg	flu//ada//
SoxS_pos	lysP//mraY//acnB//dctR//tbpA//fbaA//flgI//betB//tehA//metB//pitB//acnA//purN//yjbE//manY//infB//yefM//psiF//narL//fhuA//citF//malK//fliQ//hypB//sdhD//gabP//torC//setA//putP//metE//recF//fhuF//hisM//emrA//glpT//frc//ydeN//ahpF//
StpA_neg	cyaR//fliA//argP//cadA//paaC//baeS//ompN//
SutR_neg	hdeB//artQ//uvrA//bdm//molR_1//
SutR_pos	lon//
TdcA_pos	nfuA//mtlD//lsrR//glnK//rnlB//pqiA//nadA//
TdcR_pos	frdB//infC//fdnI//pqiA//flgJ//chbR//fucP//
TorR_neg	metF//lacY//rimP//
TorR_pos	bluF//yfbR//moeB//rbsD//astC//lysR//fucU//ssuE//flhB//
TreR_neg	fliF//entB//
TrpR_neg	entH//adiA//cysN//cueO//ruvB//ttdA//iscA//flgD//glcF//argE//tdcE//yiaK//
TyrR_neg	mtlA//araG//gcvB//yqjH//hokD//aroM//glnK//yhjX//hcaD//cysC//
TyrR_pos	csgE//ynbB//gspM//
UhpA_pos	ydjM//
UidR_neg	gltB//yrbL//acrD//mhpC//
UlaR_neg	bioC//iclR//ynbA//nrdA//asnA//gntU//yhdW//
UvrY_pos	recF//hyfG//spy//hyfE//cspD//
UxuR_neg	nagA//yhbT//nrdD//fliM//tnaA//potH//hyfF//dsbG//mzrA//
XapR_pos	yhjA//fixB//
XylR_neg	yjiY//
XylR_pos	ybjC//argB//pnp//cspI//pgaD//tdcB//
YdeO_neg	dgcZ//hcp//
YdeO_pos	bioC//patA//ynfE//galE//hyfG//ybjN//argP//agaI//katE//betT//ppsA//ruvA//iraP//talA//astC//fhuD//cpxA//ynfF//rutD//
YedW_neg	feaB//uxuB//yfdX//gltF//thrS//
YedW_pos	ymgC//yjbG//sgrS//hcaF//rimP//narH//gpmA//
YefM-YoeB_neg	glmS//rcnA//
YefM_neg	ygeA//cysW//
YehT_pos	fadJ//
YeiL_pos	pykF//
YiaJ_neg	fadB//mhpT//pitB//wrbA//flhB//nirB//hdeB//galK//sufC//ldtD//
YjjQ_neg	lpxC//wcaA//fliS//marB//ampC//fdnH//tsx//fixB//dinI//ygiZ//
YpdB_pos	yqjH//
YqhC_pos	ycjX//malS//
YqjI_neg	narK//rutE//
ZntR_pos	hflD//
ZraR_pos	ldtD//dgcN//sfsB//
Zur_neg	cspE//dicB//astB//recC//wza//cysA//
