#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	lldD//agaI//
Fur_neg	uxuR//glnL//fucO//zinT//mioC//ccmC//cytR//ppsA//cyoC//envC//cra//lysC//kbaY//fdnG//flgM//metA//glcC//mdtD//nrdH//hyaE//sufC//fepA//pgpC//talA//uhpT//fabI//ynfE//envC//luxS//mazE//wcaB//mhpC//araB//ibaG//oxyS//fabI//flgN//nrdE//wzc//yhdZ//artQ//ymjC//aroH//ydcU//fucU//mglA//gcvA//uvrD//metY//gatC//nfuA//norR//ruvA//ldtD//ftsW//ydjM//fhuF//asr//ydcV//ymgA//epd//amn//flhA//ugpA//murC//micF//fhuD//ftsL//mdtC//cyoD//lldP//rnlB//casC//glmY//xapB//fadI//aspC//kdpA//malT//yoaC//potI//pgaB//fliP//ulaD//tdcB//csgD//rutC//gspJ//mepH//flhB//ybaS//ebgC//malM//acrD//gutQ//metB//rarA//fepG//hyfC//phnK//rcsA//gadE//hypF//tpiA//rybB//rffT//fucU//sgrS//nikD//agaD//glnQ//kbaZ//ftnA//puuA//pykF//
Fur_pos	rprA//yiaJ//ptsH//ppdA//frc//mipA//htpG//yeiL//ynfE//envC//hybB//pgi//glmU//casB//ybfN//dcuR//cysP//tyrA//nrdG//kbaZ//hyfR//
GadE-RcsB_pos	fbaB//cydA//ydfE//ftnB//ptsI//polA//amn//bdcA//higA//
GadE_pos	yafQ//torR//fixB//xylR//gspF//potH//acnA//deoB//fruB//murE//moaD//cynS//chbR//nuoN//hycD//xapB//sdhD//fhuD//fecB//araB//sufB//modB//nrdG//fecB//asr//ddpF//mdtF//moaD//wzc//
GadW_neg	yidQ//mzrA//yafP//mazF//glnP//hypD//tolC//yebE//sucD//yiaM//pitB//
GadW_pos	gltK//argG//flgA//ygiB//ssuE//psd//entS//allA//allE//phoR//tsx//
GadX_neg	tdcB//gadC//mcbA//nimT//narG//narL//
GadX_pos	dctA//ynbB//idnO//gspG//metH//pepA//prpE//phoP//fhuC//cysH//napF//aroL//treR//rdoA//hyfG//appA//ydcS//glpB//rybA//fhuF//cydC//phoP//aroH//appX//flhB//nanE//sulA//
GalR_neg	cusS//ftsL//acnA//manZ//dcuB//lsrR//yciF//hybB//ugpA//fldB//
GalR_pos	yjhC//phnE_1//rybA//fdnI//
GalS_neg	fliL//appB//dctR//gadY//glnA//pspF//nrdG//fes//gnd//galP//
GalS_pos	phnJ//fadH//exuR//paaZ//
GatR_neg	rcnB//rffG//dmsA//entE//nadB//caiT//
GcvA_neg	ycgZ//entS//napF//cyaR//
GcvA_pos	ydfH//paaZ//osmB//umpH//
GlcC_neg	hycD//
GlcC_pos	melB//znuA//dkgA//nrfA//fldA//appC//
GlpR_neg	fhuF//ulaD//baeS//mngA//flgE//sufE//nanM//ecnB//fadR//
GlrR_pos	ccmF//gatC//ydhU//csgD//casB//
GntR_neg	garK//pstB//ftsL//rpsU//infB//argP//wcaA//accB//phr//cysG//srlE//rcsA//
GutM_pos	narX//mglA//fau//puuD//prpD//lacA//pncB//
GutR_neg	hybG//ydfN//gadY//uidC//flhE//prpB//hisP//
HU_neg	cspI//patD//purB//lysA//dinJ//malS//nfuA//ycjF//
HU_pos	yidQ//
HcaR_neg	cysE//
HcaR_pos	carB//glgA//gadF//speA//yfaE//
HdfR_neg	nrdI//yhiD//
HdfR_pos	murF//recC//fucK//
HigA_neg	glpD//ccmH//
HigB-HigA_neg	mpaA//gspH//
HipAB_neg	gadB//seqA//glpC//lysR//nrdI//
HipB_neg	tisB//ompC//nuoK//hyfB//norW//treC//
HyfR_pos	mntH//potF//sroC//glgA//nrfE//glgA//nrdF//accA//yncE//feoB//acrZ//hybO//
HypT_neg	acrB//mlrA//pfkA//nrdH//ebgC//
HypT_pos	lysP//mglA//csgA//lon//rpsU//amn//ycjY//purE//
IclR_neg	pdeH//csgA//ygiB//lsrC//
IdnR_neg	flgH//cyoE//
IdnR_pos	ydhV//nrdB//safA//ygeA//hypE//
IlvY_neg	trpC//
IlvY_pos	pspG//
IscR_neg	glnK//frdC//yhjA//dsdC//malP//fadJ//phnJ//cysK//modB//trpA//kdpA//srlA//artM//hybO//appY//oppB//nusA//gadE//nrfE//csrC//waaY//
IscR_pos	dsdC//lamB//lexA//phoU//flgJ//norW//pfkA//fadL//tyrR//hisM//hycG//
KdgR_neg	chbA//hypF//
KdpE_pos	glcC//psiE//fruB//fepD//
LacI_neg	nhaA//cysC//lrp//
LeuO_neg	cysJ//ynbD//hcaR//
LeuO_pos	glcG//polB//gntX//nikD//artP//cynR//fliR//bglB//yhdW//puuR//rhaS//tdcA//nanE//oxc//uxuR//leuA//pnuC//phoR//
LexA_neg	rpoE//cra//xylG//gor//ulaA//glxK//alsB//napD//arsB//mnmG//dmsA//ryhB//csrB//cusC//ykiA//hybF//cysP//ubiX//efeU_1//lldR//soxR//yqjI//mgtL//glpX//phnC//rcnA//ymgC//sdhA//hybO//mglA//grxD//ruvA//csgE//lldD//dapD//murR//argG//yhjC//phnI//polB//rffC//phoA//yhdY//ariR//ihfA//mscM//galS//gspF//yfdV//uspD//micF//stpA//fliJ//malX//pdeH//ftsA//mazG//nrfC//agaV//
LldR_neg	kbaZ//hycI//isrC//
LldR_pos	psd//yfdE//astA//
LrhA_neg	malI//uidC//
LrhA_pos	agaR//ccmH//
LsrR_neg	fecR//chbG//ugpE//flgE//purR//fdnH//rbsR//ynbD//glcC//
LysR_neg	malF//
LysR_pos	tktB//
MalI_neg	ssuE//yibQ//dmsB//
MalT_pos	flgI//tomB//ssuC//phoR//ubiC//mglB//pyrC//metB//rcsA//sbmA//
MarA_neg	nanC//yncE//cysM//rutD//lsrB//fabH//sodA//
MarA_pos	tnaB//gatC//udp//flgK//rhaS//osmY//mdtC//yefM//pflB//glgA//glcF//pdhR//mntH//cspE//ecpA//norR//ykgO//uxaA//puuD//rbsD//yqaE//phnE_1//ybhF//nuoI//wcaA//dhaK//mngR//pncB//hybA//bhsA//inaA//
MarR_neg	putP//ulaF//ykgO//
MatA_neg	ompN//glpX//nrdB//molR_1//gudX//rdoA//
MatA_pos	ygaC//gntX//
MazE-MazF_neg	phoQ//rffG//zinT//
MazE_neg	pfkA//nanS//trpA//
McbR_neg	murQ//
McbR_pos	flu//gatD//ahpC//
MelR_neg	rstB//gspO//yoeB//
MelR_pos	purC//dicC//agaI//
MetJ_neg	ilvC//pstS//rutD//ulaD//ycdZ//nuoM//torA//fepC//uxaA//wzxE//slyB//pdeR//nuoI//rutB//isrC//
MetR_neg	ccmF//flgB//
MetR_pos	phnI//fadR//yafQ//agaD//
MhpR_pos	hcaE//wzc//hyfB//prpD//purC//mzrA//
Mlc_neg	rimK//lacA//metA//rhaD//acrD//yrbL//borD//nikE//nirD//hisP//
MlrA_pos	fliF//ftsI//osmY//ddlB//csgB//gapA//alkB//rutG//dctR//gltF//
MngR_neg	pnuC//hybD//ebgA//
MntR_neg	fadA//ptsH//ycgZ//phnL//
MntR_pos	flgN//
ModE_neg	hyfR//hyi//yebE//phnO//atoE//lhgO//alsA//psiF//flgG//cpxP//fecA//evgS//dmsB//aroP//rclC//
ModE_pos	symE//purM//flgD//dhaK//mngB//flgN//ydeP//betT//tyrA//hycG//ydcU//rbsC//ccmE//yhiD//zraS//nuoL//pepD//ribA//exbB//pdhR//citE//aroF//decR//nfsB//acrR//purD//hybB//alkA//sgbE//nrdE//accB//
MprA_neg	betB//bioD//nirD//cspD//ynbA//idnR//
MqsA_neg	lsrF//waaY//mngA//agaV//pdhR//sodA//uxaC//nanT//
MraZ_neg	malK//mnmG//cusF//allA//narJ//ygiZ//potI//hcaE//aroL//metF//mazG//recX//yfdV//cynX//uxaC//uidB//gatD//
MtlR_neg	mltF//mraY//paaE//
MurR_neg	pfkA//infC//pyrC//
MurR_pos	pepD//
Nac_neg	nrfF//hybC//mprA//yccA//ychF//uidB//hyfI//aspC//napH//
Nac_pos	ydhU//hisQ//iclR//ccmD//bhsA//phnH//yrbL//glnD//fliA//codA//garK//astD//
NadR_neg	recA//pstB//betB//artM//
NagC_neg	alaS//sgbE//nanS//sufA//garR//dhaR//flgF//rpoE//entC//napG//casD//hflD//chbR//fruK//flu//nrdF//hdeD//cra//glnG//hypF//uxuR//cadA//treC//mdtE//ppsA//fixX//phnN//lexA//glpD//fhuD//dcuS//dhaR//treB//
NagC_pos	fdnI//yeiB//malT//
NanR_neg	nikA//sgrS//yhiM//gspL//ugpB//phoQ//rhaD//aceB//ykiA//araE//
NanR_pos	cheA//
NarL_neg	cho//paaI//hisJ//fhuE//gadW//moaE//fruB//rclA//ftnB//entB//malE//melR//sodB//glk//narG//rhaA//phnF//pepD//crl//chiP//metQ//tfaQ//yhhY//xapB//udp//gudD//cusF//gabT//uxuA//rbsB//fadL//rseB//yiaL//caiE//pyrD//safA//cusB//ccmF//gspL//malX//rclA//lldR//hyfI//tauB//adhE//ddlB//deoD//ycdZ//yhbS//pdeL//trpC//dgcC//pheS//lsrK//narK//mltF//cheA//yegZ//argR//pflB//arsR//gspF//torD//ssuC//pagP//bdm//yeaR//argE//casE//mdtA//pdeH//oxyR//malY//mioC//leuO//tdcG//wcaA//symE//mpaA//entF//flgN//csgG//ybjG//feoA//yefM//artP//srlD//
NarL_pos	acrA//ycjX//rhaD//cbl//yneM//fadJ//asnB//sroD//aceE//sra//entD//cysW//hipB//ecpR//creA//csiD//ddpD//dtpA//argI//gcvT//ebgC//acnB//hyfC//asnA//agaS//pstS//gudP//rutB//gspD//rtcA//nagE//cusR//phnN//yfiB//paaD//gadC//hcaC//ascF//emrK//uvrC//puuB//xylG//gabP//
NarP_neg	rcsA//cysD//pykF//hycE//casA//hdeA//glgB//accC//argO//pstA//alaC//hycG//fnr//rcnA//trpB//dacC//ttdR//rcsA//fepB//glnQ//ulaB//hyfF//hycB//sbmA//yecT//pspF//putP//metE//dhaM//yciX//nfsB//galS//araF//
NarP_pos	rhaB//yegR//yhhY//ybdN//yhjC//dacC//nfo//hisQ//ssb//bglG//malP//dinI//yhcH//entF//potI//fhuF//yafN//sufA//lldD//citC//moaE//prpD//epd//ubiC//nuoH//flgJ//umuD//purL//leuB//ymgA//nrfB//mazE//
NemR_neg	acrD//rpoH//rtcA//
NhaR_pos	yciE//tnaB//nuoI//nemA//deoB//creC//ynbD//
NikR_neg	alkA//bdcA//mlrA//ycjF//idnK//rhaB//
NimR_neg	mzrA//caiE//
NorR_neg	nuoB//
NorR_pos	ebgC//gspC//
NrdR_neg	fadD//wcaB//dgcZ//fliI//rclC//hyaB//nadB//purD//yfiB//
NsrR_neg	acrZ//ydfN//hdeA//glpC//fecR//hcaC//hyfR//gatY//pgi//tcyJ//yjeV//citF//dapD//cynS//fhuD//pdeR//phoA//aidB//gcvB//rutB//pnp//oppF//hyaF//rarA//citX//ybjC//zraP//ccmD//aroH//rffC//agaD//skp//fbaA//wecE//galE//gutM//dcuA//narH//yqjH//insK//hdeA//chiP//mqsA//nuoA//tauB//pncB//codB//mglA//asnA//nanM//murE//narG//hycE//ulaC//dinI//fhlA//aidB//aceK//nimT//hha//ccmH//sucB//iscR//asnA//hybF//ynfG//rutR//astD//hypC//hmp//glgP//iscU//carB//pepD//ulaE//csrB//ryhB//psd//idnT//ftsL//alaC//yjbE//wecE//
NtrC_neg	yoaC//dhaM//feaB//ulaE//gntU//icd//
NtrC_pos	slp//moeA//galK//mdh//rtcB//fixC//lacZ//yaiA//lsrC//tyrR//mdtA//ydfE//allB//ugpA//mntH//dnaA//uspD//qseB//gutQ//cusC//gspG//yrbL//aroF//tfaQ//fucI//mqsR//fdhF//lpd//hyfI//ascB//rtcB//allS//nagB//amn//cysJ//zraR//luxS//sutR//mngR//ugpC//cbl//ydeM//narJ//mntP//modC//hycE//yoeB//fecB//hybF//
OmpR_neg	hisJ//polA//allD//guaA//dgcZ//fliI//ccmA//grcA//argO//fur//mgtA//gor//
OmpR_pos	patD//fliM//ulaB//ppsA//dsrA//pagP//mhpT//bioC//torC//purA//
OxyR_neg	uxaB//lldD//iscU//dhaK//pepD//malS//rutC//flgJ//appC//xylB//acnB//ytfE//
OxyR_pos	exuT//gpmM//yiiS//polA//feoC//rprA//argF//dinI//fliA//fliG//hycB//ygaC//folE//yiaK//cusS//agaD//gloA//frdD//alkB//purR//sufD//nikC//
PaaX_neg	tolC//tktB//tynA//uidC//ibaG//hybB//hycI//relE//aceK//hemL//ulaC//hisP//zraR//putP//
PdeL_pos	glpQ//
PdhR_neg	ccmB//mgrB//pykF//tbpA//mraZ//ymgA//ydfD//ydcV//fabB//yafO//gabP//phoQ//narH//fadH//paaE//adhE//fadL//nuoA//hydN//fixB//metB//fimB//rhaB//exuR//argF//dnaG//nupG//hyi//nrdI//nrdB//zraS//prpR//ftnA//nikB//ydfH//rutR//
PdhR_pos	rffG//rclB//patD//sufD//waaZ//
PepA_neg	prs//fucR//ecpR//
PgrR_neg	nfsA//emrY//ydbK//ulaG//baeR//araB//nagC//lpd//
PhoB_neg	yhdZ//araD//marB//paaB//ompW//nanC//waaZ//entC//acrD//gspC//yjhC//nfuA//
PhoB_pos	yegR//yhbS//ycgR//ruvA//glgC//yagK//cvpA//prpD//rbsD//norV//ttdA//fliE//paaI//csgE//ftnB//yciG//fixC//nanK//dgcC//metA//hyfR//recA//dps//sra//sodB//sufC//pspE//cytR//nuoK//glcF//rseC//cysC//rstB//nhaA//pitB//glmS//flhB//dmsA//nanS//uidR//lpxD//rseA//hcp//araH//tdcB//ydhY//fadD//sgrT//eno//mtlR//rnlB//ulaE//puuB//
PhoP_neg	dsdA//fruB//degP//rpiB//malP//cydD//exbD//mtlA//rutD//uvrB//alsA//
PhoP_pos	artQ//ycjF//rbsR//hyfE//efeU_1//grxA//tdcD//kbaZ//agaR//waaZ//hyfD//malI//entD//cysE//gltF//puuE//araA//wrbA//zraR//fumC//chbR//dtpA//hybB//gatB//pgi//recX//nirC//adiC//ccmE//epd//csgB//uidC//yccA//hslJ//aroP//yafQ//nrdD//galK//fliP//uof//ftsQ//copA//tolC//phnL//mdh//mazG//pheT//rbsC//
PrpR_neg	ybhF//
PrpR_pos	fliQ//paaC//purC//rffT//
PspF_neg	sufD//
PspF_pos	fumC//entD//dmsD//mngR//fliR//arsB//
PurR_neg	oxyR//phnD//garK//mltF//cra//lrhA//phnD//csgD//flgH//iraM//atoE//nirC//gspE//mdtA//glmU//mglA//sufS//dkgA//mscM//fldB//prpB//ynjI//exuT//alsB//fepD//xylR//glnP//mioC//dpiA//ccmA//ynbB//
PutA_neg	rbsA//alaS//
PuuR_neg	crp//uxuR//betB//ssrS//ppc//frdC//cusF//
QseB_pos	ftnA//bluF//truB//entA//
RbsR_neg	ecpR//yjjQ//bhsA//glnK//fhlA//aidB//glpC//dacC//
RbsR_pos	yhdY//
RcdA_neg	ycjF//hisM//
RcdA_pos	pspG//tnaC//cpxA//glgC//chbA//yhdZ//ybjN//
RclR_pos	atoA//znuC//fliF//
RcnR_neg	glcB//hybF//idnD//
RcsAB_neg	tyrA//garK//appA//fbaA//fliA//ybbY//
RcsAB_pos	yebG//envC//dmsC//murQ//sodA//glnP//hcp//amtB//appA//potF//
RcsB-BglJ_pos	yiaK//murD//pfkA//purE//ilvY//gatC//rcnB//norR//alsB//hdeD//thrS//phnH//phoB//patD//mdtD//dsdX//
RcsB_neg	phoA//oxyR//
RcsB_pos	rtcA//cydA//dpiA//glnH//gntT//mpl//hcaD//wrbA//gpmM//ydfW//tnaA//flhC//fepG//nrdG//cysE//rybB//galM//sgbH//melA//ftsK//ycjY//manZ//caiT//
RelB-RelE_neg	gatY//uspE//wzzE//
RelB_neg	soxR//metQ//ptsI//
RhaR_pos	mdtC//flhE//
RhaS_pos	puuB//hcr//agaD//psiE//waaH//ymiA//
Rob_neg	patD//
Rob_pos	ftsI//aidB//soxR//phnO//ddpD//cynT//garL//wcaB//gltD//ompW//pheT//fabI//dcuD//paaC//yiaJ//sroC//yebE//entA//prpC//cysI//ppiD//recF//ymjC//tolC//nadA//
RstA_neg	nagE//uxuA//asnA//torC//uvrB//
RstA_pos	melB//efeU_2//ybbW//entC//fabH//
RtcR_pos	ybhL//alkB//
RutR_neg	yjhC//gdhA//fixA//fliK//znuA//motB//fabG//edd//hycA//fruA//modC//phnM//fecR//fabI//cydC//
RutR_pos	rhaR//yfdX//
SdiA_neg	agaV//yafP//mzrA//
SdiA_pos	cusR//tyrP//emrK//
SgrR_neg	borD//fabH//puuD//tcyJ//yiaK//
SgrR_pos	slt//gspH//dinJ//pgaB//
SlyA_pos	emrA//
SoxR_neg	tsr//
SoxR_pos	hycF//gfcA//
SoxS_neg	mipA//yagK//
SoxS_pos	casC//oppC//fixX//fhuF//pyrC//srlB//hycH//ppdB//entC//ddpX//fliQ//glgA//rhaR//galT//yegH//flgH//gltD//nuoA//fecA//hycD//fhuA//araJ//gltD//srlE//nikE//xapA//dmsB//yiaK//hyaF//insD//pgaC//purB//dctA//yqjI//xylA//phnL//tauA//hyfI//
StpA_neg	ychF//marA//feoA//rffC//mdtF//prpR//trpB//
SutR_neg	rplT//argB//rbsR//puuA//yagK//
SutR_pos	appY//
TdcA_pos	uidA//hypF//dgkA//metR//katE//fadH//dsrA//
TdcR_pos	xylH//iraM//rbsR//hyaD//pitB//yhjC//gatB//
TorR_neg	rnpB//glnQ//fabA//
TorR_pos	allB//betA//oxyR//hyaC//fliJ//ssuE//feoA//gspI//malX//
TreR_neg	rtcA//pgaD//
TrpR_neg	appY//ascB//appA//hybB//rtcA//dgcC//paaC//tyrB//copA//creB//yhdX//cspE//
TyrR_neg	nemR//dctR//allS//mipA//bluF//fecB//pspC//potG//ydfH//ymgA//
TyrR_pos	wzzE//cirA//omrA//
UhpA_pos	yfdE//
UidR_neg	glpK//puuE//phnC//feoA//
UlaR_neg	hmp//mazF//pspG//hcaF//rob//ddpF//metY//
UvrY_pos	polA//ftsL//atoA//yciW//nimR//
UxuR_neg	rimP//gcvH//rffM//glnG//phnN//napG//ydfE//rbsB//rstB//
XapR_pos	glpF//pgm//
XylR_neg	rcnR//
XylR_pos	tsr//argB//rclC//dapB//aidB//csrC//
YdeO_neg	napA//nfsB//
YdeO_pos	csrB//dhaL//moeA//allB//folE//stpA//eda//gcl//ribA//betB//trpC//mcbA//idnR//katG//ada//trpL//allE//rcsA//yjiY//
YedW_neg	nikD//cysI//yhbS//yidQ//mngB//
YedW_pos	phnK//motA//aroF//nrdD//ftsK//zwf//wzxE//
YefM-YoeB_neg	marA//fhlA//
YefM_neg	entS//hycD//
YehT_pos	dinJ//
YeiL_pos	casD//
YiaJ_neg	hcaC//emrY//nuoA//mhpB//yebE//nuoF//ldtD//hyfD//putP//gltF//
YjjQ_neg	asnA//hybE//hisQ//fdhF//garK//dhaM//phnJ//nrdA//gadB//fixX//
YpdB_pos	hyfR//
YqhC_pos	ibaG//hha//
YqjI_neg	sodB//trpA//
ZntR_pos	araF//
ZraR_pos	lysO//omrA//mqsR//
Zur_neg	ftsL//ompW//tdcC//rybA//dapB//idnT//
