#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nuoH//cheA//
FadR_pos	fepC//btuB//dhaL//fliO//xapA//emrB//phnL//thrS//xylH//gspC//nfo//uspE//
FeaR_pos	pstC//fixX//
FhlA_pos	csrB//sucC//ulaE//gcvP//ydfD//soxS//pheS//fadI//rsmH//phr//hycD//alkB//dinD//ydeI//hyfI//phoU//mepH//nfo//entE//insD//dmsB//glpD//yjjQ//fliS//hybG//tcyP//csgE//ydhY//fliI//pgaC//
FlhDC_neg	uspE//gadA//glnP//gatZ//
FlhDC_pos	metJ//glgP//arsC//alsB//yegZ//hyaA//gltI//ribA//flgN//zntA//nemA//ribA//relE//accB//nikB//nrdI//glnL//rarA//ulaB//leuC//phnK//purR//hypD//lsrA//fdnG//phoP//tonB//fucU//ybhS//flgH//mqsA//ygaC//cyoC//moaA//aroL//oxyR//ycjF//fabB//amn//baeR//ynfF//tnaC//rhaD//caiC//fhlA//accC//fecR//asnC//emrY//pitB//kbaY//flgL//torA//pspE//tynA//sbmA//srlB//efeU_2//yidL//argA//ychF//lolA//ampC//csgA//gloA//dacC//malM//mipA//napB//citD//phnN//fliE//gatY//araJ//yoeB//ychF//pheT//ssuB//
FliZ_neg	ydiV//gspF//mipA//nrfA//yncE//dhaR//gspI//araA//znuA//aceB//astD//hycH//glmY//aceF//ssuE//nadB//yfdE//potI//yccA//argF//dmsA//
FucR_pos	gntT//nanK//glnP//yebE//torR//cspI//gcvH//
Fur_neg	dhaR//yegH//sbcC//cyoD//mazF//murP//iclR//puuC//omrB//araH//glnG//exuR//frdD//dkgA//cynR//zraP//yeiB//ynfH//dpiB//fepA//patD//cusF//ybfE//cynT//paaI//eno//hisM//hokE//psiE//cheA//yegR//phnF//bioF//allE//ycdZ//fepA//dhaM//fliI//tsr//dapB//nohA//lacZ//mhpD//acrR//yqjA//yqjH//fliH//sufB//pitB//entE//trpD//bolA//pncB//atoA//ydeO//fepA//creD//arsC//ydeN//agaD//nikE//napF//hcaE//umuC//cusF//mqsR//marR//rseC//nrfC//astB//ygiA//dicC//tisB//yibQ//hyfF//gadW//norR//glpK//uvrC//iscR//metH//lrp//gspG//citE//fpr//narX//rimP//tdcA//hokD//fliI//gltD//phnI//flhA//seqA//astB//yfaE//hisJ//nfsB//phnP//csgB//rpmI//cysM//nfsB//cysI//pheT//rhaS//cheW//mglA//yeiB//folE//hisP//sfsB//yegZ//treC//tyrB//
Fur_pos	tdcD//ydhV//fliK//gadE//fadD//narJ//mazF//iscA//lpxC//ptrA//hydN//napH//ybaT//icd//xylF//baeR//cyoA//fhuA//ynfE//artP//pdeH//
GadE-RcsB_pos	ldtB//nfuA//mdtF//moaA//lsrK//yiaO//hycI//gatB//tauD//
GadE_pos	ppsA//nuoB//leuO//rffH//frdC//sroD//trxC//ppdC//fabB//nanC//alsB//rbsR//cueO//crr//ttdT//argA//gspJ//mntS//rbsA//pspC//fhuD//paaD//mtlD//garK//pepA//mdh//aslB//moaC//dmsA//
GadW_neg	ydeM//ymjD//ygiC//mglC//pspE//fruA//glgC//cirA//cpxR//srlD//tehB//
GadW_pos	murD//yfbR//nrfC//pgpC//lysR//phnF//gutQ//garP//melA//infC//nirD//
GadX_neg	yqjA//asnC//lolA//zntA//xylG//lpxC//
GadX_pos	pspF//nadA//chbF//talA//pspB//emrA//fepC//sodA//ssuA//fruA//dsdA//zraR//ybhS//bdm//caiC//nuoF//nikE//phnK//mraY//puuA//idnR//glpC//citX//fadJ//gabT//hycF//carB//
GalR_neg	nimR//dgcC//rbsR//oxyR//csgF//ybjG//bglB//phnI//feaB//marB//
GalR_pos	leuC//cusS//torD//araF//
GalS_neg	hyfF//rpoE//envC//lrp//sra//paaY//mzrA//prpD//dnaG//moeB//
GalS_pos	ugpQ//fhuD//hmp//rseC//
GatR_neg	gutM//glnK//dicB//rbsK//fepG//rseA//
GcvA_neg	ydhU//alkB//gntK//ung//
GcvA_pos	ugpB//lacY//tynA//ftsW//
GlcC_neg	dmsD//
GlcC_pos	hcaB//osmC//znuA//yciF//phnO//metF//
GlpR_neg	hycD//moaD//rutE//dinF//uspE//fdnG//trpD//rffG//ybiT//
GlrR_pos	fabB//aspC//ddpB//evgA//fliA//
GntR_neg	fixA//recC//icd//nanA//rnlA//emrK//yiaM//phoH//hyaE//rybA//yegH//glnD//
GutM_pos	ddpC//metJ//truB//phnI//paaE//caiD//glcE//
GutR_neg	cysH//yeiB//agaR//setA//recC//yhbS//mglB//
HU_neg	phnG//rstA//yqjA//yciE//fliD//mhpT//cysM//yfiB//
HU_pos	ptsI//
HcaR_neg	ugpC//
HcaR_pos	torC//metA//manX//phnN//yccJ//
HdfR_neg	tauD//gspO//
HdfR_pos	mdh//xapB//acnB//
HigA_neg	sufS//nuoL//
HigB-HigA_neg	hcr//epd//
HipAB_neg	csgF//ldtD//deoA//mgrR//napF//
HipB_neg	gltF//cra//ykiA//katG//purD//psiF//
HyfR_pos	htpG//hycB//soxR//sdhB//ulaB//thiP//gyrA//entH//glnA//ompT//cadA//agaI//
HypT_neg	mpl//hyfJ//aroH//hycD//argP//
HypT_pos	purL//sutR//argH//rutC//argT//flgH//yhdW//phnK//
IclR_neg	psiF//citF//gor//mqsA//
IdnR_neg	asr//gspH//
IdnR_pos	rhaS//dctA//yjjQ//gatD//ompF//
IlvY_neg	bluF//
IlvY_pos	exuT//
IscR_neg	hycH//sutR//acrZ//osmB//dmsB//prpE//marB//uvrD//ydcU//purN//luxS//hemH//evgA//arsB//tisB//uidA//ccmB//hybE//mntH//gntK//rtcA//
IscR_pos	ydeM//folA//leuO//glpF//nrdD//tnaA//tyrB//gspK//emrB//astD//accB//
KdgR_neg	yciE//trpA//
KdpE_pos	paaY//baeS//gudD//garP//
LacI_neg	sdhC//nrdF//ydcU//
LeuO_neg	ibaG//fes//recC//
LeuO_pos	pgaD//bglG//ebgC//ybjG//creB//alaC//mdtB//ykgO//phnG//zntA//putA//hyi//wzc//lpxA//ompN//dsrA//cynR//ydhV//
LexA_neg	rimK//relE//cho//crl//narH//malM//rbsR//casC//ybdZ//nuoJ//mcbA//phr//creA//sgrR//alkB//cysH//fliS//flgJ//nikR//ttdT//flgE//rutC//paaG//arsR//gapA//deoD//cra//uxaC//putP//dcuS//tonB//fliR//malF//mdh//oxc//glgB//dkgB//trpL//nanE//argP//umuC//murR//emrK//narI//ygiZ//entC//aroF//puuE//hns//yegH//cynT//psiE//mntS//puuD//astC//stpA//higB//sufA//yjhB//
LldR_neg	ydeM//umuD//mhpA//
LldR_pos	bolA//yjeV//gltF//
LrhA_neg	dinJ//dhaK//
LrhA_pos	ugpC//ptsG//
LsrR_neg	rutR//hcaF//amn//fecC//mngR//deoD//emrA//narG//gapA//
LysR_neg	accC//
LysR_pos	yfbR//
MalI_neg	emrB//slt//uof//
MalT_pos	citX//fabI//mqsR//yfdX//mqsR//aroP//ccmE//metF//flgL//tolC//
MarA_neg	hybF//nrfG//csgB//aceB//arsR//glnL//phoA//
MarA_pos	uspD//nanC//tcyJ//bglB//metH//ugpB//sroA//leuO//araA//idnD//hycA//fadM//dcuS//mngB//argC//rybA//appY//ccmG//isrC//baeS//nac//yefM//yagK//yfaE//hydN//torD//dsbG//lsrR//xylA//gntT//gltI//
MarR_neg	recB//tbpA//eno//
MatA_neg	malF//hybD//nrdA//yfdE//pgi//appA//
MatA_pos	wzxE//umpH//
MazE-MazF_neg	nuoC//betB//yiiS//
MazE_neg	mglA//mngR//malY//
McbR_neg	ynfG//
McbR_pos	potF//umpH//decR//
MelR_neg	yccJ//lsrK//flgK//
MelR_pos	fhuE//srlR//mpl//
MetJ_neg	erpA//hcaF//arsR//rhaT//rimP//dnaN//flgB//bioA//yeiL//waaY//ynjI//efeU_2//dinJ//rclA//hyfG//
MetR_neg	wcaA//epd//
MetR_pos	malI//exuR//cusS//uvrD//
MhpR_pos	lsrB//ebgC//nrdA//tfaQ//obgE//gspL//
Mlc_neg	btuB//fnr//motA//cirA//mdh//ccmB//deoD//ftsL//glnA//yafQ//
MlrA_pos	allA//flgM//glnD//glpA//nanS//glnD//fliC//dsrA//oppF//setA//
MngR_neg	paaH//hycA//betT//
MntR_neg	ascB//sufD//cyoC//ccmE//
MntR_pos	pspA//
ModE_neg	murF//nikA//ybhS//sgbU//cydB//yjeV//ompT//rhaS//ppc//ppdA//xylA//cusA//betB//glgX//phoB//
ModE_pos	idnO//mgtL//dicB//dsbA//isrC//ycgR//narG//modC//purK//omrA//ssuC//gltK//yhdW//mdtF//hyfR//creA//ubiX//mglC//rffM//rbsR//fdnH//paaJ//exbD//puuB//sgrS//csrC//dctR//hyaB//yhiD//rbsC//fldA//
MprA_neg	ecpR//moaE//tdcE//rutE//inaA//fliC//
MqsA_neg	narK//ulaG//ydeM//dacC//hycF//ynbD//astD//allB//
MraZ_neg	yccT//entA//argF//frdB//caiE//hyfG//prpD//gudX//manY//nuoF//yhjX//iraP//astE//yeaH//nagE//moaB//phnE_1//
MtlR_neg	yjhB//wzxE//fadD//
MurR_neg	gatY//fimB//tdcA//
MurR_pos	omrB//
Nac_neg	melB//rstB//dhaL//pspC//hflD//inaA//tnaB//acrD//lsrB//
Nac_pos	ftsA//ulaE//udp//malP//marR//ebgA//phnP//folA//arsC//rbsC//uvrB//alsE//
NadR_neg	acnA//insK//gor//agaS//
NagC_neg	ygaC//cusC//borD//agaW//pstA//ydfN//narI//ybbW//fhuD//narH//hcp//caiD//ccmC//ynjI//pdeH//ycjX//borD//sbmC//nrfG//ttdR//oxyR//yiaM//cheA//glcB//tdcA//sgbH//mntS//sgbE//cheW//accD//kbaZ//wecC//hybB//
NagC_pos	gnd//cyoD//dgkA//
NanR_neg	lysA//alsE//csrB//gspD//accD//bdcA//bioD//marA//rbfA//yjbE//
NanR_pos	ssuD//
NarL_neg	phnO//deoB//agaI//acnA//gntU//lsrC//katG//mhpE//hypB//lpd//yoeB//ydcS//ydeI//gatD//yagK//alsE//ugpC//purK//fruA//ihfA//gutM//rpiB//ubiC//allB//isrC//safA//caiC//yefM//thiQ//dsdA//purK//moaA//frdD//mepH//napD//marA//ybhR//uxuA//appY//envC//citC//gfcA//dmsA//sufD//fabG//tehB//hyfF//hyfH//acrA//moaD//atoE//lacA//ykgO//phr//thrS//entB//ddpC//hyfD//ulaF//oxyR//fucU//glcC//pspD//cysC//gatD//ftnB//yjjZ//fecI//entA//ydbD//ulaD//paaY//yjbH//xapB//csrB//thrS//ebgC//dapD//ykgO//creC//umuC//glnK//gspF//gspE//atoE//gnd//fliQ//
NarL_pos	flgJ//yibQ//agaW//uvrA//yqaE//wzzE//ebgC//yeaE//omrB//mepH//dcuS//wzb//yhcH//pqiA//malF//artQ//wrbA//osmY//trpC//mntP//tsr//ttdB//pnuC//fadA//fhuF//purD//hcaF//emrY//arsC//norW//yidQ//cynX//pqiA//cheW//xylH//fes//rutB//ygiC//acnB//phoU//rprA//nirB//narK//
NarP_neg	rprA//nupG//malK//hybA//narH//fbaB//pyrD//ruvB//sgbE//tdcG//wrbA//casB//wecE//higB//btuB//glcF//rarA//nanC//mhpT//sfsB//nuoB//citX//dsdX//flgE//rcnA//tnaB//kdpB//tehB//pstC//appB//araE//ychF//speB//
NarP_pos	dhaK//fecD//dsdC//cyoE//nrdA//iscU//citE//purB//astD//bdcA//paaF//nanM//uof//crr//artI//murC//yeaG//glcA//glpA//nuoC//wcaA//tam//torC//rpoS//glcB//yqhG//fucP//rcsA//glmU//potH//hha//yjeV//
NemR_neg	aceA//recC//fldB//
NhaR_pos	safA//acnA//slyB//inaA//yhhY//gabP//purK//
NikR_neg	ftsL//dhaL//yccA//gloA//sufC//mazF//
NimR_neg	caiB//bdcA//
NorR_neg	iscA//
NorR_pos	symE//bolA//
NrdR_neg	gltF//pyrD//glgC//sgbE//pspA//acrZ//rhaD//manY//yhiD//
NsrR_neg	bioA//ydhV//hybG//oppF//phnI//hycI//fliG//tehA//lacZ//gadC//fpr//zwf//hypE//gspF//cas2//sufA//mdtF//ydeM//yqaE//appA//ttdA//bioD//pspD//wza//ssuD//uspE//dinJ//agaC//chbA//tbpA//lpxD//ynbD//wecB//tynA//fhuE//nikD//malE//bamE//rhaS//phnC//deoC//fadB//ygeH//artJ//fadE//gspE//bacA//glk//ddpX//malQ//epd//ynfF//dinQ//erpA//csgG//sodA//treB//nadA//nrdE//mdtD//malI//pspA//uspD//astA//accA//yebG//moaA//cysC//bhsA//allA//ygeH//phnN//ppdA//gudX//carA//ybjG//rseC//murI//ahpF//accB//pykF//idnK//tehB//
NtrC_neg	ilvC//mtlD//ppdB//uxaA//grcA//argB//
NtrC_pos	gatZ//fabA//fadH//btuB//ynfH//fecE//pepA//phnJ//hyfI//sufD//sutR//yqaE//iscR//iraM//hcaD//chbR//ydcV//ymjC//yhcH//mazF//norV//caiE//glnK//gntK//paaB//fau//bglF//yccT//xylB//modC//mdtA//fabG//cysN//yhhY//pdhR//gadW//fecB//udp//infC//dsdX//frdB//pgm//fliE//rhaA//nohA//crl//qseC//ytfE//kbaY//
OmpR_neg	paaX//ybbW//safA//betI//seqA//yqhD//hyfJ//ykiA//cynR//fadM//nrdI//rstB//
OmpR_pos	tdcF//mngA//fecI//yhdY//sgrT//gcl//hyaB//bglF//astB//purF//
OxyR_neg	murE//cyoE//wecE//rybB//nagA//ydfH//casC//nuoI//glcG//fdnH//pgaB//nuoJ//
OxyR_pos	flhD//dsdX//cheW//yqjH//crl//aroM//umuD//focB//wzb//bluF//ugpA//rob//serA//ddpC//rimP//sufE//focA//paaY//mgrR//fdnI//ndh//rhaR//
PaaX_neg	iscU//idnD//trpB//waaZ//trpR//wrbA//ulaA//zwf//zraS//acrA//slp//fumC//purK//gnd//
PdeL_pos	araH//
PdhR_neg	ygiC//ruvA//ddpX//qseB//csgC//folE//nimR//rpiR//gltI//narX//rpmI//gatA//emrA//hybB//hybO//recB//recC//fixC//purM//phnL//cyoD//yjeV//rutF//nemA//gudD//nrdI//pyrC//ymiA//ariR//nuoL//gspE//uidR//rcnA//xapB//sufC//glgB//
PdhR_pos	fabB//oppA//acrA//rtcB//slp//
PepA_neg	recD//cyoC//phoR//
PgrR_neg	hycD//aidB//hyaE//zraR//emrB//pheT//rpmA//ydfD//
PhoB_neg	uspD//aspC//yiaN//rbsA//glpD//paaB//cheW//gntT//malI//galT//yjbE//ompF//
PhoB_pos	ymjC//focB//pagP//glcE//napH//mqsR//fepC//potI//psiF//ogt//dinF//stpA//molR_1//fadB//fadD//metA//mtr//sgrR//chbF//allE//envC//ccmB//appB//hybO//melA//waaY//rbsB//ccmB//paaI//fldB//lacZ//yiaN//waaH//dcuS//ydhT//gltI//rybA//ynbA//hokE//cadA//gyrA//murG//sbcC//hdeB//zinT//relA//pnuC//nikD//pqiB//chiP//thiP//oppF//aldA//
PhoP_neg	higA//rpmA//gntX//patA//marR//fnr//nikC//mhpF//entF//napD//lsrG//
PhoP_pos	relE//mhpC//seqA//cyoD//uvrA//narX//glmS//ssb//ymgA//appY//hypD//relE//ydfE//ugpB//pgaA//acrD//narG//dgcC//sgrR//trpD//astE//ybhF//higA//glpA//ahpF//adiC//gdhA//tdcG//phnJ//nirC//gltK//cadA//ydcU//nanE//phnH//tpiA//ycjF//agaI//fhuC//fadL//lysP//rseA//recD//fecR//intQ//ybhL//purK//sdhA//
PrpR_neg	modC//
PrpR_pos	trpL//araF//malG//nagB//
PspF_neg	mtlD//
PspF_pos	luxS//feoC//gspC//focA//phnK//qseB//
PurR_neg	skp//narG//csgC//gltK//carA//guaB//agaV//artI//nagE//yfdX//csgF//hyfG//cecR//phnI//cysC//infC//pepA//purL//yccA//yfdV//fhuD//flgD//cvpA//rob//rcsA//dctA//fadI//allD//yhbS//casB//moeA//
PutA_neg	fnr//yccT//
PuuR_neg	gspG//icd//nagE//lpxA//fadJ//mglC//ahpF//
QseB_pos	pnp//mhpB//polA//fabD//
RbsR_neg	paaI//ppdB//recC//creB//baeS//flgI//iscR//waaH//
RbsR_pos	oppB//
RcdA_neg	cysP//ybjC//
RcdA_pos	tonB//narH//lldD//paaB//nrfC//soxR//fucU//
RclR_pos	sroD//glcC//glmU//
RcnR_neg	hyfR//gatY//wecB//
RcsAB_neg	ssuD//baeS//glyA//pspF//fixB//trpR//
RcsAB_pos	nupG//rffM//cyaR//hypE//napB//prpD//cadC//mraY//xylA//dpiB//
RcsB-BglJ_pos	hyaD//pstB//dhaK//xylB//mazE//puuE//aceE//gcvH//bioC//ygaC//hycF//phnL//dkgA//gadC//ptsH//sra//
RcsB_neg	nadA//phoQ//
RcsB_pos	gltJ//fliK//pyrD//sdhA//yaiW//bioA//ptsH//caiD//tehA//hybD//ccmE//potF//entE//yeaH//nuoM//araF//mprA//recF//ybfE//paaZ//ygbK//artI//rfe//
RelB-RelE_neg	purE//ahpC//fliQ//
RelB_neg	manZ//argG//paaF//
RhaR_pos	ampC//slp//
RhaS_pos	metB//creA//fadJ//chbA//omrA//glmY//
Rob_neg	citG//
Rob_pos	accB//epd//fepB//rpiR//atoA//cysC//alsA//gspI//pheS//cysI//purH//nhaA//ubiX//nanM//dnaA//tauA//motB//leuD//paaD//idnR//ftnA//sbcD//pstC//rhaT//fucO//
RstA_neg	fadR//murR//manX//fes//hyfH//
RstA_pos	nanM//agaW//cas1//argB//ubiA//
RtcR_pos	umuC//acrD//
RutR_neg	xylH//galP//flgM//hyi//yfbR//puuE//cynT//moaC//gadC//garL//ccmG//motB//fhlA//guaB//fhuE//
RutR_pos	fliC//gcvH//
SdiA_neg	yeaG//napA//astA//
SdiA_pos	csrB//motA//glmS//
SgrR_neg	fixX//cysP//gadE//fliN//glk//
SgrR_pos	phnO//glpK//idnD//uvrD//
SlyA_pos	pck//
SoxR_neg	asnB//
SoxR_pos	nuoG//sgbE//
SoxS_neg	entA//hyfD//
SoxS_pos	nemA//xylR//cpxR//yeiB//yecR//kbp//malP//puuB//rbsK//tdcE//rbsD//agaC//trpB//fecA//xapB//lpd//tcyP//yhdX//purC//ybdN//cynS//alkA//yafQ//phoE//ynfK//borD//rdoA//cydC//phr//cydB//ydiV//ulaA//fliF//torC//fruK//asr//galS//molR_1//
StpA_neg	tadA//ydcS//accA//glpB//lrp//thiQ//ynfH//
SutR_neg	cysG//yjhC//moeB//rbsD//hcaE//
SutR_pos	nrdA//
TdcA_pos	phoB//uvrC//lysA//yidQ//pdhR//cydA//hypE//
TdcR_pos	fadB//ugpA//frdC//glnH//nmpC//napC//insD//
TorR_neg	hypC//lacY//acnB//
TorR_pos	nupC//flgB//manX//acrR//mhpF//grcA//citC//dkgA//potI//
TreR_neg	sucB//yhdY//
TrpR_neg	sgbE//pyrC//ccmE//gudP//yafP//entS//mazF//gfcA//flgB//mdtA//dnaG//yoaC//
TyrR_neg	xapB//ompT//garL//csgG//rarA//fhuC//csgD//erpA//argG//ybaT//
TyrR_pos	slt//atoB//kbp//
UhpA_pos	astA//
UidR_neg	ybiT//creC//fadH//fdnH//
UlaR_neg	aslB//bglJ//atoB//hypF//ybfN//mlc//phnH//
UvrY_pos	galT//ynfF//alkA//gltF//gatZ//
UxuR_neg	seqA//paaD//ppc//rcnB//yegZ//uhpT//rimP//mdtB//fadI//
XapR_pos	yciG//paaB//
XylR_neg	tdcG//
XylR_pos	rplT//wzxE//leuO//ydcU//sgbE//fliH//
YdeO_neg	idnO//infC//
YdeO_pos	bglJ//nrfG//ada//dsbC//glcD//fliK//hdeA//ybjN//sucD//glcG//hycG//fadD//phnG//entS//glnQ//yagK//citX//fliE//prpB//
YedW_neg	gcvB//nupG//gcvP//casB//rutA//
YedW_pos	galT//dgcZ//argC//dhaR//degP//yrbL//crl//
YefM-YoeB_neg	gltI//fliS//
YefM_neg	araA//hyaB//
YehT_pos	lpxD//
YeiL_pos	ybdN//
YiaJ_neg	fliZ//nikC//cysW//gltK//ygaC//mglB//dinF//nikA//flgI//pstA//
YjjQ_neg	araB//hisP//yidL//nemR//ung//folA//alaC//nuoL//mlrA//ugpA//
YpdB_pos	aceA//
YqhC_pos	ygbA//lpxA//
YqjI_neg	glgX//dmsD//
ZntR_pos	oxc//
ZraR_pos	folA//flgM//glcF//
Zur_neg	deoC//ydhX//dgkA//appX//fbaA//murP//
