#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hipA//fdhF//
GlcC_neg	leuL//
GlcC_pos	guaB//narX//ssuA//acnA//mazF//adiC//
GlpR_neg	ydcS//sbcC//uidA//aceA//hypA//leuD//rtcA//mglA//fadI//
GlrR_pos	hycE//nfsB//glnG//cadB//glmS//
GntR_neg	chbF//hdeA//hyfF//fabB//pdeR//citG//mzrA//cspI//gpmA//glgX//ybhF//pagP//
GutM_pos	fliQ//uvrA//mglC//malE//ddpC//ugpE//sodB//
GutR_neg	nikD//pgaD//moeA//fucP//gpmM//ydhX//putA//
HU_neg	gspM//lpxD//sra//hyfB//lsrD//umuC//ybhG//waaZ//
HU_pos	pck//
HcaR_neg	folA//
HcaR_pos	flgI//nuoE//truB//hycH//yjhB//
HdfR_neg	agaB//yeaR//
HdfR_pos	csrB//glnP//folA//
HigA_neg	narH//cspD//
HigB-HigA_neg	gspJ//pagP//
HipAB_neg	mazE//nimT//bioF//rffG//csrB//
HipB_neg	rffG//ygiB//aspC//ygeA//dnaA//idnT//
HyfR_pos	yeaH//ulaB//agaD//hycE//bioF//ybfE//galT//nhaR//puuP//gltK//glpX//betB//
HypT_neg	cheW//tdcA//ccmF//artP//fepC//
HypT_pos	pepA//hycB//metQ//metE//bolA//metH//tsr//iclR//
IclR_neg	hybO//glxK//ygbK//rcnA//
IdnR_neg	zraR//deoB//
IdnR_pos	cspE//ryhB//fnr//ybdZ//ubiC//
IlvY_neg	umuC//
IlvY_pos	yhiM//
IscR_neg	sucB//allB//nanS//dpiB//wzyE//motB//nanA//nanS//fliS//fucO//nanT//caiF//sra//wza//csgD//gfcA//chbF//ybaT//gadF//mdtD//malM//
IscR_pos	ldtD//yecT//bioC//ydhV//lysR//allE//uvrY//dgkA//patA//argR//psiF//
KdgR_neg	cpxP//feoA//
KdpE_pos	yoeB//fucI//prpC//treB//
LacI_neg	guaB//ttdT//lysR//
LeuO_neg	waaH//treB//hyfE//
LeuO_pos	dkgA//paaZ//leuD//casA//dapD//gntK//uxuA//cusF//ascF//ybjC//asnB//guaA//nfo//dinI//mipA//aidB//tdcB//pspA//
LexA_neg	glpK//bamE//napA//hycI//fur//rpoE//pstA//ytfE//mnmG//flgJ//sroC//rclA//rffH//glpQ//hybB//gspD//hycF//treB//uxuA//ddpA//fliD//trxC//serA//rybA//fbaA//araB//cvpA//hipB//glnG//fixC//phoU//rtcA//iraM//fliJ//ynfE//uidB//alsB//infC//ubiX//allE//mhpD//feoB//ycjG//fepA//deoC//glyA//glpD//crp//lsrC//nrfD//nrdG//ygdB//bolA//yfdV//potI//cirA//cysI//ybjG//hyfI//
LldR_neg	ycdZ//dcuR//grxD//
LldR_pos	gatA//ubiA//artQ//
LrhA_neg	aldA//ynfF//
LrhA_pos	metY//cysH//
LsrR_neg	higA//nanE//fliD//artM//psd//aspC//glgC//hycF//pspC//
LysR_neg	pgm//
LysR_pos	csrB//
MalI_neg	polA//adiC//wzyE//
MalT_pos	fliO//gntP//cpxP//fadR//lysA//kdpF//nrfD//mepH//recA//pck//
MarA_neg	fixA//hha//wrbA//dnaA//prs//nuoF//sbcC//
MarA_pos	gspG//phnK//ydeM//lsrG//uxaA//yoaC//caiT//marR//flhD//ydfD//rcnR//nhaA//nuoC//hcaE//spy//rpsO//fliF//luxS//mntS//rutD//flgH//bdcA//hyfI//nrdG//znuA//soxR//thrS//glmY//hycI//cusR//nuoB//
MarR_neg	zraP//leuL//recD//
MatA_neg	rpiB//trpD//tyrA//ddlB//micF//rpoS//
MatA_pos	hybD//uidC//
MazE-MazF_neg	dinJ//ytfE//gadF//
MazE_neg	appC//fabG//paaY//
McbR_neg	sdhA//
McbR_pos	pgk//gudD//dtpA//
MelR_neg	fecE//katG//hybD//
MelR_pos	metJ//iraP//envC//
MetJ_neg	puuD//melA//yfdV//uidR//hycB//fadD//accB//serA//pqiA//rutC//sufD//flhE//alaS//paaY//acrD//
MetR_neg	phoE//rseB//
MetR_pos	ribA//ddlB//pepD//cpxP//
MhpR_pos	mqsR//tam//rbsB//ydcS//fliT//ftsI//
Mlc_neg	ycjY//hyaA//agaV//cysH//nuoA//fucA//citG//glpB//mhpT//hyaF//
MlrA_pos	mdh//gnd//hslJ//ecpA//fliJ//yhiM//fixC//dgkA//prpC//rtcB//
MngR_neg	exuT//icd//galP//
MntR_neg	ccmD//fliM//bdm//ydfD//
MntR_pos	psiF//
ModE_neg	pykF//tam//evgA//moaB//pykF//rcnA//malT//nuoB//pstA//mhpF//focB//allB//rffM//spy//pgaC//
ModE_pos	rpiB//tdcG//hyfJ//eda//hyfF//yhiM//uvrD//pstC//deoC//fliF//moaD//purK//accB//dcuR//wcaB//ascF//grxD//appC//alaS//ftnA//yfdV//lysA//cysW//ygdB//gutQ//fdhF//mlc//ydhU//yegR//fucK//wecC//
MprA_neg	fadM//rnpB//cytR//lsrF//acrZ//evgA//
MqsA_neg	acnB//wcaA//ompC//rutE//fixA//nanS//norR//ybbY//
MraZ_neg	metN//ccmD//chbC//ddpC//fabA//malQ//rclA//gatC//phnI//hyi//araC//frc//cysB//idnD//nirB//yqhD//flgF//
MtlR_neg	mazG//rtcB//ykgO//
MurR_neg	icd//ydcU//potH//
MurR_pos	guaB//
Nac_neg	guaB//metH//phnF//rhaT//fliE//lsrB//ddpC//marA//purR//
Nac_pos	cpxP//cysE//yciF//uxaC//ydfH//crl//baeR//dsbA//kdpA//rbsR//narG//trpE//
NadR_neg	csrC//ulaC//evgS//tsx//
NagC_neg	ybhR//ydfE//fabA//ndh//paaA//araA//uspD//yebE//rbsD//rbsB//fadJ//ychF//mqsA//uxuR//kdpB//cspE//manY//poxB//rhaT//mltF//dnaN//gspO//rutA//gor//gntX//betI//ung//tnaA//osmC//leuA//fimB//hcaD//yqjH//
NagC_pos	efeU_2//murF//stpA//
NanR_neg	malI//gabD//rob//cpxQ//chbR//tdcD//gcvT//ftsL//gadY//glpA//
NanR_pos	phnN//
NarL_neg	acrZ//nagA//ampC//dinG//gatA//iraM//yccT//talA//flgD//ascF//fhuA//yefM//kbp//srlB//prpC//yhdX//dsdX//pspB//cadB//hyfD//luxS//gadE//cas2//gcvP//rutE//crp//hcaR//malF//mhpE//flu//argT//nupG//nuoK//ykgM//csgF//srlD//phnH//murD//ybjC//ada//ynbD//ulaC//rplU//ybjN//tnaC//waaY//fadE//narK//rffG//bamE//kdpB//moaC//hyi//mipA//wcaA//mazG//nagC//mdtE//rhaA//napA//puuE//malX//nikE//speB//fadI//nuoL//gcvA//tam//iraM//mdtF//insD//rffC//pitB//gadX//dsdA//nhaR//pheS//yciX//hypD//yeaE//malF//paaX//ssuE//zntA//yncE//ddpD//cydD//
NarL_pos	sdhA//ybjG//murE//ydfW//mcbA//patA//fadJ//hyfJ//malS//hcaD//dgcN//ccmC//thiQ//caiA//lolA//hyi//tnaC//frdC//nrfB//phnD//malT//nirC//rprA//yqhG//ymgA//chbR//dsbC//alsA//psiF//sgrS//yedX//metC//glmS//wzxE//fixX//tnaC//csrB//zraP//bioD//bglB//lpd//mscM//melR//
NarP_neg	rplU//emrK//rclC//paaG//ycjF//entS//modB//argD//lsrR//sbmC//gspC//ynjI//gfcA//argP//ccmG//gadY//agaR//rpiR//purM//ilvY//nirB//ydfE//hemH//hdeA//gltJ//fecC//slyB//cysE//nrfF//murG//oppC//fecA//pdeL//
NarP_pos	cueO//rclA//paaH//lsrG//recX//mgtL//nrdF//galM//yidL//ttdR//marA//cysJ//bamE//ybhF//ssuD//speB//gspH//sulA//fliC//melB//pspC//ydcV//yiaO//araJ//cusB//chbG//efeU_2//nadA//betB//cvpA//glpQ//hslJ//
NemR_neg	appY//creA//grxA//
NhaR_pos	cadB//ybjN//nirD//pqiA//nuoC//nrfC//ydhU//
NikR_neg	ccmB//argR//glgP//ada//hycH//ydfN//
NimR_neg	yhdZ//lldR//
NorR_neg	caiE//
NorR_pos	mgrR//adiA//
NrdR_neg	fliG//cysM//sutR//pfkA//kbp//crr//folA//acrD//nagC//
NsrR_neg	ycjX//malQ//yciE//cydA//tcyJ//yhiM//ymgC//alsA//rbfA//stpA//araE//hypD//yhcH//puuE//hybB//nanA//ydhT//polA//csgE//wecB//udp//stpA//moaE//caiA//carA//ecpA//mgrR//sdhC//citF//fucI//bamE//hyi//dapD//paaE//nfsB//pspC//bdm//glgB//yciW//fabB//ptsG//dcuA//dinJ//relE//nikR//ptrA//exbB//purH//metY//frdD//tktB//fliP//citX//metK//phoH//malK//napB//araH//fhuA//torA//moaD//yciG//tnaB//rseA//yjhC//glmU//pfkA//ahpC//sroD//cysE//argC//malK//hybE//ynbA//dinQ//arsB//fliS//bglF//trpC//ynbC//narJ//gcvP//narG//
NtrC_neg	torA//ccmA//metR//cysA//tisB//nuoK//
NtrC_pos	metL//yfdV//gntT//sucA//ssuB//ampC//ulaE//nanC//gnd//alkA//ilvC//ydfD//trpE//ccmE//dhaL//sroA//fumB//aslB//deoB//yoaC//uxuR//ebgA//cspI//cspI//araC//treB//nlpA//dinJ//fepB//ompC//glnB//higB//rpsO//paaY//trpA//gntT//yegH//truB//ybhS//hycF//add//xylF//gspO//argR//sucA//ada//dgcZ//baeS//ydcU//
OmpR_neg	yoaG//nrfG//cheA//narX//oppC//dnaA//acrD//rstB//ccmA//citX//ygiC//rutD//
OmpR_pos	hdeD//mpl//araA//puuP//emrK//cysK//dhaK//acrZ//insK//recX//
OxyR_neg	alsA//nrdH//hcp//thrS//hydN//tdcD//kbaY//treC//ydiU//nrfB//hycH//purK//
OxyR_pos	mgtL//gspH//dhaL//tolC//cyoD//mdh//mprA//alsC//paaB//glpK//frdC//torA//alaC//thiP//creB//lsrC//dgcZ//rpoE//pstS//rob//hyaC//yhbE//
PaaX_neg	glcB//rffC//argF//iscR//rnlA//nanT//flhC//speB//ptsG//uxaC//cysC//umuD//slp//hyaE//
PdeL_pos	mglA//
PdhR_neg	rhaR//yhjX//torA//lrhA//tam//fecB//fhuB//ulaG//nuoK//ccmF//dgkA//sgbE//cysA//xapB//idnR//uxaC//pgaB//gltD//ccmG//ccmC//yhbT//flhC//sra//lpxC//fhlA//hyfE//yoaG//gntK//rpiR//rseA//gudP//isrC//glgA//yagK//allS//tadA//
PdhR_pos	mltF//iclR//ynfF//bolA//hipB//
PepA_neg	garD//chbR//hyaF//
PgrR_neg	fdnG//hcaF//cynT//prs//nirC//pepD//hdeA//cydA//
PhoB_neg	nirB//ascF//argG//gadX//yhbT//gspF//sufD//srlB//nrdD//yccA//fliS//yoaC//
PhoB_pos	ynfK//umuD//entF//galK//spy//mnmG//sgrS//xylH//yfdX//fadR//betI//ubiC//ynfG//yqjH//exbD//bioC//lysC//astD//lyxK//hycE//nfo//gcvA//aceF//nfo//recA//hycF//flgC//paaZ//fadL//wzc//feoC//hycH//torR//alkA//accB//uvrA//ssuC//ydhY//hypF//acrZ//fixA//nemA//fldB//prpD//pykF//fixX//gadA//ilvC//deoD//glgX//yaiA//lysP//nanK//
PhoP_neg	lolA//fecD//ydhU//nemR//ubiC//nadA//glpD//leuL//speB//ydeI//fucA//
PhoP_pos	ycgR//xylB//fucP//feoA//gspC//casB//cbl//alaS//garP//paaD//appC//paaI//katE//emrK//cysN//yafQ//glnK//fbaB//uxuA//cynT//dgkA//garP//ydcS//ymgC//sucD//asr//sgbE//cysP//bolA//cysH//hybF//lysC//gadA//gcvA//sucA//gadE//sucA//deoC//nuoK//fdnI//pepD//fnr//hybA//araH//omrB//lysA//lsrG//dhaL//
PrpR_neg	narI//
PrpR_pos	fixX//nadA//rutA//rsmH//
PspF_neg	dgkA//
PspF_pos	nirC//puuB//mioC//fabA//glnA//polA//
PurR_neg	slyB//ldtD//sucB//cpxR//ydiU//lsrD//mdtD//galP//trpC//rclB//nimT//gcvB//yafQ//qseC//ynfG//rdoA//lrhA//torD//lexA//csiD//glcD//hyfE//napG//flgD//yhjC//nuoF//garR//tomB//cynT//aldA//serA//
PutA_neg	caiC//argI//
PuuR_neg	agaS//yhjX//gudX//cbl//ymgA//nuoE//prpD//
QseB_pos	fruB//zraR//patD//hisM//
RbsR_neg	uspA//decR//xapA//ynfE//galT//dicC//ccmB//fucA//
RbsR_pos	ascB//
RcdA_neg	yiiS//frc//
RcdA_pos	phoU//yidL//hybA//carA//gutQ//cusF//tktB//
RclR_pos	iraP//iraM//xylR//
RcnR_neg	accD//sgbU//yccT//
RcsAB_neg	trpL//mpl//dapD//rhaA//mraY//asnA//
RcsAB_pos	yiaO//relA//hycF//mgrB//deoB//pdeR//fixB//yhcH//ppiD//isrC//
RcsB-BglJ_pos	gfcA//fadH//evgA//gatY//ynbA//yafQ//modB//rutR//umpH//glxR//uof//fecE//ubiX//ykiA//malY//deoC//
RcsB_neg	recD//kdpC//
RcsB_pos	cyaR//grxA//ompN//paaB//rpsO//nanK//rybA//ychF//pheT//gspG//tdcE//hyaB//oxc//ydeM//hyfE//dcuD//gspH//fruA//malS//cysB//dnaN//mtlD//mpl//
RelB-RelE_neg	cydB//alaC//gnd//
RelB_neg	recN//dsdC//caiC//
RhaR_pos	creB//ddpD//
RhaS_pos	ssuC//rfe//sroD//allS//dcuD//alkA//
Rob_neg	uhpT//
Rob_pos	yjbH//nuoE//dps//zraS//borD//feoA//lpxD//fadR//waaH//purH//efeU_2//yoaC//hycD//nuoJ//fliR//omrA//ebgC//yccA//flgD//phnF//sgbE//yfaE//osmB//araA//napH//
RstA_neg	allA//ddpF//napA//ugpE//glnD//
RstA_pos	nuoB//exbB//kbaZ//gspD//ydcV//
RtcR_pos	manX//mdtF//
RutR_neg	tktB//lolA//rcsA//adhE//ydfN//yiaM//bglF//yedX//cyoA//guaA//epd//cadB//paaK//ftnA//rutC//
RutR_pos	argT//metB//
SdiA_neg	cas1//yebG//fumB//
SdiA_pos	uidR//acrB//lpxC//
SgrR_neg	marB//xylR//ydeO//leuA//cysD//
SgrR_pos	pqiB//rpsU//cydA//creD//
SlyA_pos	hybA//
SoxR_neg	creA//
SoxR_pos	csgG//ccmC//
SoxS_neg	envC//ynjI//
SoxS_pos	uvrD//fliM//hcaF//rhaT//pdeL//grxD//fabI//cpxQ//yoaG//uvrY//yhdX//metB//purB//gapA//ybjG//dsbA//metC//uvrC//fimE//cysI//garK//ttdB//astD//soxR//gnd//csgB//hypD//ccmC//rdoA//adiC//epd//fadL//rcnR//gutQ//emrB//rutF//metI//yeaG//
StpA_neg	yfaE//caiD//appX//isrC//thrS//yeaD//hcaE//
SutR_neg	flu//iscA//citF//trxC//hipB//
SutR_pos	rfe//
TdcA_pos	pflB//xylR//dmsD//uidC//acrR//allC//xylG//
TdcR_pos	ftsQ//dps//sulA//leuB//hyaE//deoD//phnK//
TorR_neg	chbA//mhpC//ymgA//
TorR_pos	fimE//glpQ//glcC//nikE//dinG//skp//nrdF//pspA//kdpB//
TreR_neg	ycjX//omrA//
TrpR_neg	ahpC//glgB//rpmI//araH//fepD//ecnB//pnp//phoU//gadW//gltK//leuO//glnK//
TyrR_neg	glcB//yjhC//dsdC//malP//uidR//gpmM//rbsC//znuA//sucC//fliQ//
TyrR_pos	lsrD//mglB//relE//
UhpA_pos	yoaG//
UidR_neg	emrK//nfuA//nirD//allA//
UlaR_neg	hipA//ddpD//sufE//flu//malE//fucP//wcaA//
UvrY_pos	potI//paaA//gltB//dhaL//dsbG//
UxuR_neg	rbsB//dsdC//malS//leuA//yiiS//prpD//paaZ//waaH//sra//
XapR_pos	higB//wcaB//
XylR_neg	rffM//
XylR_pos	nac//csgG//gpmM//dcuA//pheM//norR//
YdeO_neg	ymiA//sbcC//
YdeO_pos	oppB//lpxA//ygbA//ppdB//prpB//wzyE//fadR//glcF//recA//hypA//ptsH//uxuB//artP//rstA//nrfD//pnp//glgP//phnJ//lpxA//
YedW_neg	ydbD//nfsA//patA//efeU_2//flgF//
YedW_pos	casC//gntX//mhpC//glpD//cheA//paaH//nuoE//
YefM-YoeB_neg	fixB//bamE//
YefM_neg	mlc//phnP//
YehT_pos	codA//
YeiL_pos	dinB//
YiaJ_neg	ydcV//ydhU//mglB//ybhL//napH//glpC//glnL//aroH//oxyR//tauD//
YjjQ_neg	galS//entS//yafN//yfdE//cspI//phnC//ubiX//gspH//caiA//xylB//
YpdB_pos	infB//
YqhC_pos	hycE//ruvB//
YqjI_neg	chbA//argD//
ZntR_pos	alkA//
ZraR_pos	nrdD//napF//nrdH//
Zur_neg	rseA//nuoL//dsdA//pstB//caiE//gudP//
