#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	sra//mgtA//
DicA_neg	nrfG//dinG//fadH//gadC//allE//allC//nrdD//crr//
DinJ-YafQ_neg	tdcF//yiiS//nuoL//
DnaA_neg	rhaR//tfaQ//tyrP//purD//ilvC//cheW//yafQ//glpA//dnaG//phnO//fadA//
DnaA_pos	leuD//yfdV//wzyE//fabB//flgC//metR//hypD//
DpiA_neg	yiaJ//
DpiA_pos	ptsH//ydcU//uxaB//yncE//modC//rffT//gloA//hha//nuoK//garP//
DsdC_neg	folA//
DsdC_pos	safA//nusA//
EbgR_neg	csrC//dsrA//
EnvR_neg	ydbK//rstA//
EnvY_pos	rseC//ahpC//
EvgA_pos	argH//acrZ//rutB//fhuF//fabZ//rhaA//fepD//rbsA//dcuB//aroL//seqA//lsrB//fruB//phr//glk//lpxD//mgtL//kbp//ariR//
ExuR_neg	iscU//yfaE//glpX//accC//exuR//ompN//cynT//fimB//gntU//
FabR_neg	fecB//ulaD//
FadR_neg	hyaA//flgA//rybB//citG//dhaM//aidB//fliP//caiC//yfbR//sroA//napH//
FadR_pos	gpmM//iraM//yqhG//cspD//dsbC//dgcN//putP//gadC//fixB//tdcA//rutB//iscU//
FeaR_pos	aroF//agaD//
FhlA_pos	hyfR//iraP//mhpA//rhaA//bioA//arsC//ydjM//hyfB//gadA//metQ//fabI//rtcA//ydbD//hyfI//arsR//phnE_2//narH//codA//yhdY//ptsI//arsC//paaZ//puuA//asnA//cpxA//sdhD//cusS//ecpR//ptsH//gpmA//
FlhDC_neg	focA//lysO//nfsA//glxR//
FlhDC_pos	hcaE//waaY//glk//fpr//ccmH//mlrA//ygeA//nirB//ppsA//allE//hybC//glxK//kdpA//galR//zwf//dnaG//uidA//betA//ydiV//truB//leuO//tktB//trpE//tam//tyrP//hypC//pgk//ulaB//entH//rseB//ydfN//argT//aroG//ldtB//argP//tsgA//ssuA//ccmC//trpB//purH//sgrS//cusR//flgK//tynA//ompF//wcaA//wcaB//trxC//gltB//nhaR//insK//purR//glcF//alsE//gltB//flhC//xylF//sulA//rybA//lsrD//uhpT//rcsA//glgX//dsdA//murG//araC//napC//marB//tbpA//ydcU//pfkA//pgi//tynA//ygbA//guaB//bacA//ssb//aroP//
FliZ_neg	pgk//creC//dmsA//flgF//ubiC//nuoA//norW//ydcS//tsgA//purA//alaC//citC//glpK//deoD//cysM//gspK//glmS//nrdB//lsrF//hisP//tyrA//
FucR_pos	glcD//gspC//ruvB//spy//ppc//gspM//csiD//
Fur_neg	flgM//galP//gspG//fucA//ulaE//pspE//dcuA//glmU//yoaC//ppiA//wzb//rpsO//cpxA//murQ//allS//fucO//oppF//bhsA//tsgA//tynA//yeaD//nanK//oppA//skp//sucA//skp//ykgM//mngR//ygbK//aceA//glyA//gatC//treR//uvrD//torA//ygbA//trpB//dgcC//mgrR//fepC//lpxA//cpxR//fhuE//patD//yhbS//skp//moaE//torR//narK//puuR//flhA//treB//sgbE//cysB//allS//fhuD//argA//csrB//glxK//oxyS//leuA//copA//malG//icd//appY//gcvH//idnO//safA//nirD//glcB//yjbH//flgB//cspI//yqjA//csgD//glnP//uxaC//nrdD//cynX//cysK//spy//guaA//fucO//gabT//pgaC//metY//crl//obgE//dsbG//gntK//ulaE//dinG//pdhR//polB//hypF//acrR//dnaA//sgrS//waaH//mtr//kdpB//yaiA//emrK//gltF//xylB//flgN//uidC//cra//ssuA//paaZ//pqiA//znuA//fliJ//rnlA//moeB//
Fur_pos	hdeD//fdhF//fecE//srlR//gadY//paaA//chbG//uidA//fliE//csgA//mgrR//cho//cydD//ccmF//manX//torC//zwf//paaH//fecE//pstC//murR//
GadE-RcsB_pos	hyfH//nrdF//yafQ//yoeB//ftnB//putP//ugpA//cheA//gltK//
GadE_pos	pncB//nikR//ppsA//argT//napG//uxaC//gspF//fliN//pstS//yibQ//lon//araG//deoA//ycgR//hslJ//sufC//rffC//ulaD//moaA//ycjF//ycjY//nanT//fadH//iclR//acrR//bioF//cynT//nrdH//deoD//
GadW_neg	fliS//entA//chbR//flgA//tam//fecE//ampC//trpC//ddpB//lsrK//kdpF//
GadW_pos	dctR//ybhR//hypF//chbA//ppiD//leuC//bhsA//murR//feoC//napH//yiiS//
GadX_neg	nupC//kbp//fixB//luxS//chbG//polA//
GadX_pos	ulaG//nagE//dapD//glpA//ddpB//gadY//pgaA//yfdE//nuoE//phnI//xylB//polA//polB//omrA//atoD//ynfK//atoD//metJ//ssuB//araA//potF//leuO//ygeH//gcl//thiP//allB//hyaD//
GalR_neg	puuC//chbR//evgS//narH//astD//mgtL//nrdE//metB//ycjY//flgH//
GalR_pos	nuoF//astC//bioD//trpR//
GalS_neg	galP//bioA//glgP//gspK//ndh//ydfW//ykiA//nohA//rpsO//cecR//
GalS_pos	ccmH//napA//nuoK//guaB//
GatR_neg	putA//deoD//dctA//ydhT//uxuB//paaZ//
GcvA_neg	aroF//rffT//pspB//lrp//
GcvA_pos	fhlA//ybiT//glpB//luxS//
GlcC_neg	nfsB//
GlcC_pos	nuoK//recX//cdaR//fruB//mntH//rnlB//
GlpR_neg	dsbA//napD//motB//nanK//cynS//nupG//fliI//ftsW//ycjG//
GlrR_pos	fabD//malQ//appA//fhuB//ccmB//
GntR_neg	ydeM//nupC//rarA//yecR//fecD//hcp//dinG//phoB//hyi//leuB//cadB//entA//
GutM_pos	folA//srlE//rnlA//mqsR//nuoB//cydA//nrfC//
GutR_neg	flgL//ydfH//ymgC//ulaG//pagP//fecD//nrfC//
HU_neg	hycI//yneM//ulaG//narI//srlA//ubiA//cyoA//bglB//
HU_pos	feaR//
HcaR_neg	gntU//
HcaR_pos	aroP//rbfA//ybdZ//gabT//fliF//
HdfR_neg	creA//pepD//
HdfR_pos	grcA//nfsB//tktB//
HigA_neg	fliL//flhB//
HigB-HigA_neg	sufD//betA//
HipAB_neg	fadL//rffG//exbD//treR//ugpB//
HipB_neg	fhuA//bdcA//waaZ//dapD//ymjC//focB//
HyfR_pos	ybdZ//deoC//sgbU//yeaG//fliM//psiE//metH//paaF//ycgR//puuC//pepD//rhaS//
HypT_neg	wecC//hipA//ahpC//ybbY//yafP//
HypT_pos	dinI//dcuD//rfe//caiF//lrp//mzrA//cydD//yeaE//
IclR_neg	dsdX//argO//ygiB//tauB//
IdnR_neg	chbG//ybbW//
IdnR_pos	dsdC//hisP//ftsA//fucA//fecR//
IlvY_neg	flgC//
IlvY_pos	glgB//
IscR_neg	ydfD//ccmE//argA//creD//fhuE//dinB//potF//ycjX//ftsQ//tdcE//pykF//ymjD//yeaE//garP//phnG//ydjM//gfcA//aroG//atoB//alsC//acrZ//
IscR_pos	yqhG//moaD//bioA//puuE//lsrC//glyA//wecE//ptsI//oppC//ptsG//mgtL//
KdgR_neg	ptsI//rhaS//
KdpE_pos	glcC//appB//trpC//yjbE//
LacI_neg	agaC//iscA//alkB//
LeuO_neg	pgaD//infC//yiaN//
LeuO_pos	puuC//paaH//araE//trpR//nrfE//yiaM//lexA//osmC//ydjM//nrfF//phnO//hcaR//ldtC//fbaB//gspJ//glpX//dmsD//sbmC//
LexA_neg	ynjI//leuB//torD//fhuB//mgrR//glpT//hyaE//dctR//hypF//ycjG//lsrA//rclC//wza//mtlD//gadA//degP//nuoF//nuoI//ftsK//nrfG//cdd//fau//dacC//asnC//napH//motB//sra//mgtA//ykgO//argF//hycE//relE//aroH//sgrR//hyi//sgrT//paaX//metH//tauD//hypA//wcaA//psd//nuoA//yiaN//uspD//lysP//ssrS//lexA//flu//agaB//polB//csgD//nuoJ//fadD//ssuB//hcaC//gnd//uvrB//nrdG//
LldR_neg	malX//glpK//allA//
LldR_pos	ulaG//gcvA//yhdZ//
LrhA_neg	adhE//fixC//
LrhA_pos	hisP//rnlB//
LsrR_neg	bamE//bioC//atoD//hyfF//fdnI//hyaD//lsrK//cysK//narJ//
LysR_neg	pheS//
LysR_pos	paaB//
MalI_neg	fliK//ruvB//cysA//
MalT_pos	pflB//rclC//dmsB//caiB//araG//hdeA//glcG//artJ//cusS//yiaO//
MarA_neg	infB//flgF//fur//ccmA//cysG//ynfH//phnM//
MarA_pos	argC//rclC//hycC//ydfW//glnL//cadA//dinJ//tbpA//cecR//fliH//puuR//udp//lldR//dcuS//araC//truB//pdeL//spy//efeU_2//deoB//argT//gadF//yebE//osmB//casA//entH//sroA//puuE//prs//ccmB//pgaC//
MarR_neg	hyfF//yhbS//dcuS//
MatA_neg	gcvH//ydhY//crr//ycgZ//metA//fdnI//
MatA_pos	ygiA//ynfG//
MazE-MazF_neg	alaC//zntA//fimE//
MazE_neg	gspC//ycgZ//dsdC//
McbR_neg	lpd//
McbR_pos	mntH//ydcT//ldtD//
MelR_neg	uidB//dhaM//ycjX//
MelR_pos	oppD//glmU//nadB//
MetJ_neg	crr//dinJ//hyaF//galT//prpE//malP//lyxK//phnH//nirD//rpoS//pdhR//yaiA//nrfD//fadJ//iscA//
MetR_neg	fecC//moaD//
MetR_pos	dtpA//nanC//xylG//lpxD//
MhpR_pos	prpD//gabT//lpd//hybG//ttdB//ttdT//
Mlc_neg	gltF//rhaS//degP//hyfA//rpoE//emrY//glnP//cspD//fucO//norW//
MlrA_pos	ftsZ//wzyE//ydfH//fhuF//gpmM//baeS//cvpA//truB//flhD//pspG//
MngR_neg	ykiA//fepG//metQ//
MntR_neg	sbcC//cydD//emrY//mltF//
MntR_pos	nupG//
ModE_neg	fliZ//xylR//sufS//recA//murE//bioD//ugpB//glpD//idnR//hcaE//nuoL//dhaM//osmY//yfaE//yfdV//
ModE_pos	nfsB//paaY//ftsA//iraM//trpB//pstA//glxR//rpoS//mqsR//cecR//uvrA//ftsQ//alsE//nimT//appB//paaX//rnlB//gabD//araF//rutC//narJ//ssb//gatD//pepD//flgI//idnO//leuB//soxR//bamE//dacC//idnD//
MprA_neg	ycjY//dkgB//lsrG//ydjM//glmS//arsR//
MqsA_neg	galE//tauA//sgrR//lrp//rseA//cysA//hycH//ldtB//
MraZ_neg	napF//ftsK//tyrP//ccmH//dsrA//psiF//ybaT//appC//flhD//pstB//ycgR//sdhA//mlc//bglJ//glcF//pgaD//pepD//
MtlR_neg	tsx//zinT//dhaL//
MurR_neg	ydfE//hipA//glgX//
MurR_pos	malZ//
Nac_neg	yhjC//mntP//gspO//gadW//tauD//entF//bamE//gspG//fhlA//
Nac_pos	omrA//eda//uvrD//yqhD//idnK//rcnA//paaX//phnI//setA//trpE//sfsB//ccmF//
NadR_neg	ugpA//napC//qseB//mlrA//
NagC_neg	metL//fldA//mngR//nagB//treR//ybhG//amn//paaK//ugpC//ydcV//fucA//osmB//alsB//mtr//melA//flgE//metF//fliP//cyaR//tdcC//fabA//tnaA//yeaD//bamE//ecnB//gltI//leuO//hyaF//ybhR//csgG//yecR//dsbC//pdhR//
NagC_pos	cyoB//oppB//glpX//
NanR_neg	yqjA//alaC//citC//feoC//glxR//waaH//srlD//tcyP//rffH//recD//
NanR_pos	yefM//
NarL_neg	caiT//uof//bioB//csgB//mhpE//pncB//decR//mscM//yqaE//nimR//wzb//nuoA//fucR//gadF//psiE//entF//ymgA//lsrK//nanK//malT//galS//fecI//puuP//murD//acnB//lsrK//fdhF//rnlA//fecR//iclR//fadH//bolA//gadF//recD//creB//ykgM//gfcA//ppiA//rstB//tsgA//nikC//ddpX//phnN//yidL//araA//rpoS//yjjZ//ydhV//paaF//fimE//yiaL//cysK//prpE//gudP//rfe//sbcC//citC//argF//nuoB//puuB//fixA//fliA//ychF//gltD//yeaG//yhbS//metB//gyrA//rutF//nfuA//cysD//ydiU//nuoH//cyoE//murI//erpA//ygiC//ddpB//rseA//xylA//yjiY//chbA//hcr//aroM//hybO//cysC//osmY//
NarL_pos	xylF//soxS//ddpA//uhpT//nac//ubiX//rpmI//ugpB//alsA//hyfF//cheA//codB//mdtB//gspM//eda//cheA//rfe//ymgC//ogt//nadA//treB//uidR//phnG//lsrR//agaV//citC//fadE//flgD//gor//rpiB//gadB//omrA//ybjG//sgbE//rutD//yecT//ybhS//napH//kdpB//cheA//yfiB//ydcS//wzyE//
NarP_neg	eno//uidB//copA//yiaJ//dmsC//lsrG//puuR//ddlB//yeaG//gspK//aspC//fumC//rffM//prs//fabH//mntH//agaB//treB//argH//rhaA//mdtB//rcnA//lhgO//ynbC//patD//aldA//rhaS//gor//malE//caiA//hemH//glcF//ydcS//
NarP_pos	waaZ//hyfB//rutC//ada//lysA//hybA//aceF//ung//thrS//phoA//pspE//cydD//ftsI//fliC//psiF//ompN//aidB//gadA//araG//entF//gatY//zraR//idnT//yrbL//glnA//ybiT//gadA//nohA//aroL//flgB//sgrT//flhB//
NemR_neg	yjbG//lyxK//sgrS//
NhaR_pos	efeU_2//lysP//garK//ykiA//uidA//phnI//fucO//
NikR_neg	modB//yhdZ//dnaN//glnB//rimP//ydiU//
NimR_neg	norW//mazF//
NorR_neg	norW//
NorR_pos	hcr//dcuS//
NrdR_neg	sfsB//hycE//dinI//potI//guaA//rhaB//fldB//insD//glxK//
NsrR_neg	tdcF//puuA//flgC//accB//rplU//caiC//garL//cusB//relE//rclA//rutE//ndh//puuD//feoA//ugpC//feaB//btuB//tehA//yciX//tyrR//fliL//yidQ//fdhF//rpmA//yccA//nuoM//bioF//hcaF//artP//hlyE//yhiM//grxD//hyfG//potG//prs//pstC//ydfH//araH//ttdA//yiaJ//prpC//lhgO//lrp//flgG//fucR//leuO//frdD//pstC//ynbC//pepA//yhhY//dcuS//hypE//gspK//ccmF//mngA//acnA//dgcZ//grxA//argP//eda//fur//cyoA//iraP//qseC//ascB//yciG//purM//uvrA//nagB//metI//nfuA//relE//pdhR//appC//gatY//tsr//gudX//wzzE//efeU_2//hypD//chbA//narI//
NtrC_neg	malM//sbcC//fdhF//ubiX//pyrC//ldtC//
NtrC_pos	gutM//glcE//phoB//ynbC//rstA//allS//rffT//manY//puuP//dmsA//fpr//cheW//zntA//mzrA//pepD//narJ//entD//fbaA//dgcC//malT//fliT//yagK//seqA//ygiA//fliK//yhjC//srlB//yhdX//cydB//hycG//phoU//yhbE//rseA//prpR//recD//glcB//wecC//flgC//inaA//prpC//leuB//ygiZ//yiaK//ttdR//putP//dmsD//yncE//creA//lsrR//
OmpR_neg	alkB//btuB//prpB//yhjC//rstA//mgrB//nikC//gcvB//lsrD//caiC//gspG//dctR//
OmpR_pos	intQ//srlB//ecpR//phnH//allS//csgD//ompT//ubiC//fecE//cysU//
OxyR_neg	gfcA//motB//glcG//iscS//yciX//gspF//fruB//entS//sulA//fruB//hokE//yafN//
OxyR_pos	rplU//dapB//csgC//yjeV//grcA//dinB//dinB//csrB//flgK//wzzE//tdcE//purK//dicC//cysU//mdtA//fumB//baeR//fabB//tktB//yiaJ//glxK//paaF//
PaaX_neg	mtr//insK//rhaD//narI//lpxD//fadB//rutB//moaE//aroL//rutR//argP//glgX//sbcC//yaiA//
PdeL_pos	hha//
PdhR_neg	sucB//accB//acnB//fixA//appB//napD//lgoR//cas1//caiA//hemH//mlrA//gabP//ydbD//frdA//yjhB//napF//phnP//yqhD//mscM//glmS//napD//fabG//gspE//yeaH//tauA//moeA//nuoG//atoD//nrdA//hybE//nuoK//narK//glgP//fliG//fliM//yciF//
PdhR_pos	trpA//puuB//flgH//dnaN//rseB//
PepA_neg	yfiR//ttdA//phoA//
PgrR_neg	hyfA//purM//hisQ//gltL//pheT//artM//alaC//gltL//
PhoB_neg	murE//malZ//lsrD//melA//chbA//rtcB//yecT//hyaD//paaD//mpaA//paaD//pdeL//
PhoB_pos	mtlD//envC//wzxE//cydB//kbaZ//argI//aidB//nikC//allA//ptsG//efeU_2//murE//flhC//hcaC//hycC//hycI//rffC//folA//purC//dicC//yidQ//ygdB//betA//phoE//cspI//galM//acrA//dnaG//mglA//leuO//hdeB//allA//yhjC//purE//malM//hcaF//bioC//rbsD//metL//entC//purK//lysC//copA//epd//yqhD//manY//yjhB//leuC//fadR//sbmA//cysD//sufB//fliR//
PhoP_neg	focB//nrfF//ygbA//dhaM//gadY//adiA//paaD//metB//tolC//rtcB//trpR//
PhoP_pos	relA//ydeI//mhpA//glxR//paaX//casB//nuoE//hyi//mdtB//pck//nuoK//rcsA//fumC//astA//sucB//ydhW//prpE//glmY//nuoC//ccmA//melR//ppsA//flgJ//crr//ompN//caiA//pspA//zwf//wzc//ycjY//paaY//ruvB//sufA//acrD//rclB//fadI//gntU//argF//yegZ//artP//fucA//pspG//bdm//fdhF//fabA//pdeL//yhbE//fliC//
PrpR_neg	ymgA//
PrpR_pos	pdeL//ygiA//rclA//cpxP//
PspF_neg	pgaC//
PspF_pos	fhuD//pdeH//ssuD//mprA//hybD//sgrR//
PurR_neg	tauC//uxaC//degP//nrfG//wza//betB//aceK//psd//ssuC//fliP//nanE//fliM//cyoB//deoB//dsrA//ftsW//uspD//gatC//glmY//paaA//rcnR//fliI//intQ//pncB//bamE//znuA//fabZ//yebG//norW//gltB//evgS//
PutA_neg	nuoB//murP//
PuuR_neg	xapB//fbaA//nrfG//pspE//mdtB//tomB//yhbS//
QseB_pos	phnO//fepB//gcvB//waaH//
RbsR_neg	rutB//caiD//yciX//glpF//iscR//yjiY//rpmA//soxR//
RbsR_pos	ccmB//
RcdA_neg	ymgA//rhaA//
RcdA_pos	hisM//yhhY//dgcN//lysP//rplT//lysA//hyi//
RclR_pos	ldtC//phoP//aspA//
RcnR_neg	flgI//glmS//acrZ//
RcsAB_neg	flgN//motB//zraP//phnC//citG//ampC//
RcsAB_pos	nrfC//yagK//bglB//cyoE//gspM//citE//napG//treC//hypE//psd//
RcsB-BglJ_pos	xapB//mhpB//gcvB//flgN//purA//tyrB//flgB//mtlA//yhdZ//fliG//rhaR//ccmA//pdeH//pspB//ydfE//pdeL//
RcsB_neg	mhpF//yqjH//
RcsB_pos	asnC//rfe//napG//glgP//glcF//nfo//ygiC//rhaS//ftsK//fur//ulaC//ptrA//insD//hycH//astA//flhB//csrC//hipB//ppdB//agaC//mdtA//narJ//argD//
RelB-RelE_neg	ptsI//thiQ//rdoA//
RelB_neg	argD//caiB//csgC//
RhaR_pos	wcaB//cecR//
RhaS_pos	nikC//hypA//bluF//ldtB//pepA//ppdB//
Rob_neg	hipA//
Rob_pos	ftsI//yfdE//mgrB//tbpA//metL//lldR//ybaS//glnH//aroL//ygbK//tnaC//citE//accD//tehB//pdeL//sroD//recD//leuD//fau//ydhU//rybA//ymjC//ybaS//flgB//dsrA//
RstA_neg	hflD//ybbW//fliD//glcB//phnG//
RstA_pos	allB//psd//napD//yebE//ynjI//
RtcR_pos	yhcH//xylG//
RutR_neg	tauC//galR//glmU//nikA//uvrB//puuE//ydeO//hybC//bolA//cysD//mntP//phnF//dgcZ//ycgR//galM//
RutR_pos	fdhF//tauC//
SdiA_neg	dnaG//lsrA//fliQ//
SdiA_pos	nrdA//hflD//torC//
SgrR_neg	pspC//cyoE//eno//aroH//wzb//
SgrR_pos	nuoF//guaA//ydhX//ynfH//
SlyA_pos	artM//
SoxR_neg	dinD//
SoxR_pos	glgX//tdcA//
SoxS_neg	hypD//cas1//
SoxS_pos	ydeN//tauB//wzzE//tolC//malK//yecR//tnaB//uvrC//galR//dinQ//tadA//fabD//argE//rffC//sucD//nrdH//adhE//hybD//insD//fixX//hdeA//pstS//cueO//csrC//mlrA//sufS//alaS//appC//nikE//ompN//grxD//araC//oppC//aroP//dpiB//pspF//ecpA//dctA//
StpA_neg	gutM//rcnB//lrp//alsA//phoU//agaW//norR//
SutR_neg	xylA//rnlB//puuE//gspE//rbsC//
SutR_pos	nfsB//
TdcA_pos	yedX//wzxE//ybhR//rseC//xylG//wcaB//purE//
TdcR_pos	csgF//csrB//hyaD//puuD//codB//uhpT//exbB//
TorR_neg	csgD//rpiR//hyi//
TorR_pos	fliI//yegH//fecI//dgcC//yfiR//appX//fliZ//nuoH//uxuR//
TreR_neg	pyrD//glnH//
TrpR_neg	mdtD//nuoA//dcuR//csiD//umuD//ydbD//psd//purE//sgrR//rhaD//hycH//cysD//
TyrR_neg	dmsC//tdcG//iscA//hyaC//fecB//cydC//ampC//entA//dctA//fliO//
TyrR_pos	trpC//cadB//gatD//
UhpA_pos	fliP//
UidR_neg	prpE//mntP//nrfG//yiaN//
UlaR_neg	glcC//agaV//phr//nhaA//entH//cpxQ//rtcB//
UvrY_pos	ymjC//erpA//torC//fliC//ldtB//
UxuR_neg	frdB//dpiA//fhuF//polA//betT//malQ//trpE//rbsD//sgbU//
XapR_pos	nlpA//yiaM//
XylR_neg	yeaR//
XylR_pos	yneM//mzrA//caiT//nrfA//ccmH//lyxK//
YdeO_neg	spy//exbD//
YdeO_pos	cysE//moaA//potG//uvrY//glcA//murD//entA//ubiC//mcbA//ldtB//cydC//fldB//chbR//phnF//yhbT//trpR//hslJ//glgA//phnP//
YedW_neg	yciW//motA//mhpF//ugpC//thrS//
YedW_pos	cbl//yagK//yaiW//ybaT//gspJ//flhD//melA//
YefM-YoeB_neg	cas1//yeiL//
YefM_neg	oppB//hypC//
YehT_pos	carB//
YeiL_pos	ompT//
YiaJ_neg	glnA//uvrY//zraR//hyaD//tnaC//narX//kdpF//araE//nfuA//yecR//
YjjQ_neg	nuoK//yafO//murI//ampC//nikA//argP//caiT//nanC//xapB//bdcA//
YpdB_pos	fliS//
YqhC_pos	ung//uxuB//
YqjI_neg	cpxR//yegR//
ZntR_pos	glnK//
ZraR_pos	rstA//hemL//xylH//
Zur_neg	norV//ulaE//codB//wzyE//psiF//cyoC//
