#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ycjG//ykgO//
Fur_neg	luxS//pfkA//araD//acrA//ogt//nrdH//entA//csgE//sdhB//ompW//citD//rutE//ftsW//hflD//wzxE//hyi//tauB//tdcD//hcaF//xylH//rseB//ybhL//yiaL//agaC//crl//gntP//phoQ//dsbA//adiC//wza//tpiA//araG//lysP//deoD//glnL//mngB//yiiS//nohA//ybaS//rplT//hydN//lsrG//metK//uxaA//phnD//evgS//lacZ//purC//malE//cysK//lsrB//creC//gcvP//dicC//nrdH//zntA//gcvH//malS//dmsD//yebE//yhbE//uidR//kbaZ//ydhX//glpB//cyoA//fhuF//ugpB//pgm//torR//fabZ//mzrA//leuO//rbsK//sufD//argB//iclR//ynfH//yfiB//frdA//pdeR//efeU_1//ddpC//lexA//mdtB//fhuA//efeU_2//ydeP//ydhV//yeaE//acrR//tdcC//fliZ//malF//mdtE//xylR//hokE//adiC//yhjX//sutR//ydhU//paaG//yeaG//phnI//hybE//mtlA//cpxA//nrfF//hycD//dpiA//aroL//ompC//nfsB//ynfE//uvrY//
Fur_pos	puuD//ydfE//puuC//tyrA//ppsA//torR//glcA//patD//tfaQ//asnB//glcA//ecpA//uxaA//ynjI//sbcC//ybaS//cbl//higA//narH//bglF//envC//
GadE-RcsB_pos	nimT//gspE//fiu//dcuA//leuC//gyrA//cas2//caiF//glnB//
GadE_pos	phnH//treR//garK//norV//phnO//gutQ//pck//ygeA//fhlA//uidC//csgG//cecR//rbsR//ymgC//ybaT//exuR//fbaB//appC//ppdB//alkA//nuoH//gspL//uvrA//lrhA//sufC//aldA//bioC//dkgA//glnH//
GadW_neg	deoD//phnN//ychF//glnB//gspC//mioC//mpl//wcaB//ssuB//citF//purN//
GadW_pos	ydfN//dnaN//murC//fliD//pspG//ruvA//rseC//tdcC//fadA//cyoA//caiT//
GadX_neg	ydbK//exuR//nuoL//ilvY//nohA//entB//
GadX_pos	yhbE//ymiA//aidB//yoeB//bioF//poxB//moaC//accD//fliM//ybhR//fliF//yecT//ddpX//lacY//ldtB//gabP//pdeH//allC//purB//rpoE//gspJ//araH//zraR//ycjY//pnp//ssuE//mhpA//
GalR_neg	argH//iclR//xylF//ydeO//cadC//yibQ//iscS//feoB//nanS//rbsD//
GalR_pos	dmsD//trpE//ddlB//mqsR//
GalS_neg	phnG//tynA//ycjY//argG//xylA//nanE//artJ//ydeO//appC//rutD//
GalS_pos	recN//ssb//metE//sucB//
GatR_neg	yqaE//dsdA//fimE//idnO//prpC//mnmG//
GcvA_neg	astA//rutF//lsrC//hybC//
GcvA_pos	ybhS//ddpA//fabD//tdcD//
GlcC_neg	phnP//
GlcC_pos	atoD//mpl//hcp//allB//ydeO//rutG//
GlpR_neg	hcaR//lldP//rutA//sgbE//phnK//uof//dgcN//nrdA//cysB//
GlrR_pos	iscA//ydcT//yeiL//fadH//pck//
GntR_neg	flgD//leuC//dnaA//gltF//lacA//ydiU//ssuE//ymjC//araD//yidQ//accB//trxC//
GutM_pos	uspA//yfdV//hypE//cvpA//ptsH//araF//yjjZ//
GutR_neg	rhaT//yfiR//yafP//norW//yidL//ompC//pstB//
HU_neg	garP//ynfF//ugpA//argA//patA//citC//potH//yqjA//
HU_pos	yiiS//
HcaR_neg	lsrC//
HcaR_pos	ssb//flhB//fliM//araC//rob//
HdfR_neg	chbG//tisB//
HdfR_pos	iscR//yfbR//xylR//
HigA_neg	paaH//norW//
HigB-HigA_neg	sulA//fadA//
HipAB_neg	kdpF//ndh//asnB//gloA//ydhY//
HipB_neg	nagC//fepE//oxyR//metF//dinI//cysJ//
HyfR_pos	ssuA//glnL//tauC//prpD//paaZ//prs//lamB//fliN//hcaE//lldD//nupC//acnB//
HypT_neg	galR//fecB//pdeL//yiaN//degP//
HypT_pos	rutC//ydcU//efeU_1//fhlA//ldtC//pspC//nfuA//fliD//
IclR_neg	csgF//ribA//dinI//ydcV//
IdnR_neg	recX//fdhF//
IdnR_pos	aidB//ydhU//pdhR//fliO//manX//
IlvY_neg	mhpF//
IlvY_pos	caiE//
IscR_neg	yhbE//fliJ//citE//yiiS//dcuR//ppc//mhpD//rnlB//oxyS//ykgM//hyfA//ssb//iraP//metC//tdcA//ecpR//yciG//rbfA//paaB//yafO//tauC//
IscR_pos	ykiA//fecC//argH//ydfH//xylA//hyi//rprA//citC//narH//hlyE//allD//
KdgR_neg	sbmA//argG//
KdpE_pos	nuoJ//fliI//pncB//feoB//
LacI_neg	rutR//fliK//allD//
LeuO_neg	phoE//frc//yibQ//
LeuO_pos	ompC//garL//ssuD//sgrS//mqsR//ftsK//sbmC//leuO//xylH//phoE//hyfF//citG//yidL//mazE//yeaR//sgrT//fau//umuD//
LexA_neg	slyB//ymjD//puuA//metY//rnlA//gspF//gntK//paaB//ydeI//ycgR//tdcA//leuA//rprA//ttdA//cysU//napA//murG//ptrA//lsrD//ykgM//malZ//yrbL//dinI//pnp//yciE//hypD//xapA//argR//cydD//fhuF//polA//glmS//hyaF//nrfF//paaH//lyxK//rseC//pgaB//pdeL//malP//hflD//sdhC//oppA//fes//chiP//recN//yhbT//gspL//motB//allE//tehA//paaA//recF//yaiW//mglC//idnK//glpC//pstA//hyi//
LldR_neg	recF//mhpD//nuoC//
LldR_pos	glnH//ydeO//nanC//
LrhA_neg	fepB//argE//
LrhA_pos	yjiY//deoD//
LsrR_neg	pstB//uidB//phnL//hcaC//xylH//nrdF//flgA//nrdB//purB//
LysR_neg	pspA//
LysR_pos	uidR//
MalI_neg	hycB//cas2//mhpB//
MalT_pos	ygaC//ydhX//carA//allB//iscS//dsrA//lacY//soxS//fucK//hycE//
MarA_neg	kdpC//ecpR//hyfD//mlrA//adiA//ybiT//atoE//
MarA_pos	nikR//mzrA//rtcB//entE//kbaZ//ompN//fadL//potI//cusF//yiiS//ldtB//purE//cysW//gadE//hyi//ssrS//yhiM//uidR//dnaG//nimT//cusA//gadA//bglG//creA//fiu//ulaC//ybdN//mgrB//cho//artP//tnaB//
MarR_neg	dsbC//hybC//recD//
MatA_neg	accC//ygiC//atoA//mdh//modC//aspA//
MatA_pos	ygeA//tdcE//
MazE-MazF_neg	fiu//ppc//glpK//
MazE_neg	yeaE//fbaB//alsE//
McbR_neg	ubiC//
McbR_pos	ptrA//ecpA//yegZ//
MelR_neg	pspA//iclR//luxS//
MelR_pos	crl//bioA//fdhF//
MetJ_neg	hokE//bioD//citD//gltL//yfdE//ssuA//trpE//fliF//fliN//ddpA//trxC//bamE//yeaH//fepA//malG//
MetR_neg	cysN//rpoE//
MetR_pos	mhpA//bacA//psiF//yhbS//
MhpR_pos	cpxA//uvrD//zraP//glgB//nagB//fhuB//
Mlc_neg	tauD//gspD//citX//tdcF//hycB//xylH//hypE//astC//uhpT//carA//
MlrA_pos	glnL//fliD//phoH//pspG//gspE//aspA//csgB//mdh//phnF//flgE//
MngR_neg	glnP//cysP//phoE//
MntR_neg	zntA//nhaR//narX//melA//
MntR_pos	ulaC//
ModE_neg	adiA//glnL//fepG//flgK//hmp//gspH//bdcA//pspC//dapB//grcA//phoE//yidQ//dhaM//acrA//glnD//
ModE_pos	nagE//uxuR//oxyR//gdhA//lsrF//sdhB//mdtD//recC//malZ//csrC//cusS//gadC//ynfF//malX//katE//marB//ymgC//fadA//galT//murP//dctR//rutE//ryhB//phnG//creB//argO//tauB//deoA//gadB//guaA//wcaA//
MprA_neg	ynfF//lgoR//phnJ//ycjY//dps//pstC//
MqsA_neg	exbD//envC//dhaK//nemR//ymjD//manX//znuC//bioF//
MraZ_neg	cdd//folE//wza//aceB//envC//sbmC//glpT//bolA//omrA//murC//cysJ//hcaF//bhsA//tsgA//fldB//soxS//potH//
MtlR_neg	csgD//paaI//ttdT//
MurR_neg	fpr//metB//glmS//
MurR_pos	ydeN//
Nac_neg	lhgO//gspO//cadC//asnB//dpiB//ynfF//lsrK//dkgB//ubiX//
Nac_pos	mhpE//relE//dmsD//fixC//nirB//yafP//sbcC//pstS//recC//gdhA//melA//tadA//
NadR_neg	ybaS//mazE//araE//melA//
NagC_neg	fixX//oppC//uxaC//fliC//ydfH//ybdN//safA//pykF//mhpB//allS//garP//leuD//purM//nirB//hyfH//fecD//rpsO//pqiB//trpD//nagE//ompW//prpD//trpC//pgi//metQ//flhB//narH//ulaC//idnT//hycE//nrfF//carA//chbG//
NagC_pos	bdcA//ynbD//purH//
NanR_neg	gadE//fepA//cyoD//ybbW//ynfK//ssuE//nrdF//idnR//fadR//garP//
NanR_pos	fepD//
NarL_neg	luxS//flhD//dgcZ//rffG//waaZ//gspJ//osmY//srlA//nuoG//napD//malE//creA//epd//tktB//fimE//mhpB//ugpE//fliR//stpA//recF//lysP//nrdE//yeaD//alaC//norR//pgaB//yefM//cas1//decR//metF//ybhS//galT//tyrB//ssuA//tauC//aspC//rhaD//pgpC//nrfD//mioC//purA//ruvA//uspA//glcA//tdcE//slt//bglJ//mpaA//chbG//lyxK//rsmH//gspC//ynfE//dsbG//fur//fixA//alkA//ybbW//tdcD//pgaD//gspL//garK//phnI//rcnR//araA//creC//yhbE//evgS//dinF//nrfA//nuoA//lysR//ptsH//rbsK//yqhG//entE//hmp//gatZ//talA//gspK//cynS//ulaG//fur//polB//ptsH//phoQ//kbaZ//
NarL_pos	pspF//araB//mlrA//rffM//metC//hyfC//nlpA//tyrR//cpxR//moaE//zwf//appA//yeaR//oppB//cusA//rseB//ydcT//truB//paaJ//garL//lldD//cadB//gspD//astD//gntU//puuC//fhuC//nikE//fecI//mhpA//potF//ugpA//dicC//rbfA//acrR//gadA//araD//entA//glpB//hyaC//araA//icd//wcaB//
NarP_neg	uvrD//pgaC//fur//ndh//hyfI//wecE//fucO//glpK//puuR//hokE//feaR//cydC//lrhA//murE//mntS//glcF//cydA//ccmC//tam//motA//uidC//ddlB//flgN//ygeH//cdd//gatC//nuoM//ydhX//fruK//phr//trpB//grxA//yfdX//
NarP_pos	exbD//yciX//paaE//frc//lrp//ompN//htpG//gloA//tyrP//glmY//sbcD//rprA//ydhY//fepA//argT//hypF//chbG//argR//zraS//puuE//rplU//lysC//fliE//atoD//fecD//rhaB//pitB//ldtB//hyfH//araE//lyxK//qseB//
NemR_neg	gadB//rhaS//nanT//
NhaR_pos	gltF//spy//grxA//gspJ//dcuD//hipB//purH//
NikR_neg	lsrG//lsrF//rutE//aslB//putA//glcE//
NimR_neg	idnT//gpmA//
NorR_neg	fimB//
NorR_pos	cusB//flgG//
NrdR_neg	glnH//narX//nohA//csgE//hybG//flu//ybiT//metE//trpR//
NsrR_neg	dinB//dinJ//bioB//exbB//ybhF//grcA//prpR//napB//glpF//fdnH//wza//araA//ybiT//fumB//lon//arsC//lsrD//acrZ//pgm//uvrA//moaC//yciX//fdnH//araD//glpQ//nrdE//metE//bioF//cysP//osmC//yefM//cpxP//cirA//gadY//lsrB//ttdA//rpmI//recD//garL//cysG//ccmH//mgrR//pheT//nikC//leuD//rutG//fliQ//nagC//putP//ydeI//trpA//deoC//rstA//glgX//yrbL//napF//grcA//paaK//ydeI//ygbA//napA//dcuR//ynbA//metL//bamE//yhdX//ssuE//paaE//yecT//glnL//hybF//moeB//hcaC//lpd//citD//fumC//garK//tonB//hybF//purN//glpA//gspL//hemH//
NtrC_neg	btuB//yrbL//dapB//mdtF//ftnB//mhpC//
NtrC_pos	hypE//oxc//carA//cysB//fucO//araB//glnA//glpT//ybfN//kdpB//yjbG//xapA//acrD//rybB//cpxQ//nanM//cpxP//yoeB//hcaF//metR//acrB//gloA//pstS//treC//dinI//lsrR//ybiT//rbfA//casA//feoB//mgrB//trpR//mgtA//nikD//ppiA//ppc//hha//uvrC//ung//lacY//yfaE//recB//ynbA//glpF//thiQ//frc//ogt//yiaN//lon//
OmpR_neg	marB//ydhX//hemH//yegH//hdeA//uxaB//spy//pykF//srlA//fumB//mpaA//sroA//
OmpR_pos	serA//rseC//astB//yfiR//kdpC//mhpE//nrfE//mdtC//lsrR//accC//
OxyR_neg	casC//baeR//chbR//qseB//arsR//tktB//ccmF//nohA//aceK//bacA//hyaC//marA//
OxyR_pos	ptsH//nagE//glpD//srlD//csgC//ugpA//waaZ//srlD//hyfB//tauB//mgtA//casB//rutD//mazG//sdhD//allE//gspJ//ppiD//citF//gspF//ygeA//yaiA//
PaaX_neg	decR//ynbB//ccmE//yebE//lrp//aceA//argD//nrfB//galM//sbcC//uvrA//ygeH//glpX//ugpC//
PdeL_pos	aroF//
PdhR_neg	pnuC//purE//astC//fixA//nuoF//caiF//dinB//cyoD//cyoE//cusA//bioB//moeB//lrhA//inaA//rcnR//ydeP//gadA//ubiX//cydB//tonB//dinF//nrdG//hybB//cas2//yhdY//dhaR//dacC//yjbE//fumB//gadW//casA//codB//fhuF//fliM//rutG//creC//
PdhR_pos	yeaH//yjjZ//ymgA//yjiY//dapB//
PepA_neg	lhgO//rutR//rhaB//
PgrR_neg	rutD//nrfB//cusS//flgI//bacA//dmsB//flgG//nemA//
PhoB_neg	rffC//kbaZ//mazE//garP//pyrC//gpmM//dnaN//astA//gatC//tdcC//yiiS//fucU//
PhoB_pos	paaD//yqaE//thiP//fabD//hslJ//lldR//srlE//yciF//fdnI//nrdE//deoB//ydhW//emrB//hisQ//ymiA//idnD//rhaT//gcvA//hybE//wecC//ynbD//nimT//glcG//garR//agaB//truB//fruB//nohA//gcvH//udp//atoB//glpB//malP//yjeV//ygeH//recC//ddpB//gntK//marR//argT//hcp//ccmE//murP//fliI//ogt//cecR//ahpC//ugpE//kbp//gspH//luxS//envC//cspI//
PhoP_neg	ymiA//agaS//baeR//mscM//ugpQ//yjbE//ssrS//srlD//lldP//puuC//gudD//
PhoP_pos	glgX//accA//rpmA//gspO//sodB//prs//rhaA//csiD//allD//hyfR//crr//psd//appA//cysM//fadE//cysH//waaY//tpiA//yccA//fbaA//iscR//fecC//sdhC//trpR//allD//glpQ//mhpB//ycgR//gadE//galE//cynR//paaY//umuC//mtlR//nupG//argA//treC//rutF//chbB//nrdD//ygbK//fabH//purB//cysG//creD//flgD//sufD//wcaB//
PrpR_neg	relA//
PrpR_pos	ftsL//ddpA//fixA//mhpE//
PspF_neg	dapB//
PspF_pos	mraZ//mtlD//cysG//rybB//yiaL//ssrS//
PurR_neg	yhjX//truB//alsE//malM//ycgZ//purB//atoB//tcyP//ychF//inaA//fliG//cydA//obgE//tsgA//idnD//hisJ//mlrA//gntP//cadB//gspM//ftsA//ulaE//yidQ//nrfA//feaB//lacA//yhdY//dhaR//asnB//ttdR//fadR//
PutA_neg	sodA//nanE//
PuuR_neg	hyfC//ompF//yciE//trpL//mpl//fabZ//ttdR//
QseB_pos	oppC//fhuA//xylA//nadB//
RbsR_neg	nfsB//tdcE//csgC//galS//hisJ//pepD//wrbA//tynA//
RbsR_pos	sgrS//
RcdA_neg	tdcB//isrC//
RcdA_pos	dinG//sdhD//yafP//melB//ydfX//narH//ygdB//
RclR_pos	lsrR//aidB//yfdX//
RcnR_neg	ygeA//fliD//aceK//
RcsAB_neg	mepH//ynbC//argP//fucU//fabZ//hybG//
RcsAB_pos	ddpX//hha//tyrP//garD//ugpQ//yjbF//glk//bacA//nrfC//tnaB//
RcsB-BglJ_pos	kdpA//bglF//cysN//tyrA//lsrG//hybC//purB//yhjX//sbcC//oppB//slyB//qseC//nagB//ruvB//sbmC//bacA//
RcsB_neg	ulaE//mnmG//
RcsB_pos	mioC//pflB//chbG//cydD//fecC//cadA//ygbA//higA//bdcA//wzb//galK//ompF//sbmA//fecE//citX//hdeB//mcbA//nrfF//recC//lsrD//yjbG//cysP//cbl//
RelB-RelE_neg	dgcZ//yafN//fucP//
RelB_neg	flgI//metQ//ssuB//
RhaR_pos	araA//cysW//
RhaS_pos	citX//flhD//glpQ//treR//dinG//pstB//
Rob_neg	ydcV//
Rob_pos	ybhR//yqjI//hycF//rutC//glxR//fadL//dapB//fhuB//wzc//malI//hydN//agaS//ppdA//slyB//nagA//hslJ//dmsB//hypA//puuC//crp//hycE//fau//oppF//cueO//yiaK//
RstA_neg	yhjC//purF//sodA//lexA//creC//
RstA_pos	crl//sulA//purC//flgC//frdD//
RtcR_pos	glxK//mltF//
RutR_neg	atoE//glnH//yhjC//codB//agaV//ompN//gspO//ynjI//ftnB//putA//dhaL//glgA//ydcT//ybhL//kbp//
RutR_pos	ompW//csgB//
SdiA_neg	rybA//gadY//hdeA//
SdiA_pos	casB//nanK//pstA//
SgrR_neg	phr//murR//rpoH//yqaE//gltI//
SgrR_pos	paaF//metC//recN//fruK//
SlyA_pos	tsx//
SoxR_neg	cynT//
SoxR_pos	nanE//yciX//
SoxS_neg	fecA//gor//
SoxS_pos	ddpD//thiQ//pgi//evgA//glcC//prpB//idnO//mgrR//cirA//tcyP//ybjG//isrC//rdoA//insD//mdtD//ygiA//fabG//ulaD//cydC//agaD//lsrD//ydjM//ynfE//malK//lsrA//hycF//uspD//mazF//cyoD//flu//paaY//fepA//ydhU//tnaA//thrS//fur//tdcG//yhdZ//
StpA_neg	gatD//norW//slyB//wecE//galE//galP//wrbA//
SutR_neg	cusA//allE//fadE//malZ//fliF//
SutR_pos	pgi//
TdcA_pos	purD//oppB//pheS//nuoH//polB//acnB//phoH//
TdcR_pos	fliD//ssb//tdcA//safA//zinT//wzzE//melB//
TorR_neg	hipA//emrK//phnE_1//
TorR_pos	hycG//ynfE//cynR//tauA//tynA//garP//yciX//napC//narK//
TreR_neg	phoH//exbD//
TrpR_neg	xylB//yqjI//glmS//artQ//murC//asnC//ttdA//relE//purC//acrR//nagE//iclR//
TyrR_neg	codA//glpA//hycC//kdpA//nuoJ//yfdE//nuoL//metF//pstS//mglA//
TyrR_pos	yhdZ//edd//yiaN//
UhpA_pos	gspK//
UidR_neg	tsx//dinQ//osmC//mlrA//
UlaR_neg	paaE//ydfH//ybhF//nhaR//ynbB//tbpA//hypA//
UvrY_pos	nikE//nanT//feoB//katE//umuD//
UxuR_neg	mgrR//gspD//yhhY//fliN//ycgR//sufB//ydhW//hyfD//yecT//
XapR_pos	ydhV//ykiA//
XylR_neg	ydhY//
XylR_pos	ulaD//csgD//ccmE//nirC//chbB//purE//
YdeO_neg	yhdX//flhD//
YdeO_pos	phnH//potH//gadW//nrfB//nrdI//hcaC//sroD//ahpF//zraS//cdd//osmC//zntA//cysM//araJ//entF//pdeR//fixB//norV//mngR//
YedW_neg	nrdA//gspL//nrdA//fliO//slyB//
YedW_pos	glmS//chbF//gcvA//gspC//ompT//ymiA//entB//
YefM-YoeB_neg	sufA//manZ//
YefM_neg	mngA//gspJ//
YehT_pos	gspL//
YeiL_pos	sdhC//
YiaJ_neg	hycA//uxaA//ompC//gdhA//nhaR//cysH//glgP//wrbA//rseB//hyfG//
YjjQ_neg	gadC//aroP//uidB//ykiA//rpsU//molR_1//yafO//glcF//pgaB//dicC//
YpdB_pos	manX//
YqhC_pos	rtcB//dsrA//
YqjI_neg	xapA//ydhX//
ZntR_pos	sgrT//
ZraR_pos	narH//nuoL//idnO//
Zur_neg	ttdB//pflB//rstB//nikA//nrfE//cysC//
