#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	melR//gspM//
BolA_neg	rnlA//nrfA//
BolA_pos	folA//psiF//
CadC_pos	gadB//yhhY//pnuC//
CaiF_pos	zwf//paaH//metN//hypC//setA//oppB//araE//srlB//ompT//betT//
Cbl_pos	metL//pdeL//moaB//yhjX//dmsD//phoQ//ygiA//nikB//yoaG//
CdaR_pos	mhpE//uxaA//yedX//tehB//ynbA//gfcA//stpA//phnK//yfiR//yhdZ//
CecR_neg	purK//acrZ//gpmA//glnA//agaR//
ChbR_neg	pgaB//fabG//rcnB//gspJ//cysK//dps//
ChbR_pos	hyfF//ftnB//ttdA//soxR//csgG//yecT//
ComR_neg	pgm//
CpxR_neg	csrB//dmsC//rpiB//yoeB//potF//dsdX//feoA//agaD//ddpC//hybE//codB//uidA//argT//napD//yaiA//sgrR//osmC//puuB//gntK//ccmH//purA//hokD//phnD//metC//
CpxR_pos	oppC//uxaC//yhcH//mscM//casD//fepD//puuA//metH//dpiB//chbB//napF//paaK//setA//rarA//araH//glgA//yjhC//prpD//hybD//chbA//zraP//wecB//nimR//dhaM//acrZ//agaI//hycB//gatD//torA//napH//ogt//puuC//umuC//frdC//phoU//citD//glnK//galM//bglB//kdpB//feoC//sucD//mazG//rffC//relE//bioF//
Cra_neg	ttdA//ybbW//dmsB//cas1//ecnB//ppc//flgG//dcuD//decR//yeaE//chbF//uidB//atoB//hyaC//rffM//fdnI//rhaR//ttdT//fdhF//hemL//galE//gudX//fliI//rbsA//fadE//murC//cadA//gyrA//ppc//paaY//mhpE//murI//yecT//uvrA//aroM//ppsA//glk//sroD//malX//argO//ahpF//aidB//gabP//oppB//sodB//uidB//nrdI//malG//nanE//ymjC//zntA//ecnB//chbG//mtlA//lsrF//exuR//phnC//flgG//rplT//
Cra_pos	rffT//mhpC//dpiA//gntP//tktB//murD//putP//rhaB//fiu//rffM//fepE//iscR//glgP//tisB//molR_1//yecR//napH//fimE//manZ//mdtB//casC//znuC//malQ//
CreB_neg	malI//trpD//nfuA//
CreB_pos	yoeB//norV//
CsgD_neg	arsB//mgrB//yhjC//cytR//ydjM//aslB//micF//dhaR//ugpC//nrfC//bioC//qseB//sufB//lldR//trpB//
CsgD_pos	yfiB//dapD//dsbG//cysP//argD//hyaF//deoC//mtlR//recC//lolA//mlrA//symE//flgI//
CsiR_neg	iraM//tomB//astA//hybB//chbA//
CspA_pos	csgD//yfdV//
CueR_neg	yfdE//rimP//truB//yegZ//mdtD//
CueR_pos	pck//murG//
CusR_pos	mdtD//rffM//rprA//nikC//ccmF//ppdA//rnlA//glcE//sulA//ynbD//yhdW//iraM//
CynR_neg	ydeN//
CynR_pos	csgA//glnB//deoB//
CysB_neg	mntH//fes//wecB//cyoC//arsR//fadJ//ycjY//
CysB_pos	uidA//lsrG//citF//ompW//caiE//tadA//tdcC//yciX//sufD//hcaE//allB//glpA//flgA//rutA//appB//aspC//nrfA//ndh//entE//yhiM//yidQ//ygaC//ymgC//csgF//sodB//
CytR_neg	ppsA//flgE//argB//argT//nuoC//gadY//omrB//glgB//agaC//ftsZ//gcvP//yjjQ//tauB//
Dan_pos	fadJ//ynfF//fliE//luxS//
DcuR_pos	cho//xylH//narG//potF//fes//ugpE//creD//srlA//cueO//
DeoR_neg	wcaA//paaG//poxB//fliJ//yafN//gapA//
DhaR_neg	glnG//
DhaR_pos	lsrF//paaK//xylG//
DicA_neg	ulaA//ccmC//oppB//zraR//pqiB//inaA//wrbA//fliC//
DinJ-YafQ_neg	yjeV//mntH//iscS//
DnaA_neg	add//nuoH//sufA//gdhA//fldA//fhlA//dsdA//prs//narX//ebgA//xapB//
DnaA_pos	phoP//nuoI//lsrB//cyoD//rbsK//aceB//ppdB//
DpiA_neg	glgA//
DpiA_pos	torA//psd//argI//fnr//phoP//idnO//hycC//cysC//ddlB//ndh//
DsdC_neg	hybC//
DsdC_pos	cyoA//hycF//
EbgR_neg	ddpC//slp//
EnvR_neg	ybhF//ugpE//
EnvY_pos	malS//manX//
EvgA_pos	thrS//ddpF//cysM//dcuS//mltF//accD//rutR//edd//gudP//melA//ydfE//phnE_1//aceB//trxC//dsrA//yneM//oppC//evgA//recN//
ExuR_neg	flhC//puuE//ulaE//cspI//micF//rpoE//ppsA//fecD//pgaD//
FabR_neg	hemL//gor//
FadR_neg	gadB//accA//hcp//iscR//ung//yfiB//galS//wzc//omrB//xapB//rclB//
FadR_pos	nagB//tynA//purM//nadB//glpA//tsr//ydeO//metK//kbp//cusC//yhbE//yqhG//
FeaR_pos	ynbD//caiT//
FhlA_pos	mgtA//paaH//nadB//ulaF//hypE//yoeB//argF//hlyE//aroF//sufE//adhE//fabZ//cynT//ydiV//ydbD//nanK//yhiD//gyrA//fldA//gspO//leuO//nrfG//exuT//nirD//ycjX//ydcU//lsrB//flgH//yiaM//kbaY//
FlhDC_neg	nikC//yciF//ccmC//acrB//
FlhDC_pos	glmY//yibQ//mlrA//idnO//sbcC//nfuA//glnA//pgi//treR//fucP//puuE//phnK//rob//ftsW//trxC//pgi//thiP//efeU_1//deoA//fliJ//yefM//cueO//ydfN//paaY//hyaD//paaC//yciE//narJ//ybbY//glyA//cysH//yhdW//ugpB//flgL//glcG//hyaE//bamE//narH//cydA//tyrA//mtr//ulaD//recA//allD//yhbT//sufB//hipB//ccmA//gabP//puuR//rpsU//yebG//trpE//paaY//hycD//rfe//murD//dkgB//ynfE//lamB//rutC//yqjH//ssuB//betT//ftsL//yhbS//ftsL//fliK//accB//garD//purC//rseC//fepE//flhE//yafQ//wecB//sbcC//ydeP//
FliZ_neg	cynX//gatA//cspD//agaC//gloA//gloA//yqjI//nadB//tolC//potH//cpxP//nrfB//fruA//yjiY//fliA//rhaB//gadC//ydeI//ccmH//rdoA//glnD//
FucR_pos	betA//mhpD//rarA//phnE_2//yciF//hypB//hyfJ//
Fur_neg	appY//dinF//hycI//acrR//emrY//araC//bluF//napH//rsmH//slp//uidR//xylB//osmB//cyoC//rffM//ybfE//kdpB//iraM//higA//araF//uidB//pheS//gudX//paaC//oppC//nuoE//rclC//cyoB//nagA//hyfE//phoE//phoA//nuoE//ydhT//gspM//yebG//borD//dcuA//ykgM//aldA//deoD//dcuB//garD//yhjC//ykgM//degP//ahpF//mtr//ccmG//purM//glcD//kdpC//yncE//ygiC//murQ//accC//hokD//ttdT//nagB//qseC//ugpQ//agaS//glcA//narJ//cysK//pdeR//rbsR//glpT//entE//sbcC//ycjX//melB//gatA//hyfD//potG//csgG//dmsB//garP//cadC//idnT//ssuE//folE//lacZ//mpl//nimR//ybbW//malS//tdcA//flgK//yqhD//nadB//cusR//ugpE//trpL//uxuA//waaH//mqsR//tauA//sbcC//ycgZ//ymgA//nrfC//yfiB//nrdF//cueO//glgP//adiA//pspD//aroP//cysE//nikB//nuoN//trpA//yjbE//hyaD//
Fur_pos	ybdN//srlD//oppD//yebG//fecC//cpxP//gapA//tnaA//hha//bglF//tomB//hemL//metQ//zraR//asr//ssrS//uspE//alsA//epd//casA//higB//
GadE-RcsB_pos	gudX//iscU//mqsA//ynfK//treB//ugpE//molR_1//rhaR//gabP//
GadE_pos	glpT//mraY//phnF//ompT//rimK//yfaE//prpE//uidR//cdd//norV//metF//ddpX//fliS//grxA//zntA//metH//nmpC//fhuB//gntP//ppdA//bdm//mntH//ftsZ//hdeD//allS//dgcC//ppiA//nrfF//hypD//
GadW_neg	mngA//yiaO//aceK//emrB//luxS//hisM//cspI//bioA//chbR//sbcD//citD//
GadW_pos	tpiA//tauC//dgcC//hyfI//pqiB//malS//putA//yqjH//araD//xapB//puuC//
GadX_neg	waaH//mtlD//murG//fecE//nuoK//betA//
GadX_pos	hypB//fabG//oxyS//rpoE//kbaY//ybfN//yhjA//rffM//galR//cysD//rnlB//bglF//relA//htpG//marR//efeU_2//moaE//leuB//bglJ//lysA//deoC//higB//ybjC//rffG//nac//hycE//yibQ//
GalR_neg	ftsQ//rhaA//envC//appC//chbA//appY//stpA//prpR//appX//sodB//
GalR_pos	ydfE//zraP//tauD//glnG//
GalS_neg	yhdW//purB//yjbE//dsdC//ebgC//nikB//dapD//yrbL//flgI//rpmI//
GalS_pos	yecT//fliA//dhaM//recN//
GatR_neg	mhpF//lsrD//narL//intQ//ydhU//mgrB//
GcvA_neg	ldtB//entC//phnD//iraM//
GcvA_pos	ubiC//wzxE//fucA//speB//
GlcC_neg	ftsI//
GlcC_pos	ddpA//cusA//puuE//hyfD//cusS//lacA//
GlpR_neg	napG//fruA//yjeV//dmsA//rclB//patD//artP//ynfG//waaH//
GlrR_pos	metK//ymjD//fruK//hyfA//nemA//
GntR_neg	fliM//nimT//sodA//gspL//pgm//rbsA//csrB//mepH//pstB//modB//leuB//ppc//
GutM_pos	tauD//fhlA//marB//fliI//ruvA//rpiR//nuoF//
GutR_neg	yagK//yncE//argA//oppB//ftsW//rnlA//glcC//
HU_neg	srlD//glcC//baeR//ydfW//lgoR//argG//lsrB//dinG//
HU_pos	dinQ//
HcaR_neg	yfiB//
HcaR_pos	uvrD//cspI//mraZ//metK//yhjA//
HdfR_neg	paaB//lysA//
HdfR_pos	gltL//ugpA//yhjA//
HigA_neg	lysC//torA//
HigB-HigA_neg	ddpA//trpA//
HipAB_neg	potF//ddpF//ebgA//gudP//dicB//
HipB_neg	mscM//ddpX//oppA//yfdX//fldB//motB//
HyfR_pos	ybhS//mtlD//nagE//fliC//deoB//araG//fixC//rnlA//fdnI//hybD//flgK//btuB//
HypT_neg	fliM//hypB//sroD//phnI//cusB//
HypT_pos	mnmG//rdoA//nikC//fiu//dsdA//mgtL//cusA//fecA//
IclR_neg	metN//cusR//paaX//fliH//
IdnR_neg	argD//trpB//
IdnR_pos	lsrA//ttdB//trpC//ynfE//dapB//
IlvY_neg	slt//
IlvY_pos	flgK//
IscR_neg	lrhA//ynfE//evgA//uvrB//nfsA//prs//ftsL//entD//dapB//iscA//rutG//pheT//napB//dgcZ//aceE//deoB//sroA//fliA//murG//tonB//znuA//
IscR_pos	lpxD//ybhG//srlD//fadM//lsrC//fdnH//nirC//gspO//rcnB//lysO//lysO//
KdgR_neg	gspC//gltF//
KdpE_pos	yfdV//argD//lrp//crr//
LacI_neg	yefM//thiQ//alsB//
LeuO_neg	ykgO//trpL//slyB//
LeuO_pos	phnI//xapB//murG//ccmF//gcvH//dcuB//rybB//rcsA//trpA//hokD//tauA//nohA//fecD//cusA//modA//ppc//mraZ//glgX//
LexA_neg	ydhV//bglG//ygbK//astE//treC//hyfA//fepC//narL//cysW//betA//paaI//ppiA//narJ//cho//ycdZ//torC//putP//tauD//yqjI//cyoE//eno//nuoE//yfdE//hemL//copA//tdcF//moaC//dgcN//talA//glpQ//tnaA//artI//ynfE//oppB//nagB//flgE//paaB//hyfE//deoC//ftsI//gspK//soxR//hycI//lacA//patA//prpE//higA//dsbG//aslB//torC//mdtF//hypF//yfiB//fliF//wzyE//cusB//rpmA//pitB//omrB//
LldR_neg	ydeM//talA//murC//
LldR_pos	hydN//sbmC//chbA//
LrhA_neg	nikR//cysP//
LrhA_pos	dhaM//gltB//
LsrR_neg	mazE//garR//iscU//lamB//flgF//phr//gspF//nagA//glnA//
LysR_neg	setA//
LysR_pos	purK//
MalI_neg	ymjC//mngR//osmB//
MalT_pos	wcaA//stpA//ydjM//hemH//pyrC//dhaR//yebE//ybjC//entF//ecnB//
MarA_neg	citG//ulaD//ulaD//ygaC//rcnB//adiA//csgG//
MarA_pos	lrp//rstB//ybdZ//nirB//aidB//gfcA//ebgC//mdtB//fliD//ddpD//zraP//flhD//chbB//dinG//hycG//dmsD//ybaS//casA//garL//hybO//cysC//hybO//nfsB//ppsA//hcp//rbsR//rplU//fliA//trpL//glnK//tadA//
MarR_neg	dmsD//gatY//idnK//
MatA_neg	slp//garD//symE//fixX//pncB//flgC//
MatA_pos	ulaB//prpD//
MazE-MazF_neg	hemH//argP//alaS//
MazE_neg	thiP//napH//moeB//
McbR_neg	sulA//
McbR_pos	metQ//uxuA//frdB//
MelR_neg	mntS//nuoE//recX//
MelR_pos	recX//yncE//xapB//
MetJ_neg	sufB//ubiX//nfsA//malT//nrfC//lysR//fucO//hycI//caiA//mdtA//entE//ygiZ//gltI//psiE//entD//
MetR_neg	relE//molR_1//
MetR_pos	pyrD//yafO//pgaB//fumC//
MhpR_pos	pepA//nanS//ydeM//omrB//nfsA//yoaG//
Mlc_neg	cytR//mdtF//yciW//sucB//isrC//ydeM//hybC//caiF//hyfR//glpA//
MlrA_pos	ydeN//umpH//mdtD//katE//amn//dnaA//rutA//caiF//glcE//lsrD//
MngR_neg	ulaD//polB//fliJ//
MntR_neg	prpD//tauC//pdeL//rpoE//
MntR_pos	puuP//
ModE_neg	gutM//truB//mntS//ynfH//paaB//gspH//csgB//uxaA//pyrC//artI//trpA//hdeA//yfiB//sgbU//yciE//
ModE_pos	fadH//sbmA//glnB//argO//fabB//gspG//cysK//gcvB//yccT//moeB//wza//psiE//cydD//crr//sufE//murQ//arsB//ompC//ygeA//fliI//nohA//appB//allD//uidR//hyfI//nanK//wzyE//ydhX//ascB//flu//ydhU//
MprA_neg	feaR//glyA//flu//polB//hyaE//iraP//
MqsA_neg	sodB//tnaA//galR//ftsK//ydcV//oppB//glpK//soxS//
MraZ_neg	rclB//phoH//paaJ//ada//evgS//fecE//rimK//zraR//dgcC//hybA//cysB//garP//wcaB//agaI//ariR//rhaR//fldA//
MtlR_neg	purM//ydeO//relA//
MurR_neg	epd//yccT//glgC//
MurR_pos	fimE//
Nac_neg	speA//nanE//purK//atoA//rimP//wecE//nuoG//ydhY//potI//
Nac_pos	waaY//ftsA//argT//casC//rutG//rbsC//wcaB//tfaQ//sgbH//nagC//galP//fbaA//
NadR_neg	dinQ//citX//ttdT//rpiB//
NagC_neg	waaY//chbF//hcaR//hcaF//murE//nuoF//malX//hyaE//cydC//cheW//metY//dpiB//hycG//rnlA//rsmH//leuB//ssuE//cysC//uxaC//asnA//napB//artJ//tdcD//fbaA//sodB//sroA//hypA//sbcD//gutQ//lsrR//fliH//glpD//waaZ//
NagC_pos	ycjY//fliO//ptsI//
NanR_neg	treR//csgB//leuO//rpoS//caiC//mazF//hybA//feoC//ydjM//metJ//
NanR_pos	ynfH//
NarL_neg	crp//wcaB//deoC//yjbG//yebG//ilvY//fruA//nikD//flhD//ydiV//ydeM//flgF//fhuC//ssuA//pgaD//yhdY//wzb//nfsB//dinB//cpxQ//alaS//yccT//ydeI//baeS//lldR//ulaA//hybB//lsrF//paaA//fliQ//ybhR//nadB//purD//fucK//waaZ//fdnH//lsrK//galE//eno//znuC//cpxP//astE//ftnA//cynT//hyi//paaF//glpK//rcnA//ybaT//nrfC//zinT//phnF//gntK//grxA//cysI//csgC//glcD//dicC//pitB//yhbT//casB//yidQ//glcB//gltJ//gspK//murQ//phoE//fadM//recB//dnaG//exbB//phnG//fliR//rhaR//wecB//hipB//chbG//ygdB//murG//chbA//lsrR//ddpC//lsrG//rbsR//hyfH//higA//metA//
NarL_pos	ldtB//mazG//skp//sgrT//mhpF//hyaC//kdpC//hybB//yoeB//cysI//sufD//oppF//hcaD//gcvB//sdhC//gspH//pdeH//tcyP//alsA//eno//accA//caiT//infB//ssuE//ugpQ//trxC//nrfA//fadH//manX//rutD//qseB//seqA//yiiS//gor//recC//gatD//eda//xapB//evgA//potG//ubiC//mazE//ulaB//
NarP_neg	casD//speB//dsbG//rdoA//agaB//hcaC//recD//aroG//flgG//acrR//hybF//obgE//yjbE//araJ//phnJ//hcaR//dsdX//uxaB//nfuA//pheS//ydfW//cydA//glpA//malF//mraZ//acnB//flgC//ruvB//fepD//cysG//dmsC//fepG//puuA//
NarP_pos	rpsU//phnD//marA//mgtA//malG//pncB//gadA//astC//ydeI//mqsA//metR//malZ//gcvP//ygdB//gspK//murD//ygiC//mhpE//malT//nfo//hisP//nanM//ccmE//atoB//pgaA//manZ//yoaC//wzzE//ydfE//flhD//phnE_1//nupC//
NemR_neg	srlD//nikC//allS//
NhaR_pos	betA//fadE//lldR//araB//osmB//yegH//ydfX//
NikR_neg	fliF//agaV//yjbG//yegZ//fucU//dsrA//
NimR_neg	aceE//lpd//
NorR_neg	omrB//
NorR_pos	hyfG//csiD//
NrdR_neg	putP//cyoB//bglF//ftsK//ugpA//rcnA//ftnB//aceF//mqsA//
NsrR_neg	metY//ybhF//cusF//dcuA//mqsR//hybF//spy//dcuD//gadY//glpX//aroG//gntU//osmB//exbB//bioF//xylH//frdC//tktB//ycjY//pgm//ldtC//yjiY//tehB//borD//flgD//sbcD//pspG//yagK//sufD//cysK//melA//trxC//fliQ//flgA//tomB//yfiR//uxuB//pstS//oxyR//yhhY//recA//purR//gudP//dcuS//araD//mgtL//hisP//hyfB//ptsI//tyrP//gudP//ydeM//gudD//torR//uidC//adiA//uxaA//cvpA//glpT//nrfA//dcuA//yecR//acnB//puuP//envC//grcA//mdtD//rseC//pnp//nuoA//ynbC//nuoA//rhaA//yqhG//cysM//sroC//cyoD//pykF//cho//kdpF//glnG//hflD//ygaC//
NtrC_neg	malI//flgD//seqA//casE//rpsU//fixA//
NtrC_pos	mltF//phnE_1//waaZ//yefM//ppc//moeB//gyrA//ygbK//yhjX//argF//ydiU//waaZ//fdhF//trpB//napD//yecR//ydcU//uxaA//flgG//phoE//bolA//dpiB//yegR//rbsA//dgkA//gspG//yeaH//mraY//moeB//fumC//oxc//fabD//sra//rbfA//sroC//hycG//ycjY//wza//csgA//pheS//rtcA//isrC//fhuA//molR_1//nrfE//ybdZ//bglG//gspF//cusA//
OmpR_neg	icd//yjbF//murG//uxuB//grcA//yafQ//moaE//dcuD//grxD//agaA//hyfC//pdeR//
OmpR_pos	cadA//nemA//gltJ//srlA//thiQ//ydhW//flgJ//nrfD//mgtA//dkgA//
OxyR_neg	sgrT//narG//yecT//phnI//ilvC//nanK//gntU//ulaA//galT//wecC//wza//ppdA//
OxyR_pos	gcvT//glgP//mnmG//hyfE//hycB//tomB//phnE_1//cirA//ulaC//gatY//ygbK//ybbY//glnP//wecE//borD//hybG//ftsW//aceF//citF//agaC//rseA//yqhG//
PaaX_neg	astC//hyfH//glyA//phnL//mltF//btuB//trpB//ydjM//qseB//yjjQ//rbfA//dgcC//deoC//fruK//
PdeL_pos	psiE//
PdhR_neg	polB//thiQ//puuR//murQ//grxA//pfkA//hyaF//ompN//glpQ//slt//pgk//lldP//puuE//ssuC//phoQ//nanT//frdA//rfe//caiA//fdnG//nikE//nuoC//waaZ//sutR//nadB//mdh//cysP//mdtD//cadA//caiC//waaH//udp//manZ//dsrA//entH//acrD//
PdhR_pos	metL//luxS//glpD//yqaE//lldR//
PepA_neg	hyaC//gudX//ruvB//
PgrR_neg	malS//leuA//ompN//fepE//sulA//xylR//lysC//znuC//
PhoB_neg	dinG//uxuR//nusA//araF//gpmA//hisP//betI//citE//ddpB//znuC//moaE//artI//
PhoB_pos	dpiB//uvrY//cydC//glcB//ydhV//gspJ//recN//murQ//gutM//yeaH//murC//agaC//yoeB//cpxQ//rcnB//codA//nhaA//ulaG//glgP//fadM//yhiM//tam//gadY//ycjY//yqjI//csgE//pyrD//mraZ//tomB//hycB//wzyE//folE//deoB//ybhS//rplU//dnaA//garK//bluF//ubiX//nfo//tcyP//bglJ//sgrR//yeaH//ygeH//murE//znuA//yciF//moaC//waaZ//wcaB//mazF//cysM//
PhoP_neg	xylA//degP//cdaR//ruvB//baeR//pgaA//qseB//fumC//ybhS//alaC//nuoG//
PhoP_pos	ykiA//carB//purC//ybhG//metC//appB//acrB//insK//appC//hisP//entA//pspE//nuoE//isrC//fecR//xylH//uspA//tdcD//alkB//ydbD//acrZ//cpxQ//ruvA//yfdX//pspG//epd//rcnA//nrfD//pspA//fadL//cspI//fabD//mntS//poxB//yiaL//alsC//nuoA//yiiS//pstS//caiA//gspG//envC//lpxC//hcaB//ynfF//atoB//manX//citE//
PrpR_neg	mqsA//
PrpR_pos	yqaE//hcaF//appY//glnH//
PspF_neg	codA//
PspF_pos	tbpA//flgC//fadH//mhpD//paaE//gfcA//
PurR_neg	uvrD//mltF//yidL//lyxK//idnK//srlR//nmpC//deoA//carB//purN//csrC//fliH//nemR//fldB//mltF//chbA//gfcA//treB//paaI//kdpB//uxuA//znuA//caiA//gspK//ybiT//ycgR//hypD//glgA//rtcA//ydfN//ariR//
PutA_neg	fliE//dkgB//
PuuR_neg	hypA//lsrC//torA//amn//hycE//soxS//hcr//
QseB_pos	iraM//csgB//rimK//xylB//
RbsR_neg	nlpA//pflB//pheT//ribA//yfiR//cheW//gudX//phoR//
RbsR_pos	caiD//
RcdA_neg	phoP//sdhA//
RcdA_pos	glgA//lacY//uidR//ubiA//manY//cyoD//amtB//
RclR_pos	hybG//ydfE//feaR//
RcnR_neg	fadH//dmsD//ygeA//
RcsAB_neg	idnT//ybdN//bglF//oppA//hycC//sdhD//
RcsAB_pos	hisQ//fecA//phnC//rnlA//pepD//safA//uspE//fadD//yiaO//gntX//
RcsB-BglJ_pos	moaA//bamE//sucD//rffH//araC//tsx//efeU_2//sgrS//pspG//oppF//umuD//iscU//nuoA//uxaC//glnD//ruvA//
RcsB_neg	ynfK//hycI//
RcsB_pos	cas2//leuO//lolA//symE//fliD//ddpD//ymiA//xylG//dmsC//rhaD//hyaF//gfcA//betI//nfo//deoD//yjjZ//iraM//argC//nusA//flgC//yjhC//ugpQ//oppF//
RelB-RelE_neg	polA//dnaA//rybA//
RelB_neg	araH//pheS//atoD//
RhaR_pos	entF//glmU//
RhaS_pos	hokE//lgoR//cueO//acnA//qseB//lldR//
Rob_neg	citX//
Rob_pos	paaH//wecB//gpmM//hyi//treB//uvrA//nadA//ftsI//treB//hipB//motB//nanC//csgB//nanE//dapB//hybF//dmsA//rbsB//putA//fabZ//phnP//gudX//fhuD//pqiB//yoaC//
RstA_neg	flgJ//paaG//wzzE//fumB//gcl//
RstA_pos	dacC//isrC//casA//glnH//uvrB//
RtcR_pos	udp//yegZ//
RutR_neg	rnlB//ruvB//citC//cysH//ccmH//ydhU//rdoA//ydcT//focA//flgK//uxuA//argD//fliS//pspD//dsbC//
RutR_pos	fixA//mtr//
SdiA_neg	yecT//yidL//cheA//
SdiA_pos	ygiA//gspH//udp//
SgrR_neg	waaY//mgtA//mprA//lsrC//hycE//
SgrR_pos	cra//murD//hdeD//pgaA//
SlyA_pos	casD//
SoxR_neg	gspF//
SoxR_pos	tbpA//dacC//
SoxS_neg	recB//torA//
SoxS_pos	iraM//grxA//iraM//yegR//dcuR//cra//tyrB//recB//polB//fbaA//ubiC//yhdW//hyaB//ptsH//putP//nanE//accB//paaE//kdpF//rtcB//malF//lysR//moaD//rutD//mhpA//tyrP//yhdW//purB//ybhS//pgaB//tcyP//purA//glyA//nanS//hcaB//htpG//ftsL//hyfH//
StpA_neg	nrfB//cusC//dsbA//rhaR//infC//dgcC//alsC//
SutR_neg	cyoD//murQ//nrfC//phnD//fabB//
SutR_pos	rutF//
TdcA_pos	cecR//luxS//yneM//fucU//yhcH//ascF//nrdH//
TdcR_pos	gadC//narI//xylR//ebgA//cpxR//relB//rffM//
TorR_neg	yhiM//paaG//fadA//
TorR_pos	kbp//gcvT//mntH//asr//prs//rbsD//cyaR//sgrS//flgD//
TreR_neg	yiaJ//malG//
TrpR_neg	ulaA//bdm//umpH//ndh//codA//hyaC//hha//lysO//dinB//cydC//gntT//ulaE//
TyrR_neg	gltF//sgrS//yidQ//ccmH//narH//lhgO//mdtD//bhsA//rstA//rutD//
TyrR_pos	nagE//dinI//purB//
UhpA_pos	citE//
UidR_neg	rplT//oppA//ycjG//higA//
UlaR_neg	yfdV//gspH//kdpB//galE//yoaC//sbmA//flgA//
UvrY_pos	accA//rpoH//tpiA//fdnI//dctA//
UxuR_neg	ydfW//prpE//nmpC//accA//narK//cdaR//cho//gadA//paaH//
XapR_pos	creD//araJ//
XylR_neg	nimT//
XylR_pos	paaF//hyfG//nfsA//flhA//cyoA//ldtB//
YdeO_neg	tam//rbfA//
YdeO_pos	aidB//torD//tyrB//yegH//melR//rseA//ybiT//fadM//sbcC//hyfE//hybD//bdcA//cadB//yagK//agaW//artI//yjeV//ompT//dtpA//
YedW_neg	psiF//ptrA//nrfD//umuD//dicC//
YedW_pos	garL//fdnI//osmB//mgrR//mhpE//aslB//mraY//
YefM-YoeB_neg	ddlB//mscM//
YefM_neg	ogt//wecE//
YehT_pos	dgcN//
YeiL_pos	flgE//
YiaJ_neg	fruA//dmsC//glpX//puuC//yhbT//feoB//gutQ//thiQ//fliI//yjeV//
YjjQ_neg	trpB//yfdV//ygiZ//psd//putA//glnA//nrdA//ygbA//ttdA//metC//
YpdB_pos	glgP//
YqhC_pos	hyfH//frc//
YqjI_neg	paaF//psiF//
ZntR_pos	tynA//
ZraR_pos	ydhT//mdtB//uxuA//
Zur_neg	fnr//glnA//bdcA//tyrP//malY//yciF//
