#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	argH//citC//
Cra_neg	tcyP//flgN//slp//ulaD//accA//deoC//metH//trpC//degP//ftsQ//ppdA//dcuD//glmU//ttdB//acrR//hycF//nimR//fumB//paaA//hycF//lysR//acrR//mdtC//paaY//aldA//mtr//metH//copA//grcA//nrfD//citX//cysG//lon//lsrA//uxuB//gatD//rfe//gpmA//infC//fadH//yeaD//gatZ//gudD//sucD//fadD//lsrK//cecR//uof//mhpC//borD//hlyE//sucA//kdpF//dkgA//yhjX//yjbE//hypD//fbaA//citX//
Cra_pos	ugpC//bioC//napC//tcyP//pspF//luxS//norR//metC//gudP//fliP//gyrA//waaZ//argI//ompT//fnr//citC//malZ//recD//glcA//rpiB//tehB//nagC//nirD//
CreB_neg	paaF//argI//ydcU//
CreB_pos	uxaA//lsrC//
CsgD_neg	narH//galM//cysA//flgA//osmB//sdhB//uvrD//dinG//molR_1//puuA//gntP//srlA//yoaC//xylR//fliC//
CsgD_pos	fhuA//trpD//nrfF//ydiU//gspI//csgC//entS//phoH//fabH//torC//dcuA//yhbS//hycG//
CsiR_neg	yiaK//sroC//nuoM//zraR//araH//
CspA_pos	appC//hdeB//
CueR_neg	yqjI//gspG//ompF//ymgA//uidR//
CueR_pos	ybhF//xapB//
CusR_pos	exuT//hyfI//fabB//cadC//gntT//exbD//pgaB//hipA//dkgB//atoA//accC//ptsH//
CynR_neg	cysK//
CynR_pos	aceK//norV//fliP//
CysB_neg	lsrB//thiQ//zraR//allB//glnB//srlE//napF//
CysB_pos	rarA//zwf//yaiW//nrfA//potI//fabG//slyB//higA//lsrK//hycC//tdcB//casD//ycjX//nusA//paaI//malG//cpxQ//umuD//qseB//yciE//ecpR//dmsC//glmY//iraM//fepB//
CytR_neg	pheM//purN//norR//idnD//hyfF//napB//pgk//pgi//yfdV//xylR//safA//caiF//cynX//
Dan_pos	mdtB//uxaA//gltK//hycF//
DcuR_pos	cysP//cas2//yneM//baeR//fabA//ptsH//csrB//yfdE//thiP//
DeoR_neg	uidA//nhaA//xylH//pheT//ebgA//ydeM//
DhaR_neg	allE//
DhaR_pos	dpiB//alaC//csrB//
DicA_neg	rffH//nrdB//mtr//fepC//astB//glnK//glnP//ydeO//
DinJ-YafQ_neg	ynbA//caiD//citD//
DnaA_neg	torR//zraP//paaZ//ssb//ybaT//lexA//rplU//lacA//tadA//yibQ//accD//
DnaA_pos	nagA//agaI//speA//uxuR//trpB//ccmH//mdtE//
DpiA_neg	tdcE//
DpiA_pos	acrD//nikA//yjjZ//luxS//yqjH//nac//phoA//argF//dgkA//ddpD//
DsdC_neg	yegZ//
DsdC_pos	metC//paaX//
EbgR_neg	bluF//citX//
EnvR_neg	moaB//ydfW//
EnvY_pos	prpD//yfaE//
EvgA_pos	ydhT//rpoE//cusS//yhjX//cyoB//dpiB//nikE//entH//yecT//astA//bioB//guaB//ydfE//safA//slyB//ydeN//appC//cysD//hcaE//
ExuR_neg	ulaE//rffT//phnE_2//nuoL//rcnR//gloA//mglC//leuD//sufA//
FabR_neg	nanK//uspD//
FadR_neg	pqiA//alaC//ulaB//yeaE//galT//lldD//osmB//rutA//carA//citE//focA//
FadR_pos	folE//cytR//sufB//malI//dmsB//rybB//hybE//uvrB//pdeH//nirB//flgJ//hybG//
FeaR_pos	nmpC//murF//
FhlA_pos	hybE//fixC//pdeH//ybaS//ydfD//umpH//obgE//fliD//cadA//ecnB//ycjF//dnaN//hisQ//torD//trxC//soxR//fruA//entA//rclB//rpmI//nlpA//fliC//ssuB//narI//fadL//glpT//gntT//ompF//cheW//creD//
FlhDC_neg	dicB//fruB//ariR//feoB//
FlhDC_pos	uvrA//dctA//fixX//galP//hyfD//mazE//sgrS//ybfN//aidB//srlE//nagA//spy//hypE//sgbU//puuE//uvrC//galS//rstB//glgP//ygdB//xylH//oppA//aroF//yegZ//yjeV//yjbG//pstB//moaE//spy//potF//modA//melB//fliK//cheA//zraR//dgcC//dcuA//paaC//ssuA//dgcC//seqA//asnB//ftnA//xylR//sgbE//osmY//tpiA//adhE//ariR//casE//purR//lolA//purF//ycdZ//nadB//malE//aspA//gdhA//gadF//caiA//aceE//fliP//potF//yccA//yciG//aceF//yiaN//ycjF//lexA//oxc//alsC//yjbH//rtcA//alsB//leuD//purE//rhaT//tynA//
FliZ_neg	cadA//fadH//feoB//rhaA//nrfF//focA//hisQ//moaD//aceE//csgB//ccmF//tdcG//ynfF//mazE//hydN//yciW//asnC//cadB//nrfG//nupC//nrfB//
FucR_pos	hypA//mdtD//gntT//ynfG//exbB//puuB//aceF//
Fur_neg	oppA//accA//recF//csgD//zraS//flgL//lysA//ppiA//oppD//hybD//hdeB//phnJ//ecpR//sufS//recD//cas1//fliJ//yhdZ//argF//yeiL//znuB//znuA//metR//zntA//degP//rclA//chbR//csgC//glcE//entF//yjbG//metQ//paaG//puuR//gcvA//mgtL//hemL//rnlA//srlD//rbsC//sbmA//dinJ//dnaN//acrR//chbF//tyrB//galR//purH//micF//bioB//pspB//caiA//creC//ariR//aidB//zraP//tpiA//ulaD//rfe//mdh//ybaS//rnlA//intQ//caiA//gloA//hcaD//truB//ruvA//prpB//lldP//gatY//mepH//luxS//gntP//cecR//ybdZ//ribA//allD//carA//iraP//nuoK//melR//glpF//pitB//ftnB//uvrD//cspE//dcuR//yjbF//paaF//mngR//yjbF//sutR//fixB//sufS//adiC//dinG//gltF//citC//znuB//lyxK//nhaR//marB//rpmI//leuD//lpxA//puuC//moaE//nanA//fixX//dinI//metY//citC//purR//yebG//
Fur_pos	purN//puuP//xapB//cdd//feoB//araF//gudX//glk//sutR//mglA//frdC//artQ//paaI//yedX//nanS//lysO//csiD//gspF//rnpB//ydfX//xylR//
GadE-RcsB_pos	rclB//lysP//accC//evgS//dacC//purK//nupG//speA//metA//
GadE_pos	cpxP//aroL//ssb//phnE_2//ttdB//fabI//osmY//paaZ//tomB//rprA//sbcD//flgC//rpoH//ymjD//ydfD//sbcC//oppA//cydC//ldtB//ppiD//cysE//fruK//ilvC//nuoC//fepG//yjhC//ulaD//tdcG//acnA//
GadW_neg	flhB//xylB//fpr//zntA//fucK//rsmH//narK//bioA//gspH//ogt//dgcC//
GadW_pos	fucO//agaC//yhdY//ygeA//udp//pspG//nuoB//cyoA//allB//ygiZ//sgbH//
GadX_neg	ebgA//aspC//yhhY//yegH//sgbU//rutC//
GadX_pos	xapA//oppA//trpC//murC//tadA//ybhS//mlc//yibQ//rffH//fliK//fliO//trpL//dinQ//fumC//allE//lpxD//recN//aldA//mngB//pagP//cbl//recA//ycgZ//torD//mntS//ddpB//yjeV//
GalR_neg	cynS//glgX//phnE_1//mntS//ftsQ//yefM//ttdB//yhbT//ydcT//fucR//
GalR_pos	purM//pspB//dtpA//norV//
GalS_neg	seqA//fliM//arsR//fucO//ydhW//nmpC//ycjX//norR//hybC//csgE//
GalS_pos	rstA//ecnB//fliJ//hcaC//
GatR_neg	spy//oxc//fepA//tadA//mprA//gnd//
GcvA_neg	potG//gatA//ybjN//ddpF//
GcvA_pos	purM//rhaS//iraP//ompF//
GlcC_neg	ygdB//
GlcC_pos	purF//glnA//cbl//feoB//gspM//sdhA//
GlpR_neg	exuT//metR//guaB//gspI//agaC//umuD//mlc//patD//ulaF//
GlrR_pos	add//icd//rsmH//hyfB//ftsZ//
GntR_neg	phoE//paaK//fbaA//nfsB//metN//ulaA//wzzE//srlB//pagP//rffH//truB//oppF//
GutM_pos	fliL//entS//citG//artM//yfdE//fliF//cysB//
GutR_neg	guaA//fecI//ydhY//csgD//yaiA//yfdE//ttdT//
HU_neg	ymjC//phoB//deoA//entF//tcyJ//idnK//narJ//ygbK//
HU_pos	arsR//
HcaR_neg	fhuD//
HcaR_pos	phnJ//nrfA//wzb//ugpC//ydjM//
HdfR_neg	dsbC//hydN//
HdfR_pos	cyoC//dsdC//argF//
HigA_neg	rutR//yhdY//
HigB-HigA_neg	arsC//fepB//
HipAB_neg	ompW//gabT//gcvH//adiC//paaK//
HipB_neg	rplT//purM//feoC//chbB//mqsR//dmsA//
HyfR_pos	atoB//cysB//hycC//napD//pgi//lysO//cysK//molR_1//nadA//hypB//fhlA//galS//
HypT_neg	sufS//appY//exbD//astB//serA//
HypT_pos	glnA//cysM//hcaC//ccmC//hyaB//ccmD//fhuA//glnH//
IclR_neg	pgaD//patD//guaB//nuoN//
IdnR_neg	fadL//ycdZ//
IdnR_pos	cysA//sulA//rsmH//ilvC//rpoS//
IlvY_neg	yoaC//
IlvY_pos	metE//
IscR_neg	ppiA//bglF//yafQ//uspE//sroC//garK//argD//nirD//mazG//yqhG//sdhB//mioC//relE//fliZ//dhaL//truB//dgkA//argA//purL//ugpA//ompN//
IscR_pos	cpxA//znuA//lsrD//cadC//dctR//hycC//gltL//hyfA//yecT//efeU_1//citF//
KdgR_neg	btuB//mngB//
KdpE_pos	kbaZ//molR_1//tsr//yaiA//
LacI_neg	add//carB//frc//
LeuO_neg	nmpC//gspF//fadJ//
LeuO_pos	dicC//argE//ynfG//crp//pspD//tnaB//fliG//yciE//ldtB//ccmB//creC//nuoJ//rpoS//decR//cysH//grcA//pspE//yqjA//
LexA_neg	uxuA//wza//rbsR//oppA//argT//casD//manY//sbcC//phoU//motA//glpF//ccmC//yccT//tauA//nanC//nfuA//rcsA//paaD//rstA//fliL//baeS//pheT//wecC//cho//bacA//argI//puuC//rffG//ycjX//phnH//idnK//cynS//rbsB//asr//yoaG//bioF//alkB//dacC//yhiD//nrfD//fdnG//glpF//tyrP//ynfK//mhpT//emrY//rbsK//ybdN//ydeO//argI//iscR//torC//flgC//gadX//cirA//hyfI//tadA//sufE//tsx//
LldR_neg	ccmE//moaE//wzyE//
LldR_pos	pdeH//ddpC//lsrG//
LrhA_neg	fliE//creB//
LrhA_pos	rseB//yecR//
LsrR_neg	bamE//ymjD//symE//intQ//mntP//sufS//dinD//wecE//fhuD//
LysR_neg	fepC//
LysR_pos	astA//
MalI_neg	hcaF//ytfE//sucB//
MalT_pos	gatD//tdcC//nac//hns//fixC//cysA//ptrA//bioD//yafQ//ompW//
MarA_neg	nanA//cueO//hflD//yqjH//gltD//ecpR//fliM//
MarA_pos	ulaD//nadB//gltD//fliM//fliN//marR//napF//patA//fadI//fecE//cysG//mgrB//flgH//yhbT//relE//nanT//fdnI//dkgB//pspC//caiC//dinI//yibQ//torC//wrbA//dhaL//fliD//lysO//yhdZ//dmsD//artM//ynfG//
MarR_neg	ppiD//ddpX//envC//
MatA_neg	mdh//rpoS//nuoC//idnR//wecB//hycI//
MatA_pos	yaiW//baeS//
MazE-MazF_neg	fliE//moeA//hdeA//
MazE_neg	melB//zwf//yecT//
McbR_neg	pstA//
McbR_pos	fliJ//csrB//pdeL//
MelR_neg	nuoL//mdtF//uof//
MelR_pos	acrA//asnA//gcvT//
MetJ_neg	mltF//hisP//fliC//cysC//rhaS//cyoC//pgk//ccmC//rob//cho//dgcC//sutR//yiaN//ydfE//yhiM//
MetR_neg	ulaG//cysM//
MetR_pos	srlD//sroC//gltD//feaR//
MhpR_pos	fixX//hisM//wcaA//fliL//nmpC//ydhV//
Mlc_neg	rstA//ygiZ//ftsW//ascF//nuoI//sufC//phnH//metE//phoQ//malE//
MlrA_pos	citC//hisQ//ihfA//adiC//phnP//sufS//yefM//leuL//ybbW//ptsI//
MngR_neg	fnr//malX//gltJ//
MntR_neg	metB//yeaD//ppdA//torC//
MntR_pos	nhaA//
ModE_neg	yneM//mdh//ilvC//fiu//waaH//oppA//paaY//motB//hycA//bacA//mdtC//hybF//csgC//yeaR//leuA//
ModE_pos	soxR//purM//fliS//agaR//isrC//pstC//arsR//thrS//phnI//poxB//cspI//yfbR//srlE//rcsA//uhpT//intQ//tnaB//ftsK//narI//ykiA//recD//cas2//cysA//uspD//fliG//uspA//mazE//allA//araC//ugpQ//agaS//
MprA_neg	dsdX//prpC//dinJ//wrbA//cyoD//narK//
MqsA_neg	sodB//yidQ//csgE//pheM//prpE//rstB//mdh//gspL//
MraZ_neg	yagK//zntA//ydfN//fdnI//hlyE//efeU_2//yqhD//accB//hybO//ldtB//malY//setA//sbmC//ogt//leuO//caiA//paaJ//
MtlR_neg	rutD//chbR//yhdY//
MurR_neg	cynR//galM//ascB//
MurR_pos	gfcA//
Nac_neg	xylB//araJ//kbaZ//nirB//frdD//kbp//gfcA//hydN//thrS//
Nac_pos	casA//exuR//fliR//nirB//ydeI//codA//nuoC//agaW//rhaT//nuoE//argP//fixA//
NadR_neg	insD//bioD//mdtA//sgrR//
NagC_neg	flgL//kbaY//fixC//csgC//citE//ydhU//yhcH//fucA//ygbA//rpsO//guaB//gabD//thiQ//yiiS//entH//ynbB//ynfH//nrfA//betB//dps//manY//ttdT//flhE//higB//caiE//lexA//flgL//prpC//mgrR//tdcE//fhuC//omrA//manZ//
NagC_pos	epd//purB//rybA//
NanR_neg	yciX//recC//accB//pepA//gcvP//ccmF//rhaA//ydhW//fpr//marA//
NanR_pos	ompT//
NarL_neg	ydcV//ydhX//ftnA//sufD//ilvY//gutQ//paaA//molR_1//rutF//ugpE//argH//rob//hipB//tktB//rplT//cyoA//mhpF//dgcC//fimB//sodB//yhhY//fruA//artM//pspG//ecpA//pyrD//ybhR//yfaE//ygbA//argO//nanK//flgC//yrbL//alaC//slt//hybC//fliL//mntP//fpr//paaF//fecE//xylG//potF//moeB//putP//hyfH//ppiA//gspF//acrB//guaB//ydfN//csgC//eda//fdnG//znuC//rutB//rpsU//fhuE//marR//rpsO//baeS//ydfW//allD//galR//narJ//hycD//chiP//iscS//pncB//yegH//tfaQ//qseB//idnR//artM//hdeB//fixB//purB//adiC//stpA//fruA//pnp//prs//ybhF//decR//dhaL//nupG//adhE//
NarL_pos	fadD//flgC//metC//ynbB//ftsI//aidB//fadR//cdaR//napB//leuB//eda//dmsC//ycjF//metY//yegH//yeaR//pspB//mdtE//nemA//nikE//ppdA//tnaB//mlc//glpF//bioA//cvpA//mprA//sfsB//trpL//ugpQ//ribA//rarA//glpF//cyoD//emrA//fadR//glnK//csgB//sgbH//yhdY//betT//yoaC//nfo//
NarP_neg	yebG//sodB//wecB//ynfE//hokE//glcF//ynbB//yneM//ygiZ//ugpA//ugpA//dctR//nusA//zwf//yjhB//frdD//ubiC//leuA//cpxQ//fabZ//pnp//hcr//alsA//rprA//gltB//stpA//seqA//asnC//osmY//hycA//ynjI//mnmG//lsrD//
NarP_pos	fucI//asr//alkB//malK//argH//mhpD//ccmG//gpmM//yncE//rpoS//tam//gabP//gloA//glpX//uxuR//yidL//fhuC//yjeV//fucP//malM//cspE//mtlR//envC//gspD//gspM//dpiA//yciX//emrA//phnP//feoA//rtcA//hmp//
NemR_neg	rbsA//kbaZ//metR//
NhaR_pos	dtpA//phoA//cdd//flhE//caiC//nanA//prs//
NikR_neg	yegH//emrB//dctR//cysC//ruvA//erpA//
NimR_neg	feoA//dinD//
NorR_neg	wzxE//
NorR_pos	ymjD//idnT//
NrdR_neg	agaS//ydeN//uspE//zraR//malF//galP//aroH//codB//mdtE//
NsrR_neg	flgJ//agaB//lpxD//tnaA//casB//psiE//gcvB//sra//napA//flgG//napC//nrfD//slt//hipA//ynbB//araH//entF//agaR//rseA//hyfB//omrB//tehB//yciF//ulaG//mltF//ariR//gltF//gcvH//bglJ//metK//betB//leuO//sroC//rcnR//nuoC//gcvH//borD//yoaG//moeA//sutR//ycjX//artM//dhaL//ydfD//ccmA//gspK//fhuD//garD//artJ//glxR//cydC//melB//fabH//argC//gadY//appC//cysE//hycH//flgG//ftsW//fucK//ybjG//infB//dpiA//rutD//gadY//yciG//appY//ygbA//yfdE//hyfC//yhjX//fucU//trxC//marB//hybB//uxuR//flu//rseC//potG//rhaT//insD//glcD//
NtrC_neg	mipA//astE//hcaF//rbsC//rtcB//ycjF//
NtrC_pos	rseC//phoB//rybB//dsrA//hokE//leuB//flgF//norW//hycB//idnD//osmC//dsrA//cusF//skp//flhD//infC//gltI//ampC//pstA//rpoS//yjhB//guaB//wecB//tisB//nikC//flgB//napC//recB//glnG//yagK//fldA//ydiU//mazE//emrB//ribA//mpl//yhbS//atoB//hipA//gspF//focB//cysD//srlR//nusA//fnr//csgB//tehB//ruvA//adiC//
OmpR_neg	nrfE//cadC//hcp//ydfW//sodA//rpiR//decR//yafO//tauC//cdd//yfdV//oxyR//
OmpR_pos	metH//astA//pnuC//nrdB//gcvB//nrfF//prpR//agaA//ybdN//uidB//
OxyR_neg	nemR//mtlA//yrbL//emrA//bglF//bolA//tdcG//oxyR//alsB//soxS//araH//agaW//
OxyR_pos	glnA//atoE//ndh//dps//oxc//ccmH//ydhX//ybdN//nanT//lsrF//prpE//cydD//citD//fruA//phoA//pnp//aspC//narK//purE//gadE//ynbC//borD//
PaaX_neg	puuD//pspA//fecC//rbsR//gpmA//cynR//fliQ//truB//napF//xapA//rimK//guaB//cydA//fucK//
PdeL_pos	trpD//
PdhR_neg	wzzE//trpC//lsrC//gntU//ydfW//rpmI//gcvH//fimB//dsbG//hns//gutQ//nuoN//fimB//gltI//napD//sucA//yafO//wrbA//iscU//mgrB//trpL//ydeP//yhhY//hyi//rffG//ydeM//ptsH//deoD//alkA//rbsR//lrp//flgA//hslJ//nupG//gcvB//dsbG//
PdhR_pos	ompN//pykF//nrfC//mlc//gatD//
PepA_neg	xylG//rybB//acrA//
PgrR_neg	ybjN//ydeP//sodB//pspD//yeaE//cbl//ynfK//pdeL//
PhoB_neg	efeU_1//yhdX//rcsA//hyfI//nimT//tdcC//codA//ascB//ddpA//motA//flhB//higA//
PhoB_pos	hyaD//yiaM//dmsA//cysE//recN//nemR//metA//metB//araF//ybhR//mhpF//iraP//cysA//rpoD//tehA//casE//gor//mngA//ahpC//mntP//pgaA//zraP//fldA//rpsO//rbsA//yqjA//hyfC//lysA//pspB//ygeH//gadY//uvrB//uhpT//yqjH//metL//malM//exuT//ruvB//dmsB//nlpA//efeU_1//efeU_2//uxaB//entF//ribA//phoE//astB//uvrB//lpxD//nemA//rsmH//yciF//murC//
PhoP_neg	csrB//malT//recX//xylB//sulA//hipB//cpxR//fruB//phoP//evgA//flgL//
PhoP_pos	dctA//talA//nrfF//acnB//puuD//gntT//ygbK//puuR//tfaQ//malI//leuD//sfsB//gabP//ydcT//thiQ//citG//dctA//exbB//ydeI//nrfC//rimP//eno//yaiW//sufB//allA//ccmD//ascF//appY//xylG//mngR//gcvA//lysA//ydfD//gutM//phnN//gnd//sucA//malT//rhaD//cheW//pfkA//uidC//borD//emrA//mltF//nemR//phnN//wzc//
PrpR_neg	cusB//
PrpR_pos	waaZ//baeS//prpE//rffT//
PspF_neg	purN//
PspF_pos	mdtF//oppB//rarA//osmB//zraS//dsbA//
PurR_neg	truB//infC//citF//purN//hybF//tonB//bioD//yfdX//higA//ahpC//entE//pspF//exbB//fliG//paaE//yoaC//uidR//amtB//glnQ//dhaM//fabI//rplT//napH//cas2//baeS//yfiB//cysE//hycA//caiB//rffT//betI//
PutA_neg	appC//sufB//
PuuR_neg	yjhC//ruvB//aspA//rplT//dhaK//uof//glyA//
QseB_pos	rpoD//phnE_2//allE//narJ//
RbsR_neg	nadB//accC//leuB//hcaF//acnA//ppdC//fadI//tsgA//
RbsR_pos	rdoA//
RcdA_neg	sgbU//srlE//
RcdA_pos	mhpB//ygbA//dcuA//flhE//napG//purR//uspA//
RclR_pos	lsrB//glgP//dcuS//
RcnR_neg	ybjN//phoB//argP//
RcsAB_neg	argI//ecpA//artP//lysO//caiF//glpK//
RcsAB_pos	fruK//nikC//arsC//napA//dinG//paaG//rutD//ppdA//bioA//agaD//
RcsB-BglJ_pos	entB//gntK//rseB//napD//xylF//manZ//yafQ//metI//rpoE//glpF//rcnA//baeR//gabD//gor//rpoH//metQ//
RcsB_neg	wzyE//cysJ//
RcsB_pos	mdtD//caiB//csgB//efeU_1//cysH//iscS//purK//nuoJ//gltK//nanM//dmsB//flhB//paaK//tdcF//wcaA//fixA//mdtC//rpiR//bioC//torC//glcA//csrB//rsmH//
RelB-RelE_neg	dinD//phoA//acrR//
RelB_neg	frdB//hcaC//cysI//
RhaR_pos	motA//idnK//
RhaS_pos	sdhC//yciE//ynfF//yjbF//hydN//argE//
Rob_neg	nrdI//
Rob_pos	csgF//moaC//cysC//ftnA//cytR//uidR//malZ//atoB//dsdX//gudP//fadH//norW//uxuA//cysM//metA//ygeH//narK//cydD//nemR//rprA//efeU_1//sdhA//argF//fes//leuD//
RstA_neg	idnR//slyB//oxyS//xylG//ptrA//
RstA_pos	hybA//ybhG//hycI//deoD//sra//
RtcR_pos	betB//sulA//
RutR_neg	hcaF//hyfJ//borD//rpoE//dsdC//ahpF//fruA//nanA//prpB//aceA//yjbE//yccT//csgD//yeiL//gyrA//
RutR_pos	lsrF//pgm//
SdiA_neg	iscA//fliR//rbsB//
SdiA_pos	hybO//csgE//gcvT//
SgrR_neg	fucO//glxK//efeU_1//paaF//allD//
SgrR_pos	mnmG//cecR//fes//hisP//
SlyA_pos	yebE//
SoxR_neg	fepA//
SoxR_pos	rseA//yiaJ//
SoxS_neg	purE//prpC//
SoxS_pos	flgI//chiP//napB//fecB//ftnB//pitB//nikC//nikB//atoE//ydbD//hypB//artM//galE//ihfA//nfsB//mntS//yafP//fucU//rhaR//yfdE//phnP//gltI//yafO//mpaA//sufB//hyaE//sdhB//folA//uspD//sgrT//speB//xylH//fbaA//nuoK//intQ//tbpA//wecE//gcvT//
StpA_neg	fliO//carA//fucI//fliS//zraS//cspD//ilvC//
SutR_neg	fliN//glpD//pdeR//fliL//sgrR//
SutR_pos	betA//
TdcA_pos	sfsB//gadW//zwf//hcaD//metY//nohA//caiA//
TdcR_pos	phnN//dinJ//deoA//fliP//codB//ychF//yiiS//
TorR_neg	astC//omrA//feaB//
TorR_pos	qseC//gspE//oppC//bacA//torA//aidB//glpC//fadJ//gltJ//
TreR_neg	phoE//serA//
TrpR_neg	lhgO//mdtE//feoC//rtcA//ddlB//dkgB//glgX//ydeN//fabG//uhpT//rarA//hycG//
TyrR_neg	bdm//flgD//yqhD//asnC//bolA//caiE//pheT//rpsO//uvrY//ascF//
TyrR_pos	ompN//tynA//yjhC//
UhpA_pos	ecpA//
UidR_neg	gntU//deoD//araC//qseB//
UlaR_neg	fadE//ihfA//murI//tdcE//dgkA//inaA//caiB//
UvrY_pos	agaV//mngB//hflD//cpxR//glpC//
UxuR_neg	cytR//leuC//pstC//prpE//purH//murQ//yfdE//malK//napG//
XapR_pos	fabG//qseB//
XylR_neg	dinQ//
XylR_pos	sucB//yjbE//rybA//paaE//gudD//hokE//
YdeO_neg	cheA//tonB//
YdeO_pos	murI//puuD//yafQ//nfsA//nagB//micF//flhA//yoaC//glxR//allB//mdtE//narK//fbaA//yqhD//fucA//fadM//sbcD//ccmH//dgcZ//
YedW_neg	dinQ//puuB//allD//folA//sgrR//
YedW_pos	pspG//fadE//rbsC//murE//exbD//kdpF//iscR//
YefM-YoeB_neg	trpC//ybdZ//
YefM_neg	modB//malQ//
YehT_pos	araJ//
YeiL_pos	lysP//
YiaJ_neg	ycgR//leuA//uvrC//sgrR//kbaY//araG//ulaB//crr//cysE//fhuB//
YjjQ_neg	ybbY//mazF//nagB//caiA//ccmB//nrdI//phnG//gadB//yhdX//tam//
YpdB_pos	adiC//
YqhC_pos	rpoH//napG//
YqjI_neg	flgI//sutR//
ZntR_pos	baeS//
ZraR_pos	flgG//dinF//phnO//
Zur_neg	allC//gspH//fliF//pepD//nfuA//rhaA//
