#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	rbsA//garK//
Fur_neg	psiF//cyoE//nrfC//paaE//astD//cdaR//gspC//csgB//stpA//fecI//dkgB//flhE//malT//sucC//lpd//symE//fucU//uspE//allC//srlR//nrdI//ftsA//fabI//casD//thrS//lldR//glnQ//baeR//lacY//ebgC//rutB//nrfC//sbcD//mhpC//fucU//uxuA//pitB//ddpC//gpmM//uspA//yciF//mazG//norW//sroC//ymgA//ydhV//yoeB//spy//csiD//ygiC//fes//prpE//ugpB//caiD//tfaQ//efeU_1//nfsB//aspA//malP//alaC//mdtB//potG//fliC//xylA//waaY//adiA//molR_1//hcaR//gadX//ydcT//iraP//fixC//ihfA//hslJ//mgtA//prpR//metK//yoeB//glcB//oppB//ppiD//gcvH//znuB//ydhY//bdm//xylB//yegZ//ecpA//metI//flhC//grxD//srlD//oxc//mhpD//hdeD//infB//fecB//guaA//nimT//paaB//ndh//yefM//oxyR//phnP//yqjH//rhaR//qseB//yhbT//ftsQ//dcuB//tauD//puuE//yfiR//ybhG//znuC//
Fur_pos	erpA//ubiX//ppdB//mgtA//yqjI//ynbB//tdcD//araD//ompC//pqiA//yegZ//purR//sfsB//bioC//emrB//phnD//yjbF//ydeM//tcyJ//chbG//gpmA//
GadE-RcsB_pos	gltK//murD//rutE//leuO//malT//sodA//slt//fliG//pstC//
GadE_pos	mgtA//cysE//dkgA//ycdZ//puuE//moaC//ydjM//yhiM//artI//zinT//isrC//metB//ddpC//psd//flgJ//narL//moeB//hcp//deoC//mhpD//ygiZ//fhuB//pstC//nuoF//gltB//phoB//osmB//ydeP//yiaK//
GadW_neg	mntP//ulaA//nupG//cspD//ebgA//yegR//zraR//accD//ftsZ//asnC//dmsB//
GadW_pos	relE//wzb//yjjQ//nuoB//mepH//gcvA//phnC//alsE//rpiR//folA//phoB//
GadX_neg	yiaO//torD//fldA//cusC//rseA//purK//
GadX_pos	glnK//dgcC//narL//gspC//astD//yjeV//wecB//ccmD//sodB//dpiA//acrB//tktB//sucA//glcE//argR//envC//pgaC//ompT//argP//mgtL//frc//ydbD//hcaR//gloA//phnJ//wecC//ydfE//
GalR_neg	ddpF//ruvB//cpxA//puuR//phoU//rbsD//araH//mqsA//ompC//yqjH//
GalR_pos	flgI//hyaA//gspF//hcaB//
GalS_neg	glpD//ybjC//gatC//gudD//fliS//idnT//feoA//yccT//yiaM//gspK//
GalS_pos	glpK//uvrC//nirB//agaW//
GatR_neg	agaB//yccA//ydeM//dmsA//ubiX//csgC//
GcvA_neg	mdtA//mtlD//sdhD//wecB//
GcvA_pos	ynbB//rnlA//obgE//fruA//
GlcC_neg	glgA//
GlcC_pos	yoeB//aldA//paaZ//napH//gudP//nanA//
GlpR_neg	sodA//rutA//emrK//yafQ//purL//hyfF//iscU//mprA//phnN//
GlrR_pos	glpB//nuoG//znuA//yjbF//nikB//
GntR_neg	sroA//arsC//pspG//gntT//paaJ//ulaE//fliH//ebgA//iraP//crp//spy//asnB//
GutM_pos	flgJ//fepD//artM//mgrR//trxC//xylH//aroF//
GutR_neg	uvrA//lysO//ptrA//flhE//narL//aroP//pgaA//
HU_neg	phoE//aspA//trxC//paaK//paaH//rbsD//fepB//wzxE//
HU_pos	exuR//
HcaR_neg	hycF//
HcaR_pos	metF//thrS//gadW//sufC//kdpA//
HdfR_neg	malP//argP//
HdfR_pos	sufS//pspD//ygeA//
HigA_neg	murI//gltJ//
HigB-HigA_neg	lpxC//ydhY//
HipAB_neg	lyxK//rtcB//norV//rhaD//rbsR//
HipB_neg	tbpA//feaB//paaE//fhuD//manX//betA//
HyfR_pos	fur//rpsU//ssuE//fepG//modB//pstA//bglJ//fliN//ccmC//cspD//tyrA//katE//
HypT_neg	frc//hybA//mgtL//phoQ//ompF//
HypT_pos	fau//srlE//tsgA//folA//yagK//nuoC//ydeN//argA//
IclR_neg	fabH//ppc//tsgA//ybhF//
IdnR_neg	yhdZ//glpK//
IdnR_pos	malZ//araC//cusF//glpX//edd//
IlvY_neg	dinF//
IlvY_pos	dsdX//
IscR_neg	rimP//gadY//rpsO//ttdT//ppiA//ogt//zraP//ygbK//flgK//phoA//uvrC//hflD//nrdD//paaG//tnaC//glk//yneM//malX//nrfG//tauB//yccT//
IscR_pos	yeiL//focB//murQ//ynbB//purK//wzyE//cysP//purC//uxuA//exbD//ydfN//
KdgR_neg	sfsB//entB//
KdpE_pos	rbsD//ynjI//gspJ//agaA//
LacI_neg	leuC//fadH//phoE//
LeuO_neg	aroP//moaC//phoB//
LeuO_pos	melR//ulaC//yccJ//flhE//rhaR//dsdX//yccJ//rutF//lacY//leuL//gadF//tdcD//yagK//nikA//rplU//tauB//araJ//csiD//
LexA_neg	nrfA//dinF//cusS//fau//murE//csrB//asnC//aceF//acrD//murC//glxR//yfiR//wecB//nagE//cecR//uxaA//fliP//galP//nrdE//fixX//tdcG//cdaR//thiP//paaK//rutR//nrfA//fumC//allA//znuC//ycgZ//murG//ydhU//ecnB//ibaG//mtlD//lrhA//trxC//uxaB//fliL//yqaE//bglJ//yqjH//oppC//iraP//argB//alkA//sufC//nagA//ccmD//fabB//entF//glyA//dgcC//moaA//ulaD//uxaB//gltK//leuA//ydcV//
LldR_neg	caiA//zwf//fecD//
LldR_pos	dsdA//hyaF//mpaA//
LrhA_neg	glpX//paaF//
LrhA_pos	mhpT//alaC//
LsrR_neg	mdtD//sulA//seqA//mzrA//glgA//nuoI//ubiX//narK//pspB//
LysR_neg	rpmA//
LysR_pos	appC//
MalI_neg	glcC//skp//srlD//
MalT_pos	fhuC//lsrB//tdcB//rsmH//xylF//glpQ//dsbC//rutR//moaB//sucD//
MarA_neg	treC//wza//appB//araB//wzb//patA//allD//
MarA_pos	hipA//leuB//cpxA//ynjI//sufE//yjbH//malG//entS//casB//iraP//fecR//argC//rutA//argR//purN//pgk//narH//uvrC//dacC//fepE//nrdD//tehA//appC//ulaA//pgi//glgA//hycD//fliG//phoH//araF//tdcG//
MarR_neg	icd//gspG//ftsA//
MatA_neg	hybD//pykF//csrB//rutR//puuE//pspG//
MatA_pos	phoE//glcE//
MazE-MazF_neg	puuB//waaY//efeU_2//
MazE_neg	casA//glcD//prpE//
McbR_neg	nrfE//
McbR_pos	yccA//garK//hemH//
MelR_neg	pgpC//wecE//yncE//
MelR_pos	yjjQ//rhaD//mgtA//
MetJ_neg	amtB//argD//ybbY//yjbG//chbA//fhuF//ccmE//ddpD//glgB//manX//mhpE//recA//phoH//thrS//fliH//
MetR_neg	pgi//yhdX//
MetR_pos	cyoD//rbfA//nuoH//oxyR//
MhpR_pos	cecR//rsmH//qseC//dinB//yjiY//nrfG//
Mlc_neg	bluF//kdpC//flgE//kbp//moaD//gntX//lolA//pspE//mdtB//gadF//
MlrA_pos	moeB//hisM//umuC//torR//metA//metC//nuoN//skp//hyfB//lexA//
MngR_neg	napD//aroF//znuA//
MntR_neg	pfkA//sra//nanA//sgbE//
MntR_pos	hycA//
ModE_neg	rhaR//sodB//pheS//pykF//napG//ydhY//yidL//grxA//flgK//phnH//artQ//norV//rimK//fhuC//mprA//
ModE_pos	ruvA//mlc//fdhF//hcaC//ydfH//kbaZ//bioF//cysN//fimE//fabD//polB//pagP//flu//caiC//mioC//nrfD//osmB//cysB//umuC//glnP//ydfD//ahpF//pspF//ycgR//fecB//relB//ppdA//tcyJ//phnG//mhpA//accB//
MprA_neg	efeU_2//paaJ//tdcC//cysN//phnE_2//csrB//
MqsA_neg	nanK//agaB//kbp//potF//glcF//yafO//idnO//puuR//
MraZ_neg	cho//malK//ydfW//nuoB//yhjA//ccmA//hmp//pgaC//alsE//creA//paaJ//nanS//sgbH//csgG//ygdB//yeaD//potI//
MtlR_neg	leuB//hns//dpiB//
MurR_neg	purR//hcaD//yegH//
MurR_pos	cusC//
Nac_neg	napF//fimE//yegZ//mcbA//murG//wzb//ccmC//nuoF//dsdA//
Nac_pos	iscU//metE//cvpA//ttdR//srlA//eno//evgS//fumB//ftsW//mgtA//grxD//mtr//
NadR_neg	osmY//cusF//kbaZ//ynfK//
NagC_neg	idnD//aspC//nanT//ppiD//norR//kbp//ycgZ//purH//glnP//ompF//fabZ//tyrB//betI//rfe//purE//pnp//dapB//entC//yaiA//fadH//mltF//xylG//stpA//astD//kdpB//sodB//nuoG//glnD//flgN//rpoH//cysN//phnL//gudD//
NagC_pos	ruvA//ptsI//lhgO//
NanR_neg	yibQ//tonB//dsrA//codB//carB//creA//frdD//safA//paaB//rtcA//
NanR_pos	pnuC//
NarL_neg	tyrP//ycjY//pheT//ftnB//trxC//gcvH//cynX//rbsR//melB//paaJ//csgF//hisJ//aroP//hypF//hdeA//gatB//tam//fepA//cysW//fruK//fadJ//paaI//metY//slt//ulaC//recB//mtr//nuoI//entA//fepG//psiF//tcyP//putA//nrfE//fadM//rybA//entB//zinT//gspO//yafO//dinI//fnr//nrfF//metK//uxaA//nrdE//dsdX//rffC//narG//ymjC//bioC//casC//garP//sufS//hypC//ftsI//fruA//ibaG//uspE//csgE//fruK//luxS//moaB//citF//fadE//casC//ptsH//ecpR//cysI//srlR//nrfB//gatA//feoA//carB//gadA//mqsA//hyaE//ppc//narK//cpxR//citC//flhA//melB//glxK//phnL//tnaA//focB//
NarL_pos	phnD//ydcS//paaB//ldtC//isrC//yhdY//carA//idnO//cecR//cysM//yeaH//ydcV//fucK//ompT//yqhD//pgaB//gltF//agaA//rplT//agaI//wecE//cusC//icd//murF//tdcD//ynfH//recC//fdnI//safA//tdcC//cueO//speA//cusR//fucR//ccmD//ymgA//ybjC//zraP//rseA//ariR//entD//allD//fumC//
NarP_neg	pnp//malZ//rstB//mngB//prs//xylH//uidB//fecI//hisP//evgA//ymiA//adiC//fliM//creA//gatZ//prpC//yafN//ppc//tpiA//fhuB//ccmH//nrdI//flhB//csgE//modB//ydfD//fecD//pck//uof//rnlA//fabZ//flhA//cheA//
NarP_pos	rprA//creD//ftnB//yiaL//ruvB//oxyR//wzxE//accC//sodB//soxR//murG//dctA//gadY//rpiB//nimR//rtcA//flgM//puuR//ompC//ulaC//rpmI//rarA//hyfF//fixA//moaE//sufE//ssuC//rpmI//zraP//malF//narG//fdhF//
NemR_neg	xylH//narG//ulaE//
NhaR_pos	folA//glnL//zwf//pqiA//hcaB//gadE//dgcZ//
NikR_neg	paaK//yhhY//mtlR//cusB//iscR//nrdE//
NimR_neg	ftsK//mhpC//
NorR_neg	yecT//
NorR_pos	phnL//mdh//
NrdR_neg	xylG//phnL//sucC//leuA//cysE//rpoE//yidL//yhjX//fabD//
NsrR_neg	ydfD//cytR//sodB//ugpC//dacC//gadC//nlpA//hcaR//rcsA//iraM//dpiA//ybiT//gntK//caiE//safA//malI//mgtA//yagK//ldtC//ahpF//rutG//malS//aspC//bacA//moaD//exbB//iscU//fliD//cysJ//gspJ//ptsH//ulaB//glgC//aroP//manY//pgm//narG//ynfH//uvrC//yaiW//yebG//fnr//gspC//nac//ttdR//acnB//argI//flgE//marR//malE//ttdB//sufE//fnr//gatD//iscA//spy//paaA//hemL//nikB//glgA//intQ//uspA//recN//fadD//grxA//nrfE//marA//ebgC//nfsB//hcaE//gspG//hyfF//rffG//cysW//gadC//galE//norW//yaiW//bioF//paaZ//tyrA//rseB//puuA//
NtrC_neg	argR//rpiR//glpC//lrp//flgG//alkA//
NtrC_pos	ynfK//aroM//yebG//creD//hipB//glcF//slt//insD//aroG//nrfA//hyfG//patD//rpsU//fhuC//moaE//arsB//gutM//malP//lacY//sucD//mazG//kdpA//flgF//hypA//bdcA//fruB//mscM//rsmH//lacZ//mhpT//fecD//ddlB//allD//gatB//glpX//tdcC//ddpX//add//dgcZ//fliA//flgH//metY//flgC//hybD//ugpA//gadE//ddpB//iscU//mhpC//
OmpR_neg	dapD//tisB//nagE//glnL//feaR//pdeL//ynfH//purD//gspF//metN//aceK//artJ//
OmpR_pos	mtlA//yjhC//cbl//kdpA//dhaL//galK//metY//uvrD//gatA//lldP//
OxyR_neg	gatY//rutG//puuC//idnO//mtlR//glpD//yidL//melA//gspO//spy//ftsA//gloA//
OxyR_pos	artI//allD//rfe//sulA//znuB//purD//decR//alkA//lamB//mdtB//mgrB//yneM//rpoD//inaA//cas1//flgD//ycgR//csgB//fixC//hisM//dmsA//sulA//
PaaX_neg	nrdH//astA//ulaF//mdtE//recN//rpsU//rpoH//uxuR//ppc//metQ//potH//sroD//gltI//rpoH//
PdeL_pos	pgaD//
PdhR_neg	murE//csgC//hslJ//dhaR//cadB//nmpC//hcp//purN//ndh//hipB//uxaB//csgC//cynR//melB//metH//yciW//sgrT//hyfC//paaB//rstA//uxaC//nfo//oxc//dmsB//norR//cvpA//flhC//ynbD//nemA//fucR//mgrB//infC//lysR//ddpF//acnB//ygdB//
PdhR_pos	mlc//rffT//nagA//cusA//yoaG//
PepA_neg	ydfN//exbB//glxK//
PgrR_neg	ybdZ//napB//casE//cydA//sucB//csgA//narJ//argF//
PhoB_neg	paaZ//malG//tdcA//gatB//yhjC//allB//metE//mraZ//xylA//malF//fucP//mgtL//
PhoB_pos	ydbD//moeA//hisP//alsB//rutD//wzxE//thiP//dsdX//mtlR//polB//moaC//nuoJ//rffH//flgM//sdhB//ulaC//fucU//allE//nhaR//grxA//fliE//mngA//yhjX//phoQ//dnaA//flgD//polA//nrfB//ppdA//cyoC//mhpF//gcl//prpE//ychF//murD//flhE//hdeA//mngA//ydeO//csgB//rtcA//glpC//hypC//modA//manZ//paaE//ccmA//ppsA//yfaE//yeaG//hypE//ogt//galK//
PhoP_neg	relA//gabD//glyA//fliA//yafP//uvrB//glcF//ycjF//xylH//hycF//ybiT//
PhoP_pos	manZ//glpT//gntT//alaS//ulaB//ybbY//sdhB//oppA//paaE//nadB//nanS//tdcD//yhjX//napC//hybE//rffT//pdeH//agaB//ssuB//phnG//gabT//pheM//rutD//mglC//gltB//oxyR//dgcC//cysD//yecR//yjjQ//grxD//kbp//nuoE//bioF//mdtB//glcA//ydfX//nrdA//artI//omrB//ygbA//rutA//fixC//ybhS//ddpA//sbmA//nuoN//glnK//
PrpR_neg	tbpA//
PrpR_pos	yebE//murC//uxuR//hybD//
PspF_neg	ampC//
PspF_pos	caiA//ldtC//wza//dnaN//dapB//yfaE//
PurR_neg	dinF//fabG//ynbD//cysP//lsrK//efeU_1//appX//phnE_2//glmY//ulaC//ulaA//pspA//paaF//trpC//uxaC//trpD//gor//citF//yqjH//fabA//araA//carA//tsr//recB//rtcA//tehA//tomB//glnL//cysP//bacA//ssuB//
PutA_neg	rpmI//appA//
PuuR_neg	fdnH//crr//oppD//artI//ppiD//ruvB//betI//
QseB_pos	deoD//rpsU//mgrB//cynR//
RbsR_neg	folA//hyaE//glgX//ssuD//nagB//sgbH//cydB//uvrD//
RbsR_pos	exbD//
RcdA_neg	purA//mgtA//
RcdA_pos	hcr//fliP//mntS//hyfC//pgpC//rffC//lyxK//
RclR_pos	fabD//zraR//malP//
RcnR_neg	iclR//yhjA//lldP//
RcsAB_neg	fes//mtlD//symE//narH//metK//tnaC//
RcsAB_pos	fruA//rbsD//nfuA//rutB//tsgA//ccmG//cirA//malF//chbB//ydcV//
RcsB-BglJ_pos	btuB//wzyE//wzc//rhaB//pheS//nuoE//rutC//agaS//mepH//fabH//citD//yiaL//glnL//phnM//nuoG//psd//
RcsB_neg	polA//motA//
RcsB_pos	tam//yhbE//rhaA//yhdW//lpxC//borD//gadX//artP//hisQ//tadA//betT//ybjN//gatB//cpxP//mepH//patA//pspF//gadW//fruB//ygiZ//mazF//malP//degP//
RelB-RelE_neg	agaI//gadW//nohA//
RelB_neg	argD//nfo//waaY//
RhaR_pos	rpoE//csiD//
RhaS_pos	nrdI//dcuR//marR//gatY//ompN//phnE_1//
Rob_neg	metR//
Rob_pos	yiaL//dhaL//putP//mgrR//prpD//hyfJ//rutA//umuD//ubiX//murI//dsdX//amn//narH//higB//phnG//nagE//fucR//sufS//chbB//argE//moaA//allC//bioD//paaG//ubiC//
RstA_neg	hypE//mhpT//wzb//metQ//gutM//
RstA_pos	rclB//metC//ugpE//yaiA//sufC//
RtcR_pos	thrS//ogt//
RutR_neg	pspB//hycD//wecE//gor//caiC//amn//argP//hypB//moaA//ftsZ//flgM//mqsA//pgaA//dnaA//hypD//
RutR_pos	treR//frc//
SdiA_neg	hns//dmsA//gatD//
SdiA_pos	kdpC//fadB//ymiA//
SgrR_neg	nemA//gntU//ynfK//nuoJ//xylR//
SgrR_pos	wrbA//hyfC//patD//feaB//
SlyA_pos	nagC//
SoxR_neg	rprA//
SoxR_pos	artM//fliK//
SoxS_neg	ybbY//gspC//
SoxS_pos	pspF//cydB//csrC//dhaK//wzb//ulaB//omrA//fumC//ddpB//tehB//flgB//ynfE//creB//ibaG//fdnH//pspE//uidC//fliG//mqsR//pspG//phnE_1//narX//aroF//gfcA//cysJ//gatA//nirC//ung//nimR//hyfI//allA//leuA//murQ//dinQ//astE//citG//nanA//rimP//
StpA_neg	copA//potI//pitB//crl//yciF//fadI//tdcB//
SutR_neg	pstB//cysH//gor//glnH//mdh//
SutR_pos	pqiB//
TdcA_pos	ydfE//creC//wzxE//tnaB//cytR//fadI//moeA//
TdcR_pos	deoC//rhaA//iscU//yhjX//murP//acnB//yhiD//
TorR_neg	phnC//arsC//cas2//
TorR_pos	marR//mpaA//dinQ//galS//fabD//murR//fabA//tsgA//gspI//
TreR_neg	higA//nuoH//
TrpR_neg	entB//araF//malI//crl//ccmA//csrB//purL//hflD//cusS//hycC//aroP//fhuA//
TyrR_neg	yaiA//molR_1//melA//cysE//iscU//modA//puuC//xylF//gadB//dsdX//
TyrR_pos	ydeP//cysW//nanC//
UhpA_pos	flgK//
UidR_neg	ubiC//aroL//dcuB//pspA//
UlaR_neg	fadD//ttdT//melB//murG//setA//sufD//puuP//
UvrY_pos	tdcC//rffH//tdcB//grcA//isrC//
UxuR_neg	nanK//mdtC//fepA//rbsA//hcp//fliC//hyaF//glnQ//mdtD//
XapR_pos	nemA//ygaC//
XylR_neg	ygeH//
XylR_pos	phnP//hycE//ulaF//ybaS//ogt//oppC//
YdeO_neg	mnmG//tfaQ//
YdeO_pos	hyfB//hcp//entD//bioD//dhaL//entB//glcA//fliL//allA//phoE//ugpQ//rclC//fucK//mhpE//hybB//cdaR//galR//allS//ycgR//
YedW_neg	kbaZ//ddpF//fhlA//ftnB//fixX//
YedW_pos	glyA//ldtB//nanA//glcF//rnpB//yhjC//ykgO//
YefM-YoeB_neg	lrp//bglF//
YefM_neg	sroC//mhpE//
YehT_pos	gdhA//
YeiL_pos	lsrK//
YiaJ_neg	hyfC//acrZ//carB//cytR//nrdG//phnM//ydhY//flgH//agaD//putA//
YjjQ_neg	higB//yciW//hypA//agaI//lsrK//yafQ//nrdE//nuoM//allD//allS//
YpdB_pos	amtB//
YqhC_pos	omrB//fepC//
YqjI_neg	cynS//puuE//
ZntR_pos	flgA//
ZraR_pos	pncB//epd//rutD//
Zur_neg	tktB//gdhA//csgE//mpaA//lpd//glmY//
