#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	oxc//pncB//
CysB_pos	glnG//rpoH//rpmA//accB//nikR//flhD//yqaE//ydfD//rffT//dsdX//hycD//argH//idnO//ccmC//aroG//safA//kbaY//ibaG//metA//nirB//ftnB//hcaD//sroC//ydhX//lldP//
CytR_neg	appX//ftsK//pspG//sgrT//dinF//rpiB//entE//carB//focB//ulaG//glk//flgE//ccmF//
Dan_pos	cysH//lysC//mraZ//phnE_1//
DcuR_pos	malI//hipA//yciW//yecT//fucO//dcuS//nadB//cysG//nupC//
DeoR_neg	yidQ//yeiL//obgE//fliZ//ydhT//higA//
DhaR_neg	ynbB//
DhaR_pos	rarA//hyfA//araA//
DicA_neg	phnO//gntK//ftsA//mpl//glpK//trxC//yneM//ariR//
DinJ-YafQ_neg	leuO//yhhY//mqsA//
DnaA_neg	rpoH//rtcA//zwf//gloA//uof//dmsB//phoH//csgE//pck//cysK//hypF//
DnaA_pos	frdB//allC//recF//deoA//ndh//flgC//nuoI//
DpiA_neg	gcl//
DpiA_pos	napA//ydfW//fliN//rpiB//dsrA//idnT//hokD//mhpB//metI//rbsD//
DsdC_neg	paaZ//
DsdC_pos	setA//cadA//
EbgR_neg	adiC//hcaE//
EnvR_neg	hisM//csgB//
EnvY_pos	fadJ//pgaC//
EvgA_pos	nemR//fecR//fes//acnA//lysA//hemL//lysA//bioB//melA//araB//phnE_1//appB//gapA//fadD//moaB//guaB//mngB//ftnB//cysA//
ExuR_neg	hyfA//gpmM//bdcA//luxS//ccmH//gspF//uspD//fhuC//hydN//
FabR_neg	idnO//fimB//
FadR_neg	rstA//mprA//mazE//tdcE//mhpB//yidQ//ftsW//argB//rpoD//mazF//yoaG//
FadR_pos	yqhD//murI//bolA//rbsD//amn//wzyE//glgX//kbp//flgK//bolA//nfsB//thrS//
FeaR_pos	hcaB//purH//
FhlA_pos	purA//yegR//ycgR//glyA//bhsA//symE//cysE//arsC//sra//lolA//aspA//malI//ycgZ//mntH//fadB//dinI//moeA//putA//uvrB//ssuA//baeS//ydcV//rutF//cho//gnd//potH//ttdT//argD//pflB//dkgA//
FlhDC_neg	nrdF//nanT//metQ//nrdI//
FlhDC_pos	purD//nhaA//oppA//tdcC//gor//murI//rbsC//glpT//lolA//baeR//iraM//infC//ybfE//lsrR//rsmH//galM//cspD//isrC//tdcD//yjhB//atoB//ygiC//melR//paaK//recB//cysA//kbaZ//aceE//phnK//ftsW//frdA//rbsK//dgcN//phoE//gntP//casC//ygeA//hdeB//slt//tcyP//mraZ//rstB//waaY//ahpC//trpR//pagP//creD//cysI//puuE//narG//dps//citE//nemR//rbsA//fes//lexA//paaE//agaR//grxA//nikD//flgI//ccmE//ycjF//ydhT//trpC//ydeM//leuA//hycI//nikE//truB//puuD//rpiB//yqjA//nanC//napG//osmB//uvrC//hyfF//
FliZ_neg	ulaB//napH//rtcA//omrB//skp//malS//prpC//mgrR//dpiA//ecpR//asnA//fbaB//astA//gadE//uxaB//argH//marB//nac//metA//paaB//motB//
FucR_pos	yoaC//gltB//xylB//purR//yeaG//tisB//kbaY//
Fur_neg	lexA//glpK//hisQ//aroM//nmpC//yhbS//dinQ//fliP//murD//fau//hcp//phnG//sucA//yeaE//wzzE//nuoN//yfdE//aspA//tcyP//uvrC//ycgZ//ppdB//rutR//mhpE//nupG//ompC//ppiA//gspC//pyrC//ymjC//murG//argF//truB//gatZ//narX//mntS//atoE//cysC//yqjA//grxD//cusS//aceK//rtcB//dpiA//hyaE//ompC//ydfD//argI//nfuA//ccmF//pfkA//phoP//argG//ydeI//gyrA//alaS//glcE//deoB//rsmH//allC//ogt//tsgA//ugpE//qseC//rffM//obgE//cynS//rffT//hypB//mtlD//bhsA//nrdF//garL//torD//cspE//cynR//rhaD//nadB//rbfA//folA//dsdC//hcaD//phnJ//potI//hybO//hybO//sgbH//wcaA//gspK//gadE//yhdZ//galM//lacY//rpoE//nimR//mdtA//sbmC//astD//lsrD//yhiM//infB//ddpX//feoC//dinQ//yagK//cyoE//sucD//malP//hisM//sgrS//ydcU//alsB//ahpF//rcnA//ygbA//
Fur_pos	nohA//hyfA//fabI//hflD//ydhV//manX//ecnB//murE//cheW//flgL//norR//dpiB//garR//fecB//narI//ascF//glpQ//creD//ycgR//paaD//gfcA//
GadE-RcsB_pos	cpxQ//fepD//gspI//atoE//lacY//gcvP//isrC//soxR//nrfD//
GadE_pos	rplU//gpmA//ogt//norR//glgA//melA//mgtA//glnL//yafO//yqaE//ndh//argE//uvrY//glpX//ynfG//tsgA//galK//envC//moeB//mdtC//flgC//ilvC//malE//accB//motB//gudX//nagA//dmsA//yfiB//
GadW_neg	gadE//yqjI//malZ//ymjC//qseB//cysM//lacZ//gspO//dhaM//fdhF//nadB//
GadW_pos	asnC//lysO//rsmH//entH//prs//fhuC//dnaA//ynbA//moaB//yjiY//napB//
GadX_neg	metB//dkgA//nagE//yebG//ygbK//phnP//
GadX_pos	agaC//caiF//lsrK//paaB//nadB//hcr//artI//nanS//phoQ//cdd//folA//dctR//hipB//glpC//cdd//ulaB//nuoL//csgC//betA//hdeB//paaY//gcvB//ydhX//cytR//ccmD//entF//ybjN//
GalR_neg	cpxP//yebG//phr//cyoC//hslJ//accD//hslJ//srlE//oppD//fadL//
GalR_pos	malF//adhE//tyrR//aceA//
GalS_neg	ydcV//mazF//ppiD//hyfR//fliF//zraP//mntP//yqjA//yjeV//mngR//
GalS_pos	purB//dicC//phoP//edd//
GatR_neg	yhdZ//slp//nrdH//malK//psd//feaR//
GcvA_neg	metF//nagE//oxyR//bdcA//
GcvA_pos	metF//hyaA//oppA//fadR//
GlcC_neg	crp//
GlcC_pos	creC//molR_1//mioC//bdm//molR_1//hypE//
GlpR_neg	nagE//fdnI//glnB//recF//agaA//relA//mglB//infB//ytfE//
GlrR_pos	ubiX//rpmI//nanE//puuE//cusF//
GntR_neg	yiaO//phnF//hcaE//rffT//ygeA//dnaG//casA//dgkA//bioC//yfiB//araB//yafO//
GutM_pos	hypD//cysC//hcaR//gntX//yhdY//fepC//recA//
GutR_neg	dtpA//mpaA//wecC//umpH//hyfC//fabD//ulaA//
HU_neg	ppc//uspE//citC//fliS//fes//flhD//hypF//cspD//
HU_pos	cvpA//
HcaR_neg	ydhY//
HcaR_pos	allE//yqjI//recF//puuR//purL//
HdfR_neg	argE//nrdI//
HdfR_pos	stpA//malI//paaF//
HigA_neg	oppA//wzxE//
HigB-HigA_neg	fldB//paaY//
HipAB_neg	dicC//metK//paaZ//astD//yidQ//
HipB_neg	psd//rnlB//mlrA//csgE//mpl//acrZ//
HyfR_pos	entC//hisJ//glcF//cysC//hypF//yiaN//paaE//ryhB//uof//sufA//pspD//lldP//
HypT_neg	metY//lpxC//phoH//hdeD//betI//
HypT_pos	cra//thiQ//cusC//ulaB//hcaR//ydeM//yhhY//hyfG//
IclR_neg	cydA//nhaA//ykiA//deoA//
IdnR_neg	purC//metQ//
IdnR_pos	trpD//hycD//pncB//rpsU//sbmA//
IlvY_neg	yefM//
IlvY_pos	inaA//
IscR_neg	hycD//ccmE//gnd//rpoD//cusS//ydbD//ynfK//osmB//uspD//acnB//yebG//bioD//fadA//gpmM//ppiD//caiD//fepD//yfaE//ybhS//trpR//ybfN//
IscR_pos	glyA//rsmH//osmC//malI//ssuD//araC//rseC//yfaE//aldA//cusC//sbmA//
KdgR_neg	argI//chbA//
KdpE_pos	nuoM//nirB//rbsD//metQ//
LacI_neg	fucU//slt//yqjI//
LeuO_neg	hisJ//cadA//ydfN//
LeuO_pos	lldR//nupG//ynfG//pspA//hyfB//uidB//tomB//yfdE//hcr//hha//entS//citX//yiaO//eda//argD//citD//ycjG//rpoS//
LexA_neg	flhC//ydhT//paaF//fliT//yhjA//phnK//glxR//argA//gcvP//purM//mglA//allE//truB//yccT//acrZ//ybaT//napA//gpmA//aroM//bglG//emrA//yjbH//ccmB//fnr//casB//gcvH//nirB//ydhY//napD//yqjI//lon//agaV//ariR//malZ//ybbY//cbl//tcyP//hyaD//yfiR//ccmB//zwf//hycE//melA//hycE//nhaA//yafN//gudX//codA//focA//pflB//sucC//cysJ//puuE//kbaY//uidC//nanM//fiu//pnuC//glpA//
LldR_neg	malF//artQ//dpiB//
LldR_pos	ymiA//nuoF//osmY//
LrhA_neg	ulaE//baeS//
LrhA_pos	fliR//nuoM//
LsrR_neg	patD//recC//lldR//fliR//aldA//mzrA//allC//feaB//nadA//
LysR_neg	gspJ//
LysR_pos	gatY//
MalI_neg	nanS//mglA//nuoC//
MalT_pos	ycjF//yjjQ//xylH//accC//gadC//tdcD//exuT//dgcN//purH//ybhL//
MarA_neg	sgbH//hemH//fruA//ulaB//fimB//sgbU//rpmI//
MarA_pos	mnmG//ycjF//norW//ecpR//gutQ//aceB//rpoE//yebG//rbsC//pncB//cysK//edd//mepH//chbG//ynfG//waaH//emrY//yoeB//csgB//astA//hyaD//garK//garL//dnaG//mazG//yecR//argA//ybjC//tauC//waaY//rclA//
MarR_neg	astA//ftsK//exuT//
MatA_neg	rutA//yjhC//dcuR//dhaM//ompF//ccmC//
MatA_pos	wrbA//torA//
MazE-MazF_neg	mglC//hisQ//fhuA//
MazE_neg	ecpR//hyfF//artJ//
McbR_neg	phnE_2//
McbR_pos	hmp//infC//galE//
MelR_neg	srlA//cynR//osmB//
MelR_pos	mhpF//creB//ykiA//
MetJ_neg	ybaT//fecD//yciX//tfaQ//rffG//astC//fliK//glnP//chbR//wcaA//setA//cysJ//chiP//ynfG//iscU//
MetR_neg	ftsQ//tnaC//
MetR_pos	glyA//efeU_2//ccmH//fadD//
MhpR_pos	allC//fumB//fecA//gpmM//xylG//flgF//
Mlc_neg	micF//rhaR//pgaD//ulaD//modB//yjeV//yhjC//aspC//hyi//hycH//
MlrA_pos	fecA//paaB//lpd//pflB//amn//flgJ//gadA//mhpC//hokD//asnC//
MngR_neg	prpE//fliO//astD//
MntR_neg	ecpA//xylG//mngB//rnpB//
MntR_pos	hyfB//
ModE_neg	fliG//cysP//ascB//guaA//amtB//appC//ybhG//ydfE//tauA//ynbB//napC//htpG//marB//bglF//sufB//
ModE_pos	flgL//malE//omrA//ygiA//allA//aroG//fecD//fruK//ddpD//ynfF//iraP//agaB//ndh//ompN//tyrR//fiu//purR//gspG//ybhG//oxyR//ycjY//yfdE//argF//malG//glnD//rseB//pgaD//creC//yjjQ//hyfJ//ddlB//
MprA_neg	stpA//caiF//fecE//modB//ydeN//fdhF//
MqsA_neg	leuL//fepA//napD//yafP//emrY//fliK//uidC//codA//
MraZ_neg	flgD//nirD//gntT//dsdX//sgbH//ptrA//fliZ//ulaF//cydB//cheA//ugpA//ydhX//dinB//kdpC//tauA//csrC//rhaS//
MtlR_neg	tdcD//argB//melR//
MurR_neg	glnL//sufC//nfo//
MurR_pos	waaY//
Nac_neg	rybB//feaR//phnD//cynR//xapB//lolA//ymgC//fadJ//decR//
Nac_pos	rbsD//ddpA//hyfC//yjbH//nanC//glcB//phnM//lacZ//fruK//hybA//ybiT//atoD//
NadR_neg	nrfE//sucC//mipA//fhuC//
NagC_neg	rcnB//iclR//glxR//dcuS//fadR//metJ//ybhG//srlA//cspI//cas2//rob//accC//metK//flgL//metE//evgA//nrfD//kdpF//yrbL//narH//phoA//paaA//ftsL//mhpE//uvrY//prpR//metK//garR//tolC//hybD//rutG//torD//micF//
NagC_pos	phnF//lacZ//grxA//
NanR_neg	bioB//katG//flhE//ynbA//gatY//malE//yqhD//moeA//hypB//rffC//
NanR_pos	rtcB//
NarL_neg	pheT//csgA//narL//dinD//casD//sufC//allS//glpK//hycC//yccA//nrfA//nuoL//evgA//hemH//ydfN//yneM//pncB//puuD//yqjI//tpiA//narL//ybhR//cheA//sbcC//mdtF//ybhF//fdhF//modA//carA//gadE//ybaT//napH//cyaR//setA//sucA//umuC//atoE//mdtF//flgC//sdhA//prpC//qseB//mqsA//gloA//casB//potI//fliC//dmsB//uxaA//pstB//tcyP//mlc//ttdA//hyfD//ydhW//gspD//dinF//rbsA//yhiM//fepG//pstC//gltF//metK//mepH//tauD//wza//hybD//srlE//nrdD//ybhL//gltI//ynfH//glmY//kdpF//ydeI//nemA//paaA//araD//hypB//wza//dsbA//sodB//nanK//yqjA//hyfA//zntA//napD//
NarL_pos	tdcE//accD//efeU_1//arsC//uxaB//codB//ydfD//lsrG//narI//guaA//caiA//ulaC//nimT//ftsK//hyfB//yhbE//fabD//pck//paaX//ogt//ubiC//metF//poxB//ftsW//idnD//rtcB//yccA//sbmC//yiaO//exbB//rseC//gatA//ydfD//sra//phnM//lpd//rclA//alaS//yhjA//tfaQ//rpoS//purR//evgA//
NarP_neg	yfdV//acrA//cyoD//casA//hyfE//mhpB//metB//tyrB//casD//flgF//ybbW//aroM//potF//patD//yefM//phnF//ycjF//mhpE//gspM//asnC//ybfE//ulaC//aspA//dmsB//dhaM//sgbU//mcbA//rhaS//ydfX//glpF//ptsH//pyrC//phr//
NarP_pos	yedX//kdpB//fecA//ytfE//zwf//pstB//fixA//ybdN//yjbE//nuoC//csgG//leuL//malX//fliO//nemA//mscM//gltK//fliA//alkB//gpmA//ynbA//dsbA//leuA//bioD//hflD//caiT//nuoL//torR//skp//fabZ//cas1//nikA//
NemR_neg	fabI//decR//gapA//
NhaR_pos	iscA//garP//leuD//mcbA//hisM//metY//cpxP//
NikR_neg	dsdA//murQ//flgA//fliL//ynjI//argI//
NimR_neg	nlpA//pgaD//
NorR_neg	yciX//
NorR_pos	ydfW//metR//
NrdR_neg	ftnA//rnlA//agaC//wzyE//alkB//feoB//pqiA//glpC//pheT//
NsrR_neg	hcp//gntK//leuB//ilvY//arsB//fadM//tnaA//yhbT//molR_1//ydeN//fliM//moaD//pitB//dapD//insD//ppc//atoD//ybfE//betB//fabG//purE//nrdG//purK//lpd//prpB//cpxQ//argO//ptsH//efeU_2//cas2//csrC//paaB//agaR//sgrS//yiaO//mhpB//araD//putA//modB//yeiB//fliP//dpiA//hypA//ynfK//speB//nrfG//fucR//nrfE//rcsA//argT//moeA//yqjH//yidQ//fpr//lacZ//gatD//atoB//atoE//sucA//pgaA//rffT//fepE//agaR//tisB//nuoH//agaS//purE//yjjZ//sucA//phnG//betI//ymiA//lsrA//phoH//aroH//nanM//nikC//gabD//talA//yciE//tdcC//nagB//ycjG//
NtrC_neg	nuoC//glcE//glmS//acnB//fliT//mraZ//
NtrC_pos	safA//metI//bolA//paaE//napB//rutE//ldtC//hyfH//csgG//gcvA//cytR//pyrD//ccmD//dsdA//ydhY//mglA//entF//gadF//glpF//csgA//yoaG//flgB//ychF//inaA//glyA//cusS//agaS//ymjD//spy//alsC//yhcH//moaD//nanT//gadE//ldtD//ybiT//hslJ//puuP//crl//yegH//ulaD//emrK//ppdB//crp//hemH//allB//asnC//tdcG//pgi//
OmpR_neg	ttdA//cpxP//idnK//narX//cysB//ytfE//ycdZ//guaB//melB//garP//gntT//tauC//
OmpR_pos	nfuA//rffG//cyoB//ppdB//amtB//cysI//sgbE//tauC//ppiD//btuB//
OxyR_neg	chbB//mdtF//ydeM//rdoA//uxuB//ybfE//ycdZ//hyfJ//paaA//bioA//sbcC//araH//
OxyR_pos	idnT//hybF//hyfJ//torD//paaK//asr//alkB//ampC//cspE//ptsH//ycjG//sbmC//uvrY//ugpE//tauD//ydfN//cecR//pgaC//glnK//acrB//ftsI//nanT//
PaaX_neg	hisP//fliH//csgE//rstB//puuE//nimR//nimT//dsbG//rpmA//dnaG//nrfC//hipB//fliL//hcp//
PdeL_pos	lldR//
PdhR_neg	malF//ecnB//puuE//mngB//dhaR//dsbC//dgcN//soxS//htpG//uhpT//ygaC//yfiR//torC//slp//cas2//phnO//ybhF//glnA//pyrC//dnaG//focB//znuA//dapB//sgrR//phnK//dcuD//araB//argG//fes//uidR//gutM//amtB//hybF//cusF//rbsA//ybjC//
PdhR_pos	napF//accA//ybhF//cusF//garK//
PepA_neg	xylB//malE//mazG//
PgrR_neg	yidQ//exbB//nrfD//nuoE//yecR//potG//flgH//uxaA//
PhoB_neg	ynfG//agaW//nagA//gspE//nuoB//ymjD//bioF//fadE//tehB//cas1//nemR//cysN//
PhoB_pos	rffT//gcvP//cecR//malK//malF//dnaA//bdm//fliE//nikB//dgcZ//rybB//ssuE//aceF//uxuB//flgH//fhuC//chbG//glpD//chbA//rhaT//ygiC//hemH//dmsA//murI//srlE//astE//yefM//safA//ydeM//pck//gatD//ydfE//norR//yafO//mgrR//hyfG//hyaE//yfiB//pepD//ccmB//slt//galR//flgH//murE//recN//ygbA//ygbK//lpxA//gspG//araJ//uidB//phoP//oxyS//
PhoP_neg	ycjX//cadA//purR//betI//tdcE//bamE//fliS//infC//murP//mhpC//fabB//
PhoP_pos	glcB//phnP//yhbT//yhjA//casC//ndh//pflB//mgtA//rpoE//acrD//hlyE//ssuB//ygiZ//dhaL//puuP//sufD//wzzE//ybjN//napD//gcvH//ascF//rseA//csgE//hypC//fbaA//dgcN//rffH//astC//pflB//nhaR//ychF//seqA//dhaM//aspC//ybdN//hyfF//agaI//gltL//argF//udp//yccT//recN//hisJ//metH//ygbA//sbcC//chbC//fldB//
PrpR_neg	dhaM//
PrpR_pos	rbsR//fadB//gfcA//gabP//
PspF_neg	ybaT//
PspF_pos	moaD//bluF//mlc//rplU//cas1//murG//
PurR_neg	ppdA//ccmG//ompW//ugpQ//moaA//gcvB//agaS//fdnG//chbC//csgA//oxyR//ybdN//cirA//rplU//dsbG//puuD//nrfA//nadA//gspI//pheM//rpoS//efeU_1//glgB//dicC//carB//mhpA//glgP//cecR//gspK//ompC//ykgM//
PutA_neg	dgkA//paaG//
PuuR_neg	higB//fliJ//entA//polA//glpD//nuoE//yjhC//
QseB_pos	artP//dgcC//sufA//thiQ//
RbsR_neg	ydiU//ebgC//creB//guaA//dcuR//ydhU//cvpA//sucA//
RbsR_pos	hisJ//
RcdA_neg	manY//yegZ//
RcdA_pos	ppdC//hisP//phoR//aceB//moaD//ymgA//thiQ//
RclR_pos	ndh//hybA//yoaG//
RcnR_neg	fdnH//yhbE//crp//
RcsAB_neg	norR//sufS//rimK//ygbK//acnA//sodA//
RcsAB_pos	malT//dsbC//argG//alaC//ydiV//metY//nrdE//flgB//gltJ//dsbG//
RcsB-BglJ_pos	puuD//citF//glgC//znuB//phoR//ahpC//dinG//tdcF//hcaD//flhA//nimR//lysO//malS//fimE//lacZ//ebgA//
RcsB_neg	yhiM//iscR//
RcsB_pos	pdeL//yjhC//pgaD//ddpX//fhuB//malI//ccmH//ftsK//pitB//csrB//hcaE//pdhR//gspD//ccmG//deoC//aceF//ptsI//fucP//puuA//kdpC//malK//narJ//phnH//
RelB-RelE_neg	sgbE//rnlB//deoC//
RelB_neg	lsrA//iclR//ompT//
RhaR_pos	lsrR//aceF//
RhaS_pos	cysK//serA//dinJ//yhdW//glpB//qseC//
Rob_neg	pgaA//
Rob_pos	bioD//mtlD//cynX//rbsB//dapD//focB//poxB//glpD//fpr//ynfH//ebgA//rutA//yhbT//ulaF//glxK//nrdI//flhD//hyfD//hcaB//glxK//hyfF//hmp//gudX//purC//ecpR//
RstA_neg	nrdI//mltF//rutA//speB//nuoJ//
RstA_pos	yjiY//yciE//yhjX//metR//yjjZ//
RtcR_pos	rclC//citE//
RutR_neg	potG//relE//uxuB//xylF//spy//glnP//moeA//creA//rcnB//yciG//phnI//adhE//rimK//malZ//rplU//
RutR_pos	hycH//murF//
SdiA_neg	rpoE//aroG//grcA//
SdiA_pos	pgaB//lsrF//ybhR//
SgrR_neg	fimB//glyA//gadE//hyaA//pspB//
SgrR_pos	ftsQ//acrA//crl//torC//
SlyA_pos	polA//
SoxR_neg	nuoA//
SoxR_pos	hslJ//betA//
SoxS_neg	ytfE//glcC//
SoxS_pos	bioB//yhdX//nrfG//xylA//ycjX//yciW//nagB//astD//malK//allC//iraP//araB//dcuD//fixB//nikR//lyxK//evgA//csgA//gloA//fiu//nemA//flgF//lrp//slyB//casB//lldR//ybjC//argF//pepD//artQ//yeiL//nuoM//puuA//ydiV//higB//icd//hdeD//add//
StpA_neg	wzzE//cusB//pgpC//pspA//idnK//paaG//trpB//
SutR_neg	dtpA//wcaB//fabD//hyfD//hypB//
SutR_pos	dmsA//
TdcA_pos	aspC//rbfA//tdcG//hokE//rpoH//rplU//phnO//
TdcR_pos	luxS//tauA//pgm//stpA//uidB//purM//pgpC//
TorR_neg	ulaG//mtlR//glcC//
TorR_pos	ccmG//hyfE//glxR//dinQ//fepD//argG//uof//marA//rpsU//
TreR_neg	nemR//ugpB//
TrpR_neg	nfuA//frc//ygaC//casE//gadF//pstB//murQ//bamE//sroD//ybfE//guaA//ulaE//
TyrR_neg	nikR//yiaK//cbl//araC//pgpC//caiA//casD//hycA//hcaB//araA//
TyrR_pos	yciF//ydhY//higA//
UhpA_pos	lpxD//
UidR_neg	hcp//caiD//pck//narL//
UlaR_neg	hipB//prs//hycH//nac//atoE//ruvB//rpsO//
UvrY_pos	yneM//casD//patA//lldD//dnaG//
UxuR_neg	citD//hha//fliZ//gatB//napD//kdpA//glgC//hyfH//treR//
XapR_pos	atoB//ugpA//
XylR_neg	galE//
XylR_pos	yiaL//fecI//fabD//citC//rplT//nrdG//
YdeO_neg	znuA//phnI//
YdeO_pos	mazF//pepA//rffH//ydfX//lsrA//gcvA//cysE//puuE//araF//cysH//eda//gutQ//oppA//nirB//obgE//csgC//paaD//dsrA//agaI//
YedW_neg	moaC//ndh//mgrR//slp//mraY//
YedW_pos	poxB//gadC//betA//hns//fixC//tktB//gatA//
YefM-YoeB_neg	ynfH//flgE//
YefM_neg	exuR//hyaA//
YehT_pos	isrC//
YeiL_pos	metA//
YiaJ_neg	baeR//uxuB//trpR//fldB//rclC//lacZ//ccmH//glxR//allE//torC//
YjjQ_neg	poxB//metF//mzrA//fliD//zinT//nanK//cysJ//tauD//leuB//phr//
YpdB_pos	betT//
YqhC_pos	glpK//fadJ//
YqjI_neg	dacC//guaA//
ZntR_pos	purE//
ZraR_pos	infB//ubiX//symE//
Zur_neg	lrp//alkB//carA//malI//mraZ//agaC//
