#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	uxuA//manX//
EbgR_neg	yneM//dhaM//
EnvR_neg	carB//hns//
EnvY_pos	waaH//ulaE//
EvgA_pos	murG//pyrC//fhuD//phnF//zraR//mglA//mdtC//yiiS//ptsG//ybjN//ymjD//aroG//gor//fadB//dinQ//emrY//creA//cysJ//gntP//
ExuR_neg	gspM//recF//rpoE//xylF//sucD//fadL//ubiX//hcaR//uvrY//
FabR_neg	waaH//ybbY//
FadR_neg	mhpE//napA//nuoF//fucA//murP//norW//uxuR//nrdB//recC//ycgR//fliM//
FadR_pos	cusC//yhjX//hslJ//artQ//rutG//mazE//dinF//bglB//srlD//sufE//ddpX//bdcA//
FeaR_pos	dcuR//cusC//
FhlA_pos	xylR//garK//mgrB//kdpF//yafQ//feaR//nanT//hokD//tam//guaA//pqiB//glcC//argF//pspA//purH//ydhX//seqA//cysM//fruA//pncB//uxuR//paaX//sgbH//fliI//yiaO//glpQ//ynfF//ssuE//sdhD//rhaR//
FlhDC_neg	hisQ//tfaQ//mtr//rclC//
FlhDC_pos	ydfH//potG//ydeP//fepC//alaC//nanT//allS//fliP//erpA//kbaZ//ydhW//purE//moaB//yhbT//hcaR//putA//yegZ//chiP//wrbA//idnO//gltL//pyrC//prpE//allS//glcC//pheT//dhaR//gudP//ubiX//pspA//rseC//moaE//pgk//fliG//frdA//ygiC//yhjX//asnA//nikB//ygbA//ugpE//ydfX//dcuB//gltB//qseC//ompW//pdhR//rseC//cheW//hha//flu//dnaN//focA//hycG//ygaC//ybbW//ymgC//ubiC//wecE//gspL//ulaE//guaA//uspA//crp//wzb//ftsQ//bioC//ddpB//aroG//citE//hmp//nrdF//pspF//fucK//artQ//ybaT//yafN//mqsR//
FliZ_neg	tdcE//galM//lsrB//narX//hemL//yhbS//idnR//rybA//tisB//galR//paaJ//fes//arsC//murR//malE//ppdA//lyxK//mntP//ydhX//cydB//xylH//
FucR_pos	mtr//dinJ//rffM//mdtE//yhbT//gcvT//soxR//
Fur_neg	leuL//dnaG//insK//ybhL//talA//recC//fdnG//gudX//ulaF//mhpF//uspE//yhiD//inaA//yjbG//yqjA//tsgA//glpQ//bglF//dcuD//ndh//znuB//fdnI//rhaB//gntX//fliC//phoE//hcaE//nhaA//citX//moeA//flgH//dacC//leuB//dsdX//zraS//acrD//recX//eda//wecB//tdcE//hcaF//leuC//pepD//fabH//yecT//nanC//ymjD//exuT//hyfB//ymiA//csgC//yjbE//hipB//gadB//ydbD//nirB//efeU_2//cpxP//yqjH//mtlD//alsE//baeR//hisP//allE//hisM//yebG//gntP//mhpT//rnpB//narH//cas2//nrfD//mhpF//ynfK//ftsW//ybdZ//ydeO//hycA//flhB//sucB//uidC//oxc//hipB//mqsA//mglB//nanC//ftsA//ibaG//malY//dapB//araD//osmB//yegR//aldA//emrY//moaC//fadM//nrdA//entH//mgtA//puuB//araC//ldtC//glmU//rutD//fixB//mdtA//ydfD//yciE//metB//bglF//polB//ybhL//grxA//cbl//
Fur_pos	nmpC//yjiY//ebgC//pgpC//ybiT//icd//csrC//pheM//lamB//lpxC//fhuD//hyfC//fruK//yfdV//hybO//relB//ynbC//obgE//rpiR//caiC//fepB//
GadE-RcsB_pos	rpiR//gntT//fepC//nuoC//pstA//ykgO//yjbF//ssuA//yfaE//
GadE_pos	gadC//ccmH//fruK//citC//pdhR//cyaR//csrC//yccA//yhjX//mdh//nmpC//wzc//hns//ompF//hyi//gntP//metA//oppF//atoB//gadF//cysU//sra//ynjI//argR//luxS//hcaC//rseB//bamE//phnF//
GadW_neg	fumC//murD//xylB//hemH//fixB//paaY//ryhB//paaZ//dcuS//glcC//ftsW//
GadW_pos	norW//yagK//fabH//pdeH//fepE//ompN//asnB//pstA//gspM//hyfC//yiaN//
GadX_neg	fadA//feaB//dkgB//entD//fecR//nfsA//
GadX_pos	ibaG//malP//garP//idnO//garP//mntS//flgK//lsrR//hyaB//yhjX//fbaB//bglJ//xylG//kbaY//pspD//flgI//accC//hemL//nrdI//prpE//gadA//ygiZ//torD//hyfR//paaY//nanS//hycA//
GalR_neg	bacA//cysG//fbaA//hybD//cysK//tauA//rcnB//ttdB//nuoA//sgrS//
GalR_pos	araE//yjbG//dkgB//ldtD//
GalS_neg	gadX//entH//ybhF//nemA//chbR//nuoE//yccT//fadE//yhdW//icd//
GalS_pos	xylF//cadA//srlB//csgE//
GatR_neg	yccA//hyi//rimP//fecR//cusA//idnO//
GcvA_neg	yeaD//leuB//hyfJ//puuB//
GcvA_pos	yidQ//aceA//sbmA//adhE//
GlcC_neg	ymjC//
GlcC_pos	nanM//phnG//glyA//phnE_1//yjhB//citF//
GlpR_neg	ydeN//pqiB//guaB//hyfI//manY//phoR//dnaA//recX//ykgO//
GlrR_pos	znuC//modB//rpoH//gatB//yidL//
GntR_neg	phnE_1//murG//prpD//cydD//talA//patD//pspB//cpxQ//glnL//phoH//pgm//rnlB//
GutM_pos	nagA//uxaA//phoP//feoB//iscA//hisJ//dkgA//
GutR_neg	mdtE//mtlD//yiaJ//creD//ccmA//yncE//ruvB//
HU_neg	narK//hyaA//ygbK//rhaD//nirD//wecC//uxaB//nagE//
HU_pos	metF//
HcaR_neg	feaR//
HcaR_pos	hipA//ygiB//glxR//flhA//rffG//
HdfR_neg	gatD//focB//
HdfR_pos	phnE_1//moaE//sucD//
HigA_neg	tdcC//gudD//
HigB-HigA_neg	ynbA//rimK//
HipAB_neg	rhaB//ygiA//purK//gdhA//cynR//
HipB_neg	lpxC//hyaD//yidQ//tam//murD//argA//
HyfR_pos	aroG//gpmA//intQ//lyxK//cynS//nikC//mtlR//glpX//zinT//srlA//nrdE//ugpC//
HypT_neg	ftsA//fliZ//btuB//dmsC//carB//
HypT_pos	pstB//astA//uof//nfo//lsrR//flgF//gadF//rhaR//
IclR_neg	aroH//asr//moaC//rbfA//
IdnR_neg	ydfH//wrbA//
IdnR_pos	uxuR//mazF//allS//relB//rutB//
IlvY_neg	ybhS//
IlvY_pos	ftsZ//
IscR_neg	fadD//rseA//gspO//psiF//crr//mgrB//hyaC//sufA//fliP//tcyP//qseB//cytR//recA//pheM//mdtF//caiE//cysK//hybE//pfkA//omrA//gyrA//
IscR_pos	ecnB//cyoE//ssb//malP//fixC//paaG//galS//gfcA//ulaF//dsrA//gspM//
KdgR_neg	puuE//dinB//
KdpE_pos	yiiS//tauC//glnL//tnaA//
LacI_neg	uidC//moaD//gadC//
LeuO_neg	argO//hisJ//glnP//
LeuO_pos	torD//hybE//feaB//rutD//truB//narX//ydiV//nanA//ptrA//fliQ//rutE//ybdZ//hybC//trpR//fruK//ynbD//appY//ybfN//
LexA_neg	pstA//mgtA//torR//caiT//flgA//tnaB//yafP//phnI//nagC//cbl//gntK//gntK//nrfF//mdtC//atoB//aspC//rutB//rprA//iraP//fhuB//alsA//alsC//fumB//hyfR//gspK//yjjQ//hipB//ftsA//xylA//oxyR//lsrF//cueO//gltK//degP//araB//fliL//ybhS//uvrC//lsrD//cadC//nadA//nrdD//ptrA//mioC//narL//araH//ompF//ftsZ//rbsB//srlR//argF//rffC//tnaA//pstA//manY//feoC//hyfH//nagB//fliH//
LldR_neg	nuoM//sgbH//pspB//
LldR_pos	betB//astA//ugpA//
LrhA_neg	malQ//mdtC//
LrhA_pos	nanA//ynbA//
LsrR_neg	codA//hdeB//frdB//hyfI//moaC//oppF//iraM//nadB//trxC//
LysR_neg	rutG//
LysR_pos	ccmE//
MalI_neg	ssuD//allA//prpB//
MalT_pos	dctA//paaE//yhbS//wcaA//hyaA//ahpF//lrp//appC//nuoH//lysR//
MarA_neg	napB//ydeI//glgP//fadH//idnR//ccmG//hypF//
MarA_pos	hcaB//ccmC//nupC//yafN//emrY//ynbA//ccmF//metC//motA//rhaR//rpoS//dmsB//lgoR//malY//yecR//gutQ//nusA//gatC//yfbR//narI//torC//hycE//omrB//spy//sroC//sbmA//yhdY//leuA//fadD//mntS//yhhY//
MarR_neg	gcvP//glcF//flgF//
MatA_neg	waaH//deoC//nrdB//rcnA//fdnH//napD//
MatA_pos	iraM//rnlB//
MazE-MazF_neg	entF//gspD//hmp//
MazE_neg	lyxK//yefM//yhjC//
McbR_neg	dctA//
McbR_pos	entS//sgrT//argT//
MelR_neg	fabG//fhlA//gnd//
MelR_pos	znuA//uxaC//gcvH//
MetJ_neg	alsC//relA//purA//fadM//umuD//ybjN//flgG//glcD//napF//ybbW//nusA//crr//mdtE//yebG//nrdE//
MetR_neg	flhC//ygiC//
MetR_pos	aroF//nagE//mazF//yhbE//
MhpR_pos	putP//mqsA//nrfF//dinD//fliC//torR//
Mlc_neg	ppdC//yibQ//slp//mdtB//araB//argE//hemH//hybF//betT//fliO//
MlrA_pos	fur//sfsB//yafN//uvrD//rpoE//entD//fliJ//nanC//argH//fdhF//
MngR_neg	erpA//sucC//phnE_1//
MntR_neg	lpd//yccJ//aroM//accD//
MntR_pos	codB//
ModE_neg	ybhL//hlyE//glpX//cyoB//umuC//mcbA//puuP//casC//yccA//udp//idnO//araA//paaC//ada//ascF//
ModE_pos	murQ//pdeH//luxS//ssuD//fliC//symE//hmp//alkB//deoB//yoaC//ycdZ//caiF//oxyR//treB//sra//intQ//pncB//galK//ybjC//gutQ//ybhR//mglB//narK//bhsA//murF//glgC//lgoR//ccmB//nusA//ybdZ//cydC//
MprA_neg	fliD//hyfF//fucA//dkgA//pstA//yidQ//
MqsA_neg	rnpB//thiP//kbaY//allB//gor//yhjA//patA//fepA//
MraZ_neg	citF//yhjX//pstB//hycE//rhaR//uvrY//glpK//metB//yhbT//araG//yqjH//accB//zraP//ilvY//moaA//feaR//nrfF//
MtlR_neg	iraP//nikA//nlpA//
MurR_neg	purM//carB//ydeP//
MurR_pos	umpH//
Nac_neg	mepH//glpD//iscU//pdeL//rbsK//kdpF//mraZ//ulaE//entC//
Nac_pos	glgP//betI//gspM//yegH//wzzE//nrdA//fhuA//seqA//yeiB//ybbY//sdhA//hypB//
NadR_neg	fliN//glcA//dpiA//tadA//
NagC_neg	sdhC//tdcF//marB//dmsA//recF//ttdA//argI//lsrA//nagE//fiu//fhuE//pflB//nuoG//fucK//norR//yciF//speB//yafP//ycgZ//ugpB//pspF//cysH//nuoN//relB//glk//frdB//gspJ//deoA//rpmA//hflD//dcuR//bamE//fliP//
NagC_pos	cydB//ribA//dsbC//
NanR_neg	cysH//deoA//hycG//yjjZ//gatY//ydbD//wcaA//ygiA//fadB//cheW//
NanR_pos	umuD//
NarL_neg	nuoC//grxD//ecpR//dapD//tonB//icd//acnA//gspI//hypD//hycD//ompC//rutG//cyoB//ynbC//napA//rpiR//nemR//csgC//yagK//dsdA//fliS//rcnR//alsB//treB//nanK//wcaA//tadA//lhgO//uvrD//aceE//ssuC//gudX//ftnB//waaZ//rtcA//fecC//hycA//frdC//oppD//deoD//garL//nadA//glpT//rob//frdB//ynjI//uvrA//ubiA//acrR//osmY//ftsK//fucU//hyfC//aslB//entS//hyi//ppdB//pyrD//dinJ//moeB//soxS//mglC//yjjZ//ycdZ//purF//mqsR//nirB//yiiS//add//hisJ//sulA//trpB//fldA//flhD//dinI//glnK//nikD//allS//speB//accA//fecD//nuoJ//leuB//lsrA//betA//gatY//puuP//
NarL_pos	slyB//fadR//rpmA//luxS//idnR//flgI//astD//ydcU//thrS//cysN//mdtC//ecpR//manZ//hycA//pstS//zntA//rpoD//ptsH//lrp//cydD//putP//phnP//gatC//ybdZ//atoA//pspF//napF//ptsG//yiaM//argH//hyaE//araF//adiC//murG//mhpF//baeR//pspB//arsC//phnG//kdpF//ttdA//cusC//glnP//
NarP_neg	fliL//ydhT//gltK//gspG//flgH//oppD//cspE//ubiC//chbB//aspC//lysA//yibQ//rybB//add//ycjG//pstA//mngR//csgG//xylH//fliF//flhD//frdD//ecpR//alsB//paaF//mdtE//puuA//tadA//uspA//lysP//ribA//gadE//srlA//
NarP_pos	recB//nrdG//sroC//recB//fdhF//gadY//sufC//sra//adiA//yidL//uxaB//feoC//sulA//nuoM//prpD//rybB//yibQ//sutR//mhpT//sgbH//glnA//sucB//ssb//nuoA//nuoG//recB//baeS//rpiB//znuA//yccA//envC//rbsR//
NemR_neg	agaW//ydcS//fecR//
NhaR_pos	cadA//hcaF//kbaY//nadA//fabD//uxaC//ttdR//
NikR_neg	glpX//zwf//rpmI//fnr//nanM//bioF//
NimR_neg	tdcA//fhuA//
NorR_neg	accA//
NorR_pos	ccmC//rbsA//
NrdR_neg	lldD//murC//trxC//yqjA//cas2//yidL//csrC//ada//dapD//
NsrR_neg	yciX//frc//dnaG//dhaR//yhdZ//ssuE//nmpC//fliR//guaB//srlA//efeU_2//metL//baeR//ykgO//thrS//tdcA//yhiM//glcG//mraZ//csgA//ydbD//yafO//lsrK//ygeA//argI//lysP//gatD//rclA//rarA//wzb//ydfN//aceF//cyoC//mgtL//bhsA//tehA//patD//yccT//ccmD//sgbH//dinJ//yhhY//rffM//paaC//cydB//mhpD//phnL//deoD//bacA//sgbU//yjjZ//ydhW//csgE//lldR//ndh//mglC//rhaR//cytR//rcnA//torR//pspE//torA//nadA//evgA//tsx//pgaD//yfiR//nuoA//ybfN//glpX//xylR//gspF//rhaD//ulaC//ssuE//speA//nanK//garK//setA//nuoK//tdcB//trpL//rnpB//
NtrC_neg	rffM//dps//artQ//iraP//ptsG//ftsZ//
NtrC_pos	astB//araJ//mdtE//garP//lsrD//paaB//bioF//yjhB//mscM//pqiB//garR//agaS//uidR//grxA//astE//rcnR//frc//paaY//ascF//dsbC//ulaD//flgB//mpaA//ycjY//ydbD//mioC//agaR//cspE//glgX//yecR//yiaN//uhpT//fadJ//hlyE//recX//hybB//gltJ//fumC//allE//bglB//yeiL//ssuC//ftsW//nrdH//fadD//yoeB//metQ//phoB//yfdE//
OmpR_neg	nupC//nrfB//dhaR//ymjD//tdcG//uxaB//yciW//metK//recF//dtpA//ydfW//ykiA//
OmpR_pos	mgtL//fhuD//glgC//nemA//nusA//gspK//cyoC//yafO//narG//trpL//
OxyR_neg	argR//mdtE//recB//mltF//yccT//mhpA//uxuA//phnH//caiF//ynbA//tbpA//leuA//
OxyR_pos	phoQ//narG//fadB//entE//leuL//narG//gspC//yfdV//dhaR//dmsB//sbcD//hycA//gltJ//srlA//kbaZ//gatY//fhuE//rpoH//fhuE//hha//fnr//yiaN//
PaaX_neg	napC//hybD//recD//epd//metC//yjjQ//motA//rybA//pck//udp//ccmC//dnaG//melA//rffT//
PdeL_pos	hycF//
PdhR_neg	hypA//pgi//bglF//cspD//gudX//argR//galS//yidQ//fliA//phnJ//pgk//sra//fimE//betB//yeaG//argP//nanA//uvrB//nrfB//yqjH//argT//malE//rutG//sucB//glnP//bioF//symE//frdC//eno//gcvA//moaD//citC//yccA//ssrS//cas1//paaY//
PdhR_pos	fbaA//yidQ//ldtD//ygbK//glcB//
PepA_neg	ugpA//ahpF//ybaT//
PgrR_neg	mraZ//nrdI//puuA//fadM//ygiB//metQ//hipB//dmsB//
PhoB_neg	ydjM//napG//gpmM//ldtB//yebG//caiA//trpA//znuB//malQ//ecpA//emrK//cyoD//
PhoB_pos	rob//rseA//casA//tdcG//fau//fhuB//pagP//narL//agaV//fadM//ulaE//nuoB//chbG//gcvA//hisJ//argF//ftsI//cysG//flu//wcaA//gfcA//glcC//allB//cydA//nfsA//soxR//hyfH//cspI//dsrA//glmS//uspE//flhD//frdC//mioC//sroD//feaB//exbB//argT//casA//folA//fbaA//feoB//artP//glnQ//caiA//katE//nadB//iscU//pheS//yhcH//nanA//uidC//yjbE//
PhoP_neg	mhpA//exbB//rutE//nuoA//narG//copA//phoH//prpC//cydC//araF//uspE//
PhoP_pos	sufD//bioF//metI//grxA//dmsD//dnaA//safA//narX//lldP//yiaM//rhaT//dhaM//gpmM//sdhC//ariR//metH//psiE//hdeB//idnT//lpxC//yjbF//glnD//fliF//talA//creC//ompW//deoD//murG//lpxD//ybfN//cyaR//yqaE//ynfG//malF//icd//yjiY//fliN//rpsU//glpA//putA//fadL//ascF//yhjC//osmB//fliM//xapA//hycC//fucU//
PrpR_neg	xylH//
PrpR_pos	phnE_2//pck//paaE//bhsA//
PspF_neg	gatZ//
PspF_pos	metI//rbsK//sodA//narL//recA//rbsK//
PurR_neg	agaW//accA//fepA//ilvY//napD//rhaS//fhlA//ymjD//codA//ung//glmS//hcaB//ygiB//pfkA//allD//zraR//gltD//dhaR//mzrA//dicB//ydfW//manY//ugpE//dctR//creA//skp//ymjD//sroA//malP//nac//moeB//
PutA_neg	motB//narH//
PuuR_neg	ftnB//flgK//ulaE//wzzE//flhA//ssuD//hyaE//
QseB_pos	hcaR//rbsC//fliM//agaR//
RbsR_neg	cynR//feaR//acrA//pheS//uidC//hyaE//omrA//metB//
RbsR_pos	bglG//
RcdA_neg	paaB//phnE_1//
RcdA_pos	hflD//sucC//caiE//nrdB//guaB//tcyJ//idnO//
RclR_pos	fepG//ftsA//gltD//
RcnR_neg	hns//cusS//narJ//
RcsAB_neg	paaA//yjbH//rimK//pstA//flu//rplU//
RcsAB_pos	rbsC//yibQ//fadD//agaB//rutG//waaY//pheS//fecR//fhuD//cho//
RcsB-BglJ_pos	flhB//ydeO//norV//fucP//pgaD//manY//rhaA//ygiZ//stpA//nagA//hslJ//flgI//citD//argA//guaB//thiP//
RcsB_neg	ftnA//dinG//
RcsB_pos	lamB//hypA//bioA//mtlA//ahpC//glpK//fumC//umuC//trpC//manY//rsmH//hypD//znuC//cysB//baeS//lyxK//fruA//omrA//waaY//hemH//ppdC//rclC//ulaF//
RelB-RelE_neg	uvrC//metY//wzc//
RelB_neg	cynR//murD//ptsI//
RhaR_pos	guaB//safA//
RhaS_pos	malQ//rbfA//rseB//agaC//malF//dcuS//
Rob_neg	prs//
Rob_pos	hypF//inaA//napA//rcnR//glmU//higA//purA//hycA//fliD//allC//ompN//lsrD//fepE//ddpA//dicC//soxR//sgrT//wcaB//ompN//mglA//purB//napA//bglF//mglB//idnO//
RstA_neg	yccJ//copA//gatB//envC//ytfE//
RstA_pos	glgC//yibQ//lsrR//add//murC//
RtcR_pos	wecC//hisQ//
RutR_neg	glgB//allD//dctR//purA//uxaC//ybfN//flgL//hisJ//tsgA//rimK//gabP//ahpF//yeaH//nuoN//napG//
RutR_pos	hcaE//cusA//
SdiA_neg	ymjC//omrB//mqsA//
SdiA_pos	fes//phnJ//rutC//
SgrR_neg	rtcB//ydeM//pqiA//cusB//pstC//
SgrR_pos	dgcN//thiP//ddlB//dcuA//
SlyA_pos	yccJ//
SoxR_neg	fliE//
SoxR_pos	pyrC//pgi//
SoxS_neg	ykgO//cusA//
SoxS_pos	kbp//hcaC//fhuF//ugpB//metB//lon//dsdX//purA//csgB//phnK//phnL//flgB//fdnH//glxR//yhjC//ydfE//yqjA//yhjA//alaC//dinG//arsR//pspA//fadM//fadM//qseC//pgaB//nfo//fadR//glnD//mazE//rseB//mazG//iscR//exuR//mtlA//napG//yjbF//mqsA//
StpA_neg	focB//truB//zraP//metJ//dapB//ccmD//qseB//
SutR_neg	bluF//arsR//ftsI//patA//gor//
SutR_pos	casD//
TdcA_pos	flgC//glmY//fliE//metJ//glmU//nfsB//metK//
TdcR_pos	nrfA//omrA//nirD//glnH//sdhA//flgA//motA//
TorR_neg	trpC//ydeP//uspD//
TorR_pos	ymiA//nlpA//nuoI//wzb//csgB//aceB//aceF//sdhA//ptsH//
TreR_neg	allC//dsbA//
TrpR_neg	tynA//entB//fadM//agaV//dcuR//tyrR//rtcA//fliH//yhdY//sroC//feaR//talA//
TyrR_neg	nrfD//nrdG//agaC//chiP//phoP//nanM//nrdA//ymgA//fliA//argH//
TyrR_pos	fepC//cra//thrS//
UhpA_pos	napF//
UidR_neg	chbB//cysA//paaE//tdcA//
UlaR_neg	manZ//chbF//creB//phnC//ygbA//ybbW//prpD//
UvrY_pos	mdtE//glxR//paaY//ydiV//malZ//
UxuR_neg	hydN//dnaA//leuD//ygiZ//sutR//gadY//ddpA//hflD//gspI//
XapR_pos	amtB//infB//
XylR_neg	ndh//
XylR_pos	ascB//hycH//lacZ//gpmA//frdB//metF//
YdeO_neg	uidC//metA//
YdeO_pos	rffC//flhC//nuoI//fhuD//grxA//hmp//dinQ//alsC//puuE//paaF//mioC//dhaM//cadB//cysJ//nmpC//oxyR//csgC//mazG//yccT//
YedW_neg	appY//rffH//atoB//mepH//lysA//
YedW_pos	bamE//argA//hyaF//cyoB//crr//pdeL//wecE//
YefM-YoeB_neg	yhdX//nanA//
YefM_neg	sdhA//glpT//
YehT_pos	dsrA//
YeiL_pos	pspD//
YiaJ_neg	araB//gatY//slp//paaG//waaY//glpD//fabI//add//hdeD//cvpA//
YjjQ_neg	yhdX//caiA//folE//flgC//ftsL//ydfX//murC//ddpD//pqiA//phnC//
YpdB_pos	mglB//
YqhC_pos	alaS//rpsO//
YqjI_neg	purD//cadB//
ZntR_pos	murE//
ZraR_pos	ahpC//carB//nrfA//
Zur_neg	hyfD//ppiD//ssuA//caiT//cyoC//yiaL//
