#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ycdZ//yccA//
DeoR_neg	tomB//ydfX//atoA//alkB//argT//accD//
DhaR_neg	epd//
DhaR_pos	ynfG//ykiA//galE//
DicA_neg	flu//recF//pqiB//gadC//fecR//nemR//xylF//dgcZ//
DinJ-YafQ_neg	bioC//astC//ykgO//
DnaA_neg	nagB//iscA//cyoE//dhaK//lsrK//fucI//putP//glpT//nagC//epd//sbcC//
DnaA_pos	bioF//fucR//ybhS//pqiB//hybA//rbsB//ecpR//
DpiA_neg	zraR//
DpiA_pos	pstB//uvrY//agaV//tyrR//cysU//baeR//xylA//rybB//fucP//cysA//
DsdC_neg	higA//
DsdC_pos	uhpT//agaI//
EbgR_neg	fixC//ptsI//
EnvR_neg	flu//betB//
EnvY_pos	yiaO//aceK//
EvgA_pos	pykF//tynA//potF//glcB//cdd//chbC//yafO//ybjG//rpsO//rutB//hcaE//zraS//ppiD//cspI//nimR//tyrB//malP//cas2//ybhS//
ExuR_neg	rpmA//nuoB//manZ//hslJ//ycgZ//pspA//ydfX//thrS//prpB//
FabR_neg	cusB//fixX//
FadR_neg	codA//adiC//tcyP//caiA//prpC//gspC//ftsL//hycD//rsmH//argC//malF//
FadR_pos	hipA//flhA//ybiT//trpB//cysW//nlpA//napF//nrdG//folE//ycgZ//aroM//codA//
FeaR_pos	cadA//ulaC//
FhlA_pos	araB//omrA//bioA//glcA//garD//sfsB//allC//relE//ynbD//phnO//ybjG//ytfE//nmpC//srlA//gfcA//glgC//appC//dmsB//ybhS//ttdR//yhbS//paaF//flgL//moaD//glnG//rutB//pspF//ldtC//pepA//betI//
FlhDC_neg	yeiL//gltD//phoU//tnaB//
FlhDC_pos	recA//ptrA//ybbY//trpE//seqA//yeaE//purN//leuL//ydeN//idnO//gutQ//safA//hyfE//ptsI//paaA//acnB//yqhG//argO//yhbS//gltF//kdpF//argI//ybbW//iclR//uof//carB//hyfH//ymgC//marR//ynbA//lexA//sufA//fhuD//infB//gcvA//paaZ//csgE//nirC//flhC//higB//argP//prs//phnK//rutF//ydcU//entH//sucC//aspC//puuE//phnH//gcl//uxaA//fadD//lldP//dcuR//fruK//fur//paaZ//ruvA//seqA//hypE//rclC//ftsQ//fruA//phnD//gdhA//xylR//nrdF//nrfB//idnD//xapB//bglF//phoA//fepA//xylG//yiaK//hcaR//arsC//
FliZ_neg	trpD//ydhV//fucA//ycgZ//cysE//mscM//uvrY//agaV//stpA//ogt//gntP//fecE//decR//ahpF//pstA//yiaM//ccmH//agaD//hyfF//ccmH//yciE//
FucR_pos	yjiY//nupG//narL//ftnA//recD//norR//yhhY//
Fur_neg	speB//citD//sra//nhaA//rplT//hdeD//psd//ftsK//rnlA//malI//qseB//gspG//manZ//torR//epd//gudP//frdD//glnA//waaY//alsB//dgcN//csgA//ymgC//fruK//frdD//phnM//tcyP//dinG//argD//dapD//phnN//ogt//phnK//isrC//rybA//ynfK//guaB//emrB//flgF//yjjQ//dinQ//crp//fadR//wrbA//caiE//cydD//tsr//astC//hybG//dsdX//metK//casE//malK//uxaA//yciW//narK//trpE//amtB//idnR//yibQ//mglC//ahpC//hycH//fepD//glgB//glgP//ahpC//caiA//hyaE//csgA//nrdB//csgE//pstB//dhaK//ygeA//glmU//flgI//marB//yqhD//ada//cysG//hyfB//fbaA//hyaC//phnJ//ymgA//phr//pspF//fruA//nikA//fldB//hycA//glnA//atoD//hipB//pspA//rhaT//arsB//ycjX//yciX//ytfE//hypE//astC//fliD//yecR//sdhB//araJ//lldD//murI//yjjZ//fecR//pgi//hybF//nagE//carB//
Fur_pos	hdeA//speA//yibQ//adiC//mprA//hokD//paaK//hycB//betI//caiE//oxc//osmY//potG//nrdE//entA//xylB//ygeH//nrdF//tyrB//rplT//ygiC//
GadE-RcsB_pos	glxR//rclB//ulaE//arsB//nfsA//gspI//mioC//dinF//gabD//
GadE_pos	sufA//sucC//hycF//ccmG//mtr//malS//argP//yciG//yqhD//aroH//treC//srlD//hyaA//mglA//yaiA//nrfC//phoH//ecnB//ydeO//sulA//idnD//cpxR//tcyP//rsmH//ecpA//evgS//fliD//prpE//purF//
GadW_neg	gcvT//gspJ//nuoN//aroM//uxuB//fadI//galR//grxD//cra//rpmI//norR//
GadW_pos	ppdA//pqiB//aceE//flgE//yhiD//lsrD//guaA//ahpC//ybjC//yqhG//yebE//
GadX_neg	alaC//ada//ccmH//sufC//glcC//yhdX//
GadX_pos	argP//uxuR//pnp//dpiA//fadD//pstB//accB//fadI//fldA//cysW//rclB//sufD//fhlA//glnG//epd//phoP//lacA//casC//appY//rhaR//fadR//grxA//cadC//gltD//ccmC//allS//ydfW//
GalR_neg	eno//malI//metA//paaZ//araC//cysE//exuR//araD//fecA//hybD//
GalR_pos	gspK//lsrD//mtlD//puuE//
GalS_neg	sufC//dmsA//csgB//tynA//fucK//creA//cysW//yqaE//rnlB//argT//
GalS_pos	dcuS//astA//fimE//guaA//
GatR_neg	ynfG//nfsB//ymjC//purE//bolA//flgL//
GcvA_neg	ugpC//uidR//flgH//ascB//
GcvA_pos	umuD//cbl//yhdX//nhaA//
GlcC_neg	phnI//
GlcC_pos	symE//murF//yoeB//chiP//ydbK//pykF//
GlpR_neg	nikC//phoP//nanS//flhD//fbaA//pdeL//nuoC//znuC//fucI//
GlrR_pos	sulA//katE//ilvC//ttdR//leuA//
GntR_neg	purA//entH//setA//ubiX//mgtL//fecD//thrS//prpB//nagB//hypE//ndh//nrdA//
GutM_pos	oxyS//ptsG//phnC//recF//yjjZ//norR//wcaB//
GutR_neg	pstA//csgF//yfdV//uxaB//yqjH//degP//trpL//
HU_neg	hcaD//gadC//tauB//pyrC//insD//focA//tam//ttdR//
HU_pos	polA//
HcaR_neg	ccmF//
HcaR_pos	malI//yhhY//yeaR//phnH//nimR//
HdfR_neg	rcsA//uvrB//
HdfR_pos	bioA//rhaS//hyfH//
HigA_neg	frdA//gpmA//
HigB-HigA_neg	recA//aspA//
HipAB_neg	ydhU//nlpA//cynT//ydeP//ubiX//
HipB_neg	modB//galM//yjbG//yjbH//idnT//mepH//
HyfR_pos	yegR//torR//mhpA//lsrF//qseB//cpxP//ttdR//flgL//yneM//bdcA//gudD//agaB//
HypT_neg	phnG//ydfD//dtpA//tyrB//yciE//
HypT_pos	rimP//kbp//ygiB//flhE//leuC//ydcS//motB//ung//
IclR_neg	zraS//yeaH//degP//lsrB//
IdnR_neg	fruB//thrS//
IdnR_pos	leuB//htpG//citC//galR//lolA//
IlvY_neg	ebgA//
IlvY_pos	narI//
IscR_neg	uvrY//ydhX//nuoL//cysH//ybjG//melB//rpiR//ccmE//waaH//ymjD//fepB//araC//cirA//mdtB//manX//nrdA//grxA//puuD//ygbK//sbcC//rhaB//
IscR_pos	sdhC//safA//wecB//lsrK//nohA//ymjD//tyrP//casA//chbC//bioA//eda//
KdgR_neg	rnlB//atoD//
KdpE_pos	dtpA//rtcB//acrR//hyfE//
LacI_neg	hdeA//agaS//ssrS//
LeuO_neg	patA//ygdB//yebE//
LeuO_pos	flgK//malT//hydN//yegZ//nikA//hybE//lrp//mdtA//aspC//ydiU//dcuR//chiP//rseA//glpA//flgG//yjbH//fdnI//pspF//
LexA_neg	relB//htpG//fruK//tolC//dpiB//seqA//infB//mngR//entB//gatB//tyrR//nupC//fliS//iclR//cysK//tfaQ//gltL//tfaQ//dsbG//fumC//cyoA//glyA//ptrA//dcuD//purB//hisP//glxK//bolA//rarA//iclR//recX//sufS//murR//fucA//psiE//ilvY//tsx//yafO//oppA//yhjX//paaZ//eda//fruK//uxuR//phnH//oxyS//dsbG//yidL//xylB//gatB//metN//kdpB//mngA//argE//nanK//glcF//ribA//ompT//mcbA//
LldR_neg	murI//rseB//rnlA//
LldR_pos	hybD//efeU_1//ccmE//
LrhA_neg	yjbF//bioC//
LrhA_pos	rstB//gltI//
LsrR_neg	yhiM//paaZ//dsbG//hycD//hcaR//tauC//nrdE//add//yfiB//
LysR_neg	metY//
LysR_pos	alkB//
MalI_neg	erpA//glpB//ydfE//
MalT_pos	rbsK//malE//rpoE//sgbH//purM//leuD//astA//exuR//btuB//gutM//
MarA_neg	hypF//emrA//gor//fliP//pheS//gapA//citF//
MarA_pos	emrK//nimR//entE//dinQ//phnP//yiaO//pck//yhhY//yqhD//garK//ydhW//znuC//sutR//rarA//gapA//garL//lysR//waaZ//gadA//gadF//lsrG//puuR//feoC//allD//hyaA//ydhV//metH//ptsI//wzc//mdtA//bglG//
MarR_neg	dcuR//cadB//dpiA//
MatA_neg	fliG//rutC//malI//csgB//glgP//uidR//
MatA_pos	yedX//hypE//
MazE-MazF_neg	allC//hns//ftnA//
MazE_neg	focA//hcp//napA//
McbR_neg	xapA//
McbR_pos	yeaD//garR//purL//
MelR_neg	idnR//mglB//ydfE//
MelR_pos	mraY//pspE//uxuB//
MetJ_neg	mdtE//aslB//yciE//wzc//lldR//fhuD//kbaZ//copA//iscU//ebgC//puuC//rstB//tnaC//yiaL//yebG//
MetR_neg	chbA//flgM//
MetR_pos	glpD//tfaQ//sufD//fumB//
MhpR_pos	hyfR//frdB//rplU//yhdY//dinQ//dps//
Mlc_neg	rseB//rclA//yjjZ//lacY//ddpF//yqjH//ygeA//fadJ//garK//lpxC//
MlrA_pos	argR//adiC//idnK//malP//malY//sucB//uhpT//nac//decR//pdeR//
MngR_neg	yfdX//nanC//luxS//
MntR_neg	atoE//bolA//fliR//nikR//
MntR_pos	dinB//
ModE_neg	bluF//fixA//aroH//ddlB//cadB//dhaM//pnp//talA//lsrD//mhpA//nrfA//tnaC//ycgZ//gabP//moeB//
ModE_pos	isrC//napC//frdC//emrY//cydC//pflB//hflD//hyfE//nupC//galE//ygaC//ybbY//guaB//nikA//fadA//yfiB//pspD//metI//glpX//rclC//ttdB//waaZ//ccmC//osmY//tfaQ//pfkA//araA//osmB//gadB//ybjG//tadA//
MprA_neg	ccmF//mtlA//yoeB//fliE//caiT//tisB//
MqsA_neg	moaA//fabH//bamE//ybbY//flgJ//purM//dsbG//nhaA//
MraZ_neg	ttdA//ftnB//napC//gntT//mltF//baeS//sra//yfiB//nimT//lolA//feoB//flgD//ruvA//hyi//fadI//dicB//gcl//
MtlR_neg	rutE//malT//slp//
MurR_neg	arsR//malQ//oppA//
MurR_pos	sufA//
Nac_neg	leuA//fhuF//asr//mscM//hycG//asnA//cdaR//gfcA//oppF//
Nac_pos	dinB//yoeB//artM//gadX//tdcC//mhpD//ebgC//ydhW//fixB//araH//cydD//manX//
NadR_neg	yqaE//nanC//srlD//aroL//
NagC_neg	accB//nac//moaD//hcaR//ynbA//yoeB//mraY//glnA//yeaE//ftsL//hyaB//hlyE//ykiA//mhpF//hyfF//infC//ccmA//fliA//edd//spy//nrdH//nrdG//csiD//argI//yciE//dhaR//feaR//rpsU//prpR//ftsW//alkB//yqhG//ecpR//
NagC_pos	paaJ//dacC//fadM//
NanR_neg	sbmC//gltD//lsrG//ynbC//hypD//cydC//gatY//cysD//ptsI//hycG//
NanR_pos	zraS//
NarL_neg	ddpF//ydeO//yibQ//hyfH//xylG//argA//agaC//slp//srlR//bglJ//chbC//garP//ydhU//creA//yqjA//rstA//glmU//cynT//cysK//fruK//rimP//aceK//rplU//nadB//mazE//inaA//pstS//pncB//ycgZ//trpC//fepG//phnK//rseC//ampC//betT//dps//putA//marR//dgcN//rob//recA//glcG//ssrS//fliF//dinI//fumB//pgaC//srlB//bioB//hypA//nikC//yidL//rseA//sbcD//fecA//manZ//dsbG//caiE//ompW//csgG//gfcA//norV//phnP//emrY//glcE//ftsI//fdhF//malS//gspI//thiQ//csgD//stpA//chbB//yiaJ//malK//astB//puuC//gatB//aroL//casC//edd//tyrR//ymgC//sdhB//yjjZ//uxaA//nrdF//
NarL_pos	fucU//gudP//purC//srlD//bdm//malZ//ygeA//fadJ//lldP//citD//yafP//alaS//betA//hybB//dinQ//udp//ttdB//oppA//rpiB//nikC//gatC//murG//caiA//relB//garK//cspD//agaA//manY//crr//nirB//cynR//fhuD//ydfD//mazG//uidR//wzyE//malS//wecE//sufS//phoP//ugpC//uvrC//rclB//
NarP_neg	fepB//argE//yciX//narK//lysR//gspG//hypF//rnlA//glgA//dgcN//cyaR//dsdX//gyrA//idnO//fucA//yegR//malS//yhdY//ttdR//tauD//gspD//wcaA//ompW//rutC//feaR//moaA//phnJ//paaK//glgB//hemH//zraS//aceK//murG//
NarP_pos	entF//garD//gltK//ompN//hybD//glpK//asnB//rsmH//ddpF//luxS//yccA//aceF//fixB//rarA//yjbH//cynS//argP//intQ//ybjC//ompF//yfiB//relB//glpA//yhbT//hyaB//cynT//wzb//dctR//serA//gabD//citF//rfe//
NemR_neg	tpiA//cysD//gutM//
NhaR_pos	lpxD//uof//dinJ//grxA//symE//cdd//paaX//
NikR_neg	fimE//wzc//rutE//rpmA//araJ//thiP//
NimR_neg	chbC//cspD//
NorR_neg	phnO//
NorR_pos	phnO//psd//
NrdR_neg	modB//nuoJ//srlE//nrdI//araF//fnr//gadC//ccmC//fliH//
NsrR_neg	lsrB//cysI//pnuC//oppD//xapB//agaB//nuoF//nanK//prs//cynT//katG//pck//hokD//yhbS//phnE_2//fadI//gntU//dsbC//ddlB//dcuD//yhdZ//dcuB//ssuE//nemA//ftnB//mglB//lpd//lsrB//glnK//sufD//iscA//pyrC//metJ//rpsO//znuC//mgtL//argG//flu//yiaL//rtcA//ugpQ//tdcE//mcbA//phnI//ssuB//rutD//ydcU//emrY//gatA//rimP//nohA//malS//murF//appX//sbcD//paaD//casB//citD//aceE//ygbA//sulA//fecC//adiC//mltF//ybbY//allB//dhaM//gspJ//efeU_1//lysR//yrbL//mdh//amn//yqjH//ycgR//yncE//glpC//rbsA//ftsL//cheA//gspO//fhlA//recA//
NtrC_neg	acrD//narH//yhiD//manY//dtpA//ppdA//
NtrC_pos	csgD//ycgZ//rplT//fhuB//hyaB//mraY//cyoE//mhpC//relE//rpoS//argA//higA//yegH//nmpC//stpA//gltK//nuoN//gspM//ybjG//leuL//mltF//mpaA//cysJ//hybD//hslJ//nuoI//fucP//nrfD//hipB//lysC//mazE//iclR//ruvB//norR//metI//ftsI//polB//carB//nrdH//fucU//chbF//evgA//cas2//purE//acrA//cyoB//bhsA//fhuB//oppA//
OmpR_neg	sroC//tyrA//osmC//dhaR//tnaB//gspE//agaR//dpiB//chbB//rplT//sufS//nikB//
OmpR_pos	pgk//leuA//cueO//murQ//nanT//sroA//lpd//rpsO//hipB//efeU_1//
OxyR_neg	hcaF//purM//nirC//mhpA//allS//setA//soxS//atoB//puuB//uidB//gatA//atoD//
OxyR_pos	lexA//frc//metB//nuoE//sucD//ymjD//hyaA//metR//yccJ//artJ//rybA//feaB//fruA//leuD//argF//lpxA//dsdC//ytfE//efeU_2//dgcZ//nemA//flhE//
PaaX_neg	yjbH//ygdB//rbfA//sroA//araJ//phnH//tisB//gudP//rhaB//cho//dcuD//astA//yaiW//rimK//
PdeL_pos	cadB//
PdhR_neg	rpiB//yebG//allS//ydfN//rpiR//sroC//fliZ//sbcD//putP//flgA//lsrD//casB//nuoL//mgtL//narJ//paaF//cusA//speA//entD//metC//gspK//fnr//envC//rtcB//yccA//fimE//ryhB//ttdB//ariR//ftnA//lysC//paaI//higA//bioF//nuoG//dpiA//
PdhR_pos	cpxP//rutR//ydfH//nfsA//malY//
PepA_neg	glnG//modA//purF//
PgrR_neg	pstS//paaY//trpB//ogt//glmY//nrdH//hycF//gapA//
PhoB_neg	dnaG//hcr//nuoB//yoeB//agaR//ytfE//ribA//betB//efeU_2//rfe//mgtA//leuL//
PhoB_pos	fliR//accD//fabG//htpG//glnD//cydA//paaB//fepA//phnO//glnA//malY//hns//yhjC//hybB//dinD//chbG//fepE//fabH//cadA//araB//cysP//caiF//dsbA//hlyE//sbcC//ecnB//rffG//hcaB//tfaQ//rybA//ppdC//ydcV//ogt//gutQ//tam//phoE//gspF//hyaA//leuL//ecpA//arsR//metH//nikC//spy//ydcS//sucC//tolC//mpaA//ycjY//glcD//pagP//fumB//phoR//
PhoP_neg	artQ//nuoA//garR//hyaC//pstA//pgaD//yjbE//nrdI//cysE//csgG//ebgC//
PhoP_pos	sbcC//dmsC//ada//nadB//ulaA//relA//srlR//carA//ydcT//hha//higB//malX//ccmA//cyoB//csgB//malG//asnA//yfdV//mdtB//treR//rtcA//fbaA//aspA//glgC//purM//recD//uvrC//tauD//bglF//argR//phnD//hycA//moaD//fadE//sgbH//wcaA//nrdD//fpr//xylB//ynfF//slt//gntK//ymjC//glcB//umuC//osmC//ftsZ//uhpT//
PrpR_neg	yecT//
PrpR_pos	dinB//citX//yfdV//puuB//
PspF_neg	osmB//
PspF_pos	yqjI//allD//hisJ//seqA//entC//sdhA//
PurR_neg	molR_1//fadB//fes//allB//malS//carA//oppB//tcyP//malS//fucO//appB//sufD//sulA//rseA//casC//puuP//purL//argB//wcaB//lsrB//flgF//paaY//araJ//treR//deoA//mglC//sodB//pck//phnF//ompC//uspD//
PutA_neg	crl//slp//
PuuR_neg	ydhW//marB//nrdI//nupC//argF//gspL//ascB//
QseB_pos	pspF//bdcA//alsA//mhpA//
RbsR_neg	yiaK//waaH//crp//galT//oppA//gudX//galK//tsx//
RbsR_pos	putA//
RcdA_neg	rnlB//rhaT//
RcdA_pos	ibaG//dctR//gspK//ecpR//nrdD//gspH//hycB//
RclR_pos	codA//phnE_1//cra//
RcnR_neg	fhuF//hcp//bglG//
RcsAB_neg	molR_1//asnB//nusA//yqjI//cpxA//dnaG//
RcsAB_pos	hflD//nrfD//rpoD//ydjM//efeU_1//hyaF//ulaF//tyrP//betB//caiD//
RcsB-BglJ_pos	purK//hemL//kdpF//phoB//yqhD//pck//ssuC//paaK//wrbA//hybB//rsmH//lpxC//yhbS//fabH//yegH//glnH//
RcsB_neg	argH//rpiB//
RcsB_pos	srlR//baeR//pitB//purA//glnA//hypA//pstC//folE//ampC//psiF//chbG//grcA//rffC//gloA//hypC//mscM//phnF//moaB//alsC//yhjC//bluF//nanS//carB//
RelB-RelE_neg	nadA//aroH//malE//
RelB_neg	tdcD//rcnA//atoA//
RhaR_pos	fadI//cadA//
RhaS_pos	nrdG//fucO//mlrA//poxB//ydeP//rpiB//
Rob_neg	norV//
Rob_pos	cyoC//gadC//gloA//yibQ//rffG//fliL//nrdG//accD//ddpD//gcvB//rplU//nupG//moeA//flhC//bdcA//gcvP//ttdA//dsbA//hyi//tsgA//uxaA//rclA//napD//iscA//atoD//
RstA_neg	betB//fepC//prpD//srlA//araJ//
RstA_pos	lamB//potG//lysR//mngB//hipA//
RtcR_pos	pncB//ybhL//
RutR_neg	sufE//yhhY//hyaF//glcF//recC//araF//nuoK//acrZ//gltI//hypA//lpxA//entB//sodA//tdcE//rhaA//
RutR_pos	argB//ygiZ//
SdiA_neg	tsr//qseC//oppF//
SdiA_pos	yjjQ//mipA//kbaY//
SgrR_neg	gudD//malT//cydB//tdcC//agaW//
SgrR_pos	rimP//fixB//bamE//ubiA//
SlyA_pos	lyxK//
SoxR_neg	pfkA//
SoxR_pos	rutF//hemL//
SoxS_neg	ddpB//moaD//
SoxS_pos	codB//hybG//feoB//sgrR//fecI//ydcS//tbpA//lyxK//sutR//sodA//xapA//agaI//cyoC//dtpA//gntK//yecT//hyfH//caiB//phoB//uvrB//phoP//zwf//ycjX//rbsR//cynT//emrB//baeR//csgC//citE//puuP//tisB//hcaR//ugpB//adiC//leuD//pgi//sfsB//hydN//
StpA_neg	emrB//agaI//emrY//nuoJ//rprA//gatC//yncE//
SutR_neg	aspA//cueO//malS//ydhY//sufE//
SutR_pos	gspK//
TdcA_pos	higB//wcaA//yeiB//yfiB//fliE//gatD//lldR//
TdcR_pos	fliE//accA//zraS//glnK//fhuA//mngB//ydhY//
TorR_neg	rcnB//rprA//tktB//
TorR_pos	spy//araA//cysA//ttdA//cdaR//treC//ugpE//mgrR//rpiR//
TreR_neg	dgcC//ldtB//
TrpR_neg	tynA//gltB//ycgR//fepE//zraR//dsdA//hyfF//napA//fadR//manX//csgE//trpE//
TyrR_neg	ccmF//cdd//fucO//glcA//nhaA//aldA//aroH//citC//atoD//rbsD//
TyrR_pos	ydfD//malE//caiB//
UhpA_pos	yfdE//
UidR_neg	creD//yhjX//rutG//ycgZ//
UlaR_neg	ugpB//fadM//ugpA//mdtA//mscM//bamE//crp//
UvrY_pos	ynbC//metA//ybbY//galE//moeA//
UxuR_neg	astC//phnE_1//arsC//fecA//uvrC//ydeO//fimB//hycI//ppsA//
XapR_pos	tauD//focB//
XylR_neg	cusF//
XylR_pos	adhE//ssb//pepD//fhuF//mpl//rprA//
YdeO_neg	tam//paaI//
YdeO_pos	exbB//yccT//prs//dhaK//zraP//bioC//gpmM//cyaR//xapB//yafP//mglA//nrdE//ycjY//ugpQ//efeU_1//iraP//cueO//nrdI//malT//
YedW_neg	phnM//yecT//hipA//dnaG//lrp//
YedW_pos	ydfH//ppdC//ugpA//waaH//ecpR//phoQ//torC//
YefM-YoeB_neg	rclA//rstB//
YefM_neg	creB//yeaE//
YehT_pos	hyaF//
YeiL_pos	ybbW//
YiaJ_neg	mntS//gor//galP//caiA//bioA//fpr//fixA//ruvA//phoH//hcr//
YjjQ_neg	rbsA//murP//phnO//fhuB//aroF//yibQ//citE//glmY//rseB//glgA//
YpdB_pos	nikA//
YqhC_pos	hisM//amn//
YqjI_neg	thiP//hypB//
ZntR_pos	dinJ//
ZraR_pos	ompW//ytfE//bioA//
Zur_neg	yqjH//agaC//ribA//sgbH//cspI//gpmM//
