#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	galR//fliN//
Cra_neg	yhdW//tnaB//inaA//napA//dmsD//rcnA//nagA//ftsK//caiF//garL//gltI//acrB//cysJ//melA//ldtD//nrfF//casD//pflB//hipA//malS//mtlR//acrD//gatZ//fau//glgB//aceF//argT//fruB//fecI//cpxA//wecB//ilvC//thiQ//lldD//atoD//ompC//caiF//cspE//ybfN//manZ//cysN//trpB//rseA//torA//galT//hisP//yaiW//cyaR//napB//csiD//ccmE//sulA//yecR//speA//yiaO//nuoJ//cydB//glnD//fhlA//
Cra_pos	ldtD//lon//hdeB//glmU//yegZ//rclA//uxaB//gspD//ybaS//ynfG//hyaA//micF//nimR//nikD//argC//agaV//molR_1//iscR//flhC//ppc//sufA//mntP//ybaS//
CreB_neg	flgF//murF//caiF//
CreB_pos	tauD//nlpA//
CsgD_neg	ftsK//nagB//lpxA//bolA//infB//flhA//fdnH//nimR//feoC//fecA//hyfE//fepG//znuC//ompF//ymjD//
CsgD_pos	dnaG//appA//ddpB//cusF//tauD//ulaD//sbmA//murP//torA//creA//ddlB//hypD//stpA//
CsiR_neg	ftsA//puuA//focB//ybhG//exuR//
CspA_pos	motB//nanK//
CueR_neg	fabZ//csgB//yfiB//purR//wzxE//
CueR_pos	gadF//rffG//
CusR_pos	metJ//rpiB//gutQ//ppdA//ppdB//ryhB//nfuA//amtB//flgH//pfkA//nupC//wzxE//
CynR_neg	glpK//
CynR_pos	yiaM//ssuA//tcyP//
CysB_neg	pspF//mhpE//ubiC//ogt//gspH//glcD//atoD//
CysB_pos	fliJ//prpE//phnK//purN//rbsK//glyA//allB//yiiS//tsx//leuL//garD//fixX//ynfE//fruA//kdpF//rffG//cydD//yhjC//argT//yfaE//ubiA//motB//mazE//nuoL//glcC//
CytR_neg	ssuA//wcaA//araG//iscR//rbsK//kdpA//ugpQ//ftsQ//feaB//arsR//fucR//mdtE//sodA//
Dan_pos	glcB//recA//fadI//katG//
DcuR_pos	ybaS//potH//ulaE//deoB//fliM//chbG//bhsA//gspI//ampC//
DeoR_neg	fadJ//hybE//hybG//sufA//fhuE//soxS//
DhaR_neg	ddpA//
DhaR_pos	alkB//araH//ulaC//
DicA_neg	cadC//sucB//aroP//gatC//paaY//gpmA//yhbT//mpaA//
DinJ-YafQ_neg	allS//glnL//yhcH//
DnaA_neg	flhB//hycA//paaJ//hyaA//bglJ//ymiA//fhuB//hns//gntT//flu//molR_1//
DnaA_pos	cyoC//argI//yafP//rnlA//psiF//dhaK//yiaM//
DpiA_neg	mglC//
DpiA_pos	acrR//yhdZ//casB//omrB//dicB//fabD//uxuA//ydfD//prpR//sgrS//
DsdC_neg	wzxE//
DsdC_pos	flhA//nrfA//
EbgR_neg	yhdX//mglB//
EnvR_neg	yjjZ//atoD//
EnvY_pos	ynfF//oxc//
EvgA_pos	pgaB//mhpD//emrB//ppdA//flgA//cynS//rcnR//fixX//lyxK//xapA//gpmM//lacA//melR//wza//narL//sbcC//fabI//rclA//cdaR//
ExuR_neg	fpr//sroA//cusF//melB//uof//tyrB//ttdT//rpiR//purL//
FabR_neg	fecD//phoU//
FadR_neg	nrfD//dinQ//csgC//hybO//ptrA//nanC//recX//nikD//moaE//ulaE//edd//
FadR_pos	ydiV//cbl//ybhF//phoR//yefM//cytR//yhhY//mepH//sdhD//erpA//rutF//yhdX//
FeaR_pos	sdhC//grxD//
FhlA_pos	yqjA//spy//sufD//pepD//yhbE//uidA//gcvP//ftsI//rffH//nuoA//fliG//ugpB//wcaB//aspA//ssuE//atoA//rutC//sufE//polA//yqhD//ugpC//artJ//sgrS//purD//ruvA//dsdC//dhaK//rstA//hcaD//rstB//
FlhDC_neg	lsrR//ymjC//evgS//dsbC//
FlhDC_pos	rseA//glcD//hycH//metI//fecR//fadD//fadH//nhaR//dhaM//murC//mgtL//crp//aroF//frdD//codA//flgJ//hypD//infC//casA//rfe//aroG//gabT//yjbF//rcnR//higA//dgkA//fixB//tyrP//yiaN//trpA//paaZ//gpmA//sdhA//speA//fabG//rffH//rybB//spy//poxB//ydeP//acrZ//yqjI//argO//fdnG//rhaS//srlR//hslJ//fucA//lsrC//fdhF//dinB//fadH//cydA//astE//mazG//paaK//lsrD//talA//mdtD//uidA//ptrA//glpQ//glxK//yefM//yiaO//hypA//fldB//mntP//ymjD//agaA//aceE//yjjQ//dhaK//ybaT//umuD//ppdA//ydhU//entE//
FliZ_neg	eda//nikA//purD//aspA//pdeR//paaC//ydfN//ccmG//chiP//fruA//chbG//dicB//hcaE//higB//yhdX//paaE//napA//sbcD//malI//ynbA//sulA//
FucR_pos	waaH//pstC//rhaR//paaB//lyxK//rplT//potH//
Fur_neg	fruK//mhpA//crl//hycI//rimP//glgB//gspG//pdeH//nikR//hyfC//ychF//gdhA//glyA//frdB//osmB//ybbY//yjeV//allE//yjiY//torD//yoeB//osmB//yhjA//ppiA//lsrA//casE//betB//hyfD//cydB//fhuC//ybdN//hyfB//umuD//xylR//manY//rutG//hipB//uxuB//gspG//araB//fabZ//argP//ompF//aroM//rnlA//hycD//leuO//dsdX//glxK//ygiB//chbG//prpC//ada//frdC//yiaN//uidA//fumB//ydcT//ynbA//hyfD//asnA//cpxA//ihfA//cspI//insD//fadE//murR//bglG//rffC//dinJ//yiaO//malY//glnQ//emrY//rcnB//glgP//ssuE//prpB//gltB//stpA//mazG//tauA//ppiD//cirA//yrbL//appY//fliZ//rprA//leuO//rob//ftsQ//entB//osmC//hycC//hybF//cysG//fiu//wrbA//sgbU//ybhR//fliA//mtlA//asr//frdB//norW//tyrP//napC//caiE//ynfH//mdtF//fabH//skp//alsE//ascB//gspD//
Fur_pos	glxR//ydfH//hyfR//melB//norR//fadB//tktB//hyaB//metH//ydcS//alaC//frdC//xapA//argB//nuoE//gspK//ugpC//puuB//lpd//yhbT//wza//
GadE-RcsB_pos	paaG//hyaF//yccJ//oppA//lsrD//bacA//gudP//alsC//nanT//
GadE_pos	atoB//yccA//chbB//hyi//lysC//lpxA//gor//potI//hyfB//inaA//ebgC//bdm//nagA//dkgA//ssuA//acnB//mntH//chbF//recN//araH//acrZ//cpxR//cynT//ftsL//yebE//yegH//asnB//dsbA//yegZ//
GadW_neg	leuL//rhaA//gabP//agaC//malY//gltI//hyi//puuD//glmS//fliL//dcuB//
GadW_pos	glnL//flhD//garD//fliI//pgm//fucR//cpxP//nikE//glcC//lolA//gspK//
GadX_neg	rpoH//cysB//yafQ//acrR//gntU//entC//
GadX_pos	glcF//hypB//nikD//asnC//paaF//sucD//purE//psiE//purB//yhcH//motA//nadB//wza//gadE//cspI//xylH//recB//dicB//rutD//obgE//mntS//mraZ//cueO//pgk//ybdZ//trpR//fliJ//
GalR_neg	yeiL//rffM//bioC//pstA//glpC//obgE//codB//atoB//hcp//pstC//
GalR_pos	ftnA//cysB//tsgA//alsA//
GalS_neg	dnaG//patA//hlyE//dnaN//ssuD//wcaA//nimR//yqhG//add//ccmF//
GalS_pos	hypC//cydD//nemA//oxyS//
GatR_neg	uvrA//nac//malM//rplU//speB//sgrR//
GcvA_neg	fliL//rcsA//fhuD//dkgA//
GcvA_pos	rhaR//mpl//sodB//fhlA//
GlcC_neg	fabG//
GlcC_pos	deoD//mpaA//yegZ//yefM//yciF//araD//
GlpR_neg	ptrA//mazG//lsrB//phnM//yneM//yjhB//pnuC//paaF//cydB//
GlrR_pos	relB//rbsK//hybB//melR//ynbB//
GntR_neg	argC//dcuB//wzzE//hyfG//tomB//ulaC//cspE//glcF//metA//yciG//guaA//exbB//
GutM_pos	yiaN//galE//nmpC//degP//nuoK//wzc//nanS//
GutR_neg	prpB//exuR//fabB//hyi//yeaH//appB//arsR//
HU_neg	accD//rffM//rimP//grxD//nuoH//yhhY//pstS//cydD//
HU_pos	modB//
HcaR_neg	htpG//
HcaR_pos	fucU//aroG//cho//yjeV//fabA//
HdfR_neg	rutF//mgtL//
HdfR_pos	fucI//ccmF//ydeI//
HigA_neg	ccmA//frdD//
HigB-HigA_neg	alkB//lysO//
HipAB_neg	feoA//adiC//fbaA//purH//ygbA//
HipB_neg	pgaA//ascB//ydeP//ydhW//treB//ybdN//
HyfR_pos	hyaE//yjbF//hokD//idnD//tpiA//glnA//ftsZ//speB//aspA//agaB//puuD//napD//
HypT_neg	atoD//patD//nrfF//rybA//ygbK//
HypT_pos	rob//rhaD//higA//hybA//nohA//rseC//fucO//paaJ//
IclR_neg	lpxC//ampC//ptsI//dctA//
IdnR_neg	gadY//malI//
IdnR_pos	puuP//rbsC//yafQ//bolA//gltJ//
IlvY_neg	exbD//
IlvY_pos	glgP//
IscR_neg	araB//nanK//nrfA//dsbG//gspI//ygiC//allS//wzc//hybD//malF//bluF//dcuD//uspE//paaH//nrfC//potH//srlA//cynR//fbaA//agaD//fliO//
IscR_pos	fabG//gcvP//gutM//safA//sgrR//dinF//hcaF//hdeD//rutG//fldB//accB//
KdgR_neg	mntS//sgrT//
KdpE_pos	uxuR//lsrA//rybB//sgrT//
LacI_neg	motB//thrS//moaC//
LeuO_neg	rseA//sgbE//putA//
LeuO_pos	rprA//nuoE//mglC//nanT//yfdE//csgG//hycE//paaH//galM//hflD//slp//prpD//mgtA//htpG//ulaF//slt//focA//kdpB//
LexA_neg	nanE//prs//inaA//yafN//ulaC//caiB//ftsI//agaR//hypD//fbaA//rhaS//cydB//ydfE//sgrT//glpF//fadJ//lsrK//yfaE//carA//moaA//prpD//phr//hyfF//nikR//gabT//aspA//ccmH//yhbS//yqjI//mhpA//phnD//yqjA//tnaA//hyaB//potI//setA//nrfG//hyfC//glgX//ompC//uvrD//ulaA//gspK//napA//accB//asnC//qseB//ptsI//fabA//glnD//hcp//ryhB//folA//ariR//wza//narK//rimK//bluF//nagC//
LldR_neg	fadM//mgrB//chbF//
LldR_pos	fhuD//appB//caiC//
LrhA_neg	sulA//hokD//
LrhA_pos	melR//gatB//
LsrR_neg	feaB//glxR//aslB//nanC//cvpA//flgB//atoE//lgoR//gltL//
LysR_neg	yedX//
LysR_pos	gabP//
MalI_neg	pfkA//cysU//artJ//
MalT_pos	ybfE//fhlA//appB//agaR//hokD//hisQ//asr//pspG//cueO//phnI//
MarA_neg	hyfD//rcnR//cas1//ptsG//umuC//aceA//cspI//
MarA_pos	nrfC//fliI//fucA//ybiT//ung//hybC//hypF//glmS//feoC//pykF//lexA//citG//ahpC//ahpC//fucO//yhhY//yiaK//bhsA//dinG//patA//ilvY//lsrD//flhD//sodA//murP//sroC//lacZ//gabP//manX//mdtA//allE//
MarR_neg	pstS//metL//zraS//
MatA_neg	mepH//higA//moaB//xylB//ftsQ//nuoL//
MatA_pos	ampC//fecR//
MazE-MazF_neg	malK//wzyE//ahpC//
MazE_neg	arsC//hycF//fadE//
McbR_neg	argF//
McbR_pos	mdtE//nanT//lysO//
MelR_neg	deoA//atoB//garP//
MelR_pos	ttdB//garL//psiE//
MetJ_neg	gadB//ybhF//purR//accD//gadA//ulaF//gadC//metC//nuoN//malT//argB//fabH//katE//rplT//ykiA//
MetR_neg	ydhV//ldtB//
MetR_pos	fecE//dnaA//moaE//accC//
MhpR_pos	uhpT//gabP//fliL//fucK//fucI//cusF//
Mlc_neg	prpC//hyfF//artP//hyi//emrB//cas2//yibQ//nrdD//casD//gcl//
MlrA_pos	allB//atoE//sdhC//rutF//sgrS//ssuD//oppD//sodA//infB//yafO//
MngR_neg	pfkA//hdeA//prpC//
MntR_neg	hyfR//nupC//hisJ//fadD//
MntR_pos	yfiB//
ModE_neg	acrB//gspG//mdh//moaD//phnJ//purD//folA//manX//atoE//idnO//hycA//gadW//bglJ//setA//treB//
ModE_pos	ynfH//ydfH//yhdX//fliI//pflB//chbC//ugpC//bhsA//tdcD//tdcE//potG//cysU//ybjC//bdcA//astA//cydB//hyfI//glnB//chbG//aroH//fecE//grxA//nimR//yafO//bhsA//nohA//ybdZ//lhgO//trpB//yoeB//ttdR//
MprA_neg	pspD//cysA//yfdE//fixA//emrA//hybD//
MqsA_neg	yaiW//lpd//pgm//fucI//gspL//gor//aroH//ccmF//
MraZ_neg	pncB//nrdH//hypF//agaB//rclB//sucD//uvrB//fucA//dicB//ydfW//csgC//mazF//ftsZ//tfaQ//paaG//narL//sutR//
MtlR_neg	betT//cusA//ydcS//
MurR_neg	fucP//cyoB//pspC//
MurR_pos	katG//
Nac_neg	cytR//ddlB//fabI//tsr//nikA//cvpA//znuA//oppD//glk//
Nac_pos	feoC//sgrR//appX//serA//ascF//ygiZ//serA//sbmA//ecnB//nuoG//yiaM//argT//
NadR_neg	uxuA//puuR//yrbL//acrR//
NagC_neg	uof//waaZ//ampC//glmS//ydeP//marB//artQ//nadB//bglJ//mipA//torC//glgB//uspA//hemL//uxaA//hcaF//katE//prpR//betB//rpoE//gspK//mntP//citG//dinJ//lrp//oxyS//galK//pck//accA//bioA//phoA//gadE//bhsA//
NagC_pos	glpC//uvrB//cirA//
NanR_neg	soxS//appB//pheT//aslB//bolA//csgF//sufE//allE//nuoL//caiF//
NanR_pos	ydhX//
NarL_neg	glcC//cspI//umpH//fldA//bdm//trxC//yciX//phr//metN//araH//yneM//nrdA//paaE//mhpE//dnaN//purC//flgD//flgF//uidC//fliH//cysM//nrdF//sdhD//nemA//yfiB//nrfE//ydbK//tynA//oppD//ynbA//soxS//yciG//atoB//glgA//decR//hns//fadI//galE//napC//efeU_1//serA//csgF//aldA//hypC//uvrY//allE//ompT//ybbW//ydeO//malZ//gcvT//ynfE//fadI//feaR//molR_1//xapA//hypF//evgA//hdeA//agaA//hcr//sfsB//omrB//soxR//nadA//rutA//speB//hypD//tdcE//pdeL//relE//fepB//fabG//gnd//yccJ//fecI//fldB//mdtD//cyoA//fabI//mhpA//fhuE//relB//wzc//tauC//xylH//paaX//
NarL_pos	mioC//tauC//acrA//hcr//yhjX//gpmM//cyoC//dsbC//serA//psiE//nagB//oppC//ydeN//trpL//ssuD//phr//fixA//paaK//nrfD//envC//oxc//agaV//ybhL//hcaF//adiA//mcbA//fabA//ydfH//sgrS//agaW//nhaR//metI//recF//putP//fliR//mgtA//yfiR//agaI//appB//uidA//alkA//xylB//phoA//
NarP_neg	mepH//ppiA//cusA//potF//rutC//yoaG//kdpA//astE//ccmB//amn//cysN//yhcH//gor//yqjI//fadI//nuoM//uvrY//nrdI//rnpB//prpD//gloA//argO//citX//arsB//motB//yjiY//moaB//cyoB//betB//fliT//slt//artQ//frdA//
NarP_pos	moeA//leuO//pqiA//glpC//garD//phnP//yidQ//sdhD//ftsA//udp//ugpB//dinI//glcG//hcaF//fliJ//nimT//dgcN//agaS//nanM//tpiA//lsrR//recF//focB//phnE_2//bolA//acrB//murQ//nfo//nrdB//nrdH//gor//phoH//
NemR_neg	ynfK//talA//yafN//
NhaR_pos	cvpA//paaE//sroC//emrY//argG//fucA//alaS//
NikR_neg	appB//kdpB//alkB//pspD//mhpC//tdcG//
NimR_neg	moaC//sra//
NorR_neg	yaiA//
NorR_pos	hemL//nikE//
NrdR_neg	agaB//glpF//omrB//sbcD//nmpC//folE//yidQ//argF//yccT//
NsrR_neg	rutD//fes//thiQ//slp//fadJ//pncB//flhB//rpoE//prpD//hipB//entF//malF//mdh//ygiC//ygaC//seqA//betA//mngA//tnaB//mzrA//ycdZ//cadC//ynbC//nac//puuB//pspE//arsR//recB//glpA//rbsD//srlE//rnlA//aceB//torD//rutE//dgcN//pspG//ulaC//yiaN//gudX//ampC//paaB//recB//umuC//flhE//gatY//rpsO//tdcB//lolA//mazG//bioF//araC//soxS//phoU//nrdH//dsdC//ugpC//fadJ//flhD//nuoN//allS//ttdT//aceA//ynfE//mqsA//hyfG//mdtF//fucA//bolA//fixB//mlrA//creA//recB//casB//tnaC//phnH//caiD//paaH//waaZ//ybiT//icd//appY//grxD//
NtrC_neg	melA//nuoJ//dcuR//glnH//phnO//sdhC//
NtrC_pos	flgJ//gspM//ybjG//fliL//focA//ptrA//yhiM//cusR//lysO//amtB//dcuR//aidB//ebgC//nagA//spy//metE//pgaC//dkgA//aroL//fadJ//allB//fliI//speB//flgD//speB//znuC//fabG//glnD//gadX//rclA//fecA//nuoN//fadL//argT//grxD//nanC//xylA//fepD//narG//ppdC//ydbD//asnC//gltL//bioF//dsbG//oppF//emrK//malZ//cysM//
OmpR_neg	skp//yibQ//trpB//ibaG//baeS//ssrS//ebgA//pstB//polB//nagE//cysC//tomB//
OmpR_pos	dctA//ydeM//dcuS//entA//purL//kdpF//iraM//glnP//hycG//metH//
OxyR_neg	pyrC//fadJ//mdtF//wzzE//lacY//ymgA//casB//thrS//wzzE//mazG//ccmE//puuC//
OxyR_pos	yqhD//gltK//ulaA//fepC//yoeB//hypA//malQ//fucI//aroH//aceK//yebE//csgA//ybfN//rclA//fur//lsrF//ybjC//arsB//glxK//moaA//zraS//gspI//
PaaX_neg	tauA//katG//uxuB//uvrY//aroF//arsC//dsdC//dinJ//copA//phoU//tyrB//hdeA//fadI//mazG//
PdeL_pos	agaV//
PdhR_neg	betI//ydhX//lrhA//yjjZ//mglB//dpiA//fliS//garD//dsdX//gatY//fdnI//cysM//hypA//metK//mgrB//dkgA//ybfN//yiaM//csrC//ynfE//cysH//pspG//kdpA//sufB//uvrC//gatY//mngR//ddpA//caiA//tehB//dinJ//lsrG//moeA//gspH//amn//fixB//
PdhR_pos	uidR//pgaC//recN//cho//phnM//
PepA_neg	chbB//hokD//pheM//
PgrR_neg	yciF//argT//fecC//rybA//gadW//znuA//speA//rseB//
PhoB_neg	acrR//sbmA//hyfD//cyoC//glpB//yeaR//frc//nuoH//bglG//codA//phnP//cspD//
PhoB_pos	rpsU//icd//dkgB//melA//purN//flgI//phoA//glcG//ubiC//ydeP//gcvH//yoaC//hflD//hyfG//degP//gspH//waaH//fucU//glpB//ynbA//allB//purB//sra//nrfG//atoB//tyrB//torD//fepE//motB//artQ//malF//mraY//hycD//gcl//bglB//ybjN//cyoC//cvpA//hyfF//dnaA//psd//ybjN//yiaL//gltD//rbsC//phoB//mdtB//phnD//accC//cusB//yeaE//ung//ybjN//
PhoP_neg	betI//kbaY//symE//agaR//phnI//phnM//yiaK//tehB//glmS//recB//nlpA//
PhoP_pos	qseC//focB//wza//fhuF//chbG//ybjC//ydeP//agaC//leuC//glpX//fucP//agaI//mhpD//fecD//yqaE//mazF//setA//cysC//yciW//aroP//intQ//yfdE//chbF//hypF//add//frdB//znuB//ssuA//fhuE//rcsA//flgI//hycD//fur//narK//ynjI//flgG//ttdR//sufS//atoA//zntA//artI//pstB//mipA//yjhB//astE//gabP//ulaD//rpsO//
PrpR_neg	recN//
PrpR_pos	dsrA//flgE//cusR//gcvA//
PspF_neg	nuoG//
PspF_pos	thiQ//bglJ//cusS//ydhV//rpoE//gabD//
PurR_neg	fhuD//mdtE//yciF//pspG//dsrA//lexA//ssuE//yiaM//dcuA//cynT//sufA//argG//sgbE//phnN//iscA//ygbK//dicC//gadF//melR//dgcZ//glpT//fixX//purK//malM//mqsA//rutA//feaB//rcnR//hypA//polA//caiT//
PutA_neg	mazG//alsE//
PuuR_neg	xylR//mdtD//manZ//norV//ygeA//cueO//prpE//
QseB_pos	mhpE//fadR//leuC//fadB//
RbsR_neg	yeaH//hyfR//nuoK//mpl//alaC//hybG//casD//glxK//
RbsR_pos	uidB//
RcdA_neg	argI//ybjC//
RcdA_pos	norV//fliE//rstB//hcaB//manZ//hyfD//chbF//
RclR_pos	cysW//ccmA//mazE//
RcnR_neg	rplU//hycI//talA//
RcsAB_neg	mgrR//rtcB//focB//xylB//ssuA//fucO//
RcsAB_pos	asnA//narJ//fliQ//iclR//rcnR//mhpT//xapB//murI//glnQ//cysM//
RcsB-BglJ_pos	leuO//ychF//dinJ//betA//hyfJ//sgbE//omrA//dcuR//obgE//pspG//ppsA//ugpQ//lhgO//gudX//exbD//yfbR//
RcsB_neg	fbaA//glxK//
RcsB_pos	paaK//kbaZ//ymgA//argA//micF//pstA//murC//rffC//pfkA//mglA//araF//arsC//agaC//rpmA//yeiL//leuC//glxK//ybfE//yibQ//ptsH//mzrA//rhaR//hns//
RelB-RelE_neg	creD//adiC//ybaT//
RelB_neg	omrA//yciW//agaA//
RhaR_pos	acnB//tnaA//
RhaS_pos	rffC//fadD//dctA//sbmA//mdtB//yjbG//
Rob_neg	slt//
Rob_pos	ygiB//hipB//fliK//tdcA//osmY//mgrR//envC//gspK//mhpC//glcD//fdnG//paaK//gadW//lysO//rnlB//pepA//cadC//phnI//metN//dhaL//motB//psiF//rpsO//ydhT//serA//
RstA_neg	modB//hcp//katE//marA//hycA//
RstA_pos	cusA//mazG//truB//pck//tdcF//
RtcR_pos	dapB//zinT//
RutR_neg	hcaB//tauA//puuA//fldB//torA//fadE//dkgA//yccA//malK//fliL//hycA//fepA//hisJ//pepA//csrC//
RutR_pos	argA//paaI//
SdiA_neg	ygiA//yhjA//epd//
SdiA_pos	araJ//dtpA//dctR//
SgrR_neg	fliA//hyaD//malM//cusF//pfkA//
SgrR_pos	icd//cytR//creC//talA//
SlyA_pos	betI//
SoxR_neg	ychF//
SoxR_pos	rpiB//ccmF//
SoxS_neg	caiC//wecC//
SoxS_pos	mpl//ydfX//hycC//ybaS//hycF//mpaA//yfiR//chiP//fliK//ddpD//chbG//araA//tdcC//murC//fadM//araA//fecD//xapB//dicC//fecD//glnP//dkgB//caiC//cyoA//ftsK//patD//fadR//dpiA//araE//caiB//nuoC//mpaA//yegR//nupG//nuoF//tpiA//bacA//hokE//
StpA_neg	gyrA//ulaF//trpA//rnlA//artJ//araD//appX//
SutR_neg	mhpC//gatD//hypA//sgrS//chbB//
SutR_pos	cysC//
TdcA_pos	pnp//sdhA//mdtB//gspC//dkgB//modA//ddlB//
TdcR_pos	acrZ//puuD//flgE//yiiS//paaK//nuoB//yeaE//
TorR_neg	sra//purF//fliT//
TorR_pos	rybB//fadD//patA//fdnG//ptsI//ycjG//feaB//puuE//glnA//
TreR_neg	ydcU//mngB//
TrpR_neg	yebE//tyrP//dsdX//sbmC//rnlB//mdtF//gcl//hypC//fucR//pgaD//relB//astC//
TyrR_neg	ybjN//flgK//ppiA//aidB//norV//yciW//fhuA//yqjH//rhaA//garP//
TyrR_pos	gfcA//mraZ//rutF//
UhpA_pos	dsdA//
UidR_neg	idnD//narL//rpsO//metJ//
UlaR_neg	rsmH//cydA//paaG//yfdE//lpxA//rhaT//accA//
UvrY_pos	hns//dicC//cspE//cusS//flhE//
UxuR_neg	ulaG//speA//cas1//mnmG//ybhS//lrp//argA//gspI//uxuR//
XapR_pos	dnaN//cdd//
XylR_neg	ymgA//
XylR_pos	gltI//oppF//lldR//gfcA//uxaA//cpxR//
YdeO_neg	glmY//cydB//
YdeO_pos	ugpE//fadA//phnG//dhaR//wzxE//gltD//lpxD//ebgC//alkA//hyfG//baeS//hyfE//rimK//iscA//hcaD//nlpA//soxS//aceF//murQ//
YedW_neg	galS//gabP//csgB//fliK//uidB//
YedW_pos	ecpA//thiP//exuR//pheM//phoU//yibQ//nfsA//
YefM-YoeB_neg	tadA//efeU_1//
YefM_neg	dmsA//hybA//
YehT_pos	yhbS//
YeiL_pos	ndh//
YiaJ_neg	gltB//psd//cyoD//hyfJ//ycjX//fdnH//hyfR//norV//purH//yccT//
YjjQ_neg	metQ//emrK//rpoD//sdhD//bioB//csrB//nuoC//metL//zntA//tnaA//
YpdB_pos	nanK//
YqhC_pos	prpD//patD//
YqjI_neg	metN//nanE//
ZntR_pos	gatA//
ZraR_pos	nirC//fabZ//garK//
Zur_neg	kdpB//flgI//sodB//ppdB//pstA//mazE//
