#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nikD//nagC//
MetJ_neg	rpsO//folA//nrfB//nac//yfiR//marB//nrfF//yccJ//talA//ftsK//glpF//chbC//symE//rbsD//bdm//
MetR_neg	pdeH//hycE//
MetR_pos	paaH//hyaA//hyaB//rnlB//
MhpR_pos	hycF//astA//metA//malK//yneM//lpd//
Mlc_neg	ygdB//cadB//yqjI//cyaR//cbl//xylA//aroG//sgrS//dmsA//narK//
MlrA_pos	metN//ugpQ//ybbW//chbA//hyfJ//dpiB//lldD//nimT//ccmE//gntT//
MngR_neg	xylH//glnP//iclR//
MntR_neg	malI//ftsI//glgA//yeaE//
MntR_pos	uvrY//
ModE_neg	flgB//gntP//wecB//dctR//agaB//relA//garP//truB//malE//yciF//kdpC//ruvB//torC//galR//fliR//
ModE_pos	gspK//mhpC//galE//glcC//hyfH//lexA//hyfB//sucA//lolA//rseC//galK//allB//ydhW//gatZ//erpA//phnE_1//uxuR//cysH//ptrA//uvrY//metC//ssrS//fimB//rcnA//lamB//purA//yccA//dcuS//emrY//feoA//betA//
MprA_neg	guaA//tyrA//casD//gltL//cspD//flgL//
MqsA_neg	puuE//caiB//alsC//amn//nikD//yhjA//adiA//rcsA//
MraZ_neg	adiA//napC//gspH//malS//phoH//narG//fecC//ftnA//ttdT//mhpE//lldR//uvrB//lexA//flgJ//ulaE//allS//idnO//
MtlR_neg	hlyE//zntA//ampC//
MurR_neg	argF//narL//ilvY//
MurR_pos	yiaO//
Nac_neg	rpoH//guaA//udp//fdnH//araD//fpr//yidL//lsrR//gspE//
Nac_pos	rnlB//bamE//malS//fepB//chbB//lldR//glpD//paaJ//oppF//yiaK//crl//mhpB//
NadR_neg	entA//yjeV//yhiD//dnaG//
NagC_neg	htpG//tauC//citD//napB//gadE//cydB//ydfW//soxS//folA//hcr//lysA//citC//mlc//yidL//murC//trpA//xapB//garD//ddpA//fliC//cvpA//pheT//nrdG//nikD//uidR//mgrR//nikC//ydjM//yhbT//insK//cyoE//argI//gadE//
NagC_pos	sufB//ydfD//puuR//
NanR_neg	cynR//cvpA//atoD//bglB//ahpF//lsrD//yeaG//mhpE//phnG//hyfA//
NanR_pos	gltD//
NarL_neg	metR//narJ//cadC//micF//obgE//caiB//araD//aceF//pstB//wzxE//metR//tauB//talA//mdh//dinF//fdnI//polA//pflB//wza//nrdA//ymgA//fixB//gatB//argP//mdtD//yeiL//sbmA//araD//ycdZ//ybdZ//feaB//ygdB//ubiC//fliR//cpxQ//sucC//lldR//micF//appA//hcaF//hycA//tisB//lpxC//arsC//hybB//mraZ//ldtB//feaR//purD//bglF//fldA//hybB//nagB//lpxA//dsdX//wzzE//oxc//hlyE//fldB//yeiB//yncE//glgP//ydjM//yqhD//tyrP//cdd//mngA//pgi//glgX//pyrC//paaK//araD//ulaC//ascB//phnG//fepA//folE//moeA//fixA//pykF//pncB//ecpA//hemL//rpsO//deoA//yecR//oppD//
NarL_pos	yidQ//aceB//rpmI//waaZ//edd//ihfA//yhdZ//dicC//iscS//paaI//recA//fepC//xapB//ybaS//gutM//hdeD//cspD//glcF//hyfR//guaB//dsbG//dacC//hcaR//ydcU//grcA//dicB//osmB//srlR//baeS//hybF//glcC//malY//hydN//pncB//yqhG//ymjD//uxaA//phoB//ccmF//mgtA//bioC//gspF//cho//
NarP_neg	creB//hypD//cysC//entS//ydeM//lsrC//glgX//entH//dmsB//phnK//csiD//relE//flgC//kdpC//pgm//rbsB//nirB//gadX//asnC//nmpC//appA//trpR//recA//iclR//cysU//crl//nikA//cusR//napD//mhpF//nagA//gabP//nuoE//
NarP_pos	dnaN//narG//ygaC//nagC//mtr//mqsR//dcuD//cynT//osmY//hybC//hyaC//flhA//citG//araF//malE//garL//gpmM//cpxQ//recN//ydbD//yedX//csiD//ynjI//dhaR//hemL//ybiT//caiA//ssuE//uvrC//speB//mtlR//gabT//
NemR_neg	truB//ynbA//fliM//
NhaR_pos	bioB//puuA//purN//obgE//allD//ssuB//gadY//
NikR_neg	gntT//dsdC//caiE//pgaA//gspC//lhgO//
NimR_neg	gadA//psiE//
NorR_neg	pyrD//
NorR_pos	lacZ//exuR//
NrdR_neg	fecC//appA//ygdB//chbA//yhbT//yfbR//ydeP//malZ//malK//
NsrR_neg	gltK//paaX//rffT//micF//pgk//dgcZ//omrB//ymgC//yqaE//flhE//rplU//cadC//norV//treR//pdeR//uxuA//glcG//ppdC//mhpB//narX//xapB//lldD//glnP//treB//rbfA//yafP//dinI//nrfG//citX//metA//gcl//yeiB//sroA//ynfK//efeU_1//csgC//entH//yfdE//focA//flgN//aroM//wecE//rclB//asnB//cysU//borD//sodB//mcbA//cusA//nmpC//yhbS//ydhU//fepG//creD//phr//fliG//arsR//astD//mazE//fliP//yebG//ccmD//hypD//ssb//pspC//sufA//hycD//hybO//spy//yeaD//ddpC//cysD//hcaD//nrdB//nhaR//hyfH//flgK//citG//decR//caiA//sufS//ddpD//mntS//
NtrC_neg	csrC//phoA//cynT//fhuC//yjbH//fadM//
NtrC_pos	hybO//putA//crl//dinB//lldD//exuT//artI//rnlB//yeaR//nikR//gabP//ccmF//tcyJ//flhD//cyoE//hyfE//aroG//rbsR//yfdE//fumC//fepE//ccmA//glnQ//rseC//ugpC//allE//lysA//malS//ydcV//yjhC//hcp//rplU//leuB//aroH//fliQ//nikC//pdhR//yjhB//ybaT//uvrC//sgrR//deoB//dinI//atoE//gntP//rnpB//tauD//glcF//gntK//
OmpR_neg	mdtE//fhuA//erpA//pheM//gcl//zwf//cpxR//ydhX//kdpC//puuE//purK//deoA//
OmpR_pos	nrdB//chiP//glpC//ttdA//phoU//guaB//grcA//oppC//nimT//nfsA//
OxyR_neg	pspF//dcuB//caiD//dmsB//yqjH//araD//sucA//patD//ttdT//tauC//yebG//sgbE//
OxyR_pos	exbB//csgG//sulA//kdpA//rpiR//gltF//ydeP//yagK//uhpT//isrC//lolA//micF//dhaR//csgE//yccT//ykgO//puuA//ynbD//recD//speA//mhpE//glpD//
PaaX_neg	puuB//paaK//hyfF//yefM//ppdA//qseC//ymjD//csrB//carB//ynfE//gatC//purE//galM//yegH//
PdeL_pos	astB//
PdhR_neg	ymgC//ydfX//chbF//phnF//cusR//ynjI//atoE//dsbG//pstB//pgaB//cheA//citD//tam//malS//entD//efeU_2//thrS//murR//agaS//hybB//sutR//uxaA//gdhA//cyoA//dps//gspJ//sufC//omrB//mazE//yneM//hokE//hycA//cyoC//ihfA//cueO//cynT//
PdhR_pos	ybhG//cynT//hcr//aceF//ydhW//
PepA_neg	purM//lsrF//sbcD//
PgrR_neg	ykiA//yjhB//ttdT//lsrA//fliZ//prs//gspK//ptsI//
PhoB_neg	sutR//speA//flgD//sutR//acnB//lexA//purA//ftsQ//citX//sra//dapD//wcaB//
PhoB_pos	ppdC//nrfD//citE//creB//nuoJ//astC//malE//nadB//metI//ydfN//gntU//yiaO//dkgB//gcvT//glnL//tdcD//zraR//atoB//ccmH//kdpA//csgF//yidQ//modC//ydcV//glnL//yncE//gspO//glnQ//alsB//tdcF//lon//kdpA//ybhL//gcvH//nadB//galE//metN//lsrB//glnD//motA//ydcU//rhaT//treC//gadC//molR_1//ybiT//ugpB//fimB//aidB//recB//dgcZ//appX//pgaD//
PhoP_neg	pgaC//yebG//sucD//deoD//hcaE//trpA//ycjY//dinJ//lpd//htpG//argG//
PhoP_pos	hyfF//psiE//flgJ//lsrD//prs//cysI//allA//puuP//garL//nuoH//tadA//focA//uidB//pspA//napH//fliO//pyrC//fucU//ecpA//hycA//asnA//purC//sodB//artJ//yhbT//xylF//caiB//znuA//tdcA//alsC//ecnB//mipA//pagP//gntK//potG//agaB//rcnR//potH//ftsZ//cysA//astE//safA//mazE//ebgA//garK//hycH//hlyE//yibQ//
PrpR_neg	aspA//
PrpR_pos	glgB//hyfH//pstB//ydeI//
PspF_neg	nuoI//
PspF_pos	envC//fepE//fadL//ydhU//prpB//metQ//
PurR_neg	ugpE//paaJ//dinQ//aroG//treC//rpsU//nrdG//lsrR//moeA//zraR//nanC//cysU//hycF//accD//sulA//yeiL//iscS//pheS//acrD//cysE//glcE//gatD//stpA//fruB//pgaD//fiu//exuT//dapD//gspH//nrfB//fabH//
PutA_neg	glxR//dpiA//
PuuR_neg	aroM//casC//argR//yiaO//fliC//hyfF//oppF//
QseB_pos	uvrY//rhaA//nuoM//decR//
RbsR_neg	aceK//glcE//amtB//hypB//mhpE//lsrD//obgE//hyfG//
RbsR_pos	phoU//
RcdA_neg	metH//ribA//
RcdA_pos	murD//sdhA//feoC//rimP//melR//cpxP//murG//
RclR_pos	entE//patD//dcuS//
RcnR_neg	bacA//sufS//csrB//
RcsAB_neg	ygiB//kdpA//nhaR//phoB//yhjA//omrA//
RcsAB_pos	insD//glcC//ascB//efeU_2//rbsA//fecE//nuoN//eda//lrp//fliF//
RcsB-BglJ_pos	bglB//lsrB//fliE//narH//argF//acrR//cadC//lysO//seqA//pnp//napC//sgbU//hisM//nirC//nuoA//tyrB//
RcsB_neg	pnp//dsbC//
RcsB_pos	poxB//rhaB//metN//gapA//infB//gadY//umpH//intQ//fixB//malY//mhpA//glpK//sodB//entH//ybjG//bioD//pheT//ybaS//znuC//garL//copA//cvpA//argG//
RelB-RelE_neg	nuoA//yafQ//uspE//
RelB_neg	araE//hypC//ptsG//
RhaR_pos	aidB//add//
RhaS_pos	mprA//nagA//yhdY//yebE//cas2//lexA//
Rob_neg	mdtD//
Rob_pos	uidR//glmS//dsbA//fruK//dhaM//ubiA//metQ//paaX//glcD//atoE//paaF//flgF//folE//tktB//yaiW//araJ//dmsA//gltD//codA//cvpA//mtlA//yqjH//puuE//nanC//gnd//
RstA_neg	ybaS//fliR//wecC//atoB//grxA//
RstA_pos	atoB//ppdB//paaK//astA//arsB//
RtcR_pos	lpxC//yfdX//
RutR_neg	yqjA//mpaA//codB//gatA//mpaA//ykiA//mdtF//argR//yecT//cspE//hycA//lpxA//dsbG//nanE//dps//
RutR_pos	casE//udp//
SdiA_neg	nuoB//hypE//araJ//
SdiA_pos	uvrA//csiD//ssuA//
SgrR_neg	flhB//ugpA//phnO//hipB//psiF//
SgrR_pos	nuoJ//glxK//aroG//eno//
SlyA_pos	ulaA//
SoxR_neg	ptrA//
SoxR_pos	fucK//ybjC//
SoxS_neg	appB//pspB//
SoxS_pos	atoD//ppdC//acrR//ybbY//fepC//nrdA//mcbA//hypB//cysG//rutG//slp//accA//rutG//ydiV//betI//pepD//trpC//araA//creD//alsC//yegR//hycF//hycE//gatD//acrA//ftsZ//ssrS//trpC//patA//gudP//flgH//rimP//rutG//hyfG//oppA//murD//modA//higA//
StpA_neg	cpxP//hemH//narX//wzc//hycD//cysB//ygiC//
SutR_neg	higB//gyrA//yiaL//creB//ascF//
SutR_pos	phnD//
TdcA_pos	ymjD//fadE//fadA//tehA//potI//wrbA//argT//
TdcR_pos	gltB//uspE//truB//agaW//ssuB//ykgM//aspA//
TorR_neg	cusS//glpF//nuoE//
TorR_pos	amn//fhuD//nhaA//ydhV//ydfD//flhA//csrB//cysH//allC//
TreR_neg	glnH//yhbS//
TrpR_neg	glpX//napD//ompW//nfsB//argG//nac//fldA//hcaF//dnaG//aldA//pspG//glmS//
TyrR_neg	hycE//nac//lsrK//bglB//paaK//narX//ycjX//gltJ//mngB//fimE//
TyrR_pos	ftsA//psiE//dkgA//
UhpA_pos	bioC//
UidR_neg	dcuS//fecD//araJ//uxuR//
UlaR_neg	rnpB//glnQ//nuoG//hypA//rbsK//caiF//pnp//
UvrY_pos	ybjG//purH//yagK//fur//gadY//
UxuR_neg	pnuC//nuoM//hybE//yedX//murD//chbR//ogt//modB//phoB//
XapR_pos	yfiB//torA//
XylR_neg	rutF//
XylR_pos	pqiB//tnaA//nupC//nikR//argC//ygaC//
YdeO_neg	arsB//fecC//
YdeO_pos	artM//cadC//ecpR//fucA//ybhL//nirC//betA//yhdW//mzrA//umuC//hycI//ydhU//adhE//sgrR//pgk//ssuE//cas1//yibQ//oppA//
YedW_neg	gspC//wzxE//treR//fepA//cynT//
YedW_pos	tauA//phoE//rseB//higA//kdpA//ebgC//ilvY//
YefM-YoeB_neg	entF//mpaA//
YefM_neg	caiA//rstB//
YehT_pos	ppdA//
YeiL_pos	rstA//
YiaJ_neg	recB//aidB//ariR//caiF//mdh//caiA//csgB//paaK//nuoL//rseA//
YjjQ_neg	yhdY//araB//bolA//putP//puuB//setA//ubiX//metC//wecC//prpD//
YpdB_pos	mzrA//
YqhC_pos	decR//iraM//
YqjI_neg	asnA//gudD//
ZntR_pos	citG//
ZraR_pos	ybhR//tyrR//ynfE//
Zur_neg	fliQ//hydN//uspD//ppdA//degP//accC//
