# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	paaJ//rhaA//
TdcA	metC//rutB//phnL//ulaF//luxS//
TdcR	moaA//wzc//cysG//nrdD//aceA//
TorR	rnpB//hyaB//nemA//napA//
TreR	phnM//hycE//
TrpR	treC//fabB//sbcC//astA//fadD//aroH//pyrC//uxuB//hcaD//
TtdR	bioF//add//
TyrR	rutE//frc//grxA//narG//truB//nrdD//slt//recD//polB//
UhpA	aceE//
UlaR	glmS//uxuA//nfsA//aroH//hemH//
UvrY	murD//relA//
UxuR	chbG//acnA//mhpF//
XylR	lsrF//bioD//argH//
YdeO	hycD//kbaY//nrfA//
YefM	frdC//
YefM-YoeB	purH//
YhaJ	
YjjQ	
YpdB	
YqhC	ugpQ//umpH//
YqjI	aroF//
ZntR	treC//
ZraR	
Zur	lysC//
